armies	armeed
achieving	saavutamine
bergen	bergeni
hawks	hawks
availability	kättesaadavuse
availability	kättesaadavus
organizing	korraldamine
lung	kopsud
lung	kopsu
andreas	andreas
cedar	cedar
bankruptcy	pankrot
basement	keldris
basement	kelder
spirits	vaimud
spirits	hinged
torture	piinamine
toyota	toyota
wheat	nisu
examined	uuritud
membrane	membraani
coleman	coleman
homeland	kodumaa
maiden	neiu
dhaka	dhaka
dental	hambaravi
christine	christine
curious	uudishimulik
tucker	tucker
evolutionary	evolutsiooni
responsibilities	vastutus
responsibilities	kohustused
viscount	vikont
communists	kommunistid
pavilion	paviljon
fantastic	fantastiline
ceremonies	tseremooniaid
augustus	augustus
loans	laenud
joey	joey
corporations	korporatsioonid
corporations	firmad
corporations	ettevõtted
tagging	märgistamine
moss	moss
parody	paroodia
yield	saagis
sizes	suurused
neighbourhood	naabrus
neighbourhood	ümbruskond
cheap	odavad
cheap	odav
cheap	odavalt
stuttgart	stuttgart
dialects	dialekti
backup	abiväge
forbidden	keelatud
sanskrit	sanskriti
neill	neill
councillor	nõunik
knife	nuga
knife	noa
wade	wade
humanities	humanitaarteadused
gonzález	gonzález
yesterday	eile
percy	percy
transform	muuta
vegetation	taimestiku
tickets	piletid
dams	tammide
braves	vaprad
plural	mitmuses
filmmaker	filmitegija
pomeranian	pomorze
habitats	elupaikade
sicily	sitsiilia
justified	põhjendatud
justified	õigustatud
speeds	kiirused
zip	zip
updates	uuendused
replied	vastas
replied	vastasid
restriction	piirang
lin	lin
measurements	mõõtmised
measurements	mõõtmine
measurements	mõõdud
dynamo	dünamo
charitable	heategevuslik
poker	pokker
promising	paljulubav
promising	paljutõotav
kane	kane
trevor	trevor
attractive	atraktiivne
sidney	sidney
factual	faktilist
holidays	pühi
holidays	pühad
comfortable	mugavad
comfortable	mugav
fletcher	fletcher
airways	airways
floyd	floyd
snail	tigu
genocide	genotsiid
genocide	genotsiidi
saga	saaga
scots	šoti
fossils	fossiilid
buying	ostes
buying	ostmine
commissioners	volinikud
smoking	suitsetamine
enormous	tohutu
leather	nahk
leather	nahast
def	def
patch	paik
porto	porto
valencia	valencia
tracy	tracy
downloaded	allalaaditud
breakfast	hommikusöök
subspecies	alamliik
mercy	halastus
mercy	halastust
botanical	botaaniline
ore	maagi
bottle	pudel
bottle	pudelis
tunisia	tuneesia
angola	angola
humanitarian	humanitaar
decorations	kaunistused
invalid	vigane
generating	genereerimine
trapped	lõksus
rao	rao
guru	guru
telescope	teleskoobi
dense	tihe
satisfied	rahuldatud
satisfied	rahul
criticised	kritiseeris
coral	coral
xavier	xavier
helena	helena
rowing	sõudmine
anatomy	anatoomia
binary	binaarne
merchants	kaupmehed
wound	haava
wound	haav
conviction	veendumust
conviction	veendumus
publishes	avaldab
dixon	dixon
kuwait	kuveidi
ridiculous	naeruväärne
suffer	kannatada
suffer	kannatama
nord	nord
caves	koopad
regent	asevalitseja
riverside	riverside
shane	shane
balanced	tasakaalustatud
fitzgerald	fitzgerald
highlight	esile
highlight	esiletõstmine
payments	maksed
tendency	kalduvus
lópez	lópez
joyce	joyce
belle	belle
davidson	davidson
decorative	dekoratiivne
rouge	rouge
clue	vihje
rockets	raketid
rockets	rakette
cure	ravi
bolton	bolton
slope	kalle
manning	manning
boyd	boyd
organisms	organismid
organisms	organismide
paraguay	paraguay
qatar	katar
import	import
import	impordi
buddy	buddy
iucn	iucn
clare	clare
penguin	pingviin
rapids	kärestikke
exceptional	erakordne
exceptional	erandlik
exceptional	erandlikud
shed	kuuri
cologne	kölni
providers	pakkujad
beings	olendid
norwich	norwich
challenging	väljakutse
anthem	hümn
supervision	järelevalve
investigator	uurija
ming	mingi
ming	ming
lease	liisi
yours	sinu
cecil	cecil
toys	mänguasjad
conrad	conradi
conrad	conrad
buck	buck
hang	riputada
italia	italia
portable	kantav
portable	kaasaskantav
portable	kaasaskantavad
dell	dell
irving	irving
bells	kellad
tibet	tiibeti
composite	komposiit
salary	palk
salary	töötasu
blacks	mustad
staying	jäämine
dropping	langeb
fragments	fragmendid
fragments	killud
objectives	eesmärgid
caesar	caesar
tragedy	tragöödia
macedonian	makedoonia
unesco	unesco
investigated	uuritud
cameroon	kameruni
carson	carson
slot	pesa
icelandic	islandi
sophie	sophie
granite	graniit
jenny	jenny
deciding	otsustamine
comparative	võrdlev
comparative	võrdleva
apostolic	apostellik
venezuelan	venetsueela
venezuelan	venezuela
pirate	piraat
slovenian	sloveenia
accompanying	kaasas
seasonal	hooajalise
delegation	delegatsioon
combining	kombineerimine
combining	ühendades
portfolio	portfell
portfolio	portfelli
machinery	masinad
miners	kaevurid
embedded	põimitud
keen	keen
charted	kaardistatud
gandhi	gandhi
testimony	tunnistus
duchess	hertsoginna
reflection	peegeldus
middlesex	middlesexi
carr	carr
booth	kabiin
booth	booth
rudolf	rudolf
león	leóni
courage	julgus
courage	julgust
courage	vaprus
midland	midland
riots	rahutused
develops	arendab
develops	areneb
pier	kai
auction	oksjon
specifications	spetsifikatsioonid
secrets	saladusi
secrets	saladused
crest	vapi
sutton	sutton
decreased	vähenenud
decreased	vähenes
ups	ups
repairs	remonti
phantom	fantoom
hartford	hartfordi
alps	alpid
investments	investeeringud
flame	leegi
flame	leek
exeter	exeter
kay	kay
rent	üür
rent	üüri
rent	laenutada
rent	rent
highlands	mägismaa
induced	indutseeritud
verses	värsid
crane	kraana
crane	kurg
crane	crane
simulation	simulatsiooni
simulation	simulatsioon
schemes	kavad
schemes	skeemide
schemes	kavade
schemes	skeemid
latitude	laiuskraad
latitude	laius
lance	lance
networking	võrgustike
keeper	valdaja
keeper	hoidja
fixing	viljandis
asset	vara
prospect	väljavaade
prospect	prospekt
highlighted	rõhutatud
gymnasium	gümnaasium
gloria	gloria
trent	trent
horizon	horisont
yemen	jeemeni
riot	mäss
riot	mässu
arose	tekkisid
arose	tekkis
renovation	renoveerimine
quinn	quinn
excluded	välistatud
elena	elena
successive	järjestikused
successive	järjestikuste
anger	viha
hierarchy	hierarhia
decoration	dekoratsioon
nerve	närvi
disability	puude
disability	puue
giuseppe	giuseppe
boot	saabas
rca	rca
pioneers	pioneerid
canberra	canberra
newark	newarki
flowing	voolavad
flowing	voolab
fungi	seened
sensors	sensorid
sensors	andurid
shells	mürsud
cottage	suvila
honduras	hondurase
shepherd	karjus
elderly	eakad
pbs	pbs
mapping	kaardistamise
mongolia	mongoolia
commentator	kommentaator
nash	nash
sharks	haide
sharks	haid
ricky	ricky
