panorama	panorama
fer	spravedlivé
fer	veletrh
prolaza	ulička
prolaza	uličky
prolaza	uličku
ltd	ltd
naizgled	zdánlivě
nazvane	pojmenoval
objavljivanje	zveřejňování
objavljivanje	vyhlášení
objavljivanje	publikace
objavljivanje	uveřejnění
objavljivanje	zveřejnění
sony	sony
avanture	dobrodružství
bros	brož
bros	bros
organska	bio
organska	organický
organska	organická
organska	organické
organska	ekologické
trend	trend
bogovima	bohů
bogovima	bohové
bogovima	bohy
bogovima	bozi
pažljivo	pečlivě
pažljivo	opatrně
uništenja	zkáza
uništenja	zničení
uništenja	ničení
uništenja	destrukce
ramos	ramos
baka	babičky
baka	babička
josy	josy
vjerska	náboženský
vjerska	náboženská
vjerska	náboženské
utvrđenje	pevnost
utvrđenje	fort
zagradi	závorkách
dominantni	dominantní
logika	logika
logika	logická
logika	logiku
logika	logický
logika	logické
wesley	wesley
proizvedena	vyráběné
proizvedena	vyrobené
proizvedena	vyrobeno
proizvedena	vyrobeny
proizvedena	vyrobený
ubijena	zavražděný
ubijena	zavražděna
ubijena	zavražděná
ubijena	zavražděn
ubijena	zabiti
ubijena	zabitý
ubijena	zabita
ubijena	zabit
ubijena	zabil
vene	žíly
rastao	rostla
moldavija	moldavsko
ogromna	enormní
ogromna	obrovské
misle	mysli
olympique	olympique
motivima	motivy
vlažnost	vlhkost
vlažnost	vlhkosti
šalju	pošlete
šalju	poslat
šalju	pošli
šalju	zaslat
šalju	odeslat
alge	řasy
hebrejski	hebrejsky
augustin	augustin
pivo	piva
pivo	pivní
pivo	pivo
pivo	pivko
granate	náboje
granate	mušle
granate	skořápky
šerif	šerif
smallville	smallville
ograničenje	omezit
ograničenje	limit
ograničenje	mez
kukuruz	kukuřice
iupac	iupac
turner	turner
turner	turnerová
turner	turnera
psihologija	psychologie
psihologija	psychologii
geometrija	geometrie
pravno	právně
pravno	legálně
alfons	alfonso
kut	kut
libija	libye
libija	libyi
klarinet	klarinet
prebačen	převedeny
prebačen	přeložen
prebačen	převedené
zadatke	úkoly
ostavi	opustit
ostavi	odejít
einar	einar
nog	nog
sistematski	systematicky
jamie	jamie
jamie	jamieho
izložena	vystaveno
izložena	vystaven
izložena	vystavené
izložena	nechráněný
specifičnosti	vlastnosti
specifičnosti	charakteristika
specifičnosti	charakteristiky
nafta	ropné
nafta	ropa
nafta	ropný
nafta	ropná
nafta	nafta
željeznički	železniční
željeznički	železnice
željeznički	kolejnice
željeznički	železniční
željeznički	železnice
luz	luz
šesnaest	sixteen
šesnaest	šestnáct
sarađivao	spolupracoval
sarađivao	spolupracovali
sarađivao	spolupracovat
bomba	bomba
lloyd	lloyd
kuba	kubu
kuba	kuby
kuba	kuba
elektronska	elektronický
elektronska	elektronická
elektronska	elektronické
dole	down
dole	dolů
dole	dolu
dole	dole
dole	přízemí
dole	dole
instrumente	přístroje
instrumente	nástroje
navare	viana
zapošljava	zaměstnává
poručnik	poručík
iure	iure
nestala	chybí
nestala	chybějící
odsustvo	nepřítomnost
odsustvo	absence
odsustvo	nepřítomnosti
odsustvo	neexistence
tragova	stopy
slobodi	volné
okružena	obklíčeni
okružena	obklopen
okružena	obklíčení
spomenut	zmínila
spomenut	zmíněna
spomenut	zmínil
ponedjeljak	pondělí
arhitektonski	architektonické
zvonimir	zvonimir
px}}	px}}
ofanziva	urážlivý
ofanziva	urážlivé
ofanziva	útočný
geometrijski	geometrické
postotak	procento
postotak	procenta
panama	panamě
spriječi	zabránit
spriječi	předejít
spriječi	předcházet
datumi	data
datumi	termíny
interese	zájmy
tajvan	taiwanu
panzer	panzer
izložen	vystaveno
izložen	vystaven
izložen	vystavené
izložen	nechráněný
kenneth	kenneth
izdavača	vydavatelé
carska	císařský
carska	císařské
carska	imperiální
carska	imperial
tame	temnota
tame	tma
tame	temnoty
tame	temnotu
tame	tmy
tame	zkrotit
počast	cti
počast	pocta
počast	čest
počast	hold
počast	pocta
ozbiljne	vážný
ozbiljne	závažné
ozbiljne	vážné
ozbiljne	vážná
vice	vice
franaka	franky
franaka	franků
nuklearni	nukleární
nuklearni	jaderné
nuklearni	jaderná
nuklearni	jaderný
prisiljeni	donutil
prisiljeni	donucen
prisiljeni	nucené
hronika	kronik
hronika	chronicle
prezentacija	prezentaci
prezentacija	prezentace
metan	metan
dubai	dubaji
dubai	dubaje
friends	přátelé
friends	přátel
friends	kamarádi
friends	přátele
friends	přáteli
kancelar	kancléř
kancelar	kancléři
britannica	britannica
born	narodil
born	narozena
born	narozen
poplave	povodně
poplave	záplavy
ukrajinci	ukrajinci
vezivanje	vázání
demokratija	demokracie
demokratija	demokracii
vivo	vivo
schmidt	schmidt
reforma	reformu
reforma	reformovat
reforma	reforma
reforma	reformy
usmjeren	namířených
usmjeren	režie
profesionalne	profesionální
profesionalne	profesionál
profesionalne	profesní
andersson	andersson
doors	dveře
talasi	vlny
talasi	vln
jože	jože
pobunjenika	rebelové
pobunjenika	povstalci
pobunjenika	rebely
pobunjenika	rebel
hronologija	timeline
lane	lane
lane	pruh
nowrap	nowrap
sljedbenici	sledující
sljedbenici	následovníci
zalihe	zásoby
zalihe	zásobování
zalihe	dodávky
baterije	baterie
baterije	baterky
delfin	delfíni
delfin	delfín
crtež	skeč
crtež	kreslení
crtež	kresba
crtež	losování
grah	fazole
grah	fazole
grah	boby
plata	plata
darwin	darwin
oklopnih	obrněná
inteligencija	inteligence
inteligencija	inteligenci
hassan	hassan
memorija	vzpomínka
memorija	vzpomínky
memorija	paměti
memorija	paměť
dizel	diesel
dizel	nafta
izgubiti	prohrát
izgubiti	ztratit
strategije	strategie
koalicije	koalice
noviji	novější
trave	tráva
trave	trávy
sirius	sirius
karbonat	uhličitan
karbonat	uhličitanu
unix	unix
romi	roma
romi	romové
romi	romy
romi	romské
romi	romů
ključanja	varu
ključanja	vařící
planova	intriky
planova	plánů
planova	plány
dem	dem
laboratorija	laboratoře
laboratorija	laboratoře
laboratorija	laboratorní
laboratorija	laboratoř
laboratorija	laboratoř
doza	dávek
doza	dávky
doza	dávku
doza	dávky
doza	dávka
robovi	otroci
robovi	otroky
din	din
din	deane
din	děkan
din	dean
svuda	všude
svuda	vsude
predaja	rčení
predaja	kapitulace
obnovu	obnovení
obnovu	obnova
obnovu	obnovení
obnovu	obnova
obnovu	renovace
obnovu	rehabilitaci
obnovu	rehabilitace
ključa	klíče
ključa	klávesy
ključa	klíčky
senegal	senegalu
receptore	receptorů
receptore	receptory
chase	honička
chase	chase
predviđa	předpovídá
nadh	nadh
sergei	sergej
sergei	sergeji
otrov	jed
otrov	jed
sutra	zítřek
sutra	zítra
pogodan	montáž
pogodan	vhodný
pogodan	vhodná
pogodan	vhodné
konzul	konzul
autorska	copyright
diane	diane
zahtjevi	žádosti
zahtjevi	požadavky
zahtjevi	požadavky
mostovi	mosty
mostovi	mostů
opremljen	vybaveni
opremljen	vybavené
opremljen	vybavená
opremljen	vybaveno
povuče	stáhnout
bon	bon
počeci	začátky
nasilje	násilí
povećane	zvýšený
povećane	zvýšená
povećane	zvýšení
povećane	zvýšené
nekako	laskavá
nekako	druh
nekako	laskavý
nekako	laskavé
nekako	nějak
nekako	nejak
poljaci	poláci
tehnička	technický
tehnička	technické
tehnička	technická
beskonačno	nekonečná
beskonačno	nekonečné
beskonačno	nekonečný
beskonačno	nekonečno
beskonačno	nekonečně
ljubomir	ljubomir
everton	everton
adp	adp
wells	wells
wells	studny
fran	fran
dalmacija	dalmácie
legio	legio
fragmenti	fragmenty
fragmenti	útržky
fragmenti	úlomky
kate	kate
procjenu	posuzování
procjenu	vyhodnocení
procjenu	hodnocení
procjenu	posouzení
procjenu	zhodnocení
move	přesunout
move	přesun
move	pohyb
baterija	baterie
socijalno	společensky
socijalno	sociálně
blogs	blogy
kuvajt	kuvajtu
puk	regiment
puk	pluk
spontano	spontánní
spontano	spontánně
spontano	spontánně
uništi	zničit
uništi	ničit
sveukupno	celkově
sveukupno	celková
sveukupno	celkové
promocija	propagace
promocija	povýšení
promocija	propagaci
ispunjava	naplňuje
gvatemala	guatemale
individualne	jednotlivec
individualne	individuální
individualne	jedinec
sfere	koule
sfere	sféry
oštećenje	poškození
oštećenje	škody
palo	palo
stanislav	stanislav
uspješnu	úspěšná
uspješnu	úspěšně
uspješnu	úspěšné
uspješnu	úspěšný
arterije	tepny
afrička	africký
afrička	africká
afrička	africké
slavni	slavná
slavni	slavní
slavni	slavný
slavni	slavné
samir	samir
rum	rum
antigeni	antigeny
marx	marx
oktavijan	oktavián
deklaracija	prohlášení
deklaracija	deklarace
alpsko	alpské
honduras	hondurasu
eriksson	eriksson
spasi	uložit
fan	fanynka
fan	fan
fan	větrák
fan	fanoušek
fan	fanda
glagola	slovesa
ppm	ppm
ein	ejn
muller	muller
hrom	chrome
hrom	chromu
violine	housle
caroline	caroline
caroline	karolína
svile	hedvábí
izbornom	volební
drive	řídit
drive	drive
barij	barnatého
direktni	přímé
direktni	přímý
direktni	direct
direktni	přímá
instalacija	instalace
instalacija	montáž
instalacija	nainstalovat
instalacija	instalace
instalacija	instalovat
primirje	příměří
poteškoće	strasti
poteškoće	potíže
poteškoće	obtíže
služiti	podávat
služiti	sloužit
uran	uran
dell	dell
adis	addis
vođen	veden
vođen	vedeni
mrtvi	mrtvá
mrtvi	mrtvý
mrtvi	mrtví
reaktora	reaktorů
reaktora	reaktory
krleža	krleža
stepenu	stupně
stepenu	stupeň
šok	šokující
šok	šoku
šok	šok
dijalekt	dialekt
čudovišta	zrůdy
čudovišta	monstra
čudovišta	příšery
čudovišta	monster
julian	julian
julian	juliana
julian	juliane
koper	koper
meša	mesa
take	vzít
abdullah	abdullah
cvjeta	vzkvétat
oksidacije	oxidace
neill	neill
slavio	slaví
slavio	slavit
veli	veli
utisak	zobrazení
utisak	dojem
infrastruktura	infrastruktury
infrastruktura	infrastrukturu
infrastruktura	infrastruktura
serravalle	serravalle
helij	helium
građanin	občan
građanin	občana
niš	niš
čitava	celý
čitava	celou
čitava	celá
čitava	celé
dodajte	přidejte
dodajte	přidání
dodajte	přidej
dodajte	přidat
camille	camille
giorgio	giorgio
mašinski	mechanické
mašinski	mechanická
mašinski	mechanický
pčela	včela
pčela	včelí
pčela	bee
cole	cole
cole	cola
siemens	siemens
aspx	aspx
zagorje	zagorje
izmir	izmir
parkovi	parků
parkovi	parky
kolonijalne	koloniální
vilnius	vilnius
selby	selby
formata	formát
angelo	angelo
neslaganja	neshody
imuni	imunitní
imuni	imunní
neda	ned
neda	neda
lorenzo	lorenzo
trovanja	otravy
trovanja	otravu
trovanja	otrava
izumio	vymyšlená
izumio	vynalezl
izumio	smyšlený
izumio	vymyšlený
sihr	čarodějnictví
sihr	magie
sihr	magic
sihr	čáry
sihr	kouzlo
sihr	kouzelné
postizanje	dosahování
postizanje	dosažení
plivanju	plavání
plivanju	plavat
plivanju	koupání
masi	dav
masi	zástup
masi	davu
razvijao	rozvojových
razvijao	rozvíjení
razvijao	rozvinutých
razvijao	rozvinuté
razvijao	vyvinutá
razvijao	vyvinut
razvijao	vyvinuté
razvijao	vyvinutý
biblije	bible
inicijativa	iniciativa
inicijativa	iniciativy
inicijativa	podnět
inicijativa	iniciativu
urbana	městský
urbana	městská
urbana	městské
žiri	porota
žiri	porotu
ragbi	ragby
ragbi	rugby
havaji	havaj
havaji	hawaii
federalni	federální
prepreka	překážky
prepreka	překážek
prepreka	překážka
prepreka	překážku
prepreka	překážka
preglednik	prohlížeč
baptiste	baptiste
lancaster	lancaster
birmingham	birminghamu
xvii	xvii
mogućnostima	možností
mogućnostima	možnosti
proton	proton
commons	commons
protoka	plynout
protoka	tok
protoka	průtok
protoka	toku
gradec	gradec
takmičar	účastník
takmičar	soutěžící
takmičar	uchazeč
takmičar	konkurent
detalje	podrobnosti
detalje	detaily
soko	falcon
soko	sokol
soko	falcone
soko	jestřáb
soko	hawk
vega	vega
vega	veze
hunter	hunter
hunter	lovec
louvre	louvre
vlasništva	vlastnictví
ujedinjena	united
ujedinjena	spojených
ujedinjena	spojené
erectus	erectus
srednjim	středně
srednjim	střední
srednjim	médium
bacač	nadhazovač
bacač	džbán
nordijska	severské
fokus	soustředění
fokus	zaměření
ratko	ratko
emisiju	ukázat
emisiju	zobrazit
emisiju	představení
emisiju	show
kasparov	kasparov
wide	širokou
wide	široká
wide	široký
wide	široké
prost	prost
mama	mama
mama	máma
mama	mámo
mama	maminka
mama	mamince
mama	máma
celje	celje
kariba	karibiku
platforma	plošina
platforma	nástupiště
platforma	platforma
platforma	platformy
platforma	platformu
césar	césar
namjere	úmysly
namjere	záměry
namjere	úmysl
namjere	záměr
centenario	centenario
spojena	sloučeny
spojena	sloučit
menadžera	manažeři
menadžera	manažery
sposobni	schopen
sposobni	schopná
sposobni	schopný
sposobni	schopného
sposobni	schopné
rogers	rogers
maccabi	maccabi
robu	zboží
joachim	joachim
pereira	pereira
olivier	olivier
hat	klobouček
hat	čepice
hat	klobouk
lucija	lucie
lucija	lucia
doze	dávek
doze	dávky
garda	stráž
garda	strážný
garda	hlídač
garda	garda
drveni	dřevěné
drveni	dřevěná
drveni	dřevěný
promijenjen	změněna
promijenjen	změněné
promijenjen	změněno
desi	desi
amazonas	amazonas
desetine	desítky
desetine	desítek
desetine	desítky
desetine	tucty
desetine	desítek
desetine	skóre
ciudad	ciudad
običnih	obyčejné
običnih	obyčejná
običnih	obyčejný
potvrdila	potvrzené
potvrdila	potvrzen
potvrdila	potvrzena
potvrdila	potvrzeno
devedesetih	devadesátých
claudio	claudio
tvoj	vaše
tvoj	tvoje
tvoj	váš
tvoj	tvůj
mhc	mhc
sekcije	sekce
sekcije	úseky
sekcije	oddíly
odobrio	schváleno
odobrio	schválené
odobrio	schválen
odobrio	schválená
odobrio	schválený
odobrio	schválena
tragedija	tragédie
anđeo	angelina
anđeo	anděli
anđeo	andílek
anđeo	angel
anđeo	anděl
branislav	branislav
kent	kenta
kent	kent
joel	joel
betty	betty
pojavljivanja	zdání
lim	lim
algoritam	algoritmus
exd	exd
bande	gangy
bande	gang
fenerbahçe	fenerbahçe
luna	luna
mrtva	mrtvá
mrtva	mrtvý
mrtva	mrtví
imenovana	jmenovaný
imenovana	jmenované
imenovana	jmenován
kreiranje	vytvoření
kreiranje	vytváření
kreiranje	vytvořit
kreiranje	vytvoření
kreiranje	vytváření
preostala	zbývající
republikanske	republikáni
republikanske	republikán
republikanske	republikánské
poslanici	poslové
poslanici	posly
poslanici	posly
poslanici	poslanci
poslanici	zákonodárci
oluje	bouře
oluje	bouřky
oksidi	oxid
oksidi	oxidu
kopnena	pozemky
kopnena	pozemek
kopnena	země
kopnena	pozemní
kopnena	země
kopnena	zem
flora	flora
signale	signály
signale	signálů
violina	housle
trgovaca	prodejci
milwaukee	milwaukee
anglo	anglo
daruvar	daruvar
bavili	zasnoubená
bavili	zasnoubeni
bavili	zasnoubený
raj	raj
raj	ráje
raj	ráj
raj	paradise
intervencije	zásahy
intervencije	intervence
intervencije	zásah
intervencije	intervenční
slava	slava
slava	sláva
slava	slávu
slava	glory
blizak	uzavřít
blizak	zavřít
blizak	blízko
stručni	odborník
stručni	odborná
stručni	znalec
stručni	expert
minus	mínus
minus	minus
uzrokujući	způsobující
uzrokujući	způsobuje
širokog	široké
širokog	široký
širokog	široká
pobijedi	win
pobijedi	výhra
pobijedi	vyhrát
bundeslige	bundeslize
menadžment	správa
menadžment	řízení
menadžment	management
menadžment	vedení
bubanj	buben
poklon	dárek
poklon	dar
graf	graf
jod	jód
carla	carla
carla	carlo
carla	carlu
ekvivalent	ekvivalent
ekvivalent	rovnocenná
ekvivalent	ekvivalentní
ekvivalent	rovnocenný
ekvivalent	rovnocenné
kompletna	úplná
kompletna	dokončit
kompletna	dokončeno
kompletna	kompletní
moon	měsíční
moon	měsíci
moon	měsíc
moon	moon
erwin	erwin
gay	teplá
gay	gayové
gay	gay
gay	teplý
poplava	povodně
poplava	povodeň
poplava	záplavy
poplava	povodně
poplava	záplavy
poplava	povodně
poplava	záplavy
ada	ada
kew	domky
kew	chaty
esej	esej
slabosti	slabiny
slabosti	nedostatky
harvey	harveyho
harvey	harvey
ismail	ismail
korisne	užitečná
korisne	užitečný
korisne	užitečné
virgin	panenské
virgin	panic
virgin	panna
happel	happel
srednjih	sekundární
vijetnamski	vietnamské
nikozija	nicosia
grace	grace
grace	milost
portala	portály
spremnika	sponky
spremnika	zásobníky
díaz	díaz
bazilika	basilica
tamne	tmavá
tamne	tmavé
tamne	dark
tamne	temné
tamne	tmavý
tamne	tmavě
tkivu	tkáně
tkivu	tkání
definisati	definovat
platon	platón
rfc	rfc
tata	táta
tata	otec
tata	tati
tata	taťka
tata	táta
tata	tatínek
timor	timoru
kapital	kapitál
desktop	plocha
desktop	plochy
nosač	přepravce
nosač	dopravce
nosač	nosič
dragutin	dragutin
počinio	spáchal
uzela	vzal
snimljene	zaznamenáno
snimljene	nahraný
snimljene	zaznamenané
snimljene	nahrané
ulaganja	investice
staljin	stalin
katastrofa	pohroma
katastrofa	neštěstí
katastrofa	katastrofa
katastrofa	katastrofa
otkrivene	objevil
otkrivene	objeven
otkrivene	objevili
otkrivene	objevila
rhode	rhode
plemići	aristokraty
svg}}	svg}}
amy	amy
okončan	skončilo
okončan	skončil
brooks	brooks
izazov	výzvu
izazov	výzva
čarobnjaka	kouzelník
čarobnjaka	čaroděj
čarobnjaka	čaroději
savezi	spojenectví
savezi	aliance
tropske	tropické
webb	webb
sen	sen
adem	adem
sugerira	navrhuje
sugerira	naznačuje
redovi	fronty
sfera	koule
mikroskop	mikroskop
jetra	jater
jetra	játra
odbacuje	odmítá
robot	robot
robot	robota
umre	zemře
cvijeće	květiny
cvijeće	květy
galileo	galileo
alexandre	alexandre
porazila	poražen
porazila	poražený
porazila	poraženi
mahmud	mahmoud
pokemon	pokémonů
atomskih	atomová
atomskih	atomové
atomskih	atomový
sportsko	sportovní
sportsko	sport
sportsko	sporty
svinje	prasata
svinje	prasat
najniža	nejnižší
tretmana	léčba
tretmana	ošetření
kapi	kapky
metale	kovy
prijateljstva	přátelství
prijateljstva	kamarádství
prijateljstva	přátelství
poslali	odesláno
poslali	poslal
poslali	posláno
generali	generálové
projekcija	projekce
projekcija	projekce
bazama	databáze
otrovan	jedovatý
otrovan	jedovatá
otrovan	jedovaté
otrovan	otrávil
otrovan	otrávené
otrovan	otrávená
otrovan	otráven
otrovan	otrávený
denver	denveru
standardi	normy
standardi	standardy
standardi	norem
nestali	pryč
nestali	chybí
nestali	chybějící
izričito	výslovně
proteinima	proteinů
proteinima	bílkovin
proteinima	proteiny
proteinima	bílkoviny
kompozitori	skladatelů
blaga	poklady
blaga	pokladů
blaga	mírné
blaga	mírná
blaga	mírný
diskusija	diskuse
diskusija	diskuze
diskusija	diskuse
diskusija	diskuze
prst	prst
xbox	xbox
imovinu	majetek
imovinu	nemovitost
imovinu	nemovitosti
imovinu	vlastnost
lihtenštajn	lichtenštejnsko
egipćani	egypťané
konkretno	konkrétně
konkretno	specificky
konkretno	výslovně
četrdeset	čtyřicet
četrdeset	forty
susjeda	sousedka
susjeda	soused
susjeda	sousedy
susjeda	sousedé
susjeda	sousedi
susjeda	sousedka
susjeda	soused
prijetnje	výhružky
prijetnje	ohrožení
prijetnje	výhrůžky
prijetnje	hrozby
prijetnje	vyhrožování
teku	plynout
teku	tok
teku	průtok
teku	toku
teku	tekoucí
nastava	pokyn
nastava	instrukce
nastava	pokyny
pluton	pluto
gledao	sledoval
rom	rome
rom	rom
teoretski	teoretické
teoretski	teoreticky
linnaeus	linnaeus
pčele	včely
pčele	včel
pčele	včelí
osvojena	vyhrála
osvojena	vyhráli
osvojena	vyhrál
dublje	hlouběji
dublje	hlubší
jemen	jemenu
odsustvu	nepřítomnost
odsustvu	absence
odsustvu	nepřítomnosti
odsustvu	neexistence
diviziji	dělení
diviziji	divize
nemanja	nemanja
afera	aféra
deportivo	deportivo
antike	starověku
uživao	užil
izrađen	vypracoval
spomenuta	zmínila
spomenuta	zmíněna
spomenuta	zmínil
berkeley	berkeley
springfield	springfieldu
truman	truman
eugen	eugen
prevedena	přeloženo
naglasak	důraz
lijekovima	léky
ocjene	známky
trnava	trnava
tesla	tesla
podizanje	zvýšit
podizanje	zvyšování
arterija	tepna
arterija	tepnu
brooklyn	brooklyn
brooklyn	brooklynu
prijetnja	ohrožení
prijetnja	hrozba
gottfried	gottfried
ist	ist
austin	austin
uslovom	stav
uslovom	podmínkou
uslovom	podmínka
vožnje	řízení
vožnje	jízda
nicholson	nicholson
obradi	obrábění
obradi	zpracovávání
obradi	zpracování
obradi	přepracování
pravaca	trasy
pravaca	směry
pravaca	směr
earl	earl
earl	earle
based	založen
based	založený
based	založeno
lud	blázen
lud	šílený
lud	šílená
lud	bláznivý
zaključuje	uzavírá
sulfid	sulfid
milica	milica
antologija	antologie
proučavao	studovala
proučavao	studoval
ispadanje	spad
nicholas	nicholas
evanđelje	evangelium
honda	honda
rotacija	otáčení
rotacija	střídání
rotacija	rotace
mehanizmi	mechanismus
mehanizmi	mechanismů
mehanizmi	mechanismy
pigment	pigment
pacifiku	pacific
dante	dante
coppola	coppola
pascal	pascal
učenjaka	učenec
srži	dřeň
srži	dřeně
herman	herman
optužio	obviněný
optužio	obviněn
proširuje	rozšiřuje
irving	irving
duboke	hluboká
duboke	hluboké
duboke	hluboko
duboke	hluboký
izrazi	výrazů
izrazi	výrazy
marketing	marketing
očne	oční
univerzitetima	univerzity
dijeljenje	sdílení
johansson	johansson
diana	diana
odabrana	vybrán
odabrana	vybraná
odabrana	vybráno
odabrana	vybrané
odabrana	vybraný
gradijent	sklon
gradijent	gradient
moli	molly
podiže	vyvolává
podiže	zvyšuje
prethodnim	předchozí
prethodnim	předcházející
solun	soluni
telefon	telefonní
telefon	telefon
telefon	telefonní
telefon	telefon
poglavlje	kapitola
vođenje	běžící
vođenje	běží
vođenje	běh
vođenje	běhání
vođenje	utíkat
rotor	rotoru
rotor	curl
luther	luther
luther	luthera
balkanski	balkán
balkanski	balkánu
kulin	zakázat
kulin	zákaz
visual	vizuální
korejski	korejský
korejski	korejské
korejski	korejská
opisivanje	popište
opisivanje	popsat
ground	pozemní
ground	země
ground	zem
konfiguracija	konfigurace
jaki	silně
jaki	silná
jaki	silné
jaki	silný
medici	medici
čekao	čekal
zamjene	náhradníci
dokumente	dokumenty
dokumente	dokumentů
dokumente	doklady
malcolm	malcolm
malcolm	malcolma
burkina	burkina
pierce	pierce
dragi	drahý
dragi	drahá
dragi	miláček
dragi	miláčku
bogatim	bohaté
bogatim	bohatí
bogatim	bohatá
bogatim	rich
bogatim	bohatý
remi	remi
remi	remy
siro	siro
drvene	dřevěné
drvene	dřevěná
drvene	dřevěný
sluga	služebník
sluga	sluha
opterećenja	břemena
nadzorom	dohled
nadzorom	dozor
pokretač	spouštěč
pokretač	spouštění
koch	koch
zadovoljan	spokojený
zadovoljan	spokojen
her	herr
izbjeglice	uprchlíků
izbjeglice	uprchlíky
izbjeglice	uprchlíci
gvajana	guyana
nemogućnosti	neschopnost
nemogućnosti	neschopnosti
aziz	aziz
štampa	stiskněte
štampa	tisk
štampa	otisky
parametri	parametry
glenn	glenn
tumače	interpretovat
tumače	vykládat
harvard	harvardu
harvard	harvard
kuhinja	kuchyně
kuhinja	kuchyně
kuhinja	kuchyň
antoaneta	antoinette
provesti	provádět
provesti	strávit
provesti	utrácet
provesti	utratit
clarke	clarke
adler	adler
patent	patent
patent	patentu
malik	malik
osvojen	dobyl
osvojen	vyhrála
osvojen	vyhráli
osvojen	vyhrál
eine	eine
neretva	neretva
masne	tučné
masne	tučný
masne	mastných
masne	mastné
sastojci	ingredience
sastojci	přísady
puca	střílí
pravci	trasy
pravci	směry
pravci	směr
crnaca	černoši
višnjan	višnjan
policajac	polda
policajac	policajt
policajac	policista
policajac	policajt
policajac	policista
marijan	marijan
ramat	ramat
puli	puli
travi	tráva
travi	trávy
sunčev	sluneční
sunčev	solární
približava	blíží
reed	reeda
reed	reed
reed	reedová
ispita	zkoušky
vodopad	vodopády
vodopad	vodopád
fiorentina	fiorentina
slovački	slovenská
slovački	slovenské
makedonci	makedonci
predavač	lektor
predavač	instruktora
predavač	instruktor
preciznost	precizní
preciznost	přesnost
preciznost	správnost
preciznost	přesnost
preciznost	přesnosti
bernhard	bernhard
openstreetmap	openstreetmap
uspješni	úspěšná
uspješni	úspěšně
uspješni	úspěšné
uspješni	úspěšný
milka	milka
morris	morris
morris	morrise
linearno	lineární
koncerti	koncertů
koncerti	koncerty
dubini	hloubku
dubini	hloubka
dubini	hloubky
rukopisa	rukopisy
sastavljene	složil
sastavljene	skládá
pratnji	průvodní
pratnji	doprovázející
slojevi	vrstvy
slojevi	vrstev
monumental	monumentální
philipp	philipp
istinski	skutečně
savršeno	perfektně
savršeno	dokonale
perua	peru
vaduz	vaduz
doo	doo
skladište	skladiště
skladište	sklad
skladište	sklad
skladište	úložiště
skladište	uchovávání
skladište	skladování
procedure	postupy
procedure	procedury
procedure	postupů
duhovne	duchovní
duhovne	duševní
duhovne	spirituální
ptolemej	ptolemaios
hod	chůze
hod	procházka
hod	chodit
hod	chůze
hod	pěšky
face	tvář
face	obličej
face	face
hannah	hannah
hannah	hana
senatora	senátoři
helen	helena
helen	helen
najbrže	nejrychlejší
najbrže	nejrychleji
pristalice	příznivci
pristalice	stoupenci
srž	dřeň
srž	dřeně
srž	podstata
srž	esence
cool	hustý
cool	pohoda
cool	super
pršljenova	obratle
pršljenova	obratlů
benedikt	benedict
dubinu	hloubku
dubinu	hloubka
dubinu	hloubky
organela	organela
trump	trump
lech	lech
viđenje	pozorování
tang	tang
amon	amon
molitve	modlitba
molitve	modliteb
molitve	modlitby
gutenberg	gutenberg
kontroliše	ovládání
kontroliše	kontrola
kontroliše	kontrolní
kontroliše	kontrolu
kontroliše	ovládá
kontroliše	ovládání
kontroliše	kontroly
profesionalno	profesionálně
magnetno	magnetický
magnetno	magnetické
magnetno	magnetická
karate	karate
izgubljena	ztracený
izgubljena	ztraceno
izgubljena	ztratil
izgubljena	ztraceni
izgubljena	ztracen
izgubljena	ztracená
rita	ritu
rita	rita
channel	kanál
uvesti	představit
uvesti	zavádět
uvesti	zavést
animirani	animované
zaposleni	zaměstnaní
zaposleni	zaměstnané
goa	goa
krzno	kožešiny
krzno	srst
laboratoriji	laboratoře
laboratoriji	laboratorní
laboratoriji	laboratoř
laboratoriji	laboratoř
proglašeno	vyhlášen
proglašeno	prohlásil
sponzor	sponzora
sponzor	sponzor
sponzor	patron
naoružani	ozbrojená
naoružani	ozbrojený
naoružani	ozbrojen
naoružani	ozbrojené
operativne	operační
operativne	operativní
operativne	provozní
atomski	atomová
atomski	atomové
atomski	atomový
zahtijevao	požadoval
zahtijevao	požadovala
zahtijevao	vyžadoval
zahtijevao	požadovali
parametara	parametry
puerto	puerto
tab	karta
tab	tab
balada	baladu
opseg	působnosti
opseg	působnost
opseg	rozsah
zabranjuje	zakazuje
lionel	lionel
prostorija	prostory
prostorija	areál
vidljiv	viditelný
vidljiv	viditelná
vidljiv	viditelné
agassi	agassi
lijekove	léky
slanje	odeslání
slanje	odesílání
slanje	posílám
slanje	zaslání
divlja	divočina
divlja	divoká
divlja	divoké
divlja	divoký
izrada	dělání
izrada	vypracování
senator	senátor
senator	senátorka
automatsko	automatický
automatsko	automatické
automatsko	automatická
pšenice	pšenice
radar	radar
obavezan	povinně
obavezan	povinné
obavezan	povinná
obavezan	povinný
lac	lac
navodeći	výpis
korisni	užitečná
korisni	užitečný
korisni	užitečné
korisni	užitečná
korisni	užitečný
korisni	užitečné
odgovarajućeg	odpovídající
primoran	donutil
primoran	donucen
primoran	nucené
izvođači	umělci
smanjilo	snížil
domaćinstva	domácností
domaćinstva	domácnosti
