voorspellings	கணிப்புகள்
wikis	விக்கிகள்
drag	ஆடை
ultra	அல்ட்ரா
pioneer	முன்னோடி
belangstellings	ஆர்வங்கள்
plantkunde	தாவரவியல்
tommy	டாமி
verskerp	தெளிவான
dierkunde	விலங்கியல்
gloria	குளோரியா
havana	ஹவானா
café	கபே
duideliker	தெளிவாகும்
bureau	பீரோ
rita	ரீட்டா
dispuut	புகாரை
dispuut	தகராறு
dispuut	தர்க்கம்
genesing	தங்களை
genesing	தாமே
genesing	தங்களுக்கு
sagter	கீழ்
sagter	கீழ்நிலை
wikimania	விக்கிமேனியா
lagos	லாகோஸ்
wyses	வழிகள்
werksgeleenthede	வேலைகள்
werksgeleenthede	தொழில்கள்
werksgeleenthede	வேலைவாய்ப்புகள்
werksgeleenthede	பணிகள்
veiling	ஏலம்
bisse	பிட்ஸ்
rockwell	ராக்வெல்
amundsen	அமுண்ட்சென்
nairobi	நைரோபி
globalisering	உலகமயமாதல்
weggesteek	மறைத்த
weggesteek	மறைந்த
weggesteek	மறைக்கப்பட்ட
weggesteek	மறைந்துள்ள
weggesteek	மறைக்கப்பட்டது
weggesteek	மறைந்து
pagina	pagina
kalm	அமைதி
sant	சான்ட்
edi	edi
merops	merops
lewensmaat	துணை
lewensmaat	பங்குதாரர்
lewensmaat	கூட்டாளர்
lewensmaat	துணைவர்
skilpad	ஆமை
eindhoven	ஐந்தோவன்
logies	தருக்க
cfa	cfa
sammy	சாம்மி
barbarossa	barbarossa
buis	குழாய்
sintaks	நெறி
sintaks	தொடரியல்
onskuldige	அப்பாவி
commonwealth	பொதுநலவாய
commonwealth	காமன்வெல்த்
direkteure	directors
direkteure	இயக்குநர்கள்
direkteure	இயக்குனர்கள்
verpleegsters	செவிலியர்கள்
hector	ஹெக்டர்
papa	அப்பா
aanvullende	supplementary
ground	தரை
ground	மைதானம்
ground	மைதானத்தில்
addclass	addclass
tostring	tostring
mussolini	முசோலினி
jeremia	எரேமியா
andre	ஆண்ட்ரே
modus	முறை
modus	முறைமை
modus	வகை
modus	முறையில்
modus	பயன்முறை
oswald	ஒஸ்வால்ட்
pou	pavo
batterye	பேட்டரிகள்
brooks	ப்ரூக்ஸ்
dinosourus	டைனோசர்
iowa	அயோவா
stella	ஸ்டெல்லா
frases	வாக்கியங்கள்
drankies	பானங்கள்
drankies	பானங்கள்
molly	மோலி
zeppelin	செப்பெலின்
publisiteit	publicity
hoesein	உசேன்
vic	விக்
niccolò	நிக்கோலோ
skouer	தோள்பட்டை
skouer	தோள்
angels	தேவதைகள்
angels	மலக்குகள்
verpleegster	செவிலியர்
verpleegster	நர்ஸ்
omwentelinge	revolutions
subclassis	subclassis
curie	கியூரி
pseudo	pseudo
buurman	உறவினர்
buurman	பக்கத்து
buurman	உறவினர்
burlington	burlington
hertz	ஏர்ட்சு
rolling	rolling
bath	குளியல்
bath	பாத்
oefeninge	பயிற்சிகள்
motorfiets	மோட்டார்சைக்கிள்
leibniz	லைப்னிட்ஸ்
viktor	விக்டர்
theresa	தெரேசா
sirius	சிரியஸ்
taksonomie	taxonomy
pap	கஞ்சி
pap	பாயசம்
pap	பப்பியாமெந்தோ
lote	இலந்தை
edwards	எட்வர்ட்ஸ்
sokrates	சாக்கிரட்டீசு
histoire	histoire
marcellus	மர்செல்லுஸ்
deutscher	deutscher
arbeider	தொழிலாளி
sevilla	செவீயா
verwerker	ஆக்கி
tutu	tutu
dell	டெல்
gerald	ஜெரால்ட்
lac	lac
verbaas	ஆச்சரியத்தில்
verbaas	ஆச்சரியமாக
ekwatoriaal	நிலநடுக்கோடு
dronk	குடித்து
dronk	குடித்துவிட்டு
dors	தாகம்
kirgisië	கிர்கிஸ்தான்
kitts	கிட்ஸ்
thatcher	தாட்சர்
rubens	ரூபென்ஸ்
ahmed	அகமது
ahmed	அஹ்மத்
disse	பாத்திரங்கள்
telegram	தந்தி
gekleur	வர்ணம்
professioneel	தொழில்முறை
tente	கூடாரங்கள்
battery	பேட்டரி
knoppie	பொத்தான்
knoppie	பட்டன்
portal	போர்டல்
oortollige	அதிகப்படியான
konrad	கொன்ராடு
versamelde	சேகரிக்கப்பட்ட
handboek	பாடநூல்
judea	யூதேயா
diefstal	திருட்டு
diefstal	திருடி
seksie	பிரிவு
planck	பிளாங்க்
kobalt	கால்சியம்
chun	சுன்
aangee	கடந்து
verdedigende	தற்காப்பு
siamese	சியாமிய
platforms	தளங்கள்
dsm	dsm
boodskapper	finger
wêrelde	உலகின்
wêrelde	உலகங்கள்
pastor	பாஸ்டர்
vagina	யோனி
neville	நெவில்
toevertrou	ஆச்சரியமான
mohammad	முகமது
mohammad	முகம்மது
reich	ரெய்க்
gone	போய்விட்டது
gone	சென்று
gone	போனது
veterane	படைவீரர்
daryl	டேரில்
subphylum	subphylum
rath	ரத்
dharma	தர்மம்
dharma	தர்மா
midway	மிட்வே
buzz	buzz
shelley	ஷெல்லி
dolfyne	டால்பின்கள்
sjoe	வாவ்
sjoe	ஆஹா
sjoe	ஆச்சர்யம்
sjoe	கடவுளே
bela	bela
werkgewer	நிறுவனம்
bennett	பென்னெட்
blitz	பிளிட்ஸ்
bastille	பாஸ்டில்
belize	பெலிஸ்
pensioen	ஓய்வூதியம்
vanaand	இன்றி
vanaand	இன்றிரவு
terra	டெரா
r}}	r}}
insigte	புள்ளிவிவரம்
insigte	புள்ளிவிவரங்கள்
emanuel	இமானுவேல்
halloween	ஹாலோவீன்
verstrek	திருத்துதல்
verstrek	எடிட்டிங்
verstrek	தொகுத்தல்
deutsch	deutsch
claire	கிளயார்
cope	கோப்
sekretaresse	பொருளாளர்
sekretaresse	செயலர்
sekretaresse	செயலாளர்
merkers	அடையாளங்கள்
merkers	குறியீடுகள்
normal	இயல்பான
normal	சாதாரணம்
normal	இயல்பு
normal	இயல்பாக
normal	சாதாரண
digest	கொத்து
paula	பவுலா
lojaal	விசுவாசமான
lojaal	விசுவாசமாக
smolensk	smolensk
gebaar	சைகை
stoute	அழுக்கு
allende	அயேந்தே
vista	விஸ்டா
vanuatu	வனுவாட்டு
hosea	ஒசேயா
generiese	பிறப்பு
kingston	கிங்ஸ்டன்
visualeditor	visualeditor
durf	துணிச்சல்
sop	சூப்
afvoer	வெளியீடு
boet	வடிக்க
tamaties	தக்காளி
outo	தானியங்கு
outo	தானியங்கி
outo	தானாகவே
outo	தன்னியக்கம்
outo	ஆட்டோ
hayward	ஹேவார்ட்
xvii	xvii
istanbul	இஸ்தான்புல்
besering	காயம்
tune	இசைக்கு
welsh	வெல்ஷ்
pycnonotus	pycnonotus
cda	cda
negentien	பத்தொன்பது
richter	ரிக்டர்
skadelik	தீங்கிழைக்கும்
richards	ரிச்சர்ட்ஸ்
fleming	ஃபிளெமிங்
picchu	பிச்சு
diktatorskap	சர்வாதிகாரம்
urine	சிறுநீர்
goes	செல்கிறது
shirley	ஷிர்லி
glukose	குளுக்கோஸ்
geldigheid	validity
geldigheid	முறையான
qui	யாருடையது
konfigurasie	கணக்கீடு
konfigurasie	கணக்கிடுதல்
konfigurasie	கணக்கெடுப்பு
commando	கமாண்டோ
organiseerder	அமைப்பாளர்
organiseerder	நிறுவனர்
bouer	பில்டர்
nottingham	nottingham
papers	பேப்பர்ஸ்
lopez	லோபஸ்
lopez	லோபஸ்
paragraaf	பத்தி
ares	ஏரிஸ்
verbeteringe	ஒட்டு
clara	கிளாரா
freddie	பிரட்டி
raf	raf
beverly	பெவர்லி
rush	ரஷ்
rush	அவசரத்தில்
mango	மா
mango	மாம்பழம்
meganismes	பொறிமுறைகள்
problems	சர்ச்சைகள்
problems	பிரச்சனைகள்
problems	பிரச்சினைகள்
emosie	உணர்ச்சி
inn	சத்திரம்
olympia	ஒலிம்பியா
murat	முராத்
optel	கூட்டல்
radar	ரேடார்
christine	கிறிஸ்டின்
factbook	ஃபக்ட்புக்
spellings	spellings
oproer	கலகம்
oproer	கலவரம்
branson	பிரான்சன்
brent	பிரண்ட்
garcia	கார்சியா
levy	லெவி
uitsending	ஒளிபரப்பு
forbes	ஃபோர்ப்ஸ்
passer	காம்பஸ்
drukkers	அச்சுப்பொறிகள்
aalto	ஆல்ட்டோ
kipling	கிப்ளிங்
ervaringe	அனுபவங்கள்
peak	சிகரம்
iris	ஐரிஸ்
nippon	நிப்பான்
konserwatief	பழமைவாத
konserwatief	குறைந்தளவு
marteling	சித்திரவதை
marteling	இம்சை
afrigters	பயிற்சியாளர்கள்
pluimbal	பூப்பந்து
prometheus	prometheus
grimaldi	கிரிமால்டி
fidel	பிடல்
filter	அலங்காரம்
filter	வடிகட்டி
filter	வடிகட்டு
judas	யூதாசு
grenoble	கிரனோபிள்
sandy	சாண்டி
nebraska	நெப்ராஸ்கா
vaartuie	நாளங்கள்
slaapkamer	படுக்கையறை
vreemdeling	அந்நியன்
rns	மனிதனிடம்
colony	காலனி
accessdate	accessdate
damian	டேமியன்
jennifer	ஜெனிபர்
kykers	காட்டி
kykers	சாளரம்
kykers	பார்வையாளர்கள்
kykers	பார்வைகள்
geskeur	ஜாக்கெட்
tablet	டேப்லெட்
gal	பித்தநீர்
norton	நார்டன்
algebraïese	இயற்கணித
nsdap	nsdap
gondwana	கோண்டுவானா
alumni	alumni
bevinding	கண்டுபிடித்தல்
boeddhas	புத்தர்கள்
con	con
irc	irc
vou	மடி
heaven	சொர்க்கம்
aalwyn	ஆலோ
aalwyn	கற்றாழை
aalwyn	அலோ
ariel	ஏரியல்
mill	மில்
skating	ஸ்கேட்டிங்
gemagtig	அங்கீகரிக்கப்பட்ட
porter	போர்ட்டர்
mimi	மிமி
misdadigers	குற்றவாளிகள்
skaam	வெட்கம்
skaam	அவமானம்
kaunda	கவுண்டா
hamburger	பர்கர்
opstelling	அமைவு
opstelling	அமை
opstelling	அமைப்பு
opstelling	வடிவமைப்பு
opstelling	கட்டமைப்பு
adriatiese	ஏட்ரியாட்டிக்
mayer	மேயர்
kliere	நனை
heathrow	ஹீத்ரோ
ignoreer	மறுத்தல்
richardson	ரிச்சர்ட்சன்
fietse	சைக்கிள்கள்
cas	cas
operator	ஆபரேட்டர்
watts	வாட்ஸ்
vom	vom
aflewering	வாடா
aflewering	வழங்கல்
aflewering	டெலிவரி
asyn	வினிகர்
expo	எக்ஸ்போ
ontvangers	பெறுநர்கள்
saul	சவுல்
speurder	துப்பறியும்
speurder	உளவாளி
torch	டார்ச்
torch	பந்தம்
brunswick	பிரன்சுவிக்
offers	சலுகைகள்
aantreklikheid	ஈர்ப்பு
transistor	திரிதடையம்
royce	ராய்ஸ்
emosioneel	உணர்ச்சி
dies	இறந்தாலும்
penny	பெனிலோப்
penny	பென்னி
leonid	லியோனிட்
ontsluit	திறத்தல்
ontsluit	பூட்டு
ontsluit	அனுமதி
comune	comune
carnegie	கார்னிகி
edge	விளிம்பு
edge	முனை
edge	எட்ஜ்
reid	ரெய்ட்
dominica	டொமினிக்கா
agentskappe	ஏஜென்சிகள்
demonstrasie	டெமோ
babbage	பாபேஜ்
sagteband	பேப்பர்பேக்
gestry	போராடினார்
gestry	போராடிய
middernag	நள்ளிரவு
broenei	புரூணை
absoluut	முற்றிலுமாக
absoluut	முற்றிலும்
galápagos	கலாபகசுத்
klaskamer	வகுப்பறை
uitgedaag	சவாலாக
hirundo	hirundo
eksoplaneet	புறக்கோள்
sonnige	சன்னி
sonnige	வெயில்
sonnige	வெய்யில்
vrolike	உற்சாகமான
ashton	ஆஷ்டன்
seattle	சியாட்டில்
mynwese	சுரங்க
mynwese	சுரங்கம்
ballon	பலூன்
pirates	கொள்ளையர்களை
pirates	கொள்ளையர்கள்
cohen	கோஹன்
rod	கம்பியை
rod	ராட்
jens	jens
speelgoed	பொம்மைகள்
rochester	உரோச்சட்டர்
edt	edt
burroughs	பர்ரோசு
portland	portland
catarina	காவலன்
leicester	leicester
filippo	filippo
outydse	விண்டேஜ்
judith	ஜூடித்
manet	மனே
hannah	ஹன்னா
elektronies	எலக்ட்ரானிக்
elektronies	மின்னணு
osborne	ஆஸ்போர்ன்
drankie	குடிக்க
drankie	குடி
drankie	பானம்
tianjin	தியான்ஜின்
samestellende	constituent
senna	சென்னா
ensiem	நொதி
diagonale	குறுக்கு
seal	முத்திரை
ethnologue	ethnologue
acta	acta
randall	ராண்டல்
kanaän	கானான்
outoriteit	அதிகாரிகளிடம்
vyftiende	பதினைந்து
oppenheimer	ஓப்பன்ஹீமர்
dienaar	வேலைக்காரன்
rene	ரெனே
sama	sama
kategismus	catechism
fasiliteit	வசதி
tariewe	விலைகள்
tariewe	விகிதங்கள்
litt	லிட்
shanghai	ஷாங்காய்
bylae	திட்டமிடுதல்
bylae	அட்டவணை
irl	irl
ursus	ursus
kosmologiese	பிரபஞ்சவியல்
arseen	ஆர்சனிக்
dinamiet	டைனமைட்
fellow	சக
telegraph	telegraph
malaysia	மலேசியா
malaysia	மலேஷியா
rohan	ரோஹன்
onsigbare	கண்ணுக்குத்
doeane	சுங்க
haan	சேவல்
shetland	shetland
duiwe	புறாக்கள்
bernoulli	bernoulli
shane	ஷேன்
ruben	ரூபன்
hebride	hebrides
maandeliks	மாதந்தோறும்
maandeliks	மாதாந்திர
maandeliks	மாத
kostes	கட்டணங்கள்
driehoeke	முக்கோணங்கள்
sms	sms
pulsar	பல்சர்
niue	நியூ
niue	நியுவே
draadlose	வயர்லெஸ்
deutschen	deutschen
sul	sul
horlosies	கடிகாரங்கள்
bibliotekaris	நூலகர்
sami	சாமி
uile	ஆந்தை
gemoed	மூட்
gemoed	மனநிலையை
gemoed	மனநிலை
goddard	கொடார்ட்
troy	டிராய்
lamp	விளக்கு
grenada	கிரனாடா
bygewerk	புதுப்பிக்கப்பட்டது
guam	குவாம்
plak	ஒட்டு
plak	சொற்றொடர்
constance	கான்ஸ்டன்ஸ்
gaar	சமைத்த
savoie	savoie
cern	cern
bon	பாண்
mummie	மம்மி
stadt	stadt
tracy	ட்ரேசி
bam	பாம்
july	ஜூன்
july	jun
july	ஜீன்
hok	கூண்டு
rekeningkunde	கணக்கியல்
onnodige	தேவையற்ற
saluut	வணங்குகிறேன்
schumann	சூமான்
camus	காம்யு
heath	ஹீத்
verantwoordelikhede	பொறுப்புகள்
ftp	ftp
laterale	lateral
nok	நோக்
mia	மியா
wenera	வெனேரா
macbeth	மக்பெத்
moederland	தாயகம்
labeo	labeo
nunavut	நுனாவுட்
slank	அட்டகாசமான
angolensis	angolensis
euler	ஆய்லர்
ami	அமி
irish	ஐரிஷ்
williamson	வில்லியம்சன்
arabia	அரேபியா
bakker	பேக்கர்
bartolomeo	bartolomeo
vuurwapens	துப்பாக்கிகள்
patriotisme	தேசபக்தி
embargo	embargo
chomsky	chomsky
practice	பயிற்சி
heeltyd	தொடர்ச்சியாக
mafia	மாபியா
domingo	டொமிங்கோ
wreed	கொடூரமான
redigeer	திருத்தங்கள்
redigeer	திருத்துதல்
redigeer	எடிட்டிங்
redigeer	தொகுத்தல்
metafisika	மீவியற்பியல்
griffiths	கிரிஃபித்ஸ்
silindriese	உருளையான
joods	யூதர்
joods	யூத
joods	யூதர்களின்
geaffekteer	பாதிக்கப்பட்ட
geaffekteer	பாதிக்கப்பட்டு
bls	bls
indiër	இந்தியர்
indiër	இந்தியன்
indiër	இந்திய
meteoriet	விண்வீழ்கல்
maximus	maximus
lowe	லோவ்
sirkelvormige	சுற்றறிக்கை
nsw	nsw
medina	மதீனா
kadmium	காட்மியம்
marble	பளிங்கு
omhulsel	கவர்
omhulsel	உறை
bakkies	டிரக்குகள்
etnisiteit	இனக்குழு
etnisiteit	இனம்
maer	மெல்லிய
uniforms	சீருடைகள்
sepc	sepc
samsung	சாம்சங்
samsung	samsung
jsp	jsp
lance	லான்ஸ்
quattro	குவாட்ரோ
verdagte	சந்தேகத்திற்கிடமான
verdagte	சந்தேகத்திற்குரிய
knoppies	பொத்தான்கள்
harding	harding
atatürk	அத்தாதுர்க்
entrepreneurs	தொழில்முனைவோர்
gulden	கில்டர்
celtic	செல்டிக்
banier	பதாகை
banier	பேனர்
chevalier	செவாலியே
martins	மார்டின்ஸ்
beamptes	அலுவலர்கள்
beamptes	அதிகாரிகளின்
beamptes	அதிகாரிகள்
kees	கீத்
pyle	அம்புகள்
reptiel	ஊர்வன
hulpbron	வள
hulpbron	வளம்
taxi	டாக்ஸி
taxi	டாக்சி
gil	அலறல்
teëls	ஓடுகள்
luisteraars	கேட்பவர்கள்
msg	msg
oro	oro
parabool	பரவளையம்
krediet	கிரெடிட்
krediet	கடன்
gorilla	கொரில்லா
bofbal	பேஸ்பால்
naledi	naledi
bomaanval	குண்டுவெடிப்பு
ekostelsel	ecosystem
tgv	tgv
mhz	mhz
going	கலந்துகொள்கிறார்
going	செல்கிறார்
going	செல்கிறேன்
going	செல்கிறது
going	போகிறது
betaalde	செலுத்தப்பட்டது
skedule	திட்டமிடுதல்
skedule	அட்டவணை
moor	மூர்
soon	விரைவில்
soon	சீக்கிரமே
eindige	தீர்ந்த
davidson	டேவிட்சன்
hood	ஹூட்
dion	டியான்
abdul	abdul
abdul	அப்துல்
ete	சாப்பாடு
carmen	கார்மென்
tor	tor
industries	இண்டஸ்ட்ரீஸ்
kwalifikasies	தகுதிகள்
verrassing	ஆச்சரியம்
verrassing	ஆச்சர்யம்
juliet	ஜூலியட்
innoverende	புதுமையான
placid	placid
milan	சேரும்
milan	மிலன்
rampe	பேரழிவுகள்
mergedrow	mergedrow
arme	ஏழை
arme	பாவம்
arme	மோசம்
brooke	புரூக்
dna	dna
auschwitz	auschwitz
protokolle	நெறிகள்
affair	காரியத்தை
sharif	ஷெரீப்
italia	இத்தாலியா
mier	எறும்பு
triton	டிரைட்டன்
ankara	அங்காரா
ontwikkelaar	டெவலப்பர்
ontwikkelaar	உருவாக்குநர்
ontwikkelaar	உருவாக்கி
ontwikkelaar	உருவாக்கியோர்
pauline	பாலின்
breuke	திசை
manor	மனோர்
sirkels	வட்டங்கள்
eur	eur
becker	becker
alchemie	இரசவாதம்
xinjiang	சிஞ்சியாங்
vertelling	உயிரூட்டப்பட்ட
strooi	வைக்கோல்
geseënd	பாக்கியம்
carlton	கார்ல்டன்
sulla	sulla
delaware	delaware
toppunt	சிகரம்
ruik	வாசனை
ruik	மணம்
hume	யூம்
gonzález	gonzález
fitzgerald	ஃபிட்ஸ்கெரால்ட்
mach	mach
mhnt	mhnt
dem	dem
satire	நையாண்டி
asma	ஆஸ்துமா
reuben	ரூபன்
verbruiker	நுகர்வோர்
manfred	manfred
kundigheid	நிபுணத்துவம்
voetgangers	பாதசாரிகள்
emilio	எமிலியோ
geborg	விளம்பரதாரர்கள்
herberg	சத்திரம்
grof	நீளமாக
grof	ஒட்டும்
opgewonde	உற்சாகமாக
ccff	ccff
brando	பிராண்டோ
karelië	karelia
nasdaq	நாஸ்டாக்
studios	ஸ்டுடியோஸ்
peel	பீல்
colombo	கொழும்பு
serengeti	serengeti
toilet	கழிவறை
toilet	கழிப்பறை
roebel	ரூபிள்
bengaalse	வங்காளம்
lokaal	நிகழ்விடம்
eliot	எலியட்
soen	முத்தமிட்டு
soen	கிஸ்
soen	முத்தம்
soen	முத்தமிட
amelia	அமெலியா
bonus	போனஸ்
multimedia	மல்டிமீடியா
seile	வேலா
alamos	alamos
liggings	இருப்பிடங்கள்
liggings	இடங்கள்
diane	டயான்
rem	பிரேக்
para	பாரா
kleurvolle	வண்ணமயமான
walmer	walmer
kambrium	cambrian
asiese	ஆசிய
mall	மால்
herbarium	herbarium
selassie	செலாசி
evalueer	மதிப்பிடு
kristal	கிரிஸ்டல்
domineer	ஆதிக்கம்
beddens	படுக்கைகள்
currentclub	currentclub
harm	தீங்கு
harm	தீங்கும்
sojoes	சோயுஸ்
oortredings	குற்றங்களை
rok	உடையில்
rok	ஆடை
rok	உடை
gesellschaft	gesellschaft
kafee	கஃபே
kafee	அருந்தகம்
booth	பூத்
booth	பூத்து
xavier	சேவியர்
lelik	அசிங்கமாக
lelik	அசிங்கமான
devoon	devonian
messias	மெசியா
begaan	செய்து
krokodil	முதலை
aanwysings	திசைகள்
aanwysings	வழிகள்
deursigtige	ஊடு
deursigtige	ஊடுருவல்
saarland	saarland
nikita	நிகிதா
kwalifiserende	eligibility
kwalifiserende	தகுதி
kwalifiserende	தகுதியுள்ள
ouditorium	அரங்கம்
mandjie	கார்ட்
mandjie	வண்டி
winchester	வின்செஸ்டர்
