paquets	csomagok
judicis	próbák
grove	grove
apollo	apollo
apollo	apolló
plànol	sík
plànol	repülővel
plànol	repülő
plànol	repülőgép
patates	krumpli
patates	burgonya
metabolisme	anyagcsere
metabolisme	metabolizmus
caos	káosz
hunter	hunter
hunter	vadász
jefferson	jefferson
obligacions	kötelezettség
obligacions	kötelezettségek
obligacions	kötelezettségei
obligacions	kötelezettségekkel
cecília	cecilia
polo	póló
polo	polo
polo	vízilabda
yes	igen
trento	trento
français	français
floyd	floyd
seients	ülések
seients	ülés
frau	csalás
frau	csaló
llimona	citromos
llimona	lemon
llimona	citrom
sentia	éreztem
sentia	érezte
nervis	idegek
tolerància	tolerancia
phoenix	főnix
phoenix	phoenix
diables	ördögök
suecs	svédek
born	született
born	megszületett
amenaçat	fenyegetett
definicions	fogalmak
definicions	meghatározások
directori	könyvtár
directori	könyvtárban
neutrons	neutronok
funeral	temetésen
funeral	temetés
funeral	temetése
felicitat	boldogság
felicitat	boldogságot
rares	ritka
jura	jura
subgrup	alcsoport
bonn	bonn
plegat	szeres
plegat	hajtás
plegat	összecsukható
tallat	vágás
pronunciació	kiejtés
intencions	szándékai
intencions	szándék
estrets	straits
conill	nyúl
conill	nyuszi
navegador	böngésző
tia	csaj
tia	pipi
tia	tia
banco	banco
textura	textúra
ismail	ismail
belgues	belgák
trobant	megtalálni
trobant	megállapítás
júlia	julia
júlia	júlia
yves	yves
violació	erőszak
administratius	igazgatási
administratius	adminisztratív
heavy	heavy
heavy	súlyos
heavy	nehéz
fantasma	ghost
fantasma	szellem
impedeix	megakadályozza
impedeix	megelőzi
after	után
after	after
after	miután
after	utána
judaisme	judaizmus
cuir	bőr
vegas	vegas
vegas	vegasban
vegas	vegasi
peticions	kérelmek
peticions	kéri
peticions	kérések
exacte	pontos
maximilià	maximilian
senadors	szenátorok
àlies	alias
àlies	álnév
àlies	alias
àlies	álnév
àlies	álneveket
valois	valois
huelva	huelva
mites	mítoszok
influents	befolyásos
cometa	üstökös
nervi	ideg
nervi	idegek
conservats	tartósított
conservats	megőrizte
detroit	detroiti
detroit	detroitban
detroit	detroit
legítim	jogszerű
legítim	törvényes
legítim	jogos
santi	santi
perdó	megbocsátás
cruïlla	csomópont
cruïlla	junction
serguei	szergej
harvey	harvey
julian	julian
théâtre	théâtre
icona	ikon
electró	elektron
disputada	vitatta
disputada	vitatott
combinada	együttesen
combinada	együttes
combinada	kombinált
arkansas	arkansas
horitzó	horizonton
horitzó	horizont
racional	racionális
racional	ésszerű
obligatori	kötelező
obligatori	kötelezően
autobús	busz
autobús	autóbusz
autobús	busszal
transmet	továbbítja
congost	szurdok
fàrmacs	kábítószerek
fàrmacs	gyógyszerek
fàrmacs	drogot
fàrmacs	kábítószer
fàrmacs	drogok
fàrmacs	drog
dimoni	ördög
dimoni	démon
dimoni	démonok
brava	brava
criticar	kritizálni
philadelphia	philadelphiában
philadelphia	philadelphia
philadelphia	philadelphiai
creadors	alkotók
fòssil	fosszilis
lucre	profit
lucre	haszon
lucre	nyereség
sintaxi	szintaxis
mandíbula	állkapocs
soto	soto
autèntica	hiteles
leningrad	leningrád
ombres	árnyékok
ombres	árnyék
ombres	árnyak
constitucions	alkotmányok
administrar	beadni
entusiasme	lelkesedés
assumeix	feltételezi
físicament	fizikailag
físicament	fizikai
terrible	szörnyű
atletes	sportolók
emocions	érzések
emocions	érzelmek
emocions	érzelem
pobladors	telepesek
pib	gdp
hubert	hubert
veterinari	állatorvos
veterinari	veterán
veterinari	állatorvos
finalitza	befejezés
gabon	gabon
orella	fül
orella	füle
chan	chan
mason	mason
mason	kőműves
benín	benin
championship	bajnokság
amagat	elrejtve
amagat	rejtett
amagat	elrejtett
suaus	puha
suaus	lágy
rex	rex
vita	vita
teràpia	kezelés
teràpia	terápia
compilació	válogatás
compilació	összeállítás
nòrdic	skandináv
nòrdic	északi
stade	stade
yale	yale
boris	boris
boris	borisz
bahadur	bahadur
boles	tökös
boles	golyók
decisiu	döntő
decisiu	meghatározó
hotels	hotelek
hotels	szállások
hotels	szállodák
hotels	szállás
príncipe	príncipe
calàbria	calabria
société	société
ensenyaments	leckéket
ensenyaments	tanítások
jordània	jordán
jordània	jordan
puebla	puebla
introduïda	bevezetett
introduïda	bemutatott
organitzen	szervezni
bravo	bravo
dante	dante
creien	hittem
creien	hitte
prohibida	tiltott
ballarina	balerina
ballarina	táncos
ballarina	táncosnő
dedicació	elkötelezettség
automàtic	automata
automàtic	automatikus
loire	loire
suggerit	ajánlott
suggerit	javasolt
genoma	genom
evidentment	nyilvánvaló
evidentment	nyilvánvalóan
hàbits	szokások
hàbits	szokásai
neil	neil
tradueix	fordítás
tradueix	lefordítani
obstacles	akadályokat
obstacles	akadály
obstacles	akadályok
platí	platina
ven	elad
ven	árul
ven	eladja
trípoli	tripoli
lliçons	leckéket
datació	randi
datació	randizni
datació	társkereső
corral	karám
vincenzo	vincenzo
pells	irha
olimpíades	olimpia
viatja	utazik
domèstics	hazai
domèstics	belföldi
transformat	átalakított
transformat	átváltozott
xeic	sejk
terminals	terminálok
dames	dáma
dames	dames
australiana	ausztrál
hard	nehéz
hard	kemény
mayer	mayer
danny	danny
reformar	reformja
gimnàstica	tornász
gimnàstica	torna
let	engedd
granges	gazdaságok
rumors	szóbeszéd
rumors	pletykák
clorur	klorid
node	csomópont
elegant	elegáns
aïllats	elkülönített
aïllats	elszigetelt
inversions	beruházás
inversions	befektetés
inversions	befektetések
inversions	beruházások
madonna	madonna
heli	hélium
caçador	hunter
caçador	vadász
educat	tanult
educat	művelt
educat	udvarias
perillós	veszélyes
llicències	engedélyek
millorat	javult
millorat	javított
millorat	megerősített
pròxima	következő
leon	leon
distintiu	megkülönböztető
distintiu	jellegzetes
distintiu	jelvény
distintiu	jelvényt
debats	beszélgetések
debats	megbeszélések
debats	viták
debats	viták
debats	vitákat
ferrari	ferrari
cripta	kripta
keith	keith
repetició	ismétlés
repetició	ismétlés
salvació	megváltás
diàlegs	párbeszédek
oracle	orákulum
oracle	jós
confiar	bizalom
restant	megmaradt
restant	megmaradó
restant	fennmaradó
contractes	szerződések
pantalons	nadrág
pantalons	gatya
tinta	tinta
tinta	tintát
tinta	tintával
lingüista	nyelvész
tibet	tibet
hassan	hassan
plànols	lapos
plànols	lakás
plànols	sík
plànols	tervrajzokat
dot	hozományt
dot	dot
continuada	folyamatos
continuada	folytatása
continuada	folytatta
continuada	folytatás
continuada	folytatódott
culpable	bűnös
numeració	számozási
aisne	aisne
federacions	szövetségek
defensava	bevallja
mares	anyák
bilingüe	kétnyelvű
greix	zsír
greix	zsírok
greix	fat
greix	kövér
jin	jin
saqueig	fosztogatás
saqueig	zsák
saqueig	zsákot
anunciat	bejelentette
anunciat	bejelentett
anunciat	meghirdetett
lloguer	bérlet
lloguer	kiadó
compensació	kompenzáció
compensació	kártérítés
simbolitza	szimbolizálja
jeanne	jeanne
tel	tel
ampliada	kibővített
apèndix	függelék
reduint	csökkentése
detectiu	nyomozó
detectiu	detektív
trompeta	trombita
corint	corinth
organitzador	szervező
comunicat	jelentett
comunicat	bejelentett
rates	patkányok
ruth	ruth
penjar	lógni
loir	loir
five	öt
five	öten
funcionalitat	funkciók
funcionalitat	funkció
roi	roi
fractura	törés
chopin	chopin
implicats	érintett
sean	sean
entreteniment	szórakozás
entreteniment	entertainment
entreteniment	szórakoztató
entreteniment	szórakoztatás
eritrea	eritrea
genealogia	családtörténet
ran	futott
ran	futottam
mateo	mateo
ritu	rítus
ritu	szertartás
agulles	tűket
agulles	tűk
agulles	tű
inscrits	bejegyzett
inscrits	regisztrált
inscrits	nyilvántartott
pronunciar	kiejteni
llicenciatura	agglegény
llicenciatura	nőtlen
tutela	gyámság
umar	umar
treballador	dolgozó
treballador	munkavállaló
treballador	munkás
plaer	gyönyör
plaer	öröm
plaer	élvezet
plaer	örülök
gene	gén
gene	gene
navegant	hajózás
navegant	vitorlázás
navegant	vitorlás
amnistia	amnesztiát
antilles	antillák
hui	hui
planteja	felveti
monopoli	monopólium
jay	jay
zinc	cink
guies	útmutatók
perfecció	tökéletesség
perfecció	tökély
antònia	antonia
acosta	acosta
correspondre	viszonozni
lituà	litvánia
lituà	litván
indians	indiánok
indians	indiaiak
electric	villamos
electric	villany
electric	elektromos
clade	klád
stefan	stefan
instituts	intézetek
elefant	elefánt
elefant	elefántok
fuentes	fuentes
hostal	fogadó
hostal	inn
hostal	szálló
powell	powell
zimbabwe	zimbabwei
zimbabwe	zimbabwe
atzar	random
atzar	véletlenszerű
atzar	véletlen
mitchell	mitchell
palla	szalma
intel	intel
olis	olajok
mobiliari	bútorok
mobiliari	bútor
orientat	orientált
constructor	építő
constructor	építész
atmosfèrica	légkör
atmosfèrica	atmoszféra
atmosfèrica	légköri
convenient	kényelmes
obertament	nyíltan
dean	dean
dean	dékán
terry	terry
agricultors	farmerek
agricultors	gazdálkodók
agricultors	gazdák
pub	kocsma
pub	kocsmában
aprova	jóváhagyja
aprova	jóváhagyja
aprova	jóváhagyása
aprova	jóváhagyni
mausoleu	mauzóleum
experimentat	tapasztalt
experimentat	tapasztaltak
experimentat	gyakorlott
berna	bern
myanmar	mianmari
tàctica	taktika
discriminació	diszkrimináció
discriminació	megkülönböztetés
despatx	hivatal
despatx	iroda
haydn	haydn
aude	aude
botí	zsákmány
roche	roche
atur	munkanélküliségi
atur	munkanélküli
atur	munkanélküliség
excursionista	kiránduló
bous	bulls
bous	bikák
six	hat
esportista	atléta
esportista	sportoló
esportista	sportember
esportista	sportoló
esportista	sportoló
esportista	jock
sediments	üledék
màgic	varázslatos
màgic	mágikus
neboda	unokahúga
docència	tanít
docència	tanítani
docència	tanítás
pràctic	gyakorlati
pràctic	praktikus
prioritat	prioritás
prioritat	elsőbbséget
proc	proc
romeu	romeo
romeu	rómeó
junior	junior
randall	randall
demòcrates	demokraták
complicat	komplikált
complicat	bonyolult
octavi	octavius
mayo	mayo
laboratoris	labor
laboratoris	laboratórium
laboratoris	laboratóriumok
distribueix	elosztására
distribueix	terjesztés
distribueix	elosztás
distribueix	elosztása
libre	libre
connectat	kapcsolódott
connectat	kapcsolt
connectat	összekapcsolt
connectat	kapcsolatban
donats	adományozott
jordà	jordán
jordà	jordan
definides	meghatározott
definides	meghatározva
intersecció	kereszteződés
suïcidi	öngyilkos
suïcidi	öngyilkosság
alger	algír
boxa	box
boxa	boksz
lleials	hű
lleials	lojális
lleials	hűségesek
lleials	hűséges
sòria	soria
magnus	magnus
austin	austin
tramvia	villamos
rajoles	tégla
riscos	kockázatok
riscos	kockázat
biològic	biológiai
anuncis	hirdetések
anuncis	hirdetés
anuncis	hirdetéseket
belle	belle
kate	kate
edmund	edmund
coordinador	koordinátor
clarke	clarke
roosevelt	roosevelt
coeficient	együttható
clarinet	klarinét
màlik	malik
admet	elismeri
tommy	tommy
convertida	átalakított
comunió	áldozás
edwards	edwards
kenneth	kenneth
linda	linda
aureli	aurelius
llegit	olvasott
secà	szárazon
secà	száraz
neutralitat	semlegesség
chelsea	chelsea
che	che
nutrients	tápanyagok
nutrients	tápanyag
modernització	korszerűsítése
sobreviscut	túlélte
alçària	magassága
alçària	magasság
brooks	brooks
bremen	bremen
eco	visszhang
eco	echo
marea	dagály
tempestes	viharok
vulgar	közönséges
antenes	antennák
antenes	antenna
antenes	antenna
cameron	cameron
seattle	seattle
nuremberg	nürnberg
justificar	igazolja
justificar	indokolja
julie	julie
euskadi	euskadi
reed	reed
tambor	dob
diamant	gyémánt
diamant	diamond
banyes	szarvak
immaculada	hibátlan
immaculada	makulátlan
estrabó	strabo
mensual	havi
mensual	havonta
cometes	üstökösök
collita	aratás
collita	termés
collita	betakarítás
preferència	előnyben
certesa	bizonyosság
certesa	bizonyosságot
cid	cid
domínguez	dominguez
domínguez	domínguez
exercicis	gyakorlatokat
exercicis	gyakorlatok
blois	blois
pantalles	képernyők
armadura	páncél
armadura	páncélos
armadura	páncél
implementar	végrehajtani
implementar	végrehajtja
implementar	végrehajtása
guardó	díj
guardó	díjat
sac	sac
sac	zsák
sac	zsákot
trajecte	utazás
inclús	még
incerta	bizonytalan
walt	walt
malauradament	sajnos
malauradament	sajna
rata	patkányt
rata	patkány
cleveland	cleveland
parcials	elfogult
parcials	részleges
parcials	részlegesen
rogers	rogers
monja	apáca
rumb	persze
emocional	érzelmi
emocional	érzelmes
clergues	papság
motocicleta	motorkerékpár
motocicleta	motoros
motocicleta	motor
ferida	seb
integritat	tisztesség
integritat	integritását
novè	kilencedik
supermercat	szupermarket
rossi	rossi
stefano	stefano
annex	melléklet
homosexuals	homoszexuálisok
policies	zsaruk
policies	rendőrök
policies	rendőrök
estius	summers
bang	bumm
protegeix	megvédi
protegeix	védi
protegeix	véd
esperits	lelkek
esperits	szesz
esperits	szellemek
empresaris	vállalkozóknak
empresaris	vállalkozók
dna	dns
teòleg	teológus
fosa	casting
porcs	disznók
porcs	sertések
porcs	sertés
porcs	malacok
jennifer	jennifer
tarn	tarn
monstre	szörnyeteg
monstre	szörny
robot	robot
enrico	enrico
perry	perry
polzades	centi
polzades	hüvelyk
ríos	ríos
rugby	rögbi
kurds	kurdok
kurds	kurd
murcia	murcia
aziz	aziz
bonifaci	boniface
acompanyats	kísérte
invasors	támadók
edu	edu
apache	apache
apache	apacs
fletxes	nyilak
inestabilitat	instabilitás
moisès	moses
moisès	mózes
matrius	mátrixok
andrews	andrews
estadis	stadionok
luca	luca
sallent	pireneusok
representades	képviselt
representades	képviselte
filharmònica	filharmonikusok
distribuïda	elosztva
distribuïda	elosztott
distribuïda	osztott
conde	conde
ocupacions	foglalkozások
gérard	gérard
tirà	zsarnok
aixecat	felemelte
mentals	beteg
curiositat	kíváncsiság
funcionals	funkcionális
funcionals	működőképes
epir	epiruszi
evacuació	evakuálás
preparats	kész
compacte	kompakt
compacte	tömör
definits	meghatározott
definits	meghatározva
terminologia	terminológia
holmes	holmes
saviesa	bölcsesség
lleons	oroszlán
lleons	oroszlánok
instant	azonnal
instant	instant
instant	azonnali
hitchcock	hitchcock
dakar	dakar
cristòfor	christopher
cristòfor	kristóf
buida	üresek
buida	üres
buida	üresen
cineasta	filmes
brill	brill
corals	korallok
indicat	jelezték
indicat	feltüntetett
indicat	jelezte
barrancs	kanyonok
hongaresos	magyarok
voluntari	önkéntes
àliga	sas
àliga	eagle
wyoming	wyoming
head	fejet
head	fej
head	fejét
balanç	egyenleg
balanç	mérleg
balanç	egyensúly
