mørket	darkness
ran	cướp
abd	abd
slange	rắn
lynne	lynne
taper	losing
taper	thua
taper	thua
taper	thua
taper	thua
dødt	chết
avd	dept
likevekt	equilibrium
diane	diane
gjeng	manh
gjeng	đảng
gjeng	đám
gjeng	lũ
gjeng	đám
gjeng	bunch
gjeng	lũ
minneapolis	minneapolis
spiste	ăn
innkjøp	sắm
innkjøp	shopping
låst	khóa
marker	mác
marker	mark
adler	adler
chu	chu
wiener	wiener
bermuda	bermuda
fornebu	fornebu
ditlev	ditlev
alexis	alexis
nyland	uusimaa
daniels	daniels
skar	xắt
deng	đặng
hermes	hermes
erasmus	erasmus
nine	chín
småland	småland
lucky	may
lucky	lucky
kometer	comets
res	res
morfologi	morphology
vilkårlig	cuốc
vilkårlig	nét
gunn	gunn
maxwell	maxwell
flint	flint
opplyst	lit
opplyst	quẹt
auckland	auckland
amazing	amazing
haga	haga
arc	arc
sikter	aim
sikter	ngắm
sikter	nhắm
guadalajara	guadalajara
magna	magna
buer	boos
buer	nơ
buer	cung
jager	destroyer
stamp	stamp
stamp	tem
wake	thức
wake	wake
loke	loki
hour	tiếng
hour	giờ
bedford	bedford
grepet	grip
grepet	grep
grepet	giựt
ankomsten	đến
hawk	hawk
goryeo	goryeo
hyde	hyde
seriøs	bách
kvadratisk	đc
kvadratisk	square
kvadratisk	vuông
morsomt	hài
morsomt	vui
krydder	spice
walsh	walsh
fåtall	vài
fleet	fleet
oppsett	setup
kirgisistan	kyrgyzstan
hjerter	nhép
hjerter	cơ
hjerter	hearts
familia	familia
hjerne	óc
hjerne	não
hjerne	óc
hjerne	brain
hjerne	não
zanzibar	zanzibar
avganger	departures
engen	engen
torre	torre
neville	neville
haydn	haydn
boone	boone
randers	randers
zhu	chu
tito	tito
che	che
clifford	clifford
chambers	chambers
chambers	vẹn
pirates	pirates
plukke	chọn
plukke	nhặt
stoler	ghế
nitrogen	nitơ
nitrogen	nitrogen
flanke	sườn
forbes	forbes
guild	guild
