zime	winters
luknja	gat
mehaniki	mechanics
selitev	beweeg
selitev	verskuiwing
selitev	migrasie
trening	oefening
trening	practice
trening	praktyk
trening	oefen
trening	oefen
princese	princesses
združujejo	kombineer
darwin	darwin
jetra	lewer
gros	gros
doc	dok
doc	doc
sidney	sidney
hawk	hawk
nosu	neus
operativna	operasionele
aristotel	aristoteles
domneve	vermoede
domneve	assumptions
rommel	rommel
bond	bind
vrhov	pieke
neo	neo
prebivalca	capita
prevlado	dominansie
situacija	situasie
turbo	turbo
občutno	grootliks
gostje	gaste
reed	riet
reed	reed
poškodovan	beskadig
delavnica	werkswinkel
facto	facto
vrže	throws
oboroženi	gewapende
slovesnosti	ceremony
slovesnosti	seremonie
slovesnosti	ceremonies
steblo	agterstewe
palica	stick
palica	stok
sirija	sirië
trans	trans
enrique	enrique
demi	demi
šarapova	sharapova
brane	brane
avtocesta	hoofweg
avtocesta	grootpad
avtocesta	highway
taras	taras
barnes	barnes
dolar	dollar
priljubljene	gunstelinge
priljubljene	gewild
priljubljene	gewilde
priljubljene	gunstelinge
računalništvo	uitwerk
kosa	stuk
kosa	stukkie
vinogradi	wingerde
dreyfus	dreyfus
ptič	voël
kino	kino
kino	flieks
kino	rolprente
kino	movies
kino	cinema
krožni	sirkelvormige
komedije	komedies
palazzo	palazzo
atlanti	atlanta
petit	petit
paša	pasha
paša	perdagtige
interval	interval
komentarji	commentary
komentarji	opmerkings
peš	loop
sas	sas
laser	laser
daniela	daniela
daniela	daan
daniela	daniel
daniela	daniël
zaprte	geslote
zaprte	gesluit
zaprte	toegemaak
ukrajinski	oekraïens
discogs	discogs
bush	bush
edo	edo
jin	jin
gaston	gaston
miren	kalm
miren	vreedsame
miren	rustige
miren	vreedsaam
holland	holland
podeljena	toegestaan
shakespeare	shakespeare
premog	kole
premog	steenkool
živ	lewendig
dodeljena	toegewys
dodeljena	toegeken
dodeljena	toegeskryf
kmetiji	plaas
povečan	toegeneem
povečan	verhoogde
povečan	verhoogde
rože	blomme
raztopina	oplossing
ekološko	organiese
duke	duke
duke	hertog
pika	punt
pika	dot
jutri	môre
jutri	more
hale	hale
ekologija	ekologie
sms	sms
vogel	vogel
osprey	visvalk
jessica	jessica
cepiva	entstof
plavalec	swemmer
kompleksna	komplekse
kompleksna	kompleks
katedrali	katedraal
svetov	worlds
svetov	wêrelde
komponenta	komponent
trojica	trinity
dragi	liewe
ferrer	ferrer
zasebna	privaat
keller	keller
maščobe	fats
maščobe	vet
maščobe	fat
sladkor	suiker
ivanov	iwanof
andersson	andersson
poudariti	hoogtepunt
poudariti	verlig
poudariti	definieer
leander	leander
plezanje	klim
poučevanje	teaching
trupla	bodies
začasna	tydelik
začasna	geheue
začasna	tydelike
začasna	provisional
veselo	vrolik
veselo	vrolike
veselo	blymoedige
kruha	brood
nadstropje	vloer
nadstropje	floor
priporočljivo	aanbevole
priporočljivo	aanbeveel
božanstvo	godheid
reid	reid
kolonijo	colony
kolonijo	kolonie
skala	rock
ptiči	voëls
peroralno	mondelinge
baltimore	baltimore
jos	jos
naštetih	enumerated
avtobusi	busse
robovi	rande
obvestilo	aankondiging
obvestilo	kennisgewing
obvestilo	kennisgewing
egon	egon
peterson	peterson
tekmovalec	mededinger
oddaljenost	afstand
oddaljenost	gewysig
oddaljenost	omvang
ogrožena	bedreigde
ogrožena	gedreig
ogrožena	bedreig
križišča	crossroads
bazen	swembad
licence	lisensies
judi	judi
yorka	york
enakost	gelykheid
granat	garnet
verskega	godsdienstige
verskega	religieuse
verskega	gelowige
krvavitev	uitstroming
razglasitev	proklamasie
zapiski	notas
avtomobili	motors
avtomobili	karre
avtomobili	cars
avtomobili	motors
stirling	stirling
pokol	knee
pokol	slagting
repa	raap
zagon	hupstoot
zagon	bevorder
zagon	momentum
pravočasno	tydige
ericsson	ericsson
pogum	moed
pogum	dapperheid
pogum	valor
ravnovesje	saldo
ravnovesje	balans
ravnovesje	ewewig
fasado	fasade
izjeme	uitsonderings
izjeme	uitsondering
jacobs	jacobs
forbes	forbes
teta	auntie
teta	tannie
neža	stella
sokol	falcon
sokol	hawk
udeležbo	deelname
mila	sepies
mila	seep
mila	mila
richards	richards
ilustrator	illustreerder
žirija	jury
dovoli	toelaat
dovoli	permit
terminal	terminaal
kanado	kanada
kanado	canada
razdelek	division
razdelek	deling
razdelek	seksie
razdelek	afdeling
museo	museo
plesalka	dancer
plesalka	danser
sovražniki	vyand
sovražniki	vyande
letnica	jaar
opredeljena	gedefinieer
opredeljena	omskryf
opredeljena	gedefinieër
preverjanje	check
preverjanje	tsjeggië
preverjanje	kontroleer
preverjanje	verifikasie
propada	ineenstorting
propada	toevou
zakonodaja	wetgewing
floto	fleet
izvoljeni	elected
izvoljeni	verkose
črpalke	pompe
spremenljivka	veranderlikes
infrastrukturo	infrastruktuur
carla	carla
ren	ren
ren	ryn
začetna	aanvanklike
seki	seki
priljubljeni	gewild
priljubljeni	gewilde
priljubljeni	gunsteling
coppa	coppa
prikazane	vertoon
razredi	klasse
voznik	drywer
voznik	aandrywer
zen	zen
osvoboditve	bevryding
jakovljev	yakovlev
organski	organiese
ribič	vissermanne
jagode	strawberries
jagode	aarbeie
ležeče	statiese
ležeče	kursief
ležeče	skuins
dostopni	toeganklike
dostopni	toeganklik
pristopi	approaches
pristopi	benadering
rubin	ruby
ledvice	nier
oporišče	base
oporišče	onderliggende
oporišče	basis
globoka	diep
maroko	morocco
maroko	marokko
zaznavanje	opsporing
zaznavanje	perception
deklice	meisies
deklice	mishandel
islamske	islamitiese
nila	nyl
cohen	cohen
strauss	strauss
škotsko	skotland
izkoriščanje	uitbuiting
globok	diep
srede	woensdag
srede	woensdae
misije	missions
nominacijo	nomination
stebla	agterstewe
rdeč	rooi
posoda	houer
posoda	disse
posoda	vaartuig
mehanske	mechanical
mehanske	meganiese
križarka	cruiser
zlitine	legering
zlitine	allooi
polo	polo
rupert	rupert
izdelovalec	vervaardiger
liberty	vryheid
liberty	liberty
ujema	pas
ujema	passing
ujema	ooreenstem
ujema	ooreenstemming
ellis	ellis
standardno	standaard
anglo	anglo
položaji	standpunte
položaji	posisies
skopje	skopje
količnik	kwosiënt
komunist	kommunistiese
casno	casno
postava	besetting
kilometer	kilometer
odprtine	openings
neodvisen	independent
neodvisen	onafhanklike
neodvisen	onafhanklik
neodvisen	selfstandige
sira	kaas
pravosodje	geregtigheid
pravosodje	justice
pravosodje	justisie
pravosodje	regbank
junkers	junkers
linearna	liniêre
linearna	lineêre
strežnik	bediener
jochen	jochen
pomagalo	gehelp
miška	muis
zidov	mure
povedel	gelei
uničevanje	vernietiging
nadzornik	superintendent
nadzornik	beheerder
nadzornik	warden
poslovanje	besigheid
naročilo	orde
naročilo	bestel
naročilo	volgorde
naročilo	bestelling
naročilo	rangskik
naročilo	kontrak
nasilno	geweldadig
nasilno	geweldadige
nasilno	violent
nasilno	gewelddadig
svetovanje	konsultasie
svetovanje	advies
svetovanje	raad
svetovanje	berading
prekinitev	staak
prekinitev	suspensie
shirley	shirley
pravljico	fairytale
jed	jed
pijače	drankies
pijače	drankies
umberto	umberto
egipčani	egyptians
korejski	korean
korejski	koreaanse
sanchez	sanchez
linearno	liniêre
linearno	lineêre
bloke	blokke
avtobusna	bus
higgins	higgins
patty	patty
porsche	porsche
starodavni	antieke
zagovornik	ondersteuner
parkov	parke
poplav	vloede
popoldne	middag
krivuljo	curve
separator	skeier
separator	tussenin
separator	skeiding
liber	liber
nha	nha
bdp	bbp
ogrevanje	verhitting
preizkus	toets
tucker	tucker
neznani	onbekend
pik	kolletjies
pik	kolle
zagovarja	verkondig
enačbi	vergelykings
poglavar	chief
kvadratov	vierkante
kvadratov	blokkies
java	java
dvojčka	tweeling
natančna	presiese
natančna	akkurate
natančna	akkuraat
primarna	primêr
primarna	primary
primarna	primêre
primarna	belangrikste
orlando	orlando
nezadovoljstvo	ontevredenheid
predstavljeni	uitgelig
predstavljeni	inloer
predstavljeni	gewild
predstavljeni	uitgestal
predstavljeni	uitstal
yale	yale
bernarda	bernard
bernarda	bernardo
kup	hopie
kup	stapel
cher	cher
sodniki	regters
štipendijo	fellowship
štipendijo	beurs
puerto	puerto
živino	vee
zemljišče	grond
horace	horace
sredina	middelste
sredina	midde
razgled	aansig
razgled	besigtig
razgled	bekyk
reginald	reginald
stavke	strikes
skromno	beskeie
skromno	nederig
fizični	fisiese
fizični	fisieke
izvajalec	operator
izvajalec	kontrakteur
izvajalec	performer
izvajalec	kunstenaar
komunistična	kommunistiese
svetniki	saints
kartice	kaarte
spopada	botsing
spopada	clash
etika	etiek
trave	gras
trave	onkruid
elisabeth	elisabeth
anaheim	anaheim
botanični	botaniese
davies	davies
nevarni	gevaarlike
nevarni	gevaarlik
nevarni	gevaarlike
tedensko	daagliks
tedensko	weekliks
tedensko	weeklikse
fundacije	foundations
verz	verse
emi	emi
izgubljena	verlore
izgubljena	verloor
enakovredno	ekwivalente
enakovredno	ekwivalent
cesarji	keisers
leče	lens
artur	arthur
artur	artur
sura	sura
fundacija	fondament
ogromen	huge
ogromen	reus
ogromen	massiewe
ogromen	massive
gianni	gianni
laura	laura
truman	truman
zbranih	versamelde
mills	mills
claudio	claudio
akutni	akute
zrna	graan
maxwell	maxwell
potiska	ondermyn
pripomočki	bykomstighede
pripomočki	toestelle
pripomočki	gadgets
pripomočki	apparate
pripomočki	vigs
opazuje	kyk
mojzes	moses
akutna	akute
optični	optiese
federacija	federasie
normalna	normale
normalna	normal
normalna	normaal
playstation	sony
playstation	playstation
met	gooi
met	toon
sprožilo	aktueerder
mcdonald	mcdonald
potrdi	verifieer
potrdi	bekragtig
potrdi	bevestig
vom	vom
levica	gelaat
kvalifikacij	kwalifikasies
izloči	uitgesluit
stanovanja	woonstelle
usmeritev	oriëntasie
luknjo	gat
mrak	skemer
stopi	melt
uživa	geniet
pištolo	gun
kronična	chroniese
dominikanski	dominikaanse
optično	optiese
atmosfero	atmosfeer
mehanizmi	meganismes
vlaki	treine
lászló	lászló
newcastle	newcastle
pravilnik	regulering
pravilnik	regulasie
strategija	strategie
skladiščenje	berging
ocenjena	geskatte
ocenjena	geraamde
ocenjena	beraamde
frankfurtu	frankfurt
hlist	hlist
pravilen	korrek
membrano	membrane
kopenskih	terrestriële
idealno	ideaal
idealno	verkieslik
poškodovanih	beskadig
proteini	protein
proteini	proteïen
ovce	skaap
celini	kontinent
zaslon	skerm
členi	artikels
nacisti	nazis
žveplo	swael
žveplo	swawel
žveplo	swael
béla	béla
strip	komies
ideal	ideaal
x}}	x}}
ccc	ccc
alfonso	alfonso
tipičen	tipiese
tipičen	typical
hrsg	hrsg
amr	amr
arabska	arab
arabska	arabies
arabska	arabiese
arabska	arabic
otvoritev	inhuldiging
