वैभव	grandeza
पहाड़ियाँ	colinas
पहाड़ियाँ	cerros
मैथ्यू	matthew
मैथ्यू	mateo
गंधक	azufre
गंधक	sulfuro
गंधक	azufre
गंधक	sulfuro
षड्यंत्र	conspiración
प्रशस्त	allanó
अंडमान	andaman
दूषित	corrupto
दूषित	corruptos
दूषित	corrompido
पश्च	trasero
पश्च	trasera
पश्च	retaguardia
पश्च	traseros
रीडर	reader
रीडर	lector
रीडर	lectores
मिर्ज़ा	mirza
क्रांतिकारियों	revolucionarios
हीरे	diamantes
प्रशिक्षक	entrenador
प्रशिक्षक	entrenadora
प्रशिक्षक	formadores
प्रशिक्षक	formador
प्रशिक्षक	instructora
प्रशिक्षक	instructor
उषा	usha
नास्तिक	ateísmo
नास्तिक	ateos
नास्तिक	ateo
जासूसी	espionaje
जासूसी	espiar
जासूसी	espiando
प्रचारित	promovido
प्रचारित	promocionada
प्रचारित	promocionado
प्रचारित	ascendido
सांसारिक	mundano
प्रवर्धक	amplificador
फसलें	cosechas
फसलें	cultivos
डायोड	diodos
डायोड	diodo
अमूर्त	abstracto
अमूर्त	abstractos
अमूर्त	resumen
अमूर्त	abstracta
सौभाग्य	afortunadamente
सौभाग्य	fortuna
सौभाग्य	fortunas
सौभाग्य	fortuna
सौभाग्य	fortune
ब्रायंट	bryant
गैरी	garry
गैरी	gary
कुश	kush
साइमन	simon
साइमन	simón
कार्बोनेट	carbonato
हिब्रू	hebreo
बर्ड	pajaro
बर्ड	aves
बर्ड	pájaro
बर्ड	ave
आत्मसमर्पण	rendirse
आत्मसमर्पण	rendición
आत्मसमर्पण	entrego
एथलेटिक्स	atletismo
तैराकी	nadando
तैराकी	natación
तैराकी	nadar
हक	huck
हक	haque
हक	haq
संस्थागत	institucional
संस्थागत	instituciones
संस्थागत	institucionales
चिट्ठा	blog
चिट्ठा	bitácora
चिट्ठा	blogosfera
ठंड	frio
ठंड	frías
ठंड	fría
ठंड	frío
ठंड	cold
चूहे	ratones
चूहे	ratas
लीड	pistas
लीड	liderar
लीड	plomo
दरार	rift
दरार	grieta
दरार	fisura
दरार	grieta
दरार	crack
परमार	parmar
दार्शनिकों	filósofos
नेहरु	nehru
संवेदना	condolencias
संवेदना	pésame
संवेदना	condolencia
सॉफ़्टवेयर	software
परवाह	cuidados
परवाह	cuidado
परवाह	care
बहुविकल्पी	desambiguación
महेन्द्र	mahendra
बमबारी	bombardeos
बमबारी	bombardeo
बमबारी	bombardear
बमबारी	bomba
कीड़े	gusanos
कीड़े	lombrices
कठपुतली	títeres
कठपुतली	títere
कठपुतली	marioneta
अधीनस्थ	subordinado
अधीनस्थ	subordinadas
अधीनस्थ	subordinada
अधीनस्थ	subordinados
ग्रीनहाउस	invernadero
ग्रीनहाउस	invernaderos
कैम्प	campamentos
कैम्प	camp
कैम्प	campamento
कैम्प	campo
कैम्प	bandos
कैम्प	campos
कैम्प	campamentos
किस्में	hebras
किस्में	variedades
किस्में	variedad
विषाक्तता	intoxicación
विषाक्तता	envenenamiento
खोजी	prospección
खोजी	exploración
खोजी	exploraciones
सम्मेलनों	congresos
सम्मेलनों	conferencias
चिंतित	ansiosa
चिंतित	ansiosos
चिंतित	ansioso
चिंतित	preocupada
चिंतित	preocupados
चिंतित	preocupado
चिंतित	preocupada
चिंतित	preocupados
चिंतित	preocupado
स्टारबक्स	starbucks
छुटकारा	rescata
छुटकारा	rescates
जॉर्डन	jordán
जॉर्डन	jordania
एथलीट	deportista
एथलीट	atleta
एथलीट	deportistas
एथलीट	atletas
बीजापुर	bijapur
विधिक	legales
विधिक	jurídicas
विधिक	legal
विधिक	jurídico
असुरक्षित	inseguras
असुरक्षित	insegura
असुरक्षित	inseguro
असुरक्षित	inseguridad
असुरक्षित	inseguros
असुरक्षित	inseguras
असुरक्षित	insegura
असुरक्षित	inseguro
वृन्दावन	vrindavan
रेखीय	lineal
रेखीय	lineales
शहद	honey
शहद	miel
शहद	cariño
ऑपरेटर	operador
ऑपरेटर	operadora
ऑपरेटर	explotador
ऑपरेटर	operarios
ऑपरेटर	operadores
नल	nulo
नल	nulas
नल	nulos
नल	nula
प्रेसीडेंसी	presidencia
कुक	cocinero
कुक	cook
कुक	cocinar
कुक	cocinera
कुक	cocina
मनी	dinero
मनी	money
मनी	mani
नारा	consigna
नारा	eslogan
नारा	lema
चढ़	óxido
सेक्टर	sector
सेक्टर	sectorial
सेक्टर	sectores
महासागरीय	oceanía
क्रियाशील	activos
क्रियाशील	activo
क्रियाशील	activa
क्रियाशील	adjetivo
बैठकों	reuniones
बैठकों	encuentros
बैठकों	sesiones
भट्ठी	caldera
भट्ठी	horno
कारें	coches
कारें	automóviles
कारें	carros
कारें	autos
क्योकि	porque
सभ्य	decentes
सभ्य	decente
विकलांगता	discapacidad
विकलांगता	invalidez
विकलांगता	incapacidad
विकलांगता	discapacidades
दरिया	darya
दरिया	daria
नोट्स	apuntes
नोट्स	notas
नोट्स	notes
विलास	vilas
कहें	say
कहें	dí
कहें	decir
कहें	diga
कहें	di
एव	ave
सामी	sami
धर्मशास्त्र	teología
सीखा	aprendí
सीखा	aprendido
सीखा	aprendió
आर्क	arc
आर्क	arco
ट्रम्प	triunfo
ट्रम्प	trump
मौद्रिक	monetario
मौद्रिक	monetarias
मौद्रिक	monetarios
मौद्रिक	monetaria
यीशु	jesús
यीशु	jesus
चश्मे	gafas
चश्मे	gafas
चश्मे	lentes
चश्मे	vidrios
चश्मे	gafas
चश्मे	vasos
चश्मे	copas
एक्यूपंक्चर	acupuntura
प्लूटो	plutón
डेनियल	daniel
डेनियल	danilo
थोक	mayorista
थोक	mayoristas
पैरिस	paris
पैरिस	parís
कामयाबी	exitos
कामयाबी	exito
कामयाबी	éxitos
कामयाबी	éxito
प्रोटोटाइप	prototipo
प्रोटोटाइप	prototipos
अभय	abhay
सिलसिले	silas
कुरु	kuru
फर्क	distinguir
फर्क	distinguen
फर्क	diferencia
इयान	lan
इयान	ian
दुग्ध	lecheras
दुग्ध	lácteos
दुग्ध	lácteo
भयभीत	asustados
भयभीत	asustado
भयभीत	asustada
वसूली	recuperación
वसूली	valorización
मौन	silenciado
मौन	silenciado
मौन	silenciar
मौन	muda
मौन	mudo
मौन	mudos
मौन	tácito
मौन	tácita
मौन	silencio
मौन	silenciar
डिप्लोमा	diplomado
डिप्लोमा	diploma
घटा	descenso
घटा	disminuir
घटा	disminuye
घटा	disminución
पॉइंट	puntos
पॉइंट	points
पॉइंट	punta
पॉइंट	point
पॉइंट	punto
त्वरण	aceleración
जमैका	jamaica
स्केल	balanza
स्केल	baremo
स्केल	escalar
स्केल	escala
मक्खन	manteca
मक्खन	mantequilla
साम्राज्यवाद	imperialismo
सूत	hilados
सूत	hilo
सूत	hilado
सूत	algodón
सूत	cotton
इज़राइल	israel
इज़राइल	israelí
वैधता	legalidad
वैधता	validez
वैधता	vigencia
अनन्य	exclusividad
अनन्य	exclusivo
अनन्य	exclusiva
अनन्य	exclusivas
अनन्य	exclusivos
मिथक	mito
मिथक	mitos
श्रृंगार	maquillaje
प्रावधानों	disposiciones
प्रावधानों	provisiones
अर्ल	earl
अर्ल	conde
वेदान्त	vedanta
निर्देशिका	directorio
निर्देशिका	index
निर्देशिका	indice
निर्देशिका	índice
निर्देशिका	directorios
आंग्ल	anglosajón
आंग्ल	anglo
समता	paridad
समता	igualdad
एवेन्यू	avenida
एवेन्यू	avenue
बेरोजगारी	paro
बेरोजगारी	desempleo
लत	adicción
लत	adicciones
जुर्माना	bien
जुर्माना	fine
जुर्माना	fino
जुर्माना	multas
जुर्माना	multa
क़ुरान	corán
पूर्णता	terminación
पूर्णता	finalización
पूर्णता	conclusión
पूर्णता	perfección
ओमान	omán
मार्केटिंग	mercadeo
मार्केटिंग	marketing
मार्केटिंग	mercadotecnia
मार्केटिंग	comercialización
पीड़ितों	victimas
पीड़ितों	víctimas
शक्तियां	powers
शक्तियां	poderes
शक्तियां	atribuciones
शक्तियां	potencias
शक्तियां	fuerzas
शक्तियां	forces
बादलों	nubes
चतुर्भुज	rectángulo
चीता	guepardo
चीता	leopardo
मूक	silenciado
मूक	silencio
मूक	silenciosas
मूक	silenciosa
मूक	silencioso
मूक	silent
मूक	silenciar
मूक	muda
मूक	mudo
मूक	mudos
लीन	lyn
प्रतिभाशाली	genio
प्रतिभाशाली	genialidad
प्रतिभाशाली	genios
प्रतिभाशाली	talentosa
प्रतिभाशाली	talentosos
प्रतिभाशाली	talentoso
प्रतिभाशाली	talento
पनीर	queso
पनीर	quesos
स्मार्ट	listo
स्मार्ट	inteligentes
स्मार्ट	smart
स्मार्ट	inteligente
नियोक्ता	empleadores
नियोक्ता	patronal
नियोक्ता	patrones
नियोक्ता	patronos
नियोक्ता	empresarios
नियोक्ता	empleadores
नियोक्ता	empleador
नियोक्ता	empresario
पश्तो	pashto
मैडोना	madonna
मैडोना	virgen
बराक	barack
बराक	barak
चमकदार	luminoso
चमकदार	luminosas
चमकदार	luminosos
चमकदार	luminosa
चमकदार	brillante
चमकदार	deslumbrante
नाड़ी	pulso
कादर	kader
स्पीकर	altavoz
स्पीकर	orador
स्पीकर	parlante
स्पीकर	oradora
स्पीकर	altavoces
गैसें	gases
सहभागिता	interacción
सहभागिता	compromiso
सहभागिता	interacción
यों	plancha
यों	tablón
गतिविधियाँ	actividades
कल्कि	kalki
इसराइल	israel
इसराइल	israelí
वाट	watt
वाट	vatios
वाट	wat
कच्छ	kutch
कोच्चि	kochi
कृषक	agricultores
कृषक	campesinos
कृषक	granjeros
इंडीज़	indias
ब्राउजर	explorador
ब्राउजर	navegador
गुदा	ano
गुदा	anales
गुदा	anal
टीकाकरण	vacunas
टीकाकरण	vacunación
मूर्तिकला	escultura
शाश्वत	eternidad
किरणें	rayos
वैश्वीकरण	mundialización
वैश्वीकरण	globalización
पूना	poona
बैग	bolso
बैग	bolsa
बैग	bolsos
बैग	bolsas
बैग	maletas
नर्तक	bailarinas
नर्तक	bailarines
नर्तक	bailarina
नर्तक	bailarín
ग्लूकोज	glucosa
नीतियाँ	pólizas
नीतियाँ	politicas
नीतियाँ	políticas
प्रतिभागियों	participantes
दत्ता	datta
दत्ता	dutta
पढ़ना	reading
पढ़ना	leyendo
पढ़ना	leer
पढ़ना	lectura
पढ़ना	lecturas
आपरेशन	operación
आपरेशन	funcionamiento
ब्रॉडबैंड	broadband
मैनुअल	manuales
मैनुअल	manual
दर्जन	docenas
दर्जन	docena
सुखद	agradable
सुखद	pleasant
सुखद	agradables
सुखद	placentera
सस्ती	asequibles
सस्ती	accesible
सस्ती	asequible
सस्ती	tacaño
सस्ती	barato
सस्ती	baratas
सस्ती	baratos
सस्ती	barata
बेखम	beckham
पोषित	nutrir
पोषित	nutre
स्याही	tinta
स्याही	tintas
रॉस	ross
हल्दी	cúrcuma
हवाओं	viento
हवाओं	vientos
परम्पराओं	tradiciones
पूछे	preguntado
पूछे	preguntar
पूछे	preguntando
पूछे	pidiendo
पूछे	pregunté
पूछे	preguntado
पूछे	preguntó
सेब	manzana
सेब	apple
शत्रुओं	enemigos
शत्रुओं	haters
शत्रुओं	detractores
रो	rho
रो	llanto
रो	llorando
रो	llorar
रो	llantos
पुस्तकालयों	bibliotecas
पुस्तकालयों	bibliotecas
पुस्तकालयों	biblioteca
बालाजी	balaji
बहनों	hermanas
अश्लील	pornografía
अश्लील	porno
आपात	urgencias
आपात	urgencia
आपात	emergencias
आपात	emergencia
रेसलमेनिया	wrestlemania
नामीबिया	namibia
स्त्रियाँ	mujer
स्त्रियाँ	mujeres
स्त्रियाँ	femenino
एनी	annie
एनी	anita
मामा	mama
मामा	mamá
मामा	tio
मामा	tío
रूपांतर	variante
नगरीय	urbanas
नगरीय	urbana
नगरीय	urbano
नगरीय	urban
नगरीय	urbanos
जैकी	jackie
जैकी	jacky
क्रोधित	agravantes
क्रोधित	agravada
क्रोधित	agravante
क्रोधित	agravados
क्रोधित	agravado
क्रोधित	furiosa
क्रोधित	furiosos
क्रोधित	furioso
क्रोधित	enfadado
क्रोधित	enojada
क्रोधित	enfadada
क्रोधित	enojado
तात्कालिक	urge
तात्कालिक	urgencia
तात्कालिक	urgentes
तात्कालिक	urgente
तात्कालिक	inmediato
तात्कालिक	inmediatas
तात्कालिक	inmediatos
तात्कालिक	inmediata
तांत्रिक	tántrico
हुक्म	asiente
हुक्म	asienta
हलके	ligeramente
कमांड	comandos
कमांड	mandos
कमांड	mando
कमांड	comando
कमांड	comandancia
कोबेन	cobain
विवेकानन्द	vivekananda
बुराई	maldad
बुराई	malvado
बुराई	maldad
बुराई	mal
बुराई	evil
बुराई	malvada
टाइपिंग	tipificación
टाइपिंग	escribiendo
टाइपिंग	mecanografía
टाइपिंग	escribir
उत्तेजक	provocativa
उत्तेजक	provocadora
उत्तेजक	provocación
उत्तेजक	provocador
उत्तेजक	estimulante
उत्तेजक	estimulantes
दशमलव	decimal
दशमलव	decimales
काई	kai
क्रूर	cruel
क्रूर	crueles
क्रूर	brutales
क्रूर	brutal
जोनाथन	jonathan
हस्त	artesanal
फ्लाइट	vuelo
निकटता	cercanía
निकटता	proximidad
निकटता	cercanía
निकटता	proximidad
मीणा	meena
सैर	caminatas
सैर	camina
सैर	paseos
सैर	caminar
सैर	camina
सैर	paseo
चिकनी	suave
चिकनी	liso
कैनेडी	kennedy
टाई	tie
टाई	ate
टाई	empate
टाई	corbata
विदेशियों	extranjeros
विदेशियों	extranjería
अनुवादित	traducida
अनुवादित	traducido
अनुवादित	traducidos
करोड़ों	innumerables
इंजीनियरों	ingenieros
गा	cante
गा	canta
गा	canto
गा	canten
गा	sing
गा	cantar
पूछताछ	investigación
पूछताछ	consultas
पूछताछ	investigaciones
सर्पिल	espiral
परिशिष्ट	apéndice
गवाही	testificar
गवाही	atestiguar
गवाही	testimonios
गवाही	testimonio
वॉकर	walker
वॉकर	caminante
लेआउट	disposición
लेआउट	trazado
कैदियों	reclusos
कैदियों	prisioneros
कैदियों	presos
फिजी	fiji
फिजी	fiyi
हुक	hook
हुक	gancho
हुक	enganche
हुक	garfio
हुक	anzuelo
रिटर्न	regresa
रिटर्न	retornos
रिटर्न	regresos
रिटर्न	devuelve
रिटर्न	devoluciones
रिटर्न	retorno
रिटर्न	devolución
रिटर्न	regreso
रिटर्न	regresar
रिटर्न	vuelta
प्लैटिनम	platinum
प्लैटिनम	platino
फिल	phil
फिलीपींस	filipinas
दीवारें	murallas
दीवारें	paredes
दीवारें	muros
सपाट	plano
सपाट	piso
सपाट	plana
नक़ल	copiar
नक़ल	copia
नक़ल	copiado
नक़ल	copie
नक़ल	ejemplar
नक़ल	copias
नक़ल	ejemplares
नक़ल	copia
फ्रेमवर्क	framework
देशभक्ति	patriotismo
केन्या	kenia
केन्या	kenya
बर्बाद	desperdiciando
बर्बाद	desperdicio
बर्बाद	desechos
बर्बाद	desecho
बर्बाद	residuos
बर्बाद	residuo
कस्टम	aduana
कस्टम	aduanera
कस्टम	aduanas
कस्टम	costumbres
कस्टम	personalizado
कस्टम	personalizada
कस्टम	costumbre
कस्टम	custom
कस्टम	costumbres
अकादमिक	académicos
अकादमिक	académico
अकादमिक	académicas
अकादमिक	académica
शेन	shane
असीम	asim
असीम	infinitamente
असीम	interminable
असीम	interminables
असीम	infinitas
एकजुट	unir
कोलेस्ट्रॉल	colesterol
दांते	dante
सीबीआई	cbi
किंगफिशर	kingfisher
बगीचे	jardín
बगीचे	jardinería
बगीचे	jardin
मुराद	murad
युग्म	emparejado
ईमान	faith
ईमान	fe
ईमान	fé
भट्टी	caldera
भट्टी	horno
पोटैशियम	potasio
केली	kelly
लोकगीत	folklore
लोकगीत	folclore
सर्बिया	serbio
सर्बिया	serbia
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	secular
धर्मनिरपेक्ष	seculares
धर्मनिरपेक्ष	laico
धर्मनिरपेक्ष	laica
दृष्टिगोचर	visible
दृष्टिगोचर	visibles
तोप	cañón
तोप	cañones
तोप	cañon
दूरभाष	teléfono
दूरभाष	teléfonos
दूरभाष	telefono
दूरभाष	telefonía
शेंगेन	schengen
दुल्हन	novia
आंत्र	tifus
आंत्र	tifoidea
जस्ता	cinc
जस्ता	zinc
उड़	vuela
उड़	fly
उड़	mosca
उड़	vuele
उड़	volar
गुजरता	pases
गुजरता	pasa
माली	maldivas
माली	jardinero
माली	malí
माली	mali
परियोजनाएं	proyectos
परियोजनाएं	projects
सिएटल	seattle
प्रिया	priya
टायर	neumáticos
टायर	llantas
टायर	gomas
टायर	neumáticos
टायर	neumático
टायर	tiro
टायर	neumático
टायर	llanta
बाँस	bambú
सुधारक	reformador
सुधारक	reformista
अठारह	dieciocho
अठारह	eighteen
उत्खनन	excavación
उत्खनन	excavaciones
उन्नयन	exaltación
उन्नयन	actualizar
उन्नयन	actualización
उन्नयन	elevación
उन्नयन	altitud
उन्नयन	elevaciones
पेंशन	pensión
पेंशन	pensiones
पेंशन	pension
गरिमा	dignidad
धागे	hilados
धागे	hilo
धागे	hilado
बताना	decir
सिलेंडर	cilindros
मैक्सिकन	mexicana
मैक्सिकन	mexicanos
मैक्सिकन	mexicanas
मैक्सिकन	mexicano
देशो	paises
देशो	países
उर्वर	exuberante
खोपड़ी	calavera
खोपड़ी	cráneo
खोपड़ी	skull
कोलम्बिया	colombia
छत्रपति	chhatrapati
गोलियों	disparos
विद्रोहियों	rebeldes
पट्टिका	paleta
कैसा	how
कैसा	cómo
कैसा	como
स्टीवन	alberto
स्टीवन	steven
टेल	cuento
टेल	relato
टेल	rabo
टेल	cola
कबीले	tribu
सूर्योदय	sunrise
सूर्योदय	amanecer
रणनीतिक	estratégico
रणनीतिक	estratégica
रणनीतिक	estratégicos
रणनीतिक	estratégicas
रणनीतिक	estratégicamente
रणनीतिक	táctico
रणनीतिक	tácticas
रणनीतिक	tácticos
रणनीतिक	táctica
झटके	choques
झटके	sacudidas
झटके	amortiguadores
रीड	reed
रीड	caña
प्रक्षेप	proyección
पर्यवेक्षण	supervisión
एमी	amy
एमी	emmy
प्लेटो	plato
प्लेटो	platón
मीन	piscis
कनाडाई	canadiense
कनाडाई	canadienses
रिसाव	filtraciones
रिसाव	fugas
रिसाव	filtración
बाजीराव	bajirao
अनावरण	reveló
अनावरण	revelado
निषिद्ध	prohibida
निषिद्ध	prohibido
निषिद्ध	prohibidas
निषिद्ध	prohibidos
निषिद्ध	prohibida
निषिद्ध	prohibido
निषिद्ध	prohibidas
निषिद्ध	prohibidos
सेम	bean
सेम	frijol
सेम	judías
सेम	habichuelas
सेम	frijoles
सेम	frijol
सेम	granos
सेम	sem
रॉन	ron
शोधन	refinar
शोधन	refinamiento
शोधन	refinado
शोधन	refino
बरसात	ducha
बरसात	lluviosa
बरसात	lluvioso
बरसात	lluvia
बरसात	lluvias
बनर्जी	banerjee
इंटेल	inteligencia
इंटेल	intel
फास्ट	rapidez
फास्ट	rápido
फास्ट	rapido
फास्ट	fast
फास्ट	ayuno
यथार्थवाद	realismo
बाह	bah
तालिबान	talibán
तालिबान	talibanes
दर्शनशास्त्र	filosofía
स्वादिष्ट	sabrosa
स्वादिष्ट	sabrosos
स्वादिष्ट	sabrosas
स्वादिष्ट	sabroso
स्वादिष्ट	delicioso
स्वादिष्ट	rico
स्वादिष्ट	sabroso
स्वादिष्ट	riquísimo
स्वादिष्ट	delicioso
स्वादिष्ट	deliciosos
स्वादिष्ट	deliciosas
स्वादिष्ट	deliciosa
ज्वाला	llamas
ज्वाला	llama
ईंटों	brick
ईंटों	ladrillos
ईंटों	ladrillo
कर्ज	deudas
कर्ज	endeudamiento
कर्ज	deuda
सलाद	lechuga
सलाद	ensaladas
सलाद	ensalada
सलाद	ensaladas
जलन	celosos
जलन	celoso
जलन	celos
जलन	celosa
जलन	inflamatoria
जलन	irritación
शौकिया	aficionada
शौकिया	aficionados
शौकिया	amateur
शौकिया	aficionado
अनूठा	envolvente
अनूठा	pintoresco
अनूठा	pintoresca
अनूठा	únicos
अनूठा	único
अनूठा	unica
अनूठा	única
अनूठा	únicas
कैरी	carrie
कैरी	carey
पेशावर	peshawar
पहेली	puzzles
पहेली	acertijos
पहेली	rompecabezas
पहेली	rompecabezas
पहेली	puzzle
पहेली	enigma
रक्तस्राव	hemorragia
चादर	chal
चादर	hoja
चादर	chapa
चादर	chapas
चादर	sábana
जामा	jama
फ्रैंकलिन	franklin
एथिलीन	etileno
सेकेंड	segundos
सेकेंड	segundos
सेकेंड	segunda
सेकेंड	segundas
सेकेंड	segundo
आयुध	artillería
चढ़ाव	mínimos
मानविकी	humanidades
महापौर	alcalde
महापौर	intendente
महापौर	alcaldesa
महापौर	alcaldía
आयताकार	rectángulo
आयताकार	rectangulares
आयताकार	rectangular
प्रस्तावना	introducción
प्रस्तावना	prólogo
प्रस्तावना	preámbulo
मैनहटन	manhattan
मॉरीशस	mauricio
लावा	lavas
लावा	lava
बाधाओं	obstáculos
बाधाओं	barreras
बाधाओं	obstáculos
बाधाओं	obstáculo
माइग्रेन	migrañas
माइग्रेन	migraña
परिधान	vestimenta
परिधान	vestidos
परिधान	vestir
परिधान	vestido
परिधान	disfraces
परिधान	trajes
परिधान	vestuario
परिधान	prenda
परिधान	confección
परिधान	indumentaria
परिधान	ropa
गोलीबारी	tiroteo
गोलीबारी	disparos
गोलीबारी	disparo
गोलीबारी	tiroteo
गोलीबारी	tiro
गोलीबारी	rodaje
हब	hub
जग	mundial
जग	mundo
जग	world
जग	jag
पम्प	bomba
मातृ	materno
मातृ	maternal
मातृ	materna
बायर	bayer
नाल	herradura
पवित्रता	santidad
पवित्रता	pureza
पवित्रता	santidad
लाभप्रद	rentables
लाभप्रद	rentable
रोचेस्टर	rochester
श्रेष्ठता	superioridad
डोनाल्ड	donald
रमन	raman
सीढ़ी	escalera
पटियाला	patiala
प्रतिकृति	patrón
प्रतिकृति	patrones
प्रतिकृति	patron
प्रतिकृति	pauta
प्रतिकृति	replica
प्रतिकृति	réplica
प्रतिकृति	réplicas
घराने	géneros
ताड़	palmera
ताड़	palm
ताड़	palma
प्रवृति	inclinación
धमाके	bang
सीटी	silbato
सीटी	silbar
सीटी	silbido
परोसा	servida
परोसा	servido
परोसा	servidos
परोसा	sirvió
कार्टर	carter
सिरदर्द	cefalea
कट्टर	dogmática
कट्टर	rabioso
उपनिवेशवाद	colonialismo
उपनिवेशवाद	colonia
सैंडविच	emparedado
सैंडविच	bocadillo
सैंडविच	sándwich
सैंडविच	sandwich
सैंडविच	bocadillos
सैंडविच	sándwiches
सैंडविच	sandwiches
चिप्स	fichas
चिप्स	chips
गुड़	melaza
चन्द	chand
उद्योगपति	industrial
विधियां	métodos
बिखरे	dispersas
बिखरे	disperso
बिखरे	dispersa
बिखरे	dispersos
दार्जिलिंग	darjeeling
वेस्टमिंस्टर	westminster
सुनाया	pronunciado
सुनाया	pronunciados
सुनाया	pronunciada
शैतान	diablo
शैतान	demonio
शैतान	satanás
शैतान	satán
शीट	hoja
शीट	chapa
शीट	chapas
शीट	sábana
शीट	chapas
शीट	sábanas
शीट	hojas
शीट	sabanas
उद्धार	entrego
उद्धार	entregar
उद्धार	rescate
उद्धार	salvamento
उद्धार	rescatar
पैकेजिंग	envase
पैकेजिंग	embalaje
पैकेजिंग	embalajes
पैकेजिंग	envases
पैकेजिंग	empaquetado
म्यूनिख	múnich
म्यूनिख	munich
शरीफ	sharif
बिस्तर	cama
बिस्तर	camas
बिस्तर	lecho
दोहराया	repetido
दोहराया	repetidos
दोहराया	repetidas
दोहराया	repetida
दोहराया	repitió
बोल्ट	bolt
बोल्ट	cerrojo
गुम्बद	dome
गुम्बद	cúpula
गुम्बद	domo
गुम्बद	cúpulas
सेवानिवृत्ति	jubilación
सेवानिवृत्ति	retiro
जश्न	celebraciones
जश्न	festejos
जश्न	celebraciones
जश्न	celebración
जश्न	festejo
जश्न	jamboree
नोबल	noble
नोबल	nobles
इंडीज	indias
टायसन	tyson
लहरों	olas
लहरों	oleaje
लहरों	ondas
लहरों	oleadas
टंडन	tandon
अस्थिरता	inestabilidad
स्पाइवेयर	spyware
संग्रहीत	archivado
संग्रहीत	archivados
सीसा	liderar
सीसा	plomo
तना	tallos
तना	tallo
सदाबहार	evergreen
सदाबहार	perenne
कंकाल	esqueleto
नाइट्राइट	nitrito
समीर	samir
ऑर	orr
तांबे	cobre
समतुल्य	equivalentes
समतुल्य	equivalente
जिन्ना	jinnah
फेरारी	ferrari
माईस्पेस	myspace
बलराम	balarama
एमआईटी	mit
भ्रामक	engañoso
भ्रामक	engañosa
भ्रामक	confuso
भ्रामक	confusa
भ्रामक	confusas
भ्रामक	confundiendo
संभावनाओं	posibilidades
नगण्य	trivial
नगण्य	triviales
केक	pastel
केक	bizcocho
केक	torta
केक	tarta
साख	goodwill
जिज्ञासा	curiosidad
अन्याय	injusticia
अन्याय	injusticias
अनुसूची	programación
अनुसूची	programar
अनुसूची	horario
अनुसूची	calendario
अनुसूची	horarios
सेठी	sethi
एनिमेशन	animaciones
एनिमेशन	animación
एनिमेशन	animaciones
देखो	mirad
देखो	mire
देखो	mirada
देखो	miren
देखो	mira
इंतजार	espere
इंतजार	esperar
इंतजार	espera
इंतजार	esperen
हिम्मत	coraje
हिम्मत	valentía
हिम्मत	valor
हिम्मत	atreves
हिम्मत	atrévete
हिम्मत	dare
प्रमाणपत्र	certificados
प्रमाणपत्र	certificado
सांकेतिक	simbólica
सांकेतिक	simbólico
सत्रहवीं	xvii
असमानता	desigualdad
असमानता	desigualdades
झांसी	jhansi
आमदनी	ingresos
आमदनी	rentas
आमदनी	ingreso
आमदनी	renta
टिन	tin
टिन	hojalata
टिन	estaño
चारा	forraje
चारा	forrajes
चारा	cebo
चारा	carnada
चारा	anzuelo
ओलिवर	oliver
डिब्बे	latas
घनी	espeso
घनी	gruesa
घनी	espesa
घनी	grueso
घनी	gruesos
एस्पिरिन	aspirina
जनजातीय	tribales
जनजातीय	tribal
सोर्स	procedencia
सोर्स	fuente
सोर्स	origen
सोर्स	source
पीर	peer
पीर	pares
विश्लेषक	analistas
विश्लेषक	analista
नीम	neem
चेल्सी	chelsea
बाजरा	mijo
पाम	pam
इच्छाओं	deseos
रिश्तों	relaciones
संन्यास	jubilación
संन्यास	retiro
पुनर्वास	rehabilitación
पुनर्वास	rehabilitación
प्रोसेसर	procesador
प्रोसेसर	transformador
स्ट्रीम	arroyos
स्ट्रीम	stream
स्ट्रीम	arroyo
वक्तव्य	declaración
वक्तव्य	afirmación
वक्तव्य	comunicado
वक्तव्य	enunciado
चंद्रगुप्त	chandragupta
मुमताज़	mumtaz
जालंधर	jalandhar
कृत्यों	funciones
बल्तिस्तान	baltistán
बारहवीं	xii
बारहवीं	duodécima
बारहवीं	duodécimo
स्टुअर्ट	stuart
अचार	pickles
अचार	pepinillo
अचार	pepinillos
अचार	pepinillo
अचार	pepinillos
फेंकने	tirando
फेंकने	lanzando
शर्तें	condiciones
शर्तें	términos
शर्तें	terminos
शर्तें	condiciones
मॉड्यूल	módulos
मॉड्यूल	módulo
मॉड्यूल	modulo
मॉड्यूल	módulos
हिरण	ciervos
हिरण	ciervo
हिरण	venado
हिरण	caribú
पिकनिक	picnic
जमींदार	propietarios
जमींदार	caseros
ईसाइयों	cristianos
सईद	saeed
प्रेषित	enviada
प्रेषित	enviados
प्रेषित	enviadas
प्रेषित	enviado
प्रेषित	envió
ज़िन्दगी	zindagi
ज़िन्दगी	vida
ज़िन्दगी	life
बॉय	muchacho
बॉय	boy
बॉय	niño
बॉय	chico
अपघटन	descomposición
हजरत	hazrat
इब्राहिम	ibrahim
स्टेरॉयड	esteroides
संवेदी	sensorial
संवेदी	sensoriales
कार्लो	carlo
चावला	chawla
स्वार्थ	egoísmo
तपेदिक	tuberculosis
पुर	pur
