tożsamość	identitat
obserwuje	veient
obserwuje	mirant
samuela	samuel
paliwo	combustible
paliwo	gasolina
paliwo	benzina
piłsudski	piłsudski
skuteczności	eficàcia
skuteczności	efectivitat
skuteczności	eficàcia
ren	ren
ren	rin
grey	gris
grey	grey
tokyo	tòquio
tokyo	tokyo
okno	finestra
uroczyście	solemnement
odzyskać	recuperar
kolumbia	columbia
kolumbia	colòmbia
cameron	cameron
piw	beers
piw	cerveses
motorsport	motorsport
germain	germain
glenn	glenn
treningi	entrenaments
treningi	entrenament
treningi	formació
leeds	leeds
kwiat	blossom
kwiat	flor
wieki	edats
wieki	segles
aaron	aaron
operacyjnych	operatiu
operacyjnych	operatius
operacyjnych	operativa
council	consell
camp	campament
camp	camp
fabio	fabio
fabio	fábio
okrążenie	falda
wojciechowski	wojciechowski
komiksów	còmic
komiksów	còmics
mann	mann
zwykły	regulars
zwykły	regular
zwykły	ordinari
zwykły	ordinària
misje	quests
misje	missions
misje	missió
wytwarza	produeix
demokratów	demòcrates
demokratów	demòcrata
pokonany	colpejat
pokonany	derrotat
pokonany	vençut
pokonany	vençuts
charków	khàrkiv
norm	estàndards
norm	norma
peugeot	peugeot
standardy	estàndards
poprosił	preguntat
węgiel	carbó
węgiel	carbonet
węgiel	carboni
zamość	zamość
automatyczna	automàtic
automatyczna	automàtica
aspekty	aspectes
aspekty	aspecte
prosto	recta
prosto	rectes
prezentacji	presentació
prezentacji	presentacions
stefano	stefano
domeny	dominis
domeny	domini
dame	dame
pracujący	treballant
wzory	models
wzory	pautes
wzory	patrons
wzory	dissenya
wzory	dissenys
wzory	fórmules
joel	joel
porównanie	comparació
porównanie	compare
porównanie	compara
porównanie	comparar
dell	dell
ewy	eve
fra	fra
osobisty	personals
prezydenckie	presidencials
prezydenckie	presidencial
carmen	carmen
montgomery	montbui
montgomery	montgomery
kompozytorów	compositors
oun	cns
jądro	nucli
jądro	nucli
jądro	testicle
jądro	core
jądro	nucli
następcę	successor
salomona	salomó
salomona	solomon
pearl	pearl
pearl	perla
wiktoria	viktoria
wiktoria	victòria
wiktoria	victoria
przodków	avantpassats
przodków	avantpassat
chińskie	xinès
chińskie	xinesos
lodu	gel
liber	liber
przydatne	útil
jowisza	júpiter
zaangażowanie	compromís
zaangażowanie	implicació
zaangażowanie	compromís
rzemiosła	artesania
kompetencji	competencials
zapach	olor
zapach	olor
zapach	fragància
żyjący	vivint
rozszerzenie	expansió
rozszerzenie	ampliació
rozszerzenie	extensió
rozszerzenie	pròrroga
mercury	mercuri
mercury	mercury
konsulat	consolat
konsulat	consulat
turków	turcs
prezentowane	destacat
prezentowane	presentat
prezentowane	presentats
kazań	sermons
kazań	kazan
uroczyste	solemne
uroczyste	festiu
uroczyste	festives
greckie	grec
venus	venus
armata	canó
homo	homo
herbie	herbie
wien	wien
bergen	bergen
produkuje	produeix
estádio	estádio
ciemne	fosc
lokalnie	localment
wymagane	requerit
wymagane	requerida
wymagane	requerits
metry	metres
metry	metres
bit	bit
toma	toma
bomba	bomba
tunelu	túnel
ekspertów	experts
ekspertów	perits
ekspertów	perit
ekspertów	expert
sparta	esparta
dorosłe	adults
ściana	paret
ściana	mur
konstytucyjnego	constitucional
konstytucyjnego	constitucionals
newton	newton
pzl	pzl
pliki	fitxers
pliki	arxius
personelu	personal
kandydaturę	candidatura
tylny	posterior
wiązanie	enquadernació
wiązanie	vincle
wiązanie	lligam
liverpool	liverpool
emanuel	emanuel
dublin	dublín
dublin	dublin
przeglądu	revisió
przeglądu	revisa
andre	andre
andre	andré
tymczasowego	provisional
tymczasowego	provisionals
niebie	cel
niebie	heaven
niebie	cel
niebie	sky
nocny	nit
gleb	sòls
umysłu	ment
josh	josh
gwatemali	guatemala
odpowiadał	corresponien
zastrzeżenia	reserves
zastrzeżenia	objeccions
sądy	tribunals
jasności	claredat
jasności	lluentor
jasności	brillantor
traktowane	tractada
sobota	dissabte
zajęte	ocupat
wrogów	enemics
zaleca	recomana
chirurgii	cirurgia
chirurgii	quirúrgic
uczucia	sentiments
elektronów	electró
nintendo	nintendo
filozoficzne	filosòfic
armstrong	armstrong
cezar	cèsar
zainteresowań	interessos
klasycznego	clàssica
podłogi	sòls
podłogi	pisos
podłogi	tarima
komety	cometa
komety	cometes
otoczona	rodejats
otoczona	envoltades
otoczona	rodejat
lahti	lahti
boca	boca
piasku	sorra
oznaczone	etiquetat
oznaczone	etiquetada
oznaczone	etiquetats
oznaczone	marcat
kota	kota
nestor	nestor
sodu	sodi
leśnictwa	forestal
tempo	tempo
konfrontacji	confronten
konfrontacji	confrontació
volkswagen	volkswagen
zrozumienia	enteniment
zrozumienia	comprensió
zrozumienia	entesa
zrozumienia	entenent
ronnie	ronnie
przeznaczenie	destinació
przeznaczenie	destinació
przeznaczenie	destí
przeznaczenie	finalitat
przeznaczenie	propòsit
biblia	bíblia
naród	nació
soczi	sotxi
trwało	durat
liderów	líders
liderów	dirigents
sonda	sonda
zmienione	revisada
zmienione	revisades
zmienione	revisat
zmienione	canviades
zmienione	canviat
zmienione	canviada
zmienione	alterades
zmienione	modificats
zmienione	modificades
zmienione	modificat
sin	pecat
paryskiej	parisenc
meyer	meyer
postawa	actitud
postawa	postura
rozpoznanie	reconnaissance
rozpoznanie	reconeixement
rozpoznanie	diagnosi
rozpoznanie	diagnòstic
uzasadnienia	justificacions
scalemajor	scalemajor
timeaxis	timeaxis
ciekawy	curiós
ciekawy	curiosa
dale	dale
potrzebuje	necessitat
potrzebuje	necessitats
forever	forever
cat	gat
cat	cat
zwykłych	ordinari
zwykłych	ordinària
wydawcy	editorials
wydawcy	editors
wydawcy	redactors
wydawcy	editorial
biuletyn	butlletí
biuletyn	newsletter
biuletyn	butlletí
freedom	llibertat
adaptacji	adaptacions
delegatów	delegats
imagesize	imagesize
yang	yang
fabrykę	fàbrica
ekran	pantalla
burbon	bourbon
burbon	borbó
plotarea	plotarea
lucy	lucy
sebastiana	sebastian
sebastiana	sebastián
allan	allan
walczyli	lluitat
ostry	sharp
ostry	sostingut
ostry	aguda
edytuj	edita
bronić	defensar
wells	pous
organizacyjnych	organitzatiu
organizacyjnych	organitzatius
organizacyjnych	organitzatives
fizyczna	físic
aut	aut
możliwy	possible
możliwy	possibles
oświetlenie	enllumenat
ekspozycja	exposició
konsul	cònsol
rebelianci	rebels
clarke	clarke
ograniczeń	restriccions
protokół	protocol
krążek	puck
astronomii	astronomia
protesty	protesta
protesty	protestes
siedliska	hàbitats
siedliska	hàbitat
ciemności	foscor
ciemności	tenebres
ahmed	ahmed
ahmed	ahmet
ahmed	àhmad
ahmed	ahmad
anatolij	anatoli
płótnie	llenç
gerhard	gerhard
generacja	generació
modyfikacji	modificació
modyfikacji	modificacions
karate	karate
kapitału	capital
foster	foster
harvey	harvey
płatki	pètals
płatki	flocs
płatki	cereals
płatki	cereal
krytykę	crítica
krytykę	crítica
olympique	olympique
eugene	eugeni
wspomniany	esmentat
druk	imprimeix
druk	impressió
burza	tempesta
tragedii	tragèdies
tragedii	tragèdia
wystawę	exposició
edwards	edwards
nowoczesny	moderna
nowoczesny	modern
nowoczesny	contemporani
nowoczesny	contemporània
posterunek	estació
grobie	tomba
grobie	sepultura
louisa	louisa
utah	utah
guillermo	guillermo
dochody	ingrés
dochody	ingressos
ruth	ruth
piętra	sòls
piętra	pisos
tango	tango
tur	tur
towarowy	mercaderies
bukareszcie	dosrius
bukareszcie	bucarest
wykorzystany	explotat
wykorzystany	explotada
przyjaźń	amistat
gotowy	preparats
gotowy	preparat
gotowy	preparades
cywilów	civils
med	med
body	cos
higgins	higgins
archeologii	arqueologia
zarejestrowane	registrat
zarejestrowane	inscrits
zarejestrowane	enregistrat
crystal	cristall
dzwon	bell
dzwon	timbre
dzwon	campana
rozmowa	entrevista
rozmowa	conversa
marcelo	marcelo
uzupełnienia	addicions
uzupełnienia	incorporacions
toro	toro
lampy	làmpada
lampy	làmpades
dzwony	campanes
wad	defectes
wad	vicis
zakup	compra
curtis	curtis
spirit	esperit
leicester	leicester
gazet	periòdics
gazet	diaris
arabski	arab
arabski	àrab
kocha	estima
kocha	loves
lin	lin
lin	cordes
leslie	leslie
lima	lima
głosi	predica
singles	singles
singles	senzills
generałowie	generals
naprzeciw	oposat
naprzeciw	contrari
procesor	processador
procesor	cpu
garcia	garcia
garcia	garcía
garcia	garcía
cmentarze	cementiris
osp	tso
zimbabwe	zimbabwe
bach	bach
wzajemnie	mútuament
rhein	rhein
bird	ocell
pokolenie	generació
pokolenie	generacions
uzbrojony	armat
uzbrojony	armats
gun	pistola
gun	arma
przybywa	arriba
botanik	botànic
samantha	samantha
brody	barbes
brody	brody
palma	palma
zimy	hivern
zimy	hiverns
zimy	winters
six	sis
six	six
poziomy	horitzontal
poziomy	nivells
wyrażenie	frase
wyrażenie	expressió
legion	legió
męczennika	màrtir
ustalenie	determinació
ustalenie	establirà
wyjazd	deixant
wyjazd	sortida
wyjazd	viatge
chana	chan
discovery	descobriment
rozdzielczości	resolució
zera	zeros
dekady	dècades
dekady	dècada
pełen	plens
pełen	ple
pełen	plena
wodoru	hidrogen
mika	mike
mika	mica
mika	mika
niebezpieczne	perillós
niebezpieczne	perillosos
otoczenie	entorn
restauracja	restaurant
wizji	visions
wizji	visió
bojowników	lluitadors
bojowników	militants
przechowywany	emmagatzemada
przechowywany	emmagatzemat
afganistanie	afganistan
owen	owen
odznakę	distintiu
pedersen	pedersen
luksemburg	luxemburg
kwiatkowski	kwiatkowski
zmieniony	canviades
zmieniony	canviat
zmieniony	canviada
zmieniony	alterades
zmieniony	modificats
zmieniony	modificades
zmieniony	modificat
podrząd	suborder
fisher	fisher
nachylenie	desnivell
nachylenie	talussos
nicolás	nicolás
uczestniczyć	assisteixen
uczestniczyć	assistir
uczestniczyć	participeu
uczestniczyć	participar
galerie	galeries
beat	beat
kończyny	extremitats
bonn	bonn
mile	kilòmetre
mile	milla
mile	milles
mile	kilòmetres
mile	quilòmetres
obywatela	ciutadà
obejmujące	cobrint
obejmujące	tapant
obejmujące	cobriment
wyraźne	explícita
wyraźne	explícit
pancernik	battleship
pancernik	dreadnought
komiks	còmic
komiks	còmics
komiks	comic
mass	missa
mass	massa
rozumie	entén
cząstki	partícules
cząstki	partícula
drogowy	carretera
drogowy	road
morderstwo	assassinat
serhij	serhí
hipoteza	hipòtesi
rywala	rival
zwykłe	ordinari
zwykłe	ordinària
ocr	roc
libanu	líban
uznając	reconeixent
zabójstwa	homicidi
zabójstwa	atemptat
zabójstwa	assassinats
wszechświata	univers
düsseldorf	düsseldorf
religijny	religiós
dunaju	danubi
przydział	assignació
przydział	cessió
juss	juss
konstantin	konstantín
temple	temple
ocenia	avalua
zastąpione	substituït
ogrodów	jardins
dociera	arriba
ogłoszenia	anuncis
ogłoszenia	ads
schneider	schneider
wiarygodne	creïble
wiarygodne	fiable
wiarygodne	plausible
twierdząc	reivindicar
echo	eco
echo	ressó
echo	echo
zwyczaj	costum
zwyczaj	hàbit
zwyczaj	custom
zwyczaj	personalitzada
zwyczaj	personalitzat
guillaume	guillaume
bogaty	ric
bogaty	rich
bogaty	rics
producenci	productors
producenci	fabricants
championships	campionats
pierwotnych	incremental
gnu	gnu
enrique	enrique
zauważyłem	notat
zauważyłem	adonat
mechanizmu	mecanisme
mieszanej	mixta
mieszanej	mixt
mieszanej	mesclat
knight	cavaller
promocja	ascensos
promocja	promocions
promocja	promoció
regiony	regions
regiony	regió
palmer	palmer
malezji	malàisia
malezji	malaisi
schody	passes
schody	passos
schody	escales
schody	stair
aktorką	actriu
przedziale	compartiment
podana	donades
podana	donada
profesorów	catedràtics
profesorów	professores
magda	magda
simona	simona
paulina	paulina
paulina	pauline
muzułmanów	musulmans
julio	julio
flagę	bandera
maraton	marató
maraton	marathon
jedynki	singles
jedynki	senzills
buntu	motí
socjalistów	socialistes
wniosków	aplicacions
grunty	land
asyst	assistències
synonimy	sinònims
mechanik	mecànic
malta	malta
akty	actes
ssaki	mamífers
ssaki	mamífer
prośba	requeriment
prośba	petició
arabów	àrabs
absolutnie	absolutament
nielsen	nielsen
rozumieniu	significat
sikorski	sikorski
jakiekolwiek	qualsevol
podróżował	viatjat
podstawa	fonament
podstawa	fundació
podstawa	base
podstawa	base
dojrzałości	maduresa
dojrzałości	venciment
claire	claire
cezara	cèsar
wino	vi
uzupełnienie	addenda
uzupełnienie	suplement
elena	elena
prezentacja	presentació
uczestnictwa	participació
wierni	creients
wierni	fidel
etapy	etapes
etapy	passes
etapy	passos
etapy	fites
warsztat	garatge
warsztat	curset
warsztat	taller
księża	sacerdot
księża	cures
prefektura	prefectura
wychowanie	nodrir
wychowanie	criança
wychowanie	veina
widziałem	vistos
widziałem	vist
geograficznego	geogràfic
systematycznie	sistemàticament
systematycznie	sistemàtica
oregon	oregon
czeka	esperant
pavel	pàvel
pavel	pavel
dziedzictwo	llegat
dziedzictwo	herència
dziedzictwo	herència
dziedzictwo	patrimoni
okręgi	cercles
okręgi	districtes
okręgi	comarques
wyznacza	designa
prawdziwy	real
jesse	jesse
discogs	discogs
zegar	temporitzador
zegar	rellotge
singh	singh
górnictwa	mineria
ramy	fotogrames
ramy	marcs
ramy	fotograma
ramy	marc
ramy	rama
wielkopolska	wielkopolska
uratować	salvament
uratować	desa
uratować	rescat
uratować	salvament
mason	mason
podwójny	doble
komputery	pcs
komputery	ordinadors
komputery	ordinador
arch	arch
psychologia	psicòlegs
psychologia	psicologia
transferu	traspàs
transferu	transferència
transferu	trasllat
flory	flora
flet	flauta
atrakcje	atraccions
atrakcje	atracció
doc	doc
potencjalnie	potencialment
theodor	theodor
szkocja	scotland
szkocja	escòcia
federalnej	federal
trzęsienie	terratrèmol
dateformat	dateformat
rdzenia	core
rdzenia	nucli
torres	torres
made	fetes
made	feta
aktywne	actiu
rfc	rfc
smaku	gust
irina	irina
konstytucję	constitució
kroki	passos
kroki	passes
kroki	passos
zastosowań	usos
ellen	ellen
czytania	llegint
czytania	lectura
ręczna	manual
aktorzy	actors
żołądka	estómac
nokia	nokia
chłopcy	nois
chłopcy	boys
bolonii	bologna
bolonii	bolonya
cenne	precious
cenne	valuós
cenne	valuosa
amatorów	aficionats
statystyczne	estadístic
essex	essex
rolników	agricultors
rolników	ramaders
price	preu
obozy	campaments
obozy	campament
obozy	camp
sapporo	sapporo
étienne	étienne
kuchnia	cuina
sachsen	sachsen
chang	chang
umożliwiające	habilitant
religijna	religiós
mysz	ratolí
nathan	nathan
tysiąc	mil
powraca	retorna
powraca	rendiments
medycyna	medicament
medycyna	medicina
planuje	plans
serbia	sèrbia
arizona	arizona
planowana	planificat
planowana	planejat
federico	federico
holt	holt
xavier	xavier
podmiotów	entitats
oddaje	capta
christina	christina
magii	màgia
potwierdzone	confirmat
włosów	pèl
włosów	cabells
podkreśla	destaca
podkreśla	destacats
podkreśla	ressaltats
ramię	espatlla
ramię	braç
ustanowiono	establerta
key	tecla
key	clau
touring	touring
afganistanu	afganistan
przywrócenie	restaurar
przywrócenie	restaura
przywrócenie	restauració
przywrócenie	reincorporació
gene	gene
gene	gen
nieistniejący	inexistent
ślubów	casaments
ślubów	bodes
składniki	ingredients
randy	randy
kuli	esfera
alignbars	alignbars
symbolizuje	simbolitza
włókna	fibra
włókna	fibres
siedlce	siedlce
ucieczka	escapant
ucieczka	fugitiva
ucieczka	escapar
ucieczka	fugida
ucieczka	fuga
ucieczka	escape
baptiste	baptiste
sylwester	sylvester
medina	medina
filolog	filòleg
javier	javier
marty	marty
ocenić	valorar
ocenić	valorarà
profesjonalny	professional
profesjonalny	professionals
viktor	viktor
kinga	king
kinga	rei
kinga	cunegunda
relikwie	relíquies
skrzypek	violinista
przedłużenie	ampliació
przedłużenie	extensió
przedłużenie	pròrroga
przedłużenie	renovació
jakkolwiek	tanmateix
spełniają	satisfer
martwe	morts
martwe	dead
radar	radar
porter	porter
budowle	estructures
davies	davies
zbrodnia	massacre
zbrodnia	crim
generałów	generals
suzuki	suzuki
poziomów	nivells
przekonania	condemnes
przekonania	creences
przetrwały	sobreviscut
zmiennej	variable
duke	duke
duke	duc
świątynie	temples
świątynie	temple
kamila	kamila
greków	grecs
