क्रिस्टोफर	christopher
संग्रहीत	arkib
संग्रहीत	diarkibkan
सीसा	plumbum
सीसा	lead
सीसा	pimpin
तना	stem
सदाबहार	evergreen
कंकाल	rangka
नाइट्राइट	nitrite
समीर	samir
ऑर	orr
तांबे	copper
तांबे	tembaga
तांबे	kuprum
समतुल्य	menyamai
समतुल्य	setara
जिन्ना	jinnah
फेरारी	ferrari
माईस्पेस	myspace
बलराम	balarama
एमआईटी	mit
भ्रामक	mengelirukan
भ्रामक	celaru
संभावनाओं	kemungkinannya
संभावनाओं	kebarangkalian
संभावनाओं	kemungkinan
नगण्य	remeh
केक	cake
केक	kek
साख	muhibah
जिज्ञासा	curiosity
पालिका	palika
अन्याय	kezaliman
अन्याय	ketidakadilan
अनुसूची	jadual
हमीरपुर	hamirpur
एनिमेशन	animasi
एनिमेशन	animation
देखो	tengok
देखो	look
इंतजार	penantian
इंतजार	tunggu
हिम्मत	keberanian
हिम्मत	berani
हिम्मत	dare
प्रमाणपत्र	sijil
प्रमाणपत्र	sijil
सांकेतिक	simbolik
सत्रहवीं	seventeenth
झांसी	jhansi
आमदनी	pendapatan
टिन	timah
टिन	tin
चारा	umpan
ओलिवर	oliver
डिब्बे	tin
घनी	tebal
एस्पिरिन	aspirin
जनजातीय	suku
सोर्स	sumber
पीर	rakan
विश्लेषक	penganalisa
विश्लेषक	penganalisis
नीम	neem
चेल्सी	chelsea
बाजरा	millet
पाण्डे	pande
पाम	pam
इच्छाओं	kemahuan
रिश्तों	perhubungan
रिश्तों	hubungan
संन्यास	persaraan
संन्यास	pencen
प्रोसेसर	pemproses
स्ट्रीम	strim
स्ट्रीम	strim
वक्तव्य	kenyataan
वक्तव्य	statement
वक्तव्य	penyata
चंद्रगुप्त	chandragupta
मुमताज़	mumtaz
जालंधर	jalandhar
कोंकणी	konkani
कृत्यों	fungsi
बल्तिस्तान	baltistan
बारहवीं	xii
बारहवीं	twelfth
नागराज	nagaraj
स्टुअर्ट	stuart
अचार	acar
अचार	acar
प्रदाताओं	pembekal
फेंकने	melontar
फेंकने	hambur
शर्तें	syarat
शर्तें	terma
मॉड्यूल	modul
मॉड्यूल	modul
मॉड्यूल	module
हिरण	rusa
हिरण	karibu
पिकनिक	berkelah
पिकनिक	picnic
ईसाइयों	kristian
सईद	saeed
प्रेषित	hantar
प्रेषित	sent
प्रेषित	dihantar
ज़िन्दगी	zindagi
ज़िन्दगी	life
ज़िन्दगी	hidup
ज़िन्दगी	kehidupan
ज़िन्दगी	hidupan
बॉय	boy
अपघटन	pereputan
हजरत	hazrat
इब्राहिम	ibrahim
स्टेरॉयड	steroid
कार्लो	carlo
चावला	chawla
तपेदिक	tbc
पुर	pur
वीजा	visa
वीजा	visa
पवार	pawar
बैनर	sepanduk
बैनर	panji
बैनर	sepanduk
बैनर	banner
बैनर	panji
याहू	yahoo
वेदी	altar
वेदी	vedi
उत्साहित	teruja
प्रलय	malapetaka
घटती	berkurangan
नन्द	nand
नागौर	nagaur
रिले	riley
रिले	geganti
चुनौतियों	cabaran
बर्मन	burman
अनवर	anwar
देवगन	devgan
फर्ग्यूसन	ferguson
हालात	situasi
भैंस	kerbau
भैंस	buffalo
महाद्वीपों	benua
इस्लामाबाद	islamabad
लेनिन	lenin
समाचारपत्र	akhbar
साम्य	kemiripan
संतोषजनक	memuaskan
संतोषजनक	memuaskan
रनवे	landasan
तरुण	tarun
नसीरुद्दीन	naseeruddin
विवेचना	musyawarah
मनोरोग	psikiatri
परेश	paresh
खींचा	ditarik
खींचा	drew
सल्फर	sulfur
सल्फर	belerang
सल्फर	belerang
स्क्वैश	penyek
स्क्वैश	skuasy
लॉक	lock
लॉक	kunci
एबीसी	abc
वाल्टर	walter
डाकू	outlaw
पीएचडी	phd
फ़ुटबॉल	bolasepak
गॉर्डन	gordon
बांस	bamboo
बांस	buluh
बांस	rebung
वाटसन	watson
सहिष्णुता	toleransi
लूथर	luther
परिपक्वता	matang
परिपक्वता	baligh
परिपक्वता	kematangan
निरंतरता	kesinambungan
निरंतरता	kemampanan
पनामा	panama
लॉरेंस	lawrence
हिरासत	jagaan
गणपति	ganapathi
सांप्रदायिक	komunal
लड़	fighting
लड़	bergaduh
लड़	berlawan
गुणात्मक	kualitatif
बौना	kerdil
रेखाचित्र	graf
रेखाचित्र	melukis
रेखाचित्र	lukisan
स्वदेश	bangsa
स्वदेश	nation
सुपरमैन	superman
बुल	buldog
बुल	bull
धब्बे	tampalan
धब्बे	patches
धब्बे	bintik
अमूल्य	ternilai
विकिस्रोत	wikisource
निक	gelaran
पीढी	janaan
माउस	mouse
माउस	tetikus
क्राउन	mahkota
क्राउन	crown
साड़ी	sari
साड़ी	sari
बहुमुखी	berbilang
बहुमुखी	pelbagai
बहुमुखी	serbaguna
पहियों	wta
पहियों	roda
स्पीयर्स	spears
बहू	pengantin
बहू	bahu
छठा	keenam
संभाला	diuruskan
स्पा	spa
स्पा	spa
स्पा	spas
मशीनें	mesin
पनडुब्बी	selam
मुखर	vokal
काउंटर	kaunter
पूर्णांक	integer
बचना	pengelakan
शौक	hobi
शौक	hobi
निचला	turunkan
निचला	lower
वानर	beruk
वानर	kera
नौकर	servant
नौकर	hamba
अफगान	afghan
दोहा	doha
टार्ज़न	tarzan
उदासीन	rindunya
राजमहल	istana
राजमहल	palace
विदिशा	vidisha
बसों	bas
मॉर्गन	morgan
सतहों	permukaan
रसेल	russell
संगीतमय	muzikal
संगीतमय	musical
टिक	semak
टिक	tick
टिक	berdetik
टिक	tik
टिक	tic
क्राइस्ट	christ
क्राइस्ट	kristus
प्रायोजक	taja
प्रायोजक	penaja
प्रायोजक	penaja
प्रायोजक	sponsor
ब्रिगेड	briged
पॉलिसी	dasar
दस्त	diarrhoea
कलाई	pergelangan
संभोग	persetubuhan
अल्फ्रेड	alfred
दाखिल	filing
वेल्श	wales
वेल्श	braille
कराटे	karate
ग्रंथियों	kelenjar
ट्रैफिक	trafik
सिखाया	diajar
लिबरल	liberal
खंडहर	runtuhan
कर्क	barah
कर्क	kanser
प्रेरण	induksi
लामा	lama
लेज़र	laser
बाइबल	bible
बाइबल	alkitab
क्रमांक	nombor
झाँसी	jhansi
धक्का	push
धक्का	sentakan
आविष्कारक	pereka
गोपनीय	disulitkan
गोपनीय	tersulit
गोपनीय	rahsia
गोपनीय	dirahsiakan
गोपनीय	rahsia
गोपनीय	sulit
प्रेत	zombie
प्रेत	zombi
स्थलीय	kebumian
कब्रिस्तान	perkuburan
कब्रिस्तान	kuburan
कब्रिस्तान	perkuburan
मैनपुरी	mainpuri
बुल्गारिया	bulgaria
पासपोर्ट	pasport
प्रज्ञा	intelligence
प्रज्ञा	kecerdasan
प्रज्ञा	perisikan
बेशक	memang
आइसलैंड	iceland
लोप	ketimpangan
टोयोटा	toyota
ब्लाक	sekat
ब्लाक	block
सत्यापन	sahkan
सत्यापन	pengesahan
सत्यापन	penentusahan
रेशों	sutera
रेशों	sutra
प्रत्यावर्ती	berselang
वृहद	greater
सूक्त	sukta
ग्रैमी	grammy
लॉन्च	pelancaran
लॉन्च	pelancaran
लॉन्च	launch
बीट	beat
बीट	rentak
इमेजिंग	pengimejan
लटका	hung
कैटरीना	katrina
डिस्ट्रिक्ट	daerah
काठमांडू	kathmandu
अरोड़ा	arora
सीखना	pembelajaran
सीखना	learning
वेश	berpakaian
डॉक्टरों	doctors
डॉक्टरों	doktor
पक्का	sure
पक्का	yakin
पक्का	takpe
गला	tekak
गला	kerongkong
गला	leher
हैदर	haider
सुगमता	kebolehcapaian
सुगमता	kebolehlihatan
स्ट्रॉस	strauss
गार्सिया	garcia
निद्रा	tidur
एक्सप्लोरर	penjelajah
एक्सप्लोरर	peneroka
एक्सप्लोरर	explorer
छल	gangguan
आलम	alam
बिज़नेस	perniagaan
बिज़नेस	bisnes
कॉलोनी	colony
कॉलोनी	jajahan
आवंटन	peruntukan
बाला	bala
कार्लोस	carlos
हुमायूँ	humayun
अनीता	alice
अनीता	anita
अनोखा	unik
अनोखा	unique
अनोखा	novel
रिएक्टर	reaktor
करीना	karina
कपाल	tengkorak
श्रोता	pendengar
श्रोता	pendengar
श्रोता	khalayak
श्रोता	penonton
दीपिका	deepika
कॉमन	lumrah
कॉमन	common
आपेक्षिकता	relativiti
आपेक्षिकता	kerelatifan
लेम्बोर्गिनी	lamborghini
प्याज	bawang
प्याज	bawang
असीमित	infinite
असीमित	unbound
असीमित	unlimited
माउंटबेटन	mountbatten
बग	pepijat
बग	bug
बग	pepijat
मॉस्को	moscow
बूटी	booty
बूटी	rampasan
सोम	soma
सोम	som
सोम	mon
पानीपत	panipat
चन्द्रशेखर	chandrasekhar
टर्नर	turner
हिमानी	glasier
हिमानी	himalaya
ट्रांस	trans
मेहमान	tetamu
मेहमान	tetamu
नियमन	peraturan
जहर	racun
मगरमच्छ	buaya
गतिज	kinetik
तन	tan
यूटीसी	utc
वेनिस	venice
खांसी	batuk
आईएसओ	iso
पिंडों	jongkong
युगांडा	uganda
संख्याएँ	nombor
जब्त	dirampas
जब्त	disita
सुगंध	wangian
सुगंध	haruman
सुगंध	aroma
जस्टिन	justin
अहंकार	ego
अंबेडकर	ambedaker
ठेठ	khas
फ़ोर्स	force
फ़ोर्स	paksa
उलट	disongsangkan
उलट	songsang
मोरक्को	maghribi
सुमात्रा	sumatera
सुमात्रा	sumatra
छड़ी	tongkat
छड़ी	stick
सीरम	serum
दाम	harga
दाम	price
नहरें	canal
नहरें	canai
नहरें	terusan
नहरें	sungai
हमलावर	penyerang
नॉर्मन	norman
सराहा	dihargai
लैंडिंग	landing
लैंडिंग	pendaratan
माँगा	manga
नाविक	sailor
नाविक	pelaut
नाविक	kelasi
नाविक	navigator
प्रमाणों	yok
स्थायित्व	endurance
स्थायित्व	ketahanan
स्थायित्व	kedudukan
कावेरी	kaveri
सुश्रुत	sushruta
इन्दौर	indore
हावर्ड	howard
परगना	parganas
हस्तिनापुर	hastinapur
साम्यवाद	komunisme
पैमाना	skop
पैमाना	skala
तंबाकू	tembakau
चिड़िया	burung
पराग	debunga
सूर	sur
उमा	uma
प्री	pre
प्री	pra
कफ	gari
मैथुन	persetubuhan
मैथुन	jantina
मैथुन	seks
मैथुन	sex
ग्राफिक्स	grafik
पराबैंगनी	ultraviolet
ताम्र	copper
ताम्र	tembaga
ताम्र	kuprum
योजनाएं	skema
केल्विन	kelvin
नोक	nib
अनुपस्थित	hilang
फाई	phi
मर्सिडीज	mercedes
कीटनाशक	pesticide
सुनहरे	blonde
आगंतुक	pelawat
आगंतुक	peserta
फ़ॉर्मूला	formula
चीज़ें	perkara
ग्राफिक	grafik
ग्राफिक	graphic
लूप	loop
लूप	gelung
पेरी	peri
पेरी	perry
फिल्माया	difilemkan
सम्मिश्रण	pengadunan
चम्मच	gayung
चम्मच	sudu
ग्रा	gras
दुकानें	kedai
दुकानें	kedai
दुकानें	warung
नरेंद्र	narendra
विरोधाभास	paradox
जैम	zam
जैम	jem
चेयरमैन	ketua
चेयरमैन	pengerusi
रिश्तेदार	relatif
रिश्तेदार	kerabat
कचरा	sampah
कचरा	sampah
थैली	pouch
प्रतियोगियों	pesaing
असिमोव	asimov
स्प्रिंग	spring
पिज़्ज़ा	piza
पिज़्ज़ा	pizza
त्रावणकोर	travancore
जाली	kekisi
कुलकर्णी	kulkarni
दैवी	oracle
दैवी	ilahi
साइबर	siber
साइबर	cyber
ग़रीब	kesian
छात्रवृत्ति	biasiswa
विषैले	berbisa
लिखें	tulis
लिखें	gubah
लिखें	bakar
देवों	devon
सोडा	soda
हुकूमत	kingdom
हुकूमत	kerajaan
डॉक्टरेट	kedoktoran
विला	villas
विला	villa
सटीकता	ketepatan
कोला	colombo
कोला	cola
धमनियों	arteri
प्रतिजन	antigen
चोंच	paruh
ग्राहम	graham
सर्वोपरि	paramount
देशमुख	deshmukh
प्लेटों	pelat
प्लेटों	plat
रंजीत	ranjit
सिरा	sira
प्रमाणन	pensijilan
खरीदी	dibeli
खरीदी	dibeli
खरीदी	bought
दुखी	sengsara
दुखी	berserabut
दुखी	sedih
दुखी	sad
न्यूट्रॉन	neutron
इमरान	imran
निरीक्षक	surveyor
निरीक्षक	penyelia
निरीक्षक	pemerhati
अल्फ़ा	alpha
अल्फ़ा	alfa
हैरिस	harris
गियर	kelengkapan
गियर	gear
सर्कस	circus
सर्कस	sarkas
अल्बानिया	albania
हीलियम	helium
बादाम	almond
बादाम	badam
बादाम	almond
बादाम	badam
निष्कर्षों	temuan
नागा	naga
प्राचल	parameter
मिनेसोटा	minnesota
पृथक्करण	segregation
अंडा	telor
अंडा	egg
अंडा	telur
परवेज़	parvez
परवेज़	pervez
एलर्जी	alergi
एलर्जी	alahan
माइक्रो	micro
माइक्रो	mikro
वर्दी	uniform
वर्दी	seragam
वर्दी	sekata
वर्दी	uniform
उत्कृष्टता	kesempurnaan
सूर्यास्त	senja
सूर्यास्त	sunset
ताँबा	copper
ताँबा	tembaga
ताँबा	kuprum
ऐश	ash
ऐश	abu
कैलोरी	kalori
कैलोरी	kalori
कैलोरी	cal
ईमानदारी	kejujuran
ईमानदारी	ketulusan
ईमानदारी	keikhlasan
मताधिकार	francais
वृत्ताकार	membulat
निर्वासित	outlaw
निर्वासित	halau
सरस	juicy
सरस	berair
स्ट्रिंग	string
स्ट्रिंग	rentetan
स्फटिक	kuarza
बुनाई	menganyam
बुनाई	menenun
बुनाई	menyelit
बुनाई	mengait
विवाहित	berkahwin
आभा	aura
ईद	eid
मांसाहारी	carnivorous
बॉन	bonn
बॉन	bon
पाँव	kaki
केश	kesh
द्वेष	kebencian
द्वेष	benci
द्वेष	kedengkian
रेखांकित	digariskan
कॉलम	kolum
कॉलम	kolum
समस्थानिक	isotop
चट्टोपाध्याय	chatterjee
कहावत	peribahasa
कहावत	pepatah
कहावत	dictum
कहावत	maxim
टेड	ted
समष्टि	ruang
समष्टि	space
समष्टि	angkasa
अनूप	anoop
अनूप	anup
शायरी	puisi
टेलीग्राफ	telegraph
प्रत्याशी	calon
प्रत्याशी	candidate
आवेग	momentum
मुंडा	munda
बर्नार्ड	bernard
बर्नार्ड	barnard
अध्यात्म	kerohanian
एमिनेम	eminem
सुनी	didengari
किशोरों	remaja
धर्मार्थ	sedekah
धर्मार्थ	bersedekah
धर्मार्थ	sedekah
डेव	dave
पारा	mercury
पारा	para
धोखे	diperdayakan
धोखे	diperdayakan
हार्ले	harley
पेंट	cat
निदेशालय	directorate
सोन	nak
सोन	putra
सोन	son
नीलामी	lelong
नीलामी	lelongan
नीलामी	lelongan
पट्टे	automobil
पट्टे	pajakan
नाटो	nato
ब्रह्मचर्य	kesucian
ग्लेन	glen
ग्लेन	glenn
विरल	sporadic
विरल	rare
विरल	jarang
काव्यशास्त्र	poetics
पोर्टफोलियो	portfolio
नवाचार	inovasi
डायमंड	berlian
डायमंड	diamond
डायमंड	intan
महंगी	mahal
फ्रायड	freud
तर्कसंगत	rasional
पीना	minum
पीना	minuman
पीना	minum
आप्रवासी	expatriates
स्ट्रिप	strip
संलयन	fusion
अब्दुल्ला	abdullah
वर्जिन	virgin
वर्जिन	perawan
अय्यर	iyer
डेप	deep
चक्रों	chakra
सिन्धी	sindhi
मानकीकृत	standardized
मुहाफ़ज़ाह	pentadbiran
प्रोसेसिंग	pemprosesan
उर्मिला	urmila
अवस्थिति	penempatan
अवस्थिति	perletakan
अवस्थिति	lokasi
अवस्थिति	location
अवस्थिति	lokasi
वार्मिंग	kenduri
मार्गदर्शक	guide
मार्गदर्शक	panduan
विभिन्नता	variasi
ढोल	dram
क्वार्क	kuark
राजसी	majestic
राजसी	regal
टिकाऊ	mampan
क्रोमियम	kromium
कूप	coupe
एकरूपता	keseragaman
कीन	keane
स्टेनली	stanley
कुशीनगर	kushinagar
सिन्ध	sindh
साहेब	saheb
लेखनी	pen
वक्ष	toraks
अखबारों	akhbar
मध्यस्थता	pengantaraan
सोल	sol
बलदेव	baldev
किक	sepakan
किक	tendang
किक	kick
आयोडाइड	iodida
धड़कन	beat
धड़कन	rentak
धड़कन	berdegup
धड़कन	berdebar
धड़कन	berdenyut
छल्ले	berbunyi
क्रेन	bangau
क्रेन	crane
क्रेन	kren
आखरी	last
क्षेत्ररक्षण	kapten
क्षेत्ररक्षण	fielding
लिली	lili
लिली	lilly
लिली	lily
बेली	bailey
बेली	perut
मॉनिटर	pantau
मॉनिटर	monitor
मॉनिटर	pemantau
नायडू	naidu
कोक	coke
मेलबोर्न	melbourne
करुणा	kebaikannya
करुणा	kebaikan
जप	japa
अकसर	sering
अकसर	kerap
मशरूम	kulat
मशरूम	cendawan
मशरूम	cendawan
सेबी	sebi
शांतिपूर्ण	damai
शांतिपूर्ण	tenteram
गरुड़	garuda
फ्लू	selsema
नरक	neraka
ट्री	pokok
बेलन	silinder
बोलना	bercakap
बोलना	pertuturan
अवरोधित	disekat
अवरोधित	menyekat
आत्मविश्वास	confident
आत्मविश्वास	kepercayaan
आत्मविश्वास	keyakinan
लापता	hilang
नूर	noor
कंटेनर	kontena
राई	rai
दुश्मनों	musuh
वाइड	lebar
वाइड	luas
फर्नीचर	perabut
फर्नीचर	perabot
फर्नीचर	furniture
वारिस	pewaris
वारिस	waris
वारिस	waris
आधुनिकीकरण	memodenkan
आधुनिकीकरण	modernisation
परिवर्तनशील	pembolehubah
मच्छर	nyamuk
ग्रांट	grant
ग्रांट	hibah
ग्रांट	geran
मैग्नीशियम	magnesium
गंगोत्री	gangotri
सनी	sunny
प्लेटफॉर्म	platform
प्लेटफॉर्म	pelantar
घुस	menembusi
भावुक	emosional
भावुक	beremosi
भावुक	sentimental
कैन	cain
कैन	cannes
केसरी	kesari
घोटाला	scandal
घोटाला	skandal
घोटाला	penipuan
घोटाला	scam
रामगढ़	ramgarh
मिस्री	mesir
चार्टर्ड	bertauliah
ईर्ष्या	jealous
ईर्ष्या	cemburu
ईर्ष्या	cemburu
ईर्ष्या	dengki
ईर्ष्या	cemburu
ईर्ष्या	kecemburuan
ईर्ष्या	dengki
अमल	amal
मेडल	pingat
मेडल	medal
समरूप	seragam
अमरावती	amravati
विनायक	vinayak
जैज़	jazz
जैज़	jaz
गायकों	penyanyi
गायकों	menyanyi
गायकों	bernyanyi
गायकों	nyanyian
ओक	oak
ओक	ek
बैच	batch
उड़ा	blow
उड़ा	meletupkan
उड़ा	menghembus
किनारा	sempadan
किनारा	tepi
किनारा	sempadan
किनारा	sisinya
फ्रेड	fred
बुर्ज	tower
बुर्ज	menara
बुर्ज	kemuncak
पियरे	pierre
वुड	kayu
वुड	wood
बंदरगाहों	pelabuhan
बंदरगाहों	port
अलेक्जेंडर	alexander
गाजियाबाद	ghaziabad
परिमित	terhingga
वर्षगांठ	anniversary
क्योटो	kyoto
मटर	pea
मटर	peas
आर्किटेक्चर	arkitek
आर्किटेक्चर	rekabentuk
आर्किटेक्चर	senibina
फैक्ट्री	kilang
वॉर्स	peperangan
वॉर्स	wars
वॉर्स	perang
ओंटारियो	ontario
वायरल	viral
एडवेंचर	kembara
एडवेंचर	adventure
एडवेंचर	cabaran
एडवेंचर	pengembaraan
अनुग्रह	grace
गिल्ड	guild
डेविडसन	davidson
घंटी	loceng
घंटी	bell
कूपर	cooper
सुल्तानपुर	sultanpur
कैरोलिना	carolina
प्लान	plan
विदा	vida
मिर्जा	mirza
खिंचाव	stretch
खिंचाव	membentangkan
माफी	keampunan
माफी	pengampunan
अबुल	abul
व्लादिमीर	vladimir
प्रणाम	sujudlah
प्रणाम	regards
दंगों	kekecohan
दंगों	rusuhan
दौलत	kekayaan
कोचीन	kochi
बर्गर	burger
बर्गर	burger
बेहोश	pengsan
बेहोश	pengsan
वर्ड	perkataan
प्रभार	cas
प्रभार	caj
प्रभार	charge
प्रभार	libas
म्यांमार	myanmar
मार्गरेट	margaret
निजामुद्दीन	nizamuddin
जुलूस	perarakan
बांसुरी	seruling
तुगलक	tughlaq
माननीय	bermaruah
माननीय	terhormat
बधाई	tahniah
बधाई	salam
बधाई	tahniah
सत्तर	sattar
हॉस्पिटल	hospital
प्रांगण	premis
हिंदुस्तानी	hindustan
हिंदुस्तानी	hindustani
फास्फेट	fosfat
नीलम	nilam
नीलम	sapphire
जलसन्धि	selat
उठी	dibesarkan
उठी	dibangkitkan
उठी	dinaikkan
पोर्टेबल	portable
स्विंग	ayunan
स्विंग	swing
मर्फी	murphy
जेड	jade
जेड	jed
हार्बर	harbor
हार्बर	pelabuhan
सत्कार	menyambut
सत्कार	disambut
सत्कार	terhibur
टिप्पणियाँ	komen
प्रिंटर	pencetak
प्रिंटर	pencetak
सिनसिनाटी	cincinnati
गिरी	terjatuh
फुल	full
फुल	kenyang
फुल	penuh
फैजाबाद	faizabad
जागरूक	sedar
अस्सी	assi
आंद्रे	andré
अनोखी	pelik
पापुआ	papua
सीआईडी	cid
वंदना	vandana
विषयवस्तु	kandungan
विषयवस्तु	tema
विषयवस्तु	kandungannya
विषयवस्तु	kandungan
सूरीनाम	suriname
गिरि	giri
आज़मी	azmi
फोर्ब्स	forbes
एजेंटों	agen
एजेंटों	ejen
प्रेमियों	lovers
आनुवंशिकी	genetik
हथेली	kurma
दाग	noda
अज़ाब	momok
अज़ाब	doom
मंचन	pementasan
मंचन	berperingkat
बटालियन	batalion
प्रियंका	priyanka
खिलजी	khilji
रिक	rick
रिक	rik
बर्मिंघम	birmingham
गुस्से	kemarahan
गुस्से	amarah
मिर्जापुर	mirzapur
आर्यन	arya
आर्यन	aryan
ढलान	cerun
कप्तानी	captaincy
लगन	dedikasi
लगन	lagan
चाकू	pisau
परिवर्तनीय	pembolehubah
परिवर्तनीय	pembolehubah
निर्दोष	innocent
महायान	mahayana
लीबिया	libya
उज़बेक	uzbekistan
सिकंदराबाद	secunderabad
पिछला	terdahulu
पिछला	prev
पिछला	last
पिछला	terdahulu
पिछला	sebelumnya
पिछला	previous
झुंड	kawanan
घुड़सवार	ekuestrian
प्रसाधन	tandas
प्रसाधन	resources
प्रसाधन	sumber
ईमानदार	ikhlas
ईमानदार	jujur
जोस	jose
जोस	josé
जोस	josé
मल्टी	pelbagai
मल्टी	berbilang
चंदन	cendana
चंदन	sandal
अंकीय	digit
असेम्बली	perhimpunan
असेम्बली	assembly
लड़ी	jaluran
लड़ी	bebenang
कानों	telinga
चांसलर	canselor
चांसलर	kanselor
विवेकानंद	vivekananda
अहसास	feeling
अहसास	perasaan
किपलिंग	kipling
अस्थाई	sementara
तैमूर	taimur
तैमूर	timur
पांड्य	pandyan
तबाह	runtuhan
योद्धाओं	warriors
योद्धाओं	pejuang
कलाकृति	karya
कलाकृति	artwork
नाइजीरिया	nigeria
मिसिसिपी	mississippi
थ्रिलर	ngeri
थ्रिलर	thriller
बेलनाकार	cylindrical
अंतरजाल	internet
रहो	stay
अतिक्रमण	menceroboh
ट्रैकिंग	tracking
ट्रैकिंग	menjejaki
ट्रैकिंग	penjejakan
ट्रैकिंग	pengesanan
अब्बास	abbas
गिद्ध	vulture
पोस्टर	poster
पोस्टर	poster
छात्रावास	dorm
छात्रावास	asrama
वंशजों	zuriat
रंजक	pigmen
सभाओं	assemblies
चॉकलेट	coklat
चॉकलेट	chocolate
