εξερευνητής	துருவி
εξαρτήματα	அணிகலன்கள்
ναύτες	மாலுமிகள்
σημασιολογία	சொற்பொருளியல்
βασιλιάδες	அரசர்கள்
βασιλιάδες	கிங்ஸ்
υπομονή	பொறுமை
συμβολισμός	symbolism
βούλα	டாட்
βούλα	dot
άστον	ஆஷ்டன்
πληροφόρηση	தகவல்
πληροφόρηση	தகவல்கள்
πληροφόρηση	தகவலை
διάβαση	அபராதம்
διάβαση	கடக்கும்
διάβαση	மேம்பாலம்
μνήμες	நினைவுகள்
μνήμες	நினைவுகளில்
μνήμες	நினைவுகளைப்
μνήμες	நினைவுகளை
μνήμες	நினைவு
μνήμες	நினைவைப்
μνήμες	நினைவாற்றல்
μνήμες	நினைவகம்
αγροτικός	ஊரக
αγροτικός	கிராமப்புற
ανθρακικό	கார்பனேட்டு
τρομοκρατία	தீவிரவாதம்
τρομοκρατία	பயங்கரவாதம்
χρόνοι	காலங்கள்
χρόνοι	நேரங்கள்
χρόνοι	டைம்ஸ்
χρόνοι	நேரங்களில்
μόργκαν	மோர்கன்
εκτύπωση	அச்சிடுதல்
εκτύπωση	அச்சில்
διαδήλωση	போராட்டம்
διαδήλωση	ஆர்ப்பாட்டம்
νόμιμα	சட்டபூர்வமாக
παίχτης	பிளேயர்
παίχτης	விளையாடுபவர்
παίχτης	போட்டியாளர்
περίεργο	வித்தியாசமான
περίεργο	வித்தியாசமான
περίεργο	விசித்திரமான
μαλαισίας	மலேசியா
μαλαισίας	மலேஷியா
μαλαισίας	மலேசிய
ανέκδοτα	ஜோக்ஸ்
μπιτς	பீச்
χαμένη	தொலைத்த
χαμένη	தொலைந்து
χαμένη	இழந்ததை
χαμένη	தொலைந்த
χαμένη	இழந்த
νικαράγουα	நிக்கராகுவா
σχηματιστεί	உருவானது
σχηματιστεί	உருவான
χείλη	உதடு
χείλη	உதடுகள்
βίκυ	விக்கி
τιμόνι	வீல்
τιμόνι	சக்கர
τιμόνι	சக்கரம்
ωκεανός	சமுத்திரம்
ωκεανός	பெருங்கடல்
ωκεανός	கடல்
ραφαέλ	ரபேல்
κρίκετ	கிரிக்கெட்
κρίκετ	துடுப்பாட்டம்
εκτεταμένα	நிறைவான
εκτελεστεί	நிறைவேற்றப்பட்டது
σύσκεψη	மாநாடு
σύσκεψη	மாநாட்டு
σύσκεψη	கருத்தரங்கு
σύσκεψη	கூட்டம்
σύσκεψη	கூட்டத்தில்
σύσκεψη	சந்திப்பு
εγκατάλειψη	நிறுத்து
εγκατάλειψη	தடை
ταγματάρχη	மேஜர்
ταγματάρχη	பிரதான
ταγματάρχη	மிகப்பெரியது
νορμανδία	நார்மாண்டி
τόμι	டாமி
σύναψη	முடிவு
σύναψη	conclusion
φρίντμαν	ஃப்ரீட்மன்
φρίντμαν	ஃப்ரீட்மேன்
στολές	சீருடைகள்
στολές	சாதிகள்
φίλτρα	வடிகட்டிகள்
φίλτρα	அலங்காரங்கள்
θαυμαστές	ரசிகர்கள்
μονοξείδιο	ஓராக்சைடு
μπακού	பாலகுமாரன்
μπακού	பாகு
κελί	அறை
κελί	கைபேசி
κελί	செல்
συνιστάται	பரிந்துரைக்கப்பட்டவை
συνιστάται	பரிந்துரைக்கப்படுகிறது
συνιστάται	பரிந்துரைக்கப்பட்டது
λύκος	லூபஸ்
λύκος	ஓநாய்
σήραγγα	சுரங்கம்
δεκτό	ஏற்றுக்கொள்ளப்பட்டது
δεκτό	ஏற்கப்பட்டது
δεκτό	ஏற்றுக்
ντάλας	டல்லாஸ்
μεσάνυχτα	நள்ளிரவு
καταγγελίες	புகார்கள்
μπιλμπάο	பில்போ
υφάσματα	துணிகள்
υφάσματα	ஜவுளி
υφάσματα	துணி
θεμελιώδης	அடிப்படையான
τόνος	சூரை
τόνος	டோன்
χαλκός	செம்பு
χαλκός	தாமிரம்
χαλκός	காப்பர்
χαλκός	செப்பு
γειτονιές	neighbourhoods
ιρλανδός	ஐரிஷ்
ψηλότερα	உயர்வாக
σπήλαια	குகைகள்
μπελίζ	பெலிஸ்
νέφος	மேகம்
νέφος	மேக
νέφος	முகில்
προοπτικές	outlook
προοπτικές	அவுட்லுக்
προοπτικές	கண்ணோட்டங்கள்
έξτρα	உபரி
έξτρα	கூடுதலாக
έξτρα	கூடுதல்
ταχυδρομείο	அஞ்சலை
ταχυδρομείο	மெயில்
ταχυδρομείο	அஞ்சல்
τένις	டென்னிஸ்
μάρκετινγκ	சந்தைப்படுத்துதல்
μάρκετινγκ	மார்க்கெட்டிங்
μάρκετινγκ	விற்பனை
μάρκετινγκ	சந்தைப்படுத்தல்
πιάτο	டிஷ்
πιάτο	தட்டில்
πιάτο	தட்டு
κρίστι	கிறிஸ்டி
κρίστι	கிறிஸ்டி
κρίστι	கிரிஸ்டி
κρίστι	கிறிஸ்டி
αξιοθέατο	ஈர்ப்பு
επιβεβαίωση	உறுதி
επιβεβαίωση	உறுதிசெய்யப்பட்டது
επιβεβαίωση	உறுதிப்பாடு
επιβεβαίωση	உறுதிப்படுத்தல்
επιβεβαίωση	உறுதிப்படுத்துதல்
επιβεβαίωση	உறுதிப்படுத்தவும்
αναπαράγεται	reproduced
πρόσθετο	செருகல்
πρόσθετο	செருகி
πνευμονία	நிமோனியா
τσουνάμι	சுனாமி
φλάουτο	புல்லாங்குழல்
συντεχνία	கில்ட்
αναίρεση	முறையீடு
αναίρεση	மேல்முறையீடு
ξηρό	வறண்டு
ξηρό	வறண்ட
ξηρό	உலர்
ξηρό	உலர்ந்த
ξηρό	காய்ந்த
εναλλαγή	மாற்று
εναλλαγή	மாறு
φιλμογραφία	filmography
εξήντα	அறுபது
εξήντα	அறுபத்து
επενδυτές	முதலீட்டாளர்கள்
κεραμικά	செராமிக்
λη	லீ
οδηγούς	ஓட்டுநர்கள்
οδηγούς	இயக்கிகள்
οδηγούς	டிரைவர்கள்
οδηγούς	வழிகாட்டிகள்
γέννα	பிறவி
γέννα	பிறப்பு
γέννα	பிறந்த
γέννα	பிரசவ
μπάτλερ	பட்லர்
φυσιολογικό	இயல்பான
φυσιολογικό	சாதாரணம்
φυσιολογικό	இயல்பு
φυσιολογικό	இயல்பாக
φυσιολογικό	சாதாரண
λογικές	நியாயமான
λογικές	தருக்க
πωλήθηκε	விற்கப்பட்டது
ρόναλντ	ரொனால்ட்
φιλελεύθερη	சுதந்திரமான
φιλελεύθερη	தாராளவாத
μίξη	கலப்பு
επισημαίνει	சிறப்புகள்
επισημαίνει	சிறப்பம்சங்கள்
αυτόνομες	தன்னாட்சி
ήρα	ஹீரா
συμβάλει	பங்களிக்க
προορίζεται	ஒதுக்கப்பட்டது
παραγουάη	பராகுவே
εκτελεστικό	செயற்குழு
ισραηλινή	இஸ்ரேலிய
βάρκα	படகு
ρόλοι	பதவிகள்
ρόλοι	பங்குகள்
παχύ	தடித்த
παχύ	தடிமனான
παχύ	அழுத்தமான
άγχος	மனஅழுத்தம்
άγχος	கவலை
άγχος	பதட்டம்
άγχος	படபடப்பு
άγχος	பதற்றம்
βέρα	vera
ιστός	வலை
ιστός	திசு
ντικ	டிக்
αιμορραγία	இரத்தம்
αιμορραγία	கொட்டு
καράβι	கப்பல்
καράβι	படகு
φινάλε	இஞ்சின்
πέμπτος	ஐந்தாம்
πέμπτος	ஐந்தாவது
οχι	அல்ல
οχι	இல்லை
οχι	கூடாது
ελάχιστοι	சில
ρίχνει	தன்
πνεύμονα	நுரையீரல்
δόγματα	doctrines
μαγνήσιο	மக்னீசியம்
μαγνήσιο	மெக்னீசியம்
μαγνήσιο	கால்சியம்
μέι	மே
θαύματα	அற்புதங்கள்
θαύματα	அற்புதங்கள்
θαύματα	அதிசயங்கள்
καθολικός	கத்தோலிக்க
σινεμά	சினிமா
κενού	வெற்றிடம்
πρόσθετη	கூடுதலான
πρόσθετη	கூடுதல்
ποσειδώνας	நெப்டியூன்
ίντσες	அங்குலம்
καθορίσει	தீர்மானிக்க
μογγολίας	மங்கோலிய
σύννεφα	மேகங்கள்
ερπετά	ஊர்வன
ερπετά	ஊர்வனவும்
ψευδαργύρου	துத்தநாக
κόλινς	காலின்ஸ்
αιγυπτιακό	எகிப்திய
φίδι	பாம்பு
τρίχες	கூந்தல்
τρίχες	முடி
τρίχες	கூந்தலில்
τρίχες	தலைமுடி
τρίχες	தலைமுடியை
τρίχες	முடிகள்
υποδομή	உள்கட்டமைப்பு
ρόμπερτς	ராபர்ட்ஸ்
ινδός	இந்தியர்
ινδός	இந்தியன்
ινδός	இந்திய
βόλγα	வோல்கா
βιταμίνη	வைட்டமின்
γκρεγκ	கிரெக்
σκόπια	மாசிடோனியா
περιήλιο	perihelion
καταρράκτες	அருவி
καταρράκτες	அருவியில்
καταρράκτες	நீர்வீழ்ச்சி
παράξενο	வித்தியாசமான
παράξενο	வித்தியாசமான
παράξενο	விசித்திரமான
παράξενο	ஒற்றைப்படை
αντιμέτωπος	எதிர்கொள்ள
κελιά	செல்கள்
τεχνητό	செயற்கை
λεμεσό	limassol
προσδοκίες	எதிர்பார்ப்பு
προσδοκίες	எதிர்பார்ப்புகள்
καταδίωξη	சேஸ்
νικόλα	நிக்கோலா
νικόλα	nikola
επιβιώσει	பிழைக்க
επεξεργαστής	cpu
επεξεργαστής	திருத்தி
επεξεργαστής	ஆசிரியர்
επεξεργαστής	எடிட்டர்
επεξεργαστής	தொகுப்பி
επεξεργαστής	தொகுப்பான்
επεξεργαστής	ஆக்கி
αφίσα	சுவரொட்டி
αφίσα	போஸ்டர்
μάσκα	முகமூடி
μαραθώνιος	மாரத்தான்
ένοχος	குற்ற
ένοχος	குற்றம்
ένοχος	குற்றவாளிகள்
ένοχος	குற்றவாளி
κυρά	ஆசிரியை
κυρά	சீமாட்டி
κυρά	பெண்மணி
κυρά	லேடி
ταύρος	ரிஷபம்
ταύρος	காளை
κρουζ	க்ரூஸ்
εξόρυξης	சுரங்க
εξόρυξης	சுரங்கம்
οδοί	சாலைகள்
σχεδιαστή	வடிவமைப்பாளர்
σχεδιαστή	டிசைனர்
αρετές	நற்பண்புகள்
ένθετο	நுழை
ένθετο	நுழைக்க
ένθετο	செருகு
μούσα	மூஸா
μούσα	மியூஸ்
καταβολή	கட்டணம்
κατασκευαστή	உற்பத்தியாளர்
κατασκευαστή	தயாரிப்பாளர்
κουτιά	பெட்டிகள்
επικίνδυνες	ஆபத்தானது
επικίνδυνες	அபாயகரமானது
επικίνδυνες	ஆபத்தான
γίγαντες	அரக்கர்கள்
σταθερός	பந்தத்தில்
κρίσιμο	சிக்கலான
κρίσιμο	சிக்கலானது
κρίσιμο	முக்கியமான
χορούς	நடனங்கள்
πύραυλο	ராக்கெட்
κατάστρωμα	டெட்
κατάστρωμα	ஏடு
κατάστρωμα	எடு
ελπίζοντας	நம்பிக்கையுடன்
ελπίζοντας	நம்புகிறேன்
μπέντζαμιν	பெஞ்சமின்
ημερολόγια	பத்திரிகைகள்
ημερολόγια	diaries
εξαγορά	கைய
εξαγορά	கையகப்படுத்துதல்
ρώσικα	ரஷ்ய
ρώσικα	ரஷியன்
φίδια	பாம்புகள்
θέρετρο	ரிசார்ட்
στίγμα	நிலை
στίγμα	பதவி
ανόργανες	inorganic
ανόργανες	கனிம
θεραπευτική	therapeutic
βάθρο	மேடையில்
βαγδάτη	பாக்தாத்
αυτόνομα	தன்னாட்சி
ιδιωτικός	தனியார்
ιδιωτικός	தனிப்பட்ட
ιδιωτικός	தனிப்பட்டது
ιδιωτικός	தனி
ιδιωτικός	தனிப்பட்டதாக
αίτιο	காரணம்
αίτιο	பாதையில்
μάλκολμ	மால்கம்
μάλκολμ	malcolm
έλιοτ	எலியட்
κουμπί	பொத்தான்
κουμπί	பட்டன்
μοζαμβίκη	மொசாம்பிக்
άρωμα	வாசனை
άρωμα	செண்ட்
άρωμα	சென்ட்
άρωμα	நறுமணம்
άρωμα	வாசனை
φόρος	வரி
κοινοπολιτεία	பொதுநலவாய
κοινοπολιτεία	காமன்வெல்த்
απαρχή	இன்செப்சன்
διπλωματικό	ராஜதந்திர
κλίβελαντ	கிளீவ்லன்ட்
επιτεύχθηκε	வளங்களும்
εξελίχθηκαν	பரிணமித்து
διαιτητή	நடுவர்
διαιτητή	ref
υφή	நுட்பம்
αρκούδα	கரடி
υπάρχουσες	இருக்கும்
ακρωτήρι	கேப்
βυθό	கீழே
βυθό	கீழ்
βυθό	கீழ
πυρετός	காய்ச்சல்
διευθύντρια	இயக்குநர்
διευθύντρια	இயக்குனர்
γραφικό	தள்ளியிருக்கும்
γραφικό	கிராபிக்
γραφικό	கிராஃபிக்
γραφικό	பறத்தல்
έφηβος	டீன்
εθελοντής	தன்னார்வ
πτώματα	உடல்கள்
πτώματα	பிணங்கள்
μεταφυσική	metaphysical
μπρουνέι	புரூணை
ήπαρ	கல்லீரல்
γιουγκοσλαβική	yugoslav
εθελοντικά	தன்னார்வ
άσχημη	அசிங்கமாக
άσχημη	அசிங்கமான
φιλιππίνων	பிலிப்பைன்
δημοσιογράφους	பத்திரிக்கையாளர்கள்
δημοσιογράφους	பத்திரிகையாளர்கள்
δημοσιογράφους	நிருபர்கள்
ρινγκ	வளையம்
ρινγκ	மோதிரம்
ψυχές	ஆன்மாக்கள்
ψυχές	மனம்
κωδικοποίηση	குறியீடு
καταστήσει	செய்
κατάθεση	வைப்பு
κατάθεση	டெபாசிட்
κατάθεση	சாட்சியம்
κατάθεση	சான்று
λάφυρα	கொள்ளை
λάφυρα	பூட்டி
παράνομο	சட்டவிரோதமாக
παράνομο	சட்டவிரோத
πλαστικό	பிளாஸ்டிக்
νεβάδα	நெவாடா
αναμενόμενη	எதிர்ப்பார்த்த
αναμενόμενη	எதிர்பார்த்த
αναμενόμενη	எதிர்பார்க்கப்படுகிறது
απορροής	catchment
σάρκα	சதை
ανθρωπολογία	மானிடவியல்
ανακοινώσεις	கதைகள்
αυθεντικό	மூலம்
αυθεντικό	மூல
αυθεντικό	மெய்யான
αυθεντικό	ஒரிஜினல்
αυθεντικό	அசல்
σιντ	சித்
δασκάλα	ஆசிரியர்
δασκάλα	டீச்சர்
μαριονέτα	கைப்பாவை
φόρεσε	அணிய
φόρεσε	உடுத்தும்
φόρεσε	உடைகள்
μαγικό	மாய
μαγικό	சூனியம்
μαγικό	மாயம்
μαγικό	மேஜிக்
μαγικό	மந்திர
σπένσερ	ஸ்பென்சர்
επαρχιακό	மாகாண
βίβλος	பைபிள்
βίβλος	பைபிளில்
τζόρνταν	ஜோர்டான்
ερωτικές	சிற்றின்ப
τραύμα	புண்
τραύμα	காயத்தை
τραύμα	காயம்
τραύμα	காயம்
τραύμα	பேரதிர்ச்சி
ρίτα	ரீட்டா
ανακαίνιση	சீரமைப்பு
εύρημα	கண்டுபிடித்தல்
τρίγωνα	முக்கோணங்கள்
ασιατική	ஆசிய
εγκέφαλος	மூளை
δίκες	சோதனைகள்
ορατός	காணக்கூடியது
ορατός	தெரியும்
ανταγωνιστές	போட்டியாளர்கள்
γκαίτε	கேத்தா
διαμαρτυρία	போராட்டம்
αδόλφος	adolph
αδόλφος	அடால்ப்
τζένη	ஜென்னி
γονίδιο	மரபணு
παραβιάζει	மீறும்
επαρχιακή	மாகாண
αντρέας	andreas
ορθοδοξία	orthodoxy
τζόαν	ஜோன்
βομβαρδισμούς	குண்டுவெடிப்புகள்
πλάσματα	உயிரினங்கள்
παράνομα	சட்டவிரோதமாக
παράνομα	சட்டவிரோத
παράνομα	சட்டவிரோதமாக
σαραγόσα	zaragoza
σιένα	சியென்னா
σιένα	கத்ரீன்
αναρρίχηση	ஏறுதல்
αναρρίχηση	ஏறு
καίσαρας	சீசர்
κάνσας	கன்சாஸ்
προαιρετικά	விரும்பினால்
προαιρετικά	விருப்பத்தேர்வு
γουάτσον	வாட்சன்
βωμό	பீடம்
γονιδίων	மரபணுக்கள்
κλέφτες	திருடர்கள்
κιθάρες	கிடார்
γεύμα	சாப்பாடு
ίππους	horsepower
διευθυντές	directors
διευθυντές	இயக்குநர்கள்
διευθυντές	இயக்குனர்கள்
διευθυντές	மேலாளர்கள்
ομόφωνα	ஒருமனதாக
διαγράφονται	நீக்கப்பட்டது
διαγράφονται	நீக்கப்பட்ட
οξείδια	ஆக்சைடுகள்
ενοχλεί	தொந்தரவு
θραύσματα	கழிவுகள்
σχεδιασμένη	வடிவமைக்கப்பட்டது
σχεδιασμένη	வடிவமைத்து
σχεδιασμένη	வடிவமைக்கப்பட்டுள்ளது
εξήγησε	விளக்க
εξήγησε	விளக்கவும்
εξήγησε	விளக்கினார்
χάγιεκ	கையக்
φλεγμονή	வீக்கம்
φλεγμονή	தீரா
φλεγμονή	அழற்சி
ορυχείο	என்னுடையது
ορυχείο	என்னுடைய
ψηφοφόρων	வாக்காளர்கள்
αβγά	முட்டைகள்
τρισεκατομμύρια	ட்ரில்லியன்
τρισεκατομμύρια	டிரில்லியன்
απείλησε	மிரட்டும்
ντάνι	டேனி
βαμβάκι	பஞ்சு
βαμβάκι	காட்டன்
βαμβάκι	பருத்தி
διαλύτη	கரைப்பான்
βερν	வேர்ண்
λανς	லான்ஸ்
προσαρμοστεί	adapted
εγχείρηση	செயல்
εγχείρηση	இயக்கம்
εγχείρηση	செயல்பாடு
εγχείρηση	அறுவை
οἱ	இவை
οἱ	இவற்றையும்
οἱ	இந்த
οἱ	இவற்றை
οἱ	இவைகளை
οἱ	இவர்கள்
τίγρη	டைகர்
τίγρη	புலி
κατασκευασμένη	கட்டப்பட்ட
δικτάτορα	சர்வாதிகாரி
ντεν	டென்
βολιβίας	பொலிவிய
τραγική	சோகம்
προνύμφες	லார்வா
πρόθεσή	உள்நோக்கம்
υπάρχον	இருக்கும்
μάγος	வழிகாட்டி
ανίχνευσης	கண்டறிதல்
οστό	எலும்பு
μιρ	மிர்
αναταραχή	இடையூறு
αναταραχή	அதிர்வு
παγίδα	பொறி
παγίδα	பொறிகள்
μπαράκ	பராக்
μπαράκ	பராக்
κοπεγχάγης	கோபன்ஹேகன்
γλυκιά	இனிமை
γλυκιά	இனிமையான
γλυκιά	இனிப்பு
γλυκιά	இனிமையாக
πληρώνει	செலுத்துகிறது
εισβολείς	ஆக்கிரமிப்பாளர்கள்
πάνελ	பேனல்கள்
πάνελ	பலகம்
ώμο	தோள்பட்டை
ώμο	தோள்
ενθαρρύνει	ஊக்குவிக்கும்
εμπνευσμένο	எழுச்சியூட்டும்
χτυπήματα	முட்டியை
χτυπήματα	hits
χτυπήματα	வெற்றிகள்
βοστώνη	பாஸ்டன்
ρήτορας	பேச்சாளர்
ντανιέλ	டேனியல்
ντανιέλ	டானியல்
κληρονόμος	வாரிசுகள்
κυψέλη	கொப்புளம்
ελβετική	ஸ்விஸ்
ελβετική	சுவிஸ்
δημιουργούς	படைப்பாளிகள்
ένατο	ஒன்பதாவது
κάλυμμα	கவர்
κάλυμμα	உறை
προσόντα	தகுதிகள்
προσόντα	தகுதி
υποσημειώσεις	footnotes
τοίχοι	சுவர்களில்
τοίχοι	சுவர்கள்
οπουδήποτε	எங்கும்
οπουδήποτε	எங்கிருந்தும்
οπουδήποτε	எங்கிருந்தாலும்
κλάρα	கிளாரா
κράτησης	தடுத்து
κράτησης	தடுப்பு
δικηγόρο	வக்கீல்
δικηγόρο	வழக்கறிஞர்
βαθμίδες	படிகள்
βαθμίδες	அடிகள்
ραμόν	ரமோன்
τέρνερ	டர்னர்
ορόσημο	மைல்கல்
γονιμότητας	கருத்தரித்தல்
γονιμότητας	வளம்
λισαβόνα	லிஸ்பன்
παρέλαση	அணிவகுப்பு
παρέλαση	அணிவகுப்பில்
καζίνο	கேசினோ
καζίνο	சூதாட்டம்
μεσολάβηση	ஒழுங்கமைவு
γραπτές	எழுதப்பட்ட
γραπτές	எழுதப்பட்டது
γραπτές	எழுதிய
δυνατός	வலிமையானது
δυνατός	வலுவானது
δυνατός	வலுவான
δυνατός	வலிமை
άλι	ஆலி
άλι	ஆலி
άλι	ally
άλι	அலி
δάσκαλοι	ஆசிரியர்கள்
χορεύτρια	dancer
χάσμα	ஊர
επιλεγμένη	தேர்ந்தெடுக்கப்பட்ட
επιλεγμένη	தேர்ந்தெடுக்கப்பட்டது
πίστα	தடம்
σιν	ஷின்
σιν	பாவம்
σιν	பாவத்தை
συναλλαγή	பரிவர்த்தனை
συλλήψεις	கைதுகள்
κύλινδρο	சிலிண்டர்
λέιζερ	லேசர்
μανχάταν	மன்ஹாட்டன்
μιζούρι	மிசூரி
ανεπίσημη	அதிகாரப்பூர்வமற்ற
πολύτιμη	விலைமதிப்பற்ற
πολύτιμη	பொன்னான
πολύτιμη	மதிப்பானது
πολύτιμη	மதிப்புமிக்க
αστυνομικοί	போலீசார்
αστυνομικοί	காவலர்கள்
αστυνομικοί	அலுவலர்கள்
αστυνομικοί	அதிகாரிகளின்
αστυνομικοί	அதிகாரிகள்
γκουάμ	குவாம்
πάρτι	விருந்து
πάρτι	கொண்டாட்டம்
πάρτι	கட்சி
πάρτι	பார்ட்டி
δεύτερα	விநாடிகள்
δεύτερα	நொடிகள்
δεύτερα	வினாடிகள்
θόλο	டோம்
φάουλ	பவுல்
μεσογειακή	மத்தியதரைக்கடல்
δεκ	டிசம்பர்
δεκ	டிச
ελευθερίες	சுதந்திரங்கள்
πούτιν	புட்டின்
φορτηγά	வேன்கள்
φορτηγά	டிரக்குகள்
ανταρκτικής	அண்டார்க்டிக்
ελικόπτερα	ஹெலிகாப்டர்கள்
μέιν	maine
φόρεστ	பாரஸ்ட்
κοσμικό	மதச்சார்பற்ற
κοσμικό	பிரபஞ்ச
κλείδωμα	லாக்
κλείδωμα	பூட்டு
συνδεδεμένα	இணைக்கப்பட்டது
αρτηρία	தமனி
δευτεροβάθμια	இரண்டாம்
δευτεροβάθμια	இரண்டாவது
γεωλογία	நிலவியல்
επιστήμονα	விஞ்ஞானி
ταϊπέι	தாய்பெய்
βράχια	ராக்ஸ்
βράχια	பாறைகள்
αγνή	தூய்மையான
αγνή	தூய்மை
αγνή	தூய
ορθογώνια	செவ்வகங்கள்
εβδομάδων	வாரங்கள்
ναυτικοί	மாலுமிகள்
παράγραφος	பத்தி
νούμερα	எண்கள்
αισθητήρες	உணரிகள்
τζένιφερ	ஜெனிபர்
έντερο	குடல்
κρύβεται	மறைத்தல்
οδησσό	ஒடிசா
λίζα	லிசா
απάτη	ஊழல்
απάτη	மோசடி
απάτη	வஞ்சகம்
πλάνο	திட்டம்
πλάνο	பிளான்
αστείο	வேடிக்கை
αστείο	வேடிக்கையானது
αστείο	வேடிக்கையான
αστείο	ஜோக்
επέζησαν	பிழைத்து
όρθια	நிற்கும்
όρθια	நின்று
όρθια	நிற்கிறார்
όρθια	நின்றுகொண்டு
όρθια	நிற்பது
συνθετικά	செயற்கை
ενεργεί	நடிப்பு
εξαγωγές	ஏற்றுமதி
εξαγωγές	ஏற்று
ρότζερς	ரோஜர்ஸ்
νυρεμβέργη	நியூரம்பெர்க்
φακό	லென்ஸ்
φακό	டார்ச்
φακό	பந்தம்
λίβανος	லெபனான்
πολλαπλασιασμό	பெருக்கல்
δαμασκό	டமாஸ்கஸ்
δημοσιεύεται	வெளியிடப்பட்ட
δημοσιεύεται	வெளியிடப்பட்டது
μέρλιν	மெர்லின்
πάτωμα	மாடியில்
πάτωμα	மாடி
πάτωμα	தரை
κινητό	மொபைல்
κινητό	கைபேசி
κινητό	செல்பேசி
αποτυγχάνει	fails
μαλακό	மென்மையான
μαλακό	மென்மை
κάλεσμα	அழைக்கிறோம்
κάλεσμα	அழைக்கிறது
κάλεσμα	அழைத்தல்
θεατή	காட்டி
συνοχή	coherence
συνοχή	நிலைத்தன்மை
γονιών	பெற்றோர்
εντοπίστηκε	காணப்பட்டது
εντοπίστηκε	அமைந்துள்ள
εντοπίστηκε	அமைந்துள்ளது
εντοπίστηκε	அமைந்திருக்கும்
εντοπίστηκε	கண்டறியப்பட்டுள்ளது
εντοπίστηκε	கண்டறியப்பட்டது
αποκαταστήσει	மீட்கவும்
αποκαταστήσει	மீட்டெடு
ισχυρισμός	குற்றச்சாட்டை
αναπαραγωγική	இனப்பெருக்க
εδιμβούργου	எடின்பர்க்
πολεμιστής	மாவீரன்
πολεμιστής	போராளி
δέσμευση	அர்ப்பணிப்பு
εκκένωση	வெளியேற்றம்
δημοσιευθεί	வெளியிடப்பட்ட
δημοσιευθεί	வெளியிடப்பட்டது
μετατροπής	மாற்றுதல்
μετατροπής	மாற்றம்
μπρούκλιν	புரூக்ளின்
μάο	மாவோ
μάρεϊ	முர்ரே
θώρακα	நெஞ்சு
θώρακα	மார்பு
ταγματάρχης	மேஜர்
ταγματάρχης	பிரதான
ταγματάρχης	மிகப்பெரியது
χόλυγουντ	ஹாலிவுட்
λειτουργικότητα	ஜாதக
λεξικά	அகராதிகள்
πλίνιος	pliny
κάθετο	செங்குத்து
λάσπη	சேற்றில்
λάσπη	சேறு
απολογία	மன்னிப்பு
αίγλη	கவர்ச்சி
σομαλίας	சோமாலி
μπόρις	போரிஸ்
διευκόλυνση	அம்சங்களுக்கும்
διευκόλυνση	வசதி
φίλιπς	பிலிப்ஸ்
φίλιπς	ஃபிலிப்ஸ்
αλουμινίου	அலுமினியம்
λέοναρντ	லியோனார்ட்
κράνος	தலைக்கவசம்
κράνος	கவசம்
διακοσμητικά	அலங்காரத்
διακοσμητικά	அலங்காரங்கள்
πομπή	ஊர்வலம்
παίχτηκε	விளையாடிய
παίχτηκε	விளையாடியது
κυνηγός	வேட்டைக்காரன்
κυνηγός	வேட்டையாடி
διαφωνούν	ஏற்கவில்லை
διαφωνούν	மறுக்கிறேன்
φιλοδοξίες	இலட்சியம்
κατάλυση	catalysis
λέικερς	லேகர்ஸ்
βράχους	ராக்ஸ்
βράχους	பாறைகள்
βραδιά	இரவில்
βραδιά	இரவும்
βραδιά	இரவு
ισοδύναμα	equivalents
βραχίονα	arm
βραχίονα	இடிக்க
εξπρές	விரைவுவண்டி
εξπρές	எக்ஸ்பிரஸ்
στάνλεϊ	ஸ்டான்லி
ράδιο	ரேடியோ
ράδιο	வானொலி
ντετέκτιβ	துப்பறியும்
ντετέκτιβ	உளவாளி
αγαπούσε	விரும்பினேன்
αγαπούσε	காதலித்த
αναγνωρίζοντας	அங்கீகரித்து
καπέλο	தொப்பி
ντιτρόιτ	டெட்ராய்ட்
ρεπερτόριο	repertoire
γιορτάζει	கொண்டாடுகின்றனர்
γιορτάζει	கொண்டாடுகிறார்
γιορτάζει	கொண்டாட்டம்
γιορτάζει	கொண்டாடுகிறது
τροπικά	வெப்பமண்டல
προμήθειες	பொருட்கள்
άμμου	மணல்
άμμου	மண்
αναχώρηση	புறப்பாடு
αναχώρηση	புறப்படும்
προτιμούσε	விரும்பிய
πολλαπλή	பெருக்கல்
πολλαπλή	பல
κατασκευασμένα	manufactured
δείπνο	டின்னர்
σύνθετα	வளாகம்
μόρισον	மோரிசன்
γκίνες	கின்னஸ்
ειρηνική	அமைதியான
μάξγουελ	மேக்ஸ்வெல்
διάλεξη	விரிவுரை
διάλεξη	சொற்பொழிவு
ζεστό	ஹாட்
ζεστό	சூடு
ζεστό	சூடாக
ζεστό	சூடான
ζεστό	வெதுவெதுப்பான
ζεστό	பூசி
δίκαια	நியாயமா
δίκαια	கண்காட்சி
δίκαια	நியாயமாக
δίκαια	நியாயம்
λεξιλόγιο	சொல்வள
ψέματα	பொய்கள்
ψέματα	பொய்
σοσιαλισμού	சோசலிசம்
τηλέφωνα	ஃபோன்கள்
τηλέφωνα	போன்கள்
κεν	கென்
κέιτ	கேட்
μίλλερ	மில்லர்
γκούσταβ	குஸ்டாவ்
καρχαρίες	சுறாக்கள்
σκλάβοι	அடிமைகள்
χάντμπολ	handball
λογαριασμός	கணக்கு
τρέχον	நடப்பு
τρέχον	தற்போதைய
