bitk	battles
pridobijo	acquire
ugodno	favourable
ugodno	favourably
ugodno	favorable
saška	saxony
dihal	respiratory
ovire	barriers
ovire	obstacles
ovira	obstruction
ovira	obstacle
ovira	barrier
cole	cole
campo	campo
guvernerjev	governors
čile	chile
izvoljena	elected
piva	beer
piva	beers
psihološko	psychological
psihološko	psychologically
institucije	institutions
zaklad	treasure
odstop	resigning
odstop	resignation
odstop	withdrawal
finančna	financial
razsežnost	dimension
zabavo	party
zabavo	entertainment
konvencije	convention
konvencije	conventions
zbirajo	collect
srbi	itchy
srbi	itch
srbi	serbs
nepravilno	incorrect
nepravilno	irregular
nepravilno	incorrectly
nagrajen	rewarded
spusti	drop
connecticut	connecticut
vodilna	leading
vodilna	guiding
stanford	stanford
pakistan	pakistan
srečen	happy
pionir	pioneer
demo	demo
zdravko	zdravko
württemberg	württemberg
natančen	precise
natančen	accurate
natančen	exact
emma	emma
balet	ballet
aparat	apparatus
aparat	appliance
warwick	warwick
mrk	eclipse
ekonomija	econ
ekonomija	economics
ekonomija	economy
trpljenje	suffering
bello	bello
bello	bella
bogastva	riches
bogastva	wealth
zvest	loyal
zvest	faithful
predelavo	processing
lažji	lighter
ano	ana
povprečje	average
gozdarstvo	forestry
depresija	depression
sosednji	adjacent
hud	hud
hud	badass
vpogled	insight
vpogled	insights
športnik	athlete
športnik	sportsman
kirurg	surgeon
škrat	leprechaun
škrat	elf
škrat	dwarf
aluminijev	aluminium
perspektive	perspectives
perspektive	perspective
mlajša	younger
rjava	brown
prazno	empty
prazno	blank
poklicna	professional
poklicna	occupational
poklicna	vocational
pomočnika	assistant
pomočnika	helper
protein	protein
pričakovali	expected
pričakovali	expecting
galaksija	galaxy
brooklyn	brooklyn
temple	temple
večno	forever
večno	eternal
španci	spaniards
osmi	eighth
tokov	streams
tokov	flows
lokomotiva	locomotive
sonda	probe
maša	masha
maša	masa
kuge	plague
jakost	strength
jakost	potency
pennetta	pennetta
vaščani	villagers
sončna	sunny
sončna	solar
nositi	carry
nositi	wear
jezuit	jesuit
znamka	brand
newcombe	newcombe
moss	moss
rodov	genera
štajerska	styria
naravnost	straight
informacija	information
tedne	weeks
sektor	sector
izdeluje	makes
oklahoma	oklahoma
listine	charter
listine	documents
dušik	nitrogen
prostorsko	spatial
walsh	walsh
mio	mia
mio	mio
sliši	hears
poimenovanja	denominations
črpalka	pump
torpedo	torpedo
luther	luther
lane	lane
fifa	fifa
zaseda	ambush
preliv	gradient
preliv	topping
preliv	icing
preliv	dressing
vladavina	reign
bolgari	bulgarians
steffi	steffi
luke	luke
kritični	critical
planeti	planets
dušika	nitrogen
združi	merge
združi	combine
združi	unite
patton	patton
neposredne	direct
prejemnik	recipient
prejemnik	receiver
obiskovalci	visitors
pink	pink
uči	teaches
čaščenje	adoration
čaščenje	worship
omejeni	limited
omejeni	restricted
fletcher	fletcher
peters	peters
filippo	filippo
pojasnilo	explanation
pojasnilo	clarification
porušili	demolished
ionizacijski	ionization
tisočletje	millennia
tisočletje	millennium
plače	salary
plače	wages
plače	salaries
ocenjevanje	assessment
ocenjevanje	evaluation
rex	rex
vladislav	vladislav
božo	bozo
komunistov	communists
nadvojvoda	archduke
astronomijo	astronomy
nachi	nachi
ciper	cyprus
roza	pink
diplomo	diploma
češkoslovaško	czechoslovakia
dodaten	extra
konzul	consul
sten	walls
kapital	capital
eksplozija	explosion
vrtenje	rotation
vrtenje	spinning
vrtenje	twirling
banja	banja
ugotovitev	findings
ugotovitev	conclusion
glukoze	glucose
naročila	ordered
naročila	contracts
naročila	order
naročila	orders
objavljene	published
kleti	basements
kleti	basement
oblikovana	formulated
podružnice	branches
karta	ticket
karta	card
poslanstvo	mission
amon	amon
amon	amun
venera	venus
kmetijski	agricultural
budizem	buddhism
kršitev	infringement
kršitev	violation
kršitev	infringements
kršitev	breach
poskuse	experiments
ilija	ilya
ilija	ilija
sloni	elephants
pečat	seal
matra	matra
irsko	irish
irsko	ireland
spodbujanje	encouragement
spodbujanje	stimulation
spodbujanje	promoting
spodbujanje	promotion
spodbujanje	promote
kmeta	farmer
pripadala	belonged
basist	bassist
pivo	beer
pivo	beers
vrtec	kindergarten
vrtec	preschool
vrtec	daycare
hercegovine	herzegovina
absorbira	absorbing
absorbira	absorbs
absorbira	absorb
absorbira	absorbed
znamenja	marks
znamenja	moles
znamenja	omens
znamenja	signs
bratranec	cousin
bratranec	cuz
organe	organs
lepote	beauty
lauda	lauda
slovesno	solemn
slovesno	solemnly
slovesno	inaugurated
zakonodajo	legislation
caroline	caroline
soares	soares
raznolikost	diversity
raznolikost	variety
romantike	romance
nogo	foot
nogo	leg
lamborghini	lamborghini
sporna	disputed
sporna	controversial
skladišče	warehouse
skladišče	storage
northrop	northrop
islamski	islamic
računalniška	computer
thomson	thomson
planete	planets
vega	vega
posvečeno	hallowed
posvečeno	dedicated
kotu	corner
profile	profiles
basel	basel
naletel	stumbled
enciklopedije	encyclopedias
gif	gif
ogrodje	framework
ogrodje	frame
