mtv	mtv
reservoaret	водосховище
tretti	тридцять
måne	місяця
måne	місяць
måne	мун
måne	місячні
måne	супутник
primitive	примітивні
inviterte	запрошує
inviterte	запросив
inviterte	запрошено
inviterte	запрошують
inviterte	запрошені
fat	жирний
fat	жиру
fat	жирна
fat	жири
css	css
kirka	церква
kirka	костел
bella	белла
menigheter	парафій
guangzhou	гуанчжоу
davies	девіс
anklager	звинувачення
bern	берн
bonn	бонн
ris	рис
ris	рису
ris	рі
meldinger	повідомлення
meldinger	повідомлень
forårsaker	причинами
forårsaker	причини
halvkule	півкулі
signatur	підпис
olsson	ульссон
myten	міф
datamaskin	computer
opprettelse	створення
opprettelse	витвір
alfonso	альфонсо
sikt	aim
sikt	видимість
mother	матір
mother	мати
mother	матері
lagring	зберігання
lagring	носії
lagring	сховище
lagring	зберігається
lagring	заощадження
lagring	збереження
lettvekt	легке
lettvekt	легкого
fremtid	майбутнє
fattigdom	бідність
fattigdom	бідності
fattigdom	злидні
hekker	вкладання
utsiden	ззовні
utsiden	надворі
utsiden	поза
utsiden	зовні
prefektur	префектура
christ	христос
christ	christ
christ	христа
belønning	винагороду
belønning	нагорода
eritrea	еритреї
begynnelse	початок
intel	intel
salzburg	зальцбург
borger	житель
borger	громадянин
bryan	браян
dragon	dragon
dragon	дракон
leveres	доставили
leveres	доставлено
oppfinner	винахідник
rothschild	ротшильд
propaganda	пропаганда
captain	капітан
magic	чарівна
magic	магія
magic	magic
third	третє
third	третій
third	третя
kartlagt	відображення
fossil	пластові
selvbiografi	автобіографія
greg	грег
forbedringer	вдосконалення
forbedringer	покращення
leicester	лестер
haven	haven
haven	гавань
enkleste	навчальному
enkleste	найпростіший
enkleste	найпростіші
nøytrale	нейтральний
nøytrale	нейтральна
perfekt	perfect
perfekt	ідеально
perfekt	ідеальні
perfekt	ідеальне
perfekt	ідеальна
perfekt	досконало
måner	супутники
atmosfære	атмосфера
besatt	одержима
besatt	одержимий
utkast	чернетку
utkast	чернетка
utkast	чернетки
utkast	чернетки
hannibal	ганнібал
kommunistene	комуністи
preston	престон
sjekk	перевірити
sjekk	перевірте
laos	лаосу
frue	пані
gjensidig	взаємного
gjensidig	спільний
gjensidig	взаємно
edit	edit
edit	редагувати
edit	правка
edit	змінити
bis	bis
pradesh	прадеш
konsulent	консультант
konsulent	консультантом
konsulent	консультант
konsulent	консалтинг
konsulent	консультування
konsulent	консультацій
fjerner	вилучення
fjerner	видалення
fjerner	вилучає
wessel	вессель
jessica	джессіка
jessica	джесіка
rachel	рейчел
rachel	рейчел
læring	навчання
jong	чен
levninger	залишається
levninger	залишки
centimeter	сантиметрів
centimeter	сантиметри
centimeter	сантиметрів
centimeter	сантиметр
igor	ігор
igor	ігоре
karakterer	класи
marion	маріон
grenoble	гренобль
islamsk	ісламський
talk	поговоримо
talk	розмова
talk	talk
talk	говорити
stade	стад
foreninger	асоціації
mineraler	мінерали
lübeck	любек
tørr	сухий
tørr	суха
tørr	сухо
tørr	сухе
tørr	сухі
rykter	чутки
rykter	чуток
rykter	чутки
tilhørighet	споріднена
diskuteres	обговорено
diskuteres	обговорили
diskuteres	обговорюється
diskuteres	обговорювали
mesopotamia	межиріччя
genetisk	генетичний
unix	unix
standarder	стандартів
standarder	стандартами
standarder	стандартам
standarder	стандарти
teologisk	духовна
gibson	гібсон
grafikk	графіки
grafikk	графіка
grafikk	графічні
grafikk	графіку
grafikk	графіка
grafikk	малюнки
sjekket	сплачено
sjekket	перевірив
sjekket	перевірено
sjekket	позначено
bearbeidet	опрацювати
bearbeidet	оброблено
bearbeidet	оброблені
aksjon	бойовики
aksjon	дії
aksjon	дія
søknad	програми
søknad	програма
søknad	застосунок
søknad	додаток
finans	фінанси
reality	реальність
reality	реаліті
ferge	пором
trygt	сейф
trygt	безпечний
trygt	безпечно
innehar	володіє
innehar	володіти
omringet	оточують
omringet	оточили
umeå	умео
copa	кубок
nominasjon	номінаціях
nominasjon	номінації
kriminalitet	злочин
kriminalitet	кримінальна
brt	brt
hengende	висить
hengende	висіти
benedikt	бенедикт
beholder	контейнер
hvile	відпочинок
avgjørelsen	рішенням
avgjørelsen	рішення
motors	motors
motors	рушії
stasjonene	станції
bonaparte	бонапарт
folketinget	парламент
anonyme	анонімний
anonyme	наркомани
turer	їде
turer	подорожей
turer	поїздки
sans	sans
tante	тітка
tante	тьотя
ark	ark
ark	ковчег
hviler	відпочивають
hviler	відпочиває
erobring	завоювання
erobring	conquest
erobring	підкорення
rikdom	багатства
rikdom	багатство
hårete	волохатий
argentinske	аргентинський
moral	мораль
verft	верф
plattformen	платформи
plattformen	платформу
plattformen	платформа
hunt	полювати
hunt	полювання
dawn	світанок
dawn	світанку
langsomt	повільно
chuck	чак
aspekter	аспекти
aspekter	аспектів
emi	emi
budskap	повідомлення
winchester	вінчестер
murphy	мерфі
canal	канал
ajax	аякс
fortsettelse	тривале
fortsettelse	продовжив
fortsettelse	продовжували
fortsettelse	продовжується
fortsettelse	продовжила
omar	омар
robertson	робертсон
bart	барт
gjennomgang	переглянути
gjennomgang	рецензування
gjennomgang	відгук
gjennomgang	огляд
kinoer	театрів
kinoer	кінотеатрів
andrews	ендрюс
bryggeri	пивоварня
terror	жах
terror	терор
monster	монстр
novgorod	новгород
hentes	отримано
hentes	отриманні
hentes	отриману
hentes	отримано
rein	очистити
rein	прибрати
rein	почистити
rein	чистий
oppvarming	опалення
oppvarming	потепління
oppvarming	гріє
tibetansk	тибетська
pels	хутро
framgang	прогрес
framgang	поступ
utrecht	утрехт
wei	вей
overskrift	шапка
overskrift	заголовок
tilpasse	налаштувати
tilpasse	налаштувати
tilpasse	адаптувати
kolonne	колонка
kolonne	стовпчик
kolonne	колона
erfarne	досвідчений
erfarne	досвідчені
erfarne	досвідченого
erfarne	досвідчених
kryss	перетин
kryss	хрест
kryss	хрестик
kryss	крос
starr	старр
bureau	бюро
word	словом
word	слово
fødselen	народження
forbedring	удосконалення
tau	мотузку
tau	нитка
tau	мотузка
tau	мотузки
tau	tau
andrej	андрей
andrej	андрій
andrej	кириченко
andrej	андрій
andrej	андрей
guardian	опікун
sem	sem
sem	сем
diesel	дизель
bucurești	бухарест
oppfylt	наповнене
bembidion	bembidion
brandt	брандт
tildeling	виділення
planlegger	планування
planlegger	планування
planlegger	плани
kledd	одягнутий
kledd	одягатися
kledd	одягнений
kledd	скромно
kledd	одягнена
agency	агенція
agency	агентство
mohamed	мохамед
pågår	постійну
pågår	триває
pågår	складну
estimert	орієнтовний
estimert	приблизна
duke	герцог
duke	дюк
fuktig	школярем
fuktig	вологого
fokusere	фокусування
things	things
things	речі
things	речей
hjulpet	допоміг
hjulpet	допомагали
hjulpet	допомогла
hjulpet	допомагав
hjulpet	допомогли
nou	ноу
mannlig	чоловічий
mannlig	самець
mannlig	чоловічі
mannlig	чоловіча
isu	ісу
albrecht	альбрехт
avslører	розкриває
forberede	підготувати
detaljerte	докладні
detaljerte	детальний
detaljerte	детальні
ivareta	захищати
ivareta	захистити
ivareta	стараються
ivareta	захисти
utenlands	закордоном
utenlands	закордон
tegne	намалювати
tegne	малювати
tegne	роздати
tegne	нічия
tegne	креслення
tegne	малюнок
tegne	малювання
aksjer	акції
aksjer	поширення
percy	персі
kalmar	кальмар
liège	льєж
varig	тривала
skyter	випускає
skyter	стріляє
skyter	постріл
skyter	пострілу
cbs	cbs
kansler	канцлер
skarpe	гострий
skarpe	гострі
papua	папуа
klinisk	клінічних
videoen	відео
videoen	відеозапис
flytting	споруд
flytting	переміщення
flytting	руху
flytting	переїзд
flytting	пересування
aberdeen	абердин
rømme	втеча
rømme	втечу
rømme	втекти
kraków	краків
kraków	краківське
kraków	краків
kraków	кракові
kraków	краків
tinn	шапочка
shaw	шоу
shaw	шо
bergman	бергман
psykologisk	душевний
psykologisk	психологічний
psykologisk	психологічна
irving	ірвінг
cleveland	клівленд
målene	цілі
målene	голи
målene	цілей
vokaler	голосні
manuskripter	рукописи
støy	шум
innstilling	attitude
innstilling	ставлення
innstilling	встановлення
labour	праця
labour	трудове
labour	трудова
helten	герой
hardy	гарді
frost	мороз
raser	гонок
raser	раси
avslutning	завершується
avslutning	кінець
avslutning	закінчується
avslutning	остаточний
française	франсез
underholdning	розважальна
underholdning	цікава
underholdning	розваги
underholdning	entertainment
fotografi	фотографія
fotografi	фотографії
fotografi	фотографія
fotografi	фотографію
engineering	техніка
engineering	інженерних
engineering	інженерія
farao	фараон
tetthet	щільність
tetthet	щільності
kursiv	курсив
dagbok	журнал
dagbok	journal
dagbok	щоденник
dagbok	щоденник
ankommer	прибуде
ankommer	прилітають
ankommer	приїхати
wings	крила
bevissthet	обізнаність
bevissthet	свідомість
rotterdam	роттердам
mystiske	mystic
look	погляд
look	вигляд
look	подивитися
look	дивіться
look	дивися
look	дивись
cato	катон
ekspansjon	розгортання
ekspansjon	розширення
yunnan	юньнань
forbød	заборонили
forbød	заборонене
range	асортимент
range	діапазон
range	хребет
forbrytelser	злочини
landing	посадка
landing	посадку
toulouse	тулузи
intern	внутрішнє
intern	внутрішній
intern	внутрішня
intern	внутрішні
utrolig	вражає
utrolig	вражаюче
utrolig	дивовижно
utrolig	amazing
utrolig	неймовірний
utrolig	неймовірно
utrolig	неймовірна
orlando	орландо
justin	джастін
alliance	альянс
flyplasser	аеропортів
tyler	тайлер
lucy	люсі
burton	бертон
psykolog	психолог
psykolog	психолога
brenner	палає
brenner	бреннер
brenner	опіки
brenner	горить
skandinavisk	скандинавський
prima	пріма
dyre	дорого
elsket	кохав
elsket	коханою
elsket	коханим
duck	качки
duck	качка
kontekst	контекст
kontekst	контексту
tegneserie	comics
tegneserie	комікси
tegneserie	комікс
tegneserie	мультик
tegneserie	мультфільмів
zum	зам
huang	хуан
alexandre	александр
purple	фіолетовий
oder	oder
likeledes	аналогічно
trim	стрижка
trim	обрізання
trim	скоротити
trim	обрізати
trim	вправа
trim	вправи
somalia	сомалі
bennett	беннетт
topper	вершин
topper	вершини
kritikker	огляди
kritikker	відгуки
signaler	сигнали
bakre	задній
bakre	строю
discogs	discogs
hager	сади
hager	садів
jakter	полює
investeringer	інвестувати
investeringer	інвестування
investeringer	інвестицій
investeringer	інвестиції
investeringer	вкладень
antonius	ентоні
antonius	антоній
tankene	думки
estiske	естонська
piper	piper
forutsetning	передумовою
emmanuel	еммануель
ulykker	біда
ulykker	нещасні
terminal	термінала
terminal	термінал
fravær	відсутність
fravær	відсутності
vakt	охорона
vakt	гвардія
hengt	висів
hengt	повісили
hengt	повісили
ungdommer	діти
ungdommer	дітям
ungdommer	дітьми
ungdommer	дітлахи
ungdommer	дітки
ungdommer	малюки
overføre	трансфер
overføre	перенесення
overføre	перенесення
overføre	передавання
tenor	тенор
beyond	beyond
beyond	поза
opplagt	очевидно
opplagt	очевидне
opplagt	банально
opplagt	очевидна
håret	шерсть
håret	волосся
vinkel	кут
bulgarske	болгарський
bulgarske	болгарська
very	дуже
leie	оренда
leie	найняти
leie	оренду
walt	уолт
federal	федеральний
tolvte	дванадцята
forestilling	ефективність
forestilling	виступ
mick	мік
indianere	індіанці
arkiver	архівувати
arkiver	архів
arkiver	архіви
bekostning	витрати
bekostning	витратами
bekostning	витрат
overordnede	керівництвом
overordnede	командири
honduras	гондурасу
henter	отримання
henter	отримання
henter	розм
henter	отриманні
lexikon	lexikon
dynamisk	динамічний
dynamisk	динамічні
dynamisk	динамічна
dynamisk	динамічне
kollega	співробітник
kollega	колезі
kollega	колега
kollega	колеги
leserne	читачам
leserne	читачі
ørkenen	пустелі
ørkenen	пустеля
hovedfag	спеціальностях
besittelse	зберігання
besittelse	одержимість
besittelse	володіння
guddommelige	божественна
guddommelige	служба
spektrum	спектр
forblir	залишається
forblir	залишки
forblir	remain
forblir	залишаються
forblir	залишається
forblir	залишиться
ska	ска
styring	управління
import	імпорт
import	імпортувати
import	імпорт
trinidad	тринідад
omstendigheter	обставин
omstendigheter	обставини
skjule	сховати
skjule	приховати
skjule	ховати
permanente	постійний
liechtenstein	ліхтенштейн
facto	факто
anatomi	анатомія
jemen	ємен
rømte	втік
rømte	утік
rømte	втекла
rømte	втекли
tilflukt	притулку
tilflukt	притулок
regjeringer	уряди
enestående	винятковий
enestående	визначні
enestående	видатним
moralsk	мораль
jorge	хорхе
fisken	риб
fisken	риба
fisken	рибу
fisken	рибка
fisken	риби
eksperimenter	експерименти
magnusson	магнуссон
something	щось
something	дещо
something	чимось
håndbok	підручник
håndbok	підручника
håndbok	довідник
orknøyene	оркні
nassau	нассау
motion	русі
motion	рух
kompleks	комплекс
kompleks	складні
manhattan	манхеттен
kopiert	скопійовано
festivaler	фестивалів
detalj	докладно
detalj	детально
detalj	подробиці
detalj	детальні
danse	танці
danse	танцюй
danse	танець
danse	танцювальна
danse	танок
lokalene	приміщення
darwin	дарвін
sel	sel
sel	сіль
sel	печатка
sel	печатки
sel	емблема
sel	котик
sel	сіл
nation	держава
nation	нації
nation	нація
religionen	релігія
religionen	релігії
won	переміг
won	виграв
won	вон
won	виграли
maximilian	максиміліан
mistanke	підозра
mistanke	підозри
mistanke	підозрюю
mistanke	підозрюваний
mistanke	підозри
us$	us$
amy	емі
march	березні
march	березень
march	березня
vendt	зіткнулися
vendt	суміжні
hebei	хебей
jesse	джессі
mora	мора
terra	terra
dokumentere	документом
dokumentere	документа
dokumentere	документ
stan	стан
stan	стен
beleiring	облога
flyselskap	авіалінії
flyselskap	вузловий
indianerne	індіанці
augustin	augustin
sendinger	радіопередач
sendinger	трансляції
etterkommer	походити
bild	bild
ram	ram
ram	рам
morning	morning
morning	ранку
morning	ранок
morning	утро
prosa	проза
alter	вівтар
alter	сесії
patent	патент
doktoren	лікар
doktoren	лікаря
doktoren	доктор
doktoren	лікарю
katedral	собор
katedral	соборна
katedral	кафедра
brunt	браун
brunt	коричневі
brunt	brown
brunt	коричневий
kaldt	холодні
kaldt	холодна
kaldt	холод
kaldt	холодно
kaldt	холодний
foreslå	підкажіть
foreslå	запропонувати
edge	ребро
edge	край
edge	ребра
edge	edge
seere	глядачів
seere	глядачі
seere	глядач
leilighet	квартира
jeremy	джеремі
jesuittordenen	єзуїтів
away	відійшов
away	відсутність
away	away
away	геть
marino	марино
borgerlig	буржуа
madame	пані
madame	мадам
madame	madame
better	краща
better	better
better	краще
better	кращі
gravd	викопали
synd	шкода
synd	гріхом
synd	гріха
synd	гріх
skjermen	екрана
skjermen	екран
kritiker	критик
burgund	бургундія
split	дроблення
split	розділення
split	розділити
split	розділена
une	une
verde	verde
verde	верде
namibia	намібія
kjøkken	кухня
kjøkken	кухнях
kjøkken	кухні
kjøkken	кухня
kjøkken	кухню
dokumentarfilm	документальний
respons	відповідь
respons	відповіді
qatar	катару
bulletin	бюлетень
vedvarende	постійного
vedvarende	постійні
vedvarende	стійкий
vedvarende	постійний
nyttige	корисне
nyttige	корисні
nyttige	корисна
nyttige	корисно
nyttige	корисний
nyttige	корисні
nyttige	корисно
nyttige	корисна
nyttige	корисний
vega	вега
sida	сторінку
sida	сторінка
sida	сторінки
sida	пейдж
sida	збоку
sida	сторона
sida	бічна
sida	бік
sida	сторони
målinger	показників
målinger	виміри
samtale	спілкування
samtale	розмови
samtale	розмова
samtale	бесіда
administrert	переживали
administrert	худоби
administrert	вдалося
administrert	зуміли
administrert	керується
trykte	надруковано
fragmenter	фрагменти
tips	поради
tips	підказки
tips	порада
tips	підказка
reading	читання
foretrakk	основний
foretrakk	бажана
foretrakk	головна
foretrakk	бажаний
nordahl	нордаль
charter	хартія
sorg	горя
sorg	горе
sorg	скорбота
sorg	смуток
sorg	сумує
sorg	печаль
sorg	траур
emigrerte	емігрував
forskrift	постанова
gerald	джеральд
flo	фло
vulkansk	вулканічна
guillaume	гійом
virgin	діва
virgin	богородиці
evil	зла
evil	злом
evil	evil
evil	зло
bukt	затока
bukt	затоці
bukt	губа
bukt	затока
forventes	очікується
forventes	очікували
forventes	очікувана
forventes	очікувані
forventes	очікувалося
rart	дивний
rart	дивна
rart	дивне
rart	дивно
rart	дивний
rart	дивна
rart	дивним
rart	дивно
rart	дивні
operativ	оперативного
operativ	оперативна
operativ	готовності
diplom	диплом
philips	philips
jevn	стабільний
jevn	рівно
ira	іра
ira	айра
why	чому
why	нащо
why	навіщо
future	майбутнє
allsvenskan	аллсвенскан
tenkning	роздуми
tenkning	мислення
gjengen	банда
gjengen	gang
gjengen	банди
parallell	паралельний
parallell	паралельні
parallell	паралельно
chester	честер
reykjavík	reykjavík
pre	pre
pre	пре
pre	попередньо
innvendig	inside
innvendig	всередині
body	тіло
body	тіла
akutt	гостра
akutt	гостре
give	віддам
give	дайте
give	надати
furu	сосна
forbli	remain
forbli	залишаються
forberedt	підготувала
forberedt	суспільно
forberedt	підготовлено
forberedt	підготував
forutsetter	штрафу
forutsetter	вважатиме
sletter	вилучення
sletter	видалення
sletter	вилучає
interwiki	interwiki
symbolsk	символічне
symbolsk	символічні
symbolsk	символічних
gregory	ґреґорі
gregory	григорій
gregory	грегорі
zambia	замбії
bom	bom
kunstverk	графіка
kunstverk	малюнки
burke	берк
avslørte	названо
avslørte	відкрив
bibelske	біблійна
blake	блейк
oppførte	перервах
oppførte	діяли
hjemland	батьківщина
guttene	хлопчики
gottfried	готтфрід
rockefeller	рокфеллер
slave	раб
slave	підлеглий
slave	раба
productions	production
tilsyn	нагляду
tilsyn	опіки
tilsyn	нагляд
thai	тайський
martha	марто
martha	марта
michelle	мішель
granitt	граніт
building	будівля
building	будівництво
building	будуємо
building	будівельні
building	будівлі
bradley	бредлі
brooks	брукс
carol	керол
carol	колядки
pic	pic
streisand	стрейзанд
crystal	ясні
crystal	кристал
hhv	відповідно
hindi	хінді
shorts	шорти
wells	веллс
språklige	мовні
språklige	мовний
blokk	блокувати
blokk	блок
blokk	заблокувати
overkant	надлишок
skottlands	шотландія
skottlands	шотландії
husket	пригадав
husket	згадав
emily	емілі
naken	голі
naken	медом
naken	голий
naken	naked
åbo	турку
toer	deuce
benz	benz
grekere	греки
varighet	тривалість
arven	застаріла
arven	спадок
arven	успадкування
aaron	аарон
aaron	арон
pleier	зазвичай
pleier	схильні
giftige	отруйні
fossum	фоссум
june	червня
june	червні
june	червень
eyes	очі
eyes	очей
eyes	очам
fremgang	прогрес
fremgang	поступ
cardiff	кардіфф
utfyllende	комплексне
ssb	scb
irakiske	іракський
wind	вітер
willie	віллі
adresser	адреси
adresser	адрес
catholic	католицька
arkivert	застарілі
arkivert	архів
arkivert	подав
arkivert	зареєстрували
enormt	величезна
enormt	величезний
enormt	величезні
pablo	пабло
nathan	натан
rettssak	судять
objektet	object
cohen	коен
imperial	імператорський
imperial	імперський
imperial	imperial
springer	springer
mottakelse	прийом
lovgivning	законодавства
lovgivning	законодавство
lovgivning	законів
lovgivning	закони
feste	вечірка
feste	партії
feste	вечірки
feste	партія
feste	party
stranda	пляжний
stranda	біч
stranda	пляж
kenny	кенні
fraser	фразами
fraser	фрази
fraser	виразів
fraser	фраз
fraser	фрейзер
penn	пенн
penn	перо
penn	ручка
lotus	lotus
frekvens	частоту
frekvens	частота
forsterkninger	підкріплення
hang	висів
hang	повісили
presentere	знайомтесь
presentere	сьогодення
presentere	подарунок
presentere	теперішній
presentere	присутні
presentere	присутня
presentere	обласної
umiddelbar	миттєвого
umiddelbar	миттєва
umiddelbar	негайно
umiddelbar	негайного
umiddelbar	безпосередній
aalborg	ольборг
isbre	льодовик
everton	евертон
potensielle	потенціал
ekspedisjoner	кошмарів
hopkins	гопкінс
hansson	ганссон
presley	преслі
today	сьогодні
bueskyting	поцілив
ocean	океан
advarsel	попередження
advarsel	увага
logisk	логічна
logisk	логічний
logisk	логічне
kleopatra	клеопатра
støttes	підтримувані
støttes	підтримали
støttes	підтримується
lines	лінії
lines	рядками
lines	рядків
lines	лініями
lines	рядки
unikt	унікальний
unikt	унікальне
unikt	унікальні
leiden	лейден
forklarte	пояснив
forklarte	пояснила
schneider	шнайдер
elektroner	електронів
geologisk	геологічні
geologisk	геологічних
portland	портленд
boisduval	boisduval
geometri	геометрія
definerte	визначений
definerte	визначена
definerte	визначені
definerte	визначено
definerte	визначається
sunderland	сандерленд
aktivist	активіст
astronomiske	астрономічна
pedagogisk	освітня
pedagogisk	навчальна
pedagogisk	освітні
pedagogisk	навчальних
fredelig	мирно
fredelig	спокійна
fredelig	мирного
fredelig	мирний
ekspert	експертні
ekspert	експерт
undervist	навчили
undervist	вчили
undervist	навчила
undervist	викладав
undervist	навчив
christer	крістер
vita	віта
oppmuntret	вдячністю
göran	йоран
montreal	монреаль
søyler	колони
søyler	стовпи
kabul	кабул
sid	сід
hearts	серця
hearts	сердець
pole	поле
pole	полюс
sardinia	сардинія
trusler	загрози
trusler	погроз
trusler	погрози
helikopter	гелікоптер
helikopter	вертоліт
øyeblikkelig	негайно
øyeblikkelig	одразу
øyeblikkelig	відразу
øyeblikkelig	миттєвого
øyeblikkelig	миттєва
øyeblikkelig	негайно
øyeblikkelig	негайного
øyeblikkelig	безпосередній
øyeblikkelig	негайно
øyeblikkelig	миттєво
forklares	пояснив
forklares	пояснила
konferanse	конференція
konferanse	конференції
magi	чарівна
magi	магія
magi	magic
etikk	етика
stigende	пробудження
stigende	rising
stigende	піднімається
stigende	зростанням
stigende	зростання
hopper	переходи
hopper	скаче
anledningen	нагоди
misjon	місія
befestet	оборонний
enstemmig	одноголосно
enstemmig	одноголосно
klein	кляйн
originalen	оригінал
originalen	оригінальна
originalen	оригінальне
originalen	початкове
originalen	оригінальний
macdonald	макдональд
prost	прост
folkelig	популярні
folkelig	популярне
folkelig	популярна
folkelig	популярний
hoteller	готелях
hoteller	готелі
hoteller	готелів
grenen	гілка
telefon	телефон
telefon	телефон
telefon	телефоном
ving	крилом
ving	крило
sopp	гриба
sopp	гриби
sopp	гриб
sopp	гриби
avslutningen	випускний
tommer	дюйм
tommer	дюймів
tommer	дюйми
bing	бінг
uklar	визначено
uklar	незрозуміло
performance	ефективність
performance	виступ
gradene	звання
fiji	фіджі
bevist	довів
bevist	доводять
bevist	довели
bevist	доведено
bevist	доведено
åndelig	духовні
medarbeider	служить
medarbeider	приймав
medarbeider	робітника
medarbeider	колеги
strømmer	потоки
strømmer	потоків
kommisjon	комісія
overalt	всюди
overalt	скрізь
alla	алла
taliban	талібан
école	еколь
dee	ді
rome	рим
brått	раптово
brått	раптом
brått	несподівано
brått	зненацька
brått	несподівана
goes	їздить
goes	йде
goes	переходить
goes	ходить
goes	піде
gripe	схопити
vie	важкий
avenue	проспект
avenue	avenue
karbon	карбон
domstol	судові
domstol	суд
wehrmacht	капелани
minnesmerke	меморіал
jamie	джеймі
audi	audi
øre	слуху
øre	вухо
beskjeden	скромним
mosambik	мозамбіку
morrison	моррісон
alberta	альберта
oppbevart	зберегла
synonym	синонім
jenta	дівчинка
jenta	дівча
jenta	дівчина
jenta	дівчину
siv	сів
konsentrerte	зосереджена
korstog	crusade
korstog	crusades
korstog	фундаменталізм
brukernavn	гасла
brukernavn	користувача
brukernavn	користувач
huskes	пригадав
huskes	згадав
niger	нігер
weimar	веймар
erstattes	замінює
overføring	перенесення
overføring	трансфер
overføring	перенесення
cromwell	кромвель
dante	данте
catalonia	catalunya
catalonia	каталонії
afghanske	афганський
lene	лене
sokker	шкарпетки
avklart	вирішено
avklart	недолік
avklart	осіли
jürgen	юрген
laurent	лоран
fish	риб
fish	риба
fish	рибу
fish	рибка
fish	риби
mortensen	мортенсен
buffalo	buffalo
rue	рю
landsbyene	селах
landsbyene	села
landsbyene	сіл
dører	двері
borneo	borneo
fysiologi	фізіологія
liberty	свобода
templer	храмів
templer	храми
keep	тримай
svakere	ослаб
britt	брітт
homofile	геї
homofile	голубий
homofile	гей
cortina	кортіна
syriske	сирійська
syriske	сирійський
visstnok	вірогідно
visstnok	начебто
visstnok	очевидно
visstnok	мабуть
visstnok	виявляється
visstnok	вочевидь
concert	концерт
sparken	звільнять
sparken	вигнав
sparken	звільнили
sparken	звільнений
sparken	звільнено
sparken	звільнив
utredning	розслідування
utredning	розслідувати
utredning	слідство
ufc	ufc
timothy	тимофія
timothy	тімоті
gaza	гази
gaza	газа
butterfly	метелик
winston	вінстон
barndommen	дитинство
barndommen	дитинства
progresjon	забігах
konsept	поняття
konsept	концепція
