레프	lev
섹터	sektörleri
우주인	astronot
장벽	engeller
장벽	engelleri
장벽	bariyer
장벽	bariyer
비와	biwa
강조	vurgulama
강조	vurgu
강조	renklendirme
강조	yoğunluk
강조	yoğunluğu
리브	liv
리브	reeve
탐구	soruşturma
탐구	araştırmalar
탈선	raydan
탈선	raydan
포춘	servet
포춘	talih
수염	sakallı
수염	sakal
수염	sakal
수염	sakalı
수염	sakallı
미쳐	deli
미쳐	deliyim
미쳐	delilik
미쳐	çılgın
미쳐	manyak
트리오	üçlü
카네코	kaneko
본질	özü
리젠시	regency
돼지고기	domuz
욕망	arzu
욕망	şehvet
욕망	arzular
매뉴얼	manuel
매뉴얼	elle
매뉴얼	kılavuz
챌린저	challenger
킹덤	krallık
카노	kano
안전성	güvenliği
안전성	emniyet
안전성	güvenlik
안전성	emniyeti
우산	şemsiye
우산	şemsiye
예매	rezervasyon
삼각	üçgen
보두앵	baldwin
남방	güney
남방	güneyli
서커스	sirk
서커스	sirkler
컴파일	derleme
컴파일	derlenmiş
컴파일	derleme
컴파일	derleme
이브라힘	ibrahim
볼링	bovling
볼링	bowling
초과	aşıyor
초과	fazlalık
초과	fazla
초과	aşırıya
초과	aşıldı
향수	nostalji
향수	nostaljik
향수	kokular
향수	nostalji
향수	koku
향수	parfüm
브라질인	brezilyalılar
국민투표	referandum
페가수스자리	pegasus
가와구치	kawaguchi
서스펜스	gerilim
서스펜스	belirsizlik
셀틱	kelt
실무	pratik
수니파	sünni
케이타	keita
술집	barlar
술집	bar
술집	pub
이더넷	ethernet
포브스	forbes
돌고래	yunus
돌고래	yunuslar
돌고래	yunus
고소	itham
고소	suçlama
고소	sue
고소	dava
퍼시	percy
실비아	sylvia
실비아	silvia
에볼루션	evrim
올림피아	olympia
지니	ginny
권장	tavsiye
권장	önerilen
부관	vekil
부관	yardımcı
부관	yardımcısı
조슈아	joshua
우즈	orman
우즈	woods
가이아	gaia
신탁	güven
엉덩이	popo
엉덩이	kıç
엉덩이	hip
엉덩이	kalça
엉덩이	popo
엉덩이	kalçalar
엉덩이	kalça
엉덩이	kalçaları
엉덩이	kalçalar
엉덩이	kalça
엉덩이	kıç
엉덩이	popo
엉덩이	kalça
빌뉴스	vilnius
가르침	öğretme
가르침	öğretmenlik
가르침	öğretim
가르침	öğretilerini
웍스	çalışır
웍스	çalışıyor
가쓰라	katsura
마쓰우라	matsuura
셀프	hücre
셀프	cep
가봉	gabon
칙령	emri
셔먼	sherman
인테리어	içişleri
인테리어	iç
상어	köpekbalığı
상어	köpekbalıkları
상어	köpekbalığı
블룸	bloom
근로자	işçi
근로자	işçiler
근로자	işçi
근로자	emekçilerin
응답	tepkiler
응답	yanıtları
응답	yanıt
응답	yanıtlar
응답	cevaplar
응답	yanıtları
응답	cevaplar
응답	yanıtlar
응답	yanıt
응답	cevap
응답	yanıt
응답	cevapla
응답	cevap
응답	yanıt
응답	cevapla
응답	cevap
응답	yanıt
대략적인	yaklaşık
저널리즘	gazetecilik
조립	toplandı
텅스텐	tungsten
카불	kabil
앵글로	anglo
로사리오	rosario
장점	avantajları
장점	avantaj
장점	avantajı
장점	avantajlı
장점	avantaj
오렌지색	orange
오렌지색	portakal
오렌지색	turuncu
내시	nash
이륙	kalkış
검사관	müfettiş
등대	fener
등대	feneri
제이콥	jacob
제이콥	yakup
차이콥스키	çaykovski
우디	woody
던지기	atmak
던지기	fırlatmak
던지기	at
던지기	atın
디럭스	lüks
브롱크스	bronx
상상	hayal
상상	hayali
상상	hayal
밀스	mills
밀스	değirmen
카르타고	kartaca
통계학	istatistikleri
통계학	istatistik
통계학	istatistikler
통계학	istatistiksel
커넥션	bağlantılar
커넥션	bağlar
커넥션	bağlantıları
커넥션	bağ
커넥션	bağlantı
서프라이즈	sürpriz
픽션	roman
픽션	kurgusal
픽션	kurgu
학업	akademik
호화	lüks
포츠담	potsdam
혐오	iğrenme
혐오	kin
혐오	nefret
혐오	nefret
블라인드	kör
블라인드	körler
블라인드	kör
블라인드	perdeler
블라인드	körler
등산	tırmanma
등산	tırmanmak
등산	dağcılık
혼슈	honshu
착용	giy
착용	giyilebilir
레베카	rebecca
천장	tavan
천장	tavan
페라리	ferrari
슈트라우스	strauss
아우크스부르크	augsburg
하든	harden
옴니아	omnia
모리셔스	mauritius
신용카드	kredi
달팽이	salyangoz
달팽이	sümüklü
달팽이	salyangoz
러닝	koşar
러닝	yönetiyor
가상화	sanallaştırma
대리석	mermer
대리석	misket
노르만	norman
계란	yumurta
계란	yumurtalar
계란	yumurta
계란	yumurtalı
렉스	rex
자비	mercy
자비	rahmet
자비	merhamet
핸드	el
외모	görünüş
외모	görünüşü
외모	görünümü
외모	görünüş
외모	görünüm
보행자	yaya
보행자	yayalar
이르쿠츠크	irkutsk
미네르바	minerva
당구	bilardo
당구	bilardo
노블	noble
노블	asil
노블	soylu
형제들	kardeşlerim
형제들	kardeşler
행진곡	mart
행진곡	marş
행진곡	yürüyüş
외로운	yalniz
외로운	yanlız
외로운	yalnızlık
외로운	yalnız
라벨	etiketler
라벨	etiketleri
라벨	etiketi
라벨	etiket
트레이시	tracy
팔이	kolu
팔이	kol
프레스턴	preston
벽돌	tuğla
벽돌	brick
벽돌	tuğla
라이	lai
폴란드인	polonyalılar
백금	platin
하인	hizmetli
하인	uşak
하인	hizmetçi
미완성	bitmemiş
미완성	tamamlanmamış
캘린더	takvimi
캘린더	takvim
캘린더	takvimler
캘린더	takvim
사이공	saigon
오타쿠	otaku
재규어	jaguar
걷기	yürüyen
걷기	yürümek
걷기	yürüyorum
걷기	yürüyüş
걷기	yürüme
걷기	yürür
걷기	yürüyor
걷기	yürüdüm
걷기	yürüdü
걷기	yürü
걷기	yürüyüş
카를스루에	karlsruhe
사바나	savannah
바지	pantolon
바지	pantolonlar
바지	pantolon
바지	pantolonlar
라플라스	laplace
설득	ikna
설득	ikna
광업	maden
광업	madencilik
페가수스	pegasus
부트	bot
부트	çizme
애슬론	athlon
써니	güneşli
써니	sunny
타타르	tatar
니카라과의	nikaragua
아크라	accra
어려움	güçlük
어려움	sıkıntı
어려움	zorluk
어려움	zorluklar
어려움	zorluklar
어려움	zorluk
어려움	zor
어려움	zordur
어려움	zordu
껍질	kabuğu
껍질	shell
껍질	kabuk
오르기	yüksel
오르기	tırmanmak
네트워킹	ağ
완화	hafifletme
완화	hafifletici
완화	kolaylaştırılması
그리드	izgara
그리드	şebeke
부록	apandis
클랜시	clancy
파이어니어	öncü
탱고	tango
윌리스	willis
회귀	regresyon
텐서	tensör
떠나기	terk
떠나기	gitmek
떠나기	gidiyor
떠나기	ayrılıyor
푸리에	fourier
농도	konsantrasyonları
농도	konsantre
농도	konsantrasyon
농도	toplama
농도	derinliği
농도	derinlik
코코	burnunu
코코	burnun
코코	burnu
코코	burun
코스타	costa
코스타	kosta
슬롯	slot
슬롯	slot
슬롯	yuvaları
폴라	paula
다이오드	diyot
엘레나	elena
샘플링	numune
샘플링	örnek
샘플링	örnekleme
지평선	ufuk
팬더	panda
팬더	panter
튜브	boru
튜브	tüp
튜브	borular
튜브	tüpleri
홍대	hong
원더	merak
원더	wonder
카트	araba
카트	arabası
카트	sepet
레저	ledger
마르코프	markov
직위	konum
직위	mevki
직위	pozisyon
직위	pozisyon
비아	aracılığıyla
비아	via
비아	yoluyla
비아	üzerinden
진흙	çamur
진흙	çamurlu
브리타니아	britanya
쿼터	çeyrek
추론	muhakeme
추론	mantık
헐리우드	hollywood
케리	kerry
모모	momo
적응	adapte
적응	uyarlanabilir
적응	adaptasyon
레니	lenny
체이스	kovalamaca
체이스	takip
체이스	chase
인디아	hindistan
인디아	hint
입원	hastanelik
흡연	sigara
복권	loto
복권	piyango
복권	loto
복권	çekiliş
복권	piyango
양키	yanki
양키	yankee
로마노프	romanoff
로마노프	romanov
가이아나	guyana
섀도우	gölge
피아트	fiat
블레이크	blake
이방인	yabancı
아드리안	adrian
포르쉐	porsche
벤처	girişim
부스	booth
부스	kabin
대머리	kel
마티아스	matthias
호스팅	hosting
스탬프	pul
스탬프	damga
스탬프	pul
스탬프	pulları
베트남어	vietnamlı
베트남어	vietnam
에메랄드	zümrüt
아프로	afro
색인	endeksli
색인	işaret
색인	indeksler
파우스트	faust
테두리	sınır
하퍼	harper
카우보이	kovboy
카우보이	kovboylar
부탄	bhutan
포화	doygunluk
포화	doymuş
로이스	reuss
로이스	royce
로이스	lois
목차	içindekiler
목차	içerik
목차	içeriği
목차	içerikler
미즈시마	mizushima
서류	kağıtlar
서류	evraklar
서류	kağıtları
국수	erişte
국수	erişte
결핵	tüberküloz
불평등	eşitsizlik
비정규	alışılmadık
남용	taciz
남용	suistimal
남용	istismar
화해	uzlaşma
화해	uzlaşma
편집기	editör
편집기	düzenleyici
편집기	editor
편집기	editörler
줄무늬	çizgili
줄무늬	çizgili
줄무늬	çizgiler
벅스	buck
벅스	böcekler
벅스	böcek
벅스	hatalar
니컬러스	nicholas
모듈러	modüler
베일	bale
베일	perde
베일	vadi
베일	vale
무의미한	manasız
무의미한	amaçsız
무의미한	anlamsız
사드	saad
사드	sard
퇴직	emekli
퇴직	emeklilik
퇴직	emekli
포인터	pointer
녹아	erime
녹아	erir
무지	cahillik
무지	cehalet
박격포	havan
포괄적	kapsamlı
재활	rehabilitasyon
재활	rehabilitasyon
재활	islah
통증	acı
통증	aci
통증	ağrı
통증	ağrılar
마당	avlu
마당	yard
플랫	daire
플랫	düz
플랫	yassı
크로스오버	çapraz
크로스오버	çaprazlama
크로스오버	crossover
복합체	karışık
복합체	kompleks
복합체	karmaşık
복합체	bileşik
카누	kano
카누	kano
시그널	sinyal
시그널	işaret
볼셰비키	bolşevikler
더그	doug
앵커리지	anchorage
숨겨져	gizlenmiş
숨겨져	saklı
숨겨져	gizlendi
숨겨져	gizli
깔끔하게	sek
찾아보기	göz
찾아보기	gezin
찾아보기	keşfetmek
찾아보기	keşfedin
찾아보기	keşfet
어디서나	heryerde
생년월일	dob
블레어	blair
피처링	sahip
니콜라우스	nicholas
댓글	yorumda
댓글	yorumu
댓글	yorum
댓글	yoruma
댓글	yorumları
댓글	yorumlar
댓글	yorum
카렐리야	karelya
아래쪽	alt
아래쪽	aşağı
아래쪽	aşağıda
아래쪽	aşağı
아래쪽	aşağıya
아래쪽	aşağıdan
아래쪽	altta
아래쪽	alt
아래쪽	alttaki
아래쪽	dibi
아래쪽	dibe
플로피	gevşek
플로피	sarkık
수족관	akvaryum
수족관	akvaryum
수족관	akvaryumlar
편리하다	elverişli
편리하다	uygun
편리하다	kullanışlı
콜라	cola
콜라	kokain
콜라	kola
콜라	cola
콜라	kola
조달	tedarik
미드	meade
미드	mead
미드	ortası
미드	orta
리바운드	ribaund
검출	algılama
검출	tespit
손상된	hasarlı
손상된	hasar
걷고	yürüyen
걷고	yürümek
걷고	yürüyorum
걷고	yürüyüş
걷고	yürüme
범죄자	suçlular
범죄자	suç
범죄자	suçlu
명성	şöhret
명성	ün
명성	şöhret
명성	itibar
명성	itibarını
쏟아져	sağanak
입술	dudak
입술	dudaklar
입술	dudak
입술	lip
외래	ayakta
마티	marty
섀넌	shannon
농부	çiftçiler
농부	çiftçi
농부	çiftçilerin
농부	çiftçi
호위	eşlik
호위	eskort
호위	refakat
베니	benny
비선형	nonlineer
응급	acil
카즈오	kazuo
스무	twenty
스무	yirmi
실린더	silindir
우분투	ubuntu
리타	rita
샤이니	şah
손해	kayıpları
손해	kayıplar
손해	zarar
손해	hasar
버추얼	sanal
어시스트	asist
브람스	brahms
아이비	ivy
아이비	sarmaşık
스플리트	bölünmüş
스플리트	split
스플리트	böl
베이컨	bacon
베이컨	pastırma
코니	connie
혈관	gemiler
치프	şef
치프	reis
노스웨스턴	northwestern
노스웨스턴	kuzeybatı
에베레스트	everest
공상	hayal
타원형	eliptik
마일스	kilometrelerce
마일스	miles
마일스	mil
디나르	dinar
리처드슨	richardson
노래방	karaoke
피드백	görüşler
피드백	görüş
피드백	görüşleriniz
공지	duyuru
공지	anons
공지	fark
공지	duyuru
공지	duyurular
잠금	kilitli
잠금	kilitleme
잠금	kilit
잠금	kilitleme
잠금	kilit
잠금	kilitlemek
바하마	bahamalar
바하마	bahama
설리번	sullivan
훌리오	julio
루니	rooney
무례한	terbiyesiz
무례한	kabalık
무례한	kaba
매트	matt
매트	mat
매트	mat
매트	mat
매트	mats
경이	fevkalade
경이	harikulade
항아리	kavanoz
항아리	jar
항아리	kavanoz
엘런	ellen
고마쓰	komatsu
온실	sera
온실	seralar
지불	ödemek
지불	ödeme
지불	öde
지불	ödeme
감지	algılama
감지	tespit
감지	tespit
감지	tespit
네이션	ulus
통역	tercüman
통역	çevirmen
연습생	antrenman
연습생	pratik
연습생	alıştırma
민병대	milis
워프	warp
갈라	gala
아브라함	ibrahim
아브라함	ibrahim
아브라함	abraham
전갈자리	akrep
전갈자리	scorpius
아리스토텔레스	aristo
체계적	sistemli
체계적	sistematik
크로니클	chronicle
물고기자리	balık
코다마	kodama
가까워	yakına
가까워	yakın
자격증	sertifika
자격증	sertifikalı
가정교사	hocalar
가정교사	mürebbiye
루미	mevlana
매리너	mariner
남서	güneybatı
벤치	banklar
벤치	bank
스완	kuğu
스완	swan
에드먼턴	edmonton
말라위	malavi
캐치	yakala
비자	vize
세르비아인	sırp
세르비아인	sırplar
세르비아인	sırp
플루트	flüt
넷스케이프	netscape
오늘도	bugün
오늘도	bugünde
오늘도	bügün
오늘도	bugun
부모님	aileler
부모님	ebeveyn
부모님	ebeveynler
부모님	ebeveyn
부모님	veli
부모님	ebeveynler
스위프트	swift
수류탄	bombası
콜렉션	koleksiyon
콜렉션	toplama
콜렉션	koleksiyonu
단점	dezavantajları
몬테레이	monterrey
펀자브	punjab
펀자브	punjabi
단락	paragraf
단락	paragraf
하버	limanı
하버	liman
무제한	sınırsız
숨김	gizlenmiş
숨김	saklı
숨김	gizlendi
숨김	gizli
메사	mesa
매기	maggie
카세트	teyp
카세트	kaset
카세트	kasetler
카세트	kasetleri
행복하게	mutlulukla
귀도	guido
거품	bubbles
거품	kabarcık
거품	baloncuk
거품	köpüklü
거품	köpük
거품	kabarcık
거품	baloncuk
거품	balon
랠리	miting
닫습니다	yakın
닫습니다	kapat
닫습니다	yakına
닫습니다	yakin
닫습니다	kapanıyor
닫습니다	kapatır
닫습니다	kapanır
독립기념일	bağımsızlığı
독립기념일	bağımsızlık
스캇	scott
배너	pankartları
배너	bayraklar
배너	afiş
배너	başlıklar
배너	afiş
배너	sancak
배너	banner
의사당	başkent
의사당	capitol
억제	inhibisyon
억제	söndürme
억제	engelleyici
억제	inhibitörü
방학	tatil
사우샘프턴	southampton
베네딕트	benedict
도달	ulaştı
도달	erişim
가정부	hizmetçi
가정부	temizlikçi
가정부	hizmetçi
가정부	kahya
라그나로크	ragnarok
플레어	fişeği
플레어	fişek
플레어	flair
인덱스	endeksli
인덱스	işaret
인덱스	indeksler
플라워	çiçek
플라워	çiçeğim
플라워	çiçeği
아메드	ahmed
아메드	ahmet
피어	akran
리비우	lviv
배운다	öğrenin
배운다	öğren
배운다	öğrenmek
멤버들	üye
멤버들	üyeler
멤버들	üyeleri
말린스	marlins
애정	şefkat
애정	sevgi
위트레흐트	utrecht
비스마르크	bismarck
볼륨	sesi
볼륨	ses
볼륨	hacim
볼륨	cilt
볼륨	hacmi
파도	dalgalar
파도	dalga
파도	dalga
엘프	elf
엘프	cinler
엘프	elf
엘프	elfler
웬디	wendy
백조	kuğu
백조	kuğular
백조	kuğu
백조	swan
심어	yerleştirilmiş
심어	yerleştirdi
스노우	kar
스노우	karlı
스노우	pamuk
스노우	karlar
라디에이터	radyatör
외출	gezmesi
거스	gus
출판물	yayınlama
출판물	yayıncılık
출판물	yayın
출판물	yayınları
출판물	yayınlar
타라	tara
마르코스	markus
마르코스	marcos
바빌론	babylon
바빌론	babil
발목	bilek
반체제	muhalif
중성미자	nötrino
베일리	bailey
새우	karides
새우	karides
새우	karides
다코타	dakota
에식스	essex
페니	penny
페니	sent
페니	peni
페니	kuruş
혼돈	karışıklık
혼돈	karmaşa
혼돈	kargaşa
혼돈	kaos
혼돈	karmaşa
혼돈	kargaşa
레딩	redding
워렌	warren
브라보	bravo
볼프	kurtlar
볼프	kurt
볼프	wolf
볼프	kurdu
볼프	kürt
하이라이트	vurgulanmış
하이라이트	önemli
하이라이트	vurgulama
바닐라	vanilya
바닐라	vanilyalı
두뇌	beyin
두뇌	brain
일관성	tutarlılığı
일관성	tutarlılık
손오공	goku
알란	alan
심플렉틱	simplektik
망치	çekiç
망치	hammer
망치	çekici
주디	judy
대각선	çapraz
피타고라스	pisagor
지리학	coğrafi
지리학	coğrafya
멜로	melo
카레	köri
카레	curry
지브롤터	cebelitarık
전자제품	elektronik
재산권	mülk
재산권	mülkiyet
재산권	emlak
재산권	gayrimenkul
재산권	özellik
헤럴드	herald
헤럴드	haberci
헤럴드	herold
유스티니아누스	justinian
글래스	bardak
글래스	camlar
글래스	cam
뱅크스	banks
뱅크스	bankaları
뱅크스	banka
뱅크스	bankaların
뱅크스	bankalar
부착	ekle
컴팩트	kompakt
장애물	atlamak
장애물	engel
장애물	engeller
복숭아	şeftali
복숭아	şeftali
닝보	ningbo
사용법	kullanımı
사용법	kullanım
쿠미코	kumiko
콘월	cornwall
자정	geceyarısı
토모에	tomoe
분사	iğne
분사	enjeksiyon
싸이	psy
프로토타입	prototipleme
프로토타입	prototip
프로토타입	prototipi
프로토타입	prototip
템플	tapınak
템플	temple
템플	tapınağı
웰스	welles
웰스	wells
웰스	kuyu
에덴	eden
지뢰	mayın
지뢰	maden
피보나치	fibonacci
에두아르도	eduardo
코브라	kobra
코브라	cobra
플라톤	plato
항생제	antibiyotik
항생제	antibiyotikler
항생제	antibiyotik
그리피스	griffith
그리피스	griffiths
정서	duygu
정서	duygular
현미경	mikroskop
민트	naneli
민트	nane
민트	nane
롤리	raleigh
트로이아	troy
트로이아	truva
칩셋	chipset
아이튠즈	itunes
컨셉	kavram
컨셉	konsept
컨셉	konsepti
컨셉	kavramları
트레이딩	takas
트레이딩	ticaret
중요성	önem
중요성	önemi
제우스	zeus
전화번호	telefon
긴장	sinirli
긴장	gergin
긴장	gerilim
긴장	gerginlik
긴장	tansiyon
워털루	waterloo
지다	cidde
노구치	noguchi
질투	kıskançlık
질투	kıskanç
질투	kıskançlık
안젤로	angelo
안젤로	angela
원예	bahçıvanlık
지부티	cibuti
스탠포드	stanford
개선하기	geliştirme
개선하기	iyileştirilmesi
개선하기	geliştirmek
플라스마	plazma
수평으로	yatay
몽골족	moğollar
몽골족	moğol
프라이스	fiyat
프라이스	fiyatı
프라이스	bedel
프라이스	pryce
불규칙	düzensiz
사자자리	leonis
사자자리	aslan
사자자리	leo
스테파니	stefani
스테파니	stefanie
스테파니	stephanie
킬로그램	kg
킬로그램	kilogram
킬로그램	kilo
킬로그램	kilogram
두부	tofu
볼프스부르크	wolfsburg
타당성	fizibilite
타당성	geçerliliği
쿠르드	kürdistan
차분한	sakin
바니	barney
바니	varney
아순시온	asuncion
기사도	şövalyelik
디아스	díaz
디아스	diaz
볼리바르	bolivar
엘렌	ellen
천하무적	yenilmez
모방	taklit
탈레반	taliban
고민	sıkıntılar
고민	dertler
고민	sorunlar
그놈	gnome
그놈	cüce
약사	eczacılar
약사	eczacı
용접	kaynakçı
용접	kaynak
수프	çorba
수프	çorba
측도	ölçüm
측도	ölçün
측도	ölçme
측도	ölçü
사쿠라다	sakurada
리라	lira
리라	lir
트와일라잇	alacakaranlık
나탈리	natalie
에밀리오	emilio
우크라이나인	ukraynalılar
악용	taciz
악용	suistimal
악용	istismar
콕스	cox
초보자	acemiler
초보자	acemi
초보자	çaylak
초보자	acemi
남동	southeast
남동	güneydoğu
남동	güneydoğu
바부다	barbuda
카슈미르	kaşmir
카슈미르	kaşmir
수수	seuss
히타이트	hitit
히트맨	tetikçi
히트맨	hitman
버니	bernie
토레스	torres
에리트레아	eritre
명목	nominal
엘비스	elvis
귀한	seyrek
귀한	nadir
귀한	ender
대리인	muhafızlar
대리인	gardiyanlar
대리인	koruyucular
대리인	ajan
대리인	temsilci
대리인	menajer
리베라	rivera
성기	penis
성기	penisi
복수형	çoğul
양수	olumlu
양수	pozitif
어색한	garip
피카츄	pikachu
불가피한	kaçınılmaz
바바라	barbara
콤보	combo
레아	rhea
레아	lea
아톰	atom
마시기	içki
마시기	içme
마시기	içiyor
마시기	içmek
류블랴나	ljubljana
위생	hijyenik
위생	hijyen
팩터	zin
팩터	etken
팩터	faktör
팩터	faktörü
올라프	olaf
사구	dunes
사구	dune
노예제	köle
노예제	kölelik
아쉬운	yavaş
아쉬운	kolay
아쉬운	easy
인류학	antropoloji
인류학	antropolojik
레이어	katman
레이어	kat
레이어	tabaka
레이어	katmanı
레이어	katman
집착	takıntı
집착	saplantı
집착	takıntılı
집착	takıntı
집착	saplantı
집착	saplantılı
음주	içki
음주	içme
음주	içiyor
음주	içmek
음주	sarhoşluk
가입자	abone
아이누	aynu
스프린트	sprint
어리석은	aptalca
호프만	hoffmann
호프만	hoffman
팍스	pax
불만	şikayetler
불만	şikayetleri
불만	şikayet
불만	hoşnutsuzluk
불만	şikâyet
불만	şikayet
패티	patti
패티	patty
보일러	kazan
보일러	kazanlar
신선	taze
조차도	bile
조차도	hatta
가루	toz
가루	barut
가루	pudra
가루	tozu
구출	kurtarma
구출	kurtarır
명소	nundur
리히터	richter
아르곤	argon
웨슬리	wesley
니제르	nijer
니제르	nijerya
퀸시	quincy
숭배	tarikat
숭배	mezhep
숭배	ibadet
숭배	kulluk
독성	zehirli
독성	toksik
독성	zehirlenmesi
트릭	trick
트릭	numara
트릭	hile
트릭	hile
트릭	numaralar
트릭	hileler
코멘트	yorumda
코멘트	yorumu
코멘트	yorum
코멘트	yoruma
영사	konsolos
루안다	luanda
휘슬러	whistler
휘슬러	islık
도난	çalınmış
도난	çalındı
도난	çalınan
도난	çalıntı
도난	hırsızlığı
도난	hırsızlık
유명인	meşhur
유명인	ünlü
웨어	ware
그라츠	graz
치사	cinayet
탬파	tampa
팔라우	palau
목장	otlak
목장	çiftlik
목장	çiftliği
카리스마	karizma
카리스마	karizmatik
주스	suyu
주스	suları
자치령	hakimiyet
매니토바	manitoba
매점	matara
펌웨어	firmware
준수	uyumu
준수	uyum
중서부	ortabatı
티나	tina
마스터링	mastering
펀드	fon
펀드	fonu
펀드	fonlar
펀드	fon
종속	bağımlı
종속	bağımlılık
종속	bağımlılığı
종속	bağımlılıklar
볼드윈	baldwin
명품	lüks
크레인	turna
크레인	vinçler
크레인	vinç
크레인	turna
크레인	vinç
체코어	çek
알레그로	allegro
젖은	islak
설문	anketler
설문	anketler
설문	anket
설문	anketi
행크	hank
싸인	imza
규소	silikon
태평	taiping
위임	heyeti
위임	heyet
슈나이더	schneider
프린시페	príncipe
요시카즈	yoshikazu
걸음	stride
걸음	step
걸음	basamak
걸음	adım
걸음	adımı
걸음	adımları
걸음	adımlar
걸음	basamak
세븐틴	seventeen
할렐루야	hallelujah
주머니	cepte
주머니	cebe
주머니	cep
주머니	kese
주머니	torba
덮개	koru
덮개	kapak
스펀지	sünger
노키아	nokia
클리프	uçurum
클리프	cliff
톰프슨	thompson
파푸아	papua
록펠러	rockefeller
우치	łódź
이고르	igor
맑음	açık
맑음	net
맑음	temizle
맑음	temiz
맑음	berrak
맑음	güneşli
맑음	sunny
직사각형	dikdörtgenler
직사각형	dikdörtgen
최소화	minimize
재미	eğlenceli
재미	eğlence
산화물	oksit
히스	heath
미치	mitch
와카마쓰	wakamatsu
드라큘라	drakula
드라큘라	dracula
악화	kötüleşen
커크	kirk
경매	müzayede
경매	müzayede
테오도시우스	theodosius
콘티넨탈	continental
콘티넨탈	kıta
브릿지	köprüler
칵테일	kokteyl
칵테일	kokteyl
머무르고	kalın
머무르고	kal
도표	diyagramı
동남아	southeast
동남아	güneydoğu
생산성	verimlilik
생산성	verimliliği
카트만두	katmandu
프라이	fry
프라이	kızartma
스팀	buhar
아사카	asaka
유리카	erica
대백과사전	ansiklopedi
마지	marge
하우	howe
언더우드	underwood
네이티브	yerli
손잡이	başa
손잡이	palabıyık
코코넛	hindistancevizi
고릴라	goril
고릴라	goriller
하마	hippo
당뇨병	diyabetik
당뇨병	diyabet
당뇨병	diyabet
유방	meme
유방	göğüs
비테르보	viterbo
보완	kompleman
보완	tamamlayıcı
좋아요	tamam
웃음	gülüyor
웃음	güler
웃음	gülmek
웃음	gülen
웃음	gülüyor
웃음	gülün
웃음	gülme
웃음	gülmek
웃음	gül
웃음	kahkaha
웃음	gülüş
웃음	gülmek
웃음	kahkahalar
웃음	kahkaha
루가	luke
여관	inn
콜론	colón
콜론	bağırsak
콜론	kolon
아이유	çocuk
아이유	çocuğum
아이유	cocuk
피에몬테	piedmont
먹어	ye
먹어	yiyin
브랜던	brandon
기병대	süvari
기병대	süvariler
리아	lea
리아	leah
리아	lia
밀어	it
품격	klas
프롬	balo
계몽주의	aydınlanma
부호화	kodlama
부호화	kodlama
트랜잭션	aktarım
트랜잭션	işlem
트랜잭션	işlemleri
트랜잭션	işlemler
우려	kaygı
우려	endişe
루즈벨트	fdr
루즈벨트	roosevelt
입국	varış
입국	geliş
입국	gelişi
칠리	chili
냠냠	yum
불신	inkarı
가방	poşet
가방	çanta
가방	torba
가방	çanta
가방	çantalar
가방	torba
소크라테스	sokrates
조선소	tersane
조선소	tersaneleri
나가기	çık
나가기	çıkışı
나가기	çıkış
몬테	monte
네기시	negishi
출판됨	yayınlanan
출판됨	yayınlanmış
출판됨	yayınlandı
출판됨	yayımlandı
변종	varyantı
리프트	rift
리프트	yarık
리프트	kaldırın
리프트	kaldırma
리프트	yükseliş
리프트	kaldır
현대그룹	hyundai
도시락	öğle
도시락	yemek
목적지	varış
목적지	istikamet
목적지	hedef
목적지	yerler
보정	düzeltme
보정	geliştirmek
보정	düzeltme
보정	düzeltiyorum
보정	kalibre
보정	kalibrasyon
사랑스러운	sevimli
사랑스러운	güzel
데일	dale
미스틱	mistik
미스틱	mystic
모리슨	morrison
펜스	peni
표시하기	ekran
표시하기	teşhir
표시하기	göster
표시하기	görünüm
지킨	keane
코다	coda
목걸이	kolye
벨리즈	belize
만족	memnuniyet
만족	memnuniyeti
만족	tatmin
만족	memnuniyet
만족	memnun
만족	tatmin
등기	kayıtlı
코모로	komorlar
안젤라	angela
연주회	resitali
연주회	konserler
연주회	konser
연주회	konser
팽창	genişleme
팽창	genişleme
좌표계	koordinatları
좌표계	koordinat
좌표계	koordinatlar
활성	aktif
활성	etkin
섹시	sexy
섹시	seksi
까마귀	corvus
까마귀	crow
까마귀	karga
까마귀	karga
까마귀	kargalar
까마귀	karga
까마귀	kuzgun
까마귀	raven
나이프	bıçak
나이프	bıçakları
나이프	bıçaklar
나이프	bıçak
라일리	riley
라일리	reilly
레닌주의	leninizm
훔쳐	çalma
훔쳐	çal
훔쳐	çalmak
캐런	karen
일러스트레이터	çizer
북동	kuzeydoğu
히라이	hirai
조개	midye
조개	istiridye
조개	midye
조개	istiridye
지오	gio
지오	geo
웁살라	uppsala
바베이도스	barbados
카라치	karaçi
플라이어스	ilanlar
플라이어스	ilanları
채팅	sohbetler
채팅	muhabbet
채팅	sohbet
채팅	muhabbet
채팅	sohbet
채팅	chat
아디다스	adidas
가속기	hızlandırıcılar
가속기	hızlandırıcı
테라	tera
테라	terra
에디터	editör
에디터	düzenleyici
에디터	editor
에디터	editörler
부끄러운	utanç
부끄러운	ayıp
부끄러운	yazik
부끄러운	yazık
부끄러운	çekingen
부끄러운	utangaç
시키	shiki
오마하	omaha
엔트로피	entropi
바덴	baden
성교	çiftleşme
성교	ilişki
성교	seks
성교	cinsellik
성교	sex
테디	ayıcık
테디	teddy
버크	burke
