padaju	落下
čudovišta	モンスターズ
htv	htv
efekta	エフェクト
efekta	効果
primjere	用例
primjere	実例
govornik	スピーカー
govornik	話し手
govornik	議長
plazma	プラズマ
majmuni	サル
drveće	樹木
reklama	コマーシャル
reklama	商用
reklama	商業
gta	gta
komičar	コミック
komičar	コメディアン
demon	daemon
demon	デーモン
demon	悪魔
demon	悪霊
bruto	グロス
presudu	評決
brand	ブランド
brand	銘柄
mata	マタ
napetost	緊張
napetost	テンション
pojačalo	amp
pojačalo	アンプ
palmer	パーマー
ein	アイン
ein	ein
borbeno	戦闘
spomenike	モニュメント
spomenike	記念碑
prometej	プロメーテウス
prometej	プロメテウス
toyota	豊田
toyota	トヨタ
naklonost	愛着
naklonost	愛情
procjenu	評価
procjenu	評定
realizam	リアリズム
pčela	ビー
cestama	道路
nezadovoljan	不満
mučenja	拷問
argumente	論証
argumente	引数
geni	遺伝子
biblioteke	図書館
biblioteke	ライブラリ
ace	エース
lisac	キツネ
strijela	矢印
strijela	アロー
snake	ヘビ
pierce	ピアス
pierce	ピアース
emma	エマ
pisano	筆記
najduže	最長
propala	失敗
gej	ゲイ
pretraživanje	検索
inovacije	イノベーション
inovacije	革新
inovacije	イノベーション
suzuki	スズキ
suzuki	鈴木
misijama	ミッション
savjete	tips
savjete	ヒント
bilbao	ビルバオ
najduža	最長
kirby	カービー
integracije	統合
integracije	インテグレーション
siromaštva	貧困
vaga	スケール
vaga	縮尺
vaga	目盛
coca	コカ
vizija	ヴィジョン
vizija	ビジョン
vizija	vision
libiji	リビア
najjače	最強
maraka	マークス
mentalno	メンタル
joy	joy
joy	ジョイ
joy	喜び
repu	カブ
nigeriji	ナイジェリア
malajski	マレー
andre	アンドレ
andre	アンドレ
vizualno	ビジュアル
jao	あいた
jao	痛い
tik	ダニ
tik	tick
iskustava	エクスペリエンス
ljubavnica	恋人
slogan	スローガン
police	ポリシー
police	施策
police	方針
deluxe	デラックス
jura	ジュラ
jura	由良
adria	アドリア
ponovio	繰り返し
završeno	終了
pine	マツ
pine	パイン
richter	リヒター
ruševinama	廃墟
ruševinama	遺跡
chin	あご
sažetak	概説
sažetak	概略
sažetak	まとめ
sažetak	概要
sažetak	要約
interpretacija	解釈
interpretacija	通訳
ivane	イワン
ivane	イヴァン
sonny	ソニー
odbiti	辞退
odbiti	拒否
odbiti	却下
odbiti	拒否
pozitivni	陽性
pozitivni	ポジティブ
izuzetak	例外
storm	ストーム
nikla	ニッケル
pav	pav
petit	プチ
interakcije	相互作用
interakcije	相互作用
wyoming	ワイオミング
lola	ローラ
crijevo	ホース
predgrađa	郊外
oto	オットー
dublin	ダブリン
tkanine	生地
tkanine	布地
tkanine	生地
tkanine	織物
promocija	プロモーション
promocija	宣伝
borca	ファイター
ehf	ehf
idealno	理想
asfalt	アスファルト
drugačija	異なる
vjerujući	信ずる
mediterana	地中海
kanale	チャネル
kanale	チャンネル
razvod	離婚
rođaci	いとこ
rođaci	親族
rođaci	親戚
najnoviji	最新
najnoviji	最新
depresija	うつ病
kitovi	クジラ
pokus	実験
baku	バクー
bavarskoj	バイエルン
napajanje	権力
napajanje	パワー
isključen	除外
aspekt	アスペクト
aspekt	側面
pleše	踊り
mitu	神話
novinarstva	ジャーナリズム
novinarstva	報道
hardy	ハーディ
alge	藻類
seksualna	性的
regulira	規制
subst	subst
asura	アスラ
meri	メアリ
meri	メアリー
ghost	お化け
ghost	幽霊
ghost	ゴースト
vjerni	忠実
hamburgu	ハンブルグ
hamburgu	ハンブルク
vegas	vegas
vegas	ベガス
konzola	コンソール
osobnost	個性
osobnost	人柄
osobnost	性格
osobnost	人格
osobnost	パーソナリティ
klarinet	クラリネット
popravak	修理
emirata	エミレーツ
sjemenke	種子
sjemenke	シード
helij	ヘリウム
kur	コーラン
kuvajt	クウェート
krštenje	洗礼
patent	特許
očekivao	期待
belle	ベル
skica	スケッチ
skica	ドラフト
skica	下書き
miješanje	ミキシング
miješanje	干渉
miješanje	シャッフル
globalno	global
globalno	グローバル
lambda	ラムダ
panama	パナマ
federico	フェデリコ
dixon	ディクソン
kanu	カヌー
serra	セッラ
issn	issn
federer	フェデラー
prašina	ダスト
prašina	砂塵
prašina	ほこり
hlače	ズボン
hlače	ズボン
hlače	パンツ
atenu	アテネ
deformacija	奇形
demona	悪魔
demona	悪霊
anita	アニタ
schwartz	シュワルツ
relikvije	遺物
objava	告知
objava	アナウンス
objava	発表
objava	公表
objava	お知らせ
objava	ポスト
objava	投稿
ponosa	プライド
ponosa	傲慢
ponosa	誇り
bergman	ベルイマン
ubijanje	キリング
april	四月
april	エイプリル
khan	ハーン
khan	カーン
čovječanstvo	人類
čovječanstvo	人類
rightarm	rightarm
patnje	苦しみ
fest	fest
neptun	海王星
neptun	ネプチューン
zoo	動物園
zoo	zoo
usp	usp
mjerilo	ゲージ
instalacije	設置
instalacije	インストール
skoplju	スコピエ
robot	ロボット
arp	arp
barb	バーブ
gvajana	ガイアナ
zabrinutost	懸念
zabrinutost	関心事
jučer	きのう
jučer	昨日
šok	ショック
šok	衝撃
omiljena	お気に入り
omiljena	お気に入り
kvadrat	正方形
kvadrat	四角
kvadrat	広場
kori	クラスト
moo	moo
zarade	獲得
zarade	稼ぐ
zarade	営利
zarade	収益
zarade	利益
zarade	収益
zarade	稼ぐ
pati	苦しむ
skandal	スキャンダル
skandal	不祥事
četvrtak	木曜日
četvrtak	木曜
nezavisno	独立
nezavisno	インディペンデント
kang	カン
planete	惑星
demokraciju	民主主義
sedamnaest	seventeen
korisna	役に立つ
miks	mix
miks	ミックス
miks	混ぜる
earl	アール
dokumentacije	ドキュメント
dokumentacije	ドキュメンテーション
sinovima	息子
mari	マリー
mari	マリ
zvjezdice	stars
zvjezdice	スターズ
posjetitelje	ビジター
objavi	公開
objavi	ポスト
objavi	投稿
dublinu	ダブリン
ljuske	シェル
ljuske	スケール
ljuske	ウロコ
bolesnik	病気
elliott	エリオット
uni	uni
valentin	ヴァレンティン
valentin	バレンタイン
gaius	ガイウス
uspostavljanje	設立
ninja	忍者
ninja	ニンジャ
izgubljeno	ロスト
projekcije	投影
boksač	ボクサー
claudia	クラウディア
odijelo	スーツ
odijelo	背広
amaterski	アマチュア
gwh	gwh
dinosauri	恐竜
obavijest	通知
obavijest	届出
obavijest	お知らせ
obavijest	告示
obavijest	通知
obavijest	告知
mitovi	神話
aurora	オーロラ
demonstracije	デモンストレーション
demonstracije	実演
demonstracije	デモ
demonstracije	デモ
uske	狭い
putevi	道路
putevi	パス
hammer	ハンマー
hammer	ハマー
milo	milo
zrcalo	ミラー
dijagram	ダイアグラム
kuka	フック
predan	コミット
dunja	花梨
kamenica	牡蠣
kamenica	カキ
kamenica	オイスター
plaće	給料
plaće	俸給
plaće	給与
plaće	給与
plaće	賃金
ini	ini
slalom	スラローム
liberalne	リベラル
oltaru	祭壇
sjemeništu	神学校
desert	デザート
pobačaj	流産
pobačaj	流産
savage	サベージ
kolumbo	コロンブス
prozori	windows
prsno	平泳ぎ
xxx	xxx
jrm	jrm
gibbs	ギブズ
gibbs	ギブス
tumor	腫瘍
tumor	腫瘍
medina	マディーナ
uspostavu	設立
grah	ビーン
forbes	フォーブス
rocky	ロッキー
pepeo	ash
tanka	薄い
tanka	細い
lars	ラース
zabava	楽しい
zabava	パーティ
zabava	パーティー
zabava	エンターテイメント
zabava	娯楽
zabava	エンターテインメント
pranje	洗う
pranje	ウォッシュ
pranje	洗濯
pranje	洗浄
python	python
python	ニシキヘビ
pije	飲む
pije	飲み物
pije	ドリンク
hale	ヘール
mak	ポピー
mak	mak
uski	狭い
sok	ジュース
paradise	パラダイス
paradise	楽園
najbrže	最速
cvijeta	flower
cvijeta	フラワー
alternativa	オルタナティブ
alternativa	代替
barcelonu	バルセロナ
aba	aba
aba	アバ
thunder	サンダー
bolesnici	患者
neslužbeno	非公式
juniori	後輩
strategiju	戦略
grožđa	ぶどう
grožđa	ブドウ
zeta	ゼータ
lažno	フェイク
niski	低い
francesca	フランチェスカ
domove	住宅
korporacija	コーポレーション
adolfa	アドルフ
prazan	空っぽ
prazan	空欄
prazan	ブランク
inovacija	イノベーション
inovacija	革新
inovacija	イノベーション
kalcija	カルシウム
krvavi	ブラッディ
pojedinosti	詳細
minimalna	最低限
minimalna	最低
minimalna	最小
minimalna	最小限
lil	lil
lil	リル
čaja	お茶
čaja	紅茶
udaljeni	遠い
udaljeni	リモート
ragbi	ラグビー
carol	キャロル
ida	アイダ
ida	イダ
hattori	服部
mol	桟橋
mol	モル
smetnje	干渉
ekvator	赤道
farmi	農場
farmi	ファーム
nestaju	消える
automat	オートマトン
waters	ウォーターズ
img	img
epoha	紀元
epoha	エポック
riješi	解決
riješi	解消
carpenter	大工
domaćini	ホスト
nlb	nlb
nestanak	失踪
vokalni	ボーカル
ist	ist
pećine	洞窟
robove	奴隷
tolerancije	許容
tolerancije	寛容
jabuke	リンゴ
jabuke	りんご
mad	マッド
mad	mad
logika	論理
pretvori	変換
pretvori	コンバート
coa	coa
deva	デーヴァ
deva	キャメル
deva	ラクダ
žanrova	ジャンル
prepoznavanje	ラインナップ
prepoznavanje	認識
prepoznavanje	認定
ochotona	ochotona
kotač	ホイール
kotač	車輪
kalibar	口径
montreal	モントリオール
ribar	漁師
izvještaji	レポート
izvještaji	報告
svijetla	ライト
emocije	感情
emocije	感情
stvoreno	作成
shakespeare	シェイクスピア
shakespeare	シェークスピア
normalni	普通
normalni	ノーマル
diplomu	ディプロマ
visa	vis
visa	visa
visa	ビザ
visa	査証
madagaskar	マダガスカル
izazove	課題
izazove	チャレンジ
izazove	挑戦
teodora	テオドラ
košarku	バスケ
košarku	バスケットボール
lukama	ポート
gorom	五郎
cheng	チェン
težnje	願望
suše	旱魃
suše	干ばつ
suše	旱魃
kandidaturu	立候補
računajući	カウント
veleposlanstva	大使館
mick	ミック
xavier	ザビエル
balade	バラッド
beskonačno	インフィニット
beskonačno	無限
beskonačno	infinity
beskonačno	無限大
gala	ガーラ
bljesak	flash
bljesak	フラッシュ
uspomene	思い出
mudrost	知恵
rijetkost	レアリティ
hemsl	hemsl
matrica	行列
matrica	マトリックス
díaz	ディアス
cilindar	円柱
cilindar	シリンダー
erupcije	噴火
karton	段ボール
karton	ダンボール
karton	チャート
naslage	預金
atomska	アトミック
atomska	原子
kukci	昆虫
kukci	バグ
kukci	不具合
olivera	オリヴァー
olivera	オリバー
kazni	処罰
kršćane	キリスト教徒
pen	pen
pen	ペン
mutacije	突然変異
avionom	飛行機
objasni	説明
žitarice	シリアル
žitarice	シリアル
vožnja	乗る
vožnja	配車
vožnja	運転
liza	リザ
divljač	鹿肉
buke	ノイズ
buke	騒音
sivo	灰色
sivo	グレイ
sivo	グレー
sivo	灰色
sivo	グレイ
sivo	グレー
lou	ルー
sibiru	シベリア
prst	フィンガー
prst	爪先
prst	つま先
uskrsnuća	復活
milimetara	ミリメートル
angelica	アンジェリカ
tekstila	繊維
tekstila	織物
tekstila	テキスタイル
tekstila	織物
licem	フェイス
toplo	あったかい
toplo	暖かい
toplo	温かい
stanka	休止
eskov	eskov
debeli	ふとっちょ
debeli	脂肪
hermes	ヘルメース
specifično	特定
tajlandu	タイ
morse	モース
holokaust	ホロコースト
pozivanje	ダイヤル
pozivanje	コーリング
montpellier	モンペリエ
ceremonija	セレモニー
ceremonija	儀式
ceremonija	式典
ispravi	正解
ispravi	正しい
krstarica	巡洋艦
krstarica	クルーザー
mai	マイ
investicija	投資
afera	情事
afera	浮気
korisni	役に立つ
qui	qui
svećenike	司祭
minus	マイナス
groznica	発熱
putujući	旅行
gramatiku	文法
tanzaniji	タンザニア
tirol	チロル
morales	モラレス
ers	ers
glasgow	グラスゴー
nevolje	トラブル
nevolje	トラブル
nevolje	悩み
württemberg	ヴュルテンベルク
pročitajte	読み
pročitajte	読み込み
pročitajte	読み取り
pročitajte	読む
oštra	シャープ
oštra	鋭い
joshua	ヨシュア
frakcija	派閥
spomena	言及
prevođenje	翻訳
babilon	バビロン
brige	心配
trenutaka	moments
trenutaka	モーメント
procedura	手続
procedura	プロシージャ
procedura	手順
procedura	手続き
procedura	プロシージャ
procedura	手順
procedura	手続き
kuh	ccu
unosi	エントリー
unosi	項目
unosi	エントリ
konju	ウマ
antene	触角
antene	アンテナ
dijelili	共有
strojeve	機械
razočaran	がっかり
prilagodbe	調整
prilagodbe	調節
prilagodbe	調整
prilagodbe	補正
najnovija	最新
dahl	ダール
ekološke	生態学
srbin	セルビア
kapi	ドロップ
cerro	セロ
glukoze	グルコース
pišem	執筆
pišem	書き込み
pišem	筆記
izbjegavanje	否認
izbjegavanje	回避
banana	バナナ
banana	バナナ
aristolochia	aristolochia
wayback	wayback
razmatranja	対価
savjesti	良心
vancouveru	バンクーバー
canyon	峡谷
aguilera	アギレラ
vrana	カラス
vrana	クロウ
aek	aek
posjetitelji	ビジター
prosjeka	平均
diplome	卒業
boks	ボクシング
frances	フランセス
kol	コール
plodno	実り
dillon	ディロン
predgrađe	郊外
predgrađe	郊外
predgrađe	郊外
dat	dat
šifra	コード
šifra	符号
osamnaest	十八
osamnaest	eighteen
dec	dec
uhićeni	逮捕
negativna	ネガティブ
negativna	マイナス
negativna	ネガ
hitove	ヒット
pušenje	喫煙
hurley	ハーレー
unos	入力
unos	エントリー
unos	エントリ
natjecatelj	競合
dlaka	ヘアー
dlaka	髪の毛
dlaka	ヘア
dlaka	毛髪
sklapanje	組立て
vlakovi	電車
vlakovi	列車
glazbenike	ミュージシャン
sudanu	スーダン
munje	ライトニング
maleno	小さな
maleno	スモール
maleno	小さい
vlakom	電車
vlakom	列車
vlakom	トレイン
napuštanja	廃棄
pliva	スイミング
pliva	競泳
pliva	水泳
plovi	セーリング
preciznost	精度
preciznost	正確性
preciznost	精度
trojstvo	三位一体
nagradi	報酬
kutije	ボックス
nathan	ネイサン
michele	ミケーレ
weiss	ヴァイス
jet	ジェット機
jet	ジェット
sumpora	硫黄
sumpora	硫黄
zapisano	筆記
školjke	アサリ
školjke	ハマグリ
školjke	シェル
školjke	貝殻
pušku	小銃
pušku	ライフル
richie	リッチー
kuhinje	台所
kuhinje	キッチン
kuhinje	台所
letovi	フライト
amerikanac	アメリカン
značajka	機能
značajka	フィーチャー
značajka	特徴
melodija	メロディ
melodija	メロディー
melodija	メロディ
melodija	チューン
opasna	危険
maximus	マクシムス
spears	スピアーズ
dominic	ドミニク
tržnica	マーケット
tržnica	マーケットプレイス
tržnica	市場
tržnica	マーケット
rsk	rsk
psv	psv
mcculloch	マカロック
krim	クリミア半島
