filmare	filmavimo
valonia	orientuotas
sensibilitate	jautrumas
sensibilitate	švelnumas
sensibilitate	jautrumas
sensibilitate	jautris
hardcore	griežti
varietatea	veislė
cosimo	cosimo
apocalipsa	žlugimo
wesley	wesley
larvele	lervų
larvele	lervos
antropologie	antropologija
oxigenul	deguonis
lucien	lucien
johannesburg	johanesburgo
bal	bal
dinastii	dinastijų
incorect	neteisingas
incorect	netinkamas
incorect	netinkamas
curat	švarus
curat	švari
webster	webster
duel	dvikova
luterană	liuteronų
schiller	šilerio
incompletă	išsamūs
creed	creed
cicluri	ciklų
cicluri	ciklai
replica	kopija
măsurat	išmatuotas
măsurat	matuojamas
rostov	rostov
importanta	svarbą
hasan	hasan
puntea	tilto
puntea	tiltas
diagnosticul	diagnozės
diagnosticul	diagnozė
diagnosticul	diagnostika
isidore	isidore
wilde	wilde
superliga	superlyga
zgomot	triukšmo
zgomot	triukšmas
ard	dega
ard	deginimas
ard	deginti
ard	degimo
dansator	šokėja
fascia	fascija
cartofi	bulvės
cartofi	bulvių
cartofi	bulves
cartofi	bulvėms
cartofi	bulvės
cartofi	bulvių
luminoasă	šviesos
tensiunile	įtampą
hue	atspalvis
arde	dega
arde	dega
fisher	fišeris
botanist	botanikas
soiuri	veislės
soiuri	veislė
soiuri	veislių
andersen	andersen
ride	ri
tata	tėti
tata	tėvas
florina	florinos
pseudo	pseudo
musée	musée
umedă	drėgnas
umedă	vat
certitudine	tikrumo
certitudine	tikrumas
miniere	kasyba
miniere	kasybos
abbey	abi
pregătirile	ruošiniai
pregătirile	preparatai
fascist	fašistų
spart	įsilaužė
paie	šiaudų
paie	šiaudeliai
elvis	elvis
neville	nevilis
elle	elle
pál	pál
ahile	achilo
sarcinile	uždaviniai
sarcinile	užduotys
coll	rink
liao	liao
arhimede	archimedas
turbo	turbo
albano	albano
săruri	druskos
săruri	druskų
bancnote	banknotai
phantom	phantom
primire	čekis
davies	davies
amar	amar
ploi	dušai
ploi	lietus
duck	and
duck	antis
umanist	humanistinės
tao	tao
burke	burke
alphonse	alfonsas
temporal	laiko
katherine	katerina
pluton	būrys
macdonald	macdonald
hoc	hoc
honda	honda
înger	angelas
beneficii	naudos
subacvatice	povandeninis
subacvatice	povandeninių
berthold	berthold
suită	apartamentai
fură	vagia
brain	smegenys
brain	smegenų
intenție	ketinimas
intenție	ketinimą
republicane	respublikonų
tina	tina
moritz	moritz
periferia	pakraštys
bombardier	bombonešis
bombardier	bombardier
boom	bum
balonul	balionas
balonul	baliono
maximus	maximus
rousseau	rousseau
scandalul	skandalas
porno	porno
mere	obuolių
mere	obuoliai
mere	apple
neagra	juodai
neagra	juodas
neagra	juodi
neagra	juoda
faliment	bankrotas
granit	granitas
atrag	pritraukti
contestată	ginčijamas
contestată	ginčytina
contestată	ginčijo
slavi	slavai
influente	įtakinga
lia	lia
placebo	placebo
placebo	placebas
femelă	moteris
femelă	patelės
femelă	moterys
femelă	moterų
femelă	patelė
sarea	druskos
sarea	druska
televizor	televizijos
televizor	televizija
animalul	gyvūnai
animalul	gyvuliai
animalul	gyvūnas
animalul	gyvūno
animalul	gyvūnų
ghimpu	ghimpu
implicare	dalyvavimas
lazar	lazar
fluid	skysčio
cosmos	cosmos
manevră	manevrą
registru	registro
registru	registras
renascentist	renesanso
trinidad	trinidadas
mituri	mitai
mituri	mitas
distinct	skiriamasis
distinct	skiriamieji
salvați	išsaugoti
marvel	marvel
gibraltar	gibraltaro
gibraltar	gibraltaras
polițiști	policija
polițiști	policininkai
geolog	geologas
kgb	kgb
kun	kun
malmö	malmė
răspundere	įsipareigojimas
răspundere	atsakomybė
jackie	jackie
chef	šefas
shannon	shannon
deutsch	deutsch
cascade	kaskada
concentrație	koncentracija
difuzarea	sklaidos
sbs	sbs
tripoli	tripolis
găuri	skylių
slăbit	silpnas
slăbit	potraukį
calificate	kvalifikuota
seth	setas
moses	moses
larousse	larousse
lionel	lionel
jasper	jaspers
nisipuri	smėlis
multiplayer	multiplayer
cenzura	cenzorius
cenzura	cenzūra
stadioane	stadionuose
gdańsk	gdansko
săpat	iškasti
duo	duo
încorporate	įtaisytas
încorporate	įterpta
încorporate	įdedamas
încorporate	įmontuotas
spa	spa
eriksson	eriksson
walther	walther
nietzsche	nyčė
slav	slav
talentat	talentinga
talentat	talentingas
rodríguez	rodríguez
cancelarul	kancleris
izolarea	atskirtis
izolarea	izoliacija
izolarea	izoliacijos
favorite	mylimiausias
favorite	mėgstamiausia
favorite	mėgstamiausias
favorite	mėgstamiausių
favorite	mėgstami
sulina	sulina
sen	sen
electron	elektronų
rhein	rhein
ofensiv	puolimas
jerzy	jerzy
dominante	dominuojančių
arbitraj	arbitražo
arbitraj	arbitražo
fizicianul	fizikas
cuibul	lizdas
samurai	samurajus
kepler	kepler
celulare	ląstelių
săpături	gūžta
taxele	mokesčiai
senzație	jausmas
senzație	pojūtis
giallo	giallo
abhazia	abchazijos
proporțională	proporcinga
proporțională	proporcingas
proporțională	proporcingos
wonder	įdomu
angers	angers
moderată	vidutinis
macmillan	macmillan
fericirea	laimės
fericirea	laime
fericirea	laimė
isabelle	izabele
patinaj	čiuožimo
papală	popiežiaus
psv	psv
durabilă	ilgalaikio
portretele	portretai
marguerite	marguerite
aleea	alėjos
ucisă	nužudytas
battista	battista
fiscal	fiskalinės
seminar	seminaras
curbe	kreivės
genesis	genesis
coordonată	koordinuoti
jesse	džesis
nebuloasa	ūkas
agatha	agata
închidere	uždarymo
închidere	uždarymas
închidere	uždarymo
bolzano	bolzano
nakamura	nakamura
jure	jure
łódź	lodzės
pisici	kačių
pisici	katės
concentrate	koncentruota
concentrate	koncentruotą
concentrate	koncentruotas
comoara	mokesčių
comoara	lobis
rudolph	rudolph
pene	plunksnos
crăciunul	kalėdų
northumbria	northumbria
pregătiți	parengti
femele	patelių
femele	patelės
ecologică	ekologinė
tirana	tiranos
impresie	įspūdį
hotspur	hotspur
airbus	airbus
motors	motors
anas	anas
jude	jude
krško	krško
adevarul	tiesa
adevarul	tiesos
troy	troy
troy	trojos
talente	talentus
talente	talentas
américa	américa
zori	aušra
zori	aušros
sinai	sinajaus
beneficiar	gavėjas
amestecat	sumaišyti
axe	ašys
axe	ašių
axe	tiltai
axe	ašys
axe	kirvis
lacrimi	rer
lacrimi	ašaros
hyde	haidas
terre	terre
elevul	mokinių
elevul	mokinys
peer	dalyvis
burns	dega
pârâu	upelio
porter	porter
estetice	estetinės
umiditate	drėgnumas
umiditate	drėgmės
umiditate	drėgnis
umiditate	drėgmė
umiditate	drėgnumas
umiditate	drėgnis
umiditate	drėgmė
tropicală	atogrąžų
coeficientul	koeficientas
izolare	atskirtis
izolare	izoliacija
izolare	izoliacijos
acumularea	kaupimasis
acumularea	kaupimosi
asiatic	azijos
extrage	ekstraktas
extrage	išrašas
extrage	ištrauka
rainbow	rainbow
cetinje	cetinje
vichy	vichy
liniare	tiesinis
liniare	linijinis
liniare	tiesinė
iberia	iberia
turbine	turbinos
halle	halės
sociolog	sociologė
pomi	medžiai
ciocan	plaktuką
răni	žaizdos
răni	sužalojimai
contradictorii	prieštaringų
contradictorii	prieštaringas
andromeda	andromeda
răpit	pagrobė
much	daug
arhive	archyvas
arhive	archyvai
contabilitate	apskaita
racheta	raketos
racheta	raketa
racheta	raketų
circ	cirko
circ	cirkas
baiazid	bajazitas
tiberius	tiberius
paranteze	skliaustuose
asura	asura
colorată	spalvinga
fleming	fleming
așteptare	laukiu
așteptare	laukia
așteptare	laukimas
braga	braga
foamete	badas
foamete	bado
foamete	badas
foamete	bado
armenii	armėnai
discriminare	diskriminaciją
discriminare	diskriminacija
dens	tankus
brett	lygį
acumulat	sukauptas
laguna	laguna
laguna	lagūna
zăpada	sniegas
zăpada	sniego
umbre	šešėliai
vulgaris	vulgaris
laboratoare	labs
laboratoare	laboratorijos
laboratoare	laboratorijų
circulat	išplatinti
aviator	lakūnas
williamson	williamson
numerice	skaitmeninis
apartamente	butų
apartamente	butai
apartamente	butų
replici	eilutės
replici	linijos
urechile	ausis
urechile	ausys
complot	kreivės
dobra	dobra
împrumuturi	paskola
împrumuturi	paskolos
olivia	olivija
eindhoven	eindhoven
înflorire	žydėjimo
alicia	alicija
ural	ural
statistic	statistikos
fabricius	fabricius
chao	menam
mărită	išplėsta
telescop	teleskopo
măsurători	matavimas
măsurători	matavimai
măsurători	matavimo
măsurători	matavimas
măsurători	matavimai
stricte	griežtas
stricte	griežti
administratorul	administratorius
administratorul	administratorius
buck	bakai
fântâni	fontanų
fântâni	wells
vermandois	vermandua
cuib	lizdas
rate	antis
rate	antys
aduna	renkasi
cina	vakarienė
editorii	leidėjai
iezuit	jėzuitų
ieremia	džeremis
lumini	žiburiai
lumini	šviesos
pará	pará
benton	benton
veterinară	veterinarijos
ascultat	klausėsi
exilul	tremtyje
fotbalistul	futbolininkas
întârziat	vėlai
blanche	blanche
dezastrul	nelaimė
dezastrul	katastrofa
dezastrul	nelaimės
inteligentă	protingas
inteligentă	protingos
profet	pranašas
sufletele	sielas
sufletele	sielos
sirian	sirijos
sims	sims
apărătorii	gynėjų
globe	gaublį
potcoavă	pasaga
escadrila	squadron
mascul	patinas
mascul	patinų
mascul	vyrai
mascul	vyras
nîmes	nîmes
berger	berger
hastings	hastings
gemeni	dvyniai
bosco	bosco
ceres	cerera
toulon	tulono
seul	seule
ecologic	ekologinė
accesorii	reikmenys
accesorii	priedai
irish	airių
irish	airijos
irish	airiai
colocvial	liaudiškai
iudaism	judaizmas
welt	welt
meteorologice	meteorologijos
suprapune	sutampa
generator	generatorių
generator	generatorius
suzuki	suzuki
priestley	priestley
ironic	ironiška
habitat	buveinių
habitat	buveinė
clopotele	varpai
capacități	gebėjimai
astazi	šiandienos
astazi	šiandien
ecranul	ekranas
ecranul	ekrano
brunei	brunėjus
teutoni	teutonų
sfătuit	patarė
corsica	korsika
leziuni	sužalojimai
psiholog	psichologas
spirală	spiralę
desenator	karikatūristas
rana	rana
rana	žaizda
rana	žaizdos
schelet	skeletas
griffin	grifinas
papale	popiežiaus
clifford	clifford
urechi	ausis
urechi	ausys
dăunătoare	kenkia
balon	balionas
balon	baliono
gates	vartus
gates	vartai
fulger	žaibas
fulger	žaibo
memorialul	atminimo
orchestre	orkestrai
arch	arkos
elie	elie
meir	meir
galactic	galaktikos
amin	amen
terasa	terasa
sida	aids
camerun	kamerūnas
sami	samių
vipera	angis
elba	elba
absurd	absurdiška
absurd	absurdas
discursuri	pasisakymai
conta	skaičiuoti
nuci	riešutai
ulise	odisėjas
ulise	ulysses
terase	terasos
gramaticale	gramatinių
emilio	emilio
palme	delnų
acționar	akcininkas
furia	pyktis
furia	pykčio
amber	amber
amber	gintaro
amber	gintaras
ramon	ramón
ulm	guobų
ulm	ulmas
bud	bud
beauvais	bovė
vultur	erelis
puternica	stiprūs
puternica	tvirtas
puternica	stipri
puternica	stiprus
puternica	galingas
puternica	galinga
puternica	galingi
oliveira	oliveira
dialoguri	dialogas
dialoguri	dialogo
dialoguri	dialogai
dialoguri	dialogus
zadar	beprasmiška
waters	vandenyse
waters	vandenis
waters	vandenys
municipală	buitinių
sindrom	sindromas
epir	epyras
cumpărate	nusipirko
schloss	schloss
concacaf	concacaf
dorian	dorian
câmpii	lygumų
random	atsitiktinai
random	atsitiktinė
ajutoare	pagalbos
ajutoare	pagalba
ajutoare	pagalbininkai
culese	surinkti
siècle	siècle
manifest	manifesto
manifest	manifeste
quo	quo
gaga	gaga
perceput	suvokiama
leicester	leicester
misionar	misionieriaus
permise	leidimai
permise	leidimus
permise	leidžiama
permise	leidžiama
permise	absoliutus
testare	bandymo
testare	bandomoji
testare	bandymas
testare	bandymai
pena	peña
karlsruhe	karlsruhe
suite	apartamentai
seal	ruonių
catalană	katalonų
tin	alavo
serafim	seraphim
erasmus	erasmus
feedback	atsiliepimai
feedback	atsiliepimus
chaplin	čaplinas
continuitatea	tęstinumas
continuitatea	tęstinumo
farnese	farnezės
manevre	manevrus
isis	isis
protestat	protestuoja
natale	natale
lemne	medienos
lemne	mediena
joy	džiaugsmas
joy	džiaugsmo
sacră	šventa
sacră	švento
sunetele	skamba
sunetele	garsus
sunetele	garsai
troia	troy
troia	trojos
morse	morzės
convențional	įprastinis
poker	pokerio
iberică	iberijos
foame	alkanas
foame	alkani
foame	badas
foame	bado
strânge	išspausti
catania	catania
gradele	reitingus
superiore	superiore
magneziu	magnis
magneziu	magnio
mențiuni	įrašai
foaie	lapas
abdicarea	atsižadėjimo
plâns	verkia
sărată	sūdyta
sărată	sūdyti
răzbunarea	kerštas
răzbunarea	keršto
răzbunarea	keršto
răzbunarea	kerštas
vag	neaiški
vag	neapibrėžtas
superman	supermenas
departamentele	departamentai
implementare	įgyvendinimas
comercializarea	rinkodara
comercializarea	prekybos
autentic	tikros
autentic	tikra
autentic	autentiškas
autentic	autentiški
kiadó	kiadó
vederi	atvirukus
karate	karate
rădăcină	root
johnston	johnston
salvatore	salvatore
sportivii	sportininkai
dragonul	dragon
concurent	konkurentai
concurent	konkurentas
