evans	evans
megszállt	beschäftigt
megszállt	bewohnt
megszállt	belegt
megszállt	besetzten
megszállt	besetzt
klorid	chlorid
klorid	natriumchlorid
klorid	chloride
mialatt	während
mialatt	weile
fix	fix
fix	korrigieren
fix	fixieren
fix	beheben
fix	reparieren
fix	feste
fix	behoben
fix	fixiert
fix	repariert
fix	festgesetzt
homok	sandstrand
homok	sand
homok	sandstrände
homok	sand
homok	sands
homok	sande
csók	küssen
csók	geküsst
csók	küssen
csók	kuss
csók	bussi
csók	küsse
csók	küssen
csók	kuss
csók	küss
csók	kiss
veszteségeket	verluste
veszteségeket	verlust
veszteségeket	verlusten
spontán	spontane
spontán	spontanen
spontán	spontan
spontán	spontan
derby	derby
evolúció	evolution
evolúció	entwicklungen
evolúció	entwicklung
evolúció	evolutionären
szurkolók	fächer
szurkolók	lüfter
szurkolók	fans
szurkolók	ventilatoren
üzemeltető	operator
üzemeltető	betreiber
üzemeltető	vermittlung
üzemeltető	bediener
conrad	conrad
conrad	konrad
analízis	analytik
analízis	auswertung
analízis	analyse
analízis	analysen
mongólia	mongolei
luna	luna
privát	privater
privát	privat
privát	privatleben
privát	privaten
privát	private
kezdetek	anfang
kezdetek	beginnend
kezdetek	beginn
kezdetek	anfänge
kezdetek	anfang
kezdetek	beginn
kezdetek	ursprünge
bizonyítani	beweisen
bizonyítani	beweis
bizonyítani	beweist
bizonyítani	beweisen
bizonyítani	beweise
főnök	chef
főnök	chief
főnök	häuptling
főnök	chef
főnök	boss
főnök	chefin
szülő	muttergesellschaft
szülő	eltern
szülő	elternteil
szülő	mutterunternehmen
harvey	harvey
áruház	geschäft
áruház	speichern
áruház	laden
jackie	jackie
atlanta	atlanta
koordináta	koordinierung
koordináta	koordinaten
koordináta	koordination
koordináta	koordinieren
koordináta	koordinaten
claudius	claudius
átadott	übertragenen
átadott	transferiert
átadott	übertragene
átadott	übertragen
átadott	versetzt
csillagkapu	stargate
potenciális	mögliche
potenciális	potential
potenciális	potentielle
potenciális	potenzial
lambert	lambert
horror	horror
horror	grauen
horror	horrorfilm
horror	entsetzen
horror	schrecken
szaxofon	saxophon
utasok	passagier
utasok	fahrgästen
utasok	fahrgäste
utasok	passagiere
utasok	fluggäste
utasok	reisender
utasok	reisende
utasok	reisenden
teológia	theologische
teológia	theologie
eltávolították	entfernt
eltávolították	entfernte
diszkográfia	diskographie
hamburger	burger
hamburger	hamburger
hamburger	hamburger
hamburger	burger
várta	erwartete
várta	erwartet
várta	erwarteten
szál	fasern
szál	glasfaser
szál	faser
szál	gewinde
szál	threads
szál	themen
szál	fäden
szál	diskussionen
szál	gewinde
szál	faden
szál	thread
centrum	centrum
centrum	zentrum
centrum	stadtzentrum
centrum	mitte
centrum	stadtmitte
centrum	mittelpunkt
fát	wald
fát	holzindustrie
fát	holz
fát	holzbearbeitung
hatásai	wirkungen
hatásai	effekte
hatásai	wirkung
hatásai	auswirkungen
hatásai	effekt
keserű	bittere
keserű	bitterer
keserű	bitter
keserű	verbittert
keserű	bitteren
bűncselekmény	verbrechen
bűncselekmény	straftat
bűncselekmény	kriminalität
bűncselekmény	verbrechens
bűncselekmény	verbrechen
bűncselekmény	straftat
kutatói	wissenschaftler
kutatói	forscher
kutatói	wissenschaftlerin
kutatói	wissenschaftler
kutatói	forscher
kutatói	forscherinnen
lennon	lennon
broadway	broadway
bomba	bombe
bomba	atombombe
bomba	bombardieren
bomba	bomben
bomba	bomben
tudatosan	bewusst
tudatosan	bewußt
tudatosan	wissentlich
pérez	perez
pérez	pérez
abraham	ibrahim
abraham	abraham
abraham	abrahams
szerencsétlen	pech
szerencsétlen	bedauerlich
szerencsétlen	unglücklich
szerencsétlen	unglücklichen
felszerelve	angebaut
felszerelve	ausgerüstet
felszerelve	ausgestattet
felszerelve	eingebaut
felszerelve	ausgerüstet
felszerelve	ausgestattet
ibc	ibc
madagaszkár	madagaskar
madagaszkár	kapverden
gene	gene
gene	gen
gene	gens
oslo	oslo
oslo	norwegen
robbanás	explosionen
robbanás	explosion
csonka	verkürzt
csonka	gekürzt
csonka	verkürzte
csonka	abgeschnitten
krakkó	krakau
krakkó	krakau
diploma	diplomarbeit
diploma	diplom
diploma	grad
egyetértés	abkommen
egyetértés	vereinbarung
egyetértés	übereinkunft
egyetértés	vertrag
egyetértés	übereinkommen
egyetértés	verständnisvoll
egyetértés	verständnis
egyetértés	begreifen
egyetértés	verständigung
egyetértés	verstehen
egyetértés	einvernehmen
egyetértés	einigkeit
egyetértés	konsens
belseje	inneneinrichtung
belseje	innenräume
belseje	innenausstattung
belseje	innenraum
belseje	inneren
belseje	interieur
megoldások	systemlösungen
megoldások	lösungen
hetes	seven
hetes	sieben
következményei	folgerungen
következményei	folgen
következményei	konsequenzen
lucia	lucia
boszorkány	hexen
boszorkány	hexe
fészek	nest
ars	ars
pat	pat
propaganda	propaganda
szocializmus	sozialismus
botrány	skandal
botrány	skandalös
botrány	affäre
botrány	skandale
botrány	skandalöse
botrány	skandalös
webber	webber
szilveszter	sylvester
szilveszter	silvester
santo	santo
tök	kürbis
sheffield	sheffield
joel	joel
janeiro	janeiro
ipa	ipa
gót	goth
végrehajtási	vollstreckung
végrehajtási	vollzug
végrehajtási	durchsetzung
végrehajtási	implementierung
tengerentúli	überseeischen
tengerentúli	übersee
tengerentúli	ausland
asszisztensek	assistenz
asszisztensek	assistenten
asszisztensek	hilfskräfte
düsseldorf	düsseldorf
düsseldorf	düsseldorf
termelt	produziert
termelt	hergestellt
termelt	erzeugte
termelt	erzeugt
csarnok	halle
csarnok	eingangshalle
csarnok	flur
csarnok	hall
csarnok	saal
spider	spinne
spider	spinnen
spider	spider
interaktív	interaktiv
interaktív	interaktiver
interaktív	interaktives
interaktív	interaktiven
interaktív	interaktive
sex	geschlecht
sex	geschlechtsverkehr
sex	sex
feltöltött	hochgeladen
autóval	mietwagen
autóval	auto
autóval	wagen
autóval	pkw
autóval	autovermietung
paramount	paramount
hivatkozást	verbindung
hivatkozást	verlinken
hivatkozást	link
hivatkozást	verknüpfung
hivatkozást	verlinkung
alkotók	schöpfer
szépség	schönheit
szépség	beauty
csomag	rucksack
csomag	packen
csomag	packung
csomag	pack
csomag	pauschale
csomag	packung
csomag	verpackung
csomag	paket
kai	kai
kazahsztán	kasachstan
puy	puy
utazási	reise
utazási	reisen
linnaeus	linnaeus
radioaktív	radioaktiv
radioaktív	radioaktiver
radioaktív	radioaktivität
radioaktív	radioaktive
radioaktív	radioaktiven
lezárt	besiegelt
lezárt	verschlossen
lezárt	versiegelt
jamaica	jamaika
jamaica	jamaica
vallott	gestanden
vallott	gesteht
vallott	gestand
kopasz	kahl
kopasz	bald
kopasz	glatze
kaukázusi	kaukasus
kaukázusi	weiß
kaukázusi	kaukasischen
kaukázusi	weißer
bokor	gebüsch
bokor	büsche
bokor	bush
bokor	gebüsch
bokor	bushs
bokor	busch
bokor	strauch
búza	weizen
búza	getreide
egységesen	einheitlich
egységesen	gleichmäßig
bónusz	bonus
bónusz	zuschlag
bónusz	prämie
bónusz	aufschlag
bónusz	bonus
bónusz	boni
bónusz	prämien
hónapja	monat
hónapja	monats
hónapja	monate
hónapja	monaten
mióta	seitdem
mióta	seit
amy	amy
jelentéktelen	unbedeutend
jelentéktelen	unwichtig
jelentéktelen	bedeutungslos
jelentéktelen	sinnlos
jelentéktelen	unbedeutend
jelentéktelen	bedeutungslos
jelentéktelen	unerheblich
jelentéktelen	unwesentlich
jelentéktelen	unwichtig
alpha	alpha
alpha	alfa
sör	biere
sör	biergarten
sör	bier
hughes	hughes
morva	mähren
morva	mährischen
jake	jake
sorba	warteschlange
sorba	anstehen
hopkins	hopkins
stark	stark
olivier	olivier
ned	ned
gks	gks
niger	niger
megjelölt	markierten
megjelölt	etikettiert
megjelölt	markiert
megjelölt	markierte
megjelölt	markierten
megjelölt	markiert
megjelölt	gekennzeichnet
megjelölt	markierte
kizárólagos	exklusiver
kizárólagos	exklusive
kizárólagos	exklusiven
kizárólagos	exklusives
kizárólagos	exklusiv
szemét	abfall
szemét	mülleimer
szemét	müll
szemét	blödsinn
szemét	quatsch
szemét	unsinn
szemét	müll
szemét	abfall
szemét	papierkorb
szemét	mülleimer
szemét	müll
lakás	flat
lakás	flach
lakás	wohnung
lakás	ferienwohnungen
lakás	ferienwohnung
lakás	wohnung
lakás	gehäuse
lakás	wohnen
lakás	wohnungsbau
trilógia	trilogie
dakota	dakota
szombaton	samstag
szombaton	samstags
julianna	julianna
évenként	jährliche
évenként	jährlich
évenként	jährlichen
koncepció	konzeption
koncepció	konzept
koncepció	begriff
mti	mti
jeanne	johanna
jeanne	joan
jeanne	jeanne
átalakított	modifizierte
átalakított	abgeändert
átalakított	modifiziert
átalakított	geändert
átalakított	verändert
átalakított	bekehrt
átalakított	umgerechnet
átalakított	konvertiert
átalakított	umgebaut
átalakított	umgewandelt
átalakított	verwandelt
átalakított	verwandelte
átalakított	gewandelt
átalakított	umgewandelt
átalakított	angepasste
átalakított	angepaßt
átalakított	adaptiert
átalakított	angepasst
előnyös	vorteilhaft
előnyös	vorteilhafte
előnyös	vorteilhaft
törlése	löschung
törlése	löschen
törlése	entfernen
törlése	lösche
alább	darunter
alább	unten
alább	unterhalb
bizonyítékok	beweismittel
bizonyítékok	hinweise
bizonyítékok	nachweise
bizonyítékok	nachweis
bizonyítékok	beweise
burgenland	burgenland
bsc	bsc
ávila	ávila
eduardo	eduardo
fizikusok	physiker
simpson	simpsons
simpson	simpson
nílus	nil
vallások	religionen
élőlény	organismus
élőlény	organismen
orange	orange
orange	orangensaft
orange	orangen
számláló	counter
számláló	schalter
számláló	zähler
számláló	zähler
elkerülése	vermeiden
elkerülése	vermeidung
elkerülése	meiden
elkerülése	vermeiden
elkerülése	vermeidung
elkerülése	meiden
elkerülése	vermeiden
elkerülése	vermeidung
konszenzus	einvernehmen
konszenzus	einigkeit
konszenzus	konsens
michelle	michelle
michelle	bernd
paula	paula
gerhard	gerhard
kapcsolatai	anschlüsse
kapcsolatai	verbindungen
elszenvedett	ausgehalten
elszenvedett	ertragen
közreműködő	beitrag
közreműködő	mitwirkenden
közreműködő	mitwirkende
közreműködő	beteiligte
közreműködő	mitwirkenden
nicaragua	mittelamerika
nicaragua	nicaragua
castro	castro
vandalizmus	vandalismus
rhône	rhône
mobile	mobile
mobile	mobilfunk
mobile	beweglich
mobile	handys
mobile	mobil
mobile	mobilgeräte
glenn	glenn
stein	stein
gombák	pilzen
gombák	champignons
gombák	pilze
gombák	pilz
gombák	pilze
gombák	pilzen
gombák	pilze
ablakok	windows
ablakok	schaufenster
ablakok	fenster
ablakok	scheiben
ablakok	fenstern
brno	brünn
brno	brno
reagál	reagieren
reagál	antwortet
reagál	reagiert
évszázad	jahrhundert
évszázad	century
évszázad	jahrhunderts
armstrong	armstrong
csomópont	knoten
csomópont	knotenpunkt
csomópont	abzweigung
csomópont	kreuzung
csomópont	junction
csomópont	knotenpunkt
törvénytelen	unrechtmäßig
törvénytelen	unrechtmäßigen
törvénytelen	unrechtmäßig
törvénytelen	rechtswidrig
törvénytelen	rechtswidrige
aranyos	süss
aranyos	süß
aranyos	niedlich
aranyos	süßen
aranyos	süße
próbáltam	versuchte
próbáltam	versuchten
próbáltam	versucht
próbáltam	ausprobiert
palermo	palermo
palermo	syrakus
bezárt	abgeschlossen
bezárt	geschlossene
bezárt	geschlossen
csökkentése	reduzierung
csökkentése	verringern
csökkentése	senken
csökkentése	reduzieren
csökkentése	verringerung
csökkentése	ermäßigung
csökkentése	reduktion
csökkentése	reduzierung
csökkentése	kürzung
csökkentése	reduzieren
rain	rain
rain	regen
rain	regenwasser
auto	auto
auto	automatik
auto	automatisch
kitörés	ausbrechen
kitörés	ausbruch
kitörés	ausbruch
kitörés	breakout
kitörés	ausbrüche
kitörés	ausbruch
kitörés	eruption
kitörés	ausbruch
freddie	freddie
apache	apache
apache	apachen
esküvő	heirat
esküvő	hochzeit
esküvő	hochzeiten
esküvő	heiraten
esküvő	trauung
hudson	hudson
utcák	strassen
utcák	straße
utcák	gassen
utcák	straßen
technikailag	technisch
alekszandrovics	alexandrowitsch
perui	peruanischen
perui	peru
perui	südamerika
koreográfus	choreograf
recept	verschreibung
recept	verjährung
recept	rezept
recept	rezepte
recept	rezeptur
recept	rezept
társaságok	konzerne
társaságok	körperschaften
társaságok	gesellschaften
társaságok	kapitalgesellschaften
társaságok	unternehmen
társaságok	firmen
társaságok	gesellschaften
megszüntetése	beendigung
megszüntetése	kündigung
megszüntetése	auflösung
siemens	siemens
kiadások	ausgaben
kiadások	ausgaben
kiadások	aufwendungen
kiadások	ausgaben
kiadások	aufwendungen
kiadások	ausgaben
kiadások	kosten
kiadások	spesen
kiadások	unkosten
kiadások	aufwendungen
nyelvészet	grammatik
nyelvészet	linguistik
nyelvészet	sprachwissenschaft
hollywoodi	hollywood
divat	mode
christoph	christoph
összeg	betrag
összeg	höhe
összeg	summe
összeg	betrag
összeg	sum
nicole	nicole
nepál	nepal
deux	deux
távközlési	telecom
távközlési	telekom
távközlési	telekommunikation
távközlési	telekommunikation
távközlési	fernmeldewesen
távközlési	telekommunikation
távközlési	fernmeldewesen
távközlési	nachrichtentechnik
kocsik	autos
kocsik	fahrzeuge
kocsik	kraftfahrzeuge
kocsik	pkw
kocsik	pkws
kocsik	personenwagen
kocsik	waggons
kocsik	güterwagen
kocsik	wagen
felújítás	renovierung
felújítás	renovierungsarbeiten
felújítás	erneuerung
felújítás	verlängerung
felújítás	stadterneuerung
felújítás	instandsetzung
felújítás	restaurierung
felújítás	sanierung
felújítás	renovierung
felújítás	renovierung
felújítás	sanierung
professzionális	fachmann
professzionális	professionellen
professzionális	professionell
professzionális	profi
professzionális	professionelle
houston	houston
ulrich	ulrich
működés	betrieb
működés	arbeitsweise
működés	operation
működés	funktionstüchtig
működés	funktionieren
működés	arbeitsweise
működés	funktionsweise
lika	lika
istennő	göttin
hidak	brücken
hidak	bridges
kultúrák	kulturen
lombard	lombard
vívás	fechten
vívás	zäune
vívás	schwertkampf
waters	wasser
waters	waters
waters	gewässern
waters	gewässer
fbi	fbi
későn	late
későn	späte
későn	spät
vert	vert
szociológus	soziologe
szociológus	soziologen
cape	cape
cape	kap
cape	umhang
cape	kapstadt
hallani	hört
hallani	höre
hallani	hören
hallani	anhören
kimondottan	spezifisch
kimondottan	konkret
kimondottan	speziell
kiadatlan	unveröffentlichte
kiadatlan	veröffentlichte
vilma	vilma
lili	lily
lili	lili
harald	harald
plus	zzgl
plus	plus
plus	zuzüglich
érvénytelen	ungültige
érvénytelen	ungültiger
érvénytelen	ungültig
kövér	fetten
kövér	fettgehalt
kövér	fett
kövér	fette
nézett	geschaut
nézett	schaute
kínál	bietet
kínál	angebot
kínál	angeboten
kínál	angebote
kínál	bieten
kínál	anbieten
kolostorban	kloster
kolostorban	klöster
kolostorban	klosters
kerék	rad
kerék	lenkrad
kerék	räder
kerék	rädern
kerék	felgen
kerék	räder
vegyész	chemiker
vegyész	apotheke
vegyész	apotheker
fejlesztések	verbesserungen
fejlesztések	erweiterungen
fejlesztések	verbesserungen
fejlesztések	verbesserung
fejlesztések	aufrüstung
fejlesztések	aktualisierungen
fejlesztések	erweiterungen
fejlesztések	upgrades
fejlesztések	neuentwicklungen
fejlesztések	entwicklungen
emelet	fußboden
emelet	stockwerk
emelet	boden
emelet	etage
emelet	geschoss
szimmetrikus	symmetrische
szimmetrikus	symmetrisch
szimmetrikus	symmetrische
szimmetrikus	symmetrisch
kártya	karten
kártya	kreditkarten
kártya	speicherkarten
kártya	kartenspiel
kártya	visitenkarte
kártya	karte
kártya	kreditkarte
tankönyv	lehrbücher
tankönyv	lehrbuch
instrumentális	instrumental
holmes	holmes
kötés	bindung
kötés	verbindlich
kötés	binden
kötés	verbindliche
kötés	verbindlichkeit
kötés	bindend
kötés	stricken
kötés	verband
kötés	bindung
kötés	anleihe
kötés	kaution
kötés	anleihen
kötés	bond
ezentúl	künftig
ezentúl	fortan
tulajdonság	grundstück
tulajdonság	eigenschaft
tulajdonság	immobilien
tulajdonság	immobilie
tulajdonság	eigentum
tulajdonság	eigenschaften
tulajdonság	immobilien
tulajdonság	immobilie
tulajdonság	objekte
légkör	erdatmosphäre
légkör	atmosphäre
légkör	luftverschmutzung
légkör	atmosphärische
légkör	atmosphärischen
kurd	kurdische
kurd	kurdischen
kurd	kurden
kurd	kurden
szabályozza	regelt
szabályozza	reguliert
mainz	mainz
mainz	mainzer
orne	orne
terveket	designs
terveket	entwürfe
terveket	konstruktionen
varázsló	assistenten
varázsló	wizard
varázsló	assistent
varázsló	zauberer
varázsló	magier
varázsló	magier
varázsló	zauberer
varázsló	zauberer
heinz	heinz
sárgás	gelblich
producerek	erzeuger
producerek	hersteller
producerek	produzenten
nyelveket	programmiersprachen
nyelveket	fremdsprachen
nyelveket	sprachen
nyelveket	sprache
felmérés	befragungen
felmérés	erhebungen
felmérés	umfragen
felmérés	meinungsumfrage
felmérés	umfrage
felmérés	umfragen
felmérés	survey
felmérés	erhebung
felmérés	umfrage
caf	caf
eugène	eugène
gyanús	verdächtig
gyanús	misstrauisch
gyanús	verdächtiger
gyanús	verdächtigen
gyanús	verdächtige
gyanús	verdächtige
gyanús	verdacht
gyanús	verdächtigen
gyanús	verdächtig
gyanús	verdächtiger
henger	zylinder
henger	hubraum
henger	zylinder
műsorok	zeigt
venezia	venezia
felváltva	abwechselnd
csökkenő	absteigend
csökkenő	absteigender
csökkenő	rückläufige
csökkenő	rückläufig
csökkenő	abnahme
csökkenő	rückläufig
todd	todd
parma	parma
infrastruktúra	verkehrswege
infrastruktúra	infrastruktureinrichtungen
infrastruktúra	infrastruktur
infrastruktúra	infrastrukturen
seattle	seattle
révész	fährmann
fegyvereket	pistolen
fegyvereket	gewehre
fegyvereket	kanonen
fegyvereket	schusswaffen
fegyvereket	waffen
vágy	begehren
vágy	sehnsucht
vágy	verlangen
vágy	wunsch
vágy	begierde
vágy	begehren
vágy	wünsche
vágy	lust
vágy	begierde
vágy	begierde
vágy	verlangen
romboló	zerstörer
ugrás	jump
ugrás	spring
ugrás	springen
ugrás	springe
erotikus	erotik
erotikus	erotische
homo	homo
hibrid	hybride
hibrid	hybrid
hibrid	hybriden
bon	bon
robbie	robbie
morris	morris
europa	europa
cukor	bonbon
cukor	süßes
cukor	süßigkeiten
cukor	candy
cukor	zuckergehalt
cukor	zucker
cukor	sugar
terhes	schwangeren
terhes	geschwängert
terhes	schwangerschaft
terhes	schwangere
terhes	schwanger
érvek	vorbringen
érvek	argumenten
érvek	argumente
városokat	städte
városokat	stadt
mdf	mdf
tömör	kompakte
tömör	kompakt
tömör	compact
tömör	kompakter
tömör	komprimieren
tömör	fest
tömör	massiv
tömör	solide
tömör	feste
tömör	festen
tömör	präzise
áthelyezték	verlegt
áthelyezték	verlagert
áthelyezték	umgezogen
anhalt	anhalt
kórházi	krankenhäuser
kórházi	lazarett
kórházi	krankenhaus
kórházi	spital
komédia	komödie
komédia	comedy
komédia	farce
ita	ita
víztározó	aquifer
víztározó	talsperre
víztározó	reservoir
víztározó	stausee
roth	roth
csont	gebeine
csont	knochen
csont	bones
csont	pille
csont	knochen
csont	bone
bennett	bennett
csőre	schnabel
arizona	arizona
jegyzett	gezeichnet
jegyzett	gezeichneten
jegyzett	abonniert
jegyzett	zitierte
jegyzett	notiert
jegyzett	zitiert
baseball	baseball
baseball	baseballspieler
egyezik	übereinstimmungen
egyezik	spiele
egyezik	treffer
egyezik	spiel
egyezik	streichholz
egyezik	übereinstimmung
egyezik	treffer
egyezik	match
bolond	dummkopf
bolond	narren
bolond	trottel
bolond	narr
bolond	dumm
bolond	albern
bolond	töricht
algebra	algebra
kínaiak	chinesischer
kínaiak	chinesische
kínaiak	chinesischen
kínaiak	chinesen
kínaiak	chinesisch
igazgatóság	direktion
igazgatóság	generaldirektion
tibet	tibet
őszintén	ehrlich
toyota	toyota
ovális	oval
ovális	ovale
megosztott	gemeinsam
megosztott	geteilte
megosztott	geteilt
megosztott	gemeinsame
megosztott	teilte
megosztott	geteilte
megosztott	aufgeteilt
megosztott	geteilt
megosztott	gespalten
tematikus	themenbereich
tematikus	thematischer
tematikus	themenbereiche
tematikus	thematisch
tematikus	thematischen
tematikus	thematische
követői	follower
követői	abonnenten
követői	anhänger
egyenlítői	äquatorial
egyenlítői	äquatorialguinea
napokban	tage
napokban	tagen
munkahelyek	jobs
munkahelyek	arbeitsplätze
munkahelyek	arbeitsstätten
munkahelyek	arbeitsplatz
munkahelyek	arbeitsplätze
hanna	hannah
hanna	hanna
halottak	dead
halottak	tote
halottak	tot
halottak	toten
utalt	genannten
utalt	hingewiesen
utalt	verwiesen
utalt	verwies
burton	burton
nacionalista	nationalistische
nacionalista	nationalisten
nacionalista	nationalismus
nacionalista	nationalistischen
csatornák	kanäle
csatornák	kanälen
csatornák	kanäle
csatornák	kanälen
csatornák	kanalisation
kezelő	operator
kezelő	betreiber
kezelő	vermittlung
kezelő	bediener
kezelő	geschäftsführer
kezelő	manager
kezelő	betriebsleiter
kezelő	geschäftsführerin
kezelő	handler
vatikáni	vatikanstadt
vatikáni	vatikan
módszertani	methodologische
módszertani	methodik
módszertani	methodische
módszertani	methodischer
porsche	porsche
haiti	haitis
haiti	haiti
haiti	haitianischen
hírhedt	berüchtigten
hírhedt	berüchtigte
hírhedt	berüchtigten
hírhedt	berüchtigte
tokiói	tokyo
tokiói	tokio
józan	trocken
józan	nüchtern
józan	nüchternen
költség	kosten
költség	cost
költség	kosten
ricardo	ricardo
részleteket	details
részleteket	einzelheiten
mel	mel
alpesi	alpin
alpesi	alpinen
alpesi	alpine
törtek	brüche
törtek	fraktionen
galamb	taube
galamb	tauben
galamb	taube
szervező	veranstalter
szervező	projektträger
szervező	organisator
szervező	veranstalter
szervező	organisator
szervező	veranstalter
szervező	terminkalender
macskák	katze
macskák	cats
macskák	katzen
befolyásos	einflussreichen
befolyásos	einflussreichsten
befolyásos	einflussreiche
elpusztította	vernichteten
elpusztította	zerstört
elpusztította	zerstörte
elpusztította	vernichtet
hús	fleisch
hús	fleisch
követelt	forderte
követelt	verlangt
követelt	gefordert
követelt	eingefordert
követelt	verlangte
bástya	bastion
bástya	turm
serena	serena
vosges	vosges
vosges	vogesen
felipe	felipe
hirdetett	beworben
hirdetett	geworben
hirdetett	ausgeschrieben
hirdetett	gefördert
hirdetett	befördert
hirdetett	hervorgehobene
hirdetett	beworben
logó	logo
logó	logos
katalógus	katalogen
katalógus	kataloge
katalógus	produktkatalog
katalógus	katalog
katalógus	kataloge
katalógus	produktkatalog
katalógus	katalog
katalógus	kataloge
platform	bahnsteig
platform	bahnsteige
platform	plattform
platform	bühnen
platform	bahnsteige
platform	plattformen
platform	plattform
platform	gleise
nyelvtan	grammatik
kollektív	kollektives
kollektív	kollektive
kollektív	kollektiven
kollektív	kollektiv
hazafias	patriot
hazafias	patriotische
rogers	rogers
tudor	tudor
tizenegyedik	eleventh
tizenegyedik	elften
tizenegyedik	elfte
jefferson	jefferson
meghívást	einladung
meghívást	einladen
meghívást	ausschreibung
meghívást	eingeladen
meghívást	einladungen
meghívást	einladung
meghívást	aufforderung
feladatai	aufgabenstellung
feladatai	aufgabenbereich
feladatai	aufgaben
feladatai	zölle
feladatai	pflichten
feladatai	aufgaben
vállalja	verpflichtet
vállalja	begeht
viselkedik	benimmt
viselkedik	verhält
glasgow	schottland
glasgow	glasgow
súlyemelés	gewichtheben
suriname	suriname
légió	legion
gyalogság	infanterie
értelmezni	interpretieren
értelmezni	interpretation
értelmezni	auslegen
bauer	bauer
muzulmán	moslem
muzulmán	muslim
muzulmán	muslimischen
muzulmán	muslimische
muzulmán	muslime
fajták	rassen
fajták	sorten
fajták	rebsorten
hivatkozásokat	verweise
hivatkozásokat	referenzen
montana	montana
stratégia	strategie
nélkülözhetetlen	unentbehrlich
nélkülözhetetlen	unabdingbar
nélkülözhetetlen	unverzichtbar
nélkülözhetetlen	unerlässlich
nélkülözhetetlen	wesentliche
nélkülözhetetlen	unentbehrlich
nélkülözhetetlen	wesentlichen
nélkülözhetetlen	wesentlich
biztonság	sicherheits
biztonság	sicherheitspolitik
biztonság	sicherheit
biztonság	tresor
biztonság	sichere
biztonság	safe
biztonság	sicher
biztonság	arbeitssicherheit
biztonság	sicherheit
len	flachs
len	len
struktúra	strukturen
struktúra	aufbau
struktúra	gliederung
struktúra	struktur
ismétlődő	doppelte
ismétlődő	duplizieren
ismétlődő	kopie
ismétlődő	duplikat
ismétlődő	repetitive
ismétlődő	wiederholt
ismétlődő	wiederholte
ismétlődő	wiederkehrenden
ismétlődő	wiederkehrende
ismétlődő	wiederholen
ismétlődő	wiederholten
ismétlődő	wiederholte
ismétlődő	wiederholt
felvételeket	bändern
felvételeket	kassetten
felvételeket	bänder
felvételeket	tonträger
felvételeket	aufzeichnungen
felvételeket	aufnahmen
bűnös	schuldigen
bűnös	schuldig
bűnös	übeltäter
bűnös	übeltäter
bűnös	sünder
elsődlegesen	primär
kiejtés	aussprache
kén	schwefel
kén	schwefel
kén	schwefeldioxid
admirális	admiral
tarka	pied
váltakozó	wechselnde
váltakozó	abwechselnd
váltakozó	alternierende
tedd	setzen
tedd	legen
tedd	lege
tedd	leg
mérhető	messbare
mérhető	messbaren
mérhető	messbar
puha	weicher
puha	weiche
puha	soft
puha	weich
puha	sanft
zavaros	verwirrt
zavaros	verwirren
zavaros	verwechselt
zavaros	durcheinander
zavaros	trübe
zavaros	bewölkt
zavaros	verwirrend
zavaros	verwirren
liechtenstein	liechtenstein
jessica	jessica
hubert	hubert
gers	gers
hitte	glaubten
hitte	glaubte
hitte	geglaubt
rap	rap
januárban	jänner
januárban	januar
januárban	january
sértő	offensiv
sértő	beleidigend
sértő	offensive
sértő	beleidigung
sértő	beleidigend
sértő	beleidigt
sértő	beleidigen
iowa	iowa
medina	medina
törvényeket	gesetze
törvényeket	gesetzen
kölcsön	ausgeliehen
kölcsön	geliehen
kölcsön	darlehen
kölcsön	kredite
kölcsön	kredit
kölcsön	darlehen
kölcsön	kredite
kölcsön	kreditaufnahme
kölcsön	anleihen
kölcsön	anleihe
kölcsön	leih
kölcsön	leihen
clarke	clarke
kezdeményezés	eigeninitiative
kezdeményezés	initiative
túlélte	überlebte
túlélte	überlebten
túlélte	überlebt
túlélte	überstanden
régiók	regionen
régiók	region
régiók	gebiet
módosult	änderte
módosult	abgeändert
módosult	modifiziert
módosult	geändert
módosult	verändert
módosult	modifizierte
módosult	abgeändert
módosult	modifiziert
módosult	geändert
módosult	verändert
algoritmus	algorithmus
algoritmus	algorithmen
hallgatta	gehört
hallgatta	hörte
hallgatta	angehört
hallgatta	zugehört
marton	marton
randy	randy
ferde	krumm
ferde	schief
ferde	schräg
ferde	schräg
ontario	ontario
riporter	reporterin
riporter	journalist
riporter	journalistin
riporter	reporter
esély	chancen
esély	chance
esély	gelegenheit
esély	zufall
esély	quoten
esély	chancen
esély	wahrscheinlichkeiten
esély	quote
szárnyas	geflügelten
szárnyas	geflügel
szárnyas	huhn
szárnyas	hühner
ünnepség	zeremonie
ünnepség	zeremonien
ünnepség	feier
ünnepség	trauung
ünnepség	feierlichkeiten
ünnepség	feiern
ünnepség	feier
kaliforniában	california
kaliforniában	kalifornien
rossi	rossi
temetkezési	bestatter
bis	biz
bis	bis
kibocsátott	herausgegeben
kibocsátott	erteilt
kibocsátott	ausgestellt
kibocsátott	ausgegeben
kibocsátott	ausgestoßen
kibocsátott	emittiert
laboratóriumi	laboruntersuchungen
laboratóriumi	laboratorium
laboratóriumi	labor
rendezni	begleichen
rendezni	niederlassen
berg	berg
állampolgár	bürger
állampolgár	bürgerrechte
albrecht	albrecht
gomba	pilzen
gomba	champignons
gomba	pilze
gomba	pilz
