வலைப்பூக்கள்	tinklaraščių
துப்பறிவாளர்	tyrėjo
விஸ்கான்சின்	viskonsino
ஹெலிகாப்டர்	sraigtasparnio
ஹெலிகாப்டர்	sraigtasparnis
கூரியர்	kurjeris
உத்வேகம்	įkvėpimas
உத்வேகம்	įkvėpimo
சிம்மாசனம்	sostą
சிம்மாசனம்	sosto
சுழல்கள்	ciklų
சுழல்கள்	ciklai
கொடுங்கோல்	tironas
சுரா	sura
சொந்தக்காரர்	savininkas
மனதளவில்	protiškai
நெஸ்லே	nestle
எரிச்சலூட்டும்	erzina
ரானா	rana
சேர்க்கப்பட்டனர்	pridėtinės
ஒத்திசை	sinchronizuoti
அலையன்ஸ்	allianz
தாட்சர்	thatcher
கான்கோர்டு	concorde
டெக்டோனிக்	tektoninių
ஏஜென்சி	agentūra
அநீதி	neteisybę
சித்தப்பா	dėdė
சித்தப்பா	dėde
லூப்	linijos
இஸ்லாத்தை	islamas
அழும்	verkia
அழும்	verkia
படித்தேன்	tiriamas
செர்மன்	šermanas
அகஸ்டீன்	augustin
நியாசின்	niacinas
டப்	dub
சலனம்	pagunda
மெகாபிக்சல்	megapikselių
லீல்	lilio
பருகும்	galvijai
பருகும்	galvijams
பருகும்	galvijų
ஆழமாகப்	firma
உடுத்தும்	dėvėti
இர்விங்	irving
ஜிப்ரால்டர்	gibraltaro
ஜிப்ரால்டர்	gibraltaras
சிக்	madingas
பீம்	pluošto
ஆப்பிள்கள்	obuolių
ஆப்பிள்கள்	obuoliai
இனமே	leido
பாரஸ்ட்	forestas
பிரகதாரண்யக	brihadaranjaka
கொபூசியே	corbusier
சேட்	sadas
கெமிக்கல்	cheminis
கெமிக்கல்	cheminė
காக்கேசிய	kaukazo
கர்வம்	pasididžiavimas
டெரா	terra
பார்மேட்டு	formate
சீராக்கி	kondicionierius
மசாஜ்	masažo
மசாஜ்	masažas
நிச்சயதார்த்தம்	sužadėtuvių
வீல்	ratas
வீல்	rato
ஆஷ்லே	ashley
ஃபிபனாச்சி	fibonacci
வெப்பவியக்கவியல்	termodinamika
மதிப்பிற்குரிய	gerbiama
பியோ	pio
யுனிகோடு	unikodo
யொகான்	johann
பூட்டுகள்	blokavimas
பூட்டுகள்	spynas
வெண்டி	vendi
பேப்	mažyte
ராவுல்	raul
ஹேஸ்டிங்ஸ்	hastings
ஊனுண்ணி	carnivore
உருவரை	išdėstymo
உருவரை	išdėstymas
தகுதியற்ற	netinkama
பொறுமையாக	kantriai
ஆச்சே	ačehų
ஜெல்லி	želė
தெளிவுத்திறன்	rezoliucijos
தெளிவுத்திறன்	rezoliucijų
ஆத்திரம்	pykčio
சேனல்கள்	kanalais
சேனல்கள்	kanalai
ஹூஸ்டன்	hiustone
ஆரம்பித்தான்	molis
ஆரம்பித்தான்	molio
தேசி	desi
பில்டர்	builder
டெஸ்லா	tesla
மியாவ்	miau
புருஷ	puruša
ஆந்த்ராக்ஸ்	juodligės
கடையை	parduotuvėje
கடையை	parduotuvė
கடையை	apsipirkti
ஏற்றப்படுகிறது	pakrovimo
அனத்தோலியா	anatolijos
பெர்ட்ரண்டு	bertrand
முடிவில்லாத	begalinė
அதிர்ந்து	šokiruota
செஸ்டர்	česteris
குக்கீ	cookie
மோசுல்	mosulas
கானர்	konor
புல்லை	žole
புல்லை	žolė
புல்லை	žolės
பிரிட்	britt
லயன்ஸ்	liūtai
பண்ண	farm
சீரமைக்கப்பட்டது	suremontuotas
கெரார்டு	gerhard
கிங்ஸ்லி	kingsley
சாபவிமோசனம்	išsigelbėjimas
அரிசாஞ்ச்	horizontė
கோரா	gora
கோரா	kora
விரும்பினேன்	mylimas
விரும்பினேன்	mylėjo
பதற்றம்	įtampa
காஃப்கா	kafka
தண்டிக்க	bausti
தண்டிக்க	nubausti
தாதியர்	sutriuškino
பாடவும்	dainuoti
அபுகிடா	abugida
தைரியம்	drąsos
தைரியம்	drąsa
காதுகளில்	ausis
காதுகளில்	ausys
பெயரீடு	nomenklatūros
பெயரீடு	nomenklatūra
உத்திரவாதம்	garantijos
உத்திரவாதம்	garantija
உத்திரவாதம்	garantijų
லெவின்	levine
தூரிகை	teptuku
ஐதராக்சைல்	hidroksilo
அரபாத்	arafat
கர்மா	karma
உற்சாகத்துடன்	entuziazmo
உற்சாகத்துடன்	entuziazmas
ஆஹா	wow
ஆஹா	oho
ஆஹா	vau
ஆஹா	aha
ஆஹா	valio
நினைவுகளை	primena
நினைவுகளை	prisiminimai
நினைவுகளை	pasirodo
ஹங்கேரியன்	vengrijos
கொலைகாரன்	hitman
விஷ	nuodingas
கொரியர்கள்	korėjiečiai
வேணும்	nori
வேணும்	norit
கோஹன்	cohen
உமய்யா	omeijadų
எல்லாமும்	viskuo
எல்லாமும்	visko
எல்லாமும்	viską
எல்லாமும்	viskas
நையோபியம்	niobio
பழையது	senas
குறியியல்	semiotika
கொடூரமாக	pražūtinga
பியோதர்	fiodoras
சிலிண்டர்	cilindro
சிலிண்டர்	cilindras
வைட்டமின்கள்	vitaminai
அணிவகுப்பில்	paradas
அமை	konfigūruoti
ஸ்கைப்	skype
முன்னுரிமைகள்	nustatymai
லோசான்	lozanoje
ஹோல்டிங்ஸ்	ūkiai
ஹோல்டிங்ஸ்	ūkiuose
ஹோல்டிங்ஸ்	ūkių
ஹோல்டிங்ஸ்	valdos
நோயல்	noel
கிண்ணக்குழி	krateris
அசைவூட்டம்	animuoti
பதிமூன்றாம்	tryliktoji
வலுப்படுத்தும்	stiprinti
அரைக்கும்	šlifavimo
கழுவும்	nuplauti
கழுவும்	plauti
குக்கீகள்	sausainių
கடற்கரையோரம்	maritima
சாங்கர்	sanger
ஐஇஇஇ	ieee
தாமதமான	pavėluotai
கேடி	sukčius
அலியா	alia
ஐடியா	idėja
ஐடியா	mintis
புத்துணர்ச்சி	atgaiva
புத்துணர்ச்சி	atnaujinama
அந்தரங்கம்	privatumas
அந்தரங்கம்	privatumo
மோஸ்	sumaišyti
கூடாரங்கள்	palapinės
கோப்ரா	kobra
சோயுஸ்	soyuz
பன்னி	kiaulė
பன்னி	kiaulių
சம்பாதித்த	pelnęs
பலாத்காரம்	išprievartauta
கென்ய	kenijos
தொழில்முனைவோர்	verslininkai
ஒலிவியா	olivija
ஜஹான்	jahan
கிராபிக்	grafinis
கிராபிக்	grafikos
கிராபிக்	grafinio
அல்போன்சா	alfonso
சகித்துக்	toleruojamas
சகித்துக்	toleruojama
டப்லின்	dubline
டப்லின்	dublinas
விளக்கில்	apšvietimas
விளக்கில்	apšvietimo
குவிசோன்	keson
ஜிக்கி	ziggy
பிக்ஸ்	pix
பதே	fateh
நெட்ஸ்கேப்	netscape
உரல்	ural
கிராக்கோவ்	krokuvos
புட்டு	patty
கார்னெல்	kornelis
அமித்	amit
ரௌலிங்	rowling
துரோகி	išdavikas
ஏய்	ei
ஏய்	labas
ஏய்	sveikas
அந்நியன்	svetimas
ரசாயனம்	cheminis
ரசாயனம்	cheminė
விசுவாசமாக	ištikimas
வீட்டுவசதி	būstas
ஹேல்	hale
எரிகிறது	dega
பூட்ஸ்	batai
பூட்ஸ்	batus
லெய்	lei
ஆபாசம்	pornografija
ஆபாசம்	pornografijos
வெள்ளிக்கிழமைகளில்	penktadieniais
தாவோ	davao
பியூனிக்	pūnų
கோடரி	kirvis
ஆரா	ara
ஆரா	aura
ஹீத்ரோ	heathrow
அறக்கட்டளைகள்	pasitiki
பர்கர்	burger
பர்கர்	hamburger
பிஜியர்	fidžiai
சுறாக்கள்	rykliai
பிரிட்டோ	brito
கிறிஸ்டி	christy
மாதுளை	granatų
தீட்டு	dažai
தீட்டு	dažų
நுழை	įterpti
கொப்பரை	kopros
ஹேபர்	haber
சமாரியா	samarija
புளூட்டாக்	plutarchas
ப்ரோக்கோலி	brokolių
மரியாதைக்குரிய	gerbiama
பாயசம்	košė
பிராண்டோ	brando
பெர்த்	perth
ஹியூக்	hugh
லேனா	lena
காரா	kara
ஸ்டெல்லா	stela
சியாமிய	siamo
சிந்தும்	verta
இட்டைட்டு	hetitų
புரிதலும்	realizavimo
ஆஷ்டன்	ashton
ஜோதிட	astrologijos
பெர்ட்	bert
பணயம்	rizikavo
பியூட்டேன்	butanas
பியூட்டேன்	butano
பயாஸ்	bios
நிரப்பிய	užpildyta
லியா	lėja
லியா	liao
லியா	lia
அபிப்பிராயம்	įspūdį
ஆன்மாக்கள்	sielas
ஆன்மாக்கள்	sielos
ஃப்ரா	phra
ஷெங்கன்	šengeno
அலிசியா	alicija
நாகெல்	nagel
வாழ்த்துக்களும்	linkėjimai
வாழ்த்துக்களும்	sveikinimai
எல்லே	elle
ஆஃகன்	acheno
ஜெடி	džedajus
போம்	pom
ரிகோ	riko
வேகவைத்த	kraujospūdį
மறித்து	blokavimo
மறித்து	blokavimas
டிசைனர்	dizaineris
கஃப்	caf
இண்டிகோ	indigo
இறக்கங்கள்	iškrovimo
ஆசிப்	asif
பிடித்திருக்கிறது	lyg
பிடித்திருக்கிறது	kaip
ரெனால்ட்	renault
கொத்தமல்லி	kalendros
கொத்தமல்லி	agurkai
ஈரப்பதத்தை	drėgnumas
ஈரப்பதத்தை	drėgmės
ஈரப்பதத்தை	drėgnis
ஈரப்பதத்தை	drėgmė
சிவிக்	pilietinių
சிவிக்	pilietinis
பனிமனிதன்	senį
காவு	gau
லியோனார்ட்	leonardas
கிர்க்	kirk
ஆலங்கட்டி	šlovė
ஆலங்கட்டி	kruša
பார்ன்ஸ்	barnsas
பார்ன்ஸ்	daržines
ஆய்கிறது	analizuojamas
வூல்ஃப்	woolf
டென்னிசி	tenesio
சிற்றின்ப	erotinio
சொகோட்டோ	sokoto
கருப்பன்	branduolys
டொமிங்கோ	domingo
நோபிலி	nobili
கவனியுங்கள்	dėmesį
கவனியுங்கள்	dėmesio
ஸ்காட்ச்	viskio
பீன்ஸ்	pupos
பீன்ஸ்	pupelių
பீன்ஸ்	pupelės
கருத்தியம்	idealizmas
ஆபரணம்	papuošalais
ஈவ்	ieva
ரெட்ரோ	retro
நீல்சு	niels
ஜிப்சம்	gipso
ஹாக்ஸ்	vanagai
கேலரி	galerija
கேலரி	galerijoje
வெதுவெதுப்பான	šiltas
வெதுவெதுப்பான	šilta
வெதுவெதுப்பான	šiltai
வெதுவெதுப்பான	šiltos
அமி	ami
அடிலெய்ட்	adelaide
புகாரை	ginčas
புகாரை	ginčai
சந்தேகத்திற்குரிய	įtartinas
பர்க்	burke
கார்டுகள்	korteles
கார்டுகள்	kortos
அலசல்	diagnostika
கெர்ரி	kerry
நிண்டெண்டோ	nintendo
எமிலியோ	emilio
அரிமானம்	korozijos
ராபர்ட்சன்	robertson
கதவுகளை	durys
கதவுகளை	duris
கதவுகளை	durų
கிவ்	kiïv
பைபிளில்	biblija
பைபிளில்	biblijos
நம்பமுடியாத	neįtikėtina
துருவி	explorer
க்ரிஸ்	kristina
க்ரிஸ்	kris
டினா	tina
சுரைக்காய்	cukinija
தோகை	plunksna
கிரிகோர்	gregor
பெங்கோ	benko
வெள்ளரி	agurkai
வெள்ளரி	agurkas
சுத்தியல்	plaktuką
ஏஞ்சலினா	angelina
சாதவாகன	satavahanų
மொசார்ட்	mocartas
வோக்	vogue
தீவனம்	pašarinių
உடைத்த	sulaužė
கேட்கப்பட்டது	paprašė
ஜெபம்	maldos
ஜெபம்	malda
பெயிண்ட்	dažai
பெயிண்ட்	dažų
துணிச்சல்	dare
தோற்றமுரண்	paradoksas
கோபமாக	pikta
கோபமாக	pikti
கோபமாக	piktas
எதுவாயினும்	nesvarbu
பெட்ரோனாஸ்	petronas
பிரகாசமாக	šviesus
பிரகாசமாக	šviesi
மகனுடன்	sūnus
பெர்க்	berg
பிரே	bray
டிராய்	troy
டிராய்	trojos
தீனா	dina
மலர்களால்	gėlių
மலர்களால்	gėlė
ஜப்பார்	jabbar
தோபா	toba
சின்சினாட்டி	sinsinačio
விக்கிமேற்கோள்	vikicitatos
இணையதளத்தை	svetainė
புருவம்	kaktos
புருவம்	antakių
பெரோன்	perón
சுருக்கு	kilpą
சுருக்கு	išrūgos
சுருக்கு	sutraukti
சுருக்கு	zip
ரம்	romo
ரம்	romas
டோரி	tori
கையகப்படுத்துதல்	įsigijimų
கையகப்படுத்துதல்	įsigijimo
கையகப்படுத்துதல்	įsigijimas
கையகப்படுத்துதல்	įgijimas
சூனிய	raganos
சூனிய	ragana
ஒப்பாரி	raudų
ஸ்ட்ராஸ்	strauss
ஜாக்குலின்	jacqueline
கலென்	galenas
பலேரிக்	balearų
மைல்கற்கள்	etapai
மைல்கற்கள்	orientyrai
பிட்ஸ்	bitų
சைக்கிள்கள்	dviračiai
ஆண்ட்ரே	andre
ரேசிங்	lenktynių
மானே	manas
கிரைட்டன்	crichton
மைஸ்பேஸ்	myspace
ஜோடிகள்	porų
ஷ்	ish
டிகாப்ரியோ	dicaprio
ஆசீர்வாதம்	palaima
லாவா	lava
சுவைகள்	kvapu
சீரீ	serie
பெலே	pelé
துடைத்து	nuostolius
ஹாஜ்சன்	hodgson
கிரிபட்டி	kiribačio
அகதா	agata
மேலோட்டம்	apžvalga
மேலோட்டம்	apytikslis
ப்ரூக்ஸ்	bruksas
அன்றோ	išdaigos
வாலாட்டி	kielė
யாசர்	yasser
இமை	įvartis
கலைமான்	elnio
வைத்திருப்பவர்கள்	savininkai
வைத்திருப்பவர்கள்	turėtojai
தலையணை	pagalve
தலையணை	pagalvės
தலையணை	pagalvė
சுகோய்	suchoj
நியூஃபவுன்லாந்து	niufaundlando
பாஸ்டில்	bastille
மெக்னீசியம்	magnis
மெக்னீசியம்	magnio
டிக்கெட்	bilietas
டிக்கெட்	bilietų
டிக்கெட்	bilieto
ஹாஸ்	haus
துடைப்பம்	šluota
ஐசோடோப்பு	izotopų
மீட்டெடுக்க	susigrąžinti
பிரெண்டன்	brendan
ஆசா	asa
டைவிங்	nardymo
மர்செல்லுஸ்	marcellus
கொள்ளைநோய்	epidemija
நிலையில்லாத	atsitiktinai
நிலையில்லாத	atsitiktinė
விருந்தாளி	svečias
மூடியது	uždaryta
மூடியது	uždara
ஹயாத்	hayat
டைரோசின்	tirozino
பயிற்சிபெற்ற	apmokyti
தோள்கள்	pečius
ஈவா	ieva
ஜூபிடர்	jupiterio
அஸ்தி	asti
அறுத்த	fanera
பென்ட்லி	bentley
வெர்மீர்	vermeer
புற்றுநோயியல்	onkologijos
உணர்ச்சிகரமான	aistringas
சிக்னல்கள்	signalus
சிக்னல்கள்	signalai
பித்ரு	atitinkamai
தாலிப்	talib
பில்போ	bilbao
சம்ஹிதை	samhita
தலைக்கவசம்	šalmą
பிரியாவிடை	atsisveikinimo
பிரமாண்ட	giant
கேடிரி	kediri
சிப்பிகள்	austrių
சிப்பிகள்	austrės
மூக்கை	nosis
டாலி	dali
புர்ஜ்	burdž
உணவான	užterštas
மந்திரிகள்	ministrai
மந்திரிகள்	ministrų
ரீவ்	reeve
வின்செஸ்டர்	vinčesterio
நடப்பட்ட	pasodinti
சிரித்து	juokiasi
திக்	blauzdos
திக்	šlaunies
கோடக்	kodak
அணங்கு	nimfa
ஆஸ்டன்	aston
லீமா	lima
டிஷ்	indų
டிஷ்	patiekalas
ஒளிமயமான	ryškiau
நுழைதல்	prasiskverbti
காணுங்கள்	saugok
காணுங்கள்	prižiūrėti
கோழை	bailys
கோழை	boba
கலோரிகள்	kalorijų
மக்கி	maki
அங்கியுலா	anguilla
பெருமையாக	didžiuojuosi
வெர்சஸ்	versace
ஓஷோ	ošo
ஊட்டு	įžiebti
லிதுவேனியா	lietuva
பொம்மையை	lėlė
திற	atverti
சுஃபி	sufi
அழுத்துவதன்	spaudžiant
மோசர்	moser
அவிவ்	avivas
ஓல்கா	olga
கழிப்பறை	do
கத்பெர்ட்	cuthbert
நிழலை	šešėlis
பாதாம்	migdolų
பாதாம்	migdolai
வன்கொடுமை	piktnaudžiavimas
வன்கொடுமை	netinkamo
தமிழச்சி	senovės
பிரசிடென்சி	pirmininkavimas
சாண்ட்ரா	sandra
செக்கோவ்	čechovas
பட்டிகள்	barų
உற்சாகமாக	susijaudinęs
நண்பா	kis
நண்பா	seni
நண்பா	bičas
முடியாதா	neįmanoma
லேட்	vėlai
மோசம்	vargšas
மோசம்	vargšai
மோசம்	čiulpia
மோசம்	blogai
மோசம்	bloga
மோசம்	blogas
மோசம்	blogi
கார்னெட்	garnett
கரவாஜியோ	caravaggio
விடுமுறைகள்	šventės
அழி	ištrinti
சியாரா	seara
ரன்னிங்	veikiančių
ரன்னிங்	važiavimas
மெம்ஃபிஸ்	memfio
அவசரம்	skubus
அவசரம்	skubiai
இழையவியல்	histologija
எச்பிஓ	hbo
வெல்வதற்கு	įveikti
சேமிப்பகம்	sandėliavimas
சேமிப்பகம்	saugojimas
லைப்னிட்ஸ்	leibniz
டேரன்	darren
காட்டெருது	bison
கிளீவ்லன்ட்	klivlendo
கொத்தி	tulžys
பூர்வாங்க	išankstinis
தெளிவின்மை	blur
விரும்பு	lyg
விரும்பு	kaip
அயனியாக்கம்	jonizacijos
ஒருங்கியக்கம்	sinergija
விலக்கல்	išimtys
ருடால்ப்	rudolph
ஊய்	hujų
கலக்கி	maišoma
பாசிசம்	fašizmas
ஸ்டீபென்சன்	stephenson
செர்னோபில்	černobylio
மந்திரவாதிகள்	raganos
சாத்தியமா	įmanoma
பிளெட்சர்	fletcher
முட்டாள்கள்	kvailiai
துளைத்து	pyrsas
போபர்ஸ்	bofors
கருவூல	iždo
கருவூல	iždas
லெவ்	levas
அல்ஜீரிய	alžyro
கலேவலா	kalevala
இணையியம்	jungti
பயங்கரமாக	baisus
பயங்கரமாக	siaubinga
பயங்கரமாக	siaubingas
பிரிகின்றன	šakių
பிரிகின்றன	šakės
மாம்பழங்கள்	mangai
டெபோரா	debora
கொழுப்புக்கள்	riebalų
கொழுப்புக்கள்	riebalai
நம்பிக்கையாக	atsidavusi
நம்பிக்கையாக	ištikimas
நிரோ	niro
கொய்தா	qaeda
மரியே	ave
மெர்சிடிஸ்	mercedes
உண்டியல்	kiaulė
ஏர்ட்சு	hertz
பிஷர்	fischer
கன்பூசியஸ்	konfucijus
பீசா	pica
பாய்ண்ட்	pointe
மேக்ரோ	makro
தனா	dana
எல்டன்	eltonas
புரோமோ	promo
துருவங்கள்	lenkai
வேவ்	bangos
வேவ்	bangų
வேவ்	banga
மலர	žydi
மைக்கா	žėručio
கேசி	keisis
ஹீரோக்கள்	didvyriai
டேமியன்	damien
டேமியன்	damian
இருட்டு	tamsus
இருட்டு	tamsi
இருட்டு	tamsiai
இருட்டு	tamsa
வாகன்	vaughan
முதுகெலும்பி	stuburinių
காஃபின்	kofeino
ரசீது	čekis
புரா	pura
பீட்ரூட்	burokėlių
சாண்ட்லர்	chandler
டோலி	dolly
செதுக்கு	pasėlių
ஷாப்பிங்	apsipirkti
போதிக்க	preke
கெரட்டின்	keratino
பிரண்ட்	brent
டிஏவி	dav
வசந்தகால	pavasario
வசந்தகால	pavasaris
தவிர்க்கப்பட்டது	ignoruoti
தவிர்க்கப்பட்டது	ignoruojami
டேச்சு	dachau
வெப்ஸ்டர்	webster
பேனல்கள்	plokštės
யாருமில்லை	niekas
வார்த்தைகளால்	žodžiai
அக்ரிலிக்	akrilo
செவாலியே	chevalier
கூட்டமும்	minia
கிறிஸ்டியானோ	cristiano
வீணாகும்	beprasmiška
போரேட்டு	boratas
தலைவா	bose
தலைவா	bosas
அசிஸ்	aziz
பாகுபடுத்தி	analizatorius
பெட்டா	betta
கிளாரினெட்	klarnetas
பிழைக்க	išgyventi
கேத்தி	cathy
இடுகைகள்	postų
இடுகைகள்	pareigybės
இடுகைகள்	įrašai
தகர்ப்பு	griovimo
எள்ளி	eli
எள்ளி	ele
மோண்ட்	mont
பயனற்றது	bevertis
பயனற்றது	beprasmiška
செத்து	mirti
உள்ளாடைகள்	lingerie
உள்ளாடைகள்	kelnaitės
வாதவியல்	reumatologijos
அபிமான	nuostabus
ஆக்ஸ்ஃபோர்டு	oksfordo
அவமதிப்பு	panieka
அவமதிப்பு	įžeidimas
ராஜ்புத்	radžputai
கிளினிக்	klinika
கிளினிக்	klinikos
கிளினிக்	klinikoje
நிருபர்கள்	žurnalistų
பயங்கரவாதிகள்	teroristai
விளையாடுகிறது	žaidžia
தூக்கத்தை	miegas
தூக்கத்தை	miego
மினெர்வா	minerva
முணுமுணுப்பு	ūžia
வேலா	vela
இலட்சியம்	ambicijų
ஆல	reda
மீஸ்	mies
ஈலமைட்டு	elamitų
ரூபென்ஸ்	rubens
பித்தநீர்	tulžies
கபச்	hipofizės
வழுக்கை	plikas
பறக்கிறது	skrenda
தியு	diu
பைஸ்	pyragai
மண்வெட்டி	kapliai
எடிஹட்	etihad
லாசரஸ்	lazarus
நீள்சதுர	stačiakampio
நீள்சதுர	stačiakampis
கோண்டுவானா	gondvana
பரஸ்பரம்	abipusiai
லியூசின்	leucinas
நோரா	nora
நோரா	norah
ஆர்வங்கள்	interesus
வருடு	skaityti
வருடு	scan
ஆலி	sąjungininkas
ஆலி	ally
சிச்சென்	čičen
துனெடின்	danidinas
ரெபேக்கா	rebecca
சிட்ரஸ்	citrusinių
வெண்ணை	sviesto
வெண்ணை	sviestas
சீருடைகள்	uniformas
சீருடைகள்	uniformos
ஹெவ்லட்	hewlett
தாபி	dabis
பெகாசி	pegasi
குடித்தல்	geria
குடித்தல்	gert
பிரார்த்தனைகள்	maldos
பிரார்த்தனைகள்	maldas
பெனிசிலின்	penicilino
முண்டக	mundaka
எமர்சன்	emerson
தோஷிபா	toshiba
மூடல்	uždarymo
மூடல்	uždarymas
கூலியை	atlyginimai
அவலோகிதர்	avalokitešvara
டாக்கின்சு	dawkins
பக்கர்	bakr
அல்போன்சோ	alfonso
காகிதக்கூழ்	minkštimas
காகிதக்கூழ்	plaušienos
காகிதக்கூழ்	plaušiena
டோடோ	toto
இருக்கின்றான்	žinant
ஃபூரியே	furjė
ரிட்ஜ்	ridge
ஆட்சேர்ப்பு	įdarbinimas
கைமுறையாக	rankinis
கைமுறையாக	rankomis
சுலபம்	lengva
சுலபம்	lengvai
தஸ்தயெவ்ஸ்கி	dostojevskis
பாதசாரிகள்	pėsčiųjų
அறிவார்	žino
ட்ரெக்	trek
ரசிகன்	išplėtimo
டெங்	deng
வெட்டல்	vettel
அடிடாஸ்	adidas
ஹுவாங்	huang
குர்தா	kurta
இருப்பிடங்கள்	vietose
இருப்பிடங்கள்	vietovės
இருப்பிடங்கள்	vieta
சகோதரிகளின்	sesės
சகோதரிகளின்	seserys
லட்சிய	ambicingi
லட்சிய	ambicingas
லட்சிய	užmojo
பஸ்டர்	buster
செவீயா	sevilijos
யம்	jum
பவளத்தீவு	atolas
யந்திரம்	mašinos
ஸ்டால்மன்	stallman
ஃபே	fay
அறிக	mokytis
தூக்கான்	tukanas
இறப்பது	mirti
இறப்பது	miršta
பலனும்	naudos
கைகோர்த்து	ranka
வருத்தத்தை	sielvarto
ஓவியங்களுக்கு	tęstinumas
ஓவியங்களுக்கு	tęstinumo
ஒன்சூ	honšiu
கேஷ்	pinigų
கேஷ்	pinigai
கேஷ்	grynieji
இப்போ	dabar
கவர்ச்சியாக	seksualus
ஆண்டுவிழா	jubiliejus
முகமூடிகள்	kaukės
மைத்திரேயர்	maitrėja
கிராவ்	krav
அலெக்ரி	alegre
அகாமனிசியப்	achemenidų
ரட்	raudė
கம்யூனிசம்	komunizmas
நிஜம்	tikras
நிஜம்	realizmo
மேக்ஸ்வெல்	maxwell
ஆர்வமுள்ளவர்கள்	domina
ஆர்வமுள்ளவர்கள்	susidomėję
உயிரிமருத்துவ	biomedicinos
இருதயம்	širdys
செசான்	cézanne
தொழில்முறையில்	profesionaliai
கலவியற்ற	nelytinis
முக்காடு	šydas
மார்டி	marti
விபச்சாரம்	prostitucija
டியா	tia
மெத்தியோனின்	metioninas
கொரியர்	kurjeris
விநியோகஸ்தர்கள்	platintojai
விநியோகஸ்தர்கள்	prekiautojai
பெல்லோ	bello
நர்சரி	darželio
வேலைக்காரன்	tarnas
வேலைக்காரன்	tarnautojas
டேவிட்ஸ்	dovydui
எலுமிச்சம்	citrinų
எலுமிச்சம்	citrinos
பெலிக்ஸ்	feliksas
