xbox	xbox
asesinatos	pembunuhan
asesinatos	pembunuhan
asesinatos	pembunuhan
asesinatos	pembunuhan
fieles	loyal
fieles	setia
fieles	setia
southern	southern
southern	selatan
concha	concha
concha	tempurung
concha	cangkang
concha	shell
concha	kerang
implementación	implementasi
implementación	pelaksanaan
implementación	penerapan
implementación	mengimplementasikan
implementación	mengimplementasi
implementación	menerapkan
perdida	kerugian
perdida	kehilangan
perdida	rugi
perdida	kalah
perdida	tersesat
perdida	kehilangan
perdida	lost
perdida	hilang
ciudadanía	kewarganegaraan
significativo	berarti
significativo	bermakna
significativo	signifikan
desastre	bencana
desastre	musibah
protagonizó	berbintang
protagonizó	membintangi
warren	warren
elías	elías
elías	elijah
elías	elia
elías	ilyas
elías	elias
ltd	ltd
identificado	identifikasi
identificado	diidentifikasi
identificado	teridentifikasi
identificado	mengidentifikasi
ejecutar	mengeksekusi
ejecutar	eksekusi
ejecutar	laksanakan
ejecutar	lari
ejecutar	menjalankan
ejecutar	jalankan
studio	studio
destinada	ditakdirkan
calificación	peringkat
calificación	penilaian
calificación	rating
calificación	kualifikasi
dramática	drama
dramática	dramatis
antoine	antoine
plástico	plastic
plástico	plastik
plástico	plastic
plástico	plastik
armadura	armor
armadura	zirah
armadura	zirah
armadura	armour
armadura	armor
espaciales	spasial
espaciales	ruang
espaciales	spasi
espaciales	space
espaciales	angkasa
dedicados	didedikasikan
dedicados	berdedikasi
bebé	baby
bebé	sayang
bebé	bayi
hits	hits
hits	hantaman
tenor	tenor
mortal	mematikan
mortal	deadly
mortal	fatal
mortal	fana
mortal	mortal
reconocimientos	intai
reconocimientos	pengintaian
reconocimientos	pengakuan
tallos	tangkai
tallos	batangnya
casino	kasino
casino	casino
vencedor	pemenang
vencedor	winner
vencedor	victor
leipzig	leipzig
delegado	delegasi
adoptado	diadopsi
adoptado	adopsi
adoptado	mengadopsi
colinas	bukit
colinas	hills
colinas	perbukitan
extranjeras	asing
extranjeras	foreign
apolo	apollo
membrana	membran
membrana	membran
etnia	etnis
etnia	etnik
etnia	etnis
etnia	etnik
ruido	noise
ruido	bising
ruido	kebisingan
ruido	derau
ricos	rich
ricos	kaya
radar	radar
wagner	wagner
quieren	ingin
quieren	inginkan
quieren	pengen
quieren	mau
television	television
television	televisi
teatros	teater
teatros	teater
teatros	bioskop
teatros	theater
teatros	teater
teatros	bioskop
añadido	menambahkan
añadido	ditambahkan
fabricantes	manufaktur
fabricantes	produsen
fabricantes	pabrikan
fabricantes	manufaktur
fabricantes	produsen
finca	farm
finca	perkebunan
finca	peternakan
finca	ladang
finca	pertanian
finca	perkebunan
finca	perumahan
finca	estate
pilares	pilar
guarnición	hiasan
guarnición	garrison
guarnición	garnisun
edwards	edwards
fábricas	pabrik
fábricas	mills
fábricas	pabrik
roman	roman
roman	romawi
oliva	olive
oliva	zaitun
oliva	oliva
conservadores	konservatif
conservadores	konservatif
contener	mengandung
contener	berisi
secos	dry
secos	mengeringkan
secos	kering
secos	keringkan
secos	dikeringkan
secos	dijemur
escape	knalpot
escape	kabur
escape	escape
shakespeare	shakespeare
marín	marin
marín	marín
für	für
under	under
under	dibawah
eugenia	eugenia
cap	kapt
cap	cap
cap	chap
desarrollados	dikembangkan
desarrollados	mengembangkan
baños	toilet
baños	mandi
baños	pemandian
baños	mandi
alternativas	alternatifnya
alternativas	alternative
alternativas	alternatif
logro	pencapaian
logro	berprestasi
logro	pencapaian
logro	prestasi
logro	berprestasi
entiende	memahami
entiende	pahamilah
entiende	mengerti
entiende	memahami
entiende	pahami
entiende	mengertilah
extracción	ekstraksi
extracción	pencabutan
profundamente	mendalam
fresco	fresh
fresco	segar
fresco	fresco
nacionalismo	nasionalisme
cruzar	menyeberang
cruzar	crossing
cruzar	penyeberangan
cruzar	melintas
adulto	dewasa
disciplinas	disiplin
geográficas	geografi
geográficas	geographic
geográficas	geografis
geográficas	geografis
responder	tanggapi
responder	menanggapi
responder	merespons
responder	merespon
responder	menanggapi
responder	menjawab
responder	jawab
responder	jawaban
responder	jawablah
responder	menjawab
responder	balas
responder	reply
responder	balasan
hermosa	beautiful
hermosa	cantiknya
hermosa	cantik
hermosa	indah
hermosa	cantik
electrónicos	elektronika
electrónicos	electronics
electrónicos	elektronik
electrónicos	elektronika
electrónicos	electronic
electrónicos	elektronik
galaxia	galaxy
galaxia	galaksi
age	usia
age	umur
cubiertas	tertutupi
cubiertas	ditutupi
cubiertas	tercakup
cubiertas	sampul
cubiertas	mencakup
cubiertas	meliputi
cubiertas	dek
cubiertas	geladak
cubiertas	deck
trasladar	relokasi
trasladar	merelokasi
dependencias	dependensi
dependencias	ketergantungan
produciendo	memproduksi
abu	abu
bola	bola
bola	ball
lázaro	lázaro
lázaro	lazarus
wolf	wolf
wolf	serigala
certificado	bersertifikasi
certificado	certified
certificado	bersertifikat
certificado	sertifikat
rita	rita
uss	uss
escándalo	skandal
escándalo	scandal
escándalo	skandal
tanque	tangki
tanque	tank
sólido	solid
sólido	padat
kiev	kiev
serpiente	ular
serpiente	ular
testigos	saksi
testigos	saksi
economista	ekonom
submarino	selam
submarino	sub
códigos	code
códigos	kode
códigos	kode
prevención	pencegahan
descubierta	ditemukan
descubierta	menemukan
descubierta	ketahuan
descubierta	ketahuan
descubierta	diungkap
solares	plot
solares	surya
solares	solar
progresivo	progresif
estudia	kajian
estudia	belajar
estudia	studi
paloma	dove
paloma	merpati
paloma	merpati
paloma	paloma
folk	kaum
folk	rakyat
folk	folk
ira	murka
ira	anger
ira	murka
ira	kemarahan
ira	marah
ira	amarah
ira	ira
atractivo	attraction
atractivo	atraksi
atractivo	dkk
atractivo	memikat
atractivo	atraktif
atractivo	menarik
atractivo	banding
cinematográfico	sinematik
volar	terbang
volar	lalat
volar	fly
volar	terbang
volar	flying
volar	menerbangkan
recta	straight
recta	lurus
ecuatoriano	ekuador
entregado	dikirimkan
entregado	dikirim
entregado	terkirim
entregado	disampaikan
etiopía	ethiopia
etiopía	etiopia
etiopía	ethiopia
etiopía	etiopia
dick	dick
jefferson	jefferson
celeste	celeste
celeste	celestial
palermo	palermo
asientos	kursi
dominios	domain
dominios	ranah
dominios	domain
dominios	ranah
falsa	palsu
falsa	false
falsa	salah
falsa	palsu
falsa	fake
tribunales	court
tribunales	sidang
tribunales	pengadilan
tribunales	mahkamah
tribunales	pengadilan
bond	ikatan
bond	obligasi
bond	bond
cerdo	babi
cerdo	pork
cerdo	babi
cerdo	babi
cerdo	pig
dorsal	dorsal
blood	blood
blood	darah
danés	denmark
danés	dane
cajas	kotak
ring	ring
ring	cincin
fiebre	demam
fiebre	fever
geometría	geometri
geometría	geometris
pink	pink
doblaje	dubbing
hoteles	hotel
hoteles	hotel
blas	bert
blas	blas
blas	blaise
bull	banteng
bull	bull
ayala	ayala
derrotas	mengalahkan
derrotas	kalahkan
derrotas	kekalahan
macizo	solid
macizo	padat
sacramento	sacramento
sacramento	sakramen
neil	neil
documentales	dokumenter
documentales	dokumenter
introducir	perkenalkan
introducir	memperkenalkan
libia	libya
libia	libya
canciller	kanselir
collins	collins
aldeas	desa
silvia	sylvia
silvia	sylvie
silvia	silvia
potente	ampuh
potente	kuat
desafío	tantangan
desafío	challenge
desafío	menantang
desafío	tantang
desafío	defiance
determinados	tertentu
soberano	berdaulat
soberano	kedaulatan
emi	emi
normandía	normandie
temporalmente	sementara
temporalmente	temporer
temporalmente	sementara
ánimo	mood
ánimo	suasana
divina	ilahi
divina	divine
divina	illahi
acusaciones	tagihan
acusaciones	biaya
acusaciones	dakwaan
acusaciones	tuduhannya
acusaciones	tuduhan
acusaciones	menuduh
sudoeste	southwest
prieto	prieto
oso	beruang
oso	pikul
oso	bear
cruzada	expedisi
teruel	teruel
nat	nat
mostrado	ditampilkan
mostrado	diperlihatkan
mostrado	ditunjukkan
mostrado	ditampilkan
via	via
via	melalui
via	lewat
excentricidad	eksentrik
camp	kemah
camp	perkemahan
camp	kamp
camp	camp
rivadavia	rivadavia
levante	syam
levante	levante
reunir	merakit
reunir	rakit
reunir	mengumpulkan
reunir	berkumpul
reunir	kumpulkan
aproximación	dekati
aproximación	pendekatan
mirada	melirik
mirada	sekilas
mirada	lirikan
mirada	look
mirada	lihat
mirada	lihatlah
sri	sri
poblados	desa
plumas	pena
plumas	bulu
consideración	pertimbangan
cerrar	close
cerrar	dekat
cerrar	tutup
cerrar	penutupan
cerrar	menutup
cerrar	closing
molino	kincir
molino	mill
molino	penggilingan
molino	pemintalan
tronco	log
tronco	bagasi
tronco	belalai
cuarteto	kuartet
nativo	native
cook	masak
cook	cook
cook	memasak
eeuu	as
eeuu	usa
marquesa	marquise
marquesa	marquesa
reducida	berkurang
reducida	dikurangi
anatomía	anatomi
monstruo	rakasa
monstruo	monster
escribiendo	mengetikkan
escribiendo	mengetik
escribiendo	penulisan
escribiendo	menulis
escribiendo	tulisan
dedos	fingers
pasaje	tiket
pasaje	ticket
pasaje	karcis
denis	denis
anunciado	mengumumkan
anunciado	diumumkan
anunciado	umumkan
anunciado	diiklankan
mató	dibunuh
mató	tewas
mató	terbunuh
futbol	sepakbola
futbol	soccer
futbol	sepakbola
futbol	football
vitoria	vitoria
estonia	estonia
estonia	estonia
bacterias	bakteri
ortodoxa	ortodoks
ortodoxa	orthodox
extendido	diperluas
extendido	extended
extendido	diperpanjang
ilegal	illegal
ilegal	ilegal
apóstol	rasul
ejecutado	eksekusi
ejecutado	dieksekusi
intentando	nyoba
intentando	berusaha
intentando	mencoba
escocés	skotlandia
escocés	scotch
escocés	wiski
escocés	skotlandia
crecer	berkembang
crecer	tumbuh
crecer	bertumbuh
crecer	menumbuhkan
crecer	tumbuhkan
crecer	kembangkan
crecer	grow
crecer	tumbuh
crecer	bertumbuh
sismo	gempa
sismo	gempa
luchas	berkelahi
luchas	perkelahian
luchas	perjuangan
luchas	pergumulan
helena	helena
helena	helen
trasera	rear
trasera	belakang
apreciar	hargai
apreciar	atuh
apreciar	menghargai
discutir	membahas
discutir	bahas
discutir	diskusikan
discutir	berdiskusi
conducido	driven
conducido	didorong
gabriela	gabriella
gabriela	gabriela
radios	radio
coordinador	koordinator
miércoles	rabu
miércoles	rabu
poseer	merasuki
poseer	merasuki
terrorismo	terror
terrorismo	teror
terrorismo	terorisme
terrorismo	teroris
linares	linares
side	sisi
side	side
side	samping
poderosa	perkasa
poderosa	mighty
poderosa	ampuh
poderosa	kuat
lunar	lunar
capturar	capture
capturar	tangkap
capturar	penangkapan
capturar	menangkap
capturar	menangkap
capturar	abadikan
adquiere	memperoleh
niega	menyangkal
dame	gimme
defecto	default
defecto	baku
defecto	bawaan
defecto	standar
defecto	kecacatan
marcada	ditandai
sud	sud
viajeros	wisatawan
viajeros	pelancong
viajeros	musafir
viajeros	traveler
viajeros	wisatawan
viajeros	pelancong
sobrevivir	survival
ferrari	ferrari
experimento	percobaan
experimento	eksperimen
experimento	bereksperimen
consideradas	dianggap
consideradas	dipertimbangkan
escasos	langka
escasos	sparse
adolescentes	teen
adolescentes	remaja
adolescentes	remaja
adolescentes	remaja
callao	callao
confirmado	terkonfirmasi
confirmado	konfirmasi
confirmado	dikonfirmasi
confirmado	dikonfirmasikan
habituales	biasa
brooklyn	brooklyn
impedir	mencegah
impedir	cegah
impedir	menghambat
lienzo	kanvas
lienzo	canvas
taekwondo	taekwondo
solidaridad	solidaritas
gard	gard
evans	evans
accesible	diakses
accesible	terjangkau
aporte	input
aporte	masukkan
aporte	masukan
aporte	kontribusi
georg	georg
aproximada	perkiraan
certificados	sertifikat
certificados	bersertifikasi
certificados	certified
certificados	bersertifikat
castigo	hukuman
castigo	azab
castigo	berjamaah
complejidad	kerumitan
complejidad	kompleksitas
renacentista	renaisans
renacentista	renaissance
adrián	adrian
head	head
head	kepala
nordeste	northeast
gallo	kokang
gallo	gallo
gallo	rooster
nuestras	our
ivan	ivan
matthew	matius
matthew	matthew
parlamentarias	mps
salomón	salomon
salomón	solomon
salomón	salomo
salomón	sulaiman
nbc	nbc
exportación	ekspor
exportación	ekspor
exportación	mengekspor
colectiva	kolektif
susana	susannah
susana	susana
susana	suzanne
susana	susana
susana	susanna
susana	susan
hambre	lapar
hambre	kelaparan
hambre	lapar
hambre	hunger
residuos	limbah
residuos	pemborosan
socialismo	sosialisme
américas	amerika
directorio	direktori
square	square
square	persegi
square	kuadrat
leones	singa
leones	lions
amy	amy
amy	adinda
amy	airlangga
prohibición	ban
prohibición	larang
prohibición	larangan
prohibición	pelarangan
prohibición	pelarangan
autovía	highway
dean	dekan
dean	dean
leonor	eleanor
leonor	leonor
habitan	menghuni
habitan	mendiami
irregular	irregular
consecutivos	berturut
escudos	perisai
operar	beroperasi
operar	mengoperasikan
operar	beroperasi
films	films
films	film
terapia	terapi
instalado	dipasang
instalado	diinstal
instalado	terpasang
instalado	terinstal
famosas	famous
famosas	terkenal
fallo	gagal
fallo	kegagalan
barro	mud
barro	lumpur
barro	clay
banca	bangku
banca	banking
banca	perbankan
banca	banca
banca	bankir
banca	banker
banca	bank
únicas	keunikan
únicas	unik
únicas	unique
acompañada	ditemani
acompañada	didampingi
acompañada	disertai
acompañada	diiringi
luchadores	pegulat
luchadores	pejuang
luchadores	petarung
luchadores	fighters
stuttgart	stuttgart
edificación	building
edificación	membangun
edificación	bangunan
edificación	gedung
riesgos	risiko
riesgos	resiko
riesgos	risiko
eco	eco
eco	eko
eco	menggema
eco	gema
eco	gaung
eco	echo
acosta	acosta
never	pernah
apellidos	marga
polaca	semir
polaca	polandia
polaca	polish
class	angkatan
class	kelas
class	class
presentadora	presenter
comisario	komisioner
comisario	komisaris
comisario	serif
comisario	sherif
comisario	sheriff
comisario	komisaris
comisario	inspektur
comisario	pemeriksa
comisario	marsekal
comisario	marshal
decenas	tens
decenas	puluhan
decenas	lusinan
decenas	puluhan
decenas	belasan
campana	lonceng
campana	belle
campana	bel
campana	bell
pib	gdp
pib	pdb
tía	bibi
tía	tante
tía	bibi
tía	tante
tía	bibi
tía	tante
rivalidad	persaingan
húmedo	lembab
húmedo	lembab
húmedo	basah
húmedo	wet
embajadores	duta
hospitales	hospital
hospitales	rs
morelos	morelos
astronomía	astronomi
leal	loyal
leal	setia
leal	leal
terroristas	teroris
terroristas	teroris
visuales	visual
visuales	visual
recopilación	kompilasi
guido	guido
comisiones	komisi
comisiones	komite
detención	penangkapan
detención	tangkap
detención	hukuman
detención	penahanan
algoritmo	algoritma
inversiones	investasi
inversiones	investasi
criaturas	makhluk
criaturas	mahluk
lloyd	lloyd
lloyd	llyod
mercancías	barangnya
mercancías	barang
mercancías	komoditi
mercancías	komoditas
mercancías	pengangkutan
mercancías	angkutan
mercancías	dagangan
mercancías	merchandise
mercancías	barang
construye	membangun
construye	konstruk
construye	membangun
construye	bina
construye	build
ten	ten
ten	sepuluh
jennifer	jennifer
agregar	menambahkan
agregar	menambah
agregar	tambah
agregar	add
agregar	tambahkan
marinas	marinir
marinas	marine
marinas	laut
marinas	kelautan
tela	kain
tela	kain
ataca	menyerang
ataca	serangan
ataca	penyerangan
ataca	menyerang
ataca	serangan
ataca	serang
ataca	penyerangan
lorca	lorca
serra	serra
refugiados	pengungsi
refugiados	pengungsi
cantera	tambang
cantera	galian
cantera	penambangan
marcel	marcel
mancomunidad	persemakmuran
dylan	dylan
harold	harold
descubridor	penemu
énfasis	penekanan
énfasis	ditekankan
combinado	digabungkan
combinado	berpadu
combinado	kombinasi
combinado	dikombinasikan
combinado	gabungan
almagro	almagro
revisar	tinjauan
revisar	review
revisar	tinjau
revisar	ulasan
revisar	ulas
revisar	meninjau
brothers	saudara
brothers	bersaudara
brothers	brothers
potter	potter
circo	cirque
circo	sirkus
circo	circus
robo	mencuri
robo	pencurian
robo	robo
robo	merampok
robo	perampokan
robo	penyusupan
robo	perampokan
robo	pencurian
robo	mencuri
robo	curi
vecina	tetangga
vecina	tetangga
modificado	modifikasi
modificado	diubah
modificado	dimodifikasi
radial	radial
angola	angola
angola	angola
contactos	hubungi
contactos	kontak
contactos	contact
contactos	kontak
conservado	dipertahankan
conservado	dipelihara
conservado	diawetkan
conservado	dipertahankan
exploradores	pramuka
exploradores	penjelajah
hudson	hudson
pampa	pampas
pampa	pampa
flauta	flute
flauta	suling
flauta	seruling
hormigón	beton
autoría	authoring
pinto	pinto
jugaron	diputar
jugaron	dimainkan
jugaron	dipermainkan
odio	kebencian
odio	kebencian
odio	hate
odio	membenci
odio	benci
cauca	cauca
nocturno	malam
nocturno	night
celta	celtic
celta	celtic
consultas	konsultasi
consultas	konsultasi
consultas	kueri
consultas	pertanyaan
comprobar	memeriksa
comprobar	skak
comprobar	cek
comprobar	ksa
comprobar	periksa
comprobar	centang
prosa	prosa
radicales	radikal
radicales	radikal
condena	penghukuman
condena	kutuk
connecticut	connecticut
discípulo	murid
saboya	savoia
juzgado	pengadilan
juzgado	court
juzgado	sidang
juzgado	pengadilan
juzgado	mahkamah
religiones	agama
religiones	agama
lealtad	loyalitas
lealtad	kesetiaan
compañera	sekamar
compañera	pendamping
morris	morris
paolo	paolo
start	mulai
start	mulailah
start	start
funcional	fungsional
guevara	guevara
compostela	compostela
disparos	penembakan
disparos	tembakan
disparos	shots
disparos	penembakan
disparos	shooting
disparos	menembak
disparos	bidikan
disparos	tembakan
cayo	gaius
cayo	cayo
cayo	cay
melbourne	melbourne
máscara	masker
máscara	mask
máscara	topeng
activista	aktivis
michelle	michelle
galardonado	diberikan
galardonado	dianugerahi
novelista	novelis
avanzar	maju
avanzar	advance
puro	sheer
puro	cerutu
puro	murni
puro	pure
tomas	tomas
tomas	thomas
tomas	tembakan
tomas	shots
separada	dipisahkan
separada	dipisah
separada	berpisah
separada	terpisah
separada	pisahkan
separada	memisahkan
separada	dipisah
comprensión	pemahaman
comprensión	pengertian
comprensión	pemahaman
comprensión	memahami
dándole	giving
dándole	memberikan
dándole	memberi
blake	blake
mónaco	monaco
mónaco	monako
distinguir	membedakan
expediciones	ekspedisi
rodeada	dikelilingi
rodeada	terkepung
rodeada	mengepung
compleja	komplek
compleja	complex
compleja	rumit
compleja	kompleks
ontario	ontario
trilogía	trilogy
concejal	alderman
concejal	councilwoman
chocolate	cokelat
chocolate	coklat
chocolate	chocolate
calzada	causeway
suya	milikmu
suya	yours
terminada	selesai
tumbas	makam
tumbas	kubur
tumbas	kuburan
conservar	melestarikan
conservar	keep
berkeley	berkeley
inmediata	immediate
riego	irigasi
riego	menyiram
riego	berair
jacobo	jacob
jacobo	yakub
jacobo	james
jacobo	yakobus
jacobo	jacobo
piernas	legs
piernas	kaki
típicamente	biasanya
dramático	drama
dramático	dramatis
músculo	otot
músculo	berotot
músculo	muscle
músculo	otot
sul	sul
atleta	atlet
atleta	atlit
val	val
bonus	bonus
bonus	bonusnya
croata	kroasia
perdón	maaf
perdón	grasi
perdón	maafkanlah
paquete	paket
paquete	bundel
paquete	bundle
paquete	paket
paquete	paket
paquete	pack
públicamente	publik
busto	bust
desconocida	bruk
especialistas	spesialis
especialistas	spesialis
opuesto	kebalikan
opuesto	berlawanan
mono	mono
mono	monkey
mono	monyet
mono	kera
trastornos	gangguan
afectados	terpengaruh
afectados	terdampak
rehabilitación	rehabilitasi
rehabilitación	rehab
rehabilitación	rehabilitasi
revelación	wahyu
revelación	pengungkapan
aluminio	aluminium
aluminio	alumunium
aluminio	aluminium
aluminio	alumunium
satélites	satelit
satélites	satellite
satélites	satelit
zero	nol
zero	zero
infección	infeksi
infección	infeksi
navales	naval
largometraje	fitur
noveno	kesembilan
noveno	ninth
mezquita	masjid
kurt	kurt
contratos	kontrak
guardias	penjaga
guardias	pengawal
definida	ditentukan
definida	dijelaskan
definida	didefinisikan
definida	terdefinisi
regente	bupati
terrorista	teroris
terrorista	teroris
desarrollando	berkembang
desarrollando	kembangkan
desarrollando	mengembangkan
superficial	dangkal
superficial	dangkal
superficial	permukaan
hardware	hardware
abundancia	berlimpah
abundancia	kelimpahan
procesamiento	memroses
procesamiento	memproses
procesamiento	pemrosesan
procesamiento	diproses
procesamiento	pengolahan
resultando	mengakibatkan
gubernamental	pemerintahan
marfil	gading
test	ujian
test	pengujian
test	menguji
test	uji
test	test
test	tes
redactor	penyunting
redactor	redaksi
redactor	editor
gaspar	kaspar
gaspar	caspar
gaspar	gaspar
conspiración	persekongkolan
conspiración	konspirasi
estratégica	strategis
secundarias	sekunder
verbo	predikat
excelencia	keunggulan
funcionario	official
funcionario	resmi
explorador	pramuka
explorador	scout
explorador	penjelajah
explorador	explorer
explorador	peramban
explorador	browser
uruguaya	uruguay
kate	kate
taxonomía	taksonomi
útiles	berguna
útiles	bermanfaat
útiles	menolong
útiles	berguna
útiles	bermanfaat
útiles	membantu
mixto	mahasiswi
mixto	mixed
mixto	bercampur
mixto	campuran
mixto	campur
melodía	melodi
melodía	melody
melodía	simak
melodía	tune
estimación	memperkirakan
estimación	perkirakan
estimación	memperkirakan
estimación	perkiraan
estimación	estimasi
estimación	perkiraan
estimación	estimasi
estimación	perkiraan
estimación	estimasi
luigi	luigi
afc	afc
albania	albania
area	daerah
area	wilayah
area	luas
area	kawasan
area	area
estrechamente	erat
comunicado	komunike
comunicado	pernyataan
dieciséis	sixteen
ucraniano	ukraina
detenidos	tahanan
detenidos	narapidana
detenidos	ditahan
detenidos	ditangkap
detenidos	ditahan
esencia	esensi
esencia	intisari
seúl	seoul
conversaciones	percakapan
conversaciones	perundingan
conversaciones	pembicaraan
percepción	persepsi
percepción	persepsi
fijo	diperbaiki
fijo	tetap
fijo	fixed
subespecies	upaspesies
descripciones	deskripsi
bachillerato	babinsa
cuadrada	square
cuadrada	persegi
cuadrada	kuadrat
artísticos	artistik
full	full
full	kenyang
full	penuh
introduce	memperkenalkan
excavaciones	penggalian
excavaciones	menggali
excavaciones	penggalian
wii	wii
pila	battery
pila	baterai
pila	tumpukan
pila	tumpuk
pila	menumpuk
pila	tumpukan
pila	tumpuk
pila	stack
regularmente	teratur
caos	penganiayaan
caos	aniaya
caos	mayhem
caos	teraniaya
caos	kekacauan
caos	chaos
módulo	modul
eslovenia	slovenia
eslovenia	slovenia
soccerway	soccerway
turcos	turki
turcos	turki
turcos	turkish
sedes	markas
garganta	tenggorokan
garganta	kerongkongan
garganta	jurang
eficiencia	efisiensi
prohibido	terlarang
prohibido	dilarang
prohibido	terlarang
prohibido	dilarang
prohibido	banned
prohibido	dilarang
noruego	norwegia
consistente	konsisten
rítmica	berirama
rítmica	ritme
rítmica	irama
rítmica	rhythm
dulces	permen
dulces	manisan
dulces	permen
dulces	candy
dulces	sweet
dulces	manis
permanencia	permanen
watson	watson
cantó	sang
euskera	basque
anglo	anglo
historietas	komik
philadelphia	philadelphia
grueso	borongan
grueso	massal
grueso	masal
grueso	tebal
exceso	kelebihan
triángulo	segitiga
bart	bart
clero	ulama
habsburgo	habsburg
relativo	relatif
cama	seprai
cama	ranjang
cama	tidur
cama	bed
eficaz	efisien
eficaz	efektif
comenta	comment
comenta	komen
comenta	komentari
comenta	komentar
comenta	komentar
terminando	menyelesaikan
terminando	finishing
terminando	ending
terminando	berakhiran
terminando	mengakhiri
terminando	berakhir
piedad	kasihan
piedad	mercy
piedad	rahmat
piedad	kesalehan
piedad	takwa
perciformes	perciformes
camilo	camillo
camilo	camilo
ram	ram
michoacán	michoacán
realismo	realisme
espinosa	spiny
espinosa	berduri
espinosa	espinosa
subespecie	upaspesies
conversación	percakapan
dante	dante
pionero	pioneer
pionero	pelopor
clasificar	mengkategorikan
clasificar	menggolongkan
emisoras	stasiun
espinas	durinya
espinas	duri
espinas	thorn
espinas	duri
cretácico	kapur
ted	ted
habitaciones	ruangan
habitaciones	kamar
habitaciones	forum
myspace	myspace
ambientales	lingkungan
arbustos	belukar
arbustos	perdu
consecutivas	berturut
aeropuertos	airport
aeropuertos	bandara
aeropuertos	bandara
urbanización	urbanisasi
mencionados	disebut
mencionados	disebutkan
adjunto	deputi
adjunto	lampirkan
adjunto	terlampir
adjunto	dilampirkan
adjunto	lampiran
supervivencia	survival
cómics	komik
pistola	pistol
pistola	senapan
pistola	pistol
pistola	gun
pistola	senjata
ascensión	kenaikan
ascensión	pendakian
cover	sampul
cover	cover
cover	penutup
cover	tutupi
constancia	keteguhan
constancia	constance
constancia	kegigihan
constancia	ketekunan
migración	migrasi
migración	migrasi
editora	penyunting
editora	redaksi
editora	editor
hunter	pemburu
hunter	hunter
box	box
box	boks
box	kotak
noventa	ninety
noventa	nineties
conveniente	nyaman
honoris	honoris
ola	ola
ola	wave
ola	gelombang
ola	ombak
ola	lambaian
martha	marta
martha	martha
adición	menambahkan
adición	menambah
adición	tambahan
adición	penambahan
adición	addendum
dialecto	dialek
dialecto	amoy
gramática	grammar
limpieza	kebersihan
limpieza	membersihkan
limpieza	pembersihan
limpieza	kebersihan
limpieza	pembersihan
limpieza	pembersih
limpieza	membersihkan
limpieza	bersihkan
limpieza	bersih
limpieza	clean
limpieza	housekeeping
explorer	penjelajah
explorer	explorer
foraminíferos	foraminifera
marcar	dial
marcar	markus
marcar	tanda
marcar	tandai
marcar	mark
teatrales	teater
oceanía	oseania
cáucaso	kaukasus
cáucaso	kaukasus
cáucaso	kaukasia
solicitar	minta
solicitar	request
solicitar	permintaan
solicitar	meminta
after	sesudah
after	after
after	setelah
varela	varela
wang	wang
revolucionaria	revolusioner
enamorado	pencinta
enamorado	pecinta
enamorado	kekasih
enamorado	lover
policías	polisi
policías	cops
policías	polisi
policías	kepolisian
policías	police
arcade	arcade
púrpura	purple
púrpura	ungu
eclesiástica	gerejawi
tecnológica	teknologi
expresar	ekspres
expresar	express
expresar	ungkapkan
expresar	mengungkapkan
jacinto	jacinto
qui	qui
uribe	uribe
minoría	minoritas
medicamentos	obat
medicamentos	narkoba
medicamentos	pengobatan
crean	buat
crean	ciptakan
crean	membuat
bebida	minum
bebida	minuman
bebida	minumlah
bebida	minum
bebida	minuman
bebida	minum
mitchell	mitchell
rascacielos	skyscraper
aceptada	diterima
favorito	favourite
favorito	favorit
favorito	fave
favorito	favorite
favorito	kesukaan
favorito	terfavorit
favorito	favorit
tiende	cenderung
conjunta	joint
conjunta	sendi
apoya	mendukung
transforma	transformasi
transforma	mengubah
transforma	transformasi
élite	elit
élite	elite
futuros	berjangka
pagina	page
pagina	halaman
contreras	contreras
ncaa	ncaa
negativo	negative
negativo	negatif
cordero	lamb
cordero	domba
cordero	cordero
andaluz	andalusian
amparo	amparo
provocar	memprovokasi
provocar	memprovokasi
leonard	leonard
ibm	ibm
austral	austral
coma	koma
coma	koma
coma	makan
coma	eat
coma	makanlah
oscuridad	dark
oscuridad	gelap
oscuridad	kegelapan
oscuridad	darkness
oscuridad	kegelapan
oscuridad	ketidakjelasan
caracol	bekicot
caracol	siput
caracol	keong
estatuas	patung
days	days
days	hari
malos	buruk
malos	jahat
malos	bad
cazadores	pemburu
cazadores	pemburu
cazadores	hunter
temple	temple
temple	candi
temple	kuil
castellanos	castellanos
tokyo	tokyo
vendidos	terjual
vendidos	sold
vendidos	dijual
doctores	dokter
hércules	hercules
trastorno	gangguan
trastorno	penyimpangan
trastorno	kelainan
restricciones	batasan
restricciones	pembatasan
restricciones	pelarangan
restricciones	pembatasan
restricciones	kendala
traición	pengkhianatan
traición	pengkhianatan
traición	penghianatan
traición	pengkhianatan
traición	penghianatan
traición	berkhianat
amenazas	ancaman
suministro	pasokan
suministro	suplai
suministro	memasok
suministro	supply
rumores	rumor
rumores	gosip
rumores	rumor
heredia	heredia
sandra	sandra
sombrero	sombrero
sombrero	hat
sombrero	topi
sentir	feel
sentir	merasa
sentir	rasakan
residencial	pemukiman
residencial	perumahan
mit	mit
territoriales	teritorial
herzegovina	herzegovina
herzegovina	bih
abel	abel
abel	habel
armonía	keharmonisan
armonía	harmoni
armonía	harmony
amo	master
