батенберг	battenberg
намален	reduced
зърна	grain
зърна	nipples
зърна	grains
сенат	senate
съображения	considerations
съображения	recitals
тепе	tepe
утре	tomorrow
проява	manifestation
авторитет	authority
японско	japanese
полуфинала	semifinal
преки	direct
ваня	vanya
шведска	swedish
цин	qin
цин	qing
тотнъм	tottenham
гробници	crypts
гробници	tombs
атланта	atlanta
елит	elite
елит	elites
бомбардировач	bomber
рита	rita
директорите	directors
рон	ron
стратегическо	strategic
темите	themes
темите	topics
паскал	pascal
трио	trio
урежда	arranges
указания	instructions
трагедията	tragedy
бунтовниците	rebel
малцинства	minorities
фред	fred
готово	done
алеко	aleko
грозни	ugly
грозни	grozny
железни	iron
близнаци	twin
близнаци	gemini
близнаци	twins
бомбардировачи	bombers
совалка	shuttle
совалка	shuttlecraft
замъци	castles
тигър	tiger
видя	see
имигранти	migrants
имигранти	immigrants
имигранти	immigrant
вкъщи	home
нарушаване	distortion
обсерватория	observatory
грама	grams
азаренка	azarenka
виолета	violetta
виолета	violet
метел	metellus
механик	mechanic
младост	youth
поддръжници	supporters
познато	familiar
изолация	insulation
изолация	isolation
гробища	graveyards
гробища	cemeteries
гробища	cemetery
унищожи	destroy
успее	succeed
съвместни	joint
момичетата	girls
заплашва	threatens
заплашва	threatening
придвижване	movement
далас	dallas
съставна	composite
съставна	aggregate
мода	couture
мода	fashion
пие	drinking
пие	drinks
управляващ	managing
смях	laughs
смях	laughter
смях	laughing
смях	laugh
компилация	compilation
оттегляне	withdraw
оттегляне	withdrawal
клане	massacre
клане	carnage
клане	slaughter
симпсън	simpsons
симпсън	simpson
образователна	educational
качва	uploads
детектив	detective
албанско	albanian
приключенията	adventures
редове	rows
редове	lines
предимства	benefits
предимства	perks
предимства	advantages
римляни	romans
некропол	necropolis
еоод	ltd
формати	formats
отворено	open
квалификации	ratings
квалификации	qualifications
квалификации	qualification
печалба	profit
печалба	profits
одобрение	approval
демокрацията	democracy
фиат	fiat
блейк	blake
еврейско	jewish
антична	antique
русо	russo
русо	rousseau
памук	cotton
ахил	achilles
ахил	achille
четвъртък	thursday
романтични	romantic
батальона	battalion
алгоритъм	algorithm
партньорство	partnership
партньорство	partnerships
дин	din
стрийт	street
пето	fifth
геология	geology
наема	rent
конфедерация	confederation
юнг	jung
юнг	yung
инвазия	invasion
местообитания	habitats
местообитания	habitat
строител	builder
глина	clay
плътно	tightly
чисти	clean
климатични	climatic
облаци	clouds
облаци	cloud
олтар	altar
олтар	shrine
биг	big
бригадата	brigade
седма	seven
седма	seventh
козината	fur
вале	valle
вале	jack
вале	vale
вале	valet
свещена	sacred
смъртни	mortal
смъртни	mortals
арменци	armenians
арменци	armenian
предложен	suggested
предложен	offered
предложен	proposed
джън	zheng
лил	lil
лил	lille
торпеда	torpedoes
историография	historiography
казимир	casimir
вилхелмина	wilhelmina
панаир	carnival
панаир	fair
психиатър	shrink
психиатър	psychiatrist
мембрана	membrane
конете	horses
травма	injury
травма	trauma
последствия	consequence
последствия	consequences
намерението	intention
сабин	sabine
университетите	universities
смъртност	mortality
ленти	strips
ленти	tapes
ленти	strip
хонорис	honoris
псевдоними	aliases
сервий	servius
рамки	frames
вратите	doors
кабо	cape
кабо	cabo
регулиране	regulation
регулиране	adjustment
регулиране	regulate
скъпи	dear
есе	essay
потомък	scion
потомък	descendant
кавала	kavala
процесор	cpu
процесор	processor
трудни	difficult
справедливост	justice
вар	var
вар	varus
вар	lime
доставка	delivery
доставка	shipping
доставка	supply
бенд	bend
влага	moisture
влага	humidity
странно	weird
странно	strange
странно	odd
уста	mouth
фил	phil
хага	hague
оцветяване	staining
оцветяване	coloring
оцветяване	colouring
кит	whale
кит	kitt
кит	kit
беневенто	benevento
форест	forrest
форест	forest
футуна	futuna
клиника	clinic
пиза	pisa
бин	bin
жълта	yellow
унищожен	destroyed
тито	tito
томе	tomé
готовност	willingness
мил	mill
инструктор	instructor
таланти	talents
таланти	talent
дюселдорф	düsseldorf
дюселдорф	dusseldorf
обичай	custom
констанций	constantius
сива	gray
сива	grey
изкопаеми	fossil
изчислява	calculates
отзиви	reviews
рожден	birthday
