del	del
americana	mỹ
americana	americana
scontro	đốp
scontro	clash
riprese	bắn
benedetto	benedict
benedetto	phước
benedetto	benedetto
carlos	carlos
scoperta	discovery
culto	cult
guerre	war
carta	giấy
carta	trát
fuga	fugue
fuga	thoát
fuga	escape
tony	tony
post	đăng
usata	phơi
ungherese	hung
ungherese	hungary
macchina	máy
macchina	car
macchina	xe
cavallo	ngựa
obiettivo	đo
obiettivo	tiêu
obiettivo	đo
euro	euros
euro	euro
euro	euro
chicago	chicago
oscar	oscar
vice	phó
vice	vice
vice	phó
viii	viii
internet	internet
sovietica	soviet
contenuti	dung
contenuti	dung
scuole	trường
difensore	defender
difensore	cọc
sconfitto	bại
olio	nhớt
olio	dầu
olio	oils
possiede	hữu
conosciuta	quen
diverso	khác
privata	tư
fisico	physique
talk	nói
pezzi	rách
immediatamente	ngay
dubbio	reo
dubbio	nghi
pensiero	nghĩ
pensiero	tưởng
pensiero	nghĩ
commedia	hài
terre	đáp
terre	terre
punta	punta
deciso	quyết
test	test
test	thử
portiere	toang
portiere	porter
uefa	uefa
ricerche	bê
dominio	miền
brown	brown
brown	nâu
conti	conti
parlare	nói
zero	zero
diversa	khác
giocare	play
giocare	chơi
giocare	at
giocare	thấm
giocare	chơi
giocare	divx
resta	stay
hall	vắng
hall	lang
hall	sảnh
hall	hall
jan	jan
nipote	cháu
nipote	cháu
title	tựa
php	php
dischi	đĩa
dischi	discs
polacco	polish
riforma	reforming
statua	tượng
clubnat	clubnat
speciali	cống
necessità	cần
antichi	antique
debutto	debut
montagna	núi
montagna	núi
livelli	lớp
livelli	cấp
felice	felix
felice	felice
felice	phúc
felice	vui
verità	truths
verità	thật
nera	nera
nera	đen
denominazione	tên
denominazione	denomination
flotta	fleet
sin	sin
argentino	argentino
argentino	argentina
argentino	argentine
salvatore	salvatore
corona	vương
corona	corona
combattimento	combat
bisogno	cần
caduta	falling
caduta	rơi
caduta	rớt
caduta	rơi
caduta	té
caduta	ngã
caduta	ngã
caduta	sáp
caduta	rơi
caduta	sút
caduta	ngã
visione	vision
rivolta	loạn
rivolta	riot
talvolta	đôi
capitolo	chương
dvd	dvd
dvd	dvd
dvd	dvds
cercare	tìm
consenso	consensus
pisa	pisa
notizie	tin
pio	piô
pio	pius
pio	piô
pio	pio
inglesi	brits
inglesi	british
sam	sam
rischio	liều
rischio	ro
monti	núi
monti	monti
nazione	quốc
primavera	spring
primavera	xuân
agente	quan
nazionalità	nationalities
umano	human
beni	beni
sardegna	sardinia
sardegna	sassari
materiali	nguyên
banda	ban
banda	band
banda	banda
commercio	trade
png	npc
png	png
bianchi	trắng
bianchi	white
bianchi	bạch
bianchi	bianchi
nove	chín
diego	diego
ali	wings
ali	cánh
ali	ali
televisione	tv
televisione	tivi
sceneggiatura	script
laura	laura
basato	dựa
riccardo	richard
riccardo	riccardo
fiori	hoa
fiori	flower
fiori	hoa
vergine	virgo
vergine	trinh
vergine	virgin
vergine	tân
spettacolo	xem
spettacolo	hiện
spettacolo	show
byte	byte
byte	byte
byte	bytes
toscana	toscana
toscana	tuscany
entrata	entry
entrata	mục
piero	piero
piero	peter
piero	phêrô
admin	admin
lasciato	trái
ricorda	nhớ
canto	canto
canto	hát
canto	hót
canto	song
mancanza	vitamin
alex	alex
modifica	sửa
marino	marine
marino	marino
coro	chorus
frase	câu
industria	ngành
uccidere	giết
uccidere	giết
leggera	châm
leggera	đèn
leggera	nhạt
leggera	nhẹ
lord	huân
atp	atp
chiuse	đóng
hockey	hockey
rugby	rugby
johnson	johnson
umani	human
bretagna	bretagne
bretagna	brittany
vescovi	bishop
finalista	finalist
christian	nguyen
christian	christian
interpretata	interpreted
portale	portal
portale	cổng
legato	chủa
centri	centres
nemici	địch
nemici	thù
elettrica	điện
elettrica	điện
errore	sai
errore	lỗi
mondadori	mondadori
leonardo	leonardo
leonardo	leonard
ferdinando	ferdinand
ferdinando	ferdinando
limite	hạn
presa	taken
presa	bắt
presa	chụp
medici	medici
chilometri	miles
chilometri	phít
chilometri	km
chilometri	dặm
chilometri	km
volontà	will
volontà	sẽ
volontà	muốn
sicuramente	kĩ
porte	porte
porte	cửa
indipendente	lập
abilità	năng
governatore	đốc
giusto	phải
giusto	đúng
catastale	cadastral
blue	xanh
umana	human
classica	classic
creata	tạo
patria	motherland
patria	homeland
patria	fatherland
dipinto	sơn
dipinto	tranh
dipinto	sơn
date	ngày
carico	nạp
carico	tải
carico	nạp
carico	tải
roger	rõ
roger	roger
alleanza	covenant
forti	mạnh
forti	strong
gianni	gianni
gianni	gioan
gianni	john
gianni	jim
condizione	tiêm
condizione	trạng
regime	scheme
prevalentemente	predominantly
lancio	launch
lancio	phóng
pista	vết
pista	rãnh
rivela	lộ
tenere	giữ
linguaggio	ngữ
iso	iso
appartiene	thuộc
pieno	say
pieno	full
pieno	đầy
belga	bỉ
venti	gió
venti	venti
ritiro	pickup
firma	ký
firma	vẽ
firma	ký
adesso	giờ
adesso	ngay
siti	sites
poesia	thơ
poesia	thơ
occhio	eye
occhio	mắt
cavaliere	cavalier
segreto	mật
segreto	bí
racconta	nói
racconta	bảo
santuario	sanctum
santuario	miếu
little	nhỏ
little	tiểu
miss	miss
miss	nhớ
taylor	taylor
racconti	tales
gas	gas
gas	xăng
lady	đầm
lady	tẩy
latina	latin
latina	latinh
latina	latina
manga	manga
prestito	vay
baviera	bayern
baviera	bavaria
general	tướng
general	chung
aerei	airplanes
signora	madam
signora	phu
signora	đầm
signora	tẩy
signora	bà
visita	khách
visita	thăm
identità	identity
dimensione	chiều
dimensione	cỡ
dimensione	size
martino	martino
martino	martin
sacro	sacro
sacro	thánh
emilia	emilia
salute	khỏe
chiara	clare
chiara	xoã
chiara	chiara
veneto	veneto
maurizio	mauritius
maurizio	caroline
maurizio	maurizio
maurizio	maurice
oriente	đông
oriente	orient
proprietario	hữu
animale	vật
noti	quen
finali	final
grave	bách
grave	nặng
grave	mộ
grave	mồ
siena	sienna
siena	siena
davis	davis
real	real
real	thực
real	thật
real	thiệt
chiusura	đóng
chiusura	cận
economico	cheap
economico	rẻ
archivio	archives
matteo	matthew
matteo	matteo
matteo	mateo
catena	xích
catena	đinh
jackson	jackson
albert	albert
https	https
elena	helena
elena	helen
elena	elena
vale	vale
ray	ray
studenti	bmi
classico	classic
faccia	face
faccia	mặt
pop	tía
pop	bốp
pop	pop
catania	catania
cristiana	nguyen
cristiana	christian
permesso	phép
permesso	phép
challenger	challenger
viola	purple
viola	tím
viola	viola
viola	violet
circuito	mạch
discorso	discourse
attaccante	striker
medicina	thuốc
gente	người
eric	eric
muto	câm
muto	tắt
vincere	thang
vincere	win
vincere	thắng
vincere	winning
vincere	thắng
compreso	gồm
compreso	kèm
compreso	gồm
posteriore	rear
ferrari	ferrari
calabria	calabria
dizionario	điển
giornale	báo
home	nhà
modella	model
girl	girl
girl	gái
medievale	medieval
ungheria	hungary
contemporanea	contemporary
fuso	spindle
colonne	khe
colonne	cột
colonne	cột
barbara	barbara
carte	bài
carte	thẻ
giardino	vườn
giardino	garden
foglie	lá
foglie	lá
street	phố
street	street
stanza	phòng
kevin	kevin
green	lục
savoia	savoie
savoia	savoy
savoia	savoia
confini	viền
www	www
spada	gươm
spada	kiếm
regolare	thường
regolare	chỉnh
civili	civil
ospita	máy
online	online
naturali	chích
aumento	tăng
chiave	key
chiave	khóa
chiave	phím
ove	ove
seguire	theo
scozzese	scots
scozzese	scottish
irlandese	irish
background	nền
background	background
albero	buồm
albero	cây
augusto	augusto
augusto	augustus
vincendo	winning
vincendo	thắng
reggio	reggio
esordio	debut
giri	laps
hill	đồi
hill	ngổn
hill	hill
hill	hoan
documento	liệu
nucleo	lõi
nucleo	hạt
nucleo	nhân
insegnante	thầy
hans	hans
patrick	patrick
artiglieria	pháo
gentile	gentile
gentile	đẹp
jazz	jazz
davvero	thực
davvero	thật
banca	ngân
banca	bank
gigante	giant
gigante	toshiba
cima	cima
trieste	trieste
barcellona	barcelona
karl	karl
salvare	lưu
salvare	bích
salvare	cứu
vicina	xóm
ordini	lệnh
tesi	dissertation
tesi	thesis
anteriore	anterior
jacques	jacques
moto	moto
moto	môtô
colonia	cologne
colonia	köln
colonia	colonia
colonia	khu
facoltà	khoa
somma	sum
crescita	gai
andrew	andrew
messina	messina
cambiare	đổi
cambiare	thay
portogallo	portugal
renato	rené
renato	renato
americani	american
americani	mỹ
tokyo	tokyo
alleati	ally
lontano	xa
dichiarato	tuyên
françois	francois
françois	françois
françois	francois
françois	françois
leggenda	legend
disponibili	rảnh
costante	hằng
luis	luis
belgio	bỉ
modena	modena
famosa	nổi
digitale	digital
mente	phiền
umberto	humbert
umberto	umberto
caterina	katharine
caterina	katherine
caterina	catherine
caterina	catarina
caterina	caterina
mauro	mauro
tommaso	thomas
quinta	quinta
quinta	fifth
aldo	aldo
aldo	arnold
artistica	nghệ
high	cao
kim	kim
alfonso	afonso
alfonso	alfonso
game	game
game	chơi
ampio	rộng
zio	chú
zio	bác
pensare	nghĩ
pensare	nghĩ
rose	rose
rose	ngợi
colonnello	đại
colonnello	tá
visibile	bien
scienza	khoa
reso	rhesus
reso	rendered
luciano	luciano
luciano	lucian
vendita	bán
vendita	lô
vendita	sale
vendita	bán
vendita	lô
perdita	mát
perdita	lens
perdita	leak
this	này
combattere	fighting
novanta	ninety
carl	carl
tecnologia	ktv
scrittura	viết
scrittura	ghi
cover	bìa
cover	cover
cover	che
irlanda	ireland
virginia	virginia
generali	generali
generali	tướng
generali	chung
matematica	toán
matematica	toán
matematica	toán
condotto	conduit
ceco	séc
passione	hâm
artistico	nghệ
largo	largo
andré	andre
andré	andré
andré	andre
andré	andré
flag	cờ
interni	nội
anderson	anderson
tim	tim
trofeo	cúp
trofeo	trofeo
verdi	lục
verdi	verdi
belle	belle
altrimenti	kẻo
lewis	lewis
neri	neri
neri	đen
chiedere	bảo
chiedere	hỏi
mille	nghìn
mille	ngàn
inverno	winter
avviso	chuông
avviso	quận
avviso	cảnh
divisa	uniform
atene	athens
alan	alan
tela	canvas
collegamento	hã
collegamento	link
emanuele	emanuele
emanuele	emanuel
emanuele	emmanuel
sposa	bride
victor	victor
champions	champions
pokémon	pokémon
pokémon	pokemon
cavalieri	kị
cavalieri	cavalieri
nick	nick
ivan	ivan
billy	billy
pezzo	mảnh
pezzo	miếng
pezzo	piece
pezzo	vở
sovietico	soviet
automatico	động
automatico	tự
napoleone	napoléon
napoleone	napoleon
resa	nhường
lazio	lazio
lazio	latium
anima	anima
anima	hồn
anima	soul
song	song
wilson	wilson
stretto	vịnh
stretto	chật
dodici	twelve
texas	texas
immediata	instant
immediata	tức
immediata	tức
docente	thầy
fabio	fabio
fabio	fabio
medioevo	medieval
emilio	emilio
regola	luật
pil	gdp
prix	prix
tanti	nhiều
pittura	tranh
pittura	sơn
enorme	huge
simone	simone
simone	simon
conta	đếm
conta	đếm
google	google
men	hãm
atletica	athletic
atletica	athletics
tenente	trung
vento	gió
vento	gió
vento	gió
howard	phuong
howard	howard
gaetano	gaetano
cristiano	cristiano
cristiano	nguyen
cristiano	christian
laterali	lateral
braccio	tay
angolo	góc
angolo	góc
attori	diễn
solare	solar
danese	danish
danese	dane
angeli	angels
angeli	angel
chiama	gọi
chiama	call
chiama	cẩm
spalle	vai
adam	adam
sfida	thạch
sfida	thách
will	will
will	sẽ
will	muốn
lunghi	lâu
lunghi	dài
lunghi	long
pubblici	công
facile	nhẹ
stazioni	trạm
impianti	cây
windows	windows
leggermente	hơi
fortuna	fortuna
fortuna	fortune
fortuna	lường
traffico	tê
traffico	buôn
prestazioni	suất
prestazioni	lợi
jimmy	jimmy
trenta	thirty
ampia	rộng
ampia	vid
ciao	bye
ciao	alo
ciao	hello
esposizione	exposition
ford	ford
alessandria	alessandria
alessandria	alexandria
foresta	rừng
foresta	rừng
dante	dante
circondario	cercle
miniserie	miniseries
piena	say
piena	full
piena	đầy
force	buộc
cinquanta	mươi
cinquanta	usd
cinquanta	fifty
agostino	agostino
agostino	augustine
paura	sợ
paura	sợ
paura	ex
motivazione	justification
anti	anti
cannoni	súng
cannoni	pháo
infanzia	trãi
inviato	đăng
lettura	truyện
lettura	đọc
originali	gốc
originali	tác
anne	anne
doppiato	dubbed
controllare	tra
sci	ski
fernando	fernando
capelli	tóc
daniele	daniel
colle	col
colle	đồi
colle	ngổn
colle	hill
colle	hoan
costo	tốn
aquila	eagle
aquila	bàng
aquila	aquila
fusione	trộn
fusione	fusion
tavola	bảng
tavola	bàn
saga	saga
qualunque	any
fama	fame
vino	rượu
vino	vang
assistente	ass
remix	remix
remix	remixes
copertina	bìa
copertina	cover
copertina	che
ricostruzione	tái
vicenza	vicenza
boy	boy
boy	trai
boy	bé
johann	johann
johann	johan
alice	alice
perde	thua
perde	thua
pericolo	peril
pericolo	hazard
pericolo	nguy
duomo	dome
duomo	vòm
duomo	duomo
suolo	đất
cast	cast
iniziativa	initiative
tabella	bảng
tabella	bàn
fontana	fontana
fontana	fountain
johnny	johnny
applicazione	app
sogno	mơ
sogno	dream
ragazze	girls
ragazze	gái
ferrara	ferrara
legata	chủa
attesa	đợi
attesa	chờ
compresa	gồm
occidentali	tây
ugo	hugh
ugo	hugo
ugo	ugo
enzo	enzo
jeff	jeff
asse	trục
asse	trục
denaro	tiền
denaro	tien
intervista	phỏng
north	bắc
vota	vote
lucio	lucio
lucio	lucius
famosi	nổi
south	nam
australiano	aussie
chiuso	đóng
tomba	mộ
tomba	tomb
tomba	mộ
tomba	mồ
votazioni	bầu
estensione	sung
amica	bạn
amica	hiền
stephen	stephen
parete	wall
parete	tường
dolce	sweet
dolce	ngọt
margherita	margaret
margherita	margherita
margherita	marguerite
margherita	daisy
pellicola	phim
pellicola	film
bergamo	bergamo
dan	dan
anthony	anthony
distruzione	điêu
mantova	mantua
modi	cách
trasferimento	chuyển
trasferimento	truyền
perdere	losing
perdere	thua
perdere	thua
chimica	hóa
chimica	hóa
chimica	lờ
long	lâu
long	dài
long	long
livorno	livorno
usati	phơi
quotidiano	báo
romania	romania
romania	românia
ceca	séc
ceca	ecsc
anello	ring
anello	nhẫn
bruce	bruce
golden	vầng
golden	golden
golden	đỏi
piemonte	cuneo
michel	michel
marcia	march
marcia	marcia
gravi	nặng
marcello	marcellus
marcello	marcello
vendite	bán
vendite	lô
grosso	lớn
grosso	to
grosso	đúc
grosso	đại
grosso	big
grosso	grosso
liberazione	deliverance
ricco	vương
ricco	giàu
ricco	rich
edoardo	edward
edoardo	edoardo
alba	alba
alfred	alfred
rocca	rocca
carcere	tù
carcere	giam
carcere	tù
alte	cao
alte	alte
andy	andy
fortezza	fort
rapidamente	nhanh
bosco	woodland
bosco	gỗ
bosco	củi
bosco	rừng
bosco	bosco
pelle	da
pelle	skin
pelle	da
elevata	cao
tranne	trừ
cambridge	cambridge
profilo	sơ
colpi	phát
barone	baron
catalogo	catalogue
catalogo	catalog
corretto	đúng
giulia	julie
giulia	giulia
giulia	julia
cantone	tổng
cantone	canton
saggio	sage
saggio	wise
cagliari	cagliari
manuel	manuel
apparizione	nhê
bibliografia	bibliography
doppia	double
doppia	đôi
olimpiadi	olympic
olimpiadi	olympics
central	trung
central	central
disegni	designs
british	british
perdite	mát
las	las
collana	chuyền
cane	chó
cane	dog
aggiungere	thêm
aggiungere	add
aggiungere	thêm
blues	blues
death	chết
ricca	vương
ricca	giàu
ricca	rich
selezione	chọn
allen	allen
mobile	mobile
mobile	mobil
volto	face
volto	mặt
hollywood	hollywood
intenzione	intention
reali	real
reali	thực
reali	thật
reali	thiệt
norma	norma
norma	norm
douglas	douglas
liceo	liceo
vito	vito
teresa	têrêsa
teresa	teresa
teresa	theresa
aeronautica	aeronautical
aeronautica	aeronautics
east	đông
muro	wall
muro	tường
disney	disney
capito	hiểu
colpito	trúng
colpito	đánh
miller	miller
down	down
down	xuống
segna	mác
segna	mark
scomparsa	thiếu
giuliano	julian
giuliano	giuliano
fred	hòa
fred	fred
pesante	nặng
errori	lỗi
errori	sai
errori	lỗi
piede	foot
piede	bộ
civica	civic
destro	phải
destro	đúng
uguale	bằng
ramo	cành
ramo	nhánh
contrari	dũng
contrari	chống
nomina	hẹn
fox	fox
fox	cáo
tenuta	chức
gordon	gordon
veloce	mau
veloce	nhanh
veloce	mau
veloce	nhanh
veloce	nhanh
scozia	scotland
bocca	miệng
bocca	mồm
arena	arena
end	end
end	kết
lunghe	lâu
lunghe	dài
lunghe	long
criminale	phạm
acido	axit
acido	acid
acido	axít
francesca	sarah
francesca	francesca
francesca	frances
ludovico	ludwig
ludovico	ludovico
elisabetta	elizabeth
elisabetta	elisabeth
robin	robin
who	ai
who	who
leo	leo
ciascuno	mỗi
percussioni	percussion
percussioni	trống
charlie	charlie
charlie	vc
fiducia	tin
org	org
torri	tháp
torri	torri
fiat	fiat
salto	nhảy
fabrizio	fabrizio
raggio	ray
atleti	vđv
tornei	tournaments
alti	cao
erede	ngai
desiderio	ước
matt	matt
lancia	lance
lancia	lancia
lancia	xiên
lancia	giáo
lancia	spear
ken	ken
inserimento	chèn
lucia	lucy
lucia	lucia
pena	pena
bel	bel
infinito	infinite
infinito	vá
infinito	infinity
infinito	endless
minaccia	đe
minaccia	mối
jane	jane
marc	marc
girolamo	girolamo
girolamo	jerome
oceano	biển
pensa	nghĩ
amante	mistress
amante	lover
pesi	weights
pesi	tạ
ritirato	hưu
alfredo	alfredo
alfredo	alfred
giapponesi	nhật
aprire	download
aprire	mở
aprire	má
riva	riva
necessaria	thiết
necessaria	ấp
prezzo	price
prezzo	giá
oxford	oxford
archi	arches
archi	nơ
archi	cung
archi	arcs
legame	bond
boston	boston
sanremo	sanremo
trento	trent
trad	trad
perugia	perugia
avventure	adventures
rocco	rocco
gamma	gamma
heart	tim
heart	heart
eva	eva
eva	eva
eva	eve
femminili	feminine
civiltà	civilizations
panorama	panorama
land	đáp
pedro	pedro
vecchi	cũ
vecchi	tuổi
vecchi	già
vecchi	vecchi
dipinti	sơn
dipinti	tranh
golfo	vịnh
gabriele	gabriel
gabriele	gabrielle
veramente	thực
veramente	thật
trasformazione	biến
pre	pre
aumentare	tăng
wild	wild
wild	hoang
conduttore	conductor
israele	israel
azzurro	xanh
azzurro	azure
carri	toa
road	đường
road	road
franz	franz
morire	die
morire	chết
gregorio	gregorio
gregorio	gregory
dark	dark
dark	tối
dark	goth
fame	đói
fame	đói
fame	fame
davide	davide
davide	david
videogiochi	videogames
fan	fans
fan	fan
fan	quạt
fan	fuck
ciascuna	mỗi
pdf	pdf
copia	chép
copia	copy
copia	trích
milan	milan
milan	milano
privato	tư
elevato	cao
morale	đạo
henri	henri
aires	aires
eroe	hero
eroe	hùng
eroe	hoàn
alpino	alpine
navata	nave
adriano	adriano
adriano	hadrian
adriano	adrian
incluso	gồm
incluso	kèm
incluso	gồm
greci	greeks
avanzata	thiệp
pasquale	pasquale
pontificio	pontifical
buenos	buenos
corse	corse
corse	xáo
corse	đua
espresso	express
espresso	expresso
espresso	espresso
sassonia	görlitz
sassonia	saxony
sassonia	sachsen
sassonia	zwickau
fiumi	sông
fiumi	rivers
friedrich	friedrich
uccelli	chim
uccelli	bird
uccelli	chim
status	status
cavalli	ngựa
variabile	biến
mix	mix
mix	trộn
cibo	mat
cristiani	nguyen
cristiani	christian
migliaia	nghìn
migliaia	ngàn
moore	moore
indoor	indoor
ognuno	mỗi
divinità	thần
divinità	divinity
acciaio	thép
campagne	campagne
corrispondenza	thủ
corrispondenza	khớp
violino	violin
bonus	bonus
bonus	thưởng
campanile	campanile
settimo	seventh
razza	đua
razza	nhung
razza	breed
destino	doom
destino	destiny
destino	phạn
abbandonato	thác
abbandonato	forsaken
baseball	chày
oliver	oliver
ryan	ryan
interessi	vốn
interessi	lãi
hot	hot
hot	nóng
poesie	thơ
poesie	thơ
dura	cứng
dura	khó
dura	khổ
dura	đắng
dura	mẫn
dura	phũ
dura	chát
dura	dura
monete	xu
monete	xấp
monete	xu
pareti	walls
pareti	tường
stone	đá
stone	stone
decisamente	kĩ
arabo	arab
arabo	arabian
dave	dave
torrente	torrente
torrente	torrent
torrente	lạch
torrente	creek
sinistro	trái
menzionato	liễu
vuoi	muon
vuoi	muốn
sky	trời
sky	sky
cambia	đổi
cambia	thay
indiana	indiana
russell	russell
scontri	clashes
way	đường
commento	luận
commento	commentary
composti	compound
composti	compounds
terrestre	terrestrial
gloria	vinh
gloria	gloria
ottimo	tuyệt
ottimo	đan
jonathan	jonathan
western	tây
continuo	continuum
sun	nắng
sun	cn
vincitrice	thang
vincitrice	thắng
classi	hạng
alternativa	alternative
speranza	mong
speranza	xoa
montagne	núi
montagne	montagne
italo	italo
schermo	bày
norvegia	nauy
power	sục
power	lực
distretti	quận
conferenza	thảo
like	như
like	thích
like	like
venduto	bán
dick	dick
pesce	cá
gerusalemme	jerusalem
alberi	cây
two	hai
two	two
batterista	drummer
fini	fini
punk	punk
salerno	salerno
musiche	nhạc
jason	phúc
jason	jason
valutazione	valuation
canali	kênh
canali	kênh
regio	regio
regio	royal
universale	universal
universale	chung
dance	điệu
dance	múa
inutile	useless
claude	claude
fascista	nazi
como	como
roy	roy
bartolomeo	bartolomeo
bartolomeo	bartholomew
colspan	colspan
soldi	tiền
soldi	tien
eliminare	xóa
eliminare	xoá
indietro	ngược
bernard	bernard
nozze	cưới
risolvere	giải
ombra	bóng
ombra	shadow
ombra	râm
ombra	khuất
giunta	junta
paola	paola
paola	paula
logo	logo
logo	logo
master	thầy
cerimonia	lễ
distrutto	hỏng
distrutto	hư
distrutto	xì
distrutto	vỡ
boss	sếp
boss	boss
capi	đầu
capi	vát
free	free
free	rảnh
sostanza	chất
bad	xấu
bad	bad
bad	kém
bad	khiếp
bad	tệ
ancona	ancona
ospite	khách
versi	verse
organi	organ
sofia	sofia
sofia	sofia
sofia	sophia
tag	tag
tag	thẻ
tag	thẻ
tag	tags
jordan	jordan
paragrafo	đoạn
special	cống
musical	nhạc
musical	musical
musical	musicals
navigazione	duyệt
navigazione	cường
performance	suất
box	hộp
box	box
box	bốc
bernardo	bernard
bernardo	bernhard
bernardo	bernardo
raffaele	raffaele
raffaele	raphael
raffaele	pantheon
raffaele	ralph
eugenio	eugene
eugenio	eugenio
corea	korea
corea	hàn
html	html
formazioni	formations
copertura	bìa
copertura	cover
copertura	che
costantinopoli	constantinopolis
costantinopoli	constantinople
larghezza	rộng
dettagli	tiết
ebraica	hebrew
vendetta	payback
vendetta	thù
vendetta	vendetta
garibaldi	garibaldi
gian	gian
clemente	clemens
clemente	clement
visse	kiêng
pesanti	nặng
spazi	khoảng
yard	yard
yard	sân
yard	tun
carolina	carolina
condannato	doomed
cento	cento
cento	trăm
voi	các
voi	cac
voi	bạn
voi	anh
voi	cô
cucina	bếp
einaudi	einaudi
poste	poste
pieve	pieve
firmato	ký
crea	tạo
castel	castel
ricordi	nhớ
nicolas	nicolas
montana	montana
baby	baby
baby	bé
discesa	descent
discesa	downhill
cristina	christina
cristina	cristina
cristina	christine
cemento	tông
tardo	sen
tardo	trễ
tardo	khuya
tardo	muộn
ucraina	ukraine
ucraina	ucraina
ucraina	ukraina
tasso	lửng
tasso	badger
kelly	kelly
private	tư
invernali	winter
occidente	tây
arrivato	đến
arrivato	tới
serata	tối
compresi	gồm
veicoli	xe
clan	clan
clan	tộc
gary	gary
vicini	xóm
vicini	xóm
bambina	con
diviso	chia
qualificazioni	qualifying
qualificazioni	qualifiers
dead	chết
sessuale	sex
praga	prague
praga	praha
turco	turco
turco	turk
turco	turkic
turco	turkish
steven	steven
statue	tượng
statue	tượng
pavia	pavia
battuta	joke
battuta	đùa
battuta	đểu
min	phút
min	min
old	cũ
old	tuổi
old	già
dolore	đau
studiare	học
studiare	học
vissuto	kiêng
wayne	wayne
gino	gino
entità	entities
toni	toni
milanese	milanese
hamilton	hamilton
insegnamento	dạy
danza	điệu
danza	múa
chiunque	ai
inter	inter
chimico	hóa
sydney	sydney
compagnie	compagnie
segreti	secrets
segreti	mật
segreti	bí
pietroburgo	petersburg
magia	thuật
magia	magic
christopher	christopher
patto	covenant
sánchez	sanchez
drago	drago
drago	rồng
drago	diều
drago	long
drago	dragon
prato	prato
prato	lawn
ligure	ligure
bryan	bryan
dubbi	nghi
dubbi	reo
prigione	tù
prigione	giam
prigione	tù
liga	liga
manca	miss
manca	nhớ
manca	thiếu
britannici	british
utc	utc
loneos	loneos
giancarlo	giancarlo
collina	đồi
collina	ngổn
collina	hill
collina	hoan
kong	kông
kong	kong
animazione	entertainment
recupero	recovery
gatto	mèo
gatto	cat
elettrico	điện
elettrico	điện
esame	thi
cilindri	trụ
cilindri	xylanh
ross	ross
maurice	maurice
araldica	heraldry
santiago	santiago
romeo	romeo
gold	vàng
gold	gold
giurista	jurist
schema	pattern
schema	mẫu
schema	schema
his	ngành
corrado	conrad
corrado	konrad
corrado	corrado
iata	iata
inferiori	inferior
nba	nba
clark	clark
rapper	rapper
romagna	romagna
silvio	silvio
modificare	sửa
ernesto	ernest
ernesto	ernesto
adams	adams
gabriel	gabriel
voglia	bớt
amsterdam	amsterdam
passi	bước
treviso	treviso
fantasy	fantasy
vocale	thanh
vocale	vocal
polo	polo
indice	index
castelli	castelli
tetto	mái
tetto	tèo
tetto	trần
here	đây
pier	pier
teologo	theologian
recuperare	recover
recuperare	retrieve
persino	chính
coste	coste
florida	florida
suddiviso	chia
playoff	playoff
playoff	playoffs
vuoto	void
vuoto	trống
vuoto	blank
vuoto	rỗng
vuoto	trống
gilbert	gilbert
soccorso	cứu
friuli	friuli
bell	chuông
bell	bell
final	final
vincent	vincent
juventus	juventus
familiari	đình
miliardi	tỷ
miliardi	tỉ
miliardi	tỷ
miliardi	tỉ
giovanna	giovanna
giovanna	joan
giovanna	joanna
giovanna	jeanne
cile	chile
eddie	eddie
ettore	hector
ettore	ettore
ceduto	ceded
wikimedia	wikimedia
morta	chết
maschio	buồng
maschio	đực
maschio	nam
fumo	hút
fumo	khói
terme	thermae
terme	spa
terme	terme
indipendenti	lập
lupo	lupo
lupo	soi
lupo	wolf
lupo	sói
lupo	lupus
silva	silva
network	mạng
bolla	bubble
vigore	vigor
ferito	thương
ferito	thương
ferito	đau
ferito	hại
ferito	thương
villaggi	làng
phil	phil
phil	phill
nino	nino
cambiamento	đổi
cambiamento	thay
flusso	luồng
flusso	màng
flusso	flow
flusso	luồng
flusso	suối
flusso	stream
invito	mời
invito	mời
columbia	columbia
georges	georges
news	tin
mattina	sáng
minuto	phút
miglia	miles
miglia	phít
miglia	km
miglia	dặm
grant	grant
dover	dover
novara	novara
minor	nhỏ
minor	minor
guy	guy
guy	khứa
guy	gã
olimpico	olympic
miguel	miguel
disc	đĩa
jerry	jerry
richiede	đòi
ridurre	giảm
vite	screw
vite	vine
vite	lives
zelanda	zealand
zelanda	zeeland
allievo	bmi
hard	cứng
hard	khó
hard	khổ
hard	đắng
rosario	rosario
assalto	assault
assalto	onslaught
professione	nghề
staffetta	relay
virus	virus
virus	virut
virus	virus
virus	virut
samuel	samuel
carter	carter
junior	nhỏ
junior	junior
server	phục
server	server
bassista	bassist
carne	thịt
carne	thịt
cantata	soong
cantata	sung
pesci	pisces
pesci	cá
esilio	exile
lisa	lisa
version	phiên
version	bản
criterio	criterion
rick	rick
robot	robot
robot	robot
robot	robots
bobby	bobby
momenti	moments
stewart	stewart
aragona	aragon
fiore	fiore
fiore	flower
fiore	hoa
moneta	xấp
moneta	xu
costantino	konstantin
costantino	konstantinos
costantino	constantine
circolo	tròn
circolo	lượn
determinato	quyết
soldato	lính
soldato	tư
ispirazione	inspirational
ispirazione	inspiration
terreni	đáp
bay	vịnh
bay	bay
chiude	đóng
celeste	celeste
celeste	celestial
acquisto	mua
acquisto	mua
assunta	assunta
assunta	assumption
type	kiểu
