gorovje	bergen
dodajanje	voeg
serena	serena
potrebovali	nodig
potrebovali	benodigd
običajna	gebruikelijke
običajna	gebruikelijk
običajna	normale
običajna	normaal
vroče	warm
vroče	heet
por	por
por	prei
por	prei
komercialni	commerciële
komercialni	commercieel
trio	trio
izbire	keuzen
izbire	keuzes
kostanjevica	kostanjevica
manjšine	minderheid
manjšine	minderheden
premiera	première
premiera	premiere
zime	winters
duhovni	geestelijke
duhovni	spirituele
duhovni	spiritueel
duhovni	geestelijk
erwin	erwin
mišica	spieren
mišica	spier
sredozemlju	mediterrane
algoritem	algoritme
preberite	lezen
preberite	gelezen
preberite	lees
posamezno	individueel
posamezno	individu
posamezno	individueel
ulrik	ulrik
kmetije	boerderijen
možni	mogelijke
možni	mogelijk
hudson	hudson
ohranjeno	bewaard
ohranjeno	geconserveerd
doherty	doherty
blake	blake
zlom	breaking
zlom	breken
zlom	fractuur
zlom	breuk
zlom	fracturen
razglasi	verklaart
razglasi	uitroepen
razglasi	verklaar
razglasi	verklaren
jezo	boosheid
jezo	kwaadheid
jezo	toorn
jezo	woede
suhoj	soechoj
geometrija	geometrie
geometrija	meetkunde
geometrija	geometrische
geometrija	geometrisch
iraku	irak
strategije	strategie
strategije	strategieën
ogljik	carbon
ogljik	koolstof
elektro	elektro
elektro	electro
sekundarni	secundaire
sekundarni	secundair
preboj	doorbraak
človeška	menselijk
človeška	menselijke
človeška	mens
novosti	nieuwigheid
novosti	innovaties
novosti	vernieuwingen
novosti	nieuwigheden
novosti	updates
oklep	pantser
oklep	harnas
oklep	pantser
oklep	harnas
obsežna	uitgebreid
obsežna	uitgebreide
zaščitna	beschermend
zaščitna	beschermende
ugotovitve	opmerkingen
ugotovitve	waarnemingen
ugotovitve	observaties
ugotovitve	bevindingen
leseni	houten
geografski	geografisch
barvni	kleuren
barvni	kleur
barvni	kleur
otroštva	jeugd
otroštva	kinderjaren
otroštva	kindertijd
definicije	definities
pastir	herder
pastir	shepherd
odkrivanje	opsporing
odkrivanje	detectie
pravoslavne	orthodoxe
pravoslavne	orthodox
samostojnost	autonomie
samostojnost	zelfstandigheid
samostojnost	zelfstandigheid
samostojnost	onafhankelijkheid
samostojnost	independence
samostojnost	onafhankelijk
razcvet	bloeien
razcvet	floreren
enrico	enrico
sinove	zoons
sinove	sons
sinove	zonen
receptorjev	receptoren
industrijska	industrieel
industrijska	industriële
putnam	putnam
standardna	standaard
standardna	norm
encimi	enzymen
dassault	dassault
loke	bogen
loke	bogen
loke	strikken
nmi	nmi
teamb	teamb
tokovi	stromingen
tokovi	stroming
tokovi	stromen
tokovi	stroomt
tokovi	stromen
platon	plato
lisica	vossen
lisica	fox
lisica	vos
kalcijev	calcium
pogovori	gesprekken
pogovori	gesprekken
pogovori	conversaties
pogovori	interviews
pogovori	talk
pogovori	praten
pogovori	praat
nazionale	nazionale
vmesnik	interface
vmesnik	raakvlak
jajčeca	eieren
jajčeca	eitjes
valle	valle
languedoc	languedoc
dramatikov	toneelschrijvers
pištola	pistool
pištola	wapen
pištola	pistool
pištola	geweer
regionalni	regionale
regionalni	regionaal
richardson	richardson
razširjeni	uitgebreid
razširjeni	vergrote
razširjeni	vergroot
razširjeni	uitgebreid
razširjeni	verlengd
razširjeni	uitgebreid
prihodnje	toekomstige
prihodnje	toekomstig
prihodnje	toekomst
prijateljstvo	vriendschap
kancler	bondskanselier
kancler	kanselier
alternative	alternatief
alternative	alternatieve
alternative	alternatieven
industries	industrieën
industries	bedrijfstakken
pozni	late
pozni	laat
pogledi	weergaven
magnus	magnus
jokerit	jokerit
sorodniki	nichtjes
sorodniki	nichten
sorodniki	neven
sorodniki	verwanten
sorodniki	familieleden
podjetnik	ondernemer
policist	officier
policist	agent
policist	politieagent
policist	politieman
bradley	bradley
mostovi	bruggen
marseille	marseille
marseille	marseille
lastna	eigen
posredovanje	transmissie
posredovanje	doorsturen
posredovanje	bemiddeling
posredovanje	interventies
posredovanje	tussenkomst
posredovanje	interventie
zaključek	voltooiing
zaključek	afsluiting
zaključek	sluiting
zaključek	conclusie
razstavi	tentoonstelling
razstavi	expositie
lucas	lucas
gibson	gibson
zborovodja	koorleider
terme	spa
terme	kuuroord
terme	terme
moon	maan
moon	moon
organizirano	georganiseerd
organizirano	georganiseerde
organizirano	georganiseerd
organizirano	georganiseerde
dama	lady
dama	vrouwe
dama	dame
dama	dame
jezikovno	taalkundige
jezikovno	taal
jezikovno	taalgebruik
nadal	nadal
ščit	schilden
ščit	afschermen
ščit	afscherming
ščit	schild
achille	achille
hčere	dochters
dodekaeder	dodecaëder
programiranje	programmeren
programiranje	programmering
izpostavljenost	belichting
izpostavljenost	blootstelling
biološki	biologische
biološki	biologisch
perzijci	perzen
powell	powell
utrdbo	fort
mdr	mdr
ted	ted
fam	fam
imenovanja	benoemingen
imenovanja	afspraken
emilio	emilio
slab	slechte
slab	bad
slab	slecht
nature	natura
izbris	verwijdering
izbris	schrapping
izbris	annulering
izbris	verwijder
izbris	verwijderen
izbris	doorhalen
biologijo	biologie
roku	roku
dedek	grootvader
dedek	opa
dedek	grootvader
dedek	opa
ustavil	gestopt
ustavil	stopte
opremljen	uitgerust
epizode	afleveringen
epizode	episode
epizode	aflevering
izidi	uitkomst
izidi	resultaat
izidi	uitslagen
izidi	resultaat
izidi	resultaten
izidi	uitkomsten
fisher	fisher
puščave	woestijnen
porto	porto
označen	gelabeld
realno	real
realno	echte
realno	echt
realno	reëel
realno	realistisch
realno	realistische
realno	realistisch
trinajst	dertien
trinajst	thirteen
casa	casa
virusi	virus
virusi	virussen
virusi	virussen
snega	sneeuw
snega	sneeuwval
mach	mach
leteči	vliegend
leteči	vliegen
hitra	snel
hitra	vasten
hitra	snelle
hitra	fast
reynolds	reynolds
ureditve	arrangementen
ureditve	regelingen
ekonomska	economische
ekonomska	economisch
zastrupitve	vergiftigen
zastrupitve	vergiftiging
warren	warren
komunikacija	communicatie
komunikacija	mededeling
rick	rick
commons	commons
alkohol	likeur
alkohol	alcohol
kras	crassus
terry	terry
osebje	personeel
osebje	personeelszaken
osebje	personeel
zbrane	ingezameld
zbrane	verzamelde
zbrane	verzameld
zbrane	verzamelde
zbrane	verzameld
jelka	boom
jelka	boomstructuur
izvajalci	operators
izvajalci	operatoren
izvajalci	exploitanten
izvajalci	aannemers
izvajalci	artiesten
mile	mijl
mile	mile
toto	toto
rolling	rolling
rolling	rollen
rolling	walsen
rolling	rollende
rolling	rollend
dodatki	additieven
dodatki	toevoegingen
dodatki	bonussen
dodatki	supplementen
dodatki	aanvullingen
dodatki	toeslagen
dodatki	toebehoren
dodatki	accessoires
dodatki	aanhangsels
dodatki	bijlagen
mass	mass
mass	massa
dušo	ziel
dušo	soul
bih	bih
simetrija	symmetrie
lakote	honger
bertrand	bertrand
zaščitena	beschermde
zaščitena	beschermd
kvalifikacije	kwalificeren
kvalifikacije	kwalificatie
kvalifikacije	kwalificaties
kvalifikacije	kwalificatie
kvalifikacije	kwalificaties
pari	stellen
pari	paren
pari	stelletjes
pari	echtparen
pari	koppels
pari	paren
pari	pari
irana	iraanse
irana	iran
turbina	turbine
aktivist	activist
dominik	dominik
augusta	augusta
hrbet	terug
hrbet	rug
hrbet	back
chaplin	chaplin
bach	bach
skriva	verstoppen
skriva	verbergen
televizija	televisie
osvojitev	verovering
osvojitev	veroveringen
rena	rijn
rena	reno
benečani	venetianen
poj	zing
poj	zingen
gena	gena
deveto	negende
pomanjkljivosti	tekortkomingen
pomanjkljivosti	gebreken
pomanjkljivosti	tekortkomingen
pomanjkljivosti	gebreken
pomanjkljivosti	defecten
pomanjkljivosti	mankementen
pomanjkljivosti	zwaktes
pomanjkljivosti	zwakheden
pomanjkljivosti	tekortkomingen
člena	artikel
upravnik	manager
upravnik	bedrijfsleider
upravnik	directeur
upravnik	warden
gilles	gilles
uspešnica	bestseller
resnico	truth
resnico	waarheid
strup	gif
strup	vergif
strup	gif
strup	vergif
ignacij	ignatius
preživi	overleven
preživi	overleef
preživi	overleeft
živčni	zenuwachtig
živčni	nerveus
novinarjev	journalisten
geoffrey	geoffrey
zadaj	terug
zadaj	rug
zadaj	back
zadaj	achterste
zadaj	achterkant
zadaj	achteraan
zadaj	achterhoede
zadaj	achterzijde
opisi	beschrijvingen
opisi	omschrijvingen
metlika	metlika
predavanj	lezingen
patrese	patrese
poskusil	geprobeerd
poskusil	uitgeprobeerd
poskusil	probeerde
pooblastila	vermeldingen
pooblastila	powers
pooblastila	bevoegdheden
pooblastila	krachten
pooblastila	mandaat
guido	guido
violinist	violist
udeležili	bijgewoond
najmanjša	minimaal
najmanjša	minimum
najmanjša	kleinste
najmanjša	kleinst
metalec	launcher
metalec	starter
metalec	werper
metalec	pitcher
kneževine	vorstendommen
navade	gewoonten
navade	gewoontes
navade	gewoonte
jelšah	jelšah
con	con
brezje	brezje
vittorio	vittorio
religija	religie
religija	godsdienst
častniki	officiers
častniki	agenten
častniki	officieren
pravokotno	loodrecht
pravokotno	loodrechte
pravokotno	rechthoekig
pravokotno	rechthoekige
groba	ruig
groba	ruw
groba	ruwe
groba	grave
groba	graf
seme	sperma
seme	zaad
seme	zaad
seme	zaden
seme	zaaigoed
seme	zaden
seme	zaaigoed
seme	zaad
seme	zaaizaad
verigo	ketting
verigo	keten
izboljša	verbetert
izboljša	verbeter
izboljša	verbeteren
poznavanje	vertrouwdheid
poznavanje	kennis
duncan	duncan
hansen	hansen
šentjur	šentjur
portorož	portorož
horst	horst
poznano	vertrouwd
poznano	bekend
ujel	gevat
ujel	gepakt
ujel	gesnapt
ujel	betrapt
ujel	gevangen
preiskave	onderzoeken
preiskave	onderzoekingen
preiskave	onderzoeken
štirinajst	fourteen
štirinajst	veertien
nameščeni	geïnstalleerde
nameščeni	geinstalleerd
nameščeni	geïnstalleerd
dramo	drama
jürgen	jürgen
jürgen	jurgen
bin	bin
minute	minuten
minute	notulen
gerard	gerard
uničiti	verwoesten
uničiti	vernietigen
uničiti	vernietig
identiteto	identiteit
mehansko	mechanisch
mehansko	mechanisch
mehansko	mechanische
izjavo	statement
izjavo	verklaring
police	beleid
police	schappen
police	planken
smole	harsen
thierry	thierry
organizacijsko	organisatorisch
organizacijsko	organisatorische
demokratične	democratische
demokratične	democratisch
dano	gegeven
demokracije	democratieën
klobuk	hoed
klobuk	pet
klobuk	hat
klobuk	muts
photo	foto
uspehi	successen
izobraževalno	leerzaam
izobraževalno	educatief
greene	greene
varuje	beschermt
pierce	pierce
japonci	japans
japonci	japanners
japonci	japanse
objavljeni	gepubliceerd
objavljeni	verschenen
objavljeni	gepubliceerde
objavljeni	uitgegeven
nikdar	nooit
nikdar	never
elektroni	elektronen
predala	overgegeven
predala	ingeleverd
škotske	schotland
škotske	schotse
škotske	scottish
škotske	schots
leona	leona
robertson	robertson
postavljeno	opgegroeid
postavljeno	getogen
postavljeno	opgevoed
budistični	boeddhistische
budistični	boeddhist
potniški	passagier
potniški	reiziger
zavira	remt
sonja	sonja
umetni	kunstmatige
umetni	kunstmatig
glavobol	hoofdpijn
glavobol	hoofdpijn
angeli	engeltjes
angeli	engelen
angeli	angels
članstvo	lidmaatschap
bruselj	brussel
razmišljanje	nadenken
razmišljanje	denken
razmišljanje	denkend
razmišljanje	bezinning
umetne	kunstmatige
umetne	kunstmatig
prisilil	geforceerde
prisilil	gedwongen
prisilil	afgedwongen
prisilil	geforceerd
misijonar	missionaris
julie	julie
širitev	uitbreiding
širitev	expansie
širitev	uitbreiden
širitev	uitbreiding
legend	legenden
legend	legendes
legend	legende
legend	legend
malmö	malmö
dimenzije	afmetingen
dimenzije	dimensies
volji	humeur
volji	stemming
oblikovan	gevormd
oblikovan	geformuleerd
oblikovan	geformuleerde
porta	porta
ayrton	ayrton
klein	klein
zob	tand
cesarica	keizerin
domovina	moederland
domovina	vaderland
domovina	moederland
domovina	thuisland
domovina	vaderland
wiener	wiener
petja	gezang
petja	zang
petja	zingen
italiano	italiano
opisan	beschreven
opisan	beschreef
opisan	omschreven
lennon	lennon
vijak	schroef
žita	graan
žita	granen
žita	graangewassen
žita	graan
podaljšana	uitgebreid
podaljšana	verlengd
podaljšana	langdurige
podaljšana	verlengde
podaljšana	langdurig
podaljšana	verlengd
prispel	gearriveerd
prispel	aangekomen
kde	kde
christoph	christoph
spencer	spencer
dar	dar
marta	marta
marta	martha
sadje	vruchten
sadje	fruit
sadje	vrucht
sadje	vruchten
sadje	fruit
jevgenij	jevgeni
presenetljivo	verbazingwekkend
presenetljivo	verrassend
presenetljivo	verrassende
presenetljivo	verrassend
trditve	beweringen
trditve	claims
trditve	vorderingen
trditve	beweringen
trditve	beschuldigingen
trditve	aantijgingen
trditve	beweringen
trditve	argumenten
avtomobilski	automotive
avtomobilski	automobiel
čop	paardenstaart
čop	staartje
tujino	buitenland
sara	sarah
sara	sara
sara	cera
škocjan	škocjan
nizki	laag
nizki	low
nizki	lage
plodovi	vruchten
plodovi	fruit
priljubljeno	populaire
priljubljeno	populair
priljubljeno	favoriet
priljubljeno	favoriete
priljubljeno	populair
priljubljeno	favoriet
priljubljeno	favoriete
dale	dale
jay	jay
jarek	loopgraaf
jarek	trog
jarek	geul
jarek	gracht
jarek	greppel
jarek	dump
premera	diameter
kampanje	campagnes
kampanje	campagne
kampanje	veldtocht
zasnovana	ontworpen
doseženo	bereikte
doseženo	bereikt
doseženo	behaald
doseženo	volbracht
doseženo	behaald
doseženo	bereikte
doseženo	bereikt
simbolizira	symboliseert
simbolizira	symboliseert
posamezna	individu
posamezna	individueel
motive	motieven
rjavo	brown
rjavo	bruine
rjavo	bruin
stosur	stosur
dukla	dukla
izjemen	uitzonderlijke
izjemen	buitengewoon
izjemen	uitzonderlijk
prehrani	voeding
nielsen	nielson
nielsen	nielsen
obremenitev	laad
obremenitev	laden
obremenitev	inladen
obremenitev	laden
obremenitev	debet
obremenitev	incasso
roll	rollen
roll	rol
čelo	voorhoofd
čelo	cello
zavrne	weigert
zavrne	weigeren
zavrne	weiger
zavrne	afwijzen
zavrne	verwerpen
tekmovanj	competities
tekmovanj	wedstrijden
pojave	fenomeen
pojave	fenomenen
pojave	verschijnselen
gašper	hendrik
gašper	henry
lola	lola
slavi	glorie
slavi	roem
slavi	heerlijkheid
slavi	glory
lesen	houten
sklical	bijeengeroepen
blog	blog
blog	weblog
blog	bloggen
jpl	jpl
ettore	ettore
vrtovi	tuinen
potrjuje	bevestigt
vožnje	rijden
vožnje	rijdend
vožnje	autorijden
eugen	eugen
imunski	immuun
danijel	daniel
danijel	daniël
stresa	stress
einstein	einstein
linz	linz
simone	simone
castro	castro
senator	senator
vincenzo	vincenzo
podružnica	dochtermaatschappij
podružnica	filiaal
podružnica	dochteronderneming
podružnica	bijkantoor
podružnica	filiaal
podružnica	branch
podružnica	tak
izpostavljeni	belicht
izpostavljeni	bloot
izpostavljeni	blootgesteld
podvozje	onderstel
podvozje	chassis
kmečka	boer
betty	betty
ilustracije	illustraties
križišču	kruispunt
križišču	kruising
križišču	kruispunt
kirche	kirche
najdlje	verste
najdlje	verst
najdlje	langste
najdlje	langst
najdlje	verst
alabama	alabama
odstranjevanje	verwijdering
odstranjevanje	verwijdering
zaman	ijdel
zaman	ijdele
prefekt	prefect
giulio	giulio
siegfried	siegfried
sodobnost	moderniteit
posmrtno	postuum
bomba	bom
scene	schermen
scene	taferelen
scene	scenes
scene	scènes
navidezni	schijnbare
navidezni	virtueel
navidezni	virtuele
neill	neill
skorje	korsten
mera	mera
mera	tarief
sulfat	sulfaat
sulfat	sulfaat
tito	tito
izdelane	vervaardigde
izdelane	gefabriceerd
izdelane	geproduceerd
izdelane	vervaardigd
izmenjavo	ruil
izmenjavo	uitwisseling
izmenjavo	uitwisselen
deseti	tenth
deseti	tiende
infrastrukture	infrastructuur
infrastrukture	infrastructuren
dim	dim
dim	dimmen
dim	rook
dim	roken
obred	plechtigheid
obred	ceremonie
obred	rituele
obred	ritueel
obred	rituelen
veronika	veronika
veronika	veronica
skale	keien
skale	rotsen
skale	stenen
označeno	gelabeld
označeno	gemarkeerde
označeno	gemarkeerd
označeno	gemerkt
označeno	gekenmerkt
ukinjena	afgeschaft
catherine	catherine
catherine	catharina
razlage	interpretaties
razlage	toelichtingen
razlage	uitleg
odkrito	eerlijk
medicinsko	medische
medicinsko	medisch
realna	realistisch
realna	realistische
mejah	grenst
mejah	grenzen
puščavi	woestijn
zajec	konijntje
zajec	konijnen
zajec	konijn
vezan	gebonden
pripadnost	aansluiting
zheng	zheng
stojan	stojan
twin	tweeling
twin	twin
disciplina	discipline
soproga	echtgenoot
soproga	echtgenote
soproga	vrouw
soproga	echtgenote
dorothy	dorothy
teoretik	theoreticus
lars	lars
malta	malta
cona	gebied
cona	zone
zaupanje	zelfvertrouwen
zaupanje	vertrouwen
zaupanje	trust
zaupanje	vertrouw
zaupanje	vertrouwen
široki	wide
široki	wijd
široki	breed
prejeti	ontvang
prejeti	ontvangen
prejeti	ontvangen
izginila	verdwenen
izginila	verdween
izginila	verdwijnen
izginila	verdwenen
izginila	verdween
primerjavo	vergelijking
primerjavo	vergelijken
diska	schijf
diska	disc
diska	discus
zgleda	looks
zgleda	lijkt
garcia	garcia
haas	haas
vrhovi	pieken
testiranje	tests
testiranje	testen
selena	seleen
selena	selena
navdušen	indruk
navdušen	indrukwekkend
navdušen	opgewonden
navdušen	enthousiast
navdušen	spannend
navdušen	verrukt
nakup	aanschaf
nakup	aankoop
nakup	inkoop
nakup	kopen
nakup	koop
nakup	kopen
bishop	loper
bishop	bisschop
bishop	bishop
brauchitsch	brauchitsch
modrosti	wijsheid
nacional	nacional
cepivo	vaccin
cepivo	vaccinatie
ozračje	sfeer
ozračje	atmosfeer
ozračje	dampkring
gospodarstvu	vasthouden
gospodarstvu	holding
kocke	blokjes
kocke	dobbelen
kocke	dobbelsteen
kocke	dobbelstenen
curtis	curtis
hladno	koude
hladno	kou
hladno	koud
sls	sis
ocenjuje	evalueert
ocenjuje	beoordeelt
prvenec	debuut
čebele	bijen
pruski	pruisische
encimov	enzymen
sud	sud
sužnji	slaven
rgb	rgb
ravnotežje	saldo
ravnotežje	balans
ravnotežje	evenwicht
ravnotežje	evenwicht
zbrani	verzamelde
zbrani	verzameld
desetletij	decennia
zmanjšati	verminderen
zmanjšati	reduceren
zmanjšati	verkleinen
jamie	jamie
baranja	baranja
spore	geschillen
minuto	minuut
minuto	minuutje
pojasnjuje	verklaart
pastor	dominee
pastor	pastor
pastor	predikant
pastor	pastoor
piper	piper
ust	mond
ust	monden
ponatis	herdruk
makarova	makarova
telefon	telefoon
telefon	telefoon
razmnoževanje	vermenigvuldiging
razmnoževanje	vermeerdering
razmnoževanje	vermenigvuldigen
razmnoževanje	reproduceren
razmnoževanje	voortplanting
razmnoževanje	reproductie
pojasnil	toegelicht
pojasnil	uitgelegd
priznan	erkende
priznan	herkend
priznan	erkend
priznan	erkende
priznan	erkend
priznan	herkende
priznan	erkende
priznan	herkend
priznan	erkend
urbana	urban
urbana	stedelijk
urbana	stedelijke
sio	sio
lah	lah
figura	boegbeeld
kovanci	muntstukken
kovanci	munten
kovanci	munt
kovanci	munten
aleksejevič	aleksejevitsj
možgani	hersenen
možgani	brain
možgani	hersens
možgani	brein
možgani	hersenen
možgani	hersens
možgani	brein
marcello	marcello
kontrole	controles
prazen	leeg
prazen	leegmaken
prazen	lege
prazen	ledig
prazen	leeg
prazen	blanco
usposabljanja	trainen
usposabljanja	training
usposabljanja	opleiding
usposabljanja	trainingen
stroji	machines
stroji	machines
izboljšati	verbeter
izboljšati	verbeteren
foster	foster
foster	pleegkind
foster	pleeggezin
organizirana	georganiseerd
organizirana	georganiseerde
organizirana	georganiseerd
organizirana	georganiseerde
turnbull	turnbull
dean	dean
dean	decaan
junaki	heroes
junaki	helden
poteze	moves
poteze	beweegt
premikanje	verplaatsen
premikanje	bewegen
premikanje	bewegend
premikanje	verhuizen
premikanje	bewegingen
premikanje	verplaatsing
premikanje	beweging
vreden	worth
vreden	waard
vreden	waardig
vreden	waardige
vreden	waard
ujetništvu	gevangenschap
storia	storia
čevljev	schoenen
čevljev	schoentjes
železnico	spoorweg
povabilo	uitnodiging
povabilo	uitnodigen
povabilo	uitnodiging
rotor	rotor
protokol	protocol
protipapež	tegenpaus
prepovedi	verbodsbepalingen
prepovedi	ban
prepovedi	verbod
prepovedi	verbieden
nizek	laag
nizek	low
nizek	lage
kronanje	kroning
žogo	bal
žogo	ball
hodi	wandelen
hodi	lopen
hodi	lopend
hodi	lopen
hodi	wandeling
hodi	walk
martini	martini
pisatelji	schrijvers
pel	sang
pel	zongen
pel	zong
pel	gezongen
hčerki	dochters
duhovne	geestelijke
duhovne	spirituele
duhovne	spiritueel
duhovne	geestelijk
romain	romain
temna	duister
temna	donker
temna	donkere
hollywood	hollywood
pekingu	beijing
pekingu	peking
zidovi	muren
zidovi	wanden
šesta	sixth
šesta	zesde
kentucky	kentucky
lepi	mooi
lepi	prachtig
lepi	mooie
lepi	knap
lepi	knappe
chiron	chiron
sonata	sonata
zaposlene	medewerkers
zaposlene	werknemers
istván	istván
jelen	herten
jelen	hert
houston	houston
sullivan	sullivan
geolog	geoloog
ohrani	bewaren
ohrani	behouden
ohrani	houd
ohrani	houden
ohrani	handhaven
sanj	dromen
sanj	dreams
sigismund	sigismund
michaela	michaela
dram	dram
dram	dram
farra	farra
antibiotiki	antibiotica
leseno	houten
leseno	hout
petrov	petrov
gene	gene
gene	gen
skrivaj	stiekem
trupa	karkas
trupa	torso
trupa	romp
označeni	gelabeld
označeni	gemarkeerde
označeni	gemarkeerd
označeni	gemerkt
označeni	gekenmerkt
sporno	omstreden
sporno	betwiste
sporno	betwist
sporno	aangevochten
sporno	omstreden
sporno	controversieel
sporno	controversiële
sporno	omstreden
subjekt	onderwerp
subjekt	proefpersoon
subjekt	subject
subjekt	entiteit
apr	apr
leslie	leslie
kuga	plaag
kuga	pest
žile	aders
žile	aderen
daljnogled	verrekijker
daljnogled	telescoop
specifični	specifiek
specifični	specifieke
rane	wond
rane	wonde
rane	wonden
trdne	stevig
trdne	massief
trdne	solide
trdne	vaste
kac	kac
kupole	koepels
profesionalno	professioneel
profesionalno	professionele
profesionalno	professional
profesionalno	professioneel
branilec	verdediger
valentina	valentina
valentina	valentino
švico	zwitserland
plesni	schimmel
plesni	gietvormen
plesni	mal
plesni	schimmel
obrti	ambacht
obrti	ambachten
akt	handelen
akt	act
spremljanje	monitoring
spremljanje	toezicht
spremljanje	monitor
spremljanje	monitoren
demokracija	democratie
wang	wang
hmcs	hmcs
leipzig	leipzig
stefano	stefano
dežja	regen
okrogle	ronde
okrogle	rondje
okrogle	round
okrogle	rond
nika	nika
nika	nica
uporabljeno	gebruikt
uporabljeno	gebruikte
four	four
four	vier
zaposlena	druk
zaposlena	bezig
zaposlena	bezet
oxfordu	oxford
čista	puur
čista	zuiver
čista	pure
čista	zuivere
biološke	biologische
biološke	biologisch
zmaja	vlieger
deseto	tenth
deseto	tiende
flora	flora
nevarna	gevaarlijke
nevarna	gevaarlijk
nevarna	gevaarlijke
nevarna	gevaarlijk
ante	ante
montgomery	montgomery
barja	moerassen
brezovica	brezovica
pekel	hel
pekel	hell
pekel	inferno
pekel	hellen
obstajal	bestonden
obstajal	bestond
trgovanje	handelsverkeer
trgovanje	handel
trgovanje	trading
epizoda	episode
epizoda	aflevering
ran	wonden
aluminij	aluminium
aluminij	aluminium
flota	vloot
flota	wagenpark
kanadsko	canadees
kanadsko	canadese
akademski	academisch
akademski	academische
popotnik	reiziger
popotnik	reiziger
popotnik	zwerver
popotnik	wandelaar
moment	moment
moment	ogenblik
semen	zaad
semen	zaden
semen	zaaigoed
standardi	normen
standardi	standaarden
standardi	standaards
garden	tuintje
garden	tuin
težavo	probleem
brezplačno	free
brezplačno	vrij
brezplačno	gratis
kandidatov	sollicitanten
kandidatov	kandidaten
televizijo	televisie
glenn	glen
glenn	glenn
marussia	marussia
odkrita	ontdekte
odkrita	ontdekt
odkrita	gedetecteerd
odkrita	ontdekt
bližje	dichterbij
bližje	dichter
obraza	gelaat
obraza	aangezicht
obraza	gezicht
obraza	face
footwork	voetenwerk
produkti	producten
produkti	produkten
magister	magistraat
magister	magister
berry	bes
berry	berry
berry	bessen
željko	željko
železna	strijkijzer
železna	ijzer
razkol	schisma
strehe	daken
strehe	daken
strehe	dak
zastrupitev	vergiftigen
zastrupitev	vergiftiging
gas	gas
niki	nicki
niki	niki
oak	eiken
oak	eik
oak	oak
rojene	born
rojene	geboren
prusija	pruisen
polobli	halfrond
zaprti	gesloten
zaprti	afgesloten
testi	proeven
testi	testen
testi	tests
rušilcev	destroyers
verstappen	verstappen
brien	brien
najmočnejši	sterkst
najmočnejši	sterksten
najmočnejši	sterkste
shimizu	shimizu
zdravi	gezonde
zdravi	gezond
zdravi	geneest
pariški	parijs
pariški	parijse
madison	madison
delle	delle
privrženci	volgers
privrženci	volgelingen
operator	operator
operator	exploitant
operator	telefoniste
pasme	fokken
pasme	voortplanten
pasme	ras
pasme	rassen
stabilen	stabiel
stabilen	stabiele
cat	poes
cat	kat
grafični	grafisch
grafični	grafische
oddaljeno	afstandelijk
oddaljeno	verre
oddaljeno	remote
oddaljeno	afstandsbediening
oddaljeno	afgelegen
kemična	chemisch
spremenjena	gemodificeerd
spremenjena	gewijzigd
spremenjena	aangepast
spremenjena	gewijzigd
cerro	cerro
enotnost	eenheid
prometni	verkeer
globalno	globaal
globalno	global
globalno	mondiale
globalno	globaal
globalno	wereldwijd
opozorilo	waarschuwing
katerikoli	elke
avtoceste	autowegen
avtoceste	snelwegen
avtoceste	snelweg
avtoceste	autosnelweg
avtoceste	snelweg
avtoceste	autoweg
avtoceste	autowegen
avtoceste	snelwegen
avtoceste	autosnelwegen
redna	regelmatige
redna	regulier
redna	reguliere
redna	regelmatig
darilo	geschenk
darilo	cadeautje
darilo	cadeau
darilo	gift
darilo	kado
jorge	jorge
potomcev	nakomelingen
potomcev	nageslacht
potomcev	nakomeling
potomcev	kroost
euler	euler
aretiran	arrestatie
aretiran	arresteren
aretiran	aanhouding
aretiran	opgepakt
aretiran	aangehouden
aretiran	gearresteerd
harper	harper
uporniki	opstandelingen
uporniki	rebellen
uporniki	rebels
sloves	faam
sloves	reputatie
pridobijo	verwerven
ugodno	gunstig
ugodno	gunstige
ugodno	gunstige
ugodno	gunstig
saška	saksen
dihal	ademhaling
dihal	ademhalingsstelsel
ovire	hindernissen
ovire	belemmeringen
ovire	obstakels
ovire	barrières
ovire	hindernissen
ovire	belemmeringen
ovire	obstakels
ovira	belemmering
ovira	hinderen
ovira	obstructie
ovira	tegenwerking
ovira	belemmering
ovira	obstakel
ovira	hindernis
ovira	versperring
ovira	barrier
ovira	barrière
cole	cole
campo	campo
guvernerjev	presidenten
guvernerjev	gouverneurs
čile	chili
izvoljena	verkozen
izvoljena	gekozen
piva	bieren
piva	biertje
piva	bier
piva	biertjes
piva	bieren
piva	beers
psihološko	psychologische
psihološko	psychologisch
psihološko	psychologisch
institucije	instellingen
zaklad	schat
zaklad	schatten
zaklad	treasure
odstop	aftreden
odstop	ontslagbrief
odstop	aftreden
odstop	ontslag
odstop	intrekking
odstop	terugtrekken
odstop	terugtrekking
finančna	financieel
razsežnost	afmetingen
razsežnost	afmeting
razsežnost	dimensie
zabavo	feest
zabavo	partij
zabavo	feestje
zabavo	party
zabavo	vermaak
zabavo	amusement
zabavo	entertainment
konvencije	conventie
konvencije	verdrag
konvencije	conventies
konvencije	verdragen
zbirajo	verzamelen
zbirajo	verzamel
srbi	jeukende
srbi	jeuk
srbi	serviërs
srbi	serven
nepravilno	incorrect
nepravilno	foutief
nepravilno	onjuiste
nepravilno	onjuist
nepravilno	onregelmatig
nepravilno	onregelmatige
