estimació	procjena
despatx	ured
despatx	office
despatx	kancelarija
haydn	haydn
aude	aude
botí	nagradni
roche	roche
atur	nezaposlenost
bous	bikova
bous	bulls
six	šest
esportista	sportista
esportista	sportista
sediments	sedimenata
ribas	ribas
màgic	magično
màgic	čarobni
pràctic	praktične
pràctic	praktična
pràctic	praktični
prioritat	prioritet
proc	proc
romeu	romeo
junior	juniorsko
junior	juniorska
junior	junior
junior	mlađi
consecutius	uzastopnih
randall	randall
demòcrates	demokrata
demòcrates	demokrati
mayo	mayo
laboratoris	laboratorije
laboratoris	labs
laboratoris	laboratorijama
laboratoris	laboratorija
laboratoris	laboratorije
libre	libre
connectat	povezani
connectat	povezana
donats	poklonio
donats	donirana
donats	donirala
jordà	jordan
definides	definisani
definides	definisano
definides	definisan
definides	definisane
definides	definisana
adopta	usvaja
intersecció	raskrsnica
suïcidi	samoubistva
suïcidi	samoubistvo
unificar	ujedini
boxa	boks
lleials	odan
lleials	lojalnih
sòria	soria
magnus	magnus
austin	austin
austin	ostinu
tramvia	tram
rajoles	cigli
riscos	rizika
biològic	biološke
biològic	biološku
biològic	biološki
biològic	biološka
anuncis	ads
rondes	runde
rondes	rundama
musell	njuška
kate	kate
edmund	edmund
coordinador	koordinator
clarke	clarke
roosevelt	roosevelt
coeficient	koeficijent
clarinet	klarinet
màlik	malik
admet	priznaje
tommy	tommy
comunió	crkve
edwards	edwards
kenneth	kenneth
linda	linda
arle	arles
aureli	aurelije
llegit	čita
secà	suha
secà	suho
neutralitat	neutralnost
neutralitat	neutralnosti
chelsea	chelsea
che	che
peculiar	karakterističnih
modernització	modernizacije
modernització	modernizacija
modernització	modernizaciju
sobreviscut	preživjeli
prefereix	preferira
alçària	visina
brooks	brooks
bremen	bremen
eco	jeka
tempestes	oluje
vulgar	latina
antenes	antene
cameron	cameron
seattle	seattle
nuremberg	nirnberški
justificar	opravdaju
julie	julie
euskadi	euskadi
plebs	plebejci
visconti	visconti
reed	trska
reed	reed
verbs	glagola
tambor	bubanj
diamant	dijamant
banyes	rogova
estrabó	strabon
mensual	mjesečna
mensual	mjesečni
cometes	komete
collita	žetve
cid	cid
domínguez	dominguez
domínguez	domínguez
exercicis	vježbe
blois	blojiški
armadura	oklop
armadura	oklop
implementar	provesti
implementar	provoditi
incorporant	kombinuju
trajecte	putovanje
inclús	čak
walt	walt
malauradament	nažalost
rata	pacova
bruguera	bruguera
cleveland	cleveland
parcials	pristrasan
parcials	djelimična
parcials	djelimični
rogers	rogers
monja	nun
rumb	kurs
emocional	emocionalne
clergues	sveštenstvo
fai	fai
ferida	rana
bricolatge	diy
integritat	integritet
novè	deveti
supermercat	supermarket
rossi	rossi
stefano	stefano
annex	aneks
policies	policajci
policies	policajci
estius	leta
bang	bang
protegeix	štiti
esperits	duhovi
dna	dnk
collet	collet
teòleg	teolog
fosa	casting
honorari	počasni
porcs	svinje
jennifer	jennifer
euler	eulerov
monstre	čudovište
monstre	monster
robot	robot
enrico	enrico
perry	perry
dinasties	dinastije
ríos	ríos
rugby	ragbi
rugby	rugby
kurds	kurdi
murcia	murcia
aziz	aziz
invasors	osvajači
edu	edu
apache	apache
desambiguació	čvor
fletxes	strele
inestabilitat	nestabilnost
moisès	musa
andrews	andrews
estadis	stadiona
luca	luca
sallent	pireneji
representades	zastupljena
representades	predstavljao
representades	predstavljena
filharmònica	filharmonija
distribuïda	distribuiran
conde	conde
ocupacions	zanimanja
gérard	gérard
tirà	tiranin
aixecat	ukinuta
curiositat	curiosity
funcionals	funkcionalna
epir	epira
evacuació	evakuaciju
preparats	spremno
preparats	spreman
preparats	spremni
compacte	compact
definits	definisani
definits	definisano
definits	definisan
definits	definisane
definits	definisana
terminologia	terminologija
holmes	holmes
holmes	holmesa
saviesa	mudrost
lleons	lavovi
instant	instant
hitchcock	hitchcock
tropa	trupa
dakar	dakar
cristòfor	christopher
buida	prazan
buida	prazna
brill	brill
indicat	ukazao
hongaresos	mađari
voluntari	volonterski
voluntari	dobrovoljno
àliga	orao
pinyin	pinyin
head	glava
balanç	mjerilo
balanç	bilans
allan	allan
allan	alan
cintes	trake
rubio	rubio
multiplicació	množenje
pistola	pištolj
pistola	pištolj
ares	ares
pontevedra	pontevedra
murphy	murphy
humanista	humanist
gustau	gustav
indicant	ukazujući
indicant	naznačava
trek	trek
setmanal	sedmični
setmanal	sedmičnjak
forster	forster
ral	ral
poitiers	poitiers
ariel	ariel
conclusions	zaključke
conclusions	zaključci
inaugural	inaugural
guadalupe	guadalupe
guadalupe	guadeloupe
cera	vosak
abdul	abdul
catalan	katalonski
singles	singl
renault	renault
esquelet	kostur
sidney	sidney
ted	ted
depredadors	predatora
criticat	kritikovao
palatinat	falačka
dinosaure	dinosaurusi
estela	stele
klaus	klaus
aïllades	izolovano
aïllades	izolirani
aïllades	izolovana
protons	protona
gnu	gnu
adreces	adrese
adreces	obraća
mortalitat	smrtnost
acústica	akustika
xat	chat
etiquetes	tags
regals	darova
necròpolis	nekropola
droga	droga
còdex	zbornik
finit	konačni
verbal	usmeni
alianza	alianza
càpsula	kapsula
pacífica	miran
pacífica	mirne
pacífica	mirni
virtuts	vrline
filippo	filippo
simbòlic	simbolično
emmanuel	emmanuel
blake	blake
prestigiós	prestižnom
cables	žice
cables	kablovi
enquesta	anketa
enquesta	ankete
enquesta	istraživanje
enquesta	ispitivanje
hindú	hindu
legalment	zakonski
legalment	pravno
legalment	legalno
sínode	sinod
concessions	koncesije
pirata	pirat
mat	mate
mat	mat
bystrica	bystrica
operadors	operateri
operadors	operatera
birmingham	birmingham
cometre	počini
gustavo	gustavo
industrialització	industrijalizacija
uss	uss
mao	mao
manipulació	manipulacija
manipulació	manipulacijama
manipulació	manipulacije
equipat	opremljen
equipat	opremljena
equipat	opremljeni
implicat	sprovodile
mann	men
activació	aktiviranja
batman	batman
abbas	abbas
abbas	abbasa
absolutament	apsolutno
tàctiques	taktike
membranes	membrane
forns	peći
mhz	mhz
nada	nada
comprat	kupio
luc	luc
llosa	llosa
quinzena	petnaestog
hindús	hindusa
regadiu	navodnjavanje
inventat	izmislili
inventat	izumio
inventat	izmislio
guineu	lisica
guineu	fox
wta	wta
adolescents	tinejdžera
colón	colón
pertinença	članstvo
entrenar	spar
ernesto	ernesto
bautista	bautista
mínims	minimalno
mínims	minimalni
deutes	dugova
deutes	dugovanja
deutes	dugove
tecla	ključni
tecla	ključ
disponibilitat	raspoloživost
owen	owen
panells	tijela
cendres	pepeo
honoris	honoris
cichlidae	cichlidae
divorci	razvod
votat	izglasan
votat	glasali
votat	glasao
obediència	pokornosti
ànec	patak
ànec	patka
bertrand	bertrand
banská	banská
folch	folch
jesuïta	jezuit
jesuïta	jezuita
contribueix	doprinosi
estricte	stroga
estricte	stroge
zàmbia	zambije
transferit	prebačen
transferit	prebačena
reflectir	odražavati
reflectir	odražavaju
reorganitzar	reorganize
cresta	čelenka
auckland	auckland
arqueòleg	arheolog
clinton	clinton
toc	poke
togo	togo
geomètrica	geometrijska
geomètrica	geometrijski
potencials	potencijal
sufix	sufiks
editorials	izdavača
respiració	disanje
implicació	učešće
esa	esa
villers	villers
gest	gest
vàlida	važeći
commemorativa	komemorativna
regula	regulira
kazan	kazanj
bartolomé	bartolomé
bartolomé	bartholomew
her	njen
her	njena
her	joj
ictiologia	ihtiologija
magnesi	magnezij
cascada	cascade
cascada	vodopad
debilitat	slabost
munició	municija
munició	municiju
munició	municije
rem	rem
aliances	savezi
tokyo	tokio
delgado	delgado
encontre	susret
vermont	vermonta
signa	znak
ein	ein
terrorisme	terorizam
christophe	christophe
flickr	flickr
false	lažnih
canònica	canonical
seriosament	ozbiljno
desè	deseti
desè	deseta
craig	craig
