দৌড়বাজী	kergejõustik
পটাশিয়াম	kaalium
পটাশিয়াম	kaaliumi
পিয়ার	kai
পরামর্শক	konsultant
অনুন্নত	arendamata
জিনিসপত্র	kraam
পুরুষেরা	meestele
পুরুষেরা	mehed
এক্সবক্স	xbox
পাড়ার	naabrus
ম্যানিলা	manila
জ্যামাইকা	jamaica
মুরগির	kana
ভিশন	nägemus
ভিশন	visioon
ভিশন	nägemine
শিরা	veeni
সংবেদনশীল	tundlik
সংবেদনশীল	tundlikud
পুনর্গঠিত	taastatud
পুনর্গঠিত	lahustatud
ফারাও	vaarao
আন্তরিক	siiralt
আন্তরিক	siiras
আন্তরিক	südamlik
আন্তরিক	südamlik
কূটনীতিক	diplomaat
ট্রান্সপোর্ট	vedaja
ট্রান্সপোর্ট	kuller
আর্টিলারি	suurtükivägi
মার্স	mars
মার্স	marss
তরুন	noored
তরুন	young
তরুন	noor
ভালুক	mõmmi
ভালুক	karu
পৌঁছাতে	reach
প্রিন্সিপাল	direktor
সুজি	susie
লেবাননের	liibanoni
লেবাননের	liibanon
পোলক	pollock
প্রস্থান	välju
প্রস্থান	välju
প্রস্থান	väljumine
প্রস্থান	väljapääs
নখ	käpp
নখ	küünis
নখ	naelad
নখ	küüned
চেজ	chase
চেজ	tagaajamine
সেলুলার	raku
পাইরেটস	piraadid
হায়দরাবাদ	hyderabad
গন্তব্য	sihtkoht
গন্তব্য	sihtkohad
টেলার	teller
পেইন্টিং	maal
পেইন্টিং	maali
পেইন্টিং	värvimine
শুন্য	nulli
শুন্য	zero
শুন্য	null
হিলস	hills
অসন্তুষ্ট	rahulolematu
চায়ের	teed
চায়ের	tee
ড্যানিশ	taani
দাম্পত্য	pruudi
তর্ক	väites
তর্ক	vaielda
আগ্রাসী	agressiivsed
আগ্রাসী	agressiivne
প্রজ্ঞা	untsi
প্রজ্ঞা	tarkust
প্রজ্ঞা	tarkus
গেটের	värav
সুইং	hoos
তাহার	teda
তাহার	tema
অভিনেতাদের	näitlejad
আইজ্যাক	isaac
শাস্তির	karistus
শাস্তির	karistuse
লী	lee
এস্তোনিয়া	eesti
এস্তোনিয়া	estonia
দুর্বলতা	nõrkus
রিয়া	rhea
রিয়া	ria
কাউন্টার	loendur
প্রসব	sünnituse
প্রসব	sünnitus
বাধ্যবাধকতা	kohustus
পেদ্রো	pedro
জাক	jacques
অলঙ্কার	ehted
ইউরোপা	europa
কাজাখস্তান	kasahstan
সহচর	kaaslaseks
সহচর	kaaslane
লেন্সের	läätsed
অস্থিরতা	rahutused
অস্থিরতা	ebastabiilsus
বহুবিধ	mitmekordne
বহুবিধ	mitu
ক্যারোলিনা	carolina
লন	muru
ছদ্ম	pseudo
আড্ডা	vestlus
ডিস্ট্রিক্ট	ringkond
ডিস্ট্রিক্ট	rajoon
বসতে	istuda
বসতে	istu
তিউনিসিয়া	tuneesia
ডানায়	tiibu
ডানায়	tiivad
ক্লিনটন	clinton
মন্ত্রীদের	ministrid
গাজা	gaza
আদার	ingver
আদার	ginger
বীচ	rand
বীচ	beach
একতা	ühtsus
একতা	ühtsuse
একতা	singulaarsus
মাং	mang
অ্যান্টেনা	antenni
অ্যান্টেনা	antenn
বোতাম	nööbid
বোতাম	nupud
বোতাম	nööp
বোতাম	nupp
বোতাম	button
ব্রি	bree
মশলা	maitseaineid
মশলা	maitseaine
মশলা	vürtsid
প্রত্যাশিত	oodatud
প্রত্যাশিত	eeldatav
প্রত্যাশিত	oodati
ঢেলে	vala
ঢেলে	kalla
কান্দি	kandi
শরণার্থীদের	pagulased
শরণার্থীদের	pagulaste
স্থানীয়দের	kohalikud
অংশগ্রহণকারীদের	osalejad
অংশগ্রহণকারীদের	osalejaid
অংশগ্রহণকারীদের	osalejad
ফেটে	lõhkevad
চাদর	lehed
চাদর	linad
স্বাভাবিকভাবে	loomulikult
ইংরাজি	inglise
ফ্লয়েড	floyd
বহিরাগত	välised
বহিরাগত	välise
বহিরাগত	väline
ম্যাপ	kaart
ট্রয়	trooja
ট্রয়	troy
বিভ্রান্ত	segaduses
স্পাই	spioon
হানিফ	hanif
ফাঁক	lünki
ফাঁক	lüngad
ব্যাচ	partii
কপালে	laup
অ্যাডমিরাল	admiral
হরর	õudus
গফ	gough
মহাকাব্যিক	eepiline
প্যাট	pat
সাংবাদিকদের	ajakirjanikud
মার্কাস	marcus
ইন্ডিপেন্ডেন্ট	sõltumatud
ইন্ডিপেন্ডেন্ট	iseseisev
ইন্ডিপেন্ডেন্ট	sõltumatu
আইনগতভাবে	juriidiliselt
আইনগতভাবে	legaalselt
আইনগতভাবে	seaduslikult
আইনগতভাবে	õiguslikult
অ্যারিজোনা	arizona
জর্দান	jordan
জর্দান	jordaania
পার্ট	osas
টেপ	lindi
টেপ	lint
টেপ	linti
সুইচ	vaheta
সুইচ	lüliti
হাঁটু	põlv
হাঁটু	põlve
হাঁটু	põlved
বেচে	elusana
বেচে	elus
বেচে	elusalt
ধর্ষণের	vägistamine
আলজেরীয়	alžeeria
বিকেলে	pärastlõuna
বিকেলে	pärastlõunal
এনজাইম	ensüümi
এনজাইম	ensüüm
সম্পূরক	täiendus
সম্পূরক	täiendus
সম্পূরক	täiendused
কং	cong
কং	kong
রুবেল	rubla
শব্দসমষ্টি	fraas
শব্দসমষ্টি	väljend
মনিটর	monitor
মনিটর	monitori
মনিটর	jälgida
মনিটর	jälgija
মনিটর	monitorid
মনিটর	jälgib
খেলছেন	mängimas
খেলছেন	mängib
খেলছেন	mängimine
খেলছেন	mängivad
গম্ভীর	tõsised
গম্ভীর	tõsine
হার্জেগোভিনা	hertsegoviina
এমআইটি	mit
আমেরিকানদের	ameeriklased
মর্যাদাপূর্ণ	prestiižne
কোট	mantel
কোট	tsitaat
আকাশচুম্বী	pilvelõhkuja
পূর্বপুরুষদের	esivanemad
টেড	ted
কুং	kung
অবহেলিত	unarusse
লিডার	liider
লিডার	juht
লিডার	leader
হামবুর্গ	hamburgi
অ্যাডোবি	adobe
রাওয়ালপিন্ডি	rawalpindi
বাসিন্দারা	elanikud
বাসিন্দারা	residendid
প্লেবয়	playboy
সাম্রাজ্যবাদ	imperialismi
নির্দোষ	süütud
নির্দোষ	süütu
দারিদ্র	vaesus
আগ্নেয়াস্ত্র	tulirelva
লিটার	liitrit
লিটার	liiter
জানুন	õppima
জানুন	õpime
জানুন	õppida
জানুন	õpi
ব্রুকলিন	brooklyn
ব্রুকলিন	brooklyni
ব্যাটারী	patarei
ব্যাটারী	aku
ডেন	dane
ডেন	den
চুম্বন	suudlevad
চুম্বন	musi
চুম্বন	kiss
চুম্বন	suudlus
সান্টা	jõuluvana
সান্টা	santa
সমেত	kaasav
বোমাবর্ষণ	pommitasid
বোমাবর্ষণ	pommitamine
ইভান্স	evans
জ্ঞাত	teada
জ্ঞাত	teadaolevad
জ্ঞাত	teadaolev
জ্ঞাত	tuntud
তেনজিং	tenzin
সংহতি	solidaarsus
সেরে	taastumine
সেরে	taaskasutamine
টেসলা	tesla
উত্তল	kumer
দুঃখিত	kahju
দুঃখিত	vabandust
ভোল্ট	volt
ভোল্ট	volti
অভিনন্দন	õnnitlused
অভিনন্দন	õnnitlused
ফোটে	õitsevad
ফোটে	bloom
ফোটে	õitseb
সেনেগাল	senegali
মুনি	mooney
মুনি	muni
বাঁচার	ellujäämise
বাঁচার	ellujäämine
চার্চিল	churchill
উপকার	kasum
উপকার	kasu
উপকার	kasu
লেবু	sidrun
লেবু	sidruni
সুখী	õnnelik
গীর্জা	kiriku
গীর্জা	kirik
হান্ট	hunt
হান্ট	jaht
ট্রেডমার্ক	kaubamärk
বাসস্থানের	elupaikade
বাসস্থানের	elupaiga
ঘটনাসমূহ	üritused
ঘটনাসমূহ	sündmused
কদাচিৎ	harva
ঐশ্বরিক	jumalik
পোর্তো	porto
ফিঞ্চ	finch
শোভাযাত্রা	rongkäik
শ্রবণ	kuulmine
শ্রবণ	kuulamine
ছেলেরা	poisid
ছেলেরা	pojad
ছেলেরা	poisid
সস্তা	odavad
সস্তা	odav
সস্তা	odavalt
সস্তা	odavam
সস্তা	odavamalt
সস্তা	odavamad
পরিবাহী	dirigent
মানসিকতা	mentaliteet
হাটে	kõnnib
পরিদর্শনে	külas
ঘুঘু	tuvi
ওরিয়েন্টাল	idamaine
বোল্ট	bolt
আঙ্গুল	sõrmed
আঙ্গুল	näpp
আঙ্গুল	sõrm
আঙ্গুল	sõrme
শিখে	õpitud
অসলো	oslo
খাঁটি	autentne
খাঁটি	puhas
গোলাবারুদ	laskemoon
গোলাবারুদ	laskemoona
কিংডম	kuningriik
সরবরাহকারী	osutaja
সরবরাহকারী	pakkuja
কার্নেল	kerneli
অ্যালাস্টেয়ার	alastair
রেমন্ড	raymond
বিষয়াবলী	teemad
সনাক্তকরণ	avastamise
সনাক্তকরণ	tuvastamine
সনাক্তকরণ	avastamine
টিউমার	kasvaja
টিউমার	kasvajaid
আস্তানা	pööningul
আস্তানা	astana
হত্যাকান্ড	mõrv
পাঠায়	saadab
পরিচালকদের	direktorite
পরিচালকদের	haldajad
পরিচালকদের	juhid
লেনন	lennon
ময়লা	räpased
ময়লা	määrdunud
ময়লা	räpane
ময়লা	pori
ময়লা	muld
বার্নস	barnes
টেলিকম	telecom
বর্ন	sündis
বর্ন	sündinud
কাঠামোগত	struktuurne
কাঠামোগত	struktuuriline
সরলীকৃত	lihtsustatud
ইদ্রিস	idris
এইচআইভি	hivi
এইচআইভি	hiv
লিথুয়ানিয়া	leedus
লিথুয়ানিয়া	leedu
বাত	artriit
ছাদে	katus
দারা	dara
জেনারেটর	generaator
যুগোস্লাভিয়া	jugoslaavia
সিগারেট	sigareti
সিগারেট	suitsu
সিগারেট	sigaret
সিগারেট	sigaretid
ফ্যাকাল্টি	õppejõud
ফ্যাকাল্টি	teaduskonna
কেনসিংটন	kensington
নিবদ্ধ	keskendunud
বান্টু	bantu
উদিত	tõuseb
ইতিমধ্যেই	juba
দাতা	doonor
দাতা	doonori
কার্গো	lasti
সাই	psy
সাই	psi
সাই	sai
পাউডার	pulber
অ্যাকিলিস	achilleus
বিশৃঙ্খলা	kaos
অন্যভাবে	muidu
মরিসন	morrison
ভাঁজ	volditud
ফ্ল্যাগ	lipud
আয়ত্ত	omandanud
যোনি	vagiina
অনুরাগী	ventilaator
অনুরাগী	fänn
ফ্যান	ventilaator
ফ্যান	fänn
প্রসেসিং	töötlus
প্রসেসিং	töötlemine
এয়ারলাইন	lennufirma
অসুখ	haigused
অসুখ	haigus
স্তবক	klaster
স্তবক	klastrite
টমি	tommy
অনাথ	orb
আবর্জনা	prügikasti
আবর্জনা	prügikasti
আবর্জনা	prügi
শাশ্বত	igavest
শাশ্বত	igavene
ঝুলে	ripuvad
ঝুলে	ripub
শূণ্য	midagi
শূণ্য	puudub
পেটে	kõht
পেটে	magu
বন্ধনী	sulgudes
ক্রিসমাস	jõulud
ক্রিসমাস	jõule
ডোমিনিকান	dominikaani
ক্যাফে	cafe
ক্যাফে	kohvikus
ক্যাফে	kohvik
আমস্টারডাম	amsterdam
আমস্টারডাম	amsterdami
ডাকোটা	dakota
লবন	soola
লবন	sool
মনু	manu
কাতালোনিয়া	kataloonia
হিউজ	hughes
ঝাং	zhang
পারবো	oskab
পারবো	saab
জন্তু	elukas
জন্তু	koletis
তাজিক	tadžiki
ওয়াং	wong
ওয়াং	wang
সিমন	simone
অথরিটি	asutus
অথরিটি	ametiasutus
সংবাদদাতা	korrespondent
ইসাবেল	isabel
ইসাবেল	isabelle
মর্গান	morgan
লিসা	lisa
উৎকর্ষ	tipptaseme
ফিন	finn
গুণের	voorused
প্রাচুর্য	arvukuse
প্রাচুর্য	arvukus
মনোযোগী	tähelepanelik
অ্যাকাডেমিক	akadeemiline
অ্যাকাডেমিক	akadeemilise
চকোলেট	šokolaad
চকোলেট	šokolaadi
সিগন্যাল	signaal
সিগন্যাল	signaali
সিগন্যাল	märguanne
ইন্দ্রিয়	sensoorne
বহুভাষী	mitmekeelne
দ্রবণ	tahke
দ্রবণ	tahked
দ্রবণ	räni
দ্রবণ	lahusti
দ্রবণ	lahendus
দ্রবণ	lahus
মিট	mitt
শেখানো	õpetatud
শেখানো	õpetas
সহজতর	lihtsam
সহজতর	kergem
ট্রেডিং	kauplemine
ট্রেডিং	kauplemise
এন্টারপ্রাইজ	enterprise
এন্টারপ্রাইজ	ettevõte
এন্টারপ্রাইজ	ettevõtlus
সন্দেহের	kahtlused
সন্দেহের	kahtlused
স্তূপ	kuhi
স্তূপ	kuhja
হোলি	holi
অ্যারন	aaron
রক্তাক্ত	verine
রাউল	raul
রাউল	raúl
ডাকাতি	rööv
ডাকাতি	röövi
ডাকাতি	röövimine
যুদ্ধজাহাজ	sõjalaev
সক	soc
সক	sokk
স্ফটিক	crystal
স্ফটিক	kristall
পরিসীমা	vahemik
পরিসীমা	vahemikus
ফার্মেসি	apteek
ফাঁপা	õõnsad
দুষ্প্রাপ্য	harv
দুষ্প্রাপ্য	harva
দুষ্প্রাপ্য	haruldased
দুষ্প্রাপ্য	haruldane
সিনেটর	senaator
সিনেটর	senaatorid
আইফেল	eiffeli
চো	cho
ঘুরি	pööre
ঘুরি	pööra
ঘুরি	keera
ইয়ন	yeon
মেয়েটি	tüdruk
বিশ্বাসঘাতকতা	reet
বিশ্বাসঘাতকতা	reetmine
বিশ্বাসঘাতকতা	reetmine
মশা	sääsk
জিয়ান	xian
হাসির	naerata
হাসির	naeratus
হাসির	naer
হাসির	naeru
বেকারত্ব	tööpuudus
বেকারত্ব	töötus
যৌতুক	kaasavara
নজির	pretsedendi
নজির	pretsedent
মরিয়ম	mary
মরিয়ম	maarja
ইলিয়ট	eliot
তালা	lukud
ক্রাউন	krooni
ক্রাউন	crown
ক্রাউন	kroon
প্লট	proovitüki
অস্বীকৃত	keelatud
একেশ্বরবাদী	monoteistlik
লেভি	levi
বিশ্লেষক	analüütik
সামোয়া	samoa
টাইটানিক	titanic
বিপর্যস্ত	laastatud
বিপর্যস্ত	ärritunud
শেঠ	seth
তানজানিয়া	tansaania
গুয়াতেমালা	guatemala
গুয়াতেমালা	guatemala
কসোভো	kosovo
ডু	doo
ভাস্কো	vasco
প্লেস্টেশন	playstation
দারুচিনি	kaneeli
বিবেক	südametunnistus
হাস্যরসাত্মক	koomiline
এঞ্জেলস	angelese
নিরপেক্ষতা	neutraalsuse
নিরপেক্ষতা	erapooletus
নিরপেক্ষতা	erapooletus
প্রতিরোধী	resistentsete
কুয়াশা	udu
কুয়াশা	udu
কুয়াশা	betoonist
কুয়াশা	konkreetseid
কুয়াশা	betooni
খমের	khmeeri
ফটোশপ	photoshop
ভোক্তা	tarbija
ভোক্তা	tarbijad
অ্যাস্টন	ashton
বাজ	buzz
কর্মক্ষমতা	tulemuslikkus
কর্মক্ষমতা	tulemuslikkuse
কর্মক্ষমতা	jõudlus
ক্যাথিড্রাল	katedraal
রোম্যান্টিক	romantik
রোম্যান্টিক	romantiline
মামার	mamma
মামার	ema
মামার	mama
নিশাচর	öised
নিশাচর	öine
স্যুট	sviiti
স্যুট	ülikond
কোহেন	cohen
পুঁজিবাদী	kapitalistliku
গাজি	ghazi
ছুরি	noad
ছুরি	nuga
ছুরি	noa
বিদ্রোহীরা	mässulised
ইঙ্ক	inc
ধমনী	arteri
ধমনী	arterid
পলিসি	poliitika
বরিস	boris
বরিস	boriss
হেসে	hesse
মমি	emme
মমি	muumia
দিমিত্রি	dmitri
মরা	surnud
পরিচর্যা	hooli
ঝাঁপ	hüpe
নিপীড়ন	tagakiusamine
নিপীড়ন	rõhumise
জামাই	peigmees
থিসিস	väitekirja
অভিবাসীদের	sisserändajate
প্রত্যাখ্যাত	tühistatud
ইকো	eco
ইকো	kaja
কংক্রিট	betoonist
কংক্রিট	konkreetseid
কংক্রিট	betooni
কাঞ্জি	kanji
বপন	külvi
শখের	amatöör
ক্লদ	claude
মিশা	misha
সুইট	magusa
সুইট	magus
সুইট	magusad
সন্মান	au
আবেগের	kirge
আবেগের	kirg
গোলাগুলি	laskmine
গোলাগুলি	tulistamine
গ্রাহকদের	klientidele
গ্রাহকদের	kliendid
দোস্ত	kutt
দোস্ত	dude
ইনজুরি	vigastus
বেরি	marja
বেরি	berry
আজকে	troopilise
আজকে	täna
রক্তপাত	veritsus
রক্তপাত	verejooks
রক্তপাত	verevalamist
লুপ	silmus
লুপ	loop
গাউস	gauss
ওমেগা	omega
ফুয়াদ	fouad
শেফার্ড	lambakoerad
শেফার্ড	karjus
গুঁড়া	pulbristatud
জানত	teadis
জানত	teadsid
জানত	teadsin
গ্যাব্রিয়েল	gabriel
ধোঁয়া	suitsu
ধোঁয়া	suits
পুষ্প	õis
আইনত	juriidiliselt
আইনত	legaalselt
আইনত	seaduslikult
আইনত	õiguslikult
দারিদ্র্য	vaesus
সংশয়	kahtlus
কোণায়	nurk
কোণায়	nurka
সেকশন	lõik
সেকশন	sektsioon
সেকশন	jagu
ট্রেভর	trevor
অংশগ্রহনের	osalus
অংশগ্রহনের	osalemine
নরওয়েজিয়ান	norra
বিলম্ব	viivitus
ক্লেয়ার	claire
নার্স	õed
নার্স	medõde
নার্স	õde
ডেভেলপার	arendaja
পড়ছে	kukkumine
মোনাকো	monaco
সোনিয়া	sonia
সস	kastme
সস	kaste
হ্যাট	müts
হ্যাট	mütsi
হ্যাট	kaabu
হ্যাট	kübar
বিশৃঙ্খল	kaootiline
আবদেল	abdel
করিডোর	koridor
ওনার	teda
ওনার	tema
কারিগর	mehaanik
মাখন	võid
মাখন	või
রু	rue
সোডা	sooda
মুসলমানের	moslem
মুসলমানের	moslemi
পেঁচা	öökull
ময়দা	jahu
শুয়ে	valetamine
হিলারি	hillary
হিলারি	hilary
আটলান্টা	atlanta
আটলান্টা	atlantas
আইসল্যান্ডীয়	islandi
কিউব	cube
কিউব	kuubik
কিউব	kuubiku
পুকুরে	tiigi
পুকুরে	tiik
পুকুরে	tiiki
পুনরুজ্জীবিত	taaselustada
স্থূলতা	rasvumise
অন্তর্বাস	aluspüksid
অন্তর্বাস	aluspesu
বন্ধুত্বের	sõprus
বন্ধুত্বের	sõpruse
বন্ধুত্বের	sõprust
শিশ্ন	peenis
নির্গমন	heide
নির্গমন	heitmed
নির্গমন	heitkoguste
সামুরাই	samurai
মগ	kruus
ভদ্র	korralik
ভদ্র	viisakas
ভদ্র	hell
ভদ্র	õrn
ইভ	eve
ইভ	eeva
অনির্দিষ্ট	määramata
অনির্দিষ্ট	iga
জেসি	jessie
জেসি	jesse
লুডভিগ	ludwig
সহকর্মীদের	kolleegid
টিমোথি	timothy
জোসে	jose
দুল	ripats
আশি	kaheksakümmend
কর্নেলিয়াস	cornelius
বিশেষজ্ঞরা	spetsialistid
বিশেষজ্ঞরা	eksperdid
দায়িত্বের	vastutus
দায়িত্বের	kohustused
দায়িত্বের	vastutus
উমা	uma
এলটন	alton
ডেভি	davey
নিশ্চিতভাবে	kindlasti
জারা	zara
ইতালিয়	itaalia
দীপক	deepak
হাওয়াইয়ান	hawaii
হাওয়াইয়ান	havai
যোদ্ধারা	hävitajad
যোদ্ধারা	võitlejad
রেন	wren
রেন	ren
বোনা	koon
বোনা	kootud
পিচ	pigi
কপাল	laup
কেও	samuti
কেও	ka
কেও	liiga
ব্যাগ	kott
ব্যাগ	koti
ব্যাগ	kotid
মরে	sure
মরে	surra
মুরগি	kana
মুরগি	kanad
জরীপ	vaatlused
জরীপ	uuringud
অবশিষ্টাংশ	jäänuk
পরিসমাপ্তি	lõpp
সুপারনোভা	supernoova
রোমা	roma
ছড়ানো	levib
কোয়ালিশন	koalitsiooni
হিচকক	hitchcock
অ্যালিস	alice
চিনা	hiina
চিনা	hiinlased
সন্নিহিত	külgnevate
কাশ্মীরে	kashmiri
যন্ত্রণা	valu
এন্টি	anti
সিরামিক	keraamilised
সিরামিক	keraamika
হন্ডুরাস	hondurase
স্লোভাক	slovaki
স্লোভাক	slovakkia
সাইফ	saif
ভূতের	õudus
যাচাইকরণ	kontrollimine
যাচাইকরণ	tõendamine
সোফি	sophie
তালিবান	talibani
তালিবান	taliban
শকুন	raisakotkas
কীটপতঙ্গ	kahjurite
কাক	vares
কাক	varesed
প্রমানিত	tõestas
প্রমানিত	tõestasid
দরিয়া	darja
ধর্মযাজক	pastor
যক্ষ্মা	tuberkuloosi
যক্ষ্মা	tuberkuloos
অ্যানালগ	analoog
অ্যানালগ	analoog
অয়েল	õli
অয়েল	nafta
কলিন্স	collins
বোটানিক্যাল	botaaniline
ফ্রেজার	fraser
খুলি	kolju
খুলি	pealuu
বর্ণালী	spektri
পাঙ্ক	punk
স্পর্শকাতর	tundlik
স্পর্শকাতর	tundlikud
সোয়াহিলি	suahiili
বারমুডা	bermuda
ক্রোধ	viha
ক্রোধ	raev
চেস্টার	chester
জার্মানদের	sakslased
পুরা	pura
বেল্ট	vöö
চুম্বক	magnet
চুম্বক	magnetid
রুজভেল্ট	roosevelt
আসবাবপত্র	mööbel
ফেরেশতা	inglid
ডার	der
আজিম	azim
আকাঙ্ক্ষা	igatsus
সেশন	hooaeg
সেশন	seanss
সেশন	seansi
সেশন	istungid
কাশি	köha
কাশি	köha
শখ	hobi
শখ	hobid
তাইপে	taipei
কই	koi
প্রতিবেদক	ajakirjanik
প্রতিবেদক	reporter
পুণ্য	vagadus
ইনলাইন	sisene
প্রলেপ	katmine
মেকানিক্যাল	mehaanilised
মেকানিক্যাল	mehaaniline
শা	sha
গার্সিয়া	garcia
গার্সিয়া	garcía
ক্রেতাদের	ostjad
কারাগারের	vangla
হ্যালো	tere
হ্যালো	hello
অভূতপূর্ব	enneolematu
হাইতি	haiti
অ্যান্টি	anti
ফার্নান্দো	fernando
লিবার্টি	liberty
লিবার্টি	vabadus
নিশান	lipp
নিশান	lipu
অপ্রত্যাশিত	ootamatu
রলিন্স	rollins
ঐকমত্য	konsensus
ঐকমত্য	konsensuse
ঐকমত্য	üksmeel
ক্লোরিন	kloori
আসিয়ান	aseani
হং	hong
হীরক	diamond
হীরক	teemant
রম	rom
হার্ডি	hardy
পুনর্বাসন	taastusravi
টলেমি	ptolemaios
নীরব	vaikne
নীরব	tumm
ট্রাঙ্ক	pakiruumi
প্যারেড	paraadi
প্যারেড	paraad
গার্হস্থ্য	riigisisesed
গার্হস্থ্য	kodumaine
কর্মশালা	seminaride
কর্মশালা	seminarid
কর্মশালা	töökoda
কর্মশালা	seminar
ফ্রিকোয়েন্সি	esinemissagedus
ফ্রিকোয়েন্সি	sagedus
স্ট্যাম্প	pitser
স্ট্যাম্প	tempel
ডার্বি	darby
ডার্বি	derby
বার্টন	burton
সুন্দরভাবে	kaunilt
জাম্বিয়া	gambia
জাম্বিয়া	sambia
চৌ	choi
চৌ	chou
বেলে	belle
মন্টি	monte
মন্টি	monty
ফেজ	etapp
ফেজ	faasi
ফেজ	faas
আর্মস্ট্রং	armstrong
কাব্যিক	poeetiline
অট্টালিকা	mõis
সিড	sid
পাপড়ি	kroonlehed
তেও	teo
লয়	finaal
জিওফ	geoff
প্রত্ন	proto
সালিম	salim
হজম	seedimine
হজম	seedida
নারীবাদ	feminism
হরতাল	streik
হরতাল	löök
হ্যামিলটন	hamiltoni
হ্যামিলটন	hamilton
নিকিতা	nikita
জেনি	jenni
জেনি	jenny
শিকারি	kütt
শিকারি	hunter
শিকারি	jahimees
লোপ	kahjum
লোপ	kaotus
ঝগড়া	möll
ঝগড়া	tüli
ঝগড়া	võitle
ঝগড়া	võitlus
স্থিতিশীলতা	stabiliseerimine
পাচ্ছে	saamine
মেধার	väärivad
প্রত্যাহারের	tagasivõtmine
প্রত্যাহারের	tühistamise
মিনা	mina
মার্কোস	marcos
উচিৎ	peaksid
উচিৎ	peaks
রিয়ার	tagumised
রিয়ার	tagaosa
রিয়ার	tagumine
রিয়ার	tagant
রিয়ার	taga
পর্যবেক্ষন	tähelepanek
পর্যবেক্ষন	vaatluse
পর্যবেক্ষন	vaatlus
সালভাদোর	salvador
ন্যাটো	nato
কমিক্স	koomiksid
কমিক্স	koomikseid
লিন্ডসে	lindsey
লিন্ডসে	lindsay
শর্তাবলী	terminid
কবুতর	tuvi
তাজা	värsked
তাজা	värske
টিলা	kõrgus
টিলা	reljeefi
কিলো	kilo
ইউরিয়া	karbamiidi
ইউরিয়া	uurea
ঝি	õetütar
ঝি	vennatütar
ভক্তরা	fänne
ভক্তরা	fännid
মাছি	fly
মাছি	lenda
মাছি	lennata
মাছি	lendama
মাছি	kärbes
স্ট্রিপ	riba
স্ট্রিপ	ribad
পেরি	perry
চাকার	wheeler
ফারাহ	farah
ভিজে	märg
ভিজে	märjad
ভিজে	märjaks
ম্যাকডোনাল্ড	mcdonald
দৃঢ়ভাবে	tugevalt
দৃঢ়ভাবে	kindlalt
জাং	jang
জাং	jung
জুতো	jalanõud
জুতো	jalatsid
জুতো	kingad
জুতো	jalanõud
জুতো	king
জুতো	kinga
অচেনা	võõrad
অচেনা	võõras
পেন্সিল	pliiats
পেন্সিল	pliiatsi
পেন্সিল	pliiatsid
চ্যাট	vestlus
গার্ডিয়ান	eestkostja
গার্ডিয়ান	hooldaja
গার্ডিয়ান	kaitsja
গার্ডিয়ান	valvur
গার্ডিয়ান	kaitsjad
গার্ডিয়ান	valvurid
দিত	moonutada
ব্যানার	banner
হাজারো	tuhanded
হাজারো	tuhandetes
হাজারো	tuhandeid
এমএসসি	msc
ওয়্যারলেস	traadita
পবিত্রতা	pühadus
চোয়াল	lõualuu
নির্বাণ	nirvana
স্টোকস	stokes
সার্জারি	kirurgia
সার্জারি	lõikus
সার্জারি	operatsioon
প্রতিবন্ধকতা	takistused
কার্টিস	curtis
ডিএসসি	dsc
প্রেমিকা	sõbranna
প্রেমিকা	tüdruksõber
প্রেমিকা	armuke
প্রেমিকা	armastaja
ফাইটার	võitleja
গুজ	hani
গুজ	hane
রসুন	küüslauk
বেলিজ	belize
ক্যালকুলেটর	kalkulaator
ক্যালকুলেটর	arvutamine
ডিরেক্টরি	kataloog
মনোবিজ্ঞানী	psühhiaater
সহস্রাব্দ	aastatuhande
ব্যবসায়ীরা	ettevõtjad
ব্যবসায়ীরা	kauplejad
ব্যবসায়ীরা	kaupmehed
ব্যবসায়ীরা	kaupmehed
ব্যবসায়ীরা	ärimehed
মাইক্রোওয়েভ	mikrolaine
ওসাকা	osaka
ইথানল	etanool
ইথানল	etanooli
ইথানল	etanoolis
অবয়ব	välimus
কামড়ে	amps
কামড়ে	hammustus
কামড়ে	hammusta
উল্কা	meteoor
উল্কা	meteoriit
লিংকন	lincoln
লিংকন	lincolni
ক্লান্ত	väsinud
পট	pada
পট	potti
পট	pott
ভয়েজার	voyager
গেলো	millal
গেলো	kui
কিউবান	kuuba
সিঙ্গেল	üksik
সিঙ্গেল	ühtne
সিঙ্গেল	valla
সিঙ্গেল	ühtse
সিঙ্গেল	ühekordne
সিঙ্গেল	vallaline
গুস্তাভ	gustav
ডজন	kümneid
ডজন	kümned
ডজন	tosinaid
ডজন	kümmekond
ডজন	tosin
মিথানল	metanooli
দেশগুলি	riigid
বঙ্গে	bengali
ব্রুক	brooke
বাসে	buss
বাসে	bussi
বাসে	bussiga
অস্ট্রিয়ান	austria
পরীক্ষিত	testitud
পরীক্ষিত	katsetatud
পরীক্ষিত	kontrollitud
ইউরেনাস	uraan
ইউরেনাস	uraani
চিন্তিত	mures
চিন্তিত	murelik
চিন্তিত	mures
মথ	koi
বাজি	kihlvedu
বাজি	panus
বাজি	kihla
বাজি	kihlvedu
এয়ারক্রাফট	lennukid
এয়ারক্রাফট	õhusõidukid
এয়ারক্রাফট	õhusõiduk
সিম্পসন	simpsonid
সিম্পসন	simpsoni
সিম্পসন	simpson
হোল্ডিং	hoidmine
বুদ্ধির	luure
রেনে	renee
রেনে	rené
