탄산	cacbonat
가뭄	lau
생성하기	tạo
접합	tangent
루사카	lusaka
주름	folds
주름	nhăn
주름	nếp
리니지	lineage
성형	nhựa
성형	plastic
척추동물	vertebrate
토마호크	tomahawk
트라키아	thrace
계시	khải
믹서	mixer
플라이스토세	pleistocene
휘파람	còi
휘파람	sáo
타이핑	taiping
타이핑	gõ
카펠라	capella
도버	dover
광대역	broadband
광대역	wideband
시스코	cisco
건강하게	healthy
브렌다	brenda
건방진	láu
의존성	dependence
브로츠와프	wrocław
비누	xà
태아	fetus
태아	fetal
약품	vải
타이슨	tyson
바나듐	vanadium
툴라	tula
콤프턴	compton
루미아	lumia
괴물이	monster
미식	gourmet
부커	booker
바르바리	barbary
아그네스	agnes
재커리	zachary
고메즈	gomez
고메즈	gómez
고메즈	gómez
키노	kino
시코르스키	sikorsky
안데르손	andersson
알렉시오스	alexios
왁스	sáp
왁스	wax
에스프레소	expresso
에스프레소	espresso
아웅	aung
칼데론	calderon
개릿	garrett
베르트랑	bertrand
아멜리아	amelia
비비안	vivian
데몬	daemon
리스크	liều
리스크	ro
염소자리	dê
염소자리	goat
해머스미스	hammersmith
스카	ska
연속체	continuum
철자	spell
참새목	passer
참새목	sparrow
후회	anger
테런스	terrence
그립	grip
그립	grep
그립	giựt
그립	chụp
마리안	marian
마리안	mariane
마리안	marianne
베라크루스	veracruz
라데온	radeon
도레미	remy
컨버터블	convertible
아람	aram
이든	eden
플로라	flora
유비소프트	ubisoft
아이돌이	idol
아나스타샤	anastasia
하프늄	hafni
누리	nuri
누리	nouri
사와라	homare
카와사키	kawasaki
트라이던트	trident
낙지	octopus
안주	anju
안젤리나	angelina
칸타타	cantata
스토킹	rình
스토킹	rình
플로	luồng
플로	màng
플로	flow
헤이스팅스	hastings
마이어스	meyers
마이어스	myers
레퀴엠	requiem
좁다	hẹp
음주운전	dui
세륨	xeri
쿨롱	coulomb
그란데	grande
키클롭스	cyclops
오번	auburn
결심	quyết
에이브릴	avril
심포지엄	symposium
지혜로운	wise
필터링	lọc
필터링	lọc
슐츠	schultz
슐츠	schulze
슐츠	schulz
라빈	rabin
클로이	chloe
배럿	barrett
자존심	ngạo
페트라	petra
편향	biased
편향	bias
과야킬	guayaquil
타이쿤	tycoon
라크로스	lacrosse
부츠	boot
부츠	giày
부츠	bốt
부츠	ủng
부츠	boots
하얗게	trắng
하얗게	white
하얗게	bạch
반점	chấm
반점	đốm
도팽	dauphin
도리스	doris
스타일리스트	stylist
항공우주	aerospace
진심	hen
버거	burger
버거	burgers
메르켈	merkel
카탈루냐어	catalan
그웬	gwen
불완전	imperfect
메시아	messiah
스테이시	stacey
스테이시	stacy
가드너	gartner
가드너	gardener
가드너	gardner
손톱	nail
손톱	móng
손톱	nail
손톱	nails
코르넬리우스	cornelius
캐스퍼	casper
탐색기	navigator
탐색기	explorer
슬림	slim
슬림	gầy
드레퓌스	dreyfus
드레퓌스	dreyfuss
스칸듐	scandi
차오	chao
종착	terminus
크라이스트	christ
펠프스	phelps
분실	mất
분실	thua
만다린	mandarin
만다린	quýt
두분	hai
두분	two
카일리	kylie
오스본	osborn
오스본	osbourne
부엉이	glaucidium
부엉이	cú
부엉이	owl
부엉이	cú
마쓰자카	matsuzaka
넬리	nelly
넬리	nellie
셀룰러	cellular
모라비아	moravia
다구치	taguchi
생강	ginger
생강	gừng
레지스트리	registry
방문객	khách
방문객	khách
인구조사	census
세로토닌	serotonin
린츠	linz
소녀들	girls
소녀들	gái
빈트후크	windhoek
수십억	tỷ
수십억	tỉ
안락사	euthanasia
카우나스	kaunas
캐리비안	caribê
캐리비안	caribbean
캐리비안	caribe
매춘	đĩ
리치몬드	richmond
망막	retina
나바호	navajo
빌더	builder
와인스타인	weinstein
벤슨	benson
재닛	janet
히스패닉	hispanic
낙서	graffiti
낙서	doodle
버트런드	bertrand
스턴	stern
캐주얼	casual
캐슬린	kathleen
엘렉트라	electra
엘렉트라	elektra
마일리	miles
마일리	phít
마일리	km
마일리	dặm
저장하기	lưu
저장하기	bích
저장하기	cứu
캐딜락	cadillac
모나	mona
카셀	kassel
보름	giun
보름	worms
나일론	nylon
호노리오	honorius
호노리오	hônôriô
앤젤레스	angeles
대장장이	rèn
아웃룩	outlook
지브리	ghibli
호러스	horace
로듐	rhodium
포스트모더니즘	postmodernism
면접	phỏng
묻어	chôn
발데스	valdez
닐센	nielsen
호머	homer
툴롱	toulon
샤워	tắm
세일	bán
세일	lô
세일	sale
로마노	romano
닉네임	nickname
메시나	messina
다시보기	replay
어려	younger
글로리	vinh
노리스	norris
퍼브	ferb
신시아	cynthia
힐튼	hilton
달마티아	dalmatia
챕터	chương
천사들	angels
푸에블라	puebla
에밀리아	emilia
아르테미스	artemis
골드버그	goldberg
행운	may
행운	lucky
갠지스	hằng
덜레스	dulles
안젤리크	angelique
루드비히	ludwig
슈뢰더	shredder
스테퍼니	stephanie
연필	chì
허스트	hirst
워크샵	xưởng
예금	deposit
주방	bếp
모랄레스	morales
올보르	aalborg
성숙	mature
캡슐	capsule
캡슐	khoang
핸콕	hancock
에미넴	eminem
바스켓	giỏ
바스켓	rổ
에머슨	emerson
브로드밴드	broadband
금발	blondes
금발	blonde
앵글	góc
불태웠다	táng
쓸모없는	useless
방전	tit
삼바	samba
레네	rené
반역	phản
카르티에	cartier
물린	cắn
전시장	showroom
배스	bass
오딘	odin
샤프트	trục
드리프트	trôi
싱클레어	sinclair
팝업	popup
브로디	brody
핸슨	hanson
루시아	lucia
살레	salih
녹아웃	knockout
녹아웃	knockouts
레위니옹	réunion
겁쟁이	hèn
겁쟁이	nhát
신경과학	neuroscience
구로카와	kisho
아만다	tô
아만다	amanda
속삭임	whisper
속삭임	whispers
백스트리트	backstreet
절망	rờn
오버플로	tràn
스타트업	startup
폭풍우	bão
소망	muôn
무르시아	murcia
마르셀로	marcelo
갑상선	thyroid
에스테반	esteban
증폭	amp
불가리아어	bun
콘라드	conrad
앤트워프	antwerp
트레일	trail
트레일	vết
트레일	vệt
트레일	trails
치어리더	cheerleader
엑소시스트	exorcist
분홍	pink
분홍	hồng
힐링	healing
극성	cực
세이퍼트	seyfert
앨버커키	albuquerque
질레트	gillette
레소토	lesotho
해서웨이	hathaway
템스	thames
베르됭	verdun
피날레	finale
보이보디나	vojvodina
모가디슈	mogadishu
카롤리나	carolina
사보이아	savoy
