прогрес	napredak
депутатите	parlamentaraca
депутатите	parlamentarci
депутатите	poslanici
стабилност	stabilnost
бедни	loše
бедни	siromašni
бедни	siromašnih
бюрото	biro
словашки	slovački
янкович	janković
царуването	vladavine
тръба	cijev
тръба	cijev
месото	meso
такси	taksi
такси	taksi
такси	naknada
такси	naknade
албумите	albuma
лош	loše
лош	bad
лош	loš
разработване	razvoj
разработване	razvijao
разработване	razvija
документа	dokument
запазено	rezervisan
запазено	proučena
статуи	statue
математическа	matematički
математическа	matematička
айнщайн	einstein
коридор	koridor
лора	laura
лора	lora
слухове	glasine
слухове	glasine
плячка	plen
плячка	nagradni
параклиса	kapela
къс	cus
противниците	protivnici
достатъчна	dovoljan
младен	mladen
лоша	loše
лоша	bad
лоша	loš
зигмунд	sigmund
евдокия	eudokija
петрол	benzin
петрол	ulje
петрол	nafta
лихтенщайн	lihtenštajn
лихтенщайн	lichtenstein
беатрис	beatrice
суматра	sumatra
оператори	operateri
оператори	operatera
слива	plum
форуми	forumima
кадафи	gaddafija
кадафи	gaddafi
зареждане	učitavanje
зареждане	teret
зареждане	optužba
зареждане	naboj
зареждане	učitavanje
зареждане	optuživši
зареждане	optužujući
харисън	harrison
елзас	alsace
добавка	dodatak
добавка	aditiv
рап	rep
интервал	interval
лингвистика	lingvistika
моделите	modeli
панорама	panorama
хрушчов	hruščov
деян	dejan
лидия	lydia
антонин	antonin
възможен	mogući
възможен	moguće
раул	raoul
раул	raul
миграция	migracije
миграция	migracija
митове	mitova
митове	mitovi
мюзикъл	muzičkim
мюзикъл	muzičke
мюзикъл	muzički
мюзикъл	muzička
мюзикъл	mjuzikl
мюзикъл	musical
работилница	radionica
работилница	radionice
работилница	radionici
работилница	radionicu
галактика	galaksija
кавалерия	konjica
клиент	mušterija
клиент	klijent
завой	okrenuti
завой	pretvaranje
завой	turn
завой	pretvoriti
завой	yarra
емили	emilie
емили	emily
светкавица	flash
светкавица	munja
мазнини	masti
мазнини	masti
мазнини	fat
мазнини	debela
мазнини	masnoća
мазнини	masnoće
самоубийство	samoubistva
самоубийство	samoubistvo
завършила	diplomirao
достигане	dostići
крайни	ekstremni
крайни	krajnjem
крайни	ekstremne
крайни	ekstremnim
смесена	mješovite
смесена	mješovita
таун	towne
проектиран	dizajniran
соломон	sulejman
екрана	ekran
екрана	ekrana
джеси	jessie
джеси	jesse
съчетава	kombinuje
съчетава	objedinjuje
преобразува	converts
преобразува	pretvara
глазгоу	glasgow
растат	rastu
растат	rasti
съкровище	blago
астероид	asteroidi
кейн	cain
кейн	kane
кейн	cane
кейн	caine
унищожена	uništene
унищожена	uništen
унищожена	uništena
унищожена	uništeni
положително	pozitivna
положително	pozitivan
положително	pozitivne
положително	pozitivni
положително	pozitivno
заплата	plaće
заплата	plate
заплата	plaća
моравия	moravia
страбон	strabon
антропология	antropologija
американци	amerikanaca
американци	amerikanci
ренесанса	renesansa
богатството	bogatstvo
кръгли	rundu
лена	lena
етажа	kata
етажа	spratova
фасада	fasada
ограничаване	ograničava
ограничаване	ograničavanja
ограничаване	ograničavaju
ограничаване	ograničenje
доза	dozi
доза	doza
хендрикс	hendrix
измервания	merenje
измервания	mjerenja
измервания	mjerenje
емблема	amblem
пиеро	pierrot
пиеро	piero
петра	petra
мускул	mišić
тбилиси	tbilisi
разкрити	objelodanio
разкрити	otkrila
колонията	kolonija
сиви	gray
сиви	siva
сиви	sive
сиви	sivi
сиви	siva
полезна	koristan
полезна	saradnici
полезна	korisno
полезна	korisni
полезна	korisne
полезна	korisna
полезна	korisni
показани	prikazana
показани	pokazivao
крайници	udova
крайници	ekstremiteta
размножаване	uzgojem
размножаване	razmnožavanje
статуята	kip
териториално	teritorijalnoj
териториално	teritorijalni
териториално	teritorijalna
териториално	teritorijalne
верни	odan
верни	lojalnih
верни	istina
верни	tačna
верни	vjernike
верни	vjerna
верни	vjernici
алпите	alpi
демо	demo
архиви	rekordi
архиви	zapisi
архиви	arhive
архиви	arhiv
документите	dokumentima
документите	dokumenata
документите	dokumenti
документите	dokumente
вечеря	večera
вечеря	večeru
вечеря	večere
померания	pomerania
накратко	nakratko
унищожаването	uništavanje
анализи	analiza
съдържаща	nalazili
бедствия	katastrofe
бедствия	katastrofa
фитипалди	fittipaldi
производни	derivati
влажни	vlažne
влажни	damp
подводница	podmornica
перо	perje
перо	pero
арктика	arktik
въведение	uvođenje
въведение	upoznavanje
въведение	intro
бара	bara
важност	važnost
важност	važnosti
важност	značaj
торпедо	torpedo
удря	hitovi
конан	conan
шрифт	font
бюст	kalavost
пустиня	pustinja
новгород	novgorod
върти	vrti
намален	smanjen
намален	smanjena
зърна	žita
зърна	zrno
сенат	senat
апогей	apogee
утре	sutra
проява	ispoljavanje
авторитет	autoritet
японско	japanski
полуфинала	polufinalna
преки	direktni
преки	direktna
преки	direktan
шведска	švedski
цин	ćin
тотнъм	tottenham
гробници	grobnicama
атланта	atlanta
елит	elita
елит	elite
бомбардировач	bombarder
рита	rita
директорите	direktori
директорите	režiseri
рон	ron
стратегическо	strateške
стратегическо	strateška
стратегическо	strateški
темите	teme
темите	teme
паскал	pascal
трио	trio
указания	uputstvu
указания	uputstva
указания	upute
указания	instrukcije
трагедията	tragedija
бунтовниците	pobunjenika
малцинства	manjine
фред	fred
основания	osnov
готово	uradio
готово	urađen
готово	završeno
готово	urađeno
грозни	ružan
грозни	grozni
железни	željezo
близнаци	blizanac
близнаци	blizanci
близнаци	blizanci
бомбардировачи	bombardera
бомбардировачи	bombarderi
совалка	šatl
замъци	zamkovi
тигър	tigar
видя	vidi
видя	jie
видя	vide
видя	vidjeti
видя	see
видя	vidimo
имигранти	imigranti
имигранти	migranti
имигранти	imigranti
имигранти	imigranata
имигранти	imigrant
вкъщи	dom
вкъщи	home
обсерватория	opservatorija
грама	grama
азаренка	azarenka
виолета	violetta
виолета	violet
младост	omladina
поддръжници	navijači
поддръжници	pristalica
поддръжници	pristalice
познато	poznato
изолация	izolaciju
изолация	izolacija
изолация	izolaciju
изолация	izolacije
гробища	mezarja
гробища	groblje
унищожи	uništi
унищожи	uništiti
успее	naslijediti
съвместни	zajedničke
момичетата	djevojke
момичетата	girls
заплашва	ugrožava
заплашва	prijeti
заплашва	prijete
придвижване	pokret
далас	dallas
съставна	složeni
мода	couture
мода	moda
пие	piju
пие	pio
пие	piće
пие	pića
пие	pije
верде	verde
управляващ	vođenje
преминал	usvojen
смях	smijeh
смях	smije
компилация	compilation
оттегляне	povuče
оттегляне	povlačenje
клане	masakr
клане	pokolj
симпсън	simpsons
симпсън	simpson
образователна	obrazovna
детектив	detektiv
албанско	albanski
приключенията	avanture
редове	redova
редове	linije
предимства	prednosti
предимства	pogodnosti
предимства	prednosti
римляни	rimljani
некропол	nekropola
еоод	ltd
формати	formats
отворено	otvorene
отворено	otvorena
отворено	otvoren
отворено	otvoreno
отворено	open
квалификации	rejting
квалификации	kvalifikacije
квалификации	kvalifikacija
квалификации	kvalifikacije
печалба	profit
печалба	dobit
печалба	profit
одобрение	odobravanje
одобрение	odobrenje
демокрацията	demokratija
фиат	fiat
блейк	blake
еврейско	jevrejska
еврейско	jevrejsko
еврейско	jevrej
еврейско	jevrejski
русо	rusko
русо	rousseau
памук	pamuk
ахил	ahilej
ахил	achille
четвъртък	četvrtak
романтични	romantična
батальона	bataljon
алгоритъм	algoritam
партньорство	partnerstvo
партньорство	partnerstvu
дин	din
стрийт	street
стрийт	ulice
стрийт	ulica
пето	petom
пето	peta
пето	peto
пето	peti
геология	geologija
наема	najma
наема	rent
конфедерация	konfederacija
микеланджело	michelangelo
юнг	jung
юнг	yung
инвазия	invazija
местообитания	staništa
местообитания	staništa
местообитания	stanište
строител	graditelj
глина	glina
чисти	čistu
чисти	čistim
чисти	čista
чисти	čist
чисти	čistom
климатични	klimatski
облаци	oblaka
облаци	oblaci
облаци	oblacima
облаци	oblake
облаци	oblak
олтар	altar
олтар	oltar
биг	velikih
биг	veliki
бригадата	brigada
седма	sedam
седма	sedma
седма	sedmi
козината	krzno
вале	valle
вале	jack
вале	vale
свещена	sveta
свещена	mesdžidul
смъртни	smrtne
арменци	armenaca
арменци	armenski
предложен	kazao
предложен	ponudio
предложен	ponudila
предложен	predložio
предложен	predloženo
предложен	predloženi
джън	zheng
лил	lil
лил	lille
казимир	kazimir
панаир	karneval
панаир	fer
панаир	sajam
психиатър	psihijatar
мембрана	membrana
конете	konjima
конете	konji
травма	povrede
травма	povreda
травма	trauma
последствия	posljedica
последствия	posljedice
последствия	posledica
намерението	namjera
намерението	namjeru
сабин	sabine
университетите	univerzitetima
университетите	univerziteti
смъртност	smrtnost
ленти	strips
ленти	trake
хонорис	honoris
рамки	kadrova
вратите	vrata
вратите	doors
кабо	rt
кабо	cabo
регулиране	propis
регулиране	podešavanje
регулиране	regulišu
регулиране	regulira
скъпи	drage
скъпи	draga
скъпи	dragi
есе	esej
потомък	scion
потомък	potomak
кавала	kavala
процесор	procesor
трудни	teškom
трудни	teški
трудни	težak
трудни	teško
трудни	teška
справедливост	pravda
справедливост	pravde
вар	var
вар	lime
доставка	otpreme
доставка	snabdijevanje
бенд	yarra
влага	vlage
влага	vlažnost
странно	čudno
странно	čudno
уста	usta
фил	phil
хага	hag
оцветяване	staining
оцветяване	bojenje
кит	kit
кит	kit
беневенто	benevento
форест	forrest
форест	šuma
футуна	futuna
клиника	klinika
пиза	pisa
бин	bin
жълта	žuta
унищожен	uništene
унищожен	uništen
унищожен	uništena
унищожен	uništeni
тито	tito
готовност	spremnost
готовност	spremnost
мил	mlin
мил	mill
инструктор	predavač
таланти	talenata
таланти	talenat
дюселдорф	düsseldorf
обичай	običaj
сива	gray
сива	siva
сива	sive
сива	sivi
сива	siva
изкопаеми	fosili
рожден	rođendan
роджърс	rodgers
роджърс	rogers
скрити	skriven
скрити	skriveni
скрити	skrivena
съхраняване	skladištenje
съхраняване	skladište
модула	lander
телескоп	teleskop
назначение	zadatak
отговорни	odgovorne
отговорни	odgovorna
отговорни	odgovorni
отговорни	odgovornim
отговорни	odgovoran
осетия	osetija
ангели	meleki
ангели	anđeli
ангели	meleka
толкин	tolkien
кантон	kanton
насекомо	insekti
адреси	adrese
адреси	obraća
адреси	urls
рамо	rame
малц	malt
билборд	billboard
нюкасъл	newcastle
европейците	evropljani
изненадващо	iznenađujuće
изненадващо	iznenađujuće
жлеза	žlijezda
янина	janina
сбор	sum
сбор	suma
иконостас	ikonostas
газа	gazi
мек	meka
мек	meku
модернизация	modernizaciju
модернизация	modernizacije
модернизация	modernizacija
модернизация	modernizaciju
избрано	odabrane
избрано	izabrao
избрано	izabranim
избрано	odabran
избрано	odabrano
избрано	odabrane
избрано	odabrana
сигизмунд	sigismund
отрасли	industrija
отрасли	sektore
отрасли	sektora
отрасли	sektori
чувствата	osećanja
чувствата	osjećanja
упадък	pad
упадък	dekadencije
неутрална	neutral
родригес	rodriguez
родригес	rodrigues
родригес	rodríguez
дъщерите	kćerke
дъщерите	kćerkama
дъщерите	kćeri
райна	reina
слалом	slalom
лозя	loza
поли	polly
поли	poli
поли	poli
гнездо	gnijezdo
николо	niccolo
провери	pogledajte
провери	check
лиза	lisa
лиза	liza
чужда	stranih
чужда	strani
чужда	stranim
тестване	testiranje
авиацията	avijacija
мичъл	mitchell
виното	vino
пирот	pirot
точна	tačan
наумов	naumov
съществувал	postojala
съществувал	postojalo
съществувал	postojao
съществувал	postojale
вулкани	vulkana
вулкани	vulkani
чешката	češki
психолози	psihologa
линейни	linearno
линейни	linearna
албин	albin
временен	privremeno
временен	privremenu
временен	privremene
временен	temperatura
брабам	brabham
аргос	argos
графичен	grafički
графичен	grafički
графичен	grafika
водачите	vozači
ядрено	nuklearno
ядрено	nuklearni
ядрено	nuklearna
вариации	varijacije
полу	polufinale
верди	verdi
нба	nba
разход	trošak
атома	atom
преместена	preselio
клипове	spremnika
клипове	videa
клипове	snimke
гъсто	gusto
искра	iskra
недостиг	nedostatak
недостиг	nestašica
недостиг	manjak
недостиг	manjkom
земетресението	potres
алба	alba
логически	logično
логически	logičan
логически	logika
пионер	pioneer
пионер	pionir
лео	lav
лео	leo
заем	kredit
хенриета	henrietta
цру	cia
цру	cia
цру	cla
мартинес	martinez
мой	rudniku
мой	moje
мой	rudnik
извънредно	izuzetno
наблюдавани	posmatrala
наблюдавани	posmatrao
наблюдавани	gledao
наблюдавани	posmatrali
наблюдавани	posmatrao
наблюдавани	pratila
решетка	mreži
пабло	pablo
читатели	čitaocima
корупция	korupcija
социалисти	socijaliste
социалисти	socijalista
социалисти	socijalistima
намюр	namur
марсел	marcel
симптомите	simptomi
талин	tallinn
заводи	biljke
композира	sastavi
композира	komponovanje
предотвратяване	spriječiti
предотвратяване	spriječi
предотвратяване	spriječili
предотвратяване	sprječavanje
предотвратяване	prevenciju
предотвратяване	prevenciji
геоложки	geološka
равена	ravenna
коалицията	koalicija
печатни	štampanih
печатни	štampana
печатни	štampani
максимален	maksimalna
максимален	maksimalni
максимален	maksimalne
максимален	maksimum
максимален	maksimalno
клей	glina
грубо	sirove
грубо	gruba
грубо	nepristojan
географ	geograf
франки	frankie
жозе	jose
жозе	josé
хармония	harmoniju
хармония	harmonije
хармония	harmonija
бъдещ	budućnost
нацистите	nacisti
загубите	gubitke
загубите	gubici
уокър	walker
регистриран	registrovan
регистриран	registrovana
предпоставка	preduslov
предпоставка	pretpostavka
оверн	auvergne
единбург	edinburgu
горене	sagorijevanje
горене	paljenje
пушкин	puškin
измислен	izmislili
измислен	izumio
измислен	izmislio
измислен	izmišljen
отровни	otrovan
отровни	otrovni
фасадата	fasada
тежест	teret
тежест	težina
репутация	ugled
споменаване	spomen
споменаване	spomenuti
автобус	autobus
милош	miloš
олимпия	olimpiji
разследването	istraga
вторник	utorak
омар	omar
изпит	ispit
изпит	ispitu
изпит	ispita
мечта	san
мечта	sna
мечта	dream
мечта	snu
комикси	strip
комикси	strip
събрания	sastanke
събрания	sastancima
събрания	sastanci
събрания	sastanaka
истинско	real
истинско	pravi
въведено	uvedeno
въведено	uveo
въведено	uveden
въведено	uvedena
разходка	walking
разходка	hod
установен	ustanovljen
установен	uspostavljena
установен	ustanovljene
установен	ustanovljena
синт	sint
синт	synth
ферма	farma
ферма	fermat
троя	troja
благородник	plemić
благородник	plemeniti
перес	peres
перес	perez
укрепване	ojačati
укрепване	jačanje
укрепване	jačanju
таен	tajna
спин	aids
окръжност	kružnica
частица	čestice
частица	čestica
теза	teze
теза	teza
олимп	olympus
гробището	groblje
гробището	groblje
хотели	hotela
хотели	hoteli
хотели	hotelima
пистолет	pištolj
пистолет	pištolj
арест	hapšenje
ресурс	resurs
реалността	stvarnost
преценка	sud
преценка	procjenu
преценка	procjene
преценка	ocjena
преценка	sudnji
оформление	raspored
пода	kata
пода	spratu
пода	poda
пода	sprat
фараон	faraon
легиона	legija
легиона	legiji
легиона	legije
линда	linda
изключителен	neriješenim
изключителен	izuzetnim
изключителен	izuzetne
изключителен	izuzetno
изключителен	izuzetan
демонстрация	demonstracije
шарлот	charlotte
анимация	animacija
анимация	crtani
сад	sade
шалке	schalke
маркиз	marquis
внос	uvoz
внос	uvezene
внос	uvoz
регионите	regije
централни	central
централни	centralni
централни	centralna
куб	kocka
вината	krivice
вината	krivicu
дебела	gusta
дебела	masti
дебела	fat
дебела	debela
дебела	masnoća
дебела	masnoće
тирел	tyrell
моряци	mornari
моряци	mornara
месечна	mjesečna
месечна	mjesečni
покер	poker
мит	mit
мит	mit
хубава	prilično
хубава	pretty
хубава	nice
съставки	sastojci
робинсън	robinson
убеждения	uvjerenja
убеждения	uvjerenja
убеждения	vjerovanja
урал	ural
хъдсън	hudson
кент	kent
ценен	vrijedne
ценен	vrijedna
правен	legalno
правен	pravna
правен	pravne
правен	pravni
правен	pravnih
дискриминация	diskriminaciju
дискриминация	diskriminacije
дискриминация	diskriminacija
митридат	mitridat
драмата	drama
харт	hart
харт	rp
индивид	individualni
индивид	individualne
позволено	dozvoljena
позволено	dozvoljeno
позволено	dozvoljen
позволено	dozvolio
позволено	dozvoljena
работен	radna
работен	radi
работен	radeći
работен	radio
работен	radnu
филипс	philips
филипс	phillips
тъмен	tamne
тъмен	dark
тъмен	mraku
тъмен	tamna
тъмен	mračna
антигуа	antigua
прозорци	windows
полицай	policajca
полицай	policajac
полицай	oficire
полицай	oficir
полицай	oficirom
полицай	policajac
бомбардировки	bombardovanje
бомбардировки	bombardovanje
сант	sant
одобрен	odobrena
одобрен	odobrio
одобрен	odobreni
одобрен	odobren
одобрен	approved
монархията	monarhija
доминира	dominira
велко	veljko
упражнения	vježbe
упражнения	vježbi
упражнения	vježba
майот	mayotte
свине	sije
свине	svinje
алонсо	alonso
алонсо	alonzo
худ	hood
отстъпление	povlači
изправен	hanife
монтаж	instalacija
монтаж	instalaciju
монтаж	montaža
монтаж	rastućim
монтаж	pogodan
мастърс	masters
плати	platiti
плати	plaćaju
плати	plati
плати	plate
квадрат	kvadrat
фернандес	fernandez
фернандес	fernandes
ауди	audi
популации	populacijama
доминик	dominic
доминик	dominique
доминик	dominik
хорхе	jorge
субект	subjekat
субект	subjekt
повлияни	uticala
повлияни	uticali
повлияни	uticao
монарх	monarh
апсида	apsida
нападнат	napali
нападнат	napao
собствениците	vlasnici
собствениците	vlasnike
гласна	samoglasnik
обитатели	stanovnici
обитатели	stanovništvo
обитатели	stanovnika
обитатели	stanovništvo
хермес	hermes
труден	teška
труден	težak
труден	teškom
труден	teški
труден	težak
труден	teško
труден	teška
хиляда	hiljade
хиляда	hiljadu
хиляда	hiljada
преобразуване	realizuju
преобразуване	pretvaranje
преобразуване	transformacija
преобразуване	transformacije
преобразуване	transformaciju
преобразуване	transformacija
преобразуване	transformiše
телефони	telefona
корема	abdomen
корема	stomaka
подкрепления	pojačanja
следващо	sljedeći
следващо	narednu
следващо	sledeći
следващо	slijedeći
уан	wang
витгенщайн	wittgenstein
вдигане	dizanje
предварителен	preliminarni
предварителен	preliminarne
предварителен	preliminarna
хюго	hugo
розово	ružičasta
федерико	federico
изработена	izrađen
каспийско	kaspijskog
каспийско	kaspijski
месина	messina
ерата	eru
ерата	ere
ерата	era
албърт	albert
електрони	elektrone
електрони	elektrona
партизаните	partizani
камерата	kamera
марцел	marcellus
изненада	iznenađenje
жул	jules
елени	eleni
елени	jelen
елени	irvasi
хипотези	pretpostavke
хипотези	hipoteza
норман	norman
норман	normana
салерно	salerno
лиляна	ljiljana
концертите	koncerti
фауст	faust
фейсбук	facebook
грижа	briga
соколов	sokolov
никол	nicole
приготвяне	priprema
приготвяне	pripreme
приготвяне	priprema
отклонение	devijacija
пазарна	tržište
пазарна	tržišta
джейми	jamie
спомен	sjećanje
спомен	uspomena
спомен	pamćenje
спомен	memorija
спомен	memorije
спомен	memorijski
чаша	staklo
чаша	mug
чаша	kup
костенурка	kornjača
искания	zahtjevi
искания	zahtjeva
искания	zahtjevi
динамика	dinamika
динамика	dynamics
динамика	dinamiku
динамика	dinamičan
хедвиг	hedwig
участвала	učestvovalo
участвала	učestvovali
участвала	učestvovao
участвала	učestvovala
меко	meka
меко	meku
саманта	samantha
победени	poraženi
победени	poražena
победени	porazila
победени	porazio
предположения	pretpostavke
соня	sonja
соня	sonjom
соня	sonja
дребен	male
дребен	mali
изследователите	istraživači
кос	blackbird
кос	kos
горан	goran
зло	zlo
вертикално	vertikalno
вертикално	vertikalna
акцент	akcenat
акцент	naglasak
сделка	transakcija
сделка	sporazum
сделка	dogovorom
сделка	deal
сделка	dogovor
вдъхновение	inspiracija
рог	rog
разширена	proširili
разширена	proširena
главите	glava
люис	lewis
концепции	koncepti
активисти	aktivisti
положителен	pozitivna
положителен	pozitivan
положителен	pozitivne
положителен	pozitivni
неофициален	nezvanični
неофициален	neformalne
неофициален	neformalni
орбитален	orbitalni
орбитален	orbitalnim
ханибал	hanibal
историците	historičari
руди	rudija
руди	rudi
татари	tatari
посетителите	posjetioci
водене	imajući
национализъм	nacionalizam
стоичков	stoichkov
капела	cappella
капела	kapela
откритие	otkriće
пакт	pakt
недостатък	nedostatak
разширяването	proširenje
рани	rana
рани	rani
рани	rane
рани	rana
вот	glasanje
вот	glasove
вот	glasova
вот	glasa
вот	glasovima
пипин	pippin
ислямски	islamski
ислямски	islamska
кандидатурата	nastojanje
кандидатурата	kandidaturu
кандидатурата	kandidaturi
алтернативни	alternativna
алтернативни	alternativa
падане	pada
падане	falling
падане	padao
падане	jesen
падане	pad
фактите	činjenica
фактите	činjenice
дей	dey
привличане	atrakcija
привличане	privlačnost
привличане	atrakciju
свидетели	svjedoci
свидетели	očevici
свидетели	svjedok
поръчки	ugovore
поръчки	ugovorima
поръчки	ugovori
поръчки	nabavke
поръчки	nabavku
поръчки	naređenje
поръчки	naređenja
йони	iona
йони	jonny
лари	larry
терористи	terorista
терористи	teroristi
активист	aktiviste
активист	aktivistkinja
пациентите	pacijenti
пациентите	pacijentima
пациентите	pacijenata
пациентите	pacijente
засегнати	pogođeni
засегнати	pogođenih
засегнати	pogođena
засегнати	uticalo
трагедия	tragičnog
трагедия	tragedija
фондове	sredstva
фондове	fondovi
фондове	fond
кол	cole
кол	kol
кол	coll
кол	kohl
подарък	prisutan
подарък	dar
подарък	poklon
участващи	sudjeluje
участващи	učestvuju
участващи	učesnice
електроенергия	elektricitet
регистрирана	registrovan
регистрирана	registrovana
филхармония	filharmonija
регистрирано	registrovan
регистрирано	registrovana
умишлено	namjerno
умишлено	namjerno
клинтън	clinton
