restant	남음
marcelo	마르셀로
coppola	코폴라
windsor	윈저
cesare	체사레
amiens	아미앵
abstracció	추상화
abstracció	추상
ecològica	생태
ecològica	생태주의
ecològica	생태학
ressenya	개요
túnels	터널
fitxes	타일
fitxes	칩스
desamortització	몰수
holland	홀랜드
face	얼굴
face	얼굴이
àtic	다락방
thomson	톰슨
marvel	마블
psicològic	심리학
psicològic	심리
psicològic	심리적
cadàvers	시체
liga	리가
sil	sil
llistats	품목
graella	격자
graella	눈금
graella	그리드
richmond	리치먼드
richmond	리치몬드
seychelles	세이셸
caldera	보일러
ratpenats	박쥐
paradigma	패러다임
preocupacions	걱정
toxicitat	독성
toxicitat	독성도
protectora	보호
protectora	보호자
cork	코르크
luciano	루치아노
faceta	측면
magistrats	판사
extingit	사멸
extingit	멸종
cascades	폭포
tranquil	조용히
tranquil	조용한
talls	삭감
cru	raw
xemeneia	굴뚝
samurai	사무라이
stevens	스티븐스
missatger	messenger
missatger	메신저
genoll	무릎
reclamacions	주장
reclamacions	발급
fourier	푸리에
modulació	변조
monitor	모니터
monitor	모니터링
terratrèmols	지진
oculta	숨기기
arrest	체포
clàusula	조항
urà	천왕성
paràsits	기생충
hindi	힌디어
actrius	여배우들
actrius	여배우
neo	네오지오
neo	네오
ssp	ssp
daily	일일
daily	데일리
daily	일간
daily	일상
veracruz	베라크루스
esgrima	펜싱
artesania	공예
artesania	공예
veronica	베로니카
talents	재능
talents	탤런트
elfs	엘프
llapis	연필
llapis	pen
sabates	신발
txaikovski	차이콥스키
violeta	바이올렛
potencialment	잠재적으로
botes	장화
botes	부츠
veterà	베테랑
forçada	강제
forçada	강제로
toulouse	툴루즈
ganivet	나이프
decorar	꾸미기
soldadura	용접
ankara	앙카라
refugiat	난민
refugiat	피난민
petra	페트라
cbs	cbs
horror	공포
primat	영장류
recomanable	추천
recomanable	권장
patata	감자
presentacions	프레젠테이션
presentacions	발표
beck	벡스
desplegar	배포
make	make
eslovè	슬로베니아
eslovè	슬로베니아어
tintoreria	세탁소
nicole	니콜
divers	기타
marxisme	마르크스주의
belize	벨리즈
barber	이발
barber	이발사
stop	중지
stop	멈추기
stop	중단
stop	정지
paradoxa	역설
angulema	앙굴렘
gerald	제럴드
judith	주디스
flexibilitat	유연성
diabetis	당뇨
diabetis	당뇨병
estris	위젯
maneig	처리
maneig	취급
maneig	다루기
fiji	피지
ans	ans
misteriós	mysterious
misteriós	신비
liechtenstein	리히텐슈타인
potenciar	보정
potenciar	향상
cortina	커튼
cortina	코티나
laurence	로렌스
patents	특허
sen	센다
danesos	덴마크인
palmer	팔머
palmer	파머
insuficient	부족함
primitives	원시
xml	xml
barreres	장벽
binària	바이너리
half	절반
mpeg	mpeg
acollit	주최
acollit	호스팅
acollit	호스트
michelle	미셸
pujant	업로드
fantàstic	판타스틱
fantàstic	환상적
gestor	관리자
gestor	매니저
theodore	시어도어
joia	보석
say	say
parades	정류장
estimular	자극
espia	스파이
hivernacle	온실
insulina	인슐린
ordinari	평범
individualment	개별
individualment	개별적으로
compatibles	호환
venuda	팔렸다
venuda	판매
lladre	도둑놈
lladre	도둑
kai	카이
desfilada	퍼레이드
desfilada	행진
discapacitat	장애
discapacitat	장애인
desempat	플레이오프
arranjament	설정
georgia	조지아어
georgia	조지아
explorer	익스플로러
explorer	탐색기
explorer	탐험
interferència	간섭
mentor	멘토
miners	광부
comentat	댓글
trencant	깨짐
trencant	브레이킹
receptes	조리법
receptes	레시피
traça	추적
traça	트레이스
traça	흔적
tanganyika	탕가니카
estalvi	절약
estalvi	저장
genocidi	집단살해
aliatges	합금
numèric	숫자
alpha	알파
avortament	낙태
aeronau	항공기
comprimit	압축
comprimit	태블릿
stella	스텔라
federer	페더러
controlats	제어
teheran	테헤란
totals	합계
traç	뇌졸중
bahames	바하마
algebraica	대수
algebraica	대수적
sega	세가
dragons	드래곤스
dragons	드래곤
dragons	드래곤즈
konrad	콘라트
enlairament	이륙
bat	bat
bat	박쥐
tiger	호랑이
tiger	타이거
croata	크로아티아어
croata	크로아티아
croata	크로아티아인
monstres	괴물
monstres	몬스터
monstres	몬스터즈
competidors	경쟁자
competidors	경쟁사
garanties	보증
nazisme	나치즘
lev	레프
lev	레프트
esp	esp
pebre	후추
pebre	고추
pebre	페퍼
heaven	하늘
heaven	천국
primerenc	초기
primerenc	일찍
tosca	토스카
raonable	합리적
misteris	미스터리
misteris	신비
agressió	공격성
arrencada	부트
arrencada	부츠
arrencada	부팅
quadern	공책
quadern	노트북
elisa	elisa
nínxol	틈새
endins	인사이드
endins	내부
poligonal	다각형
grenoble	그르노블
amazon	아마존
innocent	무죄
innocent	innocent
xavi	사비
hamlet	햄릿
postres	후식
postres	디저트
postres	후식
postres	디저트
enriqueta	헨리에타
vagues	파업
regulat	규제
impressions	노출
vistos	읽음
titella	꼭두각시
helicòpters	헬리콥터
virgin	버진
virgin	처녀
festiu	휴일
festiu	명절
festiu	연휴
festiu	홀리데이
festiu	휴가
festiu	공휴일
festiu	축제
bacteri	박테리아
amy	에이미
assessorament	충고
assessorament	조언
amorosa	loving
duncan	덩컨
jerez	셰리
assistit	원호
dièsel	디젤
balada	발라드
preferències	환경설정
obstacle	장애물
casablanca	카사블랑카
compara	비교하기
compara	비교
finalitzat	완료
finalitzat	완료되었습니다
fricció	마찰
fricció	마찰력
fràgil	취약
istme	지협
suposen	포즈
ecuador	에콰도르
complementària	보완
asfalt	아스팔트
guardià	수호
guardià	보호자
guardià	가디언
aliatge	합금
sender	흔적
sender	트레일
paròdia	패러디
troncs	로그
pollastre	치킨
pollastre	닭고기
renal	콩팥
renal	신장
fixes	고정
conills	토끼
menú	메뉴
nigel	나이젤
promeses	약속
bolets	버섯
mantega	버터
deserts	사막
fresca	신선
fresca	신선한
joyce	조이스
portàtil	랩톱
portàtil	노트북
èpica	에픽
èpica	서사시
mitjanit	자정
mitjanit	midnight
mitjanit	미드나이트
mitjanit	미드나잇
viatger	트래블러
irc	irc
emilia	에밀리아
banquet	연회장
banquet	연회
especificació	규격
especificació	사양
sta	sta
confessió	고백
confessió	신앙고백
benedicció	축복
benedicció	축복이
inconvenient	불편
inconvenient	불편함
inconvenient	불편한
gracia	그레이스
gracia	은혜
eslovac	슬로바키아
eslovac	슬로바키아인
eslovac	슬로바키아어
newcastle	뉴캐슬
executa	처형
executa	실행
executa	달려
executa	실행
executa	달리기
executa	런닝
consumidor	소비
consumidor	소비자
doblatge	더빙
heroïna	헤로인
majordom	버틀러
idèntic	동일한
idèntic	동일
idèntic	동일함
escorta	호위
faso	파소
limitats	한정
limitats	제한된
motivació	동기
motivació	동기부여
chemical	화학물질
chemical	화학
aconsellar	충고
aconsellar	조언
percy	퍼시
trobi	찾기
look	표정
fbi	fbi
mad	mad
vel	베일
atura	중지
atura	멈추기
atura	중단
atura	정지
tumors	종양
emoció	정서
emoció	감정
empleat	직원
canton	광저우
ace	에이스
ace	ace
bruc	유리카
bruc	에리카
exàmens	시험
òbviament	명백히
òbviament	명백하게
assignatura	주제
assignatura	제목
domèstica	국내
antàrtic	남극
comestible	식용
vidres	크리스탈
visualització	조회
visualització	보기
manipular	조작
manipular	조종
sarajevo	사라예보
botswana	보츠와나
aquila	독수리자리
espionatge	스파이
dèbil	약한
dèbil	약해
dolços	달콤한
lotaríngia	로렌
lotaríngia	로레인
lira	리라
escandinàvia	스칸디나비아
recuperant	복구
greg	그레그
greg	그렉
assimilació	동화
jamie	제이미
