exteriorul	外側
holocaust	ホロコースト
expunerea	照射
expunerea	被曝
expunerea	露出
freedom	freedom
freedom	自由
incalcarea	違反
simptomele	症状
simptomele	徴候
athos	アトス
comedia	喜劇
comedia	コメディ
comedia	コメディー
redactarea	立案
dialect	方言
gravura	彫刻
gravura	エッチング
renovare	リフォーム
renovare	リフォーム
gonzález	ゴンサレス
monarhie	君主制
cerinte	要件
cerinte	要件
porc	豚肉
porc	ポーク
porc	ブタ
afghanistan	アフガニスタン
benz	ベンツ
imposibila	インポッシブル
imposibila	不可能
autonomia	自治
mister	ミステリー
chuck	チャック
cristale	crystal
cristale	結晶
cristale	クリスタル
richmond	リッチモンド
nobilimea	貴族
codex	コデックス
cabinetul	内閣
cabinetul	キャビネット
demonstratie	デモ
demonstratie	デモンストレーション
demonstratie	実演
demonstratie	デモ
arras	アラス
crize	発作
crize	危機
inguste	狭い
cordoba	コルドバ
glorie	グローリー
thierry	ティエリー
annie	アニー
buletinul	掲示
buletinul	公報
fierbinte	熱い
fierbinte	ホット
fierbinte	暑い
cuceritorul	征服者
testul	テスト
ursu	クマ
creaturi	生き物
obama	オバマ
timbru	切手
timbru	スタンプ
word	ワード
word	言葉
word	単語
word	word
niceea	ニカイア
anexa	別館
anexa	付録
anexa	別館
manu	マヌ
scenarii	シナリオ
roata	ホイール
roata	車輪
roata	ホイール
roata	車輪
oriental	オリエンタル
violet	パープル
violet	バイオレット
yahoo	ヤフー
yahoo	yahoo
atributii	タスク
radacina	root
radacina	ルート
radacina	root
radacina	ルート
radacina	root
radacina	ルート
led	led
gutenberg	グーテンベルク
soc	ショック
soc	衝撃
soc	soc
soc	ショック
soc	衝撃
cauciuc	ラバー
cauciuc	ゴム
parohie	教区
león	レオン
ida	lda
ida	アイダ
ida	イダ
panorama	パノラマ
panorama	パノラマ
reducere	割引
reducere	ディスカウント
saptamanal	毎週
saptamanal	週間
saptamanal	週刊
saptamanal	ウィークリー
fericita	ハッピー
fericita	幸せ
fericita	ハッピー
fericita	幸せ
detaliat	詳細
zboruri	フライト
sharon	シャロン
enigma	エニグマ
enigma	エニグマ
sanda	三田
sanda	サンダ
guinee	ギニー
guinee	ギニア
biografii	伝記
convertit	変換
convertit	コンバート
convertit	改宗
vinuri	ワイン
protocolul	protocol
protocolul	議定書
protocolul	プロトコル
avertizare	警報
avertizare	警告
lupul	ウルフ
lupul	オオカミ
metro	地下鉄
metro	メトロ
comisii	コミッション
abandonata	放棄された
abandonata	放棄された
trenurile	電車
trenurile	列車
globale	global
globale	グローバル
cincisprezece	fifteen
cincisprezece	十五
orton	orton
angola	アンゴラ
punte	ブリッジ
punte	甲板
punte	デッキ
perimetrul	周囲
rating	評価
rating	格付
rating	評価
obligatia	義務
obligatia	債務
atlanta	アトランタ
minuni	奇跡
minuni	驚異
inlocuieste	差し替え
inlocuieste	置換
stategov	stategov
naratorul	語り手
norma	ノーマ
phillips	フィリップス
enrico	エンリコ
nobililor	貴族
race	人種
race	競走
race	レース
vicente	ビセンテ
dinamica	ダイナミック
dinamica	ダイナミック
mahler	マーラー
astept	待ち
astept	待ち
cremona	クレモナ
planificarea	計画
planificarea	企画
planificarea	プランニング
medina	マディーナ
observata	観測
ger	ger
patul	ベッド
tribunal	法廷
tribunal	コート
tribunal	裁判所
transformari	変換
hoteluri	ホテル
hoteluri	hotels
schema	スキーム
schema	スキーム
certificat	認定
certificat	証明書
certificat	証書
alessandro	アレッサンドロ
roti	ホイール
roti	車輪
roti	ホイール
roti	車輪
roti	ホイール
roti	車輪
australiana	オーストラリア
indepartarea	除去
indepartarea	撤去
vorbire	音声
vorbire	スピーチ
alien	エイリアン
adaptata	適応
adi	シャン
capturarea	キャプチャー
capturarea	キャプチャ
capturarea	攻略
fuziune	合併
fuziune	フュージョン
horn	クラクション
horn	ホルン
horn	ホーン
ingeri	エンジェルス
ingeri	天使
ingeri	エンジェルス
ingeri	天使
clopotul	ベル
bug	バグ
bug	不具合
bug	bug
consultant	コンサルタント
rezumat	概説
rezumat	概略
rezumat	まとめ
rezumat	概要
rezumat	要約
ilegal	違法
ghana	ガーナ
modest	謙虚
düsseldorf	デュッセルドルフ
eroziune	侵食
reprezentativ	代理人
circulara	円形
circulara	円形
spin	スピン
parametru	パラメータ
nobila	尊い
rocky	ロッキー
bird	鳥類
bird	バード
fluxul	フロー
fluxul	流れ
adelaide	アデレード
palazzo	パラッツォ
lynch	リンチ
mut	ミュート
intuneric	ダーク
intuneric	暗い
intuneric	暗闇
intuneric	ダーク
intuneric	暗い
intuneric	暗闇
jurnalism	ジャーナリズム
jurnalism	報道
dreyfus	ドレイファス
neam	系統
neam	ネーション
neam	国民
mad	マッド
mad	mad
longew	longew
rothschild	ロスチャイルド
prelungit	拡張
prelungit	延長
violonist	ヴァイオリン
platforme	プラットフォーム
spitale	病院
mohammed	ムハンマド
mohammed	モハメッド
tracia	トラキア
roche	ロッシュ
cercuri	サークル
mercenari	傭兵
planificat	予定
planificat	計画
amalfi	アマルフィ
indeplinirea	充実
aachen	アーヘン
cititori	読者
cititori	リーダー
tanzania	タンザニア
xxx	xxx
pusca	小銃
pusca	ライフル
pusca	小銃
pusca	ライフル
subliniat	ハイライト
subliniat	下線
subliniat	下線
subliniat	ストレス
darius	ダレイオス
darius	ダリウス
hmelnitki	フメリニツキー
rich	金持ち
rich	リッチ
automate	自動
automate	オートマチック
role	ローラー
patruzeci	四十
strategii	戦略
abel	アーベル
abel	アベル
ingust	狭い
armonie	ハーモニー
armonie	調和
karen	カレン
severe	重度
aston	アストン
casatorii	結婚
semnalul	シグナル
semnalul	信号
adversar	相手
adversar	相手方
monster	怪物
monster	モンスター
monster	怪獣
tonul	マグロ
tonul	ツナ
tonul	トーン
myspace	myspace
dreptunghiulara	長方形
iuri	ゆり
iuri	ユーリ
bennett	ベネット
mila	慈悲
mila	マーシー
mila	哀れみ
mila	慈悲
mila	マーシー
mila	マイル
artur	アーサー
canalele	チャネル
canalele	チャンネル
mons	モンス
batalion	大隊
sullivan	サリバン
sullivan	サリヴァン
cariere	キャリア
cariere	求人
niciuna	なし
nathan	ネイサン
melinda	メリンダ
gil	ギル
comics	漫画
comics	コミック
interesanta	興味深い
interesanta	おもしろい
interesanta	面白い
interesanta	興味深い
interesanta	おもしろい
interesanta	面白い
groase	厚い
groase	太い
mega	メガ
mega	mega
valabila	有効
duke	公爵
duke	デューク
ortografie	つづり
ortografie	スペル
ortografie	スペリング
structurilor	構造
duble	ダブル
duble	二重
duble	ダブルス
destin	運命
destin	運命
caii	ウマ
castele	城郭
guineea	ギニア
suveranitatea	主権
racire	冷却
racire	カッコイイ
schmadel	schmadel
bilete	切符
bilete	チケット
filmare	撮影
valabile	有効
michelle	ミシェル
branza	チーズ
branza	チーズ
branza	チーズ
comunicari	通信
comunicari	コミュニケーション
comunicari	通信
comunicari	コミュニケーション
explozia	爆発
receptie	レセプション
receptie	披露宴
receptie	受付
receptie	レセプション
receptie	披露宴
receptie	受付
dezastru	災害
nativi	ネイティブ
granada	グラナダ
muncitoresc	分娩
muncitoresc	労働
finantare	融資
finantare	財務
finantare	金融
finantare	財政
finantare	ファイナンス
finantare	融資
scala	スケール
scala	縮尺
scala	目盛
scala	スケール
scala	縮尺
scala	目盛
janet	ジャネット
platou	台地
platou	高原
platou	大皿
platou	プラッター
examen	試験
gramatica	文法
gramatica	文法
departamente	学科
locus	軌跡
singer	シンガー
paun	クジャク
editeaza	編集
shadow	シャドー
shadow	シャドウ
gaza	ガザ
sesiunea	セッション
osaka	大阪
rugaciunea	祈り
rugaciunea	礼拝
rugaciunea	祈祷
rugaciunea	祈り
rugaciunea	礼拝
rugaciunea	祈祷
lópez	ロペス
circular	円形
simbolurile	シンボル
simbolurile	記号
caption	キャプション
wordpress	wordpress
plate	フラット
craterul	クレーター
instalatie	設置
instalatie	インストール
somalia	ソマリア
schwerin	シュヴェリーン
publicare	出版
publicare	パブリッシング
publicare	出版物
publicare	出版
publicare	公表
jun	jun
jun	じゅん
claudius	クラウディウス
uranus	天王星
infanteria	歩兵
consensul	合意
raoul	ラウル
anexe	添付
rita	リタ
storm	ストーム
bolnavi	病気
capetele	ヘッズ
capetele	ヘッド
pierce	ピアス
pierce	ピアース
diamond	ダイヤモンド
diamond	ダイアモンド
consolidat	連結
rabinul	ラビ
vega	ベガ
amata	アマタ
citesc	読書
trimitere	紹介
trimitere	リファレンス
trimitere	参照
trimitere	参考
musa	ムサ
purtator	キャリア
purtator	無記名
bucatarie	料理
bucatarie	キッチン
bucatarie	台所
bucatarie	キッチン
bucatarie	台所
ajunul	イブ
ajunul	イヴ
ingrijirea	思いやり
factura	ビル
porturile	ポート
procesor	cpu
procesor	プロセッサ
actorie	演技
odihna	安静
odihna	休む
odihna	安静
odihna	休む
dorothea	ドロテア
constante	定数
norme	規則
norme	ルール
cumpara	買う
cumpara	購入
cumpara	買う
cumpara	購入
cumpara	買う
cumpara	購入
parametrul	パラメータ
degete	親指
catolicism	カトリシズム
walk	歩き
walk	ウォーク
walk	歩行
walk	歩く
walk	徒歩
respectul	尊敬
respectul	尊重
respectul	リスペクト
respectul	敬意
tutun	タバコ
tutun	たばこ
alexa	アレクサ
academie	アカデミー
interfata	インターフェース
interfata	インタフェース
interfata	インターフェース
interfata	インタフェース
derek	デレック
derek	デレク
magnitudine	等級
timur	ティムール
azot	窒素
destinatia	行き先
destinatia	目的地
destinatia	宛先
destinatia	行き先
destinatia	目的地
destinatia	宛先
dizolvat	解散
demon	daemon
demon	デーモン
demon	悪魔
demon	悪霊
tunul	大砲
nine	nine
romagna	ロマーニャ
punta	プンタ
intermediar	中間
intermediar	中級
uni	uni
montpellier	モンペリエ
canterbury	カンタベリー
celsius	摂氏
luisa	ルイサ
lublin	ルブリン
reunit	再会
chi	chi
timothy	ティモシー
babel	バベル
florence	フローレンス
florence	フィレンツェ
avignon	アヴィニョン
tucker	タッカー
dificultate	困難
vinil	ビニール
stevens	スティーヴンス
kyoto	京都
eden	エデン
hoffmann	ホフマン
frunza	葉っぱ
frunza	葉っぱ
definitii	定義
uscata	辛口
uscata	ドライ
uscata	乾燥
exercitiu	運動
exercitiu	行使
exercitiu	エクササイズ
exercitiu	運動
exercitiu	行使
exercitiu	エクササイズ
vicenza	ヴィチェンツァ
pau	pau
benzina	ガソリン
benzina	ガソリン
benzina	ガソリン
benzina	ガソリン
lena	レナ
schneider	シュナイダー
knut	クヌート
retur	return
retur	リターン
evidentiaza	ハイライト
terestru	地上波
ang	アン
poza	画像
poza	写真
poza	画像
poza	写真
poza	フォト
poza	写真
vid	バキューム
vid	真空
elementara	小学校
civica	シビック
chamberlain	チェンバレン
chamberlain	侍従
interactive	インタラクティブ
uita	forget
uita	forget
masca	仮面
masca	マスク
masca	仮面
masca	マスク
ruleaza	走る
ruleaza	ランニング
ruleaza	run
ruleaza	ラン
ruleaza	走り
ruleaza	走る
ruleaza	ジョギング
reprezentari	表現
reprezentari	描写
climatul	気候
glenn	グレン
degradare	劣化
cash	現金
ouale	エッグ
cititorul	読者
cititorul	リーダー
intreaba	ask
intreaba	尋ねる
intreaba	ask
intreaba	尋ねる
bio	バイオ
organul	臓器
organul	オルガン
magice	magic
magice	魔法
magice	マジック
magice	マジカル
variatii	バリエーション
variatii	変奏曲
obligatorii	強制
palmer	パーマー
infrastructura	インフラストラクチャー
infrastructura	インフラストラクチャー
realism	リアリズム
ideologia	イデオロギー
bumbac	木綿
bumbac	コットン
momentele	moments
momentele	モーメント
integranta	積分
detaliata	詳細
volei	バレーボール
febra	発熱
febra	発熱
cheltuiala	費用
cheltuiala	経費
cheltuiala	費用
cheltuiala	経費
resturile	残り物
paradise	パラダイス
paradise	楽園
luke	ルカ
comprimat	圧縮
comprimat	タブレット
omenirea	人類
omenirea	人類
consultanta	コンサルタント
consultanta	コンサルティング
consultanta	コンサルタント
tragic	悲惨
curbura	曲率
protejeaza	protect
protejeaza	プロテクト
protejeaza	保護
protejeaza	protect
protejeaza	プロテクト
protejeaza	保護
afiseaza	ディスプレイ
afiseaza	ショー
bey	ベグ
vanatoarea	狩り
vanatoarea	ハンティング
vanatoarea	狩猟
cornelius	コルネリウス
cornelius	コーネリアス
calibrul	口径
pamanturi	土地
lance	ランス
contracte	契約
executive	エグゼクティブ
construiesc	構築
mouse	ねずみ
mouse	マウス
schmitt	シュミット
comentariile	コメント
momentan	現在
imbunatatire	改善
gmbh	gmbh
utilaje	機械
socrate	ソクラテス
iubesc	ラヴ
iubesc	ラブ
brooks	ブルックス
fluturi	チョウ
fluturi	バタフライ
dizolvarea	解散
expres	エクスプレス
expres	急行
thomson	トムソン
mara	マーラ
heliu	ヘリウム
abandonate	放棄された
democratia	民主主義
conducand	運転
repeta	繰り返す
repeta	繰り返し
repeta	繰り返す
repeta	繰り返し
mcdonald	マクドナルド
flaut	フルート
concertele	コンサート
liniste	静けさ
liniste	静か
liniste	静けさ
liniste	静か
hood	フード
hood	ボンネット
berry	ベリー
ferestrele	windows
botezul	洗礼
producere	製作
producere	生産
producere	プロダクション
canadiene	カナダ
canadiene	カナディアン
stabilitatea	安定
stabilitatea	安定性
ras	ラス
ras	かき氷
ras	笑い
ras	笑い
ras	笑う
pseudonim	偽名
exercitii	演習
exercitii	演習
vancouver	バンクーバー
gogh	ゴッホ
lopez	ロペス
acuta	急性
acuta	アキュート
diagnostic	診断
sergio	セルジオ
stabilitate	安定
stabilitate	安定性
filiala	支店
filiala	支社
filiala	ブランチ
filiala	支部
altlink	altlink
fbi	fbi
jamaica	ジャマイカ
cercurile	サークル
vulturul	ワシ
vulturul	イーグル
delaware	デラウェア
decese	訃報
cifrele	フィギュア
panouri	パネル
negustorii	商人
floyd	フロイド
servesc	サーブ
inlocuind	置換
baltimore	ボルチモア
pagube	被害
pagube	ダメージ
pagube	損傷
pagube	損害
pagube	ダメージ
pagube	損害賠償
coral	サンゴ
ferm	会社
minime	最低限
minime	最低
minime	最小
minime	最小限
mesopotamia	メソポタミア
adrese	アドレス
struguri	ぶどう
struguri	ブドウ
struguri	ブドウ
struguri	ぶどう
tulpina	変形
tulpina	変形
planificare	計画
planificare	企画
planificare	プランニング
magie	magic
magie	魔法
magie	マジック
ultra	ultra
ultra	ウルトラ
aspru	厳しい
villon	ヴィヨン
finantarea	融資
forbes	フォーブス
jeffrey	ジェフリー
holland	オランダ
gate	ゲート
cooperarea	協力
nicaragua	ニカラグア
nicaragua	ニカラグア
creare	作成
creare	創造
creare	作成
burundi	ブルンジ
ingrijire	ケア
ingrijire	介護
ingrijire	ケア
ingrijire	介護
premiere	初演
premiere	プレミア
premiere	初演
gradinile	庭園
iordania	ヨルダン
iordania	ジョーダン
bacterii	細菌
bacterii	バクテリア
frédéric	フレデリック
tactica	戦術
tactica	戦術
tactica	戦術
tactica	戦術
lutz	ルッツ
clopot	ベル
weekend	週末
consumului	消費
corner	コーナー
antonia	アントニア
atacata	襲撃
guido	グイド
invierea	復活
suita	スイート
suita	スイート
ignorat	無視
orizontal	水平
comunica	コミュニケーション
comunica	コミュニケーション
intindere	ストレッチ
acorduri	協定
voyager	ボイジャー
fantezie	ファンタジー
fantezie	ファンシー
fantezie	空想
cyrus	キュロス
reprezentativa	代理人
varese	ヴァレーゼ
lunara	毎月
lunara	月間
lunara	月刊
neolitic	新石器時代
claire	クレア
pompei	ポンペイ
surpriza	驚き
surpriza	サプライズ
surpriza	驚き
surpriza	サプライズ
core	コア
core	core
native	ネイティブ
dialogul	台詞
declinul	辞退
declinul	拒否
declinul	却下
patrate	正方形
powell	パウエル
maxwell	マックスウェル
maxwell	マクスウェル
noduri	ノット
noduri	結び目
noduri	ノード
potsdam	ポツダム
ministrii	大臣
ministrii	公使
descarcare	ダウンロード
descarcare	ダウンロード
descarcare	アンロード
asigurare	保険
pai	まあ
evidentiat	ハイライト
herodot	ヘロドトス
datorie	義務
datorie	債務
confesiune	懺悔
confesiune	自白
lichide	液体
lichide	流体
lichide	液体
sand	砂塵
rotund	ラウンド
rotund	round
rotund	丸い
zoltán	ゾルターン
acustica	アコースティック
itunes	itunes
circus	サーカス
picteaza	ペンキ
picteaza	ペイント
picteaza	塗料
elvetiana	スイス
detectiv	刑事
cavaleri	ナイツ
cavaleri	騎士
luc	リュック
predecesorul	前身
apartament	アパート
aura	オーラ
aura	オーラ
sensibil	分別
konstantin	コンスタンチン
magna	マグナ
ilegale	違法
