джим	jim
протистояти	confront
погіршення	worsening
сирія	syria
індіана	indiana
боже	gosh
боже	god
прикрашені	adorned
ситуаціях	situations
зараження	infected
зараження	fallout
захисників	defenders
форд	ford
фірмі	firm
юхимович	rasputin
лід	lead
лід	ice
мор	maure
помітні	conspicuous
соціалістів	socialists
дунай	danube
демо	demo
прибрати	clean
прибрати	remove
прибрати	uninstall
палаті	ward
нагірно	nagorno
темний	dark
мусульмани	muslim
мусульмани	muslims
видобування	extraction
видобування	ripper
видобування	ripping
видобування	extracting
облога	siege
ходів	moves
ніколас	nicolás
ніколас	nicholas
брами	gates
уфа	ufa
баррі	barry
лувр	louvre
фішер	fisher
фішер	fischer
додаткова	extra
додаткова	supplementary
додаткова	supplemental
припинено	aborted
казані	kazan
гарно	nice
перетворено	converted
турина	turina
геологічних	geological
перекласти	translate
корі	corey
корі	cory
корі	cori
трудові	labor
поставлені	accomplishments
перемагає	winning
перемагає	defeats
груди	chest
груди	breast
чекати	wait
допоміжні	assistants
вченим	scholar
птаха	bird
стадія	stage
повідомили	informed
ззовні	externally
ззовні	outside
рейд	raid
пояснив	explained
автоматична	automatic
партизани	guerrillas
партизани	guerillas
партизани	partisans
отвори	holes
зближення	frontiers
сухі	dry
поповнення	replacements
поповнення	troops
розіграш	raffle
розіграш	giveaway
жива	alive
фасо	faso
фізично	physically
дивитися	watch
дивитися	watching
ставлять	breed
жанна	jeanne
таємниця	mystery
таємниця	secret
таємниця	secrecy
творців	creators
застосувати	apply
печер	caves
прогнозування	forecasting
істини	truths
коротко	briefly
коротко	brief
вагон	wagon
тяжко	hard
тяжко	nursing
нагляду	supervision
ректора	rector
молодша	younger
описи	descriptions
куб	cube
напали	attacked
універсальний	unified
універсальний	universal
подивитися	see
подивитися	watch
подивитися	look
процесори	processors
очікується	expected
очікується	expecting
очікується	pending
матвій	matthew
печерської	fortification
членство	membership
оригінальне	original
звернутися	consult
повітряна	aerial
повітряна	air
подають	served
подають	serves
ірак	iraq
гомер	homer
орда	horde
смирнов	smirnov
степ	steppe
пострілів	shots
тінь	shadow
переглянути	browse
переглянути	review
переглянути	see
переглянути	view
антологія	anthology
започаткував	instituted
інтенсивність	intensity
інтенсивність	strength
поклав	deposited
християни	christian
християни	christians
паша	pasha
викрадення	kidnapping
знімок	snapshot
сусідів	roommates
укладання	concluding
олівер	oliver
фундамент	foundation
окреме	separate
позов	lawsuit
оподаткування	taxation
нагляд	supervision
ходити	walking
