doris	도리스
vcd	vcd
helios	헬리오스
mead	미드
schmitt	슈미트
bochum	보훔
unicorn	유니콘
opus	오푸스
pmc	pmc
aron	아론
photoshop	포토샵
ghosts	귀신
chipset	칩셋
salamis	살라미스
quidditch	퀴디치
reggae	레게
pauling	폴링
matsudaira	마쓰다이라
npc	npc
sano	사노
olaf	올라프
asano	아사노
šiauliai	샤울랴이
amr	amr
jermaine	저메인
peabody	피바디
ishihara	이시하라
graffiti	낙서
patti	패티
thumb	엄지손가락
thumb	엄지
odense	오덴세
cummings	커밍스
shelter	쉼터
critique	비판
temp	임시
temp	체온
temp	온도
otis	오티스
fortaleza	포르탈레자
zapata	사파타
stuff	물건
grow	자라
coding	부호화
courier	택배
ghoul	구울
msg	msg
cathy	캐시
skywalker	스카이워커
barre	바레
voip	voip
soda	코카콜라
soda	콜라
soda	콜라보
soda	소다
nhoi	비참한
lombardi	롬바르디
argon	아르곤
liza	리자
colchester	콜체스터
csa	csa
apa	apa
crowe	크로
stockton	스톡턴
liz	리즈
acc	acc
arsène	아르센
crossover	크로스오버
hok	hok
cutler	커틀러
cốp	트렁크
cốp	trunk
hussain	후세인
vadim	바딤
campeche	캄페체
macy	메이시
macy	macy
nxt	nxt
streak	연승
lga	lga
lollipop	lollipop
lollipop	롤리팝
padua	파도바
blunt	블런트
ashanti	아샨티
xtreme	익스트림
spell	철자
gus	거스
ict	ict
brick	벽돌
brick	브릭
fatal	치명적
miracles	기적
rosetta	로제타
rear	후방
monastir	모나스티르
ether	에테르
amundsen	아문센
tana	타나
haines	헤인스
simpsons	심슨
xeri	세륨
turkmen	투르크멘어
turkmen	투르크메니스탄
