इब्राहीम	ibrahim
चेरी	vyšnios
बली	balio
प्लेबैक	grojimą
डायनासोर	dinozauras
रिच	turtingas
पंछी	paukščiai
उम्मीदों	lūkesčius
तत्वावधान	aegis
सुमेर	šumeras
स्प्रिंग्स	spyruoklės
वेम्बली	wembley
सैमुएल	samuel
कार्निवाल	karnavalas
व्यक्तिवाद	individualizmas
बॉर्डर	pasienio
मियां	mian
सैलून	sedano
संक्षारण	korozijos
समलैंगिकता	homoseksualumas
मिलों	gamyklų
लियोनार्ड	leonardas
बीजीय	algebrinė
जैकब	džeikobas
स्नेहक	tepalas
स्नेहक	tepimo
दीनार	dinaras
तिकड़ी	trio
क्लीवलैंड	klivlendo
महत्वाकांक्षा	ambicijų
अंकुरित	žydinčių
फ़रग़ना	ferganos
डेस्क	stalo
डेस्क	stalas
आफिस	tarnyba
आफिस	biuro
आफिस	biuras
सुइट	apartamentai
डोमिनिकन	dominikos
केसरिया	šafranas
कद्दू	moliūgų
गेस्ट	svečiai
निर्यातक	eksportuotojas
फार्मेसी	vaistinės
फार्मेसी	vaistinė
पेटी	dėžės
पेटी	dėžių
पेटी	dėžėse
पेटी	dėžutės
कांटे	spygliai
पावेल	powell
हराम	draudžiama
हराम	haram
कैथी	cathy
मोज़िला	mozilla
अंकल	dėdė
अंकल	dėde
ब्रैड	bredas
ब्रैड	trumpalaikis
ब्रैड	trumpas
ब्रैड	duona
ब्रैड	duonos
लंबित	kol
छापामार	partizanų
काठी	balnas
बाते	daiktai
बाते	dalykai
सियोल	seule
शर्म	gėda
शर्म	gėda
शर्म	drovus
प्रत्युत्तर	atsakymai
स्टुडियो	studijoje
स्टुडियो	studija
स्टुडियो	studio
स्टुडियो	studijos
डेब्यू	debiutas
वसु	vasūs
सन्निकट	apytikslis
मोनाको	monako
नूह	nojus
खाँसी	kosulys
शार्क	rykliai
शार्क	ryklys
शार्क	rykliai
पांडुलिपियों	rankraščiai
ताना	tana
एल्गोरिथ्म	algoritmas
टाइल	plytelių
टाइल	kaladėlės
टाइल	plytelės
दीर्घायु	ilgaamžiškumas
धुंध	rūko
अरमानी	armani
दार्दी	dardų
घूमना	ratu
ब्रिस्टल	bristolio
पाश	linijos
परिशुद्धता	tikslumas
परिशुद्धता	tikslumo
परिशुद्धता	tikslumas
कंधों	pečius
कोह	koh
खट्टा	sure
दुविधा	dilema
थोरियम	torio
काय	kay
लाउंज	lounge
ओसामा	osama
मनोविश्लेषण	psichoanalizė
तुच्छ	nedideli
तारीफ	pagirti
एप्लिकेशन	programėlių
ट्रेस	pėdsakai
ट्रेस	pėdsakų
ट्रेस	sekti
ब्लॉगर	blogger
लेविस	lewis
ट्रेंट	trent
भोर	aušra
भोर	aušros
जिप्सम	gipso
अलका	alka
जमाया	spanguolės
सुजुकी	suzuki
मजेदार	juokinga
न्युमैन	newman
अफवाहें	gandai
आभारी	dėkinga
आभारी	dėkingas
आभारी	dėkingi
आभारी	dėkingas
आभारी	dėkinga
स्कीइंग	slidinėjimas
कर्नेल	branduolių
कर्नेल	branduolys
पाइपलाइन	vamzdynų
पाइपलाइन	vamzdynas
संतरे	apelsinai
सैंट	kvapas
सैंट	kvapą
संग्राहक	konteineris
रुस्तम	rustamas
फव्वारे	fontanas
वाकर	walker
ढलाई	liejimo
ढलाई	liejinių
एयरोस्पेस	airbus
ऑस्टियोपोरोसिस	osteoporoze
सेंसरशिप	cenzūra
एंजेलो	angelo
जेनरेटर	generatorių
जेनरेटर	generatorius
आँकड़ा	kablys
मनमानी	savavališkai
प्रश्नावली	anketos
प्रश्नावली	klausimynas
थॉम्पसन	tompsonas
जॉय	džiaugsmas
जॉय	džiaugsmo
जॉय	džo
कॅप्लर	kepler
सिगनल	signalus
सिगनल	signalai
रामा	rama
द्वारों	vartus
द्वारों	vartai
तितलियों	drugelių
पाइन	pušų
ब्लाइंड	aklas
ब्लाइंड	aklai
ब्लाइंड	akla
दिवाली	divali
मज़ार	kapas
प्रशीतन	šaldymo
एबीएन	abn
जेम्सन	jameson
वितरकों	platintojai
वितरकों	prekiautojai
हर्ट्ज़	hertz
कंगारू	kengūra
रोलेक्स	deimantais
गाली	piktnaudžiavimo
गाली	piktnaudžiavimas
गाली	netinkamo
हुमायूं	humajūnas
मिस्त्र	egipte
मिस्त्र	egipto
मिस्त्र	egiptas
एल्गोरिदम	algoritmas
आविष्कारों	išradimų
सम्मिलन	asimiliacijos
संस्थापन	įrenginio
संस्थापन	diegimas
संस्थापन	įrenginys
संस्थापन	įrengimas
संस्थापन	montavimas
मुक़ाबला	žygiuoja
बिरसा	birsa
लुडविग	ludwig
घोस्ट	vaiduoklis
नन	vienuolės
वांग	wang
वफादारी	pažiūras
वफादारी	lojalumo
लोन	paskola
लोन	paskolos
वृक्षारोपण	plantacija
बल्लैक	ballack
न्यूट्रिनो	neutrino
गोमांस	jautiena
गोमांस	jautienos
गोर्की	gorkis
कैसर	kaiser
खींचता	pateikiamos
मोबाईल	mobilusis
मोबाईल	saugojimo
मोबाईल	mobilus
कछुए	vėžliai
हैम्पशायर	hampshire
यात्राएँ	joja
यात्राएँ	keliones
अज्ञानता	nežinojimo
राउल	raúl
बर्क	burke
गुफाएँ	olas
घृत	aloe
डोम	kupolu
डोम	domas
आपत्तिजनक	puolimas
अनिच्छा	nenoriai
हारा	nevykėlis
हैजा	choleros
मॉस	sumaišyti
ख़रीदा	perkami
ख़रीदा	įsigytas
ख़रीदा	pirktas
ख़रीदा	nupirkti
ख़रीदा	įsigyta
चलेगा	laurų
इबादत	maldos
लचीली	lanksčiai
लचीली	lanksčios
लचीली	lankstus
जेसी	džesis
रेजीमेंट	pulkas
रेजीमेंट	pulką
अवेस्ता	avesta
कुटिया	varškės
कबूल	prisipažinti
नेक	doro
कोपा	copa
जैमी	džeimis
बाड़	tvoros
बाड़	tvora
अराजकतावादी	anarchistų
गिरना	krenta
प्रीफ़ेक्चर	prefektūra
दादाजी	senelis
आयोजक	organizatorius
भिखारी	elgeta
साधू	sadhu
बेघर	benamiai
स्खलन	ejakuliacija
दस्ता	būrys
त्रिकोणमिति	trigonometrija
अफवाहों	gandai
ड्रेस	suknelė
ड्रेस	apranga
ड्रेस	suknele
ड्रेस	aprangos
वीरा	vera
एसेक्स	eseksas
कामरूप	kamarupa
रोजा	rosa
हठ	patvarumas
टेरा	terra
हाइड्रॉक्साइड	hidroksidas
लिपिड	lipidų
देशवासियों	tautiečiai
धारीदार	dryžuota
भूखे	alkanas
भूखे	alkani
तीरंदाजी	lankininkų
आयल	naftos
आयल	alyva
आयल	aliejus
जुवेंटस	juventus
क्वेस्ट	žygis
बाँधने	turimas
बाँधने	bambuko
मस्त	jėga
मस्त	kietai
हेलमेट	šalmą
सीम	sims
टांग	kojos
चर्चाएँ	diskusijos
चर्चाएँ	diskusijas
फ़्लैश	flash
अंतरफलक	jungtys
अंतरफलक	sąsajos
विषाद	liūdesys
विषाद	sielvarto
इरादों	ketinimus
दौसा	dausa
परंपराएं	tradicijos
परंपराएं	tradicijų
परंपराएं	tradicijas
गुस्ताव	gustav
गजेटियर	vietovardžių
चेन्नै	čenajus
लॉन	veja
विनाशक	naikintojas
खिलाफत	kalifatas
बढ़ई	carpenter
बढ़ई	dailidžių
इंटरएक्टिव	interaktyvus
अंधेरा	tamsus
अंधेरा	tamsi
अंधेरा	tamsiai
अंधेरा	tamsa
यूएमएल	uml
तनावपूर्ण	įtempta
निकोटीन	nikotino
ढक्कन	dangčiu
कुल्हाड़ी	kirvis
केरला	kerala
मालुकू	molukai
गिल्बर्ट	gilbert
कमियां	trūkumai
खालिद	khaled
खालिद	khalid
हत्याओं	žudynių
अवचेतन	pasąmonę
मधुमक्खियों	bitės
मधुमक्खियों	bičių
शैडो	šešėliai
युन्नान	junano
तुषार	frost
प्रस्तुतकर्ता	vedėja
वायलिन	smuikas
स्टीक	kepsnys
किसका	kieno
मांसल	mėsinga
प्रादा	prada
देवियाँ	deives
बड़ों	senoliai
यूक्रेनी	ukrainos
यूक्रेनी	ukraina
यूक्रेनी	ukrainiečių
अदभुत	nuostabu
अदभुत	nuostabus
अदभुत	nuostabi
अदभुत	nuostabios
अदभुत	nuostabu
अदभुत	nuostabūs
अदभुत	nuostabus
प्रजनक	veisėjai
प्रजनक	augintojai
रेट्रो	retro
वीसा	vizos
वीसा	viza
वीसा	vizų
भौतिकवाद	materializmas
क्राफ्ट	amatų
राफेल	rafael
समानार्थी	sinonimai
समानार्थी	sinonimas
बुढ़ापे	senėjimas
बुढ़ापे	senėjimo
नोएल	noel
रुचिकर	domina
रुचिकर	susidomėję
बोनापार्ट	bonaparte
स्नूकर	snukeris
वोदका	degtinės
वोदका	degtinė
काँटे	spygliai
मांसपेशियां	raumenys
रेडर	raider
खुर	kanopų
लज्जा	drovumas
चीचेन	čičen
बर्बादी	atliekos
हुड	spinta
दिवालियापन	bankrotas
आकांक्षाओं	siekius
आकांक्षाओं	siekiai
क्रियोल	kreolų
व्यवस्थापक	administratorius
व्यवस्थापक	administratoriai
व्यवस्थापक	administratoriai
व्यवस्थापक	administratorius
गम	sielvartą
गम	liūdesys
गम	sielvarto
गम	guma
गम	derva
गम	gumos
प्रस्तुतिकरण	pristatymai
कोमा	koma
कोमा	komos
मोनो	mono
हेनरिक	henrique
कर्मकाण्ड	ritualai
तुर्किस्तान	turkestanas
प्लाईवुड	fanera
मलाशय	tiesiosios
कोहेन	cohen
वाकई	išties
वाकई	tikrai
टर्बो	turbo
वार्निश	lako
समझदार	protingas
समझदार	protingos
सैंटियागो	kubos
भट	bhat
बकवास	nesąmonė
हैम	kumpio
हैम	kumpis
बाना	bana
थियोडोर	teodoras
गुणगान	pagirti
धुआँ	dūmai
धुआँ	dūmų
पुजा	maldos
मेकअप	makiažas
हेस	hesse
मोदिग्लिआनी	modigliani
बलवान	stiprūs
बलवान	tvirtas
बलवान	stipri
बलवान	stiprus
पोखरा	pokhara
ईश	ish
इब्ने	ibn
डॉली	dolly
व्यूह	falanga
स्टैलोन	stallone
प्रूफ	įrodymas
एंड्रोमेडा	andromeda
शाफ्ट	veleno
हॉर्न	ragas
चमड़ी	oda
चमड़ी	odos
टनल	tunelis
टनल	tunelio
टनल	tunelį
सेनेगल	senegalas
ब्रुनेई	brunėjus
मिखाइल	michailas
सगरमाथा	sagarmatos
ईडन	eden
फतेह	fateh
नाइटली	knightley
दिमागी	psichikos
त्रिमूर्ति	trimūrti
त्रिमूर्ति	trinity
नेक्सस	nexus
शिफ्ट	pamaina
पैकिंग	pakavimo
मोहल्ले	vietovė
मोहल्ले	vietovėje
राजकोष	iždo
राजकोष	iždas
स्पेलिंग	rašybos
अभिभूत	daugybes
प्रोस्टेट	prostatos
टेरियर	terjeras
अयोग्यता	diskvalifikacija
रपट	ataskaita
प्रभुता	suverenitetui
प्रभुता	suverenumą
प्रभुता	suvereniteto
बुआ	teta
बुआ	teta
आलिया	alia
गुब्बारे	balionų
गुब्बारे	balionai
फ़्रेम	kadrų
फ़्रेम	rėmai
फ़्रेम	kraštas
अनिद्रा	nemiga
सिवान	sivan
लैंग	lang
भेदन	proveržio
एक्सपो	expo
लॉबी	lobistų
मुल्ला	mulla
पाराशर	parashar
दालचीनी	cinamono
ज़ारा	zara
नाडी	nadis
कामा	kama
लीसेस्टर	leicester
लदान	pakrovimo
इरान	iranas
क्लोन	klonas
मैकमिलन	mcmillan
कॉलिन	colin
तकनीशियन	technikas
ड्रेसिंग	kambariniai
सजाने	dekoravimo
सजाने	dekoruoti
एक्टर	aktorė
एक्टर	aktorius
विडंबना	ironija
कैंची	žirklės
ज्ञानमीमांसा	epistemologija
वोल्गा	volgos
आयलर	eulerio
बैरीमोर	barrymore
भाला	ietis
आतिशबाजी	fejerverkai
एड्रियन	adrian
उबर	uber
पायस	pijus
नस्लवाद	rasizmas
नस्लवाद	rasizmu
गार्जियन	globėjas
बैप्टिस्ट	baptiste
चिमनी	kaminų
गधा	asilas
खाका	išdėstymo
खाका	išdėstymas
हेलीकाप्टर	sraigtasparnio
हेलीकाप्टर	sraigtasparnis
कसीनो	kazino
कसीनो	kazino
हैम्बर्ग	hamburg
इग्लेसियस	iglesias
डंडे	lenkai
बिस्मार्क	bismarkas
रावी	ravi
मोहल्ला	parapija
जांघ	blauzdos
जांघ	šlaunies
बौछार	dušai
कुर्द	kurdų
कोरस	choro
कोरस	choras
ग्रिल	grotelės
कोष्ठक	sija
कोष्ठक	skliaustų
कोष्ठक	skliaustuose
नालों	išsenka
शाकाहार	vegetarizmas
शाकाहार	veganizmas
बुआई	sėjai
नियाग्रा	niagaros
उज्जवल	ryškiau
उज्जवल	šviesus
उज्जवल	šviesi
प्यारी	gražios
प्यारी	miela
शॉर्ट्स	šortai
दवाएँ	narkotikai
रोना	verkti
रोना	verkia
गुच्छे	kekių
पिंगल	naminė
हेरात	herato
स्वेतलाना	svetlana
रैपिड	greitas
तश्तरी	lėkštė
विशालता	didybės
आर्यावर्त	arijai
प्रमाणिक	autentiškas
प्रमाणिक	autentiški
प्लास्टर	gipso
चबाने	kramtomosios
लड़ता	kovų
उदासी	liūdesys
स्कर्ट	sijonas
स्कर्ट	sijonai
बिच्छू	skorpionas
चुंबन	bučinys
मलबा	nuolaužos
चोरों	vagys
मिक्स	mix
बाबुल	babilonas
पेनल्टी	sankcija
पेनल्टी	bausmę
पेनल्टी	bauda
पेनल्टी	bausmė
पेनल्टी	nuobauda
सुलावेसी	sulavesis
मैल्कम	malcolm
बहि	egzoskeletas
स्लिप	slydimo
वीटॉन	vuitton
आयर्स	airėse
हँसी	juoko
हँसी	juokas
क्लारा	klara
यूराल	ural
बोलो	pasakyti
बोलो	bolo
बोलो	kalbėk
बोलो	kalbėti
गोभी	kopūstai
गोभी	kopūstų
पहलवी	pahlavi
भतीजी	dukterėčia
सिस्टर	sis
सिस्टर	sesuo
सिस्टर	sese
सिस्टर	sesė
जॉब	darbas
संघनित्र	kondensatorius
तोता	papūga
वेंडी	vendi
जई	avižų
मोचन	išpirkimo
गोल्डमैन	goldman
पैरा	para
सब्ज़ी	augalinis
सब्ज़ी	daržovės
सब्ज़ी	daržovių
आयो	ayo
प्रतिनिधिमंडल	delegacija
प्रतिनिधिमंडल	pavedimas
दंश	pang
मछलियां	žuvys
सर्वशक्तिमान	visagalis
व्यभिचार	neištikimybė
व्यसन	priklausomybė
फेलिक्स	feliksas
टैंकर	tanklaiviai
टैंकर	tanklaivis
टैंकर	tanklaiviai
टैंकर	tanklaivių
मानहानि	šmeižtu
कामरेड	draugai
बेनी	benny
ग्लूटामेट	glutamatas
सन्नी	soni
सद्दाम	sadamas
मियाँ	mian
मसूड़ों	lipai
रोगाणुओं	mikrobus
शॉक	šokas
मसीहा	messiah
एसीटेट	acetatas
एसीटेट	acetato
न्यूक्लियर	branduolinės
न्यूक्लियर	branduolinis
अर्बन	urban
अर्बन	miesto
लिखावट	rašysena
चारकोल	anglis
जियो	geo
युद्धरत	kariaujančių
ग्रेफाइट	grafito
ग्रेफाइट	grafitas
मीडियम	vidutinės
जेरोम	jerome
पैट	pat
वुल्फ	vilkas
मिनिट	minutė
मिनिट	minutę
गिबन	gibonas
हम्बोल्ट	humbolto
खोखला	tuščiaviduriai
संदूषण	užterštumas
संदूषण	užteršimo
संदूषण	tarša
बोई	boi
नाइटविश	nightwish
गधे	asilai
वाद्यों	instrumentai
अदिश	skaliarinis
एम्मा	ema
मूली	ridikas
इंडिगो	indigo
इस्कॉन	iskcon
ब्रिक्स	brics
मीड	midus
झिल्लियों	membranos
खर्चा	išlaidos
टिम्बालैंड	timbaland
क्रेता	pirkėjas
जोर्डन	jordan
जोर्डन	jordanija
जोर्डन	jordanijos
एमिल	emilis
रजिस्ट्रार	kancleris
रजिस्ट्रार	sekretorius
गूंज	aidas
वसीय	riebalų
बाधाएं	kliūtis
ओवन	owen
ओवन	orkaitėje
ओवन	krosnis
प्रतिध्वनि	aidas
मंत्रिपरिषद	kabineto
कर्टिस	kurtas
कर्टिस	kurtis
कर्टिस	kurti
खोदने	iškasti
असहज	nepatogi
हताश	beviltiška
गोया	goja
विश्वकोष	britannica
जातिवाद	rasizmas
जातिवाद	rasizmu
कार्प	karpiai
दूकान	parduotuvėje
दूकान	parduotuvė
दूकान	apsipirkti
रगड़	trynimui
तोपखाने	artilerijos
तैरता	kintama
आँगन	kieme
आँगन	kiemo
ब्लैकबर्न	blackburn
पीटा	mušami
मापदण्ड	kriterijus
डिब्बा	dėžė
डिब्बा	langelyje
डिब्बा	dėžutė
लीमा	lima
हेलोवीन	halloween
लंग	lang
डिनर	vakarienė
कांजी	kandži
आसिफ	asif
हुनर	talentas
छायाचित्र	nuotraukos
छायाचित्र	fotografijos
छायाचित्र	nuotraukų
छायाचित्र	photography
छायाचित्र	fotografijos
छायाचित्र	fotografija
जले	sudegintas
कोमलता	jautrumas
कोमलता	švelnumas
टेस्टोस्टेरोन	testosterono
खगोलशास्त्रियों	astronomai
अनपढ़	neraštingi
एओएल	aol
ज्वलनशील	degios
ज्वलनशील	degiosios
रोगाणु	gemalų
बूँद	atleisti
वजूद	buvimas
अरहर	karvelis
क्रिटिकल	esminė
हैंडसेट	ragelis
शिलिंग	šilingas
तपोवन	idealizuotas
सबकुछ	viskuo
सबकुछ	visko
सबकुछ	viską
सबकुछ	viskas
आदतें	įpročiai
आदतें	įpročius
फाइटर	kovotojas
अब्दुल्लाह	abdullah
व्याकरणिक	gramatinių
गोरा	gora
रेनबो	rainbow
आईपैड	ipad
बंदूकों	ginklus
बंदूकों	ginklų
बंदूकों	ginklai
डेलावेयर	delavero
इन्फ्रारेड	spindulių
रिका	rika
खुलना	khulna
डैक	vpk
कसरत	treniruotė
कसरत	treniruočių
कसरत	treniruotės
मलावी	malavio
वली	wali
उत्तल	išgaubtos
जीतना	laimėti
होम्योपैथी	homeopatija
विचाराधीन	kol
अल्ट्रा	ultra
फ्लेवर	skonio
फ्लेवर	aromatas
फ्लेवर	skonis
नश्वर	įrengti
बोलिन	bolein
सरीसृपों	ropliai
दुर्गंध	funk
ब्यूटीफुल	graži
ब्यूटीफुल	gražu
काबिल	nusipelno
काबिल	verti
निंजा	nindzė
स्टैक	krauti
छान	jaunųjų
हताशा	nusivylimas
हताशा	nusivylimą
धनिया	kalendros
बैलेंस	balansas
नैनी	aukle
नैनी	auklė
रोज़ा	rosa
मोहरे	karalienes
ट्विस्ट	riešo
एचबीओ	hbo
आदरणीय	gerbiama
बंधुआ	surištos
शेषनाग	šeša
जुकाम	peršalimas
शीशा	veidrodis
कैसिनी	cassini
यूटा	jutos
पोर्टर	porter
अजेय	nenugalimas
ओसाका	osaka
हँसते	juokiasi
सेमिनार	seminaras
शूटर	šaulys
चाम्सकी	chomsky
ड्वाइट	dwight
दीर्घवृत्त	elipsė
नाश्ता	pusryčiams
नाश्ता	pusryčiai
नाश्ता	pusryčių
प्यूपा	lėliukė
वसन्त	pavasario
वसन्त	pavasaris
हैंडलिंग	tvarkymo
स्टारडस्ट	stardust
चाक	kreida
चुनौतियां	sunkumai
चुनौतियां	iššūkius
चुनौतियां	iššūkiai
बेट्टी	betty
किट्स	kitsas
करेन	karen
स्पंज	kempinė
वेबसाइटें	svetainių
ग़ोरी	guridų
भतीजा	sūnėnas
नारीवाद	feminizmas
बिरादरी	brolija
बिरादरी	brolijos
उपनदी	intakas
गोरिल्ला	gorila
जिल	džil
मर्द	vyrai
सीप	austrių
सीप	austrės
सीप	austrė
