apg	apg
islam	islam
bloków	blocuri
wagner	wagner
prasa	presa
prasa	press
prasa	apasa
prasa	apasati
prasa	apasa
łańcuch	string
łańcuch	sir
łańcuch	lant
łańcuch	lant
łańcuch	lantul
grubość	grosimea
grubość	grosime
stevens	stevens
kapitał	capitala
kapitał	capitala
kapitał	capital
monica	monica
galaktyki	galaxiile
galaktyki	galaxii
galaktyki	galaxie
galaktyki	galaxia
galaktyki	galaxy
aktualny	curentul
aktualny	curent
aktualny	actual
aktualny	curentului
aktualny	actuala
kontrola	control
kontrola	controleaza
kontrola	controlul
kontrola	audit
kontrola	auditul
kontrola	inspectia
kontrola	inspectie
mieszane	amestecate
mieszane	amestecat
mieszane	mixt
mieszane	mixta
typowo	tipic
typowo	tipice
warunek	stare
warunek	conditia
warunek	conditie
zawieszenia	suspendare
zawieszenia	suspendarea
zawieszenia	suspensie
zawieszenia	suspensia
zawieszenia	suspendari
naftowej	bruta
naftowej	brut
koleje	ferate
stowarzyszeń	asociatii
stowarzyszeń	asocieri
stowarzyszeń	asociatii
regina	regina
sokół	falcon
działka	complot
działka	intriga
działka	intriga
rozwiązany	rezolvata
rozwiązany	rezolvat
rozwiązany	rezolvate
rozwiązany	rezolvat
rozwiązany	rezolvate
znaczny	substantiale
znaczny	substantial
znaczny	semnificative
znaczny	semnificativa
znaczny	semnificativ
floryda	florida
księżnej	ducesa
księżnej	ducesa
geograficzny	geografice
geograficzny	geografic
geograficzny	geografica
geograficzny	geografice
geograficzny	geografic
geograficzny	geografica
autobus	bus
autobus	autocar
autobus	autobuz
autobus	autobuzul
wirnika	rotor
właścicielami	proprietarii
właścicielami	proprietari
właścicielami	proprietarilor
wewnętrzny	interna
wewnętrzny	intern
wewnętrzny	interne
wewnętrzny	interior
wewnętrzny	interioara
jeana	jean
sex	sexul
sex	sex
samców	masculii
samców	masculi
zbrodnie	infractiuni
zbrodnie	delicte
zbrodnie	infractiuni
zbrodnie	crime
zbrodnie	crima
zbrodnie	crima
zbrodnie	criminalitate
filharmonii	filarmonicii
bycie	fiind
dar	cadou
dar	cadoul
row	randul
row	rand
row	row
wewnętrzna	interna
wewnętrzna	intern
wewnętrzna	interne
wewnętrzna	interior
wewnętrzna	interioara
podróże	calatorii
podróże	calatorie
podróże	calatorind
podróże	calatorind
podróże	calatoresc
pokrywy	acopera
lewandowski	lewandowski
przekazano	inaintat
przekazano	delegate
przekazano	delegat
umieszczenie	plasare
umieszczenie	plasarea
umieszczenie	plasarea
umieszczenie	punerea
kapłan	popa
kapłan	preot
kapłan	preotul
aktów	acte
twierdzenia	pretentii
twierdzenia	creante
aglomeracji	aglomerare
pokrewne	legate
artystyczna	artistice
artystyczna	artistic
artystyczna	artistica
orlando	orlando
opinia	parere
opinia	parere
opinia	aviz
opinia	opinie
opinia	feedback
alessandro	alessandro
pogoń	urmarire
pogoń	chase
bycia	fiind
postawy	atitudinea
postawy	atitudine
postawy	atitudini
postawy	postura
postawy	postura
kasy	banii
kasy	bani
kasy	cash
kasy	numerar
klaus	klaus
studenci	studenti
studenci	elevi
studenci	studenti
studenci	elevii
studenci	studenta
studenci	eleva
studenci	elev
studenci	student
zęby	dinti
duszy	sufletul
duszy	suflet
duszy	soul
przeznaczeniem	destiny
przeznaczeniem	destinul
przeznaczeniem	destin
finały	finala
obywatel	cetatean
obywatel	cetatean
irlandia	irlanda
irlandia	irlandei
osobno	separat
zeszyt	caiet
zeszyt	notebook
ferdinand	ferdinand
act	actul
act	actioneaza
act	act
nationale	nationale
skała	piatra
skała	piatra
skała	stanca
skała	stanca
skała	rock
ponownego	reaparitie
leonarda	leonard
łaski	mercy
łaski	mila
łaski	mila
łaski	har
łaski	harul
łaski	grace
łaski	gratie
wykorzystane	folosit
wykorzystane	utilizate
wykorzystane	folosite
wykorzystane	folosita
wykorzystane	utilizata
wykorzystane	utilizat
wykorzystane	exploatata
wykorzystane	exploatate
wykorzystane	exploatat
zamieszkania	locuire
nina	nina
zachowań	comportamente
zachowań	comportamentele
wyświęcony	randuit
wyświęcony	hirotonisit
montana	montana
hansen	hansen
parametr	parametru
parametr	parametrul
narciarstwo	ski
narciarstwo	schi
eyes	ochii
eyes	ochi
terytoriów	teritoriile
terytoriów	teritorii
ochotników	voluntari
ochotników	voluntarii
pojęć	concepte
pojęć	conceptele
circle	cercul
circle	circle
circle	cerc
otoczone	inconjurat
otoczone	inconjurata
otoczone	inconjurat
absolwentów	alumni
auf	auf
uruchomienie	lansare
uruchomienie	lanseaza
uruchomienie	lansarea
uruchomienie	mobilizare
uruchomienie	mobilizarea
uruchomienie	lansare
uruchomienie	lansarea
imdb	imdb
gilles	gilles
diana	diana
senat	senatul
senat	senat
senat	senatului
zaproszenie	invita
zaproszenie	invita
zaproszenie	invitatie
zaproszenie	invitatie
zaproszenie	invitatie
zamiar	intentie
zamiar	intentia
zamiar	intentie
zamiar	intentie
zamiar	intentia
zamiar	intentie
podwozie	sasiu
iranie	iran
iranie	iranul
lane	lane
minas	minas
reggae	reggae
blog	blog
blog	blogul
zębów	dinti
dziesiątki	zeci
dziesiątki	zeci
dziesiątki	duzini
orbicie	orbita
orbicie	orbita
aten	atena
lars	lars
ter	ter
fikcyjna	fictiv
full	plina
full	full
full	plin
full	plina
odra	pojar
odra	odra
afryka	africa
afryka	africani
afryka	africana
afryka	africane
afryka	african
opublikowano	postata
opublikowano	postat
opublikowano	publicate
opublikowano	publicat
opublikowano	publicata
monet	monede
monet	monezi
monet	monedele
monet	monet
lufy	butoaie
lufy	butoi
kosmiczny	cosmice
kosmiczny	cosmica
kosmiczny	cosmic
money	banii
money	bani
korzyść	beneficiu
korzyść	beneficii
korzyść	beneficiul
korzyść	avantaj
korzyść	avantajul
calgary	calgary
bakterii	bacteriene
bakterii	bacteriana
bakterii	bacterie
bakterii	bacterii
bakterii	bacteriile
bakterii	bacteria
gospodarcza	economic
gospodarcza	economica
gospodarcza	economice
przełom	descoperire
texas	texas
texas	texasul
heavy	heavy
heavy	greu
heavy	grele
heavy	grea
heavy	grei
słowian	slavi
rysunki	desene
rysunki	desenele
jake	jake
historycy	istorici
historycy	istoricii
portland	portland
terytoria	teritoriile
terytoria	teritorii
terytoria	teritoriu
terytoria	teritoriul
algorytm	algoritmul
algorytm	algoritm
koronę	coroana
koronę	coroana
koronę	crown
wróć	retur
wróć	intoarcere
kamienie	pietre
kamienie	pietrele
kamienie	piatra
kamienie	stone
kamienie	piatra
kamienie	pietre
kamienie	roci
kamienie	stanci
honor	onoare
honor	onoarea
honor	onoare
honor	onoarea
umiera	moare
umiera	mor
przemysłowe	industriala
przemysłowe	industriala
przemysłowe	industrial
przemysłowe	industriale
tunel	tunelul
tunel	tunel
zbiorniki	rezervoare
zbiorniki	tancuri
zbiorniki	cisterne
zbiorniki	tancurile
zbiorniki	rezervoare
niewielu	putine
niewielu	putini
niewielu	putini
iras	iras
sprzedano	vandut
sprzedano	vandute
sprzedano	vanduta
sprzedano	vandut
chen	chen
konkursy	concursuri
konkursy	concursuri
tygodniach	saptamani
tygodniach	saptamani
tygodniach	saptamanile
zen	zen
ewakuacji	evacuare
ewakuacji	evacuarea
jürgen	jürgen
wymiar	dimensiune
wymiar	dimensiunea
bonus	bonus
bonus	bonusul
sncf	sncf
web	web
connecticut	connecticut
rolnictwo	agricol
rolnictwo	agricole
rolnictwo	agricultura
rolnictwo	agricultura
rolnictwo	agricultura
rolnictwo	agricultura
zmieniona	modificat
zmieniona	modificata
zmieniona	modificat
simone	simone
juniors	juniori
poezja	poezia
poezja	poezii
poezja	poezie
litwa	lituaniei
litwa	lituania
pokład	punte
pokład	puntea
sprzeciw	opozitia
sprzeciw	opozitie
sprzeciw	opozitie
atlanta	atlanta
sól	salt
sól	sarea
sól	sare
traktować	trata
traktować	trateaza
traktować	trateaza
kolonię	colonia
kolonię	colonie
opady	precipitare
słowacja	slovacia
odchodzi	plecarea
usuwanie	indepartarea
usuwanie	stergerea
usuwanie	eliminare
usuwanie	eliminarea
usuwanie	stergere
usuwanie	indepartare
usuwanie	indepartarea
odzyskał	recapatat
klein	klein
poczucie	simt
poczucie	sens
odwrót	retragere
odwrót	retragerea
rany	rana
rany	rana
rany	rani
rany	ranile
rany	rani
substancje	substanta
substancje	substanta
substancje	substante
substancje	substante
ziemski	pamantesc
publikowane	publicate
publikowane	publicat
publikowane	publicata
pływak	inotatoare
pływak	inotator
ogromny	imensa
ogromny	imens
ogromny	massive
ogromny	masive
ogromny	masiv
ogromny	masiva
ogromny	enorma
ogromny	enorm
ogromny	enorma
ogromny	enorme
działek	colete
działek	parcele
nagrodzony	rasplatita
nagrodzony	recompensat
nagrodzony	rasplatit
schemat	diagrama
schemat	diagrama
oczywiste	evidenta
oczywiste	evidenta
oczywiste	evidente
oczywiste	evident
fotografia	fotografie
fotografia	photo
fotografia	foto
fotografia	fotografia
fotografia	poza
fotografia	fotografie
fotografia	fotografia
teoretycznie	teoretic
gmt	gmt
krajobraz	peisaj
krajobraz	peisajului
krajobraz	peisajul
elektor	elector
ted	ted
tramwaj	tramvai
tramwaj	tramvaiul
tramwaj	tramvaiul
zdecydowała	decisa
zdecydowała	decis
zdecydowała	hotarat
przekonać	convinge
przekonać	convinge
belgradzie	belgrad
belgradzie	belgradul
tkanki	tesut
tkanki	tesut
skuteczność	performante
skuteczność	performanta
skuteczność	performanta
skuteczność	performanta
skuteczność	eficacitate
skuteczność	eficacitatea
skuteczność	eficacitate
skuteczność	eficacitatea
skuteczność	randament
skuteczność	eficienta
skuteczność	eficienta
skuteczność	eficienta
przypadkowo	accidental
tryby	modurile
tryby	moduri
erich	erich
dama	doamna
dama	doamna
władcą	conducator
ślad	traseu
ślad	trace
przyjęte	acceptat
przyjęte	acceptate
przyjęte	acceptata
przyjęte	acceptata
przyjęte	adoptat
przyjęte	adoptata
bloki	blocuri
niska	scazuta
niska	scazut
niska	low
twierdzą	revendicare
twierdzą	revendica
testament	testament
testament	testamentul
berg	berg
anhalt	anhalt
podobieństwo	asemanare
podobieństwo	asemanare
podobieństwo	similitudine
mitsubishi	mitsubishi
zatrudnienie	angajare
zatrudnienie	angajare
zatrudnienie	angajarea
zatrudnienie	angajari
horror	groaza
horror	groaza
horror	horror
horror	oroare
technologia	tehnologie
technologia	tehnologii
technologia	tehnologia
oklahoma	oklahoma
konkretne	specific
konkretne	specifica
konkretne	specifice
konkretne	concret
konkretne	beton
konkretne	concrete
konflikty	conflictele
konflikty	conflicte
konflikty	conflictul
konflikty	conflicte
konflikty	conflict
sophie	sophie
kings	regilor
kings	kings
kings	regii
kings	regi
dokładne	precise
dokładne	precis
dokładne	precisa
dokładne	precise
dokładne	precisa
dokładne	exacte
dokładne	exacta
dokładne	exact
dokładne	exacta
podziemia	underground
podziemia	subteran
zapobiec	preveni
zapobiec	previne
skrzyżowanie	intersectia
skrzyżowanie	intersectie
skrzyżowanie	junction
poprawę	imbunatatirea
muza	muza
muza	muza
czytać	citire
czytać	citeste
czytać	citeste
organizatorów	organizatorii
organizatorów	organizatori
organizatorów	organizatorii
organizatorów	organizatori
dopuszczalna	acceptabil
dopuszczalna	acceptabile
dopuszczalna	acceptabila
dopuszczalna	admisibile
dopuszczalna	admisibil
dopuszczalna	admisibila
spada	cade
spada	falls
dramatyczny	dramatic
dramatyczny	dramatice
dramatyczny	dramatica
zapasy	proviziile
zapasy	provizii
zapasy	stocurile
zapasy	stocuri
zapasy	wrestling
zapasy	lupte
zapasy	stocul
zapasy	stoc
żyły	vene
żyły	venele
żyły	vena
żyły	vena
donieck	donetk
cesarzem	imparat
cesarzem	imparatul
cesarzem	imparat
organiczny	organici
organiczny	organice
organiczny	organica
organiczny	organic
make	face
instrukcji	instructiunile
instrukcji	instructiuni
instrukcji	instructiuni
hope	speranta
hope	sper
hope	speranta
hope	speranta
zgoda	consimtamantul
zgoda	convenit
zgoda	convenite
face	fata
face	fata
face	fata
face	fata
face	fata
opada	cade
opada	falls
genewie	geneva
zapewnienie	asigurand
chronologicznie	cronologic
barwa	culoare
barwa	color
barwa	culoarea
barwa	culoare
barwa	color
barwa	culoarea
wspomnień	amintiri
wspomnień	amintirile
inżynieria	inginerie
inżynieria	ingineria
inżynieria	ingineri
inżynieria	inginerii
turbo	turbo
sale	sali
sale	sali
sale	vanzare
sale	vanzare
sale	vanzarea
sale	vanzari
literaturę	literatura
literaturę	literatura
filmweb	filmweb
artyleria	artileria
artyleria	artilerie
siatkówki	retina
siatkówki	retina
siatkówki	retina
siatkówki	volei
design	proiectare
design	design
design	proiectarea
sklepy	magazinele
sklepy	magazine
sklepy	magazine
seweryn	seweryn
markiz	marchiz
concacaf	concacaf
maks	max
maks	maxim
majewski	majewski
doradcą	consilier
buffalo	bivoli
buffalo	bivol
buffalo	buffalo
buffalo	bizon
buffalo	bizoni
prawdopodobieństwo	probabilitate
prawdopodobieństwo	probabilitate
prawdopodobieństwo	probabilitatea
hetman	hatman
zwłoki	cadavre
zwłoki	cadavru
pokoleń	generatii
pokoleń	generatii
wieczny	eterna
wieczny	eterna
wieczny	eterne
wieczny	etern
przyznaje	admite
przyznaje	recunoaste
odkryć	descoperirile
odkryć	descoperiri
odkryć	descopera
odkryć	descopera
odkryć	descopar
odkryć	descoperiti
stężenie	concentratiile
stężenie	concentratii
stężenie	concentratie
stężenie	concentrare
stężenie	concentratia
zrobione	luata
zrobione	luat
zrobione	luate
zrobione	facute
zrobione	made
zrobione	facuta
zrobione	facut
przyjmując	presupunand
rozbił	zdrobit
rozbił	prabusit
inżynierów	ingineri
inżynierów	inginerii
bonaparte	bonaparte
odwołany	anulate
odwołany	anulata
odwołany	anulat
odwołany	anulate
odwołany	anulata
odwołany	anulat
żyła	trait
żyła	traia
żyła	traita
żyła	trait
żyła	vena
żyła	vena
uczestniczy	participa
zjednoczenie	unitate
zjednoczenie	unitatea
zjednoczenie	unificarea
zjednoczenie	unificare
zjednoczenie	reuniunea
zjednoczenie	reuniune
wnioski	aplicatii
wnioski	cereri
wnioski	aplicatii
wnioski	cereri
wnioski	solicitari
wnioski	cererile
wnioski	concluzii
wnioski	concluzia
wnioski	concluzie
wnioski	concluziile
wnioski	concluzii
podłoża	substraturi
rak	cancerul
rak	cancer
luksemburga	luxembourg
luksemburga	luxemburg
radiowy	radio
emi	ime
emi	emi
sauber	sauber
somerset	somerset
atlantyku	atlantic
atlantyku	atlanticul
atlantyku	atlanticului
pytaj	cere
pytaj	intreaba
pytaj	intreaba
pytaj	ask
ronald	ronald
parki	park
parki	parc
parki	parcul
parki	parcuri
parki	parks
parki	parcurile
konstrukcje	structurile
konstrukcje	structuri
konstrukcje	structurilor
hong	hong
rain	ploaie
rain	ploua
rain	ploi
rain	rain
jam	yam
jam	jam
jam	gem
połączyć	imbinare
połączyć	imbina
połączyć	unire
połączyć	unificare
połączyć	combina
połączyć	combin
połączyć	combina
połączyć	combine
pozytywne	pozitiv
pozytywne	pozitiva
pozytywne	pozitive
pętli	buclele
pętli	bucle
pętli	bucla
pętli	bucla
historie	povestiri
historie	povesti
historie	povesti
sheffield	sheffield
intensywnie	intensa
intensywnie	intens
intensywnie	intense
intensywnie	intensa
niepełnosprawnych	dezactivate
niepełnosprawnych	dezactivata
niepełnosprawnych	dezactivat
niepełnosprawnych	handicapat
magnus	magnus
przejęcia	achizitiile
przejęcia	achizitii
przejęcia	preluare
przejęcia	preluarea
libii	libiei
libii	libia
fizyka	fizica
fizyka	fizica
islamu	islamul
islamu	islamului
islamu	islam
sporów	disputele
sporów	litigii
sporów	litigiile
sporów	dispute
malarzy	pictori
jeremy	jeremy
nagrobek	mormant
nagrobek	mormant
nagrobek	mormantul
nagrobek	tombstone
haiti	haiti
haiti	haitian
rozmieszczenie	desfasurare
rozmieszczenie	desfasurarea
rozmieszczenie	layout
rozmieszczenie	aranjament
calcio	calcio
przekształcenia	transformari
dłoni	palm
dłoni	palma
dłoni	palmier
wiara	credinta
wiara	faith
wiara	credinta
wiara	credinta
wiara	credinta
jesień	toamna
jesień	toamna
jesień	cazi
jesień	toamna
jesień	cadea
walczących	beligerante
rejestracji	inregistrari
rejestracji	inregistrare
rejestracji	inregistrare
myślenia	gandire
myślenia	gandirea
myślenia	gandind
krakowska	krakowska
zmiennych	variabilele
zmiennych	variabile
zmiennych	variabilelor
wywołuje	induce
pułków	regimente
kolorado	colorado
bezpośredni	directa
bezpośredni	directe
bezpośredni	directa
bezpośredni	direct
błony	membranele
derby	derby
głębokie	adanc
głębokie	profund
głębokie	adanca
głębokie	adanc
głębokie	profund
głębokie	profunda
przejęcie	preluare
przejęcie	preluarea
przejęcie	achizitia
przejęcie	achizitie
pieszych	pieton
pieszych	pietoni
laurent	laurent
przedstawiona	prezentat
przedstawiona	prezentata
przedstawiona	prezentate
plakat	poster
plakat	posterul
plakat	afis
inicjatywa	initiativa
inicjatywa	initiativa
inicjatywa	initiativa
bohaterka	eroina
bohaterka	eroina
palermo	palermo
wdowa	vaduva
wdowa	vaduva
wdowa	vaduva
cole	cole
kulturowe	cultural
kulturowe	culturala
kulturowe	culturale
mma	mma
prywatny	privata
prywatny	privat
prywatny	private
usuwania	eliminare
usuwania	eliminarea
gil	gil
synod	sinod
boliwii	bolivian
boliwii	bolivia
wyrażenia	frazele
wyrażenia	fraze
wyrażenia	expresii
wyrażenia	expresiile
wyrażenia	expresii
wyrażenia	expresia
wyrażenia	exprimare
wyrażenia	expresie
gazy	gazele
gazy	gaze
gazy	gaza
edu	edu
nasion	seminte
nasion	seminte
nasion	seminte
nasion	samanta
flora	flora
śródziemnego	mediterana
śródziemnego	mediterana
śródziemnego	mediteranean
starsza	elder
esp	esp
porównania	comparatia
porównania	comparatie
porównania	comparatie
porównania	comparatie
porównania	compararea
phillips	philips
phillips	phillips
jiří	jiří
seine	sena
seine	seine
antwerpii	antwerp
münchen	münchen
poczęcia	conceperea
chaos	mutilare
chaos	haosul
chaos	haos
zarzut	pledoarie
dziób	cioc
dziób	ciocul
ustaw	setata
ustaw	stabileste
ustaw	set
ustaw	seteaza
ustaw	setat
dialog	dialogul
dialog	dialog
dialog	dialoguri
palace	palatul
palace	palat
palace	palace
sztuczne	artificiale
sztuczne	artificiala
sztuczne	artificiala
sztuczne	artificial
baltimore	baltimore
ogrodzie	gradina
ogrodzie	gradina
ogrodzie	gradina
robertson	robertson
apple	mar
apple	mere
apple	mar
apple	apple
iwona	yvonne
galaktyk	galaxiile
galaktyk	galaxii
wiosna	primavara
wiosna	primavara
wiosna	primavara
wiosna	izvor
wiosna	spring
rządowe	guvernul
rządowe	guvernare
rządowe	guvern
śpiewa	canta
śpiewa	canto
śpiewa	cantand
śpiewa	cantand
przekonany	convins
przekonany	convinsa
kaliber	calibrul
kaliber	calibru
kaliber	calibru
jessica	jessica
bibliotekę	biblioteca
bibliotekę	biblioteca
bibliotekę	librarie
moritz	moritz
wyjaśnić	explica
wyjaśnić	explica
orbitę	orbita
orbitę	orbita
mohamed	mohamed
osobowość	personalitate
osobowość	personalitatea
ciężki	heavy
ciężki	greu
ciężki	grele
ciężki	grea
ciężki	grei
zarejestrowany	inregistrate
zarejestrowany	inregistrata
zarejestrowany	inregistrat
zarejestrowany	inregistrat
zarejestrowany	inregistrate
zarejestrowany	inregistrata
zarejestrowany	inregistrat
zarejestrowany	inregistrat
zależność	dependenta
zależność	dependenta
zależność	dependenta
child	copile
child	copila
child	copil
child	copila
oddanie	daruire
oddanie	devotamentul
oddanie	devotament
podejścia	abordarile
podejścia	abordari
podejścia	abordarea
podejścia	abordare
okładki	acoperi
okładki	acopera
okładki	coperta
okładki	coperta
okładki	cover
okładki	acoperire
okładki	acopera
podmiot	subiect
podmiot	subiectul
podmiot	entitate
podmiot	entitatea
volley	salva
url	url
rzymian	romani
zaproszony	invitata
zaproszony	invitat
zbiorowe	colective
zbiorowe	colectiva
zbiorowe	colectivul
zbiorowe	colectiv
reprezentujący	reprezentand
wież	towers
wież	turnuri
wież	turnurile
ostro	dur
kość	oase
kość	os
kość	osul
kość	bone
sucha	usca
sucha	uscate
sucha	uscat
sucha	uscata
współpracownik	coleg
współpracownik	asociat
współpracownik	asociaza
współpracownik	asociata
lokomotywy	locomotive
lokomotywy	locomotiva
lokomotywy	locomotiva
lokomotywy	locomotive
zagrzeb	zagreb
bibliotek	biblioteci
kalisz	kalisz
tomáš	tomáš
stawy	iazuri
skamieniałości	fosile
księżniczki	printesa
księżniczki	printesa
księżniczki	printesa
kopiowania	copierea
kopiowania	copiere
techniczna	tehnica
techniczna	tehnice
techniczna	tehnic
świadomość	constiinta
świadomość	sensibilizare
miles	miles
miles	mile
miles	kilometri
piechota	infanterie
piechota	infanteria
mongolii	mongolia
smak	gust
smak	gusturi
smak	gusta
smak	gustul
smak	gusta
smak	savoare
smak	aroma
smak	aroma
smak	savoare
smak	aroma
smak	aroma
tabor	tabor
utrata	pierzand
utrata	pierderi
utrata	pierderea
utrata	pierdere
weber	weber
zatwierdzony	validat
zatwierdzony	validata
zatwierdzony	validate
zatwierdzony	aprobat
zatwierdzony	aprobate
zatwierdzony	omologat
zatwierdzony	aprobata
potocki	potocki
michelle	michelle
baden	baden
przestępstwa	infractiuni
przestępstwa	infractiuni
przestępstwa	delicte
przestępstwa	infractiuni
przestępstwa	crime
przestępstwa	crima
przestępstwa	crima
przestępstwa	criminalitate
alma	alma
jutro	maine
jutro	maine
ostre	sharp
ostre	picante
ostre	picanta
ostre	picant
ostre	condimentat
ostre	acute
ostre	acut
ostre	acuta
luftwaffe	luftwaffe
szybkość	viteza
szybkość	viteza
szybkość	speed
szybkość	turatia
podgatunki	subspecii
tychy	tychy
zrozumieć	intelege
zrozumieć	intelege
pytań	intrebari
pytań	intrebari
software	software
zatopiony	scufundate
zatopiony	scufundat
zatopiony	scufundata
zatopiony	scufundat
zatopiony	scufundata
wiktorii	victoriei
wiktorii	victoria
giorgio	giorgio
panował	domnit
alejandro	alejandro
sandra	sandra
wallace	wallace
wellington	wellington
regionalny	regional
regionalny	regionala
regionalny	regionale
następna	urmatorul
następna	urmatorul
następna	urmator
następna	urmatoarea
wyroby	articolele
wyroby	articole
wyroby	produse
wyroby	produsele
strategii	strategii
strategii	strategiile
strategii	strategie
strategii	strategia
informuje	informeaza
świeckich	seculare
emmy	emmy
nadzoru	supervizare
nadzoru	supraveghere
nadzoru	supravegherea
nadzoru	supraveghere
nadzoru	supravegherea
nadzoru	supravegherea
satelitarne	satelitul
satelitarne	satelit
zabawy	distractie
zabawy	distractiv
zabawy	distractie
operatora	operator
operatora	operatorul
operatora	operatorului
ćwiczeń	exercitii
ćwiczeń	exercitii
nico	nico
wymiana	inlocuirea
wymiana	inlocuitor
wymiana	inlocuire
wymiana	schimb
wymiana	schimbul
przeznaczenia	destiny
przeznaczenia	destinul
przeznaczenia	destin
przeznaczenia	soarta
przeznaczenia	soarta
przeznaczenia	destin
łuk	arc
łuk	arch
łuk	arc
łuk	plecaciune
łuk	arcul
łuk	bow
lucie	lucie
atlancie	atlanta
regionalna	regional
regionalna	regionala
regionalna	regionale
smoka	balaur
smoka	dragonul
smoka	dragon
opisano	descrise
opisano	descrisa
opisano	descris
kwatera	sferturi
tajne	secreta
tajne	secret
tajne	secreta
tajne	secrete
tajne	secretul
tajne	clasificate
tajne	clasificat
tajne	clasificata
julius	julius
julius	iulius
ciepło	caldura
ciepło	heat
ciepło	caldura
ciepło	caldura
ciepło	calde
ciepło	cald
ciepło	calda
ciepło	caldura
ciepło	caldura
ciepło	caldura
alexandre	alexandre
rozwiązać	rezolva
rozwiązać	rezolva
jankowski	jankowski
aniołów	ingeri
aniołów	ingerii
aniołów	angels
aniołów	ingeri
aniołów	ingerii
wycofanie	retrageri
wycofanie	retragere
wycofanie	retragerea
wycofanie	sevraj
gość	vizitatorul
gość	vizitator
gość	guy
gość	tip
gość	musafir
gość	oaspete
gość	invitat
gran	gran
fale	undei
fale	val
fale	valul
fale	valuri
fale	valurile
statut	statutul
dochodów	venitul
dochodów	venituri
dochodów	veniturile
strażnik	gardian
strażnik	tutore
strażnik	pazitor
strażnik	guardian
strażnik	gardian
strażnik	garda
strażnik	paznic
koszalin	koszalin
dyplomatyczne	diplomatice
dyplomatyczne	diplomatic
dyplomatyczne	diplomatica
częstotliwość	frecventa
częstotliwość	frecventa
too	prea
podyplomowe	postuniversitare
matematyka	matematica
matematyka	matematica
matematyka	matematica
matematyka	matematic
matematyka	mate
matematyka	matematica
matematyka	matematica
wbc	wbc
berkeley	berkeley
rydze	riga
poznaje	recunoaste
wiarę	credinta
wiarę	faith
wiarę	credinta
wiarę	credinta
kostki	glezna
kostki	glezna
kostki	glezne
kostki	cuburi
rozbudowa	extensie
rozbudowa	prelungirea
rozbudowa	extindere
rozbudowa	prelungire
rozbudowa	extensia
rozbudowa	expansiune
rozbudowa	extinderea
rozbudowa	expansiunea
rozbudowa	extindere
nowoczesne	moderni
nowoczesne	moderna
nowoczesne	modern
nowoczesne	moderne
nowoczesne	moderna
analogicznie	similar
emily	emily
ostateczny	finala
ostateczny	final
ostateczny	finala
ostateczny	definitiva
ostateczny	definitive
ostateczny	definitiv
fin	fin
clinton	clinton
czwartek	joi
czwartek	joia
eduard	eduard
ukraińców	ucraineni
nauczanie	predau
nauczanie	predare
socjolog	sociolog
rejestr	registru
rejestr	inregistreaza
rejestr	inregistrare
rejestr	registru
holowania	remorcare
koch	koch
rzadkie	rari
rzadkie	rar
rzadkie	rara
rzadkie	rare
rzadkie	rara
syntezy	sinteza
syntezy	sinteza
replika	replica
replika	replica
bellona	bellona
przemysłowy	industriala
przemysłowy	industriala
przemysłowy	industrial
przemysłowy	industriale
słup	stalp
słup	pole
słup	pol
słup	polul
słup	pilonul
słup	stalp
słup	pilon
doradca	consilier
doradca	consultant
doradca	consultantul
doradca	consilier
doradca	consilier
doradca	consilier
uderzył	hit
uderzył	lovit
uderzył	loveste
cokolwiek	orice
audi	audi
nsdap	nsdap
oskarżenia	acuzatii
oskarżenia	acuzatii
rejs	cruise
rejs	croaziera
rejs	croaziera
arabii	arabia
panie	doamnelor
panie	doamnele
kong	kong
tradycję	traditia
tradycję	traditie
tradycję	traditie
tradycję	traditia
cali	cali
cali	inchi
cali	inci
cali	centimetri
edgar	edgar
twoja	dumneavoastra
twoja	ta
clausura	clausura
jensen	jensen
chrzest	botezul
chrzest	botez
chrzest	botez
przegrana	infrangere
przegrana	infrangerea
przegrana	pierzand
england	anglia
england	england
dee	dee
sprzeczne	contradictorii
sprzeczne	contrar
sprzeczne	contrare
sprzeczne	contrara
sprzeczne	contradictoriu
sprzeczne	contradictorii
renata	renata
zasadnicza	fundamentala
zasadnicza	fundamentale
zasadnicza	fundamental
płock	płock
asystenta	asistent
rheinland	rheinland
podkategorii	subcategorii
podkategorii	subcategorie
wagon	caruta
wagon	vagon
rodzeństwa	frati
rodzeństwa	fratii
zniszczyć	distruge
traktuje	trateaza
traktuje	trateaza
dialogu	dialogul
dialogu	dialog
dialogu	dialoguri
odkrywa	dezvaluie
missisipi	mississippi
powodując	cauzand
powodując	provocand
christine	christine
marynarka	marina
marynarka	navy
marynarka	marina
marynarka	geaca
marynarka	sacou
marynarka	jacheta
marynarka	haina
marynarka	jacheta
stężenia	concentratiile
stężenia	concentratii
stężenia	concentratie
stężenia	concentrare
stężenia	concentratia
wyjaśnienie	explicatie
wyjaśnienie	explicatia
wyjaśnienie	explicatie
wyjaśnienie	clarificare
wyjaśnienie	clarificari
wyjaśnienie	clarificarea
polo	polo
czynne	active
czynne	activi
czynne	activ
czynne	activa
odbiór	peste
odbiór	over
odbiór	primire
odbiór	primirea
odbiór	primirea
odbiór	primind
odbiór	primire
odbiór	receptie
odbiór	receptie
odbiór	preluare
odbiór	ridicare
represji	reprimarea
represji	represiune
represji	represiunea
wicehrabia	viconte
