inspector	инспектор
graduates	выпускников
jungle	джунгли
jungle	джунглях
placement	размещения
placement	размещение
fairy	феи
fairy	фея
tourists	туристов
tourists	туристы
reasonably	разумно
performs	исполняет
performs	выполняет
quarterly	ежеквартально
romans	римляне
romans	римлян
rpm	rpm
diploma	дипломы
diploma	диплом
diploma	аттестат
circa	circa
swan	лебедь
swan	свон
carpenter	карпентер
petition	петиции
petition	петицию
boris	борис
berry	берри
invention	изобретение
southampton	саутгемптон
prairie	прерии
app	app
finalist	финалист
draws	рисует
draws	обращает
slight	незначительные
slight	незначительное
maxwell	максвелл
planes	самолёты
planes	самолеты
planes	плоскости
oriental	восточной
oriental	восточная
oriental	восточное
manufacture	производство
manufacture	изготовление
acclaimed	признанный
coordinator	координатор
coordinator	координатора
bombs	бомбы
mohammad	мухаммед
mohammad	мохаммад
mohammad	мохаммед
bassist	басист
superman	супермен
colombian	колумбийский
colombian	колумбии
philippe	филипп
felix	феликс
bengali	бенгальский
greene	грин
voluntary	добровольный
voluntary	добровольное
voluntary	добровольные
voluntary	добровольная
floating	плавающих
montenegro	черногории
montenegro	черногория
sketch	скетч
sketch	набросок
mann	манн
flooding	наводнения
flooding	наводнение
escort	сопровождение
escort	эскорт
dressed	одеты
dressed	одета
dressed	одет
dressed	одетый
astronomy	астрономии
sudden	внезапный
sudden	внезапное
sudden	внезапно
variables	переменных
variables	переменные
arbitrary	произвольных
arbitrary	произвольные
arbitrary	произвольным
arbitrary	произвольное
arbitrary	произвольный
arbitrary	произвольно
skiing	лыжи
timothy	тимоти
cello	виолончели
rainfall	осадки
rainfall	осадков
rafael	рафаэль
sphere	сфера
rewrite	переписать
georg	георг
cinematography	кинематографии
canvas	холст
chest	груди
chest	сундук
chest	грудь
krishna	кришна
provider	поставщик
provider	поставщика
provider	провайдер
frances	фрэнсис
crowned	коронован
carved	вырезал
poles	поляки
cabin	домик
civilization	цивилизация
civilization	цивилизацию
civilization	цивилизации
avoided	избегал
avoided	избежал
lisbon	лиссабон
tongue	язык
eliminate	ликвидировать
eliminate	устранить
panels	панели
darwin	дарвин
cheese	сыр
easter	пасхи
rat	крысы
rat	крыса
papua	папуа
insert	вставка
insert	вставить
insert	включить
descriptions	описания
debates	прения
debates	дебаты
informal	неофициальный
informal	неофициальная
informal	неформальный
informal	неофициальных
castles	замки
cry	плакать
cry	плачь
cry	плач
loyal	верные
loyal	преданный
loyal	верный
loyal	верная
surfaces	поверхностей
surfaces	поверхности
nicolas	николя
institutes	институты
humor	юмор
madonna	мадонна
worcester	вустер
cooperative	кооператив
substantially	существенно
trips	поездки
winston	уинстон
introducing	представляем
introducing	представляя
drake	дрейк
lunar	лунный
fountain	фонтан
consulting	консультирование
patricia	патриция
garcía	гарсия
garcía	гарсиа
quit	бросить
maple	кленовый
aberdeen	абердин
verb	глагол
illustrations	иллюстрации
mechanisms	механизмы
reds	красных
reds	красные
posters	плакаты
leipzig	лейпциге
santo	санто
santo	санту
roland	роланд
expelled	высланы
expelled	исключили
telecommunications	связь
telecommunications	телекоммуникаций
telecommunications	телекоммуникации
strait	пролива
strait	пролив
nationals	граждане
unanimous	единогласное
unanimous	единогласно
unanimous	единодушно
misleading	заблуждение
sherman	шерман
stefan	стефан
sleeping	спит
sleeping	спать
sleeping	спят
alto	альто
crucial	важнейший
thomson	томсон
prehistoric	доисторическая
communicate	общаться
alphabet	алфавит
zagreb	загребе
chef	шеф
chef	повар
tubes	трубы
tubes	трубки
carnegie	карнеги
hostile	враждебность
hostile	враждебной
hostile	противник
hostile	враждебные
hostile	враждебно
prizes	призы
eighteen	восемнадцать
shirt	рубашка
shirt	рубашку
shirt	футболка
weird	странная
weird	странное
weird	странный
weird	странно
weird	странные
loading	погрузки
loading	загрузка
edges	края
plantation	плантации
vernon	вернон
acre	акров
practiced	практиковали
wonderful	замечательно
wonderful	чудесные
wonderful	чудесная
missiles	ракеты
missiles	ракет
guides	ведет
finger	палец
finger	пальцем
garage	гараж
garage	гараже
savage	дикарь
technological	технологических
technological	технологические
technological	технологический
shoes	ботинки
shoes	туфли
shoes	обувь
shoes	обуви
climbing	восхождение
barrel	ствол
biographies	биография
biographies	биографии
spite	назло
ham	ветчина
geoffrey	джефри
geoffrey	джеффри
valve	клапан
osaka	осаке
beck	бек
analog	аналоговые
analog	аналог
monkey	обезьяны
monkey	обезьянка
monkey	обезьяна
listening	слушаю
listening	слушать
listening	слушает
integrity	целостности
integrity	целостность
integrity	добросовестность
definitions	определения
critically	критически
operas	опер
baldwin	болдуин
troop	войска
objections	возражения
objections	возражений
marina	marina
marina	марина
detection	выявление
detection	обнаружения
detection	обнаружение
sixty	sixty
sixty	шестьдесят
linguistic	языковым
venus	венеры
venus	венера
salmon	лосося
salmon	лосось
monarchy	монархии
stade	стад
francesco	франческо
abortion	аборты
abortion	аборт
abortion	абортов
monica	моника
elephant	слона
elephant	слон
polar	полярных
ton	тонну
ton	тонны
ton	тон
counting	подсчет
counting	рассчитывает
counting	считаю
counting	считать
corn	кукурузу
corn	кукуруза
corn	кукурузы
trucks	грузовики
sank	затонул
airborne	воздухе
deutsche	deutsche
tension	напряжение
tension	напряженность
tension	напряженности
pablo	пабло
aviv	авив
cleaning	чистка
cleaning	уборка
cleaning	уборки
cleaning	очистка
judgement	суждение
physicist	физик
catalina	каталина
disasters	бедствия
lesbian	лесбиянка
lesbian	лесбиянок
lesbian	лесбиянки
rays	лучи
withdrawal	вывод
withdrawal	снятие
walks	ходит
walks	прогулки
trailer	прицеп
trailer	трейлер
janet	джанет
janet	дженет
tornado	торнадо
aunt	тетя
aunt	тётя
distribute	распределять
distribute	распространить
distribute	распределить
distribute	распространять
genesis	бытие
genesis	genesis
shallow	мелко
mentioning	упоминание
floors	полы
violate	нарушают
scattered	разбросаны
boyfriend	бойфренд
boyfriend	парень
consolidated	сводный
determining	определяя
catholicism	католицизм
luther	лютер
luther	лютера
pleasure	удовольствие
pleasure	удовольствия
pleasure	наслаждение
constructive	конструктивные
constructive	конструктивно
constructive	конструктивный
constructive	конструктивное
webb	уэбб
battalions	батальонов
alberto	альберто
magical	волшебный
deliberately	умышленно
deliberately	преднамеренно
deliberately	намеренно
sacrifice	жертвоприношения
sacrifice	жертва
sacrifice	жертву
faction	фракции
faction	группировка
olive	оливковое
olive	олив
corridor	коридор
compatible	совместим
compatible	совместимость
compatible	совместимы
compatible	совместимо
compatible	совместима
receptor	рецептор
molecules	молекулы
kiev	киев
vista	vista
castro	кастро
wei	вэй
pleasant	приятный
pleasant	приятная
miscellaneous	прочее
miscellaneous	разное
lineup	опознание
ultra	ультра
ultra	ultra
bulletin	бюллетень
clinic	клиника
clinic	клинике
clinic	клиники
itunes	itunes
patriots	патриотов
pollution	загрязнение
treasurer	казначей
herman	герман
questionable	сомнительно
questionable	сомнительных
sally	салли
rex	рекс
mvp	mvp
stuck	застрял
stuck	застряли
openly	открыто
afghan	афганская
afghan	афганских
afghan	афганский
afghan	афганские
vatican	ватикан
vatican	ватикана
folklore	фольклор
affiliation	принадлежность
cruiser	крейсер
princes	принцев
silk	шелк
agreements	соглашения
trilogy	трилогия
armour	доспехи
eng	rus
stamps	марки
specimens	образцы
specimens	экземпляры
consumers	потребители
consumers	потребителей
defines	определяет
cage	клетка
cage	клетку
vicinity	окрестности
ferguson	фергюсон
correspondence	корреспонденции
correspondence	переписка
illustrates	иллюстрирует
tehran	тегеране
cheshire	чешир
amanda	аманда
pos	pos
bye	пока
employer	заказчик
employer	работодателя
employer	работодатель
static	статических
static	помехи
tibetan	тибетский
nixon	никсон
sociology	социологии
panthers	пантеры
objection	протестую
objection	возражения
objection	возражаю
objection	возражение
systematic	систематический
systematic	систематическая
systematic	систематические
systematic	систематическое
systematic	систематического
violated	нарушено
violated	нарушили
violated	нарушены
chocolate	шоколадные
chocolate	шоколад
chocolate	шоколадный
helsinki	хельсинки
bedford	бедфорд
cambodia	камбодже
cambodia	камбоджи
cambodia	камбоджа
grandmother	бабушка
fitness	fitness
fitness	фитнес
halls	залы
halls	залах
midlands	мидлендс
jung	чжон
jung	чон
brilliant	блестяще
brilliant	гениально
brilliant	блестящий
libya	ливия
libya	ливии
transported	перевозимых
angela	энджела
angela	анжела
angela	анджела
creature	тварь
creature	существо
gather	собрать
volcanic	вулканической
android	android
filmography	фильмография
deposits	вклады
mentor	наставник
freeman	фриман
apartments	квартиры
apartments	апартаменты
uci	uci
puppet	кукла
puppet	марионетка
carey	кэри
hiding	скрывает
hiding	скрываю
sends	отправляет
sends	посылает
meyer	майер
meyer	мейер
gameplay	геймплей
lima	лима
lima	лиме
freeway	шоссе
kirk	кирк
batteries	батарей
batteries	батареи
batteries	батарейки
chains	цепи
chains	цепочки
ucla	ucla
recover	восстановить
wong	вонг
ear	ухо
ear	уха
servants	прислуга
servants	слуги
combine	объединять
combine	объединить
combine	совместить
decent	достойной
decent	приличный
decent	достойная
decent	достойный
deputies	депутатов
deputies	заместители
deputies	депутаты
hawk	ястреб
contestant	участница
cumberland	камберленд
rational	рациональное
rational	рационально
rational	рационального
altar	алтарь
ufc	ufc
organize	организовать
exhibits	выставки
subjective	субъективных
determination	определение
determination	решимость
chennai	ченнаи
threshold	порог
myanmar	мьянма
proud	горжусь
proud	гордый
proud	горд
custody	стражей
surveillance	наблюдение
surveillance	наблюдения
threatening	угрожает
threatening	угрожающие
threatening	угрожать
penny	пенни
kannada	каннада
astronomical	астрономических
rector	ректор
petroleum	нефти
petroleum	нефть
bug	жук
bug	ошибка
chapman	чепмен
mud	грязь
mud	грязи
decree	декрет
decree	указ
honey	мед
honey	родная
honey	дорогая
diagram	диаграмма
infringement	нарушение
broadcaster	телеведущий
complexity	сложности
complexity	сложность
riley	райли
displacement	смещение
displacement	перемещение
displacement	перемещения
sponsor	спонсор
sponsor	спонсора
ira	ира
condemned	осудил
condemned	осудила
condemned	осуждает
condemned	осудили
careers	карьера
careers	карьеры
haiti	гаити
wisdom	мудрости
wisdom	мудрость
pierce	пирс
stupid	глупая
stupid	дурак
stupid	дура
stupid	глупый
stupid	глупо
alma	алма
alma	альма
alexandra	александра
continuously	постоянно
continuously	непрерывно
shuttle	шаттл
hampton	хэмптон
eva	эва
eva	ева
eva	евы
mickey	микки
mickey	мики
atlético	атлетико
yuan	юаней
lynch	линч
johannes	иоганн
ecclesiastical	церковных
destroying	уничтожение
trunk	сундук
trunk	багажник
trunk	багажнике
proclaimed	провозгласила
genuine	подлинные
genuine	подлинного
genuine	подлинный
adolf	адольф
sharon	шэрон
sharon	шарон
acquire	приобретать
acquire	приобрести
guitarists	гитаристов
hung	повесили
hung	хун
corrected	коррекция
theatres	театры
gardner	гарднер
artifacts	артефакты
mandate	мандат
locked	заблокирован
locked	заперта
mohammed	мухаммед
mohammed	мохаммед
dish	блюдо
terrible	ужасно
reagan	рейган
rebecca	ребекка
toledo	толедо
indefinitely	бесконечно
divide	разделить
recommendations	рекомендации
gymnastics	гимнастика
ideology	идеология
ideology	идеологии
carriers	перевозчики
carriers	носители
constantinople	константинополь
fatal	смертельно
modeling	моделирования
modeling	моделирование
monsters	монстров
monsters	монстры
monsters	чудовища
notified	уведомили
bulls	быков
harassment	преследование
harassment	преследования
harassment	притеснения
harassment	домогательства
censorship	цензуры
favorable	благоприятное
favorable	благоприятные
favorable	благоприятная
favorable	благоприятный
commercially	коммерчески
paramount	первостепенное
luxury	люкс
luxury	роскошь
yahoo	yahoo
ecology	экологии
reviewers	рецензентов
emirates	эмиратах
emirates	эмиратов
emirates	эмираты
neutrality	нейтралитет
neutrality	нейтралитета
chronicles	chronicles
chronicles	хроники
deployment	развертывание
deployment	развертывания
blast	взрыв
blast	взрыва
jenkins	дженкинс
detected	обнаружен
detected	обнаружена
detected	обнаружены
detected	обнаружено
attribution	присвоение
attribution	атрибуции
harsh	суровый
harsh	суровые
harsh	суровых
bundesliga	бундеслиги
overcome	преодолеть
monarchs	монархи
hermann	герман
morton	мортон
roma	цыгане
roma	рома
accredited	аккредитованных
echo	эко
echo	эхо
bangkok	бангкоке
bangkok	бангкок
bergen	берген
hawks	ястребы
availability	наличие
availability	доступность
lung	лёгкие
lung	легкие
lung	легкое
lung	легких
lung	лёгкое
andreas	андреас
cedar	сидар
stake	кол
bankruptcy	банкротства
basement	подвал
basement	подвале
spirits	духи
spirits	духов
