terrible	ひどい
hubert	ヒューバート
basil	バジル
basil	バジリコ
batch	バッチ
breath	ブレス
baton	バトン
spokesman	スポークスマン
caution	注意
meadows	メドウズ
aluminum	アルミ
aluminum	アルミニウム
revisions	改訂
stein	シュタイン
jokes	ジョーク
bark	バーク
bark	樹皮
diabetes	糖尿病
flickr	flickr
lesson	教訓
lesson	レッスン
lesson	授業
conscious	意識
alley	裏通り
alley	路地
schneider	シュナイダー
bert	バート
bowie	ボウイ
geo	geo
meditation	瞑想
promotions	プロモーション
diplomats	外交官
browne	ブラウン
purchasing	購買
purchasing	購入
pastoral	パストラル
liz	リズ
emergence	出現
canceled	キャンセル
resorts	リゾート
taxation	租税
miniature	ミニチュア
chevrolet	シボレー
qualifications	資格
void	無効
void	ボイド
principality	公国
increment	増分
increment	インクリメント
contests	コンテスト
omitted	省略
tumor	腫瘍
torah	トーラー
catalonia	カタロニア
jimbo	神保
bees	ミツバチ
bees	ハチ
vanderbilt	ヴァンダービルト
equilibrium	平衡
equilibrium	均衡
realism	リアリズム
johannesburg	ヨハネスブルグ
bent	ベント
intentionally	故意
becker	ベッカー
humorous	ユーモア
hoffman	ホフマン
enforced	施行
juniors	後輩
oman	オマーン
renewal	リニューアル
flank	側面
okinawa	沖縄
outlined	アウトライン
helmet	ヘルメット
straw	ストロー
straw	わら
tens	tens
nutrition	栄養
havana	ハバナ
messenger	メッセンジャー
messenger	messenger
robbery	強盗
cultivated	栽培
ducks	カモ
castile	カスティーリャ
accessdate	accessdate
packaging	包装
packaging	パッケージング
int	int
apology	謝罪
trauma	トラウマ
trauma	外傷
whites	白目
extinction	絶滅
extinction	消滅
troll	トロール
attribute	属性
proto	プロト
coding	コーディング
canoe	カヌー
gasoline	ガソリン
cpu	cpu
chord	和音
barrow	バロー
costumes	コスチューム
costumes	衣装
costumes	装束
cowboy	カウボーイ
koch	コッホ
sts	sts
bedroom	寝室
grape	ぶどう
grape	ブドウ
limerick	limerick
offspring	子孫
aluminium	アルミニウム
tomatoes	トマト
savannah	サバンナ
tapes	テープ
quarry	採石場
disappointed	がっかり
cola	コーラ
crafts	工芸
irvine	アーバイン
curator	キュレーター
davenport	ダベンポート
gibbs	ギブズ
gibbs	ギブス
rand	ランド
insect	昆虫
sergio	セルジオ
combinations	組み合わせ
appreciation	鑑賞
awkward	気まずい
spanning	全域
geograph	geograph
theologian	神学
donovan	ドノヴァン
logging	伐採
logging	ログ
ole	ole
conversations	会話
conversations	スレッド
gavin	ギャヴィン
gavin	ギャビン
targeting	ターゲット
implementing	実装
symmetry	対称
excavations	発掘
reuters	ロイター
hercules	ヘラクレス
devi	devi
devi	デーヴィー
unfair	不公平
pile	パイル
muscles	筋肉
reptiles	爬虫類
samurai	サムライ
samurai	武士
cassette	カセット
stripes	ストライプ
juice	ジュース
fierce	激しい
fierce	激戦
necessity	必要性
stealing	窃盗
hilton	ヒルトン
giles	ジャイルズ
stomach	お腹
abusive	不適切
buttons	ボタン
gram	グラム
reggae	レゲエ
apprentice	見習い
hussein	フセイン
disposal	処分
disposal	廃棄
pharmacy	薬学
pharmacy	薬局
synthesizer	シンセサイザー
liability	責任
cam	カム
dinamo	dinamo
sci	sci
cannes	カンヌ
willow	ウィロー
willow	ヤナギ
hbo	hbo
recruiting	募集
shtml	shtml
pagan	異教徒
defendant	被告人
defendant	被告
crashes	クラッシュ
pizza	ピザ
evan	エヴァン
evan	エバン
rwanda	ルワンダ
mls	mls
avengers	アベンジャーズ
ghosts	ゴースト
exploitation	搾取
xml	xml
colt	コルト
