gala	ガーラ
mėgstami	好み
addclass	addclass
inn	宿屋
inn	旅館
susirūpinimą	関心事
ars	アルス
bankrotas	破産
bankrotas	倒産
širdys	hearts
širdys	ハーツ
pagalbininkai	助っ人
katrina	カトリーナ
piktžolių	雑草
pluoštai	繊維
pluoštai	ファイバ
gibraltaras	ジブラルタル
espanyol	エスパニョール
pensijos	年金
pensijos	年金
biurokratai	官僚
šeimininką	地主
šeimininką	家主
energingas	エネルギッシュ
fdp	fdp
manko	マンコ
ultragarso	超音波
peta	ペタ
auklė	ベビーシッター
auklė	ナニー
toru	トル
opensuse	opensuse
nusivylęs	がっかり
žąsų	ガチョウ
žąsų	ガチョウ
realybe	リアリティ
realybe	現実
bloch	ブロッホ
opiumo	アヘン
nava	ナバ
larsen	ラーセン
gata	gata
vagystės	盗難
vagystės	窃盗
vagystės	強盗
antikūnai	抗体
apgyvendinimas	宿泊
haas	ハース
kentukio	ケンタッキー
pieta	ピエタ
arfa	ハープ
cosimo	コジモ
linijinės	ライナー
sočyje	ソチ
etanolis	エタノール
benzinas	ガソリン
benzinas	ガソリン
materializmas	唯物論
nuošliaužos	山崩れ
miriam	ミリアム
handbuch	handbuch
vištiena	鶏肉
vištiena	ニワトリ
vištiena	チキン
celtics	セルティックス
hepburn	ヘプバーン
dekretas	布告
linksmas	陽気
minardi	ミナルディ
toi	toi
beviltiškai	必死
pakavimo	荷造り
pakavimo	梱包
oktava	オクターヴ
renzo	レンゾ
kapa	キャパ
pesas	ペソ
fsk	fsk
intelektualai	知識人
kardus	刀剣
blanca	ブランカ
levine	レヴィン
zpu	zpu
krabas	カニ
zina	babes
guadalajara	グアダラハラ
yorker	ニューヨーカー
paprika	パプリカ
peržiūra	レビュー
peržiūra	審査
plastikas	プラスチック
plastikas	合成樹脂
krovinys	貨物
krovinys	出荷
susitaikymo	和睦
susitaikymo	和解
dženifer	ジェニファー
laikysena	姿勢
plutarchas	プルタルコス
duarte	ドゥアルテ
kurmis	モグラ
kurmis	ほくろ
koma	昏睡
žemuogių	いちご
žemuogių	イチゴ
skaidrių	滑り台
skaidrių	スライド
ozzy	オジー
uno	宇野
uno	uno
dia	dia
karštis	ヒート
darbuotojui	社員
darbuotojui	職員
austral	アウストラル
apalačų	アパラチア
luanda	ルアンダ
emerson	エマーソン
siurbliai	パンプス
siurbliai	ポンプ
dekoracijos	装飾
dekoracijos	デコレーション
bučinys	キス
bučinys	kiss
bučinys	接吻
tarifų	関税
kėlimas	ラッピング
veterinaras	獣医
veterinaras	獣医
česnakų	にんにく
česnakų	ニンニク
česnakų	ガーリック
dikas	ディック
fest	fest
veja	芝生
tns	tns
balius	ボール
gheorghe	ゲオルゲ
manfredas	マンフレート
receptai	レシピ
koeficientai	係数
įkvėpimas	インスピレーション
įkvėpimas	インスパイア
investicija	投資
conte	コンテ
cesare	チェーザレ
įsteigimas	設立
duo	デュオ
skandalų	不祥事
dažikliai	カラー
dažikliai	染料
muang	ムアン
komodo	コモド
šypsenos	笑顔
šypsenos	スマイル
šypsenos	笑顔
apatinius	下着
mergedtoprow	mergedtoprow
burbulas	バブル
mylimas	最愛
cyril	シリル
cyril	セロ
kursams	コース
allah	アッラーフ
allah	アラー
kojinės	ソックス
kojinės	靴下
kojinės	socks
amir	アミール
pratęsimas	リニューアル
bohemija	ボヘミア
pasėliai	農産物
pasėliai	作物
akvarele	水彩
akvarele	水彩画
kamen	仮面
slėptuvę	隠れ家
pigus	安い
čečėnijoje	チェチェン
perspektyvas	ランク
voluinė	ヴォルィーニ
liturginiai	典礼
žirniai	エンドウ
acheno	アーヘン
iter	iter
kanagavos	神奈川
krevečių	エビ
krevečių	シュリンプ
krevečių	海老
alyvuogės	オリーブ
dyzeliniai	ディーゼル
įspūdingai	壮観
įspūdingai	圧巻
epilepsija	てんかん
epilepsija	てんかん
dms	dms
puikaus	優れた
mąstytojų	思想家
suvenyrų	土産
savaitgaliais	週末
zis	zis
penaltyscore	penaltyscore
saulėgrąžų	ひまわり
jako	ジャコ
stupa	ストゥーパ
rėmai	フレーム
maseru	マセル
trump	切り札
mėšlo	厩肥
contra	コントラ
hps	hps
piešėjas	シェーダー
raštinės	文房具
truman	トルーマン
ddt	ddt
žibintas	ランプ
augalinis	野菜
vliorės	ヴロラ
vatas	ワット
jiménez	ヒメネス
receptas	作り方
receptas	レシピ
savanoriškos	ボランティア
ortiz	オルティス
boogie	ブギ
padaras	生き物
freebsd	freebsd
šikoku	四国
ragina	コーリング
asai	浅井
ainu	アイヌ
keitimosi	交換
šiltai	あったかい
šiltai	暖かい
šiltai	温かい
tks	tks
tks	tcs
gunmos	群馬
užimtumas	雇用
brėžiniai	図面
kobayashi	小林
kvotos	quota
kvotos	quota
vika	ビック
galenas	ガレノス
šeimyna	家族
kagošimos	鹿児島
pia	ピア
remiamos	スポンサー
sanga	サンガ
žinduoliams	哺乳類
molinis	臼歯
aguilar	アギラール
aguilar	アギラー
asimiliacijos	同化
btc	btc
fitzgerald	フィッツジェラルド
atsisveikinimo	別れ
intelektinė	知識人
oruro	オルロ
inferno	インフェルノ
krupp	クルップ
gottlieb	ゴットリーブ
kepures	帽子
nominalas	名称
blogi	バッド
blogi	悪い
išsamūs	未完成
kalorijų	カロリー
kalorijų	カロリー
csstext	csstext
diuma	デュマ
reinkarnacija	転生
rodolfo	ロドルフォ
gonzalo	ゴンサロ
drėgna	湿気
epilepsijos	てんかん
epilepsijos	てんかん
struvės	シュトルーベ
sausra	旱魃
sausra	干ばつ
sausra	旱魃
cassini	カッシーニ
tikinčiuosius	信者
promo	プロモ
como	コモ
wir	wir
pažįstami	知り合い
pažįstami	知人
grad	グラード
eliza	エリーゼ
kavinėse	カフェ
lavina	雪崩
psichologė	セラピスト
goethe	ゲーテ
kang	カン
honšiu	本州
keita	慶太
augaliniai	プラント
augaliniai	植物
canon	カノン
plytelių	タイル
garrett	ギャレット
kompromisas	妥協
lightsteelblue	lightsteelblue
keliaujantiems	旅行
aktobe	アクトベ
rez	rez
kazokas	コサック
paskatų	刺激
paskatų	報奨
paskatų	インセンティブ
seo	seo
angers	アンジェ
expo	エキスポ
daugyba	乗算
daugyba	乗法
mezoamerika	メソアメリカ
mėgstamiausių	お気に入り
pertvara	隔壁
touré	トゥーレ
ofm	ofm
įsitikinimas	信仰
įsitikinimas	信念
bde	bde
prodigy	神童
newell	ニューウェル
gėlavandenės	淡水
raudonmedžio	マホガニー
fcm	fcm
injekcijos	注射
darbingo	働く
darbingo	作業
marksizmas	マルクス主義
virvė	ロープ
airiai	アイリッシュ
lager	ラガー
kranai	クレーン
kailius	毛皮
lako	ワニス
kru	kru
uzbekistanas	ウズベキスタン
aromatas	フレーバー
aromatas	アロマ
osijek	オシエク
instinktas	本能
riviera	riviera
reprint	翻刻
rezidentas	住民
įkaitus	人質
worldfootball	worldfootball
laimingi	ハッピー
laimingi	幸せ
damaskas	ダマスカス
mne	mne
tekstūra	テクスチャー
tekstūra	テクスチャ
nekaltas	無実
rsha	rsha
konglomerato	コングロマリット
glover	グローヴァー
glover	グラヴァー
kareivines	バラック
nukirto	斬首
aue	アウエ
atahualpa	アタワルパ
smiltainis	砂岩
vance	ヴァンス
intonacija	イントネーション
alumni	同窓会
alumni	卒業生
sėklidžių	精巣
zeitschrift	zeitschrift
fokker	フォッカー
agamemnonas	アガメムノン
beduinų	ベドウィン
baime	恐怖
baime	恐れ
molina	モリーナ
tri	tri
suskystintų	液化
alb	alb
vamzdynų	パイプライン
laužas	スクラップ
laužas	焚き火
taikiniai	ターゲット
ocinsoutput	ocinsoutput
jona	アイオナ
gramo	グラム
abbas	アッバース
pioneer	パイオニア
osasuna	オサスナ
gis	gis
karčiai	ほろ苦い
perėmimo	買収
aktau	アクタウ
kiaunė	テン
tirpumas	溶解度
dakotos	ダコタ
bogota	ボゴタ
nikosijos	ニコシア
jaltos	ヤルタ
brabham	ブラバム
snaiperis	スナイパー
ren	ren
ritmai	リズム
solidarumas	連帯
entropija	エントロピー
rokis	ロッキー
rchb	rchb
moshe	モーシェ
ertmes	虫歯
sijonas	スカート
molibdeno	モリブデン
dialektika	弁証法
rąstus	ログ
montgomery	モンゴメリー
spąstai	トラップ
grotelės	グリル
raktikaulio	鎖骨
lankininkų	弓術
lankininkų	アーチェリー
įsigijimų	買収
apskaičiavimas	計算
apskaičiavimas	算定
ella	エラ
komos	昏睡
sėdynės	座席
sėdynės	座席
grota	グロット
gliukozė	グルコース
vištienos	鶏肉
vištienos	ニワトリ
vištienos	チキン
shin	シン
keliaujantys	旅行
smm	smm
gino	ジーノ
tetervinas	ライチョウ
spiralę	スパイラル
spiralę	渦巻
indica	インディカ
hawkins	ホーキンス
márquez	マルケス
paskyrimas	指定
savavališkai	任意
kss	kss
hayden	ヘイデン
ftp	ftp
nesąmoningai	無意識
dynas	ディーン
iššūkius	課題
iššūkius	チャレンジ
iššūkius	挑戦
niels	ニールス
ppd	ppd
ventura	ベンチュラ
pasitenkinimo	満足
dažymas	染色
dažymas	染色
dažymas	絵画
hercogienė	公爵夫人
aiškinant	通訳
kamp	カンプ
quantum	量子
hanibalas	ハンニバル
mandala	曼荼羅
tirpiklis	溶剤
tedis	テディ
liudijo	証言
kantrybės	我慢
kantrybės	忍耐
kantrybės	根気
džil	ジル
diskvalifikuota	欠格
triušis	ウサギ
triušis	うさぎ
pašalpa	手当
pusryčių	朝食
bios	bios
bėdos	トラブル
bėdos	トラブル
bėdos	悩み
elizabet	エリザベス
labdara	チャリティー
labdara	チャリティ
amx	amx
aira	姶良
hamas	ハマース
nokautas	ノックアウト
pasitiki	信託
kaponė	カポネ
suvartojimas	消費
šakalas	ジャッカル
tapatumas	アイデンティティー
tapatumas	アイデンティティ
gabalai	切り傷
ironiška	皮肉
talismanas	マスコット
creed	信条
creed	教義
