sandra	सैंड्रा
misūri	मिसौरी
gatava	तैयार
odzes	viper
apstrāde	हैंडलिंग
apstrāde	प्रोसेसिंग
apstrāde	प्रसंस्करण
apstrāde	इलाज
apstrāde	उपचार
profesionālais	पेशेवर
ķirurģijas	सर्जिकल
silva	सिल्वा
fib	एफबीआई
kampaņā	अभियान
galerijas	गैलरी
galerijas	गैलरी
galerijas	गलियारा
galerijas	दीर्घा
alise	अनीता
alise	ऐलिस
tops	उपर
tops	ऊपर
tops	टॉप
tops	शीर्ष
hronoloģija	कालक्रम
cukuru	शक्कर
cukuru	शुगर
bojājumi	lesion
uzlabojumi	सुधार
uzlabojumi	सुधार
bruņas	कवच
eksports	निर्यात
eksports	निर्यात
melodija	झंकार
melodija	राग
psihologs	मनोवैज्ञानिक
čīle	चिली
īstenībā	दरअसल
atļaujas	अनुमति
zosu	हंस
partneris	साथी
partneris	पार्टनर
partneris	साझेदार
partneris	संगी
studio	स्टूडियो
studio	स्टुडियो
dūmu	धुआं
dūmu	धुआँ
dūmu	धुँआ
pensijā	संन्यास
pensijā	सेवानिवृत्ति
pensijā	रिटायरमेंट
pensijā	सेवानिवृत्त
pensijā	निवृत्त
pensijā	रिटायर्ड
pensijā	रिटायर
piesārņojums	संदूषण
piesārņojums	प्रदूषक
piesārņojums	प्रदूषण
polis	polis
polis	ध्रुव
taivānas	ताइवान
taivānas	ताईवान
kaza	मेमना
kaza	बकरा
kaza	बकरी
shēmu	स्कीम
shēmu	योजना
neue	neue
klīniskā	नैदानिक
voyager	वॉयजर
zunda	sunda
modelēšanas	मॉडलिंग
android	android
android	एंड्रॉइड
jpeg	जेपीईजी
kopsavilkums	सारांश
sūnu	मॉस
organizēts	संगठित
organizēts	संगठित
organizēts	व्यवस्थित
kļūdaini	त्रुटिपूर्ण
kļūdaini	ग़लत
kļūdaini	गलत
hormonu	हार्मोन
iekaisuma	जलन
alma	अल्मा
robinsons	रॉबिन्सन
luksemburgā	ध्वज
dzenītis	किंगफिशर
lidija	लीडिया
kadrs	फ्रेम
kadrs	ढांचा
kadrs	गठन
kadrs	फ़्रेम
ierobežots	limited
ierobežots	सीमित
ierobežots	प्रतिबंधित
pas	pas
mika	मिका
nometnēm	कैम्प
nometnēm	शिविरों
apģērbs	परिधान
apģērbs	कपड़े
apģērbs	पहनावा
apģērbs	वस्त्र
apģērbs	कपडे
apģērbs	कपड़े
apģērbs	कपडे
izdzīvoja	बच
proza	गद्य
internets	इंटरनेट
internets	इन्टरनेट
internets	अंतरजाल
tieslietas	न्याय
tieslietas	इंसाफ
tieslietas	कानून
tieslietas	विधि
taisnība	सच
taisnība	सही
taisnība	सच्चा
tālumā	अफ़ार
mūki	भिक्षुओं
procedūru	प्रक्रिया
procedūru	कार्यविधि
#ffff	#ffff
pārbūve	पुनर्निर्माण
filiāles	शाखाएं
filiāles	शाखाएँ
filiāles	शाखा
filiāles	शाखाओं
datoram	संगणक
datoram	कम्प्यूटर
datoram	कंप्यूटर
atzīmēts	tagged
atzīmēts	चिह्नित
nbc	एनबीए
nbc	एनबीसी
sals	तुषार
potenciāls	क्षमता
potenciāls	सामर्थ्य
potenciāls	संभावित
billijs	बिली
alternatīva	वैकल्पिक
palmas	हथेली
palmas	खजूर
palmas	ताड़
palmas	हथेलियों
palmas	हथेलियां
iznīcina	नष्ट
iznīcina	नष्ट
karla	कार्ला
bruņurupucis	कछुआ
maratons	मैराथन
sākts	शुरू
sākts	प्रारंभ
obj	obj
izpildīta	संपन्नता
uzturēties	रहें
uzturēties	रहो
pētījuma	अध्ययन
pētījuma	पढ़ाई
psiholoģija	मनोविज्ञान
musulmaņiem	मुसलमानो
musulmaņiem	मुसलमान
volejbola	वॉलीबॉल
iejaukšanās	इंटरफेस
iejaukšanās	हस्तक्षेप
iejaukšanās	हस्तक्षेप
einšteins	आइंस्टीन
garša	taste
garša	स्वाद
garša	फ्लेवर
batista	बतिस्ता
kobe	कोबे
elbas	एल्ब
iegūtā	प्राप्त
ameriku	अमरीका
ameriku	अमेरिका
ideoloģija	विचारधारा
uzsvars	जोर
sadales	वितरण
karsts	हॉट
karsts	गर्म
karsts	hot
kalējs	लोहार
eksperiments	प्रयोग
moto	motto
vesela	पूरी
vesela	पूरा
vesela	पूरे
nils	निल्स
brālim	भाई
brālim	bhai
sintēzi	संश्लेषण
win	विन
win	जीत
alternatīvas	विकल्प
desmitgades	दशकों
desmitgades	दशक
nodevas	फीस
nodevas	शुल्क
nodevas	कर्तव्य
ilgstošu	स्थायी
med	मेड
konstitucionālā	संवैधानिक
maķedonija	मकदूनिया
frankfurtē	फ्रैंकफर्ट
plain	सादा
plain	मैदान
bavārijā	बायर्न
pilnas	फुल
pilnas	पूर्ण
pilnas	पूरा
morāli	नैतिकता
morāli	नैतिकता
pilota	पाइलट
pilota	पायलट
litru	लीनियर
litru	लीटर
litru	लीनियर
litru	लिटर
litru	लीटर
virtuves	किचन
virtuves	रसोई
virtuves	रसोईघर
anti	एंटी
mārciņu	पाउंड
hotspur	टोटेनहम
pārveido	परिणत
akti	अधिनियमों
hello	नमस्कार
hello	हेलो
hello	hello
arhīvā	संग्रह
arhīvā	अभिलेखागार
arhīvā	अभिलेख
uzsvēra	रेखांकित
ilgstoša	स्थायी
zālīte	खरपतवार
zvērestu	प्रण
zvērestu	शपथ
amatpersona	अधिकारी
amatpersona	सरकारी
amatpersona	आधिकारिक
amatpersona	अधिकारी
met	फेंकने
met	फेंकना
met	मैट
pelnu	ash
pelnu	ऐश
pelnu	राख
apraksti	कैप्शन
stabu	mast
ari	अरी
alberto	अल्बर्टो
dibinātāja	संस्थापक
slēgtas	बन्द
slēgtas	बंद
gvinejas	लीनियर
gvinejas	गिनी
gvinejas	गिनीयन
samoa	समोआ
sāļi	लवण
algas	वेतन
algas	सैलरी
algas	मजदूरी
ilustrācija	चित्रण
ilustrācija	उदाहरण
scalemajor	scalemajor
montāža	असेम्बली
montāža	विधानसभा
montāža	सभा
scenārijs	कथानक
scenārijs	परिदृश्य
oficiāls	औपचारिक
ģipša	प्लास्टर
ģipša	जिप्सम
pārtika	भोजन
pārtika	खाना
pārtika	भोजन
depresijas	डिप्रेशन
depresijas	अवसाद
džūlija	जूली
džūlija	जूलिया
upuris	बलिदान
upuris	पीड़ित
upuris	पीडित
upuris	शिकार
jubileju	जयंती
plotarea	plotarea
paolo	पाउलो
bendžamins	बेंजामिन
brālības	बिरादरी
lūgums	अनुरोध
lūgums	आग्रह
lūgums	निवेदन
pirts	स्नान
pirts	नहाना
pirts	सौना
iekšējie	आंतरिक
iekšējie	आंतरिक
iekšējie	आन्तरिक
iekšējie	आतंरिक
dibināšana	गठन
jacques	ज़ाक
slaveno	मशहूर
slaveno	प्रसिद्ध
žurka	चूहा
biosfēras	जीवमंडल
astrahaņas	आस्त्राख़ान
paņēmiens	तकनीक
ekonomiskais	आर्थिक
volejbols	वॉलीबॉल
edīte	एडिथ
ņūtons	न्यूटन
festivālos	त्यौहार
purna	थूथन
ostām	पोर्ट
saprotu	समझो
saprotu	समझ
saprotu	समझे
veicināšanas	प्रचार
veicināšanas	तरक्की
veicināšanas	प्रमोशन
membrānas	झिल्लियों
membrānas	झिल्ली
strūklaka	फव्वारे
strūklaka	फव्वारा
iebildumu	आपत्ति
korekcijas	समायोजन
ārzemēm	विदेश
motīvs	सुविधा
motīvs	विशेषता
čečenijas	चेचन्या
melnkalne	मोंटेनेग्रो
pieauguši	प्रौढ़
pieauguši	बालिग
pieauguši	वयस्क
abhāzijas	अबख़ाज़िया
ātrākais	तीव्रतम
āfrika	अफ़्रीका
āfrika	अफ्रीका
āfrika	अफ़्रीकी
varoņiem	वीरों
varoņiem	नायक
kustas	चाल
kustas	moves
kustas	चालें
anime	दुश्मनी
vētru	आंधी
vētru	तूफान
vētru	तूफ़ान
beringa	बेरिंग
dimorfisms	द्विरूपता
dziedāt	गा
dziedāt	गाओ
dziedāt	गाना
dziedāt	गायकों
dziedāt	गायन
sapnis	ड्रीम
sapnis	सपने
sapnis	ख्वाब
sapnis	स्वप्न
sapnis	सपना
china	चीन
hanna	हन्ना
tokijas	टोक्यो
tokijas	टोकियो
krogs	पब
pakistāna	pakistan
pakistāna	पाकिस्तान
pakistāna	पाकिस्तानी
čigāni	जिप्सियों
fiksēta	तय
fiksēta	फिक्स्ड
klātbūtne	मौजूदगी
klātbūtne	उपस्थिति
apvienoties	मिलाएं
apvienoties	मिलाएँ
apvienoties	विलय
apvienoties	एकजुट
priekšrocība	फायदा
priekšrocība	लाभ
mizas	छाल
mizas	पील
mizas	छिलके
neskaidra	अस्पष्ट
neskaidra	अनिश्चित
ideoloģijas	विचारधारा
ideoloģijas	विचारधाराओं
variantiem	विसंगतियाँ
benetton	बेनेटन
māršala	मार्शल
zaudēt	खोने
zaudēt	खोना
obligāta	अनिवार्य
obligāta	अनिवार्य
obligāta	अनिवार्य
pievērsa	खींचा
cff	cff
kazahstāna	क़ाज़ाक़स्तान
palaišana	आरंभ
palaišana	स्टार्टअप
palaišana	प्रारंभ
konsultants	परामर्शदाता
konsultants	सलाहकार
konsultants	सलाहकार
kartupeļu	आलू
jirgens	य़ुएर्गेन
kompleksi	देवालय
kompleksi	सभाओं
stratēģija	कार्यनीति
stratēģija	रणनीति
visums	ब्रह्माण्ड
visums	ब्रह्मांड
freds	फ्रेड
ibc	ibc
patiesības	सच्चाई
patiesības	सत्य
patiesības	सच
patiesības	सच्चाई
starpvalstu	अंतरराज्यीय
rehabilitācijas	पुनर्वास
skatīties	देखिये
skatīties	देखना
skatīties	देखें
departamentu	विभागीय
biti	बिट्स
paplašināšanās	विस्तार
autocad	ऑटोकैड
pārkāpums	उल्लंघन
pastiprināta	उन्नत
vēsturiska	ऐतिहासिक
berijs	बैरी
berijs	बेरी
žēlastības	मेहरबानी
žēlastības	दया
žēlastības	रहमत
sadursme	टकराव
sadursme	टक्कर
sadursme	टकराव
sadursme	क्लैश
izplatīties	फैला
izplatīties	फैल
izplatīties	प्रसार
izplatīties	स्प्रेड
ssh	एसएसएच
ssh	ssh
samazināta	घटाया
austroungārijā	austro
grauzēju	कृंतक
ābolu	एप्पल
ābolu	सेब
ābolu	ठहराना
uzņēmēja	मेज़बान
uzņēmēja	होस्ट
uzņēmēja	मेजबान
jūtama	लगा
ņikita	निकिता
birža	विनिमय
birža	एक्सचेंज
masters	मास्टर्स
tora	तोरा
atoms	परमाणु
atoms	अणु
indra	इन्द्र
indra	इंद्र
standarti	मानकों
glečers	हिमनद
glečers	ग्लेशियर
glečers	हिमानी
dzesēšanas	कूलिंग
birmas	बर्मी
vingrošana	जिमनास्टिक्स
atceres	स्मरण
atkārtota	दोहराया
laimi	ख़ुशी
laimi	खुशी
laimi	सुख
kundze	महोदया
kundze	मैडम
kundze	मेडम
vega	वेगा
itf	आईटीएफ
boksa	मुक्केबाजी
boksa	बॉक्सिंग
boksa	मुक्केबाज़ी
monēta	सिक्का
bora	बोरा
bora	बोरॉन
kipra	साइप्रस
likteņa	भाग्य
likteņa	नियति
likteņa	तकदीर
likteņa	भाग्य
džefs	जेफ
džefs	जेफ़
tieša	डायरेक्ट
tieša	प्रत्यक्ष
tieša	direct
tieša	सीधा
ātrs	त्वरित
ātrs	क्विक
ātrs	जल्दी
ātrs	द्रुत
ātrs	रैपिड
ātrs	तीव्र
ātrs	फास्ट
ātrs	फ़ास्ट
ātrs	तेज
ātrs	तेज़
pogas	बटन
caurumu	होल
caurumu	छेद
stingra	स्क्रिप्ट्स
stingra	सख्त
stingra	rigid
stingra	कठोर
ciešanas	पीड़ित
ciešanas	कष्ट
dejo	नाच
dejo	डांस
dejo	नृत्य
dejo	नाचना
izplata	distributes
izplata	वितरित
kvalifikāciju	योग्यता
djego	डिएगो
sintēze	संश्लेषण
sakne	जड़
sakne	रूट
alianses	गठबंधन
standartus	मानकों
urugvajas	उरुग्वे
baterija	बैटरी
islande	आयरलैंड
islande	आइसलैंड
ponijs	टट्टू
tirgotājiem	ट्रेडर्स
tirgotājiem	व्यापारियों
tirgotājiem	डीलर
altaja	अल्ताई
konkrēta	कंक्रीट
cerību	उम्मीद
cerību	होप
cerību	आशा
rokijs	रॉकी
bloķēt	खंड
bloķēt	ब्लॉक
bloķēt	ब्लाक
izskaidro	समझाने
izskaidro	बताइये
navigation	संचरण
navigation	नेविगेशन
devums	योगदान
loģistikas	लॉजिस्टिक
algonkinu	algonquian
niķeļa	निकेल
niķeļa	निकल
dzemdē	गर्भाशय
arābija	अरब
augsne	मृदा
administratīva	प्रशासनिक
keins	केन
stiprums	ताकत
stiprums	सामर्थ्य
stiprums	मजबूती
stiprums	शक्ति
iaaf	आइएएएफ
parkos	पार्क
toro	toro
sekotāji	अनुयायी
sekotāji	अनुसरणकर्ता
bārda	दाड़ी
bārda	दाढ़ी
ceļo	ट्रेवल्स
ceļo	यात्राएं
valdi	बोर्ड
valdi	बिसात
valdi	फलक
homo	होमो
atbildīga	ज़िम्मेदार
atbildīga	उत्तरदायी
atbildīga	जिम्मेदार
matrica	मैट्रिक्स
matrica	मेट्रिक्स
angolas	अंगोला
groupstyle	groupstyle
dāvanu	उपहार
dāvanu	तोहफा
amati	पोस्ट
flickr	फ्लिकर
medūzas	जेलीफ़िश
teorēma	प्रमेय
neitronu	न्यूट्रॉन
arg	arg
atņemt	घटाना
partneriem	शरीक
partneriem	साझेदार
šķiedru	रेशे
šķiedru	मछली
wimbledonresult	wimbledonresult
tēja	चाय
australianopenresult	australianopenresult
vainags	ताज
vainags	मुकुट
vainags	क्राउन
delegācija	प्रतिनिधिमंडल
bads	अकाल
bads	भुखमरी
bads	भूख
žurnālisti	पत्रकार
žurnālisti	पत्रकारों
dekrētu	डिक्री
izpilddirektors	ceo
izpilddirektors	सीईओ
nosacījumi	शर्तों
nosacījumi	शर्तें
roberto	रॉबर्टो
fil	फिल
harisons	हैरिसन
sarežģīti	परिसर
sarežģīti	जटिल
sarežģīti	जटिल
sarežģīti	कठिन
sarežģīti	मुश्किल
metallica	मेटालिका
terra	टेरा
apdrošināšana	बीमा
apdrošināšana	बीमे
dvīņu	जुड़वां
dvīņu	जुड़वा
likumdošana	विधान
dimants	हीरा
dimants	डायमण्ड
dimants	डायमंड
lietotnes	एप्लिकेशन
lietotnes	आवेदन
lietotnes	अनुप्रयोग
lietotnes	ऐप
lietotnes	एप्लिकेशन
lietotnes	app
krēslas	गोधूलि
oracle	दैवीय
oracle	ओरेकल
oracle	दैवी
gsat	जीसैट
usopenresult	usopenresult
skatītājiem	श्रोता
skatītājiem	ऑडियंस
skatītājiem	दर्शक
skatītājiem	व्यूअर
skatītājiem	दर्शक
ārstēšana	इलाज
ārstēšana	उपचार
mainīta	परिवर्तित
mainīta	बदला
pierādījums	साक्ष्य
pierādījums	सबूत
pierādījums	प्रमाण
pierādījums	सबूत
pierādījums	प्रूफ
pierādījums	प्रमाण
oriģināls	मूल
oriģināls	मौलिक
oriģināls	असली
nopietnas	गंभीर
atbrīvoties	छोड़ें
dzelzi	लोहा
dzelzi	लोहे
dzelzi	लौह
dzelzi	आयरन
pasniedzēja	शिक्षक
pasniedzēja	अध्यापक
pasniedzēja	टीचर
pikaso	पिकासो
garīgi	मानसिक
garīgi	मानसिक
garīgi	दिमागी
banknotes	banknotes
simona	सिमोन
frenchopenresult	frenchopenresult
monro	मुनरो
apaļš	दौर
apaļš	गोल
apaļš	राउंड
apaļš	गोलाकार
porta	पोर्टा
highestsinglesranking	highestsinglesranking
magnija	मैग्नीशियम
mozambikas	मोजाम्बिक
ugunsdzēsēju	फायरमैन
lilija	लिली
lilija	लिली
lilija	लिली
šūna	कक्ष
šūna	सेल
šūna	कोशिका
garastes	grenadier
elektromagnētisko	इलेक्ट्रोमैग्नेटिक
trio	तिकड़ी
mindat	mindat
phoenix	फीनिक्स
radikāli	रेडिकल
radikāli	कट्टरपंथी
skotija	स्कॉटलैंड
remonts	मरम्मत
remonts	मरम्मत
pētīta	पढ़ाई
alan	एलन
nemiernieku	विद्रोही
sektors	सेक्टर
xxx	xxx
prātā	मन
prātā	दिमाग
postenis	वस्तु
postenis	आइटम
postenis	मद
fils	फिल
rūpes	देखभाल
atzīmēt	मार्क
atzīmēt	चिह्नित
josé	जोस
rozenbergs	rosenberg
kenedijs	कैनेडी
mutē	मुख
mutē	मुह
mutē	मुंह
mutē	मुँह
cietas	rigid
borneo	बोर्नियो
gļotādas	mucosa
alcatel	अल्काटेल
raptors	रैपटर्स
radošā	क्रिएटिव
radošā	रचनात्मक
pacelt	लिफ़्ट
pacelt	वृद्धि
pacelt	लिफ्ट
pacelt	उठाएँ
deviņiem	नहला
deviņiem	नौ
pārdošana	बिक्री
pārdošana	विक्रय
pārdošana	बिक्री
sešpadsmit	सोलह
bmx	bmx
noteikšanas	डिटेक्शन
pcupdate	pcupdate
mitrs	नम
aģenti	एजेंटों
mehāniskā	यांत्रिक
mehāniskā	mechanical
rēķina	बीजक
rēķina	चालान
lisabonas	लिस्बन
audzina	उठाना
audzina	उठाने
tuvākais	निकटतम
stipendiju	फेलोशिप
stipendiju	छात्रवृत्ति
stipendiju	स्कॉलरशिप
vienoti	एकीकृत
vienoti	यूनाइटेड
vienoti	संयुक्त
vienoti	यूनिफॉर्म
vienoti	यूनिफार्म
vienoti	वर्दी
pazūd	गायब
katastrofa	आपदा
katastrofa	विपत्ति
katastrofa	प्रलय
prātu	मन
prātu	दिमाग
mēģināt	कोशिश
ftp	ftp
ftp	एफटीपी
līdzība	समानता
līdzība	साम्य
līdzība	प्रतिरूप
līdzība	समानता
marvel	आश्चर्य
nano	नैनो
atteikšanās	त्याग
atteikšanās	परित्याग
atteikšanās	सन्यास
atteikšanās	आत्मसमर्पण
eks	ecs
izdzīvošana	अस्तित्व
pacēluma	ऊंचाई
pacēluma	ऊँचाई
pacēluma	समीकरण
pacēluma	उन्नयन
zemāko	निम्नतम
zemāko	न्यूनतम
radara	रडार
indonēzija	इंडोनेशिया
pasažieriem	यात्रियों
pasažieriem	यात्री
simtus	सौ
lēmumi	फैसले
lēmumi	निर्णय
garnizons	गैरीसन
urāns	यूरेनियम
urāns	यूरेनस
fani	फ़ैन
fani	प्रशंसकों
fani	प्रशंसक
represijas	दमन
kepler	कॅप्लर
davis	डेविस
uzmanīgi	सतर्क
uzstādītas	स्थापित
uzstādītas	संस्थापित
cietums	जेल
cietums	थाना
plainlist	plainlist
automobiļi	कार
automobiļi	कारों
automobiļi	कारें
automobiļi	गाड़ियाँ
automobiļi	ऑटोमोबाइल्स
automobiļi	ऑटोमोबाइल
gredzeni	छल्ले
gredzeni	बजती
kid	ced
sēdvietas	सीटें
sēdvietas	सीटों
sēdvietas	सीटे
izskatījās	देखा
tumsa	उजाला
tumsa	कालिमा
tumsa	अन्धकार
tumsa	अंधेरा
žurnāli	मैगज़ीन
žurnāli	दैनिकी
žurnāli	जर्नल्स
žurnāli	लॉग
mehāniskās	यांत्रिक
mehāniskās	mechanical
audos	ऊतक
džudo	जूडो
devītais	नवीं
tenesī	टेनेसी
maksā	अदा
maksā	सशुल्क
pamira	पामीर
atzīmēja	विख्यात
virtuve	व्यंजन
virtuve	भोजन
virtuve	किचन
virtuve	रसोई
virtuve	रसोईघर
esamība	वजूद
esamība	अस्तित्व
esamība	मौजूदगी
esamība	उपस्थिति
pleciem	कंधों
pleciem	कन्धों
ibērijas	इबेरिया
mīklas	आटा
mīklas	पेस्ट्री
highestdoublesranking	highestdoublesranking
rokasgrāmata	हैंडबुक
rokasgrāmata	मैनुअल
rokasgrāmata	मैन्युअल
rokasgrāmata	हस्तचालित
rokasgrāmata	गाइड
rokasgrāmata	मार्गदर्शक
rokasgrāmata	मार्गदर्शिका
aprīkojums	उपकरण
tibetā	तिब्बती
tibetā	तिब्बत
mākslīga	कृत्रिम
minoritāšu	अल्पसंख्यक
patēriņš	उपभोग
patēriņš	खपत
kolumbs	कोलंबस
šķīdums	हल
šķīdums	समाधान
nbs	mbs
murads	मुराद
laukus	फ़ील्ड्स
laukus	फील्ड्स
laukus	फ़ील्ड
kails	नंगे
kails	नंगा
kails	नग्न
kails	काइल
cad	कैड
azerbaidžāna	अज़रबैजान
azerbaidžāna	बेनिन
izaugsme	वृद्धि
izaugsme	विकास
izšķirtspēja	समाधान
izšķirtspēja	विभेदन
izšķirtspēja	रिज़ॉल्यूशन
izšķirtspēja	रेज़ोल्यूशन
minimālais	न्यूनतम
steel	इस्पात
steel	स्टील
šaurs	संकीर्ण
šaurs	तंग
šaurs	सीमित
patiesību	सत्य
patiesību	सच
patiesību	सच्चाई
patons	patton
strēlnieks	धनु
apmeklētāju	आगंतुक
kausi	भरके
kausi	ट्राफियां
mednieks	हंटर
mednieks	शिकारी
priekšlikumu	गति
loga	खिडकी
loga	विंडो
loga	खिड़की
nodarbības	क्लासेस
nodarbības	वर्ग
vienotas	फ्लैट
vienotas	सपाट
vienotas	समतल
vienotas	चपटा
apjomi	आयतन
mēris	प्लेग
smaguma	गंभीरता
smaguma	गुरुत्वाकर्षण
smaguma	गम्भीरता
aita	भेड़
aita	शीप
joma	स्कोप
joma	गुंजाइश
joma	कार्यक्षेत्र
joma	पैमाना
joma	डोमेन
faili	फ़ाइलें
faili	फ़ाइल
faili	संचिका
faili	फाइलें
benito	बेनिटो
atjaunotas	लौटी
atjaunotas	संवर
simbolus	चिन्ह
simbolus	प्रतीक
simbolus	चिह्न
simbolus	प्रतीकों
thales	थेल्स
uzņemšana	दाखिले
uzņemšana	प्रवेश
uzņemšana	सेवन
uzņemšana	अभिनंदन
uzņemšana	रिसेप्शन
kontrolieris	नियंत्रक
pog	pog
svens	स्वेन
eksemplāri	कॉपी
eksemplāri	प्रतियां
eksemplāri	नक़ल
kubā	घन
kubā	क्यूबा
izprast	समझो
izprast	समझ
izprast	समझे
slepeni	गोपनीय
slepeni	गुप्त
slepeni	भेद
slepeni	रहस्य
tonis	वर्ण
tonis	टोन
vertikālā	अनुलंब
vertikālā	खड़ा
vertikālā	लंबवत
adam	एडम
adam	आदम
šaušana	गोलीबारी
šaušana	shooting
šaušana	शूटिंग
vairoties	गुणा
ticībā	ईमान
ticībā	विश्वास
ticībā	आस्था
savstarpēju	पारस्परिक
savstarpēju	आपसी
savstarpēju	परस्पर
deutschen	deutschen
strīdus	विवाद
strīdus	विवादों
braucējiem	राइडर्स
apstrādāt	सम्हाल
apstrādāt	संभाल
apstrādāt	हैंडल
diagramma	आरेख
diagramma	चार्ट
uzlikt	थोपने
jūdzes	मील
iesaka	अनुशंसा
audzēja	ट्यूमर
istaba	कक्ष
istaba	कमरा
istaba	कमरे
istaba	रूम
bīstami	खतरनाक
ģeogrāfiskais	भौगोलिक
ģeogrāfiskais	भौगोलिक
pogu	बटन
prāts	मन
prāts	दिमाग
aizsargi	गार्ड
marksisma	मार्क्सवादी
epidēmijas	महामारी
epidēmijas	महामारी
sinsinati	सिनसिनाटी
ist	ist
ist	आईसीटी
arktikas	आर्कटिक
dalījums	विश्लेषण
dalījums	विश्लेषण
dalījums	विभाजित
šauras	संकीर्ण
šauras	तंग
šauras	सीमित
motociklu	मोटरसाइकल
motociklu	मोटरसाइकिल
skaidra	साफ
dzimteni	मातृभूमि
rezervātā	रेज़
sola	वादे
sol	सोल
sniegu	बर्फ़
sniegu	बरफ
sniegu	बर्फीला
sniegu	बर्फ
sniegu	हिम
plātne	प्लेट
plātne	तख़्ता
plātne	थाली
lekciju	व्याख्यान
lekciju	लेक्चर
aids	aids
aids	एड्स
biezas	मोटी
biezas	घनी
biezas	मोटा
kārtis	कार्ड
kārtis	ताश
dms	dms
padarītu	बनाओ
padarītu	बना
padarītu	मेक
padarītu	प्रतिपादन
padarītu	रेंडर
retval	retval
marsels	मार्सल
spogulis	आईना
spogulis	मिरर
spogulis	शीशा
spogulis	प्रतिबिंब
spogulis	दर्पण
seminārs	वर्कशॉप
seminārs	कार्यशाला
seminārs	संगोष्ठी
seminārs	सेमिनार
sui	सुई
sui	sui
plate	प्लेट
plate	तख़्ता
plate	थाली
jupiters	वृहस्पति
jupiters	बृहस्पति
habla	हबल
ruso	रूसो
advokāta	वकील
holding	पकड़कर
sāra	सारा
sāra	sara
sāra	सारा
luidži	लुइगी
pierādīts	सिद्ध
kastes	पेटी
kastes	बॉक्स
kastes	बक्से
kastes	बाक्स
tony	टोनी
kambodžas	कम्बोडिया
kambodžas	कंबोडिया
amonjaka	अमोनिया
dibinātāji	संस्थापकों
dzērve	सारस
dzērve	क्रेन
atkārtojas	बारंबार
atkārtojas	दोहराव
būvēti	बनवाया
būvēti	बनवाई
būvēti	निर्मित
nomenklatūras	नामकरण
dominējošā	प्रबल
džastins	justin
džastins	जस्टिन
ada	adp
ada	एडीए
maize	रोटी
maize	ब्रैड
sociālie	सामाजिक
sociālie	सोशल
academy	अकादमी
atraitne	विधवा
secret	गोपनीय
secret	गुप्त
secret	भेद
secret	रहस्य
slovēnijā	स्लोवेनिया
slovēnijā	स्लोवेनियाई
mirušā	मृतक
ķelnes	कोलोन
demokrāti	डेमोक्रेट
webmineral	webmineral
tendences	रुझान
pārcelti	स्थानांतरित
atļauja	इजाजत
atļauja	अनुमति
atļauja	प्राधिकरण
atļauja	परमिट
apkopojums	संकलन
apkopojums	एकत्रीकरण
apkopojums	सुझाव
pārcelšanās	हटाना
galilejs	गैलिली
precīza	सटीक
precīza	सटीक
klienti	ग्राहक
klienti	क्लाइंट
klienti	ग्राहक
klienti	क्लाइंट
klienti	क्लाएंट
politiķiem	राजनेता
deli	दिल्ली
cipariem	अंक
cipariem	अंकीय
cipariem	न्यूमेरिक
hiv	एचआईवी
hiv	hiv
tvertnes	टैंक
tabulās	टेबल
šķērsot	क्रासिंग
kristiešiem	ईसाइयों
priekšpusē	अग्र
priekšpusē	सामने
jūrniecības	मेरीटाइम
lielisku	भव्य
iespējamā	संभव
iespējamā	संभावित
vēstniecība	दूतावास
dotas	दी
dotas	दिया
dotas	दिए
velsa	वेल्स
romantisms	स्वच्छन्दतावाद
komplekts	सेट
komplekts	समुच्चय
komplekts	नियत
komplekts	किट
komplekts	kit
absolūtā	निरपेक्ष
satiekas	मिलें
džerijs	जेरी
kolektīvs	सामूहिक
bezgalīgi	असीम
centieni	आकांक्षाओं
centieni	प्रयत्न
centieni	प्रयास
centieni	प्रयत्न
šaubas	संदेह
sajaukt	फेरबदल
sajaukt	भ्रमित
sajaukt	confused
sajaukt	उलझन
eksperti	विशेषज्ञों
eksperti	विशेषज्ञ
hordaiņi	रज्जुकी
dioksīda	डाइऑक्साइड
pieauguma	वृद्धि
aspx	aspx
aviācija	विमानों
aviācija	विमान
aviācija	विमानन
slodzes	लोड
rsa	रवा
rsa	आरएसए
sāļums	लवणता
summas	रकम
interesants	रोचक
interesants	दिलचस्प
izpratne	समझ
izpratne	समझना
izpratne	जागरूकता
saskarne	इंटरफेस
saskarne	अंतरफलक
saskarne	इंटरफ़ेस
fermas	फ़ार्म
fermas	खेतो
mērenā	शीतोष्ण
dzīvesveids	lifestyle
dzīvesveids	जीवनशैली
privāta	प्राइवेट
privāta	निजी
nepālas	नेपालमे
nepālas	नेपाल
nepālas	नेपाली
lidojumiem	फ़्लाइट
rio	रियो
rio	रिओ
skaista	सुंदर
skaista	सूंदर
skaista	ब्यूटीफुल
skaista	खूबसूरत
viesnīcā	होटल
vēstniecības	दूतावास
nosūtīta	भेजी
nosūtīta	प्रेषित
nosūtīta	भेजा
lūpas	होंठ
lūpas	होठ
lūpas	लिप
vektoru	सदिश
vektoru	वेक्टर
šulcs	शुल्ज़
tobāgo	टोबैगो
ierosina	propose
nāsis	नथुनों
džefrijs	जेफरी
laboratoriju	प्रयोगशाला
tīģeri	टाइगर
tīģeri	बाघों
tīģeri	बाघ
tīģeri	बाघों
