nine	เก้า
fulger	สายฟ้า
memorialul	อนุสรณ์
arch	อาร์ช
amin	สาธุ
amin	อาเมน
amin	เมน
terasa	ระเบียง
sida	เอดส์
sida	เอดส์
discursuri	สุนทรพจน์
conta	จำนวนนับ
conta	นับ
nuci	ถั่ว
frontiere	พรมแดน
palme	ฝ่ามือ
palme	ปาล์ม
amber	อำพัน
ramon	ramón
caraibe	แคริบเบียน
ulm	ulm
neutroni	นิวตรอน
bud	บัด
bud	แย้ม
vultur	อินทรี
vultur	อินทรีย์
puternica	เข้ม
puternica	strong
puternica	แรง
puternica	แข็งแกร่ง
oliveira	oliveira
zadar	zadar
oras	town
oras	เมือง
oras	ทาวน์
oras	เมือง
oras	ซิตี้
oras	city
membrul	member
membrul	สมาชิก
shi	ชิ
shi	ชี
cumpărate	ซื้อ
rebeli	rebels
rebeli	กบฏ
schloss	schloss
concacaf	concacaf
câmpii	ราบ
random	มั่ว
random	สุ่ม
culese	สะสม
siècle	siècle
franta	ฝรั่งเศส
sylvia	sylvia
sylvia	ซิลเวีย
permise	อนุญาต
testare	สอบ
testare	ทดสอบ
testare	ทดสอบ
cage	กรง
pena	peña
seal	ผนึก
tin	tin
tin	ทิน
serafim	seraphim
farnese	farnese
isis	isis
protestat	ประท้วง
lemne	วูด
lemne	ไม้
joy	joy
joy	จอย
sacră	ศักดิ์สิทธิ์
sunetele	เสียง
block	บล็อก
block	บล็อค
ateneul	atheneum
poker	โป๊กเกอร์
email	อีเมล
email	อีเมล์
foame	หิว
tsutomu	tsutomu
strânge	บีบ
strânge	เบียด
alocate	จัดสรร
gradele	เกรด
magneziu	แมกนีเซียม
nan	แนน
nan	น่าน
paragraf	ย่อหน้า
groasă	หนา
groasă	หนาๆ
arest	จับกุม
satelitul	ดาวเทียม
plâns	ร้องไห้
sărată	เค็ม
sărată	เค็ม
vag	คลุมเครือ
superman	superman
departamentele	แผนก
autentic	authentic
vederi	โปสการ์ด
karate	คาราเต้
rădăcină	ราก
rădăcină	รูท
braziliană	บิ
braziliană	บิท
braziliană	บราซิล
braziliană	บิว
groapă	หลุม
groapă	บ่อ
consoană	พยัญชนะ
europă	ยุโรป
sportivii	นักกีฬา
emden	emden
trăsătură	คุณสมบัติ
trăsătură	คุณลักษณะ
trăsătură	ฟีเจอร์
dragonul	มังกร
dragonul	dragon
terasă	ระเบียง
antal	antal
terapie	บำบัด
războinic	นักรบ
cima	cima
franche	franche
aix	aix
rebelii	rebels
rebelii	กบฏ
dulci	หวานๆ
dulci	หวาน
utilitate	อรรถประโยชน์
utilitate	สาธารณูปโภค
procentul	เปอร์เซนต์
procentul	เปอร์เซ็นต์
piramida	พีระมิด
piramida	พีรามิด
conservatori	อนุรักษนิยม
sărate	เค็ม
num	num
diamante	เพชร
vaticanului	วาติกัน
olimpiadă	โอลิมปิก
albine	ผึ้ง
python	ไพธอน
boc	boc
orbit	บังตา
simferopol	simferopol
keys	กุญแจ
liberali	เสรีนิยม
toyota	toyota
rame	กรอบ
rame	เฟรม
altii	อื่นๆ
sanaa	sanaa
pornire	เริ่ม
pornire	เริ่ม
aosta	aosta
sons	sons
imobiliare	คฤหาสน์
imobiliare	อสังหาริมทรัพย์
tor	tor
subordinul	suborder
cronice	เรื้อรัง
prestigiul	บารมี
murat	murat
vrăjitoare	แม่มด
paza	รปภ
fixează	pin
experimentele	ทดลอง
galatasaray	galatasaray
sticla	กระจก
sticla	แก้ว
sticla	ขวด
münster	münster
anunț	ประกาศ
regensburg	regensburg
industrii	อุตสาหกรรม
livada	สวน
păianjen	แมงมุม
cailor	ม้า
sârmă	ลวด
comunismul	คอมมิวนิสต์
atinsă	สัมผัส
mana	มือขวา
mana	มือ
mana	หัตถ์
mana	hand
tigru	tiger
tigru	เสือ
tigru	เสือก
minerală	แร่
tver	tver
ritualul	พิธีกรรม
cascadă	น้ำตก
rezistent	ดื้อยา
rezistent	ทนทาน
frunza	ใบไม้
aprobă	อนุมัติ
valentine	วาเลนไทน์
liu	หลิว
lil	lil
lil	ลิล
demnitate	ศักดิ์ศรี
cumpărare	ซื้อ
cumpărare	ซื้อ
febra	ไข้
mândru	ภูมิใจ
mândru	proud
obstacole	อุปสรรค
obstacole	อุปสรรค
oaie	แกะ
cenzură	เซ็นเซอร์
fetelor	สาว
fetelor	สาวๆ
warrior	นักรบ
stabile	เสถียรภาพ
stabile	มั่นคง
bogata	ริช
bogata	รวย
bogata	คนรวย
bogata	ร่ำรวย
campionul	แชมป์
eco	eco
deportivo	deportivo
rau	แย่
rau	ร้าย
rau	bad
rau	เลว
ips	ips
schumann	schumann
lupus	ลูปัส
greva	strike
rapoartele	รายงาน
mecanismele	กลไก
wiesbaden	wiesbaden
calculatoarele	คอมพิวเตอร์
mehmet	mehmet
aeronautică	aeronautical
conceptele	แนวคิด
conceptele	concepts
tan	ตาล
nba	nba
argilă	เคลย์
argilă	ดิน
holly	ฮอล
argintiu	ซิลเวอร์
argintiu	เงิน
crown	crown
crown	มงกุฎ
companion	สหาย
rfc	rfc
egiptenii	อียิปต์
konya	konya
poreclă	ฉายา
atomii	อะตอม
particulă	อนุภาค
asculta	ฟัง
nicholson	nicholson
antonín	antonín
vânturile	ลม
verifică	ยืนยัน
verifică	เช็ค
verifică	ตรวจ
hale	เฮล
yong	ยง
yong	หยง
simetrie	สมมาตร
judiciară	ตุลาการ
saul	โซล
saul	ซอล
bilet	ตั๋ว
bilet	ใบสั่ง
bilet	บัตร
calm	สงบ
ika	ika
csu	csu
reglementare	ระเบียบ
shop	ร้าน
cornul	แตร
mexicane	เม็กซิโก
vorbitor	ลำโพง
distribuie	แชร์
ich	ich
ucenic	ศิษย์
vulcanul	ภูเขาไฟ
salah	salah
furtuni	วายุ
furtuni	พายุ
oglinzi	กระจก
cagliari	cagliari
spion	สปาย
beirut	เบรุต
arse	ไหม้
arse	เผา
arse	ไหม้
deduce	อนุมาน
sesiuni	เซสชั่น
sesiuni	เซสชัน
cavalerul	ไนท์
cavalerul	อัศวิน
favorizează	บุญ
gwen	กวน
judecători	กรรมการ
magia	เวทมนตร์
magia	มนตร์
furnizarea	ชีพ
vamale	ศุลกากร
paulus	paulus
città	città
răbdare	อดทน
prag	เกณฑ์
variație	แปรผัน
réunion	réunion
fig	ฟิก
fig	ฟิค
donau	donau
licitație	ประมูล
licitație	นุ่ม
rușine	ละอาย
rușine	เสียดาย
aproximativă	ประมาณ
informează	แจ้ง
provocare	ท้าทาย
provocare	ท้า
mesto	mesto
poză	รูป
poză	ภาพ
poză	รูป
poză	ภาพถ่าย
poză	รูปภาพ
myanmar	พม่า
hammer	ค้อน
magică	เวทมนตร์
magică	มนตร์
magică	ขลัง
magică	วิเศษ
terapia	บำบัด
draga	ถึง
draga	ที่รัก
paturi	ที่นอน
paturi	เตียง
tubul	ท่อ
tubul	หลอด
haller	haller
canon	canon
tech	เทค
tech	เทคโนโลยี
orbitală	เบ้าตา
mohammad	โมฮัมหมัด
leiden	leiden
evită	เลี่ยง
adio	อำลา
adio	อำลา
adio	goodbye
adio	ลา
soundfile	soundfile
valurile	คลื่น
vocile	เสียง
iranian	อิหร่าน
soartă	ชะตา
mallorca	mallorca
amiază	บ่าย
amiază	เที่ยง
avansează	advance
accept	ยอมรับ
rada	rada
norocul	โชค
det	det
barcă	เรือ
sting	sting
sting	ต่อย
sans	sans
vasa	vasa
markus	markus
lichidă	ของเหลว
lichidă	เหลว
zeit	zeit
fierbere	เดือด
psihiatrie	จิตเวชศาสตร์
psihiatrie	เวชศาสตร์
psihiatrie	จิตเวช
fibră	ไฟเบอร์
fierul	เหล็ก
fierul	เตารีด
medicament	เวชศาสตร์
medicament	ยา
handicap	พิการ
agenda	กำหนดการ
agenda	วาระ
ecou	ก้อง
ecou	ก้อง
ecou	echo
steaguri	ธงชาติ
steaguri	flags
steaguri	ธง
repararea	ซ่อม
repararea	ซ่อมแซม
hidrogenul	ไฮโดรเจน
manuală	คู่มือ
protestant	โปรเตสแตนต์
thorell	thorell
mireasa	bride
bishop	บิชอป
procurorul	โจทก์
procurorul	อัยการ
comori	สมบัติ
comori	สมบัติ
andrzej	andrzej
aquino	aquino
tomas	tomás
neustadt	neustadt
ruby	ทับทิม
ficat	ตับ
vitele	วัว
vitele	ปศุสัตว์
selectată	เลือก
umbria	umbria
mame	มารดา
beau	บัว
beau	beau
mbc	mbc
cubi	ลูกบาศก์
jang	ชัง
jang	จาง
jang	jang
jang	แจง
confirma	ยืนยัน
curba	โค้ง
carti	บัตร
carti	การ์ด
carti	ไพ่
carti	หนังสือ
procesoare	โปรเซสเซอร์
sonny	ซันนี่
psihic	กายสิทธิ์
ceață	หมอก
ceață	หมอก
ceață	ลาง
ceață	หมอก
heat	ร้อน
tactica	กลยุทธ์
tactica	ยุทธวิธี
arata	โชว์
arata	แสดง
mick	มิค
mick	มิก
moschei	มัสยิด
colorat	สีสัน
mat	matte
mat	พรม
suvorov	suvorov
prelungită	ยืนยาว
autostrăzi	ทางหลวง
dee	dee
eficace	ประสิทธิ์
eficace	ประสิทธิผล
ritualuri	พิธีกรรม
frig	หนาว
frig	เย็น
frig	เย็นๆ
stăpâni	มาสเตอร์
rezistente	ดื้อยา
podurile	สะพาน
interesată	สนใจ
capcană	ดัก
depresie	หดหู่
religiile	ศาสนา
sergent	จ่า
puzzle	ปริศนา
kyle	ไค
kyle	ไคล
kyle	ไคล์
caracteristica	คุณสมบัติ
caracteristica	คุณลักษณะ
caracteristica	ฟีเจอร์
cadavre	ร่างกาย
iepure	กระต่าย
auzi	ได้ยิน
auzi	ยิน
centimetri	เซนติเมตร
centimetri	นิ้ว
fluier	หวีด
fluier	นกหวีด
fluier	ผิวปาก
ferrand	ferrand
bacon	เบคอน
dosarele	โฟลเดอร์
dub	พากย์
cripta	ป่าช้า
supărat	โมโห
supărat	โกรธ
supărat	หงุดหงิด
orfan	กำพร้า
orfan	กำพร้า
vehiculele	พาหนะ
promite	สัญญา
viermi	หนอน
zip	zip
zip	รูด
spectru	สเปกตรัม
vise	ฝัน
loial	ซื่อสัตย์
loial	ภักดี
dutch	ดัตช์
junction	ชุม
cuțit	มีด
albina	บี
albina	ผึ้ง
sac	sac
sac	ถุง
sac	กระเป๋า
sac	แบ็ค
sac	กระสอบ
oilor	แกะ
ideologice	ลัทธิ
binecuvântarea	พร
binecuvântarea	อวยพร
binecuvântarea	พร
porci	หมู
taste	กุญแจ
pulbere	แป้ง
pulbere	ผง
ideală	อุดมคติ
coordonează	ประสาน
barbă	เครา
șofer	ไดรเวอร์
hibrid	ลูกผสม
eficiență	ประสิทธิภาพ
spini	หนาม
pacientul	คนไข้
pacientul	อดทน
malaysia	มาเลเซีย
iranul	อิหร่าน
subsolul	ใต้ถุน
gian	gian
musculare	กล้าม
mutare	เลื่อน
mutare	ขยับ
mutare	ย้าย
rfg	gfr
tonga	ตองกา
mubarak	mubarak
elicoptere	เฮลิคอปเตอร์
savage	เถื่อน
valul	คลื่น
valul	เวฟ
valul	โบกมือ
valul	โบก
trist	เศร้าๆ
trist	เศร้า
pine	ต้นสน
temporare	ชั่วคราว
filtru	กรอง
pensionare	เกษียณ
pensionare	เกษียน
inamicii	ศัตรู
sintetice	สังเคราะห์
flickr	flickr
offenbach	offenbach
arsă	ไหม้
arsă	เผา
arsă	ไหม้
testarea	ทดสอบ
csi	cis
csi	csi
arunca	ขว้าง
arunca	โยน
alfons	alfons
kingston	คิงสตัน
fashion	fashion
fashion	แฟชั่น
shopping	ชอปปิ้ง
jurat	ลูกขุน
ciad	ชาด
ciad	แชด
pianul	เปียนโน
juriu	ลูกขุน
prezentul	ปัจจุบัน
stagiu	ฝึกงาน
boulenger	boulenger
familiar	คุ้นๆ
familiar	คุ้น
hituri	ฮิต
pack	แพ็คเกจ
pack	แพ็ค
pack	ฝูง
pack	แพค
wehrmacht	wehrmacht
tabelele	ตาราง
tabelele	โต๊ะ
dino	dino
abilitate	skill
abilitate	ทักษะ
sumar	สรุป
criticile	วิจารณ์
rezistă	ขัดขืน
rezistă	ต้านทาน
grămadă	กอง
judiciare	ตุลาการ
degetele	นิ้ว
rebeliune	กบฏ
zen	เซน
zen	zen
alge	สาหร่าย
aplicația	แอป
aplicația	แอพ
initial	เดิมที
datoriile	หนี้
queens	ควีน
queens	ราชินี
reflecta	ไตร่ตรอง
reflecta	ใคร่ครวญ
welf	welf
amânat	ล่าช้า
suedezi	สวีเดน
gunoi	ขยะ
gunoi	ขยะ
judiciar	ตุลาการ
judiciar	ตุลาการ
horthy	horthy
dam	เขื่อน
telecom	โทรคมนาคม
ceasuri	นาฬิกา
etichetă	ป้าย
etichetă	แท็ก
lauren	ลอว์เรน
lauren	ลอเรน
sung	ซอง
sung	ซุง
maccabi	maccabi
théâtre	théâtre
secetă	แล้ง
mască	หน้ากาก
memphis	memphis
deșeuri	เปลือง
urechea	หู
universität	universität
fecioară	virgo
fecioară	เวอร์จิน
fecioară	จิ้น
olympique	olympique
pass	ผ่าน
jaf	ปล้น
creste	เติบโต
creste	ปลูก
yin	หยิน
nevertebrate	invertebrates
testat	ทดสอบ
prețurile	ราคา
lily	ลิลลี่
axat	โฟกัส
axat	จดจ่อ
recompensă	รางวัล
cometă	ดาวหาง
dora	dora
comite	ก่อ
smackdown	smackdown
csa	csa
sugar	น้ำตาล
regulată	ปรกติ
regulată	ปกติ
discutii	อภิปราย
discutii	อภิปราย
sănătos	สุขภาพ
sintetic	สังเคราะห์
recomand	แนะนำ
himalaya	หิมาลัย
himalaya	himalayan
himalaya	หิมาลัย
discipol	สาวก
discipol	ศิษย์
arunce	ทิ้ง
netedă	เรียบ
angajații	ลูกจ้าง
angajații	พนักงาน
posta	จดหมาย
neutre	ฉนวน
tribune	ทริบูน
furios	โมโห
furios	โกรธ
edu	edu
knox	น็อค
wei	อุย
lactate	นม
armonia	ปรองดอง
imagesize	imagesize
candy	ลูกอม
candy	candy
candy	ขนม
clasifică	จำแนก
costumul	ชุด
anastasie	anastasius
emoțional	อารมณ์
vercelli	vercelli
danzig	danzig
hermes	hermes
ochelari	แว่น
ochelari	แว่นตา
ochelari	แก้ว
fiji	ฟิจิ
zhou	โจว
sena	แซน
confirmate	ยืนยัน
civice	พลเมือง
civice	civic
singh	สิงห์
mentală	จิต
tübingen	tübingen
utilitatea	ประโยชน์
utilitatea	อรรถประโยชน์
utilitatea	สาธารณูปโภค
merlin	เมอร์ลิน
mimi	mimi
plaje	ชายหาด
har	พระคุณ
ssp	ssp
suna	โทร
iod	ไอโอดีน
aprobare	อนุมัติ
popper	popper
static	คงที่
static	สถิตย์
comerciant	พ่อค้า
exclusivitate	exclusive
exclusivitate	พิเศษ
laptele	นม
laptele	น้ำนม
alam	alam
spectaculoase	งดงาม
masele	มวล
masele	มวลชน
zestre	สินสอด
monitor	จอภาพ
ceramica	เครื่องปั้นดินเผา
ceramica	เซรามิค
ceramica	ceramic
ceramica	เซรามิค
piłsudski	piłsudski
hendrik	hendrik
sclav	ทาส
gigant	ยักษ์
adevarat	ทรู
adevarat	true
adevarat	จริง
adevarat	แท้
autentice	authentic
șevcenko	shevchenko
günter	günter
