gerais	gerais
signatur	подписване
signatur	подпис
helga	хелга
myten	мит
myten	мита
datamaskin	компютър
datamaskin	компютъра
opprettelse	създаване
opprettelse	създаването
duncan	дънкан
duncan	дънкън
alfonso	алфонсо
alfonso	алфонс
sikt	цел
sikt	видимост
mother	майка
mother	майко
lagring	склад
lagring	съхранение
lagring	складиране
lagring	съхраняване
lagring	спасяване
lagring	спасяването
lagring	спестяване
lettvekt	леки
fremtid	бъдеще
fremtid	бъдещ
fremtid	бъдещи
fremtid	бъдещето
fremtid	бъдеща
fattigdom	мизерия
fattigdom	бедност
fattigdom	бедността
hekker	гнездене
utsiden	отвън
utsiden	навън
prefektur	префектура
christ	христос
belønning	награда
eritrea	еритрея
begynnelse	начало
salzburg	залцбург
borger	гражданин
bryan	браян
bryan	брайън
dragon	дракон
leveres	доставена
leveres	доставени
leveres	доставен
leveres	доставено
oppfinner	изобретател
rothschild	ротшилд
propaganda	пропаганда
captain	капитане
magic	магии
magic	вълшебство
magic	магия
third	трети
third	трета
third	трето
fossil	вкаменелости
fossil	изкопаеми
selvbiografi	автобиографията
selvbiografi	автобиография
greg	грег
forbedringer	подобрения
forbedringer	подобрения
leicester	лестър
haven	хейвън
nøytrale	неутрални
nøytrale	неутрално
nøytrale	неутрална
nøytrale	неутрален
perfekt	перфектна
perfekt	перфектно
perfekt	перфектен
perfekt	съвършен
måner	луните
måner	спътници
måner	луни
atmosfære	атмосфера
besatt	обладана
besatt	обладан
besatt	обсебена
besatt	обсебени
besatt	вманиачен
besatt	обсебен
utkast	чернова
hannibal	анибал
hannibal	ханибал
kommunistene	комунисти
kommunistene	комунистите
preston	престън
sjekk	провери
sjekk	проверка
laos	лаос
frue	госпожо
gjensidig	взаимно
gjensidig	взаимен
gjensidig	взаимни
gjensidig	взаимна
edit	редактиране
bis	бис
pradesh	прадеш
konsulent	консултант
konsulent	консултация
konsulent	консултиране
konsulent	консултации
fjerner	премахва
jessica	джесика
rachel	рейчъл
læring	учене
jong	джонг
levninger	остава
levninger	останки
centimeter	сантиметри
centimeter	сантиметри
centimeter	сантиметра
centimeter	сантиметър
igor	игор
krevende	взискателен
krevende	изискваща
karakterer	оценките
karakterer	степени
karakterer	оценки
marion	мериън
marion	марион
grenoble	гренобъл
islamsk	ислямска
islamsk	ислямски
talk	говори
talk	поговорим
stade	стад
foreninger	сдружения
foreninger	асоциации
mineraler	минерали
lübeck	любек
tørr	суха
tørr	сухи
tørr	сухо
tørr	сух
rykter	слухове
rykter	слухове
tilhørighet	принадлежност
tilhørighet	афинитет
diskuteres	обсъдени
mesopotamia	месопотамия
genetisk	генетична
genetisk	генетични
genetisk	генетичен
genetisk	генетично
unix	unix
standarder	стандартите
standarder	стандарти
teologisk	теологични
gibson	гибсън
mulighetene	възможности
mulighetene	вероятности
grafikk	графики
grafikk	графичен
grafikk	графика
grafikk	картини
sjekket	проверено
sjekket	проверен
sjekket	проверени
sjekket	проверих
bearbeidet	преработени
bearbeidet	обработена
bearbeidet	преработен
bearbeidet	обработени
bearbeidet	обработен
aksjon	действия
aksjon	действие
aksjon	екшън
søknad	кандидатстване
søknad	молба
søknad	приложение
søknad	прилагане
søknad	заявление
finans	финанси
finans	финансиране
reality	реалност
reality	действителността
reality	реалността
reality	действителност
ferge	ферибот
ferge	ферибота
ferge	фери
trygt	безопасно
trygt	безопасен
trygt	сейф
omringet	обкръжени
omringet	обкръжен
omringet	обграден
omringet	обградени
omringet	заобиколен
umeå	умео
copa	копа
nominasjon	заявки
nominasjon	номинации
nominasjon	кандидатури
nominasjon	номинация
nominasjon	номинацията
kriminalitet	престъпления
kriminalitet	престъпление
kriminalitet	престъпност
kriminalitet	престъпността
hengende	висящ
hengende	обесване
hengende	висящи
benedikt	бенедикт
benedikt	benedikt
beholder	водене
beholder	контейнер
hvile	почивка
gotisk	готически
avgjørelsen	решението
avgjørelsen	решение
motors	мотори
stasjonene	станции
bonaparte	бонапарт
folketinget	парламента
folketinget	парламентът
folketinget	парламент
anonyme	анонимни
anonyme	анонимна
anonyme	анонимен
anonyme	анонимно
turer	язди
turer	пътувания
turer	екскурзии
tante	леля
tante	леля
ark	арк
ark	ковчега
erobring	завоевания
erobring	завоевание
rikdom	благосъстояние
rikdom	богатството
rikdom	богатство
hårete	космати
hårete	космат
argentinske	аржентински
moral	морал
moral	моралът
verft	корабостроителница
verft	корабостроителницата
plattformen	перон
plattformen	платформата
plattformen	платформа
hunt	хънт
hunt	лов
dawn	зора
dawn	даун
dawn	зори
dawn	доун
dawn	зората
langsomt	бавно
chuck	чък
aspekter	аспекти
emi	еми
emi	emi
budskap	послание
budskap	съобщение
budskap	съобщението
winchester	уинчестър
murphy	мърфи
canal	канал
ajax	аякс
fortsettelse	продължение
fortsettelse	продължаване
fortsettelse	продължи
fortsettelse	продължил
omar	омар
robertson	робъртсън
bart	барт
bart	мустак
bart	мустаци
gjennomgang	преглед
gjennomgang	преразглеждане
kinoer	кината
kinoer	театри
kinoer	кината
andrews	андрюс
bryggeri	пивоварна
terror	терор
terror	ужас
monster	чудовище
monster	чудовището
novgorod	новгород
rein	юздите
rein	чисто
rein	чист
rein	чисти
rein	чиста
oppvarming	нагряване
oppvarming	отопление
oppvarming	парно
oppvarming	подгряване
oppvarming	загряване
oppvarming	затопляне
tibetansk	тибетски
pels	козина
pels	козината
pels	кожи
framgang	прогрес
framgang	напредък
utrecht	утрехт
overskrift	заглавие
overskrift	header
kolonne	колона
erfarne	опитен
erfarne	опитна
erfarne	опитни
kryss	кръстовището
kryss	пресичане
kryss	кръстовище
kryss	пресечка
kryss	крос
kryss	кръст
kryss	кръста
starr	стар
bureau	бюрото
bureau	бюро
stuping	гмуркане
word	дума
fødselen	раждането
fødselen	раждане
fødselen	рождение
forbedring	усъвършенстване
forbedring	подобрения
forbedring	подобряване
forbedring	подобрение
tau	въжета
tau	въже
tau	тау
tau	въжетата
tau	въжета
andrej	андрей
andrej	андрей
lien	лиен
guardian	настойник
guardian	пазител
guardian	попечител
guardian	гардиън
diesel	дизел
diesel	дизелов
bucurești	букурещ
oppfylt	изпълнено
oppfylt	изпълнени
brandt	бранд
brandt	брант
tildeling	разпределяне
tildeling	разпределение
planlegger	планиране
planlegger	планове
kledd	облечена
kledd	облечени
kledd	облечен
agency	агенция
agency	агенцията
mohamed	мохамед
pågår	текущо
estimert	изчислено
estimert	изчислен
duke	херцог
duke	дук
duke	дюк
holmenkollen	холменколен
fuktig	влажни
fuktig	влажно
fuktig	влажна
fuktig	влажен
fuktig	влажно
fokusere	фокусирана
things	неща
things	нещата
hjulpet	помогнал
nou	ноу
mannlig	мъжко
mannlig	мъжки
mannlig	мъж
mannlig	мъжкар
mannlig	мъжка
albrecht	албрехт
avslører	разкрива
detaljerte	подробно
detaljerte	подробен
detaljerte	подробна
detaljerte	подробни
ivareta	защита
ivareta	защити
utenlands	чужбина
utenlands	чужбина
tegne	тегли
tegne	рисуване
tegne	рисунка
amund	амунд
aksjer	акции
aksjer	дялове
percy	пърси
liège	лиеж
varig	трайно
varig	траен
varig	трайна
varig	трайни
varig	трайно
varig	траен
varig	дълготраен
varig	трайни
varig	дълготрайно
skyter	стреля
skyter	стрелба
cbs	cbs
kansler	канцлерът
kansler	канцлера
kansler	канцлер
skarpe	остро
skarpe	шарп
skarpe	остър
skarpe	остра
skarpe	остри
papua	папуа
klinisk	клинична
klinisk	клинични
klinisk	клинично
videoen	запис
videoen	видеоклип
videoen	видео
flytting	местене
flytting	преместване
aberdeen	абърдийн
rømme	бягство
kraków	краков
kraków	краков
tinn	тин
shaw	шоу
bergman	бергман
psykologisk	психологически
psykologisk	психологическа
psykologisk	психологическо
irving	ървинг
cleveland	кливлънд
cleveland	кливланд
målene	голове
målene	цели
målene	мишени
målene	цели
vokaler	гласни
manuskripter	ръкописи
støy	шум
innstilling	нагласа
innstilling	отношение
innstilling	поведение
innstilling	настройка
labour	труда
labour	трудово
labour	труд
helten	херо
helten	герой
hardy	харди
frost	фрост
raser	надбягвания
raser	състезания
raser	раси
française	française
underholdning	развлечения
underholdning	забавления
underholdning	забавление
underholdning	развлечение
fotografi	фотографията
fotografi	фотография
fotografi	снимка
engineering	инженерство
farao	фараонът
farao	фараон
farao	фараона
tetthet	плътност
kursiv	курсив
dagbok	дневник
dagbok	журнал
dagbok	джърнъл
dagbok	дневник
dagbok	дневника
dagbok	дневникът
ankommer	пристига
ankommer	пристига
wings	крилата
wings	крила
wings	крилца
wings	крилете
wings	криле
bevissthet	осведоменост
bevissthet	осведомеността
bevissthet	осъзнаване
bevissthet	съзнание
bevissthet	съзнанието
rotterdam	ротердам
mystiske	мистик
mystiske	мистично
look	виж
cato	катон
ekspansjon	разрастване
ekspansjon	разширяване
ekspansjon	разширение
yunnan	юнан
forbød	забранено
forbød	забранени
forbød	забранен
forbød	забранена
range	диапазон
range	обхват
range	обсег
forbrytelser	престъпления
landing	кацане
landing	приземяване
landing	разтоварване
landing	приземяването
toulouse	тулуза
intern	вътрешна
intern	вътрешно
intern	вътрешни
intern	вътрешен
utrolig	невероятна
utrolig	удивително
utrolig	изумително
utrolig	невероятен
utrolig	невероятно
utrolig	невероятна
utrolig	невероятен
utrolig	невероятно
utrolig	невероятна
utrolig	невероятен
utrolig	невероятно
orlando	орландо
justin	джъстин
alliance	алианса
alliance	алианс
alliance	съюз
flyplasser	летища
flyplasser	летищата
tyler	тайлър
holger	холгер
lucy	люси
lucy	луси
burton	бъртън
psykolog	психолог
brenner	горене
brenner	гори
brenner	парене
brenner	горяща
brenner	изгаряне
brenner	бренър
brenner	бърнс
brenner	гори
brenner	изгаряния
skandinavisk	скандинавски
prima	prima
prima	прима
dyre	скъп
dyre	скъпо
elsket	обичах
elsket	обичана
elsket	обичаше
elsket	обичан
duck	дък
duck	патка
duck	патици
duck	пате
duck	патица
kontekst	контекст
tegneserie	комикс
tegneserie	комикси
tegneserie	анимационен
tegneserie	карикатура
zum	zum
huang	хуанг
huang	хуан
glade	поляна
purple	лилава
purple	пурпурно
purple	лилаво
purple	лилав
oder	одер
trim	тапицерия
trim	упражнение
trim	упражнения
somalia	сомалия
bennett	бенет
topper	върхът
topper	върхове
kritikker	отзиви
kritikker	прегледи
signaler	сигнали
bakre	задна
bakre	заден
bakre	отзад
bakre	задни
bakre	задно
discogs	discogs
hager	гардънс
hager	градините
hager	градини
jakter	лов
jakter	ловува
investeringer	инвестиране
investeringer	инвестирането
investeringer	инвестиции
antonius	антоний
tankene	мисли
estiske	естонски
piper	пайпър
forutsetning	предпоставка
emmanuel	емануел
ulykker	нещастия
ulykker	инциденти
ulykker	злополуки
ulykker	аварии
ulykker	произшествия
terminal	терминал
fravær	отсъствие
fravær	липса
vakt	гард
vakt	пазач
hengt	хунг
hengt	обесен
hengt	обесен
hengt	обесени
ungdommer	деца
ungdommer	младежи
overføre	трансфер
overføre	преместване
overføre	прехвърляне
tenor	тенор
beyond	отвъд
opplagt	очевиден
opplagt	очевидна
håret	косми
håret	косъм
håret	коси
håret	косата
håret	коса
vinkel	ъгъл
bulgarske	българка
bulgarske	българско
bulgarske	българска
bulgarske	българин
bulgarske	български
very	много
leie	наемане
leie	наеми
leie	наем
leie	наеми
leie	наемът
leie	наема
walt	уолт
federal	федерален
federal	федерално
federal	федерална
tolvte	twelfth
forestilling	изпълнение
forestilling	ефективност
mick	мик
indianere	индианци
indianere	индийци
arkiver	архив
arkiver	архиви
arkiver	архив
arkiver	архиви
bekostning	разход
overordnede	началниците
overordnede	началници
honduras	хондурас
henter	привлекателна
overveiende	предимно
overveiende	преобладаващо
lexikon	lexikon
dynamisk	динамична
dynamisk	динамични
dynamisk	динамика
dynamisk	динамично
dynamisk	динамичен
kollega	колега
kollega	колега
leserne	читатели
leserne	читателите
ørkenen	пустиня
ørkenen	пустинята
besittelse	владение
besittelse	обсебване
besittelse	притежание
besittelse	притежаване
guddommelige	божествен
guddommelige	божествена
guddommelige	божествени
guddommelige	божествено
massive	масивно
massive	масив
massive	масивни
massive	масивен
spektrum	спектъра
spektrum	спектър
forblir	остава
forblir	останки
forblir	остава
ska	ска
styring	управление
import	внасяне
import	внос
import	внасяне
import	импортиране
trinidad	тринидад
omstendigheter	обстоятелства
omstendigheter	обстоятелство
omstendigheter	обстоятелства
omstendigheter	обстоятелствата
skjule	скриване
permanente	постоянен
permanente	постоянни
permanente	постоянна
liechtenstein	лихтенщайн
facto	facto
anatomi	анатомия
anatomi	анатомията
jemen	йемен
rømte	избяга
rømte	избягали
rømte	избягал
tilflukt	убежище
regjeringer	правителства
regjeringer	правителствата
enestående	изключителен
enestående	изключителни
enestående	изключителна
enestående	безпрецедентно
enestående	безпрецедентна
enestående	изключителен
enestående	изключителна
moralsk	морал
moralsk	морална
moralsk	морален
moralsk	морални
moralsk	морално
jorge	хорхе
fisken	риби
fisken	фиш
fisken	риба
eksperimenter	опити
eksperimenter	експерименти
something	нещо
håndbok	наръчник
orknøyene	orkney
nassau	насау
motion	движение
kompleks	комплекс
kompleks	комплексно
kompleks	сложни
kompleks	сложна
manhattan	манхатън
kopiert	копира
festivaler	фестивали
detalj	подробност
detalj	детайл
danse	танци
danse	танцувай
danse	танц
lokalene	помещения
darwin	дарвин
schloss	schloss
sel	сел
sel	печат
sel	тюлен
sel	сийл
nation	нация
noenlunde	умерено
religionen	религията
religionen	религия
won	уон
won	спечели
maximilian	максимилиан
mistanke	подозрение
mistanke	подозрения
mistanke	заподозряна
mistanke	заподозрян
mistanke	заподозрения
mistanke	подозрения
amy	ейми
march	март
jesse	джеси
mora	мора
terra	тера
dokumentere	документа
dokumentere	документът
dokumentere	документ
stan	стан
stan	стен
beleiring	обсада
flyselskap	авиокомпания
flyselskap	авиолинии
indianerne	индианци
indianerne	индийци
sendinger	предавания
sendinger	предавания
etterkommer	потомък
ram	овен
ram	рам
morning	утро
morning	сутрин
prosa	проза
alter	олтар
alter	олтара
patent	патент
doktoren	лекар
doktoren	докторе
katedral	катедралата
katedral	катедрала
brunt	кафяв
brunt	кафяви
brunt	браун
brunt	кафява
brunt	кафяво
kaldt	студ
kaldt	студен
kaldt	студено
kaldt	студена
foreslå	предполагат
edge	ръба
edge	ръб
seere	зрители
seere	зрителите
breivik	брейвик
leilighet	апартамент
jeremy	джеръми
jeremy	джереми
jesuittordenen	йезуитите
away	надалеч
away	далеч
marino	марино
borgerlig	буржоа
madame	госпожо
madame	мадам
gravd	изкопа
synd	съжаление
synd	жалост
synd	жалко
synd	жал
synd	грехът
synd	грехове
synd	грях
skjermen	екрана
skjermen	екран
kritiker	критик
split	разделим
split	разделен
split	сплит
split	разделяне
verde	верде
namibia	намибия
kjøkken	кухня
kjøkken	кухни
kjøkken	кухня
kjøkken	кухнята
dokumentarfilm	документален
respons	реакция
respons	отговор
respons	повлияване
respons	отговори
qatar	катар
bulletin	бюлетин
vedvarende	упорит
vedvarende	упорита
nyttige	полезна
nyttige	полезно
nyttige	полезни
nyttige	полезен
nyttige	полезна
nyttige	полезно
nyttige	полезни
nyttige	полезен
vega	вега
sida	страница
sida	страницата
sida	page
sida	страна
sida	страничен
målinger	измервания
målinger	измерванията
samtale	разговор
samtale	разговори
samtale	беседа
administrert	прилаган
administrert	приложен
administrert	управлявано
administrert	управлявани
administrert	управляван
melodier	мелодии
melodier	мелодии
trykte	печатни
trykte	отпечатани
trykte	отпечатано
fragmenter	фрагменти
tips	съвети
tips	съвет
tips	бакшиш
reading	чета
reading	четенето
reading	четене
foretrakk	предпочитан
nordahl	нордал
charter	харта
charter	хартата
sorg	скръбта
sorg	мъка
sorg	скръб
sorg	печал
sorg	тъга
sorg	мъка
sorg	скръб
sorg	печал
sorg	траур
sorg	скърби
sorg	тъга
sorg	тъгата
sorg	траур
emigrerte	емигрира
forskrift	декрет
forskrift	указ
forskrift	постановление
gerald	джералд
flo	фло
vulkansk	вулканична
guillaume	гийом
virgin	девствен
virgin	девствена
virgin	девица
virgin	девственица
evil	злото
evil	зла
evil	зъл
evil	зли
evil	зло
bukt	залив
bukt	залива
bukt	бей
bukt	залив
bukt	заливът
bukt	bay
forventes	очаквано
forventes	очаквани
forventes	очакван
forventes	очаквана
rart	странна
rart	странно
rart	странен
rart	странна
rart	странно
rart	странни
rart	странен
operativ	оперативно
operativ	оперативен
operativ	оперативни
operativ	оперативна
diplom	диплома
diplom	дипломата
philips	филипс
jevn	стабилен
jevn	стабилно
jevn	стабилна
ira	ира
ira	айра
why	защо
future	бъдеще
future	бъдещ
future	бъдещи
future	бъдещето
future	бъдеща
allsvenskan	алсвенскан
tenkning	мислене
gjengen	банда
parallell	паралелно
parallell	успоредно
parallell	успоредни
parallell	паралелна
parallell	паралелни
chester	честър
reykjavík	рейкявик
pre	пре
pre	предварително
innvendig	вътрешно
innvendig	вътре
body	тялото
body	тяло
body	телесно
akutt	остро
akutt	остър
akutt	остра
give	дай
furu	пайн
furu	бор
forberedt	приготвен
forberedt	подготвен
forberedt	подготвени
forberedt	подготвено
forberedt	подготвена
sletter	изтриването
interwiki	interwiki
giles	джайлс
symbolsk	символична
symbolsk	символично
symbolsk	символичен
gregory	григорий
gregory	грегори
gregory	грегъри
zambia	замбия
utfordret	предизвикан
utfordret	предизвикана
utfordret	предизвика
reagerer	реагира
bom	бом
kunstverk	картини
burke	бърк
avslørte	разкрита
avslørte	разкрито
avslørte	разкрити
avslørte	разкриха
avslørte	разкрит
avslørte	разкри
bibelske	библейски
blake	блейк
oppførte	действал
hjemland	родина
guttene	момчета
gottfried	готфрид
rockefeller	рокфелер
slave	роб
slave	робиня
productions	постановки
productions	продукции
tilsyn	надзор
thai	тай
thai	тайландски
christoffer	кристофер
martha	марта
michelle	мишел
granitt	гранит
building	изграждане
building	сграда
building	сградата
bradley	брадли
brooks	брукс
carol	каръл
carol	керъл
carol	карол
streisand	стрейзънд
crystal	кристъл
crystal	кристална
crystal	кристал
crystal	кристално
fargerike	пъстър
hindi	хинди
shorts	шорти
wells	уелс
wells	кладенци
språklige	езикови
blokk	блокиране
blokk	блок
overkant	излишък
skottlands	шотландия
husket	запомнен
emily	емили
naken	голо
naken	голи
naken	гола
åbo	турку
toer	дюс
benz	бенц
grekere	гърци
grekere	гърците
varighet	времетраене
varighet	продължителност
arven	завет
arven	наследство
arven	наследството
arven	наследство
aaron	аарон
aaron	арон
aaron	аарън
aaron	арън
pleier	обикновенно
pleier	обикновено
giftige	отровно
fossum	fossum
june	джун
june	юни
eyes	очи
eyes	очите
fremgang	прогрес
fremgang	напредък
cardiff	кардиф
utfyllende	изчерпателна
utfyllende	всеобхватен
utfyllende	изчерпателно
utfyllende	изчерпателен
ssb	scb
irakiske	иракски
wind	вятърна
wind	вятър
wind	вятъра
willie	уили
adresser	адреси
adresser	адресите
catholic	католическа
catholic	католическо
catholic	католик
catholic	католици
catholic	католичка
skiskytter	биатлонист
arkivert	архивирани
arkivert	подадена
arkivert	подадено
enormt	огромен
enormt	огромно
enormt	огромна
enormt	огромни
pablo	пабло
nathan	нейтън
rettssak	процес
objektet	предмет
objektet	обект
cohen	коен
imperial	имперски
springer	спрингър
forfølgelse	преследване
forfølgelse	преследвания
mottakelse	прием
mottakelse	приемане
mottakelse	рецепция
lovgivning	законодателство
lovgivning	закони
feste	парти
feste	party
feste	купон
feste	партия
stranda	beach
stranda	плажът
stranda	плаж
stranda	бряг
stranda	плажа
kenny	кени
fraser	фрази
fraser	фрейзър
penn	пен
penn	писалка
penn	pen
penn	химикалка
penn	химикал
lotus	лотос
lotus	лотус
frekvens	честота
forsterkninger	подкрепления
forsterkninger	засилване
forsterkninger	укрепване
forsterkninger	подсилване
hang	хунг
hang	обесен
presentere	подарък
presentere	настояще
presentere	присъстващи
umiddelbar	моментално
umiddelbar	незабавно
isbre	ледник
everton	евертън
potensielle	потенциална
potensielle	потенциал
ekspedisjoner	експедиции
hopkins	хопкинс
presley	пресли
today	днеска
today	днес
ocean	океан
advarsel	предупреждение
advarsel	предпазливост
logisk	логически
logisk	логично
kleopatra	клеопатра
støttes	подкрепен
støttes	подкрепи
støttes	подкрепена
støttes	поддържани
støttes	подкрепено
lines	линии
lines	реплики
lines	редове
unikt	уникално
unikt	уникален
unikt	уникални
unikt	уникална
leiden	лайден
forklarte	обяснено
schneider	шнайдер
elektroner	електроните
elektroner	електрони
geologisk	геоложки
geologisk	геоложка
geologisk	геоложки
portland	портланд
boisduval	boisduval
geometri	геометрията
geometri	геометрия
definerte	определени
definerte	дефинирани
sunderland	съндърланд
aktivist	активист
astronomiske	астрономически
pedagogisk	образователна
pedagogisk	образователен
pedagogisk	образователно
pedagogisk	образователни
fredelig	мирно
fredelig	спокойна
fredelig	мирен
fredelig	спокоен
ekspert	експертно
ekspert	експерт
undervist	преподавал
undervist	научени
christer	кристер
vita	вита
oppmuntret	насърчавани
göran	йоран
montreal	монреал
søyler	стълбове
søyler	колони
kabul	кабул
hearts	сърца
hearts	сърцата
pole	прът
pole	стълб
pole	полюс
pole	поляк
pole	пилон
sardinia	сардиния
feire	празнува
feire	празнуват
feire	празнуване
feire	празнуваме
feire	празнуват
feire	празнуваме
trusler	заплахи
helikopter	вертолети
helikopter	хеликоптер
øyeblikkelig	моментално
øyeblikkelig	незабавно
øyeblikkelig	мигновено
øyeblikkelig	моментално
forklares	обяснено
konferanse	конференция
magi	магии
magi	вълшебство
magi	магия
etikk	етика
stigende	изгряваща
stigende	възходящ
hopper	скокове
hopper	скача
hopper	скокове
hopper	скачане
hopper	скачам
hopper	скача
hopper	хопър
kreps	раци
anledningen	повод
misjon	мисията
misjon	мисия
befestet	укрепен
enstemmig	единодушно
enstemmig	единодушни
enstemmig	единодушно
klein	клайн
originalen	оригинални
originalen	оригинал
originalen	оригинално
originalen	оригинална
originalen	оригинален
macdonald	макдоналд
prost	прост
toppet	гарнирани
folkelig	популярно
folkelig	популярен
folkelig	популярна
folkelig	популярни
hoteller	хотели
grenen	бранч
grenen	клон
grenen	клонче
grenen	клонка
telefon	телефон
telefon	телефона
telefon	телефонът
telefon	телефон
ving	крилото
ving	крило
ving	уинг
sopp	плесен
sopp	гъбички
sopp	гъби
sopp	гъби
sopp	гъба
avslutningen	дипломирането
avslutningen	дипломиране
avslutningen	завършване
tommer	сантиметър
tommer	инч
tommer	сантиметри
tommer	инча
tommer	см
bing	бинг
uklar	неясно
uklar	неясен
uklar	неясна
uklar	неясни
performance	изпълнение
performance	ефективност
gradene	редиците
gradene	редици
fiji	фиджи
bevist	доказано
bevist	доказан
bevist	доказана
bevist	доказано
bevist	доказани
åndelig	духовна
åndelig	духовни
åndelig	духовното
åndelig	духовен
åndelig	духовно
medarbeider	работник
medarbeider	служител
medarbeider	служителка
medarbeider	колега
medarbeider	сътрудник
medarbeider	съдружник
strømmer	потоци
kommisjon	комисионна
kommisjon	комисия
overalt	навсякъде
alla	алла
taliban	талибаните
école	école
dee	ди
dee	дий
rome	рим
misnøye	недоволство
brått	внезапно
brått	изведнъж
brått	внезапна
brått	внезапно
goes	отива
avenue	авеню
fotografert	сниман
fotografert	снимана
fotografert	снимано
fotografert	заснето
karbon	въглероден
karbon	въглерод
domstol	съдът
domstol	съд
domstol	корт
wehrmacht	вермахт
minnesmerke	мемориал
jamie	джейми
audi	ауди
øre	уши
øre	ухо
øre	ухото
beskjeden	скромен
beskjeden	скромно
beskjeden	скромна
beskjeden	скромни
mosambik	мозамбик
morrison	морисън
plikt	мито
plikt	дълг
plikt	задължение
alberta	алберта
oppbevart	държани
synonym	синоним
jenta	момиченце
jenta	момиче
konsentrerte	концентриран
konsentrerte	концентрирана
konsentrerte	концентрирани
korstog	поход
korstog	кръстоносци
brukernavn	username
huskes	запомнен
niger	нигер
weimar	ваймар
erstattes	заменя
erstattes	замества
overføring	трансмисия
overføring	предаване
overføring	пренос
overføring	трансфер
overføring	преместване
overføring	прехвърляне
overføring	пренасяне
overføring	прехвърляне
overføring	пренасочване
cromwell	кромуел
usikkerhet	несигурност
vor	vor
dante	данте
catalonia	catalunya
catalonia	каталуния
afghanske	афганистан
nsdap	нсдап
sokker	чорапите
sokker	чорапи
avklart	разрешен
avklart	решени
avklart	решен
avklart	решено
avklart	уреден
jürgen	юрген
laurent	лоран
fish	риби
fish	фиш
fish	риба
mortensen	мортенсен
buffalo	бизон
buffalo	бивол
buffalo	бъфало
buffalo	бизони
rue	рю
svinger	люлки
landsbyene	селата
landsbyene	селища
landsbyene	села
dører	вратите
dører	врати
borneo	борнео
fysiologi	физиология
liberty	либърти
liberty	свобода
templer	храмовете
templer	храмове
keep	запази
alfabetisk	азбучен
alfabetisk	азбучно
britt	брит
homofile	гейове
homofile	обратни
homofile	гейовете
homofile	хомосексуалисти
homofile	хомосексуалистите
homofile	обратен
homofile	гей
cortina	кортина
syriske	сирийски
visstnok	предполагаемо
visstnok	очевидно
visstnok	явно
concert	концерт
sparken	консервирани
sparken	уволнен
sparken	уволнени
sparken	уволнен
sparken	уволнени
sparken	уволнена
utredning	разследването
utredning	разследван
utredning	разследване
ufc	ufc
timothy	тимъти
timothy	тимоти
gaza	газа
butterfly	пеперудата
butterfly	пеперуда
winston	уинстън
barndommen	детство
barndommen	детството
progresjon	прогресия
konsept	понятие
konsept	концепция
utvidelser	разширения
riddere	рицарите
riddere	рицари
jose	жозе
jose	хосе
spesialist	специалист
sykkel	велосипед
sykkel	мотор
sykkel	мотора
sykkel	колело
sykkel	колелото
sykkel	велосипед
sykkel	велосипеди
sykkel	колело
rodríguez	родригес
statskupp	преврат
susanne	сузане
susanne	сузан
innehaver	титуляр
innehaver	притежател
innehaver	холдър
innehaver	притежателя
journalistikk	журналистика
journalistikk	журналистиката
arrow	стрелка
arrow	стрела
arrow	стрелата
nærhet	близост
nærhet	близостта
satser	залагане
satser	залагания
als	алс
forsinket	закъснение
forsinket	забавено
forsinket	отложено
tank	резервоар
tank	танк
tank	цистерна
fremtidig	бъдеще
fremtidig	бъдещ
fremtidig	бъдещи
fremtidig	бъдещето
fremtidig	бъдеща
plaget	засегнат
plaget	обезпокоен
plaget	проблемна
marmor	мрамор
marmor	топче
rasisme	расизъм
utstedt	издадена
utstedt	издаден
utstedt	емитирани
utstedt	издадени
utstedt	издадено
nåde	мърси
nåde	милосърдие
nåde	милост
nåde	грейс
ich	ich
dortmund	дортмунд
innvandring	имиграцията
innvandring	имиграция
vannkraft	водноелектрическа
cornwall	корнуол
bombe	бомбата
bombe	бомба
pannen	чело
pannen	челото
skvadron	ескадрила
maren	марен
beregning	изчисляване
beregning	изчисление
dominikanske	доминиканската
kinesere	китайци
kinesere	китайска
kinesere	китайско
kinesere	китайски
kinesere	китаец
dukke	кукла
beslutninger	решения
forbehold	резерви
forbehold	резервации
klemens	клеменс
klemens	клемент
sannsynlighet	вероятност
varslet	уведомен
common	обща
common	общ
common	общи
common	чести
gjenopprette	възстановяване
gjenopprette	възстанови
utestengt	забранено
utestengt	забранени
utestengt	забранен
utestengt	забранена
narkotika	лекарства
narkotika	дрога
narkotika	наркотици
dimensjoner	размери
karibia	карибите
brente	изгорена
brente	изгорени
brente	изгорено
brente	изгорял
brente	изгорен
brente	изгорена
brente	изгорени
brente	изгорено
brente	изгорял
brente	изгорен
blokkere	блокирането
blokkere	блокиране
blokkere	блокиране
blokkere	блок
verdslige	светски
platon	платон
hoffmann	хофман
verd	уърт
eierskap	собственост
eierskap	притежание
con	измама
computer	компютър
computer	компютъра
sauer	овце
sauer	овче
sauer	овца
sauer	зауер
kavaleri	кавалерия
kavaleri	кавалерията
greier	неща
sjel	душа
sjel	соул
sjel	душата
fasaden	фасадата
fasaden	фасада
baltimore	балтимор
statsborger	гражданин
modus	режим
modus	modus
idol	идол
engel	ейнджъл
engel	ангел
engel	angel
engel	анхел
fiat	фиат
celle	килия
celle	клетка
dinamo	динамо
ekvator	екватора
