atom	àtom
prijatelje	amistats
sluge	servents
angela	àngela
angela	angela
otpušten	acomiadat
otpušten	disparat
depresije	depressió
monroe	monroe
einstein	einstein
uvela	introduïdes
uvela	introduït
uvela	introduïda
uvela	introduïts
krzna	pells
krzna	pelatge
napusti	excedència
colin	colin
kongu	congo
walt	walt
simpson	simpson
afganistan	afganistan
grove	grove
grove	olivar
pakistana	pakistan
brad	brad
himne	himne
himne	hymns
francisca	francisco
cannesu	canes
cannesu	cannes
schaus	schaus
obavijesti	notificació
obavijesti	notificacions
javi	javi
padaju	falling
padaju	caient
keller	keller
planinu	muntanya
prapovijesti	prehistòria
piva	cervesa
piva	beers
piva	cerveses
upoznati	conèixer
mrežnice	retina
sprječava	impedeix
sprječava	impedeixi
kandidati	candidats
kandidati	candidates
kandidati	aspirants
bsk	bsk
prijateljica	amistat
prijateljica	amic
hara	haa
hara	hara
lakši	encenedor
studirala	estudiat
ravnotežu	balanç
ravnotežu	saldo
ravnotežu	equilibri
gandalf	gandalf
slavna	celebritat
linda	linda
azijski	asiàtics
vicente	vicente
učinkovito	eficient
učinkovito	eficients
učinkovito	efectiu
sauvage	sauvage
raznolikost	diversitat
raznolikost	varietat
umre	mor
živković	zivkovic
surađivati	cooperar
drassodes	drassodes
brončana	bronze
ocjena	qualificació
ocjena	puntuació
ocjena	habilitació
ocjena	puntuació
konsenzus	consens
pomoglo	ajudat
namjeravao	destina
gibb	gibb
učiti	estudiant
marcel	marcel
sinensis	sinensis
arctosa	arctosa
mirna	mirna
mirna	pacífica
greg	greg
kriterija	criteris
izazov	challenge
izazov	repte
izazov	desafiament
deeleman	deeleman
geološki	geològiques
geološki	geològics
banovina	banovina
commonwealtha	mancomunitat
negativan	negatiu
bale	bale
šesto	sisena
šesto	sisè
pax	pax
poir	poir
elite	elit
bombardera	bombarder
mjesečno	mensualment
mjesečno	mensuals
mjesečno	mensual
zabranjuje	prohibeix
leteći	volant
stazama	senders
sljedbenici	seguidors
nacrt	avantprojecte
nacrt	esborrany
sjena	ombra
sjena	shadow
posjetiti	visiteu
posjetiti	visita
kontinent	continent
cca	aprox
brignoli	brignoli
grijeh	pecat
tanasevitch	tanasevitch
putnik	passatger
putnik	viatger
putnik	viatger
rehder	rehder
planova	plans
miloševića	milosevic
bele	bela
dobivena	obtingut
dobivena	obtingudes
dobivena	obtinguda
dobivena	obtinguts
proboj	avenç
proboj	incompliment
ssr	ssr
stupovi	pilars
stupovi	columnes
pittsburgh	pittsburgh
detalj	detall
mišići	músculs
mišići	múscul
algoritam	algorisme
algoritam	algoritme
skladište	magatzem
skladište	emmagatzematge
skladište	emmagatzemament
kostura	esquelet
kostura	esquelets
eve	eve
brandt	brandt
izgubi	perd
potrošnja	consum
učinkovitosti	eficiència
pitao	preguntat
medici	mèdici
organizmi	organisme
organizmi	organismes
zamijenjena	substituït
falls	cascades
mudrosti	saviesa
prepoznaje	reconeix
izolacije	aïllament
prepreka	obstacle
prepreka	obstacles
lucije	luci
kanali	canals
kanali	canals
stabilnosti	estabilitat
liberty	llibertat
pehar	tassa
pehar	cup
topla	warm
topla	càlid
kapeli	capella
matematiku	mates
matematiku	matemàtica
matematiku	matemàtiques
matematiku	matemàtica
candida	candida
standardno	estàndard
stolac	cadira
stolac	tamboret
konstruirao	construïts
reci	say
modula	mòduls
modula	mòdul
izračunati	calcula
izračunati	calcular
julie	julie
terminal	terminal
četvrtine	quarts
četvrtine	trimestres
susrete	trobades
dano	donades
dano	donada
sebastes	sebastes
prilagođen	adaptat
prilagođen	adaptada
hugh	hug
hugh	hugh
nacisti	nazi
nacisti	nazis
airways	airways
pouzdano	fiable
imenica	substantiu
stanislav	stanislav
uređaje	dispositius
imenovanje	designació
imenovanje	cita
imenovanje	nomenament
planiranja	planificació
planiranja	planejament
zadovoljava	satisfà
preostala	restant
preostala	restants
perzije	pèrsia
bombarder	bombarder
galeb	gavina
galeb	gavina
hvata	capta
hvata	captures
zamišljen	concebut
zamišljen	concep
zamišljen	concebuda
kuba	cuba
ajax	ajax
vlage	humitat
homoseksualnost	homosexualitat
alati	eines
zaštićen	protegit
fricke	fricke
barokna	barroca
barokna	barroc
kronološki	cronològic
mode	moda
mode	fashion
kanadska	canadà
kanadska	canadenc
lansiranje	llançament
izjavu	declaració
meek	manso
mesto	lloc
mesto	place
kvalitetno	qualitat
mediteranske	mediterrània
mediteranske	mediterrani
rundi	rondes
opisa	descripció
ulicu	carrer
fisch	fisch
erich	erich
tenuis	tenuis
romeo	romeu
pojedinac	individu
pojedinac	individuals
pojedinac	individual
cox	cox
kontekst	context
dozvola	llicència
dozvola	permís
dozvola	llicència
dozvola	permís
meksička	mexicà
ovce	ovella
ovce	ovelles
ovce	oví
vita	vita
blagoslov	benedicció
blagoslov	benediccions
blagoslov	encarar
nafta	oli
izgaranje	combustió
robusta	robusta
davanje	donant
zvono	bell
zvono	timbre
zvono	campana
majstori	masters
majstori	amos
izgubljena	perduda
izgubljena	perduts
izgubljena	lost
izgubljena	perdut
nož	ganivet
migracije	migració
todd	todd
nintendo	nintendo
promijenjen	canviades
promijenjen	canviat
promijenjen	canviada
svjedoci	testimonis
komitet	comitè
dina	dina
gledao	mirava
gledao	vigilat
tragedije	tragèdies
tragedije	tragèdia
civilna	civil
buxwv	buxwv
bridge	pont
bridge	bridge
mila	mila
fauna	fauna
sličnost	semblança
sličnost	semblança
sličnost	similitud
vermont	vermont
dozvole	permisos
dozvole	llicències
dozvole	llicencies
dozvole	permisos
podružnice	subsidiàries
programiranje	programacions
programiranje	programació
poslana	enviats
poslana	enviat
prizor	escena
trbuh	estómac
trbuh	panxa
trbuh	belly
jednakost	igualtat
clinton	clinton
orijentacija	orientació
kupi	compra
kupi	buy
kupi	comprar
zaposlenika	empleat
zaposlenika	empleats
dne	dne
gospodari	masters
gospodari	amos
aktivist	activista
lada	lada
istván	istván
padovi	pàdua
uništi	destruir
potrošača	consumidor
laser	laser
laser	làser
vanja	vània
zvuči	sons
lopatice	escàpula
parametar	paràmetre
upozorio	avisat
upozorio	advertit
zidove	murs
zidove	parets
civilni	civil
betty	betty
radikalne	radical
magnus	magnus
rektor	rector
obožavatelji	fans
obožavatelji	admiradors
obožavatelji	ventiladors
maternice	prolapse
guma	cautxú
guma	pneumàtics
guma	canso
guma	pneumàtic
janice	janice
snimljeno	rodat
snimljeno	enregistrat
poboljšati	potenciar
poboljšati	milloren
poboljšati	millorar
pakistanu	pakistan
dawson	dawson
ograničene	limitades
ograničene	limitat
ograničene	limitats
laži	mentides
tuber	tuber
prijatelju	amistat
prijatelju	amic
vozači	controladors
vozači	conductors
vozači	xofers
rome	rom
izvući	extreu
izvući	extracte
elektroda	elèctrode
klinika	clínica
klinika	clinic
plivanje	nedar
plivanje	natació
zadovoljiti	satisfer
psihološki	psicològic
psihološki	psicològica
psihološki	psicològicament
progon	persecució
zagrijavanje	escalfament
topništvo	artilleria
tetragnatha	tetragnatha
rgb	rgb
alma	alma
newman	newman
opasan	perillós
opasan	perillosos
istanbulu	istanbul
paviljon	pavelló
kontinentu	continent
muško	masculí
muško	mascle
norma	norma
norma	norma
prodano	venut
prodano	venuda
piano	piano
gaze	gasa
gaze	gaza
wade	wade
regent	regent
niš	niš
parne	evens
escobar	escobar
nastavnik	mestra
disco	discoteca
disco	disco
adresu	adreça
misleći	pensant
hiv	vih
sacc	sacc
glasove	votacions
glasove	vots
glasove	veus
neda	ned
trave	herba
trave	herba
opremljeni	equipada
opremljeni	equipats
opremljeni	equipat
tenkove	tancs
jaguar	jaguar
zadovoljan	satisfet
zadovoljan	satisfets
zadovoljan	content
pob	pob
hana	hannah
hana	han
hana	hanna
mitra	mitra
halen	halen
marvin	marvin
željezni	fèrrics
petrovac	petrovac
naglasio	subratllat
vraćena	restaurada
vraćena	restaurat
upravljati	gestiona
upravljati	gestionar
arhitekti	arquitectes
zlatan	zlatan
danak	homenatge
izlaganje	exposició
osjetila	sentits
osjetila	sentia
osjetila	feltre
cola	coca
cola	cola
krede	cretaci
matematika	mates
matematika	matemàtica
matematika	matemàtiques
matematika	matemàtica
adriana	adriana
sastojak	ingredient
osnivači	fundadors
tamna	fosc
annie	annie
mega	mega
triler	thriller
nasljeđuje	hereta
aviv	aviv
sisavci	mamífers
hitchcock	hitchcock
ira	ira
ekstremno	extrem
ekstremno	extrema
ekstremno	extreme
evermann	evermann
sevilla	sevilla
posjete	visites
ward	ward
carevi	emperadors
rtv	rtv
juda	judes
juda	judà
prognoza	pronòstic
prognoza	previsió
korisne	útil
twin	bessó
twin	twin
diane	diane
schmitz	schmitz
diels	diels
pristupiti	accedit
iskapanja	excavació
iskapanja	excavacions
guarani	guaraní
slame	palla
žuto	groc
rodrigues	rodrigues
biologije	biologia
kancelar	canceller
neslaganja	desacord
kartica	pestanya
kartica	tab
kartica	targeta
dijagnoza	diagnosi
dijagnoza	diagnòstic
nevjerojatno	increïble
nevjerojatno	increible
financijska	financer
financijska	financera
ubrzano	accelerat
dnevna	daily
cephalotes	cephalotes
giorgio	giorgio
prepoznatljiv	reconeixibles
