gana	ghana
butler	majordom
autizam	autisme
mia	mia
krvarenje	sagnat
neal	neal
grosso	grosso
potrebnih	requerit
potrebnih	requerida
potrebnih	requerits
poslovi	treballs
ustavna	constitucional
ustavna	constitucionals
pravda	justicia
pravda	justícia
ovce	ovella
ovce	ovelles
ovce	oví
nastavnika	mestres
nastavnika	professors
nastavnika	docents
nastavnika	professorat
sreća	felicitat
baba	baba
arturo	arturo
procvat	boom
prometej	prometeu
hendry	hendry
ukraden	robada
ukraden	robat
girls	xiques
girls	nenes
girls	noies
girls	girls
zdenko	zdenko
liège	lieja
društvima	societats
shodno	conseqüentment
shodno	consegüentment
tempo	tempo
zastupljena	representada
zastupljena	representats
zastupljena	representades
zastupljena	representat
tvrdnju	reivindicació
tvrdnju	reclamació
kršenja	violacions
tamna	fosc
unicode	unicode
političari	polítics
helmut	helmut
suprotnost	oposat
suprotnost	contrari
track	pista
track	peça
julie	julie
integracija	integració
deveti	novè
štetnih	nocius
štetnih	nocives
štetnih	nociu
odraz	reflexió
raf	raf
bata	bata
rukopis	manuscrit
vanadij	vanadi
zora	zora
lenjin	lenin
stanište	hàbitat
jata	eixams
jata	shoals
ranko	ranko
edge	vora
edge	edge
jasenovac	jasenovac
opisa	descripcions
alternativa	alternatiu
alternativa	alternativa
alternativa	alternatives
globalno	globalment
globalno	global
globalno	globals
alfredo	alfredo
dozvolio	permesos
dozvolio	permès
pierluigi	pierluigi
chang	chang
miš	ratolí
quinn	quinn
koncentraciju	concentració
koncentraciju	concentrant
gibraltara	gibraltar
pobunjenici	rebels
kragujevac	kragujevac
licence	llicència
aleksa	alexa
hardy	hardy
petersen	petersen
koplje	lance
koplje	llança
algebra	àlgebra
dei	dei
proučavaju	estudiant
kefej	cefeu
penn	penn
joda	yoda
saksofon	saxòfon
viskoznost	viscositat
linda	linda
pokazatelj	indicació
saveznik	aliat
sigismund	segimon
carina	carina
carina	duanes
carina	costums
hernández	hernández
ubrzano	speedy
trudna	embarassada
trudna	embarassades
otrovni	tòxic
otrovni	tòxics
otrovni	verinosa
otrovni	verinós
tipičan	típica
tipičan	típic
čudovište	monster
čudovište	monstre
udario	encertar
udario	hit
serijski	serial
mato	mato
ratnici	warriors
ratnici	guerrers
odlučiti	decidir
palanka	palanka
pomorski	naval
pomorski	marítim
kokain	cocaïna
antitijelo	anticòs
sidney	sidney
spore	espores
spore	spore
gerald	gerald
kuga	plaga
kuga	pesta
podržao	subvencionat
podržao	recolzada
beşiktaş	beşiktaş
arte	arte
ginny	ginny
demosten	demòstenes
proslave	celebracions
proslave	celebració
ostavivši	deixant
uzimanja	tenint
identične	idèntiques
identične	idèntic
binarni	binària
binarni	binari
patton	patton
spojen	acoblat
hal	hal
jeremy	jeremy
ellis	ellis
mup	mup
visost	majestat
cistein	cisteïna
vernon	vernon
stilova	estils
tajland	tailàndia
predsjednici	presidents
nach	nach
babilon	babilònia
aktiviraju	activa
fizičko	físic
eintracht	eintracht
sivi	gris
sivi	grey
winston	winston
nasljedna	hereditari
potrošnja	despesa
potrošnja	consum
nemira	motí
facebook	facebook
živo	vivint
etika	ètica
prijetnju	amenaça
curie	curie
hladno	fred
zavjere	conspiració
izolacije	aïllament
fry	fry
sampras	sampras
automobile	cars
automobile	cotxes
automobile	automòbils
rossington	rossington
bergman	bergman
letovi	vols
emocija	emoció
emocija	emocions
dukata	ducats
geoffrey	geoffrey
crta	dibuixa
browning	browning
icty	icty
jednakosti	igualtat
pisan	escrit
jede	menjant
jede	menja
istván	istván
jaje	ou
bahrein	bahrain
jasan	neteja
jasan	clars
guns	armes
guns	guns
sigma	sigma
polimera	polímer
kontinuitet	continuïtat
očekivanja	expectatives
nastavu	instrucció
rekonstrukcije	reconstrucció
poštuje	respecta
poštuje	respecti
poštuje	respectes
suze	llàgrimes
suze	suze
regulira	regula
regulira	regulin
mao	mao
grissom	grissom
shaw	shaw
blage	lleus
blage	lleu
julia	julia
julia	júlia
kutije	caixes
oštre	sharp
oštre	sostingut
spašavanje	desant
spašavanje	estalvi
spašavanje	rescat
spašavanje	salvament
hart	hart
saradnici	associats
saradnici	útil
predsjedavajući	altaveu
ulazni	input
ulazni	aportació
portland	portland
napoléon	napoléon
dario	dario
kontroverze	controvèrsia
kontroverze	polèmica
incident	incident
mjehur	bombolla
mjehur	bufeta
katalizator	catalitzador
monako	mònaco
monako	monaco
hemisfere	hemisferis
polimeraza	polimerasa
anatomija	anatomia
bacanje	tirant
carevi	emperadors
buffalo	buffalo
grijeh	pecat
sanja	somnis
putnici	passatgers
putnici	viatgers
pismenost	alfabetització
svjedoci	testimonis
izdali	expedit
izdali	emès
izdali	traït
lukom	all
lukom	alls
intervencija	intervenció
messi	messi
palestina	palestina
izmislio	inventat
hannover	hannover
cres	cres
zasigurno	certament
hsp	hsp
prevođenje	traducció
finansiranje	finançament
finansiranje	finançament
toplim	warm
toplim	càlid
četrnaest	catorze
granger	granger
nauru	nauru
keane	keane
rješavanja	resoldre
tvrdili	reclamava
tvrdili	reclamat
identičan	idèntiques
identičan	idèntic
gospodaru	lord
gospodaru	senyor
panathinaikos	panathinaikos
kazanj	kazan
posjetu	visiteu
posjetu	visita
amazon	amazon
amazon	amazona
rooney	rooney
izdavačka	edició
izdavačka	publicant
bagdad	bagdad
aur	aur
diva	diva
kupila	comprats
šećerna	diabetis
četnici	txètniks
komentara	comentari
komentara	comenta
bebek	bebek
ibrahima	abraham
franak	franc
uništeni	destruït
uništeni	destruïda
krompir	patates
krompir	patata
proširili	ampliat
kaunas	kaunas
dmitrij	dmitri
dmitrij	dmitri
pjesnici	poetes
junior	júnior
junior	junior
junior	subalterns
bologna	bologna
bologna	bolonya
viteza	cavaller
gaston	gaston
mliječni	làctics
mliječni	lacti
duhovni	espiritual
općinsko	municipal
općinsko	municipals
miles	milles
miles	kilòmetres
miles	quilòmetres
presuda	veredicte
iranska	iranià
zabrane	prohibint
rivala	rival
astronomi	astrònoms
mauzolej	mausoleu
pokrivena	cobert
pokrivena	cobertes
banana	plàtan
banana	banana
tomas	tomas
manhattan	manhattan
sokol	sokol
kuge	plaga
kuge	pesta
supernova	supernoves
supernova	supernova
epa	epa
oman	oman
argon	argon
štetno	nocius
štetno	nocives
štetno	nociu
azkabana	azkaban
mobilne	mòbil
handke	handke
cnn	cnn
