wikisource	вікіджерела
botanic	ботанічний
taxon	таксон
ทัณฑ์บน	parole
fai	fai
fai	фай
petite	петіт
études	етюди
broker	брокер
continuum	континуум
ติดตลก	дотепний
fia	fia
adb	adb
ejective	ejective
valencian	валенсійська
ดรอป	крапля
ดรอป	викинути
ดรอป	скинути
ดรอป	кинути
rodentia	rodentia
henrik	генрік
bafta	bafta
การขนส่งมวลชน	проходження
loc	лок
bonn	бонн
เมกะเฮิรตซ์	мгц
sixteen	шістнадцять
บังตา	осліп
บังตา	сліпі
oakland	окленд
tensor	тензор
oro	оро
กระเด้ง	пружні
ขาอ่อน	стегна
dns	dns
ttl	ttl
นรีแพทย์	гінеколог
adagio	adagio
แชท	спілкування
แชท	балачки
แชท	чат
africanus	африканський
africanus	африкан
internazionale	internazionale
moo	му
zap	розрядом
buryatia	бурятія
เอเย่นต์	агент
espada	espada
mississippian	mississippian
shockley	шоклі
germplasm	germplasm
infraclassis	infraclassis
outdoor	надворі
polydor	polydor
influenzae	influenzae
barbus	марена
imc	imc
เปเป	пепе
เปเป	перу
hodder	hodder
bodyguard	охоронець
bodyguard	охоронці
nfc	nfc
samba	samba
dreamworks	dreamworks
raion	район
minimal	мінімальна
minimal	мінімальне
ntsc	ntsc
viz	viz
torii	торії
mcv	mcv
casio	casio
barron	баррон
özil	езіл
subunit	субодиниця
pur	pur
ช๊อค	шок
เตารีด	залізний
เตารีด	залізо
เตารีด	залізна
เตารีด	заліза
coturnix	coturnix
plexus	сплетіння
voc	voc
prefectural	префектурний
subphylum	subphylum
reine	рен
governorate	губернія
hohenzollern	гогенцоллерн
saya	сая
หวานๆ	солодка
หวานๆ	солодкі
หวานๆ	солодкий
urs	урс
tyrosine	тирозин
céline	селін
theropoda	тероподи
tuva	тива
wikivoyage	вікімандри
mms	mms
lexikon	lexikon
dmc	dmc
montréal	монреаль
bara	бара
vin	vin
webos	webos
gpp	gpp
มึนงง	слабкість
humboldt	гумбольдт
nike	nike
nike	ніка
เนธาน	натан
iter	iter
paleocene	палеоцен
ops	центр
nisi	nisi
degeneres	дедженерес
blackberry	blackberry
โชคลาง	забобонами
marius	маріус
oligocene	олігоцен
bsc	bsc
commuter	приміський
regio	regio
บังกะโล	котеджі
mps	mps
hrsg	hrsg
นิกิ	нікі
ซื่อๆ	наївна
ซื่อๆ	наївний
rip	пухом
rip	білет
rip	rip
smtp	smtp
sus	сус
diffusivity	дифузії
pedersen	педерсен
dag	даг
epiphyte	епіфіти
fila	fila
phasianidae	фазанові
pang	пан
nicky	нікі
nicky	микита
motogp	motogp
palermo	палермо
meryl	меріл
เบลิซ	белізу
vojvodina	воєводина
abbaye	аббе
dukes	герцогів
mita	міта
prc	кнр
parque	parque
rondo	rondo
amr	амр
spielberg	спілберг
เหยาะ	яо
villosa	villosa
rambur	rambur
catedral	catedral
hannover	hannover
joanna	джоанна
iglesias	іглесіас
mobygames	mobygames
augsburg	augsburg
historiography	історіографія
wmflabs	wmflabs
outre	утр
affricate	африкат
อาร์ตี้	арті
องคชาติ	пеніс
nsw	nsw
fbid	fbid
acs	acs
nail	nail
wimax	wimax
aes	aes
zum	зам
reina	рейна
afi	afi
kalmykia	калмикія
cvn	cvn
andersson	андерссон
เพลีย	втомився
เพลีย	втомилися
maga	крав
svensson	свенссон
emporis	emporis
ffb	ffb
tpp	тпп
apex	apex
เด็บ	deb
enwiki	enwiki
homme	homme
borderline	межовий
uzb	uzb
pwr	pwr
catchment	catchment
ether	етер
tdma	tdma
tcm	tcm
adv	adv
asc	asc
vaillant	vaillant
gadgets	дрібнички
gsp	преференцій
bund	bund
palacio	паласіо
série	série
eros	ерос
lgbt	лгбт
icann	icann
schum	schum
rihanna	rihanna
blitz	бліц
nur	нур
bouvier	bouvier
aniplex	aniplex
shoten	shoten
situ	situ
kendall	кендалл
castelnau	кастельно
stripe	stripe
sylvia	сільвія
esse	esse
ptg	ptg
clustering	кластеризація
หลานๆ	внуки
หลานๆ	внуків
หลานๆ	онуки
mycobacterium	mycobacterium
omg	omg
openbsd	openbsd
vipera	гадюка
dolce	dolce
oto	oto
peterborough	пітерборо
civ	civ
barker	баркер
vivo	vivo
buch	бух
truncatus	truncatus
bibcode	bibcode
opengl	opengl
บลูเบอร์รี	підкреслюють
mtb	мтб
consolidation	консолідації
sixty	шістдесят
pskov	псков
federalism	федералізм
politique	politique
ซุปเปอร์มาร์เก็ต	супермаркет
ซุปเปอร์มาร์เก็ต	супермаркетів
volvo	volvo
disambig	disambig
deus	deus
clostridium	clostridium
dylan	ділан
mollis	mollis
puy	пюї
battista	баттіста
เปล่งปลั่ง	світиться
milo	міло
เฮ้	агов
เฮ้	привіт
เฮ้	здоров
nikon	nikon
sana	sana
คอแห้ง	пити
ไพค์	щука
ไพค์	пайк
freenode	freenode
gucci	gucci
gerd	герд
kari	карі
naoh	naoh
gourmet	гурман
chembox	chembox
flava	flava
snak	snak
uptown	багата
ansi	ansi
soccerway	soccerway
เคอร์เซอร์	курсор
mola	мола
imo	imo
richelieu	рішельє
tenth	десяту
tenth	десятий
roadster	roadster
ymca	ymca
saku	саку
localisation	локалізація
primorsky	приморський
getty	getty
tunguska	тунгуска
hsdpa	hsdpa
สมิทธ์	сміт
rolfe	rolfe
ทำครัว	кухні
ทำครัว	кухня
ทำครัว	кухню
sfr	сфр
rtl	rtl
vir	вир
roundel	roundel
nativename	nativename
เบ็ท	бет
rosetta	розетта
suomen	suomen
trump	трамп
nach	nach
mordovia	мордовія
pteropus	крилан
bose	бозе
tep	теп
madagascariensis	madagascariensis
cero	cero
eutheria	eutheria
bbb	bbb
tif	tif
todor	тодор
ฟินช์	фінч
earn	заробляти
earn	заслужити
kuni	куні
adolph	адольф
hilton	hilton
abdel	абдель
ไฟร์เบิร์ด	firebird
wrc	wrc
regency	regency
vos	вос
donau	дунаї
lago	лаго
spyder	spyder
texture	текстура
texture	текстури
prestel	prestel
lcc	lcc
boomerang	бумеранг
stephan	стефан
stephan	штефан
tvk	твк
wikilinks	wikilinks
shōjo	shōjo
aldansky	алданський
haliaeetus	haliaeetus
jeju	чеджу
clr	clr
eme	eme
ovata	ovata
โฮลท์	голт
mls	mls
uma	ума
tem	tem
ดุค	герцог
ดุค	дюк
asm	asm
dod	dod
shueisha	shueisha
spiegel	spiegel
cheers	будьмо
fen	болото
sergio	серхіо
markus	маркус
triomphe	triomphe
chanel	chanel
chanel	шанель
niosh	niosh
oliveira	олівейра
eazy	eazy
hermes	гермес
bernhard	бернгард
mus	мус
herrera	еррера
sven	свен
อาลิ	алі
kirov	кіров
ใจแข็ง	підвалах
ลอตเตอรี่	лотерея
jdbc	jdbc
astrakhan	астрахань
ipo	ipo
tms	tms
หือ	га
บริกส์	бріґґз
ฟรอสท์	мороз
func	func
lgpl	lgpl
เซจ	sage
shiki	сікі
forte	forte
ทะนุถนอม	плекати
