libanas	libanon
paskirstymas	tilldelning
paskirstymas	fördelning
paskirstymas	uppdelning
paskirstymas	fördelning
paskirstymas	nedbrytning
paskirstymas	fördelning
paskirstymas	distribution
tiriami	provade
tiriami	testade
tiriami	testad
tiriami	testat
moses	mose
moses	moses
eritrėja	eritrea
meteoritas	meteorit
ruiz	ruiz
derėtis	förhandla
niufaundlando	newfoundland
maserati	maserati
ogc	ogc
rainbow	rainbow
rainbow	regnbåge
kontracepcijos	preventivmedel
bangor	bangor
persekiojami	förföljda
persekiojami	förföljd
persekiojami	förföljde
persekiojami	förföljt
persekiojami	förföljs
leto	leto
beata	beata
plikas	skallig
laikrodžiai	klockor
laikrodžiai	klockor
krosnis	ugn
krosnis	ugn
krosnis	ugnen
malcolm	malcolm
bmg	bmg
wordpress	wordpress
burchard	burchard
laidumas	ledningsförmåga
butanas	butan
wow	wow
wow	oj
logiškai	logiskt
diktatūra	diktaturer
diktatūra	diktatur
diktatūra	diktaturen
renato	renato
dancigo	danzig
owen	owen
direktoriai	direktörer
direktoriai	regissörer
direktoriai	styrelseledamöter
apyrankės	armband
lynn	lynn
soros	hirs
seminaras	verkstad
seminaras	workshop
seminaras	seminarium
seminaras	seminarium
seminaras	seminariet
čerčilis	churchill
draugės	kompisar
draugės	vänner
aortos	aorta
legionas	legion
legionas	legionen
kerštas	hämnd
kerštas	revansch
kerštas	hämnd
kerštas	hämnas
tibetas	tibet
miao	miao
kalvis	smeden
kalvis	smed
kambodža	kambodja
drąsiai	tappert
romero	romero
stadio	stadio
tokelau	tokelau
konstantos	konstanter
raiteliai	ryttare
buitinių	hushålls
buitinių	hushåll
buitinių	hushållet
buitinių	kommunal
buitinių	kommunalt
buitinių	kommunala
skylė	hål
skylė	hole
simboliškai	symboliskt
kardą	svärd
warcraft	warcraft
guido	guido
viskonsino	wisconsin
rimta	seriös
rimta	seriöst
rimta	allvarliga
rimta	allvarlig
rimta	allvarligt
miko	miko
socializmas	socialism
socializmas	socialismen
stabilus	stabil
stabilus	stabila
stabilus	stall
stabilus	stallet
stabilus	stabilt
nevis	nevis
mesopotamija	mesopotamien
gandras	stork
netikras	falska
netikras	falskt
netikras	fake
sapiens	sapiens
grenlandija	grönland
grenlandija	grönländska
skaičiavimus	beräkningar
skaičiavimus	beräkningarna
teo	theo
kor	kor
rodezijos	rhodesia
kaldera	caldera
kiūšiū	kyushu
gijos	trådar
len	len
coloma	coloma
grafinė	grafiska
grafinė	grafisk
grafinė	grafiskt
eduard	eduard
tres	tres
varškės	torpet
varškės	stugan
varškės	stuga
norintiems	önskar
piper	piper
epa	epa
nerimą	alarmerande
nerimą	oroväckande
nerimą	oroväckande
nerimą	oroande
asunsjonas	asuncion
griežtą	rigoröst
griežtą	rigorösa
rogučių	sledge
rogučių	släde
skersinis	tvärgående
skatinimas	främjande
skatinimas	befordran
skatinimas	marknadsföring
skatinimas	kampanj
gangsteris	gangster
hnk	hnk
astrachanės	astrakan
sankryža	rondellen
jutos	utah
mayer	mayer
atkrintamųjų	slutspel
baigtos	slutfört
baigtos	avslutad
baigtos	avslutade
baigtos	slutförd
baigtos	avslutat
reguliuojamas	justerbar
reguliuojamas	justerbara
sunitų	sunni
aronas	aaron
aronas	aron
antigva	antigua
cfc	cfc
cfc	cfc
geografiniai	geografiskt
geografiniai	geografisk
geografiniai	geografiska
seda	seda
išdavimo	utfärdande
išdavimo	utgivande
išdavimo	utfärdar
paša	pasha
eksperimentus	experiment
pasėlių	gröda
pasėlių	beskära
technikai	tekniker
sofi	sofi
prieštaravimų	invändningar
sekretoriatas	sekretariat
sekretoriatas	sekretariatet
pašalinamas	utsöndring
dir	dir
ilgalaikės	långsiktiga
ilgalaikės	långsiktig
dumblas	slam
dumblas	slammet
saba	saba
kaupimo	dela
kaupimo	delning
kaupimo	delar
slepia	döljer
slepia	hudar
linijinis	linjär
linijinis	linjära
linijinis	linjärt
žvejys	fiskare
juostele	stripe
niger	niger
omega	omega
genomo	genomet
jet	jet
pjovimo	skär
pjovimo	styckning
atlyginimas	lön
atlyginimas	löner
atlyginimas	ersättning
atlyginimas	lön
soma	soma
angų	öppningar
sutrikimą	förvirring
patarimų	rådgivning
patarimų	råd
brangus	kära
raudų	klagan
būgnas	trumma
morena	morena
puškinas	pushkin
skyrybos	skilsmässor
skyrybos	skilsmässa
nuovargis	utmattning
nuovargis	trötthet
borgo	borgo
ofc	ofc
bethoveno	beethoven
genas	gene
genas	gen
genas	genen
vaikšto	walking
vaikšto	gående
vaikšto	vandrande
vaikšto	promenerar
vaikšto	promenad
vaikšto	promenader
jachtos	yachter
šeimose	inkommande
vittorio	vittorio
gipso	gips
gipso	puts
gipso	gips
cenzūra	censur
ogovės	ogooué
urdu	urdu
kroft	torpet
kroft	croft
šengeno	schengensamarbetet
šengeno	schengen
mega	mega
vožtuvų	ventil
ūkininkavimo	odling
ūkininkavimo	jordbruk
ūkininkavimo	lantbruk
diplomatinis	diplomatisk
diplomatinis	diplomatiskt
diplomatinis	diplomatiska
lira	lira
lira	lire
durst	durst
palladio	palladio
minios	folkmassor
taros	tare
aik	aik
šaudo	skjuter
gru	gro
guma	tuggummi
skydliaukės	sköldkörteln
valė	valais
bevardis	namnlös
manas	manen
katy	katy
junano	yunnan
tamsa	mörkret
tamsa	mörker
taičio	tahiti
hani	hani
vargas	vargas
plėšikai	rånare
toma	toma
pilsudskis	piłsudski
apolonija	apollonia
martínez	martinez
martínez	martínez
chloridas	klorid
išlaikymo	bibehållande
pažintis	förbinder
pažintis	anslutande
pažintis	ansluter
pažintis	ansluta
parodija	parodi
android	android
puošnioji	harlekin
virvės	rep
virvės	rep
virvės	linor
virvės	snöre
dsc	dsc
gleivių	slem
lynai	rep
lynai	linor
sil	sil
camila	camila
matricos	matrisen
matricos	matrix
matricos	matris
matricos	matriser
septintoji	sjunde
septintoji	seventh
trąšos	gödsel
trąšos	gödningsmedel
trąšos	gödningsmedel
trąšos	gödningsmedel
trąšos	gödningsmedel
patikimumas	trovärdighet
patikimumas	trovärdigheten
skaičiavimai	beräkningar
skaičiavimai	beräkningarna
valdytojų	guvernörer
mangrovių	mangrove
pagalbininkas	hjälpreda
pagalbininkas	hjälpare
milošas	milos
vhs	vhs
graf	graf
barzda	skägget
barzda	skägg
stabdžių	bromsar
stabdžių	broms
stabdžių	bromsa
stabdžių	bromsen
hahn	hahn
specializuota	specialiserade
specializuota	specialiserat
specializuota	specialiserad
blanco	blanco
vielos	tråd
vielos	ståltråd
franciskas	francisco
hinduizmas	hinduism
atsakymai	svar
atsakymai	svara
atsakymai	svar
atsakymai	svaren
atsakymai	svar
atsakymai	svarar
dviratininkų	cyklister
panaikinimas	upphäva
panaikinimas	upphävande
dumblo	slam
dumblo	slammet
muitinė	tullen
muitinė	tull
pranašumas	övertag
pranašumas	fördelar
pranašumas	fördel
geffen	geffen
adamavos	adamawa
drake	drake
libertas	libertas
giulio	giulio
geleris	geller
vizualiai	visuellt
druskingumas	salthalt
mėsinga	köttiga
sugriuvo	rasat
sugriuvo	kollapsade
sugriuvo	kollapsat
kubica	kubica
mielės	jäst
mielės	norman
mielės	jäst
salotos	sallad
salotos	sallat
salotos	sallader
salotos	sallad
fašistų	fascistiska
fašistų	fascist
formatavimo	formatera
formatavimo	formatering
fanai	fläktar
fanai	fans
palmė	jumeirah
svyravimai	svängningar
svyravimai	fluktuationer
šiongnu	xiongnu
dovanos	välsignelser
dovanos	välsignelse
pipirų	pepper
pipirų	peppar
pipirų	paprika
cementas	cement
epic	episk
prekė	handelsvara
prekė	råvara
taro	taro
svarstyklės	vikter
kreiseris	kryssare
zimbru	zimbru
nepatenkintas	missnöjda
nepatenkintas	missnöjd
kirgizija	kirgizistan
gėlų	gaeliska
reitingus	betyg
hughes	hughes
kiurasao	curaçao
įsigijimo	anskaffning
įsigijimo	förvärv
bartolomeo	bartolomeo
sietlo	seattle
thomson	thomson
sutrumpintas	förkortade
sutrumpintas	förkortad
sutrumpintas	förkortat
sutrumpintas	kortare
rūkyti	rökt
rūkyti	rökta
rūkyti	rökte
palankus	kinder
palankus	snällare
publika	målgrupper
pasakotojas	berättare
atidėtas	uppskjutet
atidėtas	uppskjuten
atidėtas	uppskjutet
atidėtas	uppskjuten
aitvaras	drake
jautri	känsliga
jautri	känsligt
jautri	känslig
res	res
res	mes
bas	bas
feyenoord	feyenoord
pareigūnams	ämbetsmän
pareigūnams	tjänstemän
kepenys	lever
kepenys	levern
magnum	magnum
iškaltas	skulpterade
kaltę	skuldkänslor
kaltę	skuld
zil	zil
atsparumą	motstånd
atsparumą	motståndskraft
atsparumą	resistens
atsparumą	motståndsrörelsen
atsparumą	beständighet
atsparumą	motståndskraft
england}}	england}}
patarė	underrättade
patarė	rådde
patogus	bekvämt
patogus	behagligt
patogus	bekväma
patogus	bekväm
karla	karla
riaušės	upplopp
riaušės	upploppen
dažniausi	populärt
dažniausi	popular
dažniausi	populär
dažniausi	populära
stan	stan
svajonė	dream
svajonė	dröm
toros	toros
karjerai	karriär
karjerai	karriärer
minkštimas	pappersmassa
minkštimas	massa
teršalų	förorening
emigracija	utflyttning
emigracija	utvandring
lėtinis	kronisk
lėtinis	kroniskt
lėtinis	kroniska
kaltinimų	beskyllningar
kaltinimų	anklagelser
bespalvis	färglös
bespalvis	färglösa
maestro	maestro
eden	eden
aiškinimo	tolkningen
aiškinimo	tolkning
galapagų	galapagos
dub	dub
mišiniai	blandningar
pašalinimas	uttag
pašalinimas	uttagen
vaškas	vax
vaškas	wax
kaiserslautern	kaiserslautern
arp	arp
laidai	kablar
laidai	ledningar
aba	aba
užsiėmimai	sessioner
komplektas	kit
išmintis	visdom
išmintis	klokhet
išmintis	vishet
nuotėkio	läcka
nuotėkio	läckage
nuotėkio	läckage
migruoti	migrera
nascar	nascar
dniepropetrovsko	dnipropetrovsk
ultra	ultra
alkaloidų	alkaloider
siuzana	susan
krc	krc
amstrad	amstrad
bambuko	bambu
nereikalingas	manken
nereikalingas	withers
nereikalingas	vissna
medėja	medea
scherzinger	scherzinger
goa	goa
apribojimus	restriktioner
luhansko	luhansk
miami	miami
vištos	kycklingar
vištos	höns
vištos	hönor
vištos	höna
vištos	kyckling
žmoniją	medmänsklighet
žmoniją	mänsklighet
žmoniją	mänskligheten
pasiūlymai	bud
pasiūlymai	förslag
pasiūlymai	anbud
gabonas	gabon
liejimo	gjutna
liejimo	gjutning
bobo	bobo
kenos	qena
bilietai	biljetterna
bilietai	biljetter
rijeka	rijeka
adm	adm
darfūro	darfur
įrengimas	montering
įrengimas	installation
įrengimas	anläggning
oneginas	onegin
eukaliptų	eucalyptus
pažįstamas	bekanta
pažįstamas	bekant
pažįstamas	familjär
pažįstamas	välbekant
lps	frihandelsavtal
melas	lögn
melas	ljuga
troleibusai	trådbussar
universität	universität
greiti	snabbt
greiti	snabb
greiti	snabba
jens	jens
platinimas	fördelning
platinimas	distribution
streikas	strike
streikas	strejk
zinaida	zinaida
yehuda	yehuda
neoficiali	inofficiell
neoficiali	inofficiella
neoficiali	inofficiellt
aria	aria
krakmolas	stärkelse
krakmolas	stärkelse
kravitz	kravitz
kanye	kanye
lan	lan
bristolio	bristol
flores	flores
grafinis	grafik
grafinis	grafiska
grafinis	grafisk
grafinis	grafiskt
prašau	snälla
prašau	vänligen
panašumo	likhet
panašumo	likheter
impulsų	baljväxter
impulsų	pulser
babilonas	babylon
atsiųsti	hämta
atsiųsti	nerladdning
atsiųsti	nedladdning
jautienos	nötkött
korėjiečiai	koreaner
įtvirtinimas	förankra
įtvirtinimas	förankring
benzino	bensin
pėdsakus	ledtrådar
dvikova	duell
dvikova	duellen
smuklė	krog
smuklė	värdshus
vaistininkas	apotekare
vaistininkas	farmaceut
garantijų	garanti
garantijų	garantier
garantijų	garanterar
durklas	dolk
durklas	dolken
timothy	timothy
giant	jätte
fontana	fontana
wembley	wembley
romų	romer
romų	roma
leidimus	tillstånd
aloe	aloe
kiaušinis	egg
kiaušinis	ägg
koši	cauchy
blauzdos	lår
blauzdos	låret
nojus	noa
nojus	noah
karma	karma
tinamas	tinamo
furjė	fourier
aso	aso
instrumentinis	bidragande
ficus	ficus
aura	aura
įsipareigoja	begår
įsipareigoja	åtar
dieter	dieter
mango	mango
tolerancijos	tolerans
kopros	kopra
veidai	wade
veidai	ansikten
veidai	ansiktena
žūklės	fångst
žūklės	fånga
žiurkių	råttor
wang	wang
moralė	moralen
moralė	moral
placebo	placebo
pacientas	patientens
pacientas	patienten
pacientas	patient
pacientas	tålmodiga
kepti	friterad
kepti	stekta
kepti	stekt
kepti	friterade
derinimo	felsökning
zamoiskis	zamoyski
šilingas	shilling
lancia	lancia
linkolnas	lincoln
ūdros	uttrar
hun	hun
grzegorz	grzegorz
normanai	norman
mana	mana
akimirkos	moments
akimirkos	stunder
akimirkos	ögonblick
akimirkos	ögonblicken
linkin	linkin
ilgumos	longitud
dario	dario
intertoto	intertoto
kartagina	kartago
išdėstymo	layout
ashley	ashley
nigeris	niger
negalia	funktionshinder
negalia	funktionsnedsättning
negalia	handikapp
negalia	funktionshinder
negalia	funktionsnedsättning
vasalai	vasaller
meditacija	meditation
tan	tan
tan	solbränna
unicef	unicef
auditorija	målgrupper
klientai	kunderna
klientai	kunder
naujovės	innovationer
naujovės	nyskapande
naujovės	innovationer
naujovės	innovation
išmatuotas	uppmätta
išmatuotas	uppmätt
išmatuotas	mätt
jensen	jensen
skersinės	tvärgående
simbolinę	symboliskt
simbolinę	symboliska
simbolinę	symbolisk
arkų	arches
ave	ave
mariano	mariano
primatas	primat
primatas	primater
liberalizmo	liberalism
dviračiai	cyklar
dviračiai	cyklar
garra	garra
lydeka	pike
lydeka	gädda
salvatore	salvatore
oyama	oyama
priemiesčių	suburban
akimirką	stund
akimirką	moment
akimirką	ögonblick
akimirką	ögonblicket
titlestyle	titlestyle
papuošti	inredda
papuošti	dekorerade
papuošti	dekorerad
transplantacijos	transplantation
suprojektuoti	utformade
suprojektuoti	designad
suprojektuoti	utformat
suprojektuoti	utformad
suprojektuoti	designat
suprojektuoti	konstruerad
ling	ling
ling	långa
agata	agatha
maribor	maribor
filippo	filippo
jodo	jod
plėšikas	rånare
plėšikas	rövare
elamitų	elamitiska
margo	margo
senatoriai	senatorer
torre	torre
leideno	leiden
rodrigo	rodrigo
dialogas	dialogen
dialogas	dialog
karosai	braxen
sustojimo	iscensätta
burnley	burnley
franklinas	franklin
ūminis	akuta
ūminis	akut
riešo	twist
riešo	vrida
maršrutą	routing
arx	arx
uoga	berry
uoga	bär
ajutajos	ayutthaya
plunksna	fjädrar
plunksna	fjäder
myliu	kärlek
myliu	älska
myliu	love
myliu	älskar
gfdl	gfdl
marcelo	marcelo
vale	vale
mic	mic
kepimo	bakar
kepimo	bakning
korpusai	skrov
apeiti	kringgå
apeiti	kringgå
apeiti	bypass
padangas	däcken
padangas	däck
padėjėjai	assistenter
švente	firande
investuotojas	investerare
eile	lane
zeitung	zeitung
epitelis	epitel
puna	puna
karikatūristas	serietecknare
bulių	tjurar
bulių	bulls
herodotas	herodotos
naminė	tawny
ego	ego
krūtų	bröst
krūtų	bröst
niutonas	newton
bebrai	bävrar
minaretas	minaret
biotechnologijos	bioteknik
gražios	härligt
gražios	ljuvlig
gražios	ljuvliga
gražios	underbart
gražios	härlig
gražios	ljuvligt
diplomatija	diplomatin
diplomatija	diplomati
draugiškas	vänskaplig
draugiškas	vänliga
draugiškas	vänlig
draugiškas	vänligt
draugiškas	vänskapligt
fin	fena
fin	fin
indukcijos	induktion
agentūrų	fogar
agentūrų	lederna
agentūrų	leder
sima	sima
rūsiuose	källare
gulbė	svanen
gulbė	swan
gulbė	svan
opolės	opole
antverpene	antwerpen
eksportuoti	exporterar
eksportuoti	exportera
eksportuoti	export
mėgstamiausia	favoriten
mėgstamiausia	favorit
misūrio	missouri
kane	kane
adeno	aden
farm	bondgård
farm	lantbruk
farm	gård
išpirkti	gottgöra
socialistai	socialisterna
socialistai	socialdemokrater
socialistai	socialdemokraterna
socialistai	socialister
sutikimas	samtycke
sutikimas	medgivande
naujagimių	nyfödd
naujagimių	nyfödda
francesca	francesca
tigrai	tigrarna
tigrai	tigrar
tigrai	tigers
išskirtinės	exceptionell
išskirtinės	exceptionella
išskirtinės	exceptionellt
išskirtinės	undantagsfall
pensininkas	pensionär
burtininkas	guiden
burtininkas	trollkarlen
burtininkas	trollkarl
vampyrai	vampyrer
albino	albino
demokratinis	demokratiskt
demokratinis	demokratisk
demokratinis	demokratiska
paneigti	neger
ovalios	oval
ovalios	ovala
bakterijas	bakterier
kriketo	cricket
patikėti	anförtro
javascript	javascript
raibuolė	paphiopedilum
nepakankamumas	misslyckad
nepakankamumas	underlåtenhet
nepakankamumas	misslyckande
sabina	sabina
tiger	tiger
nea	nix
nea	nope
darkgrey	darkgrey
verneris	werner
vestminsterio	westminster
telugų	telugu
räikkönen	räikkönen
gimines	släktingar
gimines	anhöriga
maldonado	maldonado
džimas	jim
investavo	investerat
investavo	investeras
investavo	investerade
mfk	mfk
dialogo	dialogen
dialogo	dialog
sunkvežimiai	lastbilar
sunkvežimiai	lastbilar
ropliai	reptiler
iššūkis	utmaningen
iššūkis	challenge
iššūkis	utmanar
iššūkis	utmana
iššūkis	utmaning
fidžis	fiji
timoras	östtimor
timoras	timor
samara	samara
deimantas	diamond
deimantas	diamant
bahija	bahía
braga	braga
giancarlo	giancarlo
barenco	barents
jamato	yamato
lambert	lambert
išpuolių	attacker
išpuolių	angrepp
išpuolių	attentat
konfederatų	konfedererade
transliavimo	sänder
transliavimo	utsändning
transliavimo	sändning
trumpalaikis	kort
trumpalaikis	korthet
trumpalaikis	kortfattad
trumpalaikis	kortfattat
trumpalaikis	korta
midi	midi
claudia	claudia
ankašo	ancash
frem	frem
investuotojai	investerare
investuotojai	investerare
investuotojai	investerarna
indėlių	insättning
indėlių	deposition
blokai	kvarter
blokai	blockerar
blokai	blockeringar
blokai	block
lil	lil
tapatybė	identitet
surinamas	surinam
gogo	gogh
malaga	malaga
kolibris	kolibri
welt	welt
choreografija	koreografi
ritės	spolar
ritės	rullar
genetinis	genetiskt
genetinis	genetiska
genetinis	genetisk
lst	lst
omanas	oman
garavimo	avdunstning
garavimo	avdunstning
puatjė	poitiers
parc	parc
sugebėjimą	avsiktlig
sugebėjimą	avsiktliga
sugebėjimą	avsiktligt
aušinimo	kylmedel
aušinimo	kylning
aušinimo	kyla
aušinimo	nedkylning
susirinkimai	möten
susirinkimai	sammanträden
kichotas	quijote
diskriminacija	diskriminering
tikslumo	noggrannhet
tikslumo	exakthet
tikslumo	riktighet
tikslumo	precision
korteles	kort
korteles	cards
korteles	kortspel
fiorentino	fiorentino
neutralus	neutral
neutralus	neutralt
neutralus	neutrala
balai	poäng
įmontuotas	inbäddade
įmontuotas	inbäddat
įmontuotas	inbäddad
konkurentai	konkurrenter
konkurentai	konkurrenterna
konkurentai	tävlande
konkurentai	konkurrent
konkurentai	konkurrenten
konkurentai	tävlande
excelsior	excelsior
sanskritas	sanskrit
dai	dai
socializacijos	socialisering
alexandre	alexandre
ivanovo	ivanovo
suomiai	finländare
neue	neue
kardelis	gladiolus
užsakytas	bokat
užsakytas	bokades
užsakytas	bokade
potraukį	försvagas
potraukį	försvagad
potraukį	försvagade
potraukį	försvagat
americana	americana
gore	gore
gestų	gester
msv	msv
bata	bata
poravimosi	parning
padavimo	arkivering
ankstesnė	föregående
ankstesnė	tidigare
alicija	alicia
nobunaga	nobunaga
lockheed	lockheed
teismus	domstolar
teismus	domstolarna
teismus	domstol
drąsa	kurage
drąsa	modet
drąsa	mod
drąsa	tapperhet
drąsa	mod
alatau	alatau
žydėjimo	blommande
dubajaus	dubai
sriubos	soppor
kryžkelėje	vägskäl
griaučiai	skelett
miegas	viloläge
miegas	sova
miegas	sömn
miegas	sov
miegas	sova
miegas	sömn
miegas	sover
miegas	sovande
citrinų	lemon
citrinų	citron
citrinų	citroner
žiedynai	blomställningarna
dinaras	dinar
tunelį	tunnel
tunelį	tunneln
marciano	marciano
gydo	botar
gydo	botemedel
evakuoti	evakueras
evakuoti	evakuerade
evakuoti	evakuera
haiku	haiku
įsigyta	inköpt
įsigyta	inköpta
įsigyta	köpta
įsigyta	köpt
konsultacijos	samråd
konsultacijos	konsultation
konsultacijos	samråd
egzoplaneta	exoplanet
sujungimo	skapare
sujungimo	sammankoppling
kirmėlių	maskar
reaktoriai	reaktorer
būstas	hölje
būstas	bostäder
būstas	boende
būstas	bostad
būstas	bostaden
būstas	bostad
būstas	boende
būstas	bostäder
ipairs	ipairs
imtuvas	mottagare
tarantino	tarantino
nuoma	hyra
nuoma	uthyrning
nuoma	anställa
nuoma	hyra
nuoma	uthyrning
nuoma	hyr
nuoma	hyran
nuoma	hyra
nuoma	hyra
nuoma	uthyrning
nuoma	hyreskontrakt
kaimynas	grannland
kaimynas	granne
kaimynas	grannen
kaimynas	granne
kaimynas	grannen
idzu	izu
pirštas	fingret
pirštas	finger
jacqueline	jacqueline
bėgiai	räls
vėžiagyviai	kräftdjur
vėžiagyviai	skaldjur
ortega	ortega
mex}}	mex}}
skl	skl
ide	ide
mandela	mandela
kiribačio	kiribati
colo	colo
morrison	morrison
noriai	villigt
jūreiviai	sjömän
français	français
spartą	sparta
likučių	återstod
likučių	rester
karelų	karelska
seule	seoul
elfai	älvor
tuberkuliozė	tuberkulos
udinese	udinese
grafinio	grafik
grafinio	grafiska
grafinio	grafisk
grafinio	grafiskt
džimis	jimmy
swansea	swansea
horizontas	horisont
horizontas	horizon
horizontas	horisonten
