dhe	e
mësimet	insegnamenti
mundi	beat
mundi	battere
mundi	battuto
mundi	batti
mundi	sconfitto
mundi	sconfitti
mundi	sconfitta
teoria	teoria
psh	come
psh	like
hershëm	early
hershëm	presto
autorit	copyright
mbaroi	finito
mbaroi	terminata
mbaroi	terminato
mbaroi	finiti
term	term
term	termine
hyrje	ingresso
hyrje	entrata
hyrje	accesso
hyrje	ingresso
hyrje	entrata
hyrje	login
hyrje	accesso
hyrje	accedi
sri	sri
detyra	dazio
detyra	doveri
detyra	dovere
detyra	duty
detyra	compiti
detyra	incarico
detyra	assegnazione
detyra	incarichi
detyra	assegnazioni
detyra	task
gjendja	stato
gjendja	status
shkenca	scienze
shkenca	scienza
end	end
end	fine
mod	mod
ballkanit	balcani
ballkanit	balcanica
muhammad	muhammad
muhammad	maometto
trup	body
trup	corpo
trup	carrozzeria
lojë	game
lojë	gioco
lojë	partita
lojë	selvaggina
barabartë	uguale
barabartë	uguali
barabartë	pari
barabartë	equal
poet	poeta
poet	poetessa
finlandë	finlandia
kuptim	senso
bayern	bayern
ndryshon	cambiando
ndryshon	cambiare
ndryshon	modifiche
ndryshon	cambiamenti
ndryshon	variazioni
krijon	crea
përballë	opposto
përballë	opposti
sëmundje	malattia
sëmundje	malattie
sëmundje	malattie
sëmundje	malattia
sëmundje	malattia
sëmundje	malattie
përdoruesit	utenti
përdoruesit	utilizzatori
dega	succursale
dega	ramo
dega	filiale
dega	branca
projekti	project
projekti	progetto
imam	imam
dëshmi	prove
dëshmi	testimonianza
dëshmi	testimonianze
dëshmi	prove
popull	gente
popull	persone
popull	nazione
popull	nation
kryen	commessi
kryen	commessa
kryen	impegnato
australia	australia
rhône	rhône
rhône	rodano
sheh	veggente
sheh	vedere
sheh	vedi
javë	settimana
javë	settimane
alexander	alessandro
prindërit	genitori
ndryshimet	modifiche
ndryshimet	cambiamenti
ndryshimet	variazioni
mbretërore	regal
mbretërore	regale
mbretërore	royal
mbretërore	regio
mbretërore	reale
org	org
henry	enrico
donte	cercasi
donte	desiderato
donte	ricercato
donte	voluta
donte	ricercati
gjithçka	tutto
gjithçka	everything
mijëra	migliaia
energjia	energia
energjia	energie
simbol	simboli
simbol	simbolo
atdheut	patria
atdheut	homeland
atdheut	patria
atdheut	madrepatria
tempujt	templi
lejuar	permesso
lejuar	ammessi
lejuar	consentito
lejuar	consentita
lejuar	consentito
lejuar	consentita
anët	bordi
anët	spigoli
anët	lati
shtesë	extra
shtesë	supplemento
shtesë	addendum
shtesë	addizionale
shtesë	aggiuntivo
listë	lista
listë	elenco
origjinal	originale
origjinal	original
origjinal	originali
kongresit	congressi
kongresit	congresso
abdullah	abdullah
lejon	permette
lejon	consente
rënë	caduta
rënë	caduto
rënë	caduti
shënime	note
shënime	annotazioni
shënime	appunti
shënime	appunti
artist	artista
vazhdueshme	costante
vazhdueshme	costanti
vazhdueshme	continua
vazhdueshme	continue
vazhdueshme	continuo
shekuj	secoli
gjata	lungo
gjata	lunghe
gjata	lunga
gjata	long
gjata	lunghi
muzikë	musiche
muzikë	musica
lidhjen	connettività
ide	idee
ide	idea
liri	freedom
liri	libertà
shkrimet	scritture
shkrimet	scritti
shkrimet	tronchi
shkrimet	scritture
vëllezërit	fratelli
vëllezërit	brothers
sekretar	segretario
sekretar	segretaria
final	finale
final	final
final	finali
shpellat	grotte
përkatësisht	rispettivamente
rrugët	strade
rrugët	strade
rrugët	rotte
rrugët	itinerari
rrugët	percorsi
agim	alba
agim	dawn
agim	alba
varet	dipende
est	est
windows	windows
windows	finestre
date	data
tituj	titoli
kongresi	congressi
kongresi	congresso
elbasan	elbasan
jugor	meridionale
jugor	sud
jugor	southern
jugor	meridionali
xiii	xiii
amerika	america
vdes	die
vdes	morire
vdes	muori
vdes	morente
vdes	morendo
vdes	morire
vdes	muore
manastirit	monastero
pjesërisht	parzialmente
pjesërisht	parzialmente
kishë	cappella
kishë	chiesa
model	modello
model	modella
metoda	metodo
metoda	metodi
kina	porcellane
kina	cina
nxënës	studenti
nxënës	allievi
nxënës	scolari
nxënës	alunni
nxënës	pupille
nxënës	pupilla
nxënës	allievo
nxënës	alunno
nxënës	student
nxënës	studenti
nxënës	studentessa
nxënës	studente
nxënës	allievo
nxënës	apprendista
interes	interessi
interes	interesse
çështjet	questioni
antonio	antonio
viii	vili
viii	viii
relativisht	relativamente
trupave	truppe
trupave	truppa
trupave	truppe
ministria	ministero
hapi	step
hapi	passo
hapi	gradino
shprehur	espressi
shprehur	espresso
shprehur	espressa
shprehur	espresse
mbahet	tenuta
mbahet	detenuto
mbahet	mantenuta
mbahet	mantenuto
mbahet	mantenuti
ndahen	separati
ndahen	separato
ndahen	separata
ndahen	separate
ndahen	separata
ndahen	separate
ndahen	separati
ndahen	separato
ndahen	separare
ndërtesa	costruire
ndërtesa	edificio
ndërtesa	edifici
ndërtesa	immobili
italisht	italiani
italisht	italiana
italisht	italiano
muzeu	museo
klima	clima
vlerësuar	apprezzata
vlerësuar	apprezzati
vlerësuar	apprezzate
vlerësuar	apprezzato
christian	cristiano
christian	christian
christian	cristiani
christian	cristiana
greqia	grecia
baba	baba
baba	papà
baba	padre
rumani	romania
mësuar	imparata
mësuar	imparato
porta	gate
porta	cancello
porta	porta
ushtri	armata
ushtri	esercito
gazetar	giornalisti
gazetar	giornalista
gazetar	cronista
gazetar	giornalista
gazetar	reporter
grupet	gruppi
detyrën	dazio
detyrën	doveri
detyrën	dovere
detyrën	duty
krahasim	raffronto
krahasim	paragone
krahasim	confronto
krahasim	comparazione
abu	abu
krahina	provincia
richard	riccardo
ndryshim	cambiare
ndryshim	cambiamento
ndryshim	variazione
ndryshim	cambia
ndryshim	differenze
ndryshim	differenza
vlen	worth
ekonomi	economia
ekonomi	economia
sytë	eyes
sytë	occhi
rus	russi
rus	russo
rus	russa
rus	rus
uçk	uck
kodër	colle
kodër	collina
kodër	hill
veprim	action
veprim	azione
ndaluar	proibiti
ndaluar	vietato
ndaluar	proibito
ndaluar	proibita
ndaluar	vietata
ndaluar	proibite
ndaluar	vietati
ndaluar	vietata
ndaluar	vietato
ndaluar	proibito
pozita	posizioni
shoqëria	società
shoqëria	society
shoqëria	amicizia
master	maestro
master	padrone
master	master
punimet	funziona
punimet	opere
punimet	works
themelues	fondatore
themelues	fondazione
themelues	fondatore
themelues	fondatrice
dobët	svenire
dobët	svenimento
dobët	deboli
dobët	debole
dobët	deboli
lokal	locale
lokal	local
moment	momento
direkt	diretta
direkt	direct
direkt	diretto
direkt	direttamente
isa	isa
politika	politica
kryeqytet	capitali
kryeqytet	capitale
kryeqytet	capital
besim	faith
besim	fede
besim	fiducia
besim	confidenza
besim	trust
besim	fiducia
besim	credenza
besim	credenze
besim	convinzione
besim	fiduciosa
besim	fiducioso
besim	sicuro
besim	fiduciosi
pushteti	potere
pushteti	potenza
pushteti	power
pop	pop
feja	religioni
feja	religione
pastër	pulita
pastër	pulito
pastër	pulite
pastër	puri
pastër	puro
pastër	pura
pastër	pure
stil	stile
stil	style
but	boot
but	stivale
studio	monolocale
studio	studio
fazën	fase
islamike	islamici
islamike	islamico
islamike	islamica
vëllai	brother
vëllai	fratello
serbë	serbi
armatosura	armata
armatosura	armati
armatosura	armato
verë	estate
verë	vini
verë	vino
kuptohet	capito
gjëra	cose
urbane	urban
urbane	urbano
urbane	urbane
erës	vento
erës	wind
erës	eolico
teksti	testo
ligjore	legale
ligjore	giuridico
ligjore	legali
përpjekjet	sforzi
përpjekjet	tentativi
personal	personal
personal	personali
personal	personale
ndarja	condividere
ndarja	sharing
ndarja	condivisione
ndarja	partizione
ndarja	partizioni
bregdetare	costiera
bregdetare	costiero
bregdetare	costiere
kompani	società
kompani	azienda
kompani	compagnia
kompani	aziende
tokësore	terrestre
tokësore	terrestri
ekonomia	economia
ekonomia	economia
ari	ari
ari	orso
ari	orsetto
ari	bear
ari	oro
ari	gold
media	media
dyte	seconda
dyte	secondo
dyte	secondi
dielli	sun
dielli	sole
friedrich	friedrich
origjinale	genuina
origjinale	genuino
origjinale	originale
origjinale	original
origjinale	originali
anije	navi
anije	nave
anije	barca
indi	india
shoqëri	società
shoqëri	azienda
shoqëri	compagnia
shoqëri	società
shoqëri	society
gjak	sangue
gjak	blood
përrua	torrente
përrua	creek
egjipt	egitto
xii	xii
lule	fiori
lule	fiore
lule	fiori
pyll	boschi
pyll	woods
pyll	bosco
pyll	foreste
pyll	foresta
speciale	speciali
speciale	special
speciale	speciale
carlos	carlos
makina	macchina
makina	auto
makina	macchina
makina	automobile
makina	automobili
përshkruar	descritti
përshkruar	descritta
përshkruar	descritte
përshkruar	descritto
producent	produttore
përfaqëson	rappresenta
gjatësia	lunghezza
përshtatshme	appropriato
përshtatshme	adeguato
përshtatshme	appropriati
përshtatshme	appropriata
përshtatshme	adatta
përshtatshme	adatti
përshtatshme	adatto
përshtatshme	idoneo
arabisht	araba
arabisht	arabo
berlin	berlino
qëllime	scopi
kitarë	chitarre
kitarë	guitar
kitarë	chitarra
përgatitur	preparare
përgatitur	prepararsi
përgatitur	preparati
përgatitur	preparato
përgatitur	preparata
përgatitur	preparate
anti	anti
mbajt	tenuta
mbajt	detenuto
flasin	parlare
flasin	parla
flasin	talk
flasin	chiacchiere
flasin	parla
flasin	parlate
gur	stone
gur	pietre
gur	pietra
gur	rocce
gur	roccia
gur	sasso
gur	rock
special	speciali
special	special
special	speciale
dendësia	densità
vone	ritardo
vone	late
vone	tardo
vone	tardi
figurë	immagine
figurë	figura
përshkruan	raffigura
përshkruan	descrive
përshkruan	delinea
organet	organi
shokët	amiche
shokët	amici
trajneri	carrozza
trajneri	allenatore
gjermanisht	tedeschi
gjermanisht	tedesco
sërish	again
sërish	ancora
aftë	abili
aftë	qualificati
aftë	capace
aftë	capaci
teatrin	teatro
teatrin	teatro
marre	scattata
marre	presa
marre	preso
marre	prese
spanjolle	spagnolo
spanjolle	spagnoli
askush	nessuno
american	americano
american	american
american	americana
american	americani
moshë	età
moshë	age
hindu	indù
air	aria
air	air
prapa	schiena
prapa	ritorno
prapa	back
prapa	indietro
prapa	retroguardia
prapa	posteriori
prapa	posteriore
veprimet	azioni
kategorisë	categoria
japonia	giappone
gjysmën	mezzo
gjysmën	metà
gjysmën	mezza
vendas	locale
vendas	local
vendas	domestico
vendas	domestica
vendas	nativi
vendas	native
vendas	nativo
vendas	indigeno
beograd	beograd
beograd	belgrado
arkeologjik	archeologici
arkeologjik	archeologico
arkeologjik	archeologici
arkeologjik	archeologico
arkeologjik	archeologica
grua	donna
niveli	livello
mysliman	musulmani
mysliman	musulmano
mysliman	musulmana
klub	club
përmbledhje	riassunto
përmbledhje	sintesi
përmbledhje	riepilogo
përmbledhje	sommario
përmbajtja	contenuti
përmbajtja	contenuto
përmbajtja	contenuti
përmbajtja	contenuto
austro	austro
çlirimtare	liberazione
qytetare	civica
qytetare	civico
qytetare	cittadino
qytetare	citizen
tradita	tradizione
tradita	tradizioni
tradita	tradizioni
panjohur	sconosciuto
panjohur	sconosciuti
panjohur	sconosciuta
copa	pezzi
copa	cocci
elementet	elementi
giovanni	giovanni
lëshuar	rilasciati
lëshuar	rilasciato
lëshuar	emessi
lëshuar	rilasciata
lëshuar	emesso
lëshuar	rilasciati
lëshuar	liberati
lëshuar	rilasciato
lëshuar	rilasciata
mesëm	media
mesëm	medium
mesëm	medio
dukshëm	visibilmente
dukshëm	visibili
dukshëm	visibile
das	das
official	funzionario
official	ufficiali
official	official
official	ufficiale
përkatëse	rispettiva
përkatëse	rispettivo
përkatëse	rispettive
përkatëse	rispettivi
dashuria	love
dashuria	amore
shfaqur	mostrati
shfaqur	mostrato
shfaqur	visualizzate
shfaqur	visualizzata
shfaqur	visualizzato
shfaqur	visualizzati
akademia	accademia
akademia	academy
free	libera
free	gratis
free	liberi
free	libero
free	free
free	gratuito
nacional	nacional
det	mare
det	sea
zvicër	svizzera
tash	adesso
tash	ora
dikush	qualcuno
dikush	qualcuno
piktura	verniciatura
piktura	dipingere
piktura	dipinto
piktura	pittura
piktura	dipinti
piktura	quadri
verior	northern
verior	settentrionale
tërësisht	totalmente
tërësisht	completamente
mbajnë	riporto
shoqatës	associazione
studiuar	studiati
studiuar	studiata
studiuar	studiate
studiuar	studiato
shekujve	secoli
ngjashëm	simile
ngjashëm	simili
ngjashëm	analoga
mbushur	ripiene
mbushur	ripieni
mbushur	caricato
mbushur	caricati
mbushur	riempita
mbushur	riempite
mbushur	riempiti
mbushur	riempito
banka	banks
banka	banche
banka	banca
banka	bank
folur	parlato
folur	parlata
marrëdhënie	relazione
plan	pianifica
duhen	bisogno
duhen	necessità
dyshim	dubitare
dyshim	dubita
dyshim	dubbi
dyshim	dubbio
sllave	slava
sllave	slavo
shenjë	firma
shenjë	segno
shenjë	firmare
ligjet	leggi
bashkim	union
bashkim	unione
bashkim	sindacato
bashkim	riunione
bashkim	rimpatriata
bashkim	reunion
thatë	dry
thatë	asciutto
thatë	secchi
thatë	secca
thatë	secco
artin	arte
afërsisht	approssimativamente
nderi	onore
nderi	onore
nderi	honor
vaj	olio
vaj	petrolio
ndersa	mentre
rinisë	giovani
rinisë	youth
rinisë	giovinezza
rinisë	gioventù
milan	milan
milan	milano
dhoma	stanze
dhoma	camere
dhoma	camera
dhoma	stanza
datë	data
kish	kis
kish	aveva
kish	avevano
kish	kish
artikujt	articoli
gjeneral	generali
gjeneral	general
gjeneral	generale
gjeneral	generalità
show	spettacolo
show	mostra
show	show
institucionet	istituzioni
kufijtë	confini
kufijtë	frontiere
kufijtë	bordi
kufijtë	confini
kufijtë	margini
doktor	doc
doktor	dottore
doktor	medico
doktor	doctor
personi	persona
mëparshme	precedente
mëparshme	precedenti
ligj	legge
ligj	diritto
futur	introdotte
futur	introdotta
futur	introdotto
futur	introdusse
futur	introdotti
futur	inserito
futur	inseriti
futur	inserita
futur	impiantato
prodhim	fabbricazione
prodhim	output
prodhim	prodotto
prodhim	prodotti
prodhim	produzione
prodhim	manifattura
gjerësisht	ampiamente
gjerësisht	ampiamente
çmime	prezzi
çmime	premi
çmime	premiazione
çmime	riconoscimenti
çmime	premi
varg	intervallo
varg	range
varg	varg
varg	spago
varg	string
varg	stringa
line	riga
line	linea
sekretari	segretario
sekretari	segretaria
fort	stretta
fort	stretto
fort	duro
fort	difficile
fort	hard
fort	duri
fort	dura
fort	forte
fort	strong
fort	forti
fort	fortezza
fort	fortino
fort	fort
fort	forte
shoqëruar	accompagnata
shoqëruar	accompagnati
shoqëruar	accompagnato
shoqëruar	scortato
valle	danze
valle	danza
valle	dance
valle	ballare
valle	ballate
valle	ballo
industriale	industriali
industriale	industrial
industriale	industriale
mëparshëm	precedente
mëparshëm	precedenti
piktor	pittore
piktor	pittrice
mesjetare	medioevo
mesjetare	medievale
mesjetare	medievali
mesjetare	medioevale
stili	stile
stili	style
ndikuar	influenzata
ndikuar	influenzato
ndikuar	influenzati
filmat	pellicole
filmat	film
filmat	filmati
filmat	film
filmat	cinema
teori	teoria
natën	notte
andrea	andrea
marr	ottenere
marr	ottieni
marr	ricevi
fisi	clan
fisi	tribù
klasa	classi
klasa	classe
kampion	campione
kampion	campione
kampion	campionessa
kampion	champion
manuel	manuel
mbretërinë	reame
butë	gentile
butë	lieve
butë	mite
butë	lievi
butë	soffice
butë	morbido
butë	morbidi
butë	soft
butë	morbida
butë	lisci
butë	liscia
butë	liscio
karakteristike	caratteristica
karakteristike	caratteristico
skenë	scena
skenë	scene
skenë	tappa
skenë	palcoscenico
skenë	stage
ndikimi	impact
ndikimi	impatto
ndikimi	influsso
ndikimi	influenzare
ndikimi	influenza
ndikimi	influenze
daniel	daniel
daniel	daniele
publikuar	pubblicato
publikuar	pubblicate
publikuar	pubblicata
publikuar	pubblicati
tekst	testo
institutit	istituto
futbolli	soccer
futbolli	calcio
futbolli	calcio
pushtimin	invasioni
pushtimin	invasione
austria	austria
marie	maria
gjakovë	đakovica
përgjithësisht	generalmente
zemër	dolcezza
zemër	piccola
zemër	bambino
zemër	bebè
zemër	baby
lidh	connette
lidh	connect
gjat	lungo
gjat	lunghe
gjat	lunga
gjat	long
gjat	lunghi
djalë	boy
djalë	maschietto
djalë	ragazzo
pejë	pec
rasti	caso
rasti	arrugginita
rasti	rusty
rasti	arrugginito
south	sud
south	south
paraqitje	presentazioni
paraqitje	presentazione
loja	game
loja	gioco
loja	partita
loja	selvaggina
usa	usa
kategori	categoria
kategori	categorie
#aaa	#aaa
spanjoll	spagnolo
spanjoll	spagnoli
jetoi	vissuti
jetoi	vissuta
jetoi	vissuto
jetoi	visse
gjurmë	traccia
gjurmë	trace
gjurmë	sentiero
gjurmë	trail
gjurmë	tracce
gjurmë	brani
gjurmë	impronta
veçanti	particolare
shehu	shehu
emëruar	nominato
emëruar	nominati
emëruar	nominate
ekzekutiv	esecutivi
ekzekutiv	executive
ekzekutiv	esecutivo
rregullat	regole
rregullat	regolamenti
breg	shore
çoi	choi
pos	pos
besimi	faith
besimi	fede
besimi	fiducia
besimi	confidenza
besimi	trust
besimi	fiducia
grand	grand
indian	indiani
indian	indian
indian	indiano
çmim	prezzo
çmim	aggiudicazione
çmim	premio
konferenca	convegno
konferenca	conferenza
konferenca	conferenze
konferenca	convegni
konsiderueshme	notevole
konsiderueshme	considerevole
konsiderueshme	notevoli
konsiderueshme	considerevoli
luis	luigi
luis	lewis
luis	luis
marne	marne
marne	marna
privat	privat
privat	privati
privat	privato
privat	privata
privat	private
privat	soldato
ashpër	severamente
ashpër	gravemente
ashpër	duro
ashpër	aspro
ashpër	dura
ashpër	feroci
ashpër	feroce
jetonin	vissuti
jetonin	vissuta
jetonin	vissuto
jetonin	visse
nënë	madre
nënë	mamma
nënë	mother
shkodra	scutari
pro	pro
letra	schede
letra	carte
letra	carta
letra	paper
letra	lettere
letra	card
shtresa	livelli
shtresa	strati
aleksandër	alessandro
hapësira	spazi
hapësira	spazi
hapësira	spazio
hapësira	space
gjoni	gianni
gjoni	giovanni
gjoni	john
kineze	cinese
kineze	cinesi
emërohet	nominato
emërohet	nominati
emërohet	nominate
toke	land
toke	terreni
toke	terre
toke	terra
toke	ground
standard	standard
luftuar	combattuto
luftuar	lottato
luftuar	combattuta
luftuar	combatté
ouest	ouest
fat	fortuna
muzikor	musicale
muzikor	musical
muzikor	musicali
norvegji	norvegia
mbledhur	raccolte
mbledhur	raccolto
mbledhur	raccolti
mbledhur	assemblati
mbledhur	assemblato
mjete	utensili
mjete	strumenti
mjete	attrezzi
baden	baden
shpirtit	anima
shpirtit	soul
lojtarët	giocatori
lojtarët	giocatori
super	fantastica
super	fantastico
super	fantastici
super	mitico
super	super
inter	inter
studiues	ricercatore
studiues	ricercatrice
studiues	studioso
ndihmon	assist
ndihmon	aiuta
objektet	iscrizioni
objektet	oggetti
dem	dem
dem	toro
dem	bull
gjen	gene
gjen	ritrovamenti
gjen	reperti
gjen	trova
hedhur	cast
hedhur	gettati
planet	planet
planet	pianeta
planet	piani
nxjerrë	estratte
nxjerrë	estratta
nxjerrë	estratto
nxjerrë	estrazione
shërbimeve	utility
shërbimeve	utilità
shërbimeve	utenze
territoret	territori
rritja	crescita
dallohet	distinguere
dallohet	distingue
dallohet	distinguono
raporti	relazione
raporti	segnala
raporti	proporzione
idetë	idee
kodra	kodra
kodra	colle
kodra	collina
kodra	hill
kodra	colli
kodra	colline
albume	album
shërbimet	servizi
shërbimet	utility
shërbimet	utilità
shërbimet	utenze
dërgoi	inviato
dërgoi	inviata
dërgoi	inviati
kërkesat	requisiti
kërkesat	richieste
treg	mercato
vepron	acts
vepron	atti
zogu	uccellino
zogu	birdie
zogu	uccello
zogu	uccelli
zogu	zogu
strukturë	struttura
sulmues	aggressori
sulmues	aggressore
sulmues	assalitore
sulmues	attaccante
sulmues	striker
veshur	indossava
veshur	vestita
veshur	indossate
veshur	indossato
veshur	indossati
veshur	indossata
akademik	accademico
akademik	accademici
akademik	accademica
japoneze	giapponesi
japoneze	giapponese
zef	zef
nënkupton	implica
nënkupton	mezzi
nënkupton	significa
sport	sport
sport	sport
rowspan	rowspan
civil	civili
civil	civile
civil	civili
civil	civile
ppsh	ppsh
turistike	turistico
turistike	turista
pajisje	dispositivo
pajisje	attrezzature
pajisje	equipaggiamento
pajisje	attrezzatura
pajisje	dispositivi
pajisje	elettrodomestici
pajisje	attrezzo
pajisje	ingranaggi
mosha	età
mosha	age
dallim	differenzia
dallim	differenziare
dallim	distinguo
dallim	distinzione
dallim	differenze
dallim	differenza
përjashtim	eccezioni
përjashtim	eccezione
biblioteka	librerie
biblioteka	biblioteche
biblioteka	biblioteca
biblioteka	biblioteche
biblioteka	libreria
shpirti	spirito
shpirti	spirit
shpirti	anima
shpirti	soul
vesh	orecchie
vesh	orecchio
vesh	indossate
vesh	indossare
vesh	indossa
vesh	usura
vesh	indossa
total	totale
paqe	pace
paqe	peace
botim	pubblicazione
ligë	lega
ligë	league
përmbajnë	contengono
përmbajnë	contenere
patriotike	patriottica
patriotike	patriottico
patriotike	patriottismo
francisco	francisco
zhanri	generi
zhanri	genere
rrugëve	strade
rrugëve	strade
suksesshëm	riuscita
suksesshëm	riuscito
qendrat	centri
qendrat	centri
kampionati	campionato
net	netti
net	net
net	rete
net	netto
net	notti
net	pernottamenti
force	forza
force	force
përbën	pose
përbën	posa
referenca	referenze
referenca	riferimenti
referenca	riferimento
mungesa	assenza
mungesa	assenze
mungesa	carenza
mungesa	mancanza
mungesa	assenze
din	din
din	preside
din	rettore
din	dean
din	decano
shfaqje	spettacolo
shfaqje	mostra
shfaqje	show
dallohen	distinti
dallohen	distinguersi
dallohen	illustri
dallohen	distinto
poetike	poetica
poetike	poetico
nato	nato
bien	caduta
bien	cadendo
bien	cadere
bien	cadi
bien	caduta
bien	fall
policia	polizia
policia	police
koka	testa
koka	head
koka	testina
koka	testa
koka	teste
koka	capi
fuqia	potere
fuqia	potenza
fuqia	power
funksioni	funzioni
funksioni	funzione
tirane	tirana
grafik	grafico
grafik	grafo
grafik	grafico
grafik	grafica
adem	adem
adem	adamo
adem	adam
rama	rama
asht	osso
asht	osseo
asht	bone
asht	ossa
shpellë	grotta
shpellë	cave
shpellë	caverna
rrjeti	griglia
rrjeti	network
rrjeti	rete
tregoi	indicato
tregoi	indicata
tregoi	mostrò
kulturë	cultura
edit	edith
vija	strisce
vija	striscia
brazil	brasile
brazil	brasil
victoria	vittoria
victoria	victoria
calais	calais
vërtet	veramente
vërtet	davvero
afro	afro
ferdinand	ferdinando
përgjegjës	responsabili
përgjegjës	responsabile
përgjegjës	curatore
dokumente	documenti
përfundon	finisce
përfundon	termina
site	siti
miri	miri
miri	migliore
miri	migliori
miri	meglio
miri	best
karakteristikat	caratteristiche
romani	roman
romani	romana
romani	romano
romani	romani
romani	romanzo
romani	romani
london	londra
juridike	legale
juridike	giuridico
juridike	legali
afrikë	africa
tipike	tipici
tipike	tipico
tipike	tipica
tipike	tipiche
ushqim	cibo
mbështetje	supporto
mbështetje	sostegno
bote	mondo
bote	world
studioi	studiati
studioi	studiata
studioi	studiate
studioi	studiato
lira	lira
lira	economici
lira	economico
lira	libera
lira	gratis
lira	liberi
lira	libero
lira	free
lira	gratuito
ushtarë	soldati
njohuri	conoscenze
njohuri	conoscenza
male	montagne
male	montagna
male	monti
shenja	cartelli
shenja	segni
shenja	segnaletica
shenja	insegne
shenja	segnali
shenja	cicatrici
menduar	pensavi
menduar	pensato
menduar	pensiero
mureve	mura
mureve	pareti
mureve	muri
ishulli	isola
software	software
qetë	calmo
qetë	calmi
qetë	calma
nxënësit	studenti
nxënësit	allievi
nxënësit	scolari
nxënësit	alunni
nxënësit	pupille
shkencat	scienze
latin	latino
zero	zero
zero	zeri
west	occidentale
west	west
west	ovest
west	occidente
vendosen	schierato
vendosen	schierata
ruajtjen	conservazione
austri	austria
secila	ciascuno
secila	ognuno
secila	ogni
secila	ciascuna
besa	besa
krasniqi	krasniqi
shesh	quadrati
shesh	square
shesh	quadrato
shesh	piazza
gjinia	sesso
gjinia	genere
skena	scene
skena	scena
skena	scene
skena	tappa
skena	palcoscenico
skena	stage
sigurt	safe
sigurt	cassaforte
sigurt	certo
sigurt	sicuro
kufi	frontiera
kufi	confine
kufi	border
kufi	frontiera
kufi	limite
kufi	limitare
alt	alt
negative	negativi
negative	negativa
negative	negative
negative	negativo
aktiviteti	task
aktiviteti	attività
amerikë	america
mesfushor	centrocampista
mesfushor	centrocampo
figurat	immagini
figurat	cifre
figurat	figure
box	box
box	casella
box	riquadro
box	scatola
fuqitë	potenze
fuqitë	powers
fuqitë	poteri
jerry	jerry
wikimedia	wikimedia
vendase	domestico
vendase	domestica
vendase	indigeni
vendase	indigena
vendase	indigeno
vendase	indigene
vendase	locale
vendase	local
vendase	nativi
vendase	native
vendase	nativo
vendase	indigeno
poeti	poeta
poeti	poetessa
vendlindje	patria
vendlindje	homeland
kroaci	croazia
alternative	alternativo
alternative	alternative
alternative	alternativi
alternative	alternativa
ndryshimi	differenze
ndryshimi	differenza
ndryshimi	cambiare
ndryshimi	cambiamento
ndryshimi	variazione
ndryshimi	cambia
asnjëherë	mai
asnjëherë	never
katolik	cattolico
katolik	cattolica
katolik	cattolici
pyetje	domanda
pyetje	interrogazione
pyetje	interrogazioni
pyetje	domande
tërhequr	ritirata
tërhequr	ritirati
tërhequr	ritirate
tërhequr	ritirato
saudite	saudita
report	relazione
report	segnala
rajonet	regioni
suedia	svezia
string	spago
string	string
string	stringa
ndeshja	corrispondenza
ndeshja	match
ndeshja	fiammifero
edward	edoardo
reale	real
reale	reali
reale	reale
reale	veri
rusi	russia
news	novità
news	news
news	attualità
news	notizie
aktivitetin	attività
zgjidhet	risolti
zgjidhet	risolta
zgjidhet	risolte
zgjidhet	risolto
zgjidhet	risolti
zgjidhet	risolte
zgjidhet	risolto
shkrime	tronchi
drama	drama
drama	drammi
drama	dramma
sheiku	sceicco
adriatik	adriatico
djem	boys
djem	ragazzi
djem	ragazzi
shkakton	cause
shkakton	innesca
shkakton	inneschi
programin	programma
kompleks	complessità
kompleks	complessi
kompleks	complesso
kompleks	complessa
kompleks	complesse
kompleks	composto
kompleks	composte
kompleks	composti
njësitë	unità
njësitë	entità
ligjin	legge
ligjin	diritto
berat	berat
komuniteti	comunità
meshkuj	maschi
meshkuj	uomini
meshkuj	men
kim	kim
fisit	tribù
albumin	album
gra	donne
bimë	impianti
bimë	piante
bimë	pianta
bas	basso
bas	bass
bas	bassi
bas	bas
fan	ventilatore
fan	tifoso
fan	ventola
fan	fan
fan	ventaglio
natyra	natura
karriera	carriera
karriera	carriere
karriera	carriera
përdoruesi	username
përdoruesi	utenti
përdoruesi	utente
përdoruesi	utilizzatore
bgcolor	bgcolor
shumtë	numerosi
shumtë	numerose
shumtë	numeroso
zgjeruar	espanso
zgjeruar	ampliato
zgjeruar	espandere
mjekësore	medico
zemra	cuore
zemra	heart
gje	thing
zjarr	fire
zjarr	fuoco
zjarr	incendio
zjarr	falò
mjet	strumento
mjet	attrezzo
mjet	utensile
era	vento
era	wind
era	eolico
trajner	trainer
trajner	allenatore
trajner	formatore
trajner	carrozza
trajner	allenatore
komiteti	comitato
diplomuar	diplomato
diplomuar	laureato
diplomuar	laureata
diplomuar	diplomato
diplomuar	laureato
diplomuar	laurea
maqedonia	macedonia
sidoqoftë	comunque
shitur	venduti
shitur	venduto
shitur	venduta
shitur	vendute
lugina	valle
lugina	valli
lugina	vallate
kopje	copiare
kopje	copia
kopje	replica
poste	poste
burra	uomini
burra	men
lirinë	freedom
lirinë	libertà
hero	eroe
hero	hero
hero	eroi
zagreb	zagabria
vajzë	girl
vajzë	ragazza
turqia	tacchino
turqia	turchia
kontratë	contratto
turqit	turchi
vendbanimet	insediamenti
organizatë	organizzazione
gara	regata
gara	razza
