and	oraz
powerful	potężne
powerful	potężna
powerful	potężny
powerful	mocne
muslim	muzułmańskich
muslim	muzułmanie
registered	zarejestrowany
registered	zarejestrowano
registered	zarejestrowana
registered	zarejestrowane
registered	zarejestrowanych
publisher	wydawnictwo
publisher	wydawca
publisher	wydawcy
preceding	poprzedzające
sounds	dźwięki
sounds	brzmi
eric	eryk
eric	eric
approved	zatwierdzony
approved	zatwierdzono
approved	zatwierdzona
approved	zatwierdzone
approved	zatwierdzonych
achieved	zrealizowane
achieved	osiągnięta
achieved	osiągnięte
achieved	osiągnięto
achieved	osiągnięty
douglas	douglas
provincial	prowincji
fund	fundusz
fund	fundusze
fund	funduszu
portugal	portugalia
athletes	sportowcy
athletes	sportowców
bird	ptaka
bird	ptak
bird	bird
bird	ptaszek
bands	zespoły
bands	opaski
audio	audio
audio	dźwięk
cat	kotek
cat	kotka
cat	kot
cat	kocie
cat	cat
bureau	prezydium
bureau	biuro
centuries	wieków
centuries	wieki
centuries	stulecia
valid	ważny
valid	ważne
valid	ważność
valid	poprawny
valid	ważna
chemical	chemikalia
chemical	chemiczne
items	elementy
items	artykuły
items	pozycji
items	przedmioty
items	pozycje
lane	lane
holding	trzymanie
holding	gospodarstwa
holding	gospodarstwo
counties	okręgi
counties	hrabstwa
update	aktualizacja
update	aktualizacji
update	uaktualnienie
ncaa	ncaa
speak	mów
finding	szukanie
finding	znalezienie
domestic	krajowy
domestic	krajowym
domestic	krajowa
domestic	krajowe
ali	ali
false	fałsz
false	fałszywa
false	fałszywe
false	nieprawdziwe
false	fałszywy
equivalent	równowartość
equivalent	odpowiednik
equivalent	równoważny
equivalent	ekwiwalent
equivalent	równoważne
caught	złapany
caught	złapana
caught	przyłapany
caught	złapani
christ	chryste
christ	chrystus
ending	zakończenie
perform	wykonać
partner	partner
partner	partnerka
partner	partnerem
partner	partnera
partner	wspólnik
romania	rumunii
romania	rumunia
aviation	lotnictwa
aviation	lotnictwo
failure	porażki
failure	porażka
failure	niepowodzenie
failure	niewydolność
failure	awaria
ward	ward
strength	siłę
strength	siły
strength	siła
strength	wytrzymałość
knight	rycerz
knight	rycerze
knight	skoczek
knight	knight
nominations	nominacji
nominations	kandydatury
hungary	węgier
hungary	węgry
concern	troski
concern	dotyczą
concern	troska
keeping	trzymanie
recordings	nagrania
functions	funkcji
functions	funkcje
mississippi	missisipi
mississippi	mississippi
calls	wzywa
criticism	krytyka
criticism	krytyki
criticism	krytykę
magic	magiczne
magic	czary
magic	magic
magic	magii
magic	magia
gordon	gordon
gordon	gordona
treaty	traktatem
treaty	traktaty
treaty	traktatu
treaty	traktat
treaty	traktacie
antonio	antonia
antonio	antonio
selection	selekcja
selection	zaznaczenie
selection	wybór
selection	wyboru
selection	dobór
rear	tylny
rear	tyły
rear	tylne
rear	tył
rear	tylna
colonial	kolonialnej
motor	silnik
motor	motor
obtained	uzyskano
obtained	uzyskane
obtained	otrzymana
obtained	otrzymany
obtained	otrzymane
circuit	obwody
circuit	obwód
wish	życzymy
wish	życzy
wish	życzenie
wish	życzę
compilation	kompilacji
harvard	harvardu
harvard	harvard
harvard	harvardzie
islamic	islamskiej
determined	zdecydowana
determined	ustalona
determined	ustalone
determined	zdeterminowany
determined	określone
determined	zdeterminowana
geography	geografii
geography	geografia
arkansas	arkansas
fuel	paliwo
fuel	paliwa
artillery	artyleria
medieval	średniowieczne
medieval	średniowiecza
locations	lokalizacji
locations	lokalizacje
locations	miejsca
inclusion	włączenie
inclusion	integracja
inclusion	włączenia
recognition	uznanie
recognition	rozpoznanie
recognition	rozpoznawanie
recognition	uznawanie
chamber	komnata
chamber	komora
chamber	komory
chamber	izbie
chamber	izba
moment	moment
moment	chwili
moment	chwila
historian	historyk
condition	warunek
condition	stan
physics	fizyki
physics	fizyka
newspapers	gazet
newspapers	gazety
instance	instancji
represent	reprezentować
represent	reprezentują
represent	reprezentuje
allen	allen
allen	allena
watch	zegarek
watch	obserwuj
kitt	kitt
protect	chronić
protect	chroń
grey	siwy
grey	szary
grey	szara
grey	szare
grey	grey
launch	start
launch	uruchomienie
launch	startu
dave	dave
philip	filipa
philip	philip
philip	filip
iraq	irak
iraq	iraku
changing	zmiana
ukraine	ukrainy
ukraine	ukrainę
ukraine	ukraina
ukraine	ukrainie
municipalities	gmin
municipalities	gminy
mix	mix
mix	mieszać
mix	mieszanka
mix	wymieszać
tamil	tamil
shift	przesunięcie
shift	shift
shared	udostępnił
shared	udostępnione
shared	wspólny
shared	udostępniony
shared	wspólne
austrian	austrii
austrian	austriackie
door	drzwi
investigation	śledztwo
investigation	dochodzenie
investigation	dochodzenia
institution	instytucja
institution	instytucji
institution	instytucje
princess	księżniczki
princess	królewna
princess	księżniczka
trail	ślad
trail	szlak
parks	parki
applications	wniosków
applications	zastosowania
applications	aplikacje
applications	podania
applications	wnioski
hundred	hundred
hundred	setka
requirements	wymagania
requirements	wymogi
talking	mówienie
kim	kim
ltd	ltd
metres	metry
metres	metrach
metres	metrów
gray	siwy
gray	gray
gray	szary
gray	szara
gray	szare
sector	sektor
sector	branża
sector	sektory
dean	dean
dean	dziekan
agricultural	rolniczy
agricultural	rolnicze
agricultural	rolnych
agricultural	rolnictwo
incorporated	incorporated
escape	uciec
escape	ucieczka
escape	ucieczki
orders	rozkazy
orders	zamówienia
corner	zakręt
corner	kącik
corner	róg
corner	rogu
mill	młyn
mill	mill
subjects	tematy
subjects	obiekty
subjects	przedmioty
temperature	temperatura
temperature	temperatury
spacewatch	spacewatch
remember	zapamiętaj
remember	pamiętaj
miami	miami
promote	promować
promote	promowanie
values	wartości
spot	miejsce
spot	spot
progress	progress
progress	postępu
progress	postępy
progress	postęp
planet	planet
planet	planety
planet	planeta
occupied	zajęte
occupied	zajęty
usage	wykorzystanie
usage	korzystanie
usage	użycie
usage	użytkowanie
southwest	southwest
refused	odmówił
refused	odmówiła
truth	prawda
truth	prawdy
clark	clarka
clark	clark
sufficient	wystarczające
sufficient	wystarczająca
sufficient	wystarczający
equal	równe
equal	równa
equal	równy
administrator	administrator
administrator	zarządca
administrator	administratora
administrator	administratorem
persons	osoby
factory	fabrykę
factory	fabryce
factory	fabryki
factory	fabryka
fought	walczyli
fought	walczył
outstanding	zaległe
outstanding	wybitny
magazines	czasopism
magazines	magazyny
magazines	czasopisma
flow	przepływu
flow	przepływy
flow	przepływ
peer	peer
attacked	zaatakowana
attacked	zaatakowany
attacked	zaatakował
attacked	zaatakowano
generate	generuje
generate	generowanie
generate	wygenerować
generate	generować
shape	kształt
shape	kształtu
creator	stwórca
creator	twórca
creator	twórcy
creator	twórcą
requires	zobowiązuje
requires	wymaga
option	opcję
option	opcja
lincoln	lincoln
lincoln	lincolna
stands	stoi
stands	stoiska
carry	nosić
carry	nieść
establishment	ustanowienie
selling	sprzedawanie
selling	sprzedaży
selling	sprzedaż
selling	sprzedaje
causes	powoduje
causes	przyczyny
causes	przyczyn
budget	budżetu
budget	budżet
battles	bitwy
sky	niebo
sky	niebie
sky	sky
sky	nieba
legend	legendę
legend	legendy
legend	legend
legend	legenda
arrested	aresztowany
arrested	aresztowana
arrested	aresztowani
forum	forum
metro	metra
metro	metro
broke	złamał
broke	pękła
strike	strike
strike	strajk
injury	szkody
injury	urazy
injury	uraz
injury	obrażenia
injury	uszkodzenie
ryan	ryana
ryan	ryan
zero	zero
converted	konwersja
converted	przekształcone
violence	przemoc
violence	przemocy
significantly	znacząco
significantly	znacznie
statements	stwierdzenia
statements	deklaracje
statements	oświadczenia
controlled	kontrolowane
controlled	kontrolowana
controlled	kontrolowanych
controlled	kontrolowany
welsh	welsh
roger	roger
pdf	pdf
distinguished	odróżnić
distinguished	wybitny
samuel	samuela
samuel	samuel
translated	przetłumaczone
papers	papiery
papers	gazety
detail	szczegół
chapel	kaplica
chapel	kaplicy
frederick	frederick
frederick	fryderyk
thousands	tysiące
thousands	tysięcy
banks	banks
banks	banki
banks	bankami
banks	banków
offensive	obraźliwe
kings	kings
kings	królowie
kings	królów
factor	czynnik
factor	współczynnik
replace	zamień
replace	zastąpić
museums	muzea
resistance	opór
resistance	odporność
junction	junction
junction	skrzyżowania
junction	skrzyżowanie
tim	tim
tim	tima
engines	silników
engines	silniki
medium	średnio
medium	średnie
medium	średni
medium	średnia
device	urządzenia
device	wyrób
device	urządzenie
profit	profit
profit	zysku
profit	zysk
profit	zyski
dream	marzenie
dream	dream
dream	marzenia
dream	sen
enter	wejdź
enter	enter
twelve	twelve
twelve	dwanaście
universal	uniwersalne
universal	universal
universal	uniwersalny
universal	powszechnej
universal	powszechne
typical	typowe
typical	typowa
typical	typowo
typical	typowy
seeing	widzenie
seeing	widząc
seeing	zobaczenie
skills	umiejętności
bought	kupione
bought	kupił
bought	kupiony
bought	kupiła
passenger	pasażerów
passenger	pasażerski
passenger	pasażer
passenger	pasażera
cleveland	cleveland
funding	fundusze
funding	finansowanie
funding	dofinansowanie
agriculture	rolnictwa
agriculture	rolnictwo
parent	rodzic
parent	rodzica
parent	rodziców
parent	rodzice
decades	dekady
decades	dziesięciolecia
decades	dekad
receiving	otrzymujących
receiving	odbiór
receiving	otrzymywanie
receiving	odbieranie
signal	sygnał
reform	reformę
reform	reform
reform	reforma
reform	reformy
organisation	organizacja
prix	prix
column	kolumny
column	kolumnie
column	kolumna
utah	utah
managers	zarządcy
managers	zarządców
qualified	kwalifikacje
qualified	kwalifikowaną
qualified	wykwalifikowany
indicate	wskazywać
indicate	wskazać
indicate	wskazują
ukrainian	ukraiński
gay	gej
gay	gejowskie
gay	gay
gay	gejem
amateur	amator
flora	flory
flora	flora
gene	genu
gene	gene
gene	gen
gene	geny
soul	duszę
soul	dusza
soul	dusze
soul	soul
soul	duszy
alt	alt
discussions	dyskusji
discussions	dyskusje
montreal	montrealu
walker	walker
walker	walkera
entrance	wjazd
entrance	wejście
path	ścieżki
path	ścieżkę
path	ścieżka
path	drogę
nice	ładnie
nice	fajny
nice	fajna
nice	fajne
nice	ładne
string	sznur
string	łańcuch
string	strun
string	sznurek
developing	rozwijanie
abandoned	opuszczony
abandoned	porzucona
abandoned	porzucony
abandoned	porzucone
abandoned	opuszczona
humans	ludzie
pair	pary
pair	para
flat	mieszkanie
sample	przykładowe
sample	próbka
sample	próbki
sample	próba
contained	zawarty
contained	zawierały
contained	zawarte
contained	zawierał
banned	zakazany
banned	zakazana
banned	zakazane
moore	moore
strongly	stanowczo
strongly	silnie
visited	odwiedzili
visited	odwiedził
visited	odwiedziła
increasing	zwiększenie
increasing	zwiększanie
attorney	adwokat
attorney	prawnik
arm	ręka
arm	ramię
mathematics	matematykę
mathematics	matematyki
mathematics	matematyka
canal	kanał
charts	wykresy
thinking	myślenia
thinking	myśleć
thinking	myślenie
thinking	myśli
dublin	dublinie
dublin	dublina
dublin	dublin
suggests	sugeruje
surname	nazwisko
surname	nazwiska
brain	mózg
brain	rozum
brain	umysł
brain	mózgu
pittsburgh	pittsburghu
blog	blog
blog	bloga
blog	blogu
economics	ekonomia
economics	ekonomii
economics	ekonomiczny
seventh	siódmy
seventh	siódmego
seventh	siódmej
seventh	siódme
seventh	siódma
alex	alexa
alex	alex
employed	zatrudniony
employed	zatrudniona
employed	zatrudnieni
authors	autorzy
authors	autorów
paintings	obrazy
concerned	zaniepokojony
recipients	odbiorcy
recipients	odbiorców
scholars	uczeni
controversial	kontrowersyjne
controversy	kontrowersji
expressed	wyrażono
expressed	wyrażony
expressed	wyrażona
expressed	wyraził
expressed	wyrażone
josé	jose
josé	josé
bodies	ciał
bodies	ciała
maps	mapy
marie	marie
arguments	argumenty
chain	łańcuchy
chain	łańcuch
chain	łańcucha
chain	łańcuszek
focused	skoncentrowany
focused	skupiona
focused	skupiony
readers	czytelnicy
readers	czytniki
readers	czytelników
carl	carla
carl	carl
violation	naruszenia
violation	naruszenie
offices	biura
offices	urzędy
offices	biur
wave	fala
wave	fali
wave	fale
circle	kręgu
circle	okrąg
circle	koło
circle	krąg
circle	circle
invasion	inwazja
invasion	inwazji
jimmy	jimmy
opportunity	możliwość
opportunity	okazje
opportunity	okazja
determine	określić
colspan	colspan
orthodox	prawosławny
voted	zagłosowała
voted	głosowałem
voted	zagłosował
formal	formalne
formal	formalny
formal	formalnie
describes	opisuje
seconds	sekund
seconds	sekundy
cycle	cykl
cycle	cyklu
doubt	wątpliwość
doubt	wątpliwości
golf	golf
walls	mury
walls	ścian
walls	ściany
productions	productions
closely	ściśle
occurs	wystąpi
huge	ogromny
huge	ogromna
huge	ogromne
andy	andy
representing	reprezentujący
representing	reprezentujących
representing	reprezentujące
representing	reprezentuje
indonesia	indonezja
sell	sprzedać
mon	mon
diocese	diecezja
diocese	diecezji
tank	zbiornik
tank	czołg
tank	tank
advice	rady
advice	porady
senator	senator
generated	wytwarzane
generated	wytworzone
generated	generowane
malaysia	malezja
malaysia	malezji
asking	pyta
finland	finlandii
finland	finlandia
causing	powodujące
causing	spowodowanie
causing	powodując
leads	prowadzi
leads	tropy
lawyer	adwokat
lawyer	prawnika
lawyer	prawnik
seattle	seattle
gain	zysk
gain	zyskać
index	indeks
index	spis
index	wskaźnik
index	indeksu
saints	świętych
saints	święci
runner	runner
runner	goniec
crisis	kryzys
crisis	kryzysu
cinema	kino
cinema	kina
matt	matt
matt	mat
matt	matta
hollywood	hollywood
reaction	reakcja
reaction	reakcji
reaction	reakcje
medals	medale
medals	medali
documents	dokumenty
documents	dokumentów
reader	reader
lawrence	lawrence
pattern	wzorzec
pattern	wzór
archives	archiwa
archives	archiwum
atlanta	atlanta
atlanta	atlanty
atlanta	atlancie
voting	głosowanie
voting	głosuje
voting	głosujemy
voting	głosowania
looked	wyglądała
looked	wyglądały
looked	wyglądał
bear	miś
bear	misiek
bear	misia
bear	misiu
bear	niedźwiedź
perfect	idealna
perfect	idealne
perfect	idealnie
perfect	idealny
restored	przywrócone
restored	przywrócony
restored	przywrócona
bruce	bruce
baltimore	baltimore
baron	baronie
baron	baron
baron	barona
pan	piotruś
pan	pan
fantasy	fantazji
fantasy	fantasy
fantasy	fantazja
fantasy	fantazje
duty	obowiązek
duty	obowiązki
duty	cło
chair	krzesła
chair	krzesło
chair	fotel
scenes	sceny
scenes	scen
broad	szeroka
broad	szerokie
broad	szeroki
broad	szerokiej
opposite	naprzeciw
opposite	przeciwieństwo
opposite	naprzeciwko
stuff	rzeczy
streets	ulice
streets	ulic
nick	nick
nick	nicka
anna	anna
anna	ania
billy	billy
extension	rozszerzenia
extension	rozbudowa
extension	wydłużenie
extension	przedłużenie
extension	rozszerzenie
kent	kenta
kent	kent
parliamentary	parlamentarnej
parliamentary	parlamentarne
kelly	kelly
shooting	strzelanina
shooting	strzelać
shooting	strzelanie
ready	gotowy
ready	gotowe
pick	wybierz
aware	świadomy
aware	świadome
aware	świadoma
aware	świadomi
jordan	jordana
jordan	jordan
dictionary	słownik
dictionary	słownika
composition	skład
salt	sól
salt	soli
bangladesh	bangladeszu
bot	bot
successfully	pomyślnie
successfully	skutecznie
benefit	korzyść
benefit	świadczenie
benefit	korzyści
lands	ziemie
interests	zainteresowania
interests	zainteresowań
scheduled	zaplanowane
scheduled	zaplanowano
scheduled	zaplanowany
scheduled	planowane
scheduled	zaplanowana
teachers	nauczycielom
teachers	nauczyciele
teachers	nauczycielki
teachers	nauczycieli
closing	zamknięcie
closing	zamknięcia
closing	zamykanie
closing	zamyka
advertising	reklamy
advertising	reklama
advertising	reklamę
contribution	składka
contribution	wkład
maine	maine
retirement	emeryturę
retirement	emerytura
scientists	naukowcy
scientists	naukowców
dam	tamy
dam	zapora
dam	tama
dam	dam
blocks	bloków
blocks	klocki
blocks	bloki
las	las
print	druk
print	odcisk
print	drukowanie
techniques	techniki
participate	uczestniczyć
anniversary	rocznica
requested	wymagane
discovery	odkrycia
discovery	odkrywanie
discovery	odkrycie
discovery	discovery
explained	wyjaśnił
explained	wyjaśniono
explained	wyjaśnione
expedition	wyprawy
expedition	ekspedycja
expedition	wyprawa
citation	citation
und	und
meanwhile	tymczasem
hampshire	hampshire
creative	kreatywny
creative	kreatywność
creative	creative
maintain	utrzymać
maintain	utrzymywać
pierre	pierre
detailed	szczegółowy
detailed	szczegółowe
facts	fakty
frame	rama
frame	klatka
frame	ramka
frame	ramy
finance	finansowania
finance	finansowanie
finance	finanse
socialist	socjalistyczna
socialist	socjalistycznej
script	scenariusz
script	skrypt
camera	kamery
camera	aparatu
camera	kamera
camera	aparat
returns	zwraca
returns	powraca
returns	zwroty
engaged	zaręczony
engaged	zaręczona
engaged	zaręczyny
assistance	pomoc
assistance	pomocy
experienced	doświadczony
experienced	doświadczonych
underground	podziemne
underground	podziemny
underground	podziemia
sale	sprzedaży
sale	sale
sale	sprzedaż
sale	wyprzedaż
beautiful	piękne
beautiful	piękna
beautiful	pięknie
beautiful	śliczna
jane	jane
jane	katarzyna
abc	abc
successor	następcą
successor	następcę
successor	następca
successor	następcy
classification	klasyfikacji
classification	klasyfikacja
tool	narzędzia
tool	narzędzie
mining	wydobycie
mining	górnictwa
mining	kopalnia
cabinet	gabinet
bytes	bajtów
ross	rossa
ross	ross
russell	russel
russell	russell
russell	russella
maintained	utrzymane
maintained	utrzymywane
maintained	utrzymana
maintained	zachowane
evening	wieczór
evening	wieczorem
evening	wieczorny
singing	śpiewanie
singing	śpiewać
singing	śpiew
singing	śpiewa
singing	śpiewam
fifa	fifa
gender	płeć
gender	płci
lakes	jezior
lakes	jeziora
mail	mail
mail	poczta
jeff	jeff
electoral	wyborczych
emergency	nagłe
emergency	awaryjne
mode	tryb
christopher	christopher
christopher	krzysztof
heads	reszka
heads	głowy
heads	glowy
heads	głowice
heads	orzeł
proved	udowodniła
proved	udowodnił
priest	ksiądz
priest	księdza
priest	kapłan
priest	księża
funds	fundusze
funds	funduszy
investment	inwestycje
investment	inwestycji
investment	inwestycja
investment	inwestycyjne
investment	inwestowanie
romanian	rumuński
session	sesja
session	sesję
session	sesje
session	sesji
capture	schwytać
capture	uchwycić
aspects	aspektów
aspects	aspekty
reduce	zmniejszyć
reduce	zmniejszenia
reduce	zredukować
trophy	trophy
trophy	trofea
trophy	trofeum
abuse	nadużycia
abuse	nadużycie
abuse	nadużyć
abuse	nadużywanie
prefecture	prefektura
walk	spacer
walk	chodzić
walk	walk
normally	zazwyczaj
normally	normalnie
snow	śnieg
snow	śnieżka
snow	śniegu
shop	zakupy
shop	sklep
dakota	dakota
bush	bush
bush	buszu
bush	krzaki
coal	węgla
coal	węgiel
inhabitants	mieszkańców
inhabitants	mieszkańcy
gary	gary
employees	pracowników
employees	pracownicy
error	błąd
invited	zaproszono
invited	zaproszone
invited	zaproszeni
invited	zaproszony
cable	kabel
cable	kable
protein	białko
protein	białka
accident	wypadek
accident	awaria
decade	dekady
decade	dekadę
measure	środek
measure	środka
measure	miara
measure	miary
watched	obserwowana
watched	obejrzał
watched	obserwowane
watched	obserwowany
watched	obserwował
patients	pacjenci
patients	pacjentów
downtown	centrum
animated	animowany
satellite	satelitarne
satellite	satelita
satellite	satelitarnej
satellite	satelitarna
satellite	satelity
johnny	johny
johnny	johnny
combination	kombinacja
combination	kombinacje
courts	sądy
sequence	sekwencja
sequence	ciąg
sequence	kolejność
hook	haczyk
hook	hook
hook	hak
hook	haka
hook	haku
clean	czysty
clean	czysta
clean	czyste
owners	właściciele
owners	właścicielami
owners	właścicieli
twin	bliźniak
twin	twin
twin	bliźniaczki
describe	opisz
describe	opisać
defensive	obronne
islam	islamu
islam	islam
photos	fotografie
photos	zdjęcia
photos	zdjęć
photos	zdjecia
ottoman	osmańskiego
trained	wyszkoleni
trained	wyszkolony
affected	dotknięty
affected	dotknięte
routes	trasy
routes	szlaki
routes	tras
ministers	ministrowie
ministers	ministrów
wine	wina
wine	wino
lanka	lanka
carlos	carlos
landing	lądowania
landing	wyładunku
landing	lądowanie
collected	zebrane
collected	gromadzone
collected	pobrana
collected	zbierane
revival	revival
revival	ożywienie
revival	odrodzenie
rio	rio
communes	gminy
saturday	soboty
saturday	sobotę
saturday	sobota
mps	mps
guess	zgadnij
drop	rzuć
drop	zrzut
drop	kropla
sarah	sarah
sarah	sara
sarah	saro
swimming	pływania
swimming	pływanie
membership	członkostwa
membership	członkostwo
membership	przynależność
edinburgh	edynburgu
fit	fit
harris	harrisa
harris	harris
dallas	dallas
degrees	stopnie
degrees	stopni
bachelor	kawaler
personally	osobiscie
personally	osobiście
briefly	zwięźle
briefly	krótko
files	pliki
files	plików
conduct	postępowanie
conduct	prowadzenia
extreme	ekstremalnie
extreme	ekstremalne
courses	kursy
homes	domy
reaching	dotarcie
sought	zgromadziła
sought	poszukiwana
vision	wzrok
vision	wizji
vision	wizja
vision	widzenie
demand	popytu
demand	popyt
demand	zapotrzebowanie
demand	żądanie
vertical	pionowa
vertical	pionowo
vertical	pionowe
updated	aktualizacja
updated	zaktualizowane
updated	zaktualizowany
updated	zaktualizowana
marketing	marketing
marketing	obrót
marketing	marketingu
jason	jasona
jason	jason
consisted	polegał
appeal	odwołania
appeal	apel
appeal	odwołanie
plane	samolotem
plane	samolot
plane	płaszczyzna
quick	szybkie
quick	szybki
quick	szybko
victor	wiktor
victor	victor
dyk	dyk
solar	słoneczna
solar	słoneczny
solar	słoneczne
ages	wieki
neighborhood	sąsiedztwo
neighborhood	osiedle
neighborhood	dzielnica
neighborhood	okolica
wings	skrzydeł
wings	skrzydełka
wings	skrzydła
acid	kwasy
acid	kwas
matters	sprawach
rfc	rfc
constant	stałe
constant	stały
constant	stałej
constant	stała
additionally	dodatkowo
hip	hip
hip	biodra
hip	biodro
admins	administratorów
admins	administratorzy
nova	nova
ceremony	ceremonia
ceremony	ceremonii
ceremony	uroczystości
ceremony	uroczystość
chile	chile
composers	kompozytorów
nazi	naziści
nazi	nazistowskich
scholar	uczony
liverpool	liverpoolu
liverpool	liverpool
hero	bohatera
hero	hero
hero	bohater
hero	bohaterze
designer	projektant
instruments	instrumenty
instruments	przyrządy
welcome	zapraszamy
welcome	witam
welcome	witaj
welcome	zapraszam
welcome	witamy
hair	włosy
hair	sierść
hair	włosów
consecutive	kolejnych
movies	filmy
adjacent	sąsiadujących
pool	basenu
pool	pula
pool	bilard
pool	basen
norman	norman
norman	normana
collections	zbiory
collections	kolekcji
collections	kolekcje
belgian	belgijski
belgian	belgijskie
corporate	korporacje
corporate	korporacja
corporate	firmowe
austin	austin
driving	jazda
phone	telefony
phone	telefonicznie
phone	telefon
fly	fly
fly	latać
fly	leć
ian	ian
ian	lan
window	okna
window	window
window	okienko
window	okno
document	dokumenty
document	dokument
document	dokumentu
adams	adams
adams	adamsa
collaboration	współpracę
collaboration	współpracy
collaboration	współpraca
margaret	margaret
margaret	małgorzata
kennedy	kennedy
leg	nogę
leg	noga
videos	filmy
videos	filmiki
videos	wideo
assume	zakładać
assume	zakładaj
attached	dołączony
attached	załączony
attached	dołączone
dry	suchy
dry	pralnia
dry	sucha
dry	suche
dry	sucho
expand	rozszerzyć
expand	rozwinąć
bible	biblia
bible	biblię
bible	biblii
matthew	mateusza
matthew	mateusz
matthew	maciej
serbian	serbski
instrument	instrument
instrument	przyrząd
instrument	instrumenty
covering	obejmujące
random	przypadkowe
random	przypadkowa
random	przypadkowy
random	losowo
random	losowe
represents	reprezentuje
participants	uczestników
participants	uczestnikom
participants	uczestnicy
mentions	wzmianki
mentions	wspomina
portrait	portret
drivers	kierowcy
drivers	kierowców
drivers	sterowniki
airlines	airlines
franklin	franklin
franklin	franklina
viewers	widzowie
viewers	widzów
finnish	fiński
differences	różnice
venue	miejsce
vocal	vocal
element	pierwiastek
element	element
regularly	regularnie
rejected	odrzucono
rejected	odrzucone
rejected	odrzucona
rejected	odrzucony
relative	względne
relative	krewni
relative	krewny
relative	względna
illegal	nielegalny
illegal	nielegalna
illegal	nielegalne
stewart	stewart
roof	dach
roof	dachu
colour	kolor
colour	kolory
colour	barwa
colour	kolorowy
morgan	morgana
morgan	morgan
prisoners	więźniowie
prisoners	więźniów
facebook	facebooku
facebook	facebooka
facebook	facebook
attend	uczestniczyć
nelson	nelson
survived	przeżył
survived	przetrwał
survived	przetrwały
insurance	ubezpieczenie
insurance	ubezpieczenia
expert	biegły
expert	specjalista
expert	ekspert
expert	eksperta
expert	ekspertów
steam	parowa
steam	pary
steam	para
cards	kartki
cards	karty
cards	wizytówki
cards	kart
manufacturing	wytwarzanie
manufacturing	produkcja
testing	testy
testing	badanie
testing	testowanie
testing	badania
testing	próba
coastal	przybrzeżnych
coastal	przybrzeżne
yorkshire	yorkshire
rescue	uratować
rescue	ratowanie
rescue	ratunek
territories	terytoriów
territories	terytoria
thu	czw
thailand	tajlandia
thailand	tajlandii
choose	wybierz
vienna	wiedeń
vienna	wiedniu
journey	podróż
storage	składowanie
storage	magazyn
storage	przechowywanie
storage	magazynowanie
costs	koszty
singh	singh
soldier	żołnierz
soldier	żołnierzu
colony	kolonia
colony	kolonii
colony	kolonię
evolution	ewolucja
evolution	ewolucję
evolution	ewolucji
taiwan	tajwan
taiwan	tajwanu
hurricane	huragan
judges	sędziów
judges	sędziowie
gardens	ogrody
gardens	ogrodów
poems	wierszy
poems	wiersze
removing	usunięcie
removing	usuwanie
driven	silnikowym
driven	napędzane
responsibility	odpowiedzialności
responsibility	odpowiedzialność
sentences	wyroki
sentences	zdania
birmingham	birmingham
engineers	inżynierowie
engineers	inżynieria
engineers	inżynierów
visible	widoczna
visible	widoczny
visible	widoczne
substantial	znaczne
substantial	znaczna
substantial	znaczny
substantial	znaczący
gulf	zatoka
gulf	zatoce
installed	zainstalowany
installed	zainstalowane
installed	zainstalowana
revolutionary	rewolucyjny
inner	wewnętrzny
inner	wewnętrzna
trip	podróż
trip	wyjazd
trip	trip
trip	wycieczka
restaurant	restauracja
restaurant	restauracji
graham	grahama
graham	graham
stores	sklepy
rice	ryż
rice	ryżu
prove	udowodnić
prove	udowodnij
reasonable	uzasadnione
reasonable	rozsądne
reasonable	rozsądny
reasonable	rozsądna
skin	skóry
skin	skórę
skin	skóra
committed	popełnił
committed	zaangażowana
committed	zaangażowany
volleyball	siatkówka
volleyball	siatkówki
chose	wybrała
chose	wybrał
factors	czynniki
factors	współczynniki
hundreds	setki
injured	ranni
injured	ranny
injured	ranna
devices	urządzenia
phrase	wyrażenie
stanley	stanley
stanley	stanleya
lemmon	lemmon
thompson	thompson
suicide	samobójstwo
suicide	samobójstwa
advantage	przewaga
advantage	korzyść
advantage	przewagę
automatically	automatycznie
disc	dysk
disc	płyta
minimum	minimalna
minimum	minimum
minimum	minimalny
goods	towarów
goods	towary
charges	opłat
charges	ładunki
charges	opłaty
alfred	alfreda
alfred	alfred
operator	operator
operator	operatora
finishing	kończy
fred	freda
fred	fred
identify	identyfikacja
identify	zidentyfikować
producers	producenci
producers	producentów
producers	producentom
ann	ann
campbell	campbell
portland	portland
latest	najnowsze
latest	ostatnie
latest	najnowszy
releases	wydania
releases	uwalnia
victims	ofiarami
victims	ofiar
victims	ofiary
explanation	wyjaśnienie
explanation	wyjaśnienia
operate	operować
threat	zagrożenia
threat	zagrożenie
threat	groźba
threat	groźby
crossing	przekraczania
slow	powoli
slow	wolno
poets	poetów
stopped	zatrzymany
stopped	zatrzymane
stopped	przestał
strategy	strategia
strategy	strategii
wayne	wayne
wayne	łukasz
ranking	ranking
ranking	rankingu
disney	disney
wright	wright
residential	mieszkaniowe
residential	mieszkalnych
associate	wspólnik
associate	współpracownik
significance	znaczenie
ruled	rządził
ruled	orzekł
excellent	doskonała
excellent	doskonale
observed	obserwowany
observed	obserwowanych
observed	obserwowane
observed	obserwowana
threatened	zagrożony
threatened	groził
threatened	zagrożona
threatened	zagrożone
friendly	przyjacielski
friendly	przyjazny
friendly	przyjazna
friendly	przyjazne
friendly	friendly
redirects	przekierowuje
