ослободителната	išlaisvinimo
ноу	nou
апсолутен	absoliutas
апсолутен	absoliutus
ирена	irena
ирена	irena
контролиран	kontroliuojamų
контролиран	kontroliuojami
контролиран	kontroliuojama
њуфаундленд	niufaundlando
поло	polo
жестока	aršios
франконија	frankonija
прекрасно	nuostabaus
прекрасно	nuostabu
прекрасно	nuostabios
прекрасно	nuostabus
прекрасно	nuostabi
шега	pokštas
урду	urdu
абердин	aberdeen
беневенто	benevento
поларизација	poliarizacijos
авенија	ave
измислена	sugalvotas
крајбрежна	jūroje
имплементира	įgyvendina
никс	nix
молња	žaibas
молња	žaibo
дани	dani
тит	titas
иан	ian
срушена	sugriuvo
фармата	farm
амбуланта	greitąją
хесиод	hesiodas
баланс	balansas
карате	karate
пакување	pakavimo
несогласување	plyšiu
хоризонт	horizontas
дебел	storas
дебел	riebalų
дебел	riebalai
ками	kamiu
ками	durklai
душите	sielas
душите	sielos
бакунин	bakuninas
дијаграми	schemos
варовник	klintys
амбиции	ambicijų
помагање	padeda
шевченко	ševčenka
ват	vatas
телеком	telecom
телеком	telekom
компензација	kompensacija
компензација	kompensacijos
нееднаквост	nelygybė
турчин	turkas
очекување	lūkesčių
очекување	kol
тенисот	teniso
костими	kostiumai
костими	kostiumus
костими	kostiumų
перцепцијата	suvokimas
перцепцијата	supratimas
вердер	werder
обиколка	kelionių
обиколка	ekskursija
обиколка	kelione
безбедна	saugi
урината	šlapimas
урината	šlapimo
добротворна	labdaros
карен	karen
адвокати	teisininkai
адвокати	advokatai
мостар	mostar
оливија	olivija
баер	baer
донецк	donecko
бисери	perlai
темнината	tamsa
лине	linné
нејасни	neaiški
нејасни	neapibrėžtas
хемингвеј	hemingvėjus
кети	cathy
кети	katy
кети	keite
лудило	beprotybė
лудило	beprotybė
негира	neigia
нојштат	neustadt
лажен	klaidingai
лажен	netikra
лажен	netikras
несреќен	nesiseka
несреќен	nelaiminga
трилиони	trilijonus
трилиони	trln
фонт	šriftas
фонт	šrifto
примера	primera
олег	oleg
грофови	earls
даниеле	daniele
мајсторот	kapitonas
влечење	tempti
влечење	pateikiamos
џеки	jackie
темен	tamsus
темен	tamsi
темен	tamsiai
хајд	haidas
најт	žirgas
најт	riteris
роса	rosa
роса	rasos
роса	rasa
кота	cotta
пчели	bitės
пчели	bičių
пчели	bitės
пчели	bičių
пчели	bi
шепард	aviganis
шепард	shepard
тури	keliones
нејасно	neaiški
нејасно	neapibrėžtas
вложувања	investicijos
органско	ekologinio
бајројт	bairoitas
крик	sakalas
крик	upelio
веле	welle
европејци	europiečiai
кеплер	kepler
корења	šaknis
корења	šaknys
корења	šaknų
корења	šakniavaisiai
заб	dantis
заб	dantų
хусерл	husserl
ежен	eugène
шизофренија	minimi
јагуарот	jaguar
ткаенина	audinys
тула	plytų
опсерваторијата	observatorija
опсерваторијата	observatorijos
кокошка	višta
кокошка	vištiena
кокошка	vištos
кокошка	vištienos
кашлица	kosulys
комаров	komarovas
гог	gogo
рушење	griovimo
станови	butų
станови	butai
станови	butų
воин	karys
убиствата	žudynių
коридор	koridoriaus
коридор	koridorių
коридор	koridorius
бени	benny
елени	elniai
креативен	kūrybos
неутрални	neutralus
јудеја	judėją
јоханесбург	johanesburgo
фоки	ruonių
египќаните	egiptiečiai
делегацијата	delegacija
делегацијата	pavedimas
обувки	avalynė
обувки	bateliai
обувки	batai
обувки	batų
рударство	kasyba
рударство	kasybos
наградена	pagerbtas
сведоштва	diplomas
мирни	ramu
мирни	taikus
мирни	taikaus
диода	diodas
флечер	fletcher
исклучителни	išskirtinės
исклучителни	išimtiniais
исклучителни	išimtinės
појадок	pusryčiams
појадок	pusryčiai
појадок	pusryčių
џошуа	joshua
коњски	žirgas
коњски	arklys
коњски	arkliai
коњски	arklio
балон	balionas
балон	baliono
хоби	hobis
хоби	pomėgius
допре	paliečia
колиби	angarai
носна	nosis
носна	nosies
жаби	varles
жаби	rupūžės
ликвидација	likvidavimo
ликвидација	likvidavimas
недоразбирања	nesusipratimų
симпатии	užuojautą
пантеон	panteono
колонијална	kolonijinės
празнини	spragų
лозинка	slaptažodis
лозинка	slaptažodžio
лозинка	slaptažodį
амандман	pakeitimas
графичка	grafinis
графичка	grafikos
графичка	grafinio
меко	minkštas
меко	minkšta
хуманитарна	humanitarinė
хуманитарна	humanitarinės
ербас	airbus
оклопни	šarvuotas
оклопни	šarvuoti
мандарински	mandarinų
ѓавол	velnio
лапонија	laplandijos
речникот	žodynėlis
речникот	žodynas
речникот	žodyno
речникот	žodynas
шесто	šeštoji
шесто	šešta
шесто	šeštasis
шесто	šeštosios
хобс	hobsas
хобс	hobbes
бејзбол	kamuoliukas
бејзбол	beisbolo
банда	gaujos
банда	gauja
хајде	heide
пореметувања	sutrikimai
ерупција	išsiveržimas
алтај	altajaus
цитат	citatą
цитат	citata
сведоштво	diplomas
јуда	judas
посилен	stipresnis
каталози	katalogai
општинско	buitinių
титов	titovas
костуми	tinka
костуми	kostiumai
костуми	kostiumus
костуми	kostiumų
оксидација	oksidacijos
зелка	kopūstai
зелка	kopūstų
обврзниците	obligacijų
обврзниците	obligacijos
свештенство	dvasininkija
мега	mega
здружени	kombinuotosios
кајман	kaimanas
хиерархиски	hierarchinę
претседавач	turėtojas
ерменците	armėnai
собите	kambariai
гел	gelis
гел	gelio
гревови	nuodėmes
детекција	aptikimas
детекција	aptikimo
греење	šildymo
греење	šildymas
видал	vidal
непријателство	priešiškumas
камиони	sunkvežimiai
камиони	sunkvežimių
реџеп	recep
хармоника	akordeonas
јејтс	jeitsas
недоразбирање	nesusipratimas
барови	barų
војникот	kareivis
војникот	karys
шлезија	silezijos
универзални	universal
универзални	universalus
универзални	universaliųjų
тестовите	testai
тестовите	bandymai
либерална	liberalų
присилен	priverstinis
ток	tok
хатавеј	hathaway
измами	sukčiavimas
измами	sukčiavimo
измами	apgaulė
јунаци	didvyriai
соколи	sakalai
соколи	vanagai
претставништва	filialai
претставништва	šakos
адел	adel
адел	adele
обликување	formavimo
ребра	šonkaulių
кромвел	cromwell
затворил	įkalina
роботи	robotai
темза	thames
везер	vėzerio
прецизен	tikslios
прецизен	tikslūs
улични	gatvė
улични	gatvės
чекање	laukiu
чекање	laukia
чекање	laukimas
покриеност	aprėpties
цилиндар	cilindro
цилиндар	cilindras
хеликоптер	sraigtasparnio
хеликоптер	sraigtasparnis
хеликоптер	sraigtasparnis
доброволни	savanorišką
рецепт	skyrimą
рецепт	receptas
диктатор	diktatorius
дагестан	dagestane
полубрат	įbrolis
алтона	altona
хорхе	jorge
путер	sviesto
путер	sviestas
пешадиски	pėstininkų
скромен	kuklus
скромен	kuklus
телефонија	telefonijos
хера	hera
мокра	vat
атлетичари	sportininkai
вари	virinant
инструктор	instruktorius
кентаки	kentukio
бојл	boyle
убедува	įtikinti
лимфни	limfomos
лимфни	limfoma
облечена	apsirengęs
младенчиња	jauniklius
анатолиј	anatolijus
страмер	strummer
тивко	tyliai
тивко	tyli
тивко	ramu
тивко	tyliai
храбар	drąsus
храбар	drąsūs
храбар	drąsių
бенгал	bengalijos
потрошени	praleido
потрошени	praleistas
потрошени	išleista
прометеј	prometėjas
техеран	teherane
техеран	teherano
техеран	teheranas
питсбург	pitsburgo
продавачи	pardavėjai
продавачи	pardavėjai
креда	kreida
артерии	arterijų
брунеј	brunėjus
компаративна	lyginamosios
компаративна	lyginamasis
симболично	simboliškai
симболично	simbolinę
фабриките	gamyklos
фабриките	gamyklų
несигурност	neaiškumų
непотребни	nereikalingos
непотребни	nereikalingų
непотребни	nereikalingi
архимед	archimedas
џиновски	giant
фереро	ferrero
забот	dantis
забот	dantų
ној	strutis
виножито	rainbow
перење	plauti
перење	plovimas
перење	skalbimo
перење	plovimas
лика	lika
еволуирале	vystosi
застрелан	kadras
решени	išspręsta
стела	stela
фризиски	fryzų
прада	prada
минаре	minaretas
чудовиште	pabaisa
чудовиште	monstras
замислена	įsivaizduojamą
портокалово	apelsinų
протекува	nuotėkis
протекува	nutekėjimas
протекува	nebloga
експериментален	eksperimentinių
поместува	pamaina
плочка	plytelių
плочка	plokštė
плочка	plokštės
заоблена	suapvalintas
продадена	parduota
продадена	parduodami
продадена	parduotas
продадена	parduodama
јака	stiprūs
јака	tvirtas
јака	stipri
јака	stiprus
синагоги	sinagogas
повлечена	atšauktas
краина	krajina
примат	primatas
полјаци	lenkai
собирал	surinkti
вечна	amžina
вечна	nesensta
преживеан	našlių
бург	burg
изум	išradimas
скратена	sutrumpintas
шишиња	butelius
шишиња	buteliukai
шишиња	buteliai
незадоволни	nepatenkintas
покровител	rėmėjas
коза	ožkų
коза	ožys
вртат	verpimo
кафка	kafka
дебела	storas
дебела	riebalų
дебела	riebalai
опседнат	apsėstas
опседнат	apsėstas
штрајк	streikas
кокошки	viščiukai
кокошки	vištos
кокошки	viščiukų
верувајќи	manyti
мартинез	martinez
мартинез	martínez
бинарни	dvejetainis
аљаска	aliaska
герхард	gerhard
продажна	pardavimai
продажна	pardavimas
продажна	parduotas
пченицата	kviečiai
пченицата	kviečių
толпа	mafija
толпа	mob
толпа	minios
толпа	minia
паули	pauly
паули	pauli
министерства	ministerijų
министерства	ministerijos
министерства	portfelius
сириски	sirijos
саи	sai
емоционална	emocinis
одисеј	odisėjas
чудна	keistas
чудна	keistai
чудна	keista
чудна	keistas
чудна	keista
праша	paprašė
балистички	balistinių
назначена	paskirtas
восхит	susižavėjimo
именик	aplankas
епл	apple
неизбежно	neišvengiamai
неизбежно	neišvengiama
инвестиција	investicijos
инвестиција	investicija
шарм	žavesio
шарм	žavesį
пешадиска	pėstininkų
торта	pyragas
торта	tortas
компири	bulvės
компири	bulvių
компири	bulves
компири	bulvėms
кариери	karjerai
кариери	karjera
кариери	karjeros
возрасна	suaugusieji
возрасна	suaugusiems
возрасна	suaugusiųjų
фрактура	lūžio
фрактура	lūžių
фрактура	lūžis
резервоар	tvenkinys
резервоар	rezervuaras
надева	viltis
надева	viltys
стоела	stovėjo
адаптации	adaptacijos
постер	plakatas
индонезиски	indonezijoje
индонезиски	indonezijos
индонезиски	indonezija
светлосна	šviesos
градител	builder
кујни	virtuves
ска	ska
вероника	veronika
несогласувањата	nesutarimų
сифилис	sifilis
јитланд	jutlandijos
клукајдрвец	genys
бум	bam
бум	bum
лакови	lankai
лана	lana
јонизација	jonizacijos
навреда	žeidžia
навреда	įžeidimas
берат	berat
ракување	tvarkymo
вангелис	vangelis
продавач	pardavėjo
продавач	pardavėjas
критикувана	kritikavo
труп	lavonas
труп	skerdenos
ени	ene
шлем	šalmą
академии	akademijų
исфрлање	išstumti
стефани	stefani
стефани	stefanie
фламански	flamandų
автопати	greitkelių
автопати	greitkeliai
лабрадор	labradoras
вселена	kosmosas
банкрот	sulaužė
банкрот	bankrotas
готвач	šefas
обединува	vienija
спонзори	rėmėjų
спонзори	rėmėjai
мира	mira
разумно	pagrįstai
франклин	franklinas
научникот	mokslininkas
загадувањето	užterštumas
загадувањето	tarša
пункт	checkpoint
бројгел	brueghel
мажена	vedęs
мажена	ištekėjusi
страдања	kančia
страдања	kančias
страдања	kančios
бензин	benzino
бензин	benzinas
бензин	dujos
бензин	benzinas
облакодери	dangoraižius
каса	kasas
шорцеви	šortai
конте	conte
кајзер	kaiser
базени	baseinai
партиска	partizanas
енгелс	engels
кревети	lovos
синсинати	sinsinačio
ноа	nojus
дискретни	atskiros
суптропска	subtropiniai
свињите	kiaulės
свињите	kiaulėms
исклучува	neapima
скици	eskizai
фараон	faraonas
глобализација	globalizacija
фаќање	surinkimo
султанат	sultonatas
спасител	gelbėtojas
диференцијални	skirtumas
ребека	rebecca
демпси	dempsey
иновација	naujovė
иновација	naujovės
нереди	riaušės
нереди	neramumai
нереди	sutrikimas
произведена	gaminami
воскресение	prisikėlimo
капитол	kapitolijaus
магнет	magnetas
бодлер	baudelaire
урнатините	griuvėsiai
анархија	anarchija
заборави	pamiršti
будва	budvos
возбуда	įtampa
лен	linai
лен	linų
лен	len
кедел	cadel
блум	žydi
воодушевен	sujaudinti
исправен	tiesus
исправен	tiesiai
конец	verpalai
конец	siūlai
конец	siūlus
продуктивност	našumas
продуктивност	produktyvumas
обврската	pareiga
обврската	įsipareigojimas
обврската	įpareigojimas
тристан	tristan
должен	skolingas
фелипе	felipe
винстон	winston
поддржувачите	rėmėjų
франци	frankų
фиш	žuvis
фиш	žuvys
фиш	žuvų
благ	lengvu
благ	lengvas
асимилација	asimiliacijos
аптека	vaistinės
аптека	vaistinė
светозар	svetozar
атика	atika
цвета	žydėti
цвета	žydėjimas
растројство	sutrikimas
филијали	filialai
филијали	šakos
елтон	eltonas
гнев	rūstybė
гнев	pyktis
иницијатор	iniciatorius
продавајќи	parduodama
невработени	bedarbiai
невработени	bedarbis
бал	bal
бал	balius
бал	kamuolys
софи	sofi
хоџа	hoxha
сончево	saulėta
легури	lydiniai
одбиено	atsisakė
одбиено	atmestas
одбиено	atmesta
џои	džo
козметика	kosmetika
корушка	karintija
абел	abel
топче	balius
топче	kamuolys
егото	ego
распнат	nukryžiuotas
