எழுதவும்	write
சந்தர்ப்பம்	context
ஆண்டர்சன்	anderson
சிக்னல்	signal
அடையாறு	adyar
மோடம்	modem
கிளென்	glen
கிளென்	glenn
விவகாரங்கள்	affairs
காபூல்	kabul
அரிவாள்	sickle
பேச்சாளர்கள்	speakers
எலிகள்	mice
வைன்	wine
வாடிக்கையாளரின்	client
பட்டினி	starvation
விரிவாக்கி	boldness
பழமொழிகள்	proverbs
திறக்கும்	opening
ராபர்ட்ஸ்	roberts
ஜேக்மேன்	jackman
கிரி	kiri
அசிட்டேட்டு	acetate
மருமகன்	nephew
பக்தர்களின்	upa
கிரகங்கள்	planets
காவி	saffron
தோழன்	mate
நாட்டியம்	dance
நிறைவுற்ற	saturated
திவ்யா	divya
கடனை	debt
சாஹிப்	sahib
மகேந்திர	mahendra
உபரி	extras
உபரி	surplus
அனுபவ	exp
குட்டிகள்	cubs
குட்டிகள்	puppies
ஓவியத்தை	painting
மணமகள்	bride
சின்னப்பர்	thebes
நிரூபிக்க	prove
ஜூலி	juli
ஜூலி	julie
சொல்லாட்சி	rhetoric
அலங்கரிக்கப்பட்ட	decorated
ஒலிகள்	sounds
ஜோர்டான்	jordan
பிரபஞ்சம்	universe
பிரபஞ்சம்	galaxy
சிறுநீரகம்	kidney
மறக்க	forget
பிளாங்க்	planck
நடித்தது	starring
சுயசரிதை	biography
ரூபி	ruby
அத்தை	auntie
அத்தை	aunty
அத்தை	aunt
துரோகம்	betrayal
துரோகம்	treason
சீரோ	ciro
சரியா	right
பிட்டு	bit
கார்லோ	carlo
நடக்கின்றன	happening
பக்கத்து	neighbour
அவகாசம்	respite
ஆரியர்	aryan
பண்பேற்றம்	modulation
திரி	tri
டேம்	dame
உஷா	usha
படுக்கையில்	bed
விவசாயி	farmer
வழங்குநர்	host
வழங்குநர்	provider
பதினொன்று	eleven
வெளிநாட்டில்	abroad
திறமைகளை	talents
திறமைகளை	abilities
இரகசியமாக	secretly
முன்னேற்றத்தை	progress
முகமூடி	mask
கோல்ட்மேன்	goldman
எலியட்	eliot
வியாபாரிகள்	vendors
மொழிபெயர்க்கப்பட்டது	translated
பட்லர்	butler
காட்டப்பட்டது	discard
காட்டப்பட்டது	shown
தந்தையர்	fathers
பஜாஜ்	bajaj
முபாரக்	mubarak
வயர்லெஸ்	wireless
ஜின்னா	jinnah
குளூனி	clooney
பென்னி	penny
பென்னி	benny
லூக்	luke
ஹன்னிபால்	hannibal
வில்லி	willy
பொய்யான	false
பொய்யான	fake
ஸ்ரீநகர்	srinagar
படத்தைப்	photo
முற்றத்தில்	yard
தேவாலயங்கள்	churches
மல்யுத்தம்	wrestling
டோ	toe
பெட்ரோ	pedro
பிம்பம்	image
இறுக்கம்	compression
இழப்பீடு	compensation
பொட்டு	bindi
கோலங்கள்	drawings
நீட்டிப்பு	extend
நீட்டிப்பு	hangover
வினைச்சொல்	verb
பிசுமத்	bismuth
ஜாகுவார்	jaguar
கிராமத்திற்கு	village
பாணிகள்	styles
அல்ஜீரியா	algeria
குளிர்காலம்	winter
குறிப்பான	specific
காத்துக்	waiting
செதுக்கப்பட்ட	carved
ஜெனிபர்	jennifer
மஹா	maha
டோம்	dome
ஆராய்ச்சியாளர்	researcher
நதியா	nadia
பத்திரிக்கையாளர்	journalist
இர்வின்	irwin
இர்வின்	irvine
பங்குதாரர்கள்	stakeholders
கட்ச்	kutch
புரூக்	brooke
புரூக்	brook
உற்பத்தியாளர்	manufacturer
புதன்கிழமை	wednesday
கொரியன்	korean
முன்னொட்டு	prefix
படக்	batak
தவ	tava
சாமா	chama
விவகாரம்	scandal
விவகாரம்	issue
முதலாளித்துவ	capitalist
பயோடீசல்	biodiesel
பாடு	sing
கொதிக்க	boil
சையத்	syed
பண்டார	pandora
தமன்	daman
சியாம்	siam
பாகா	baja
கிடங்கு	warehouse
கிடங்கு	repository
சொட்டு	drip
சோடா	soda
அஜய்	ajay
நாஷ்	nash
பொருந்தாத	unmatched
பயங்கரமான	scary
பயங்கரமான	terrible
மலரின்	crushes
பொறுத்தே	depends
சிறப்பானது	featured
குங்குமப்பூ	saffron
வெனிலா	vanilla
உரையாற்றினார்	addressed
வழித்தடங்கள்	routes
துறவறம்	saint
குடிக்கும்	drinking
பார்க்கப்பட்டது	seen
பார்க்கப்பட்டது	watched
பார்க்கப்பட்டது	viewed
காப்பாளர்	maintainer
மேனி	manny
கையாளுதல்	handling
கையாளுதல்	manipulation
வழங்குவதில்	providing
டாப்ளர்	doppler
அடித்தள	basement
கார்டர்	carter
ரைடர்ஸ்	riders
குடிமகன்	citizen
பேராசிரியர்கள்	professors
உருகிய	melted
பால்டிக்	baltic
ஏற்கப்பட்டது	accepted
அரசுகளும்	governments
மொசாம்பிக்	mozambique
ஹரியானா	haryana
ஒட்டுண்ணி	parasites
சுடும்	shooter
ஃபெராரி	ferrari
ஜாதி	caste
நிறுத்தங்கள்	stops
நாகை	nagai
பர்	burr
ஈரம்	wet
மிருகங்கள்	animals
விதிவிலக்கு	exceptions
பொறுமை	patience
குறிப்பை	note
கன்னியர்	maidens
ஜார்ஜியா	georgia
சிறகுகள்	feathers
சிறகுகள்	wings
காகம்	crow
அசலான	pristine
ஜிகாத்	jihad
பையன்	boy
பையன்	guy
மெய்யான	original
கோர்டன்	gordon
பெக்	beg
ஹாரிசன்	harrison
கீத்	keith
சுற்றுகள்	rounds
விரும்புகின்றனர்	reciprocate
குறும்படங்கள்	icons
குரல்கள்	voices
சிண்ட்ரெல்லா	cinderella
பானு	banu
மோ	moe
தோட்டக்கலை	horticulture
தோட்டக்கலை	gardening
தீவுக்கூட்டம்	archipelago
அலைந்து	wander
இஞ்சி	ginger
கணவனை	hubby
காசநோய்	tuberculosis
கிட்ஸ்	kidz
பிரான்	braun
பிரான்	piran
ஏபெல்	abel
பெல்ஜிய	belgian
சமரசம்	compromise
பணியாளர்களின்	employees
பணியாளர்களின்	staff
முந்திரி	cashew
தோராயமான	rough
உருவகம்	sighting
திறமைகள்	skills
திறமைகள்	talents
விஷம்	poison
அச்சே	aceh
பீங்கான்	porcelain
கரோலின்	caroline
மதிப்புறு	literal
விஸ்கி	whiskey
விஸ்கி	whisky
பேனா	pen
பேனா	opengl
திணிப்பு	dump
மசாலா	masala
ஸல்	sal
மாஸ்	mass
குத்து	punch
நட்டு	nut
சொகுசு	luxury
நம்பத்தகுந்த	faithfully
ஐஸ்வர்யா	aishwarya
யே	yay
குங்	kung
சேகரிக்க	collect
சிதறல்	scattering
ஆலம்	alam
சுவடுகள்	trails
உகாண்டா	uganda
கருக்கலைப்பு	abortion
உருப்படிகள்	items
வெளியாகிறது	releasing
கர்ப்பப்பை	cervical
கரீம்	karim
கரீம்	kareem
காத்மாண்டு	kathmandu
இரவுகள்	nights
ஷர்மா	sharma
வைமாக்ஸ்	wimax
செவ்வாய்க்கிழமை	tuesday
பரிசுத்த	holy
சியாங்	chiang
சியாங்	xiang
வரதட்சணை	dowry
சர்வாதிகாரி	dictator
புதர்	bushy
பீஸ்	pis
பீஸ்	beas
முகில்	cloud
கிட்மேன்	kidman
கிராமங்களை	villages
பூசி	warm
கற்றை	strands
முடுக்கம்	acceleration
இருக்கும்போதே	while
ஐபிஎல்	ipl
கடத்தப்பட்ட	kidnapped
சோர்ஸ்	soares
இறுக்கமாக	tight
விரும்பத்தகாத	unpleasant
இசைக்கு	tune
இத்தாலியன்	italian
ஒயிட்	white
தொந்தரவு	harassment
தொந்தரவு	disturb
தால்	dal
தால்	taal
சான்டா	santa
கேளுங்கள்	listen
ஃபிராங்கண்ஸ்டைன்	frankenstein
கிடைமட்ட	horizontal
கேன்ஸ்	cannes
கிளாஸ்கோ	glasgow
மட்டு	modular
ஹாலந்து	holland
வடிகால்	drainage
ஆக்ஸிஜன்	oxygen
செருகி	plugin
அடுப்பு	stove
புல்வெளி	grassland
புல்வெளி	lawn
பழைமை	antiques
அடிமைத்தனம்	slavery
அடிமைத்தனம்	addictive
குரோ	kuro
குரோ	cro
குரோ	gro
தொடர்புடையவை	related
லைலா	leila
ஷேக்ஸ்பியர்	shakespeare
மெர்ரில்	merrill
புரிந்தவர்	perpetrators
அன்ரன்	anton
வீர்	veer
ஜாஸ்	jazz
அன்பும்	love
கலவைகள்	compounds
வைரல்	viral
சகாப்தம்	era
சேதி	sethi
அர்ஜூன்	arjun
தானியம்	grain
தானியம்	cereal
மூ	moo
ரூஸ்வெல்ட்	roosevelt
டொபாகோ	tobago
செப்பெலின்	zeppelin
சாத்தியங்கள்	possibilities
ஆர்டர்	ordered
ஆர்டர்	order
மதுவிலக்கு	prohibition
பயணிகளும்	travelers
கரங்கள்	hands
அரசியலிலும்	concentrating
படிவங்கள்	forms
நிறைவடைந்தது	finished
நெடுந்தீவு	delft
சமர்	samar
தீர்மானிக்கிறது	determines
திருடன்	thief
கபில	chestnut
ஜோவி	jovi
நாற்காலி	chair
விற்பனையாளர்	seller
ஓநாய்	wolf
வர்ண	pigment
பாகு	baku
கோலார்	kolar
பீட	plateau
கிராமத்து	village
உத்திகளை	strategies
பத்தொன்பது	nineteen
பிரிமியர்	premiere
ஹாப்	hop
தேவதைகள்	fairies
தேவதைகள்	angels
கோர்ட்	court
அஸ்ஸாம்	assam
லூனா	luna
முன்மொழியப்பட்ட	proposed
ஆண்டனி	anthony
அருளும்	grace
நறுமணம்	fragrance
தோசை	dosa
சுயமாக	self
தேனீக்கள்	bees
அறிக்கைகளை	statements
உரங்கள்	fertilizers
பெண்டிர்	ladies
நெறிகள்	protocols
நார்மாண்டி	normandy
எல்லாவற்றிலும்	everything
ஃபேஸ்புக்	facebook
ஜோனாஸ்	jonas
செய்தித்தாள்கள்	newspapers
ஜேக்கப்	jacob
நெற்றி	forehead
உணர்தல்	realization
சந்தித்தனர்	meet
பூசாரி	priest
உதாரணமாகும்	sportsmanship
வணிகங்கள்	businesses
லாலா	lala
பிங்	bing
பிங்	ping
கபீர்	kabir
திருப்பு	flip
ஆணி	nail
சிந்திக்க	ponder
டிஸ்கவரி	discovery
ஆத்தர்	arthur
சத்ய	satya
குறைத்தது	reduced
கலந்துகொண்டனர்	attended
இல்லாமலே	without
மதீனா	medina
மோர்கன்	morgan
மன்மதன்	cupid
வீனஸ்	venus
பெய்லி	bailey
பெய்லி	baily
தொகுக்கப்பட்டது	compiled
எளிமை	simplicity
மினாக்	minogue
லூர்து	lourdes
மன்சூர்	mansoor
எஸ்தர்	esther
டூர்	tour
சுற்றிப்	around
இம்பால்	imphal
சுழலி	turbine
புலிட்சர்	pulitzer
ஆய்வக	laboratory
நெபுலா	nebula
பகைமை	enmity
பாட்டியாலா	patiala
கிரியை	works
அமல்	amal
பாதிக்கப்பட்டவர்கள்	victims
வெற்றிடம்	vacuum
துடுப்பு	fin
துடுப்பு	paddle
விரிவுரையாளர்	lecturer
கலந்துகொண்ட	attended
வினாடி	second
பத்திரிகையாளர்கள்	journalist
பத்திரிகையாளர்கள்	journalists
டோன்	tone
பிக்காசோ	picasso
பீட்	pete
சமத்துவ	eritrean
தேடிய	searched
மேம்படுத்தப்பட்டது	optimized
அடைவு	directory
அடைவு	folder
பிடியில்	grip
துளி	drop
கெல்லர்	keller
கணித்த	predicted
பரிந்துரையை	recommendation
அகதி	refugee
ஆதாம்	adam
ஃபிஸ்துலா	fistula
அவென்யூ	avenue
கோழிகள்	chickens
மறுக்கப்பட்டது	denied
பெல்லி	belle
நலத்துறை	welfare
குத்தகை	lease
ரஸ்புடின்	rasputin
எகான்	akon
தியோடர்	theodore
ரிக்கோ	riko
ஹலோ	hello
வடை	vada
ஹார்வர்டு	harvard
சசி	shashi
சசி	sasi
கண்டியில்	kandy
புத்தம்	brand
வனவிலங்குகள்	wildlife
கேட்டது	heard
உளர்	nourish
பத்மா	padma
ரசியா	razia
பொலிவு	buff
ஒட்டாவா	ottawa
தோற்றது	failed
#ஒரு	#one
#ஒரு	#an
மூலை	corner
இமாலய	himalayan
நூர்	noor
அஃப்லெக்	affleck
நொதித்தல்	fermentation
ஆஸ்கர்	oscar
டேவி	davey
ஜகார்த்தா	jakarta
கார்ட்	cart
காக்ஸ்	cox
பாஷா	basha
பாஷா	pasha
எக்செல்	excel
முட்கள்	thorns
வினாக்கள்	questions
செயலற்ற	idle
கைரேகை	fingerprint
இலினொய்	illinois
எத்தியோப்பியா	ethiopia
நாரதர்	narada
வாக்களிக்கும்	voting
கண்ணுக்குத்	invisible
பெல்லா	bella
லாரா	laura
லாரா	lara
பிரான்சுவா	francois
பிரான்சுவா	françois
அற்புதம்	awesome
அற்புதம்	yummy
பெர்க்லி	berkeley
மொழிபெயர்க்க	translate
மக்சேசே	magsaysay
அதிசயம்	miracle
அதிசயம்	wonder
எபிசோட்	episode
கியோட்டோ	kyoto
ஊக்கிகள்	starters
கச்சேரிகள்	concerts
எடி	eddie
எடி	eddy
எடி	ede
இஸ்லாமியர்கள்	muslims
ஆப்கான்	afghan
கரன்	karan
அப்துல்லாஹ்	abdullah
அல்பேனியா	albania
பிலாத்து	pilate
மறுவாழ்வு	rehab
மகிமை	glory
பாத்	bath
