ワトソン	왓슨
インストラクター	강사
イノベーション	혁신
イノベーション	혁신
窃盗	도난
窃盗	절도
窃盗	도둑
窃盗	도둑질
合図	신호
コンビネーション	조합
濃縮	농축
濃縮	농축
喋る	말하기
シャーリー	셜리
いとこ	사촌
いとこ	사촌
いとこ	사촌동생
本屋	서점
スリム	슬림
前奏曲	전주곡
ディスカバリー	디스커버리
ディスカバリー	발견
パレルモ	팔레르모
シャンプー	샴푸
伐採	로깅
フレア	플레어
フレア	플레인
三崎	미사키
思春期	사춘기
バリア	장벽
ロッテルダム	로테르담
ダイアモンド	다이아몬드
不快	불편하다
不快	불편
不快	불편함
不快	불편해
ピサ	피사
外傷	부상
外傷	트라우마
外傷	외상
パルプ	펄프
ヴェルサイユ	베르사이유
ヴェルサイユ	베르사유
エイドリアン	아드리안
カイル	카일
朝食	아침밥
朝食	아침식사
朝食	아침
朝食	조식
脂質	지질
ミネアポリス	미니애폴리스
累積	누적
ロート	로스
カルテット	콰르텟
カルテット	사중주
小文字	소문자
同棲	동거
紫外線	자외선
予告編	예고편
予告編	트레일러
ロウ	로우
シルク	명주
シルク	실크
シルク	비단
モザンビーク	모잠비크
モザンビーク	모잠비크
アフマド	아흐메드
アフマド	아흐마드
ユリア	율리아
ユリア	쥘리아
ユリア	줄리아
ヴィンチ	다빈치
トゥールーズ	툴루즈
車いす	휠체어
マリーナ	마리나
興味深い	흥미롭다
興味深い	흥미로운
興味深い	재미있는
フリーズ	냉동
フリーズ	동결
フリーズ	꼼짝
スパイラル	나선
スパイラル	나선형
疑念	의심스럽다
疑念	의심
疑念	의심
疑念	의심
アソシエーション	협회
バリトン	바리톤
アッバース	압바스
アッバース	아바스
失望	실망
租税	납세
租税	세금
オウム	앵무새
廊下	복도
廊下	코리더
コレクター	컬렉터
コレクター	콜렉터
カノ	카노
整形	포맷
整形	서식
インパルス	충동
インパルス	임펄스
トルーマン	트루먼
アイデンティティ	정체성
アイデンティティ	본인
ジェノヴァ	제노바
キツネ	폭스
キツネ	여우
フォート	포트
フォート	요새
ハイジャック	납치
プロパガンダ	선전
ハーモニカ	하모니카
イージー	쉽게
イージー	쉬운
イージー	쉬워
イージー	아쉬운
風邪	춥다
風邪	감기
風邪	추위
風邪	차가운
風邪	감기
ストレージ	저장소
ストレージ	스토리지
ストレージ	저장
シチュエーション	상황
シチュエーション	상황이
サンスクリット	산스크리트어
スノーボード	스노보드
スノーボード	스노보드
厳重	엄격한
青銅	청동기
青銅	청동
スルターン	술탄
貯蓄	저축
キャラメル	캐러멜
船尾	스턴
船尾	stern
冊子	소책자
いくらか	일부
パラシュート	낙하산
アレイ	배열
アレイ	어레이
アレイ	배열
九龍	주룽
九龍	구룡
ツバメ	삼킬
腎臓	콩팥
腎臓	신장
ブレスト	브레스트
抑圧	억압
ストラスブール	스트라스부르
コックス	콕스
コルドバ	코르도바
リアリティ	리얼리티
リアリティ	현실
温室	음악원
温室	온실
稼ぐ	적립
稼ぐ	적립
うつ病	우울증
ダンテ	단테
ギヨーム	기욤
会報	뉴스레터
ジェット機	제트
ジェット機	제트기
双対	이중성
社交	사교
多分	아마도
多分	아마
接吻	키스
接吻	kiss
メイソン	메이슨
メイソン	mason
アイダホ	아이다호
イエメン	예멘
イエメン	남예멘
イエメン	예멘
ジャーナリズム	저널리즘
湿度	습작
湿度	습윤
湿度	습기
湿度	습도
湿度	습기
ボリューム	볼륨
ボリューム	볼륨
サプライ	공급
ボンネット	후드
食肉	고기
食肉	고기
生き物	생명체
生き物	생물
マーカー	마커
マーカー	마커
酵母	효모
マンモス	매머드
土産	기념품
土産	기념품
ムーンライト	문라이트
ムーンライト	달빛
退院	방전
退院	퇴원
退院	분비물
ジャガイモ	감자
ジャガイモ	감자
ゴッホ	고흐
砂丘	사구
カヌー	카누
加速度	가속도
加速度	가속
加速度	가속
ロレーヌ	로렌
ロレーヌ	로레인
執政官	영사
エイズ	에이즈
気絶	기절
ハノイ	하노이
推論	추정
推論	추론
推論	추리
推論	추론
モルガン	모건
ホームレス	노숙자
ハニー	여보
ハニー	허니
やむを得ない	불가피한
やむを得ない	불가피
ゆっくりと	천천히
大理石	대리석
アイリス	아이리스
アイリス	이리스
ハンク	행크
性交	성교
性交	성관계
焼肉	바비큐
焼肉	바베큐
ニックス	닉스
シュナイダー	슈나이더
略語	약어
略語	약자
略語	약어
ブレア	블레어
ブレア	blair
ウォリアーズ	전사
ウォリアーズ	워리어스
おっぱい	가슴
治癒	치료
カラフル	화려하다
失業	실업
精算	결제
バリュー	가치
残高	균형
残高	밸런스
残高	잔액
フセイン	후세인
フセイン	후세인
弾性	탄력성
弾性	탄성
セレモニー	의식
ワイオミング	와이오밍
風習	관세
風習	세관
風習	관습
風習	커스텀
風習	맞춤
エピック	에픽
エピック	서사시
カイト	연이
新太郎	신타로
ノーザン	북부
腐食	부식
友愛	박애
メソジスト	감리교
内面	인테리어
内面	내부
内面	내부
孫娘	손녀
ブランク	비어
エリトリア	에리트레아
刺青	문신
刺青	타투
刺青	문신
ポリシー	정책
ポリシー	방침
ポリシー	정책
ベーカー	베이커
ブレット	브렛
新入生	신입생
ヴェルナー	베르너
ニジェール	니제르
ウォーキング	걷고
ウォーキング	워킹
ウォーキング	걷는다
ウォーキング	걷기
ウォーキング	걷기
作り方	레시피
レボリューション	레볼루션
レボリューション	레벌루션
レボリューション	혁명
節約	저축
乳房	유방
乳房	가슴
娼婦	창녀
娼婦	매춘
クルアーン	꾸란
トレンド	추세
トレンド	trend
トレンド	경향
トレンド	트렌드
トレンド	경향
トレンド	트렌드
トレンド	인기
ハイキング	하이킹
ハイキング	하이킹
野心	야망
インスタント	즉석
インスタント	인스턴트
インスタント	즉시
伝染病	감염증
伝染病	염증
伝染病	감염
人柄	성격
人柄	인격
人柄	개성
ソーダ	소다
ヘレナ	헬레나
四角	제곱
四角	스퀘어
四角	광장
四角	사각형
四角	정사각형
ミニチュア	미니어처
落札	팔렸다
落札	판매
悟り	계몽주의
悟り	계몽
バーニー	바니
バーニー	버니
略記	약어
略記	약자
刀剣	도검
フュージョン	융합
フュージョン	핵융합
フュージョン	퓨전
ウラル	우랄
グロリア	글로리아
レックス	렉스
さようなら	굿바이
過激派	극단주의
ミランダ	미란다
江田	eda
赤毛	빨강머리
カウンセリング	상담
タシュケント	타슈켄트
偽名	alias
偽名	별칭
偽名	별명
偽名	별칭
偽名	별명
ウール	양모
ウール	양털
無実	무죄
無実	innocent
アンドレアス	안드레아스
閉会	닫기
シェフィールド	셰필드
モンゴメリー	몽고메리
ソケット	소켓
ソケット	소켓
シーサイド	해변
閉じる	닫기
閉じる	닫습니다
閉じる	닫아
閉じる	무시
閉じる	닫기
トランジスタ	트랜지스터
ジュディ	주디
ジュディ	쥬디
プリンター	프린터
アーマー	갑옷
チャペル	채플
チャペル	예배당
ヴィクター	빅토르
ヴィクター	빅터
アブー	abu
ジェニー	제니
ジェニー	jenny
ジェニー	제니
菌類	곰팡이
ハムレット	햄릿
球形	스피어
メイヤー	마이어
水俣	미나마타
両生類	양서류
海辺	해변
配送	게재
配送	배송
配送	배달
配送	배송
配送	발송
ジャネット	재닛
ジャネット	자넷
答弁	응답
答弁	정답
答弁	대답해
答弁	대답
答弁	답변
密輸	밀수
密輸	밀수
スロープ	경사
本能	본능이
本能	본능적
本能	본능
本能	본능
用例	예시
用例	예제
プレビュー	미리보기
プレビュー	예고편
プレビュー	미리보기
ゼウス	제우스
不規則	불규칙
コロンブス	콜롬버스
コロンブス	콜럼버스
口頭	구강
寛子	히로코
ジンバブエ	짐바브웨
ジンバブエ	짐바브웨
ヘラクレス	허큘리스
ヘラクレス	헤라클레스
訃報	죽음
光度	강도
光度	강조
ビューティフル	아름다운
ビューティフル	아름다워
ビューティフル	아름답다
ホロコースト	홀로코스트
タタール	타타르족
タタール	타타르어
タタール	타타르
ソリューション	해결책
ソリューション	솔루션
ソリューション	해결책
ソリューション	솔루션
同情	동정
同情	연민
同情	동정
コーエン	코헨
挙動	행동
挙動	행동
挙動	동작
挙動	행위
ムアン	므앙
トワイライト	트와일라잇
トワイライト	황혼
サムスン	삼성
ルネッサンス	르네상스
谷間	골짜기
谷間	밸리
谷間	계곡
グリフィス	그리피스
伝言	메시지
伝言	메세지
タブー	금기
タブー	금기
サーフィン	서프
サーフィン	서핑
サーフィン	서핑
シリウス	시리우스
アンドロイド	android
アンドロイド	안드로이드
憎悪	증오
憎悪	미움
憎悪	혐오
憎悪	증오
憎悪	혐오
シャドー	섀도우
シャドー	섀도
シャドー	그림자
リチャードソン	리처드슨
春子	하루코
花崗岩	화강암
サガ	사가
球面	스피어
モリソン	모리슨
まっすぐ	똑바로
まっすぐ	스트레이트
フランキー	프랑키
フランキー	프랭키
イタズラ	장난
ホプキンス	홉킨스
えりか	에리카
購読	구독
購読	구독
購読	구독
アクシデント	교통사고
アクシデント	사고
井手	ide
一年生	신입생
クルマ	자동차
クルマ	차량
傾き	경사
傾き	틸트
傾き	기울기
傾き	기울여
潰し	스매싱
エルヴィス	elvis
エルヴィス	엘비스
シリコン	규소
シリコン	실리콘
証書	인증서
証書	증명서
お化け	귀신
お化け	유령
お化け	고스트
ご飯	라이스
ビーバー	비버
パーマ	파마
行き先	목적지는
行き先	목적지
敷島	시키시마
狩人	사냥꾼
狩人	헌터
フィーチャー	기능
グルコース	포도당
グルコース	혈당
パラドックス	역설
ヒョウ	레오파르트
ヒョウ	표범
クレイジー	미쳐
クレイジー	미친
黒竜江	헤이룽장
ニコン	니콘
評定	평가
服従	순종
ダグ	덕이
ダグ	더그
実演	시위
実演	시연
スイート	스위트
スイート	스위트
二回	twice
二回	두번
二回	트와이스
占星術	점성술
ドルフィン	돌고래
シェイク	흔들리기
シェイク	shake
シェイク	흔들흔들
シェイク	흔들어
マラウイ	말라위
マラウイ	말라위
ディレクトリ	디렉토리
ディレクトリ	디렉터리
ディレクトリ	디렉토리
ディレクトリ	디렉터리
障壁	장벽
障壁	장벽
スムーズ	부드럽게
無力	무기력
チューニング	튜닝
アバター	아바타
標語	좌우명
酪農	낙농
漏洩	누출
頭上	오버헤드
しっぽ	꼬리
しっぽ	뒷면
しっぽ	꼬리
利子	이자
利子	관심사
利子	관심
利子	흥미
リコール	리콜
チェイス	체이스
レザー	가죽
ツェッペリン	체펠린
ウィリス	윌리스
シンプソン	심슨
プジョー	푸조
ネプチューン	해왕성
ネプチューン	넵튠
砂浜	바닷가
砂浜	해변
砂浜	비치
団子	만두
団子	만두
ターミネーター	터미네이터
寛容	관용
分隊	분대
分隊	스쿼드
ガウス	가우스
探究	문의
石鹸	비누
石鹸	soap
石鹸	비누
金魚	금붕어
シーザー	카이사르
シーザー	시저
ピーナッツ	땅콩
ピーナッツ	땅콩
トランク	트렁크
トランク	trunk
ストール	훔쳤다
被覆	커버
被覆	덮개
被覆	표지
プロバイダ	공급자
プロバイダ	제공자
プロバイダ	공급자
慎二	신지
マントル	맨틀
マントル	망토
オートマチック	자동
ピカソ	피카소
疑わしい	의심스럽다
疑わしい	의심
メールアドレス	이메일로
メールアドレス	이메일
ドリフト	드리프트
寒い	춥다
寒い	감기
寒い	추위
寒い	차가운
侵食	침식
地誌	지형학
ラッピング	포장
ラッピング	포장
エマニュエル	이매뉴얼
クーラー	쿨러
フレッチャー	fletcher
フレッチャー	플레처
混沌	혼란
混沌	혼돈
混沌	카오스
ボリシェヴィキ	볼셰비키
柔らかい	부드러운
柔らかい	부드러워
柔らかい	청량
柔らかい	부드럽게
柔らかい	부드러운
柔らかい	소프트
ソクラテス	소크라테스
フィジー	피지
係員	승무원
オマーン	오만
オマーン	오만의
グラナダ	그라나다
景品	경품
カルタゴ	카르타고
ショートカット	단축키
ショートカット	바로가기
ショートカット	단축키
ショートカット	바로가기
グレアム	그레이엄
ファウル	파울
杭州	항저우
メッセンジャー	messenger
メッセンジャー	메신저
キーン	킨텍스
キーン	지킨
矢印	화살
矢印	화살표
矢印	화살
矢印	화살표
マーサ	마사
ロリータ	롤리타
ロリータ	로리타
チャーター	헌장
チャーター	전세
ヒルトン	힐튼
ヒルトン	힐턴
金持ち	부자
記法	표기법
記法	표기
断崖	의심
ローブ	가운
ダルムシュタット	다름슈타트
ナイアガラ	나이아가라
プルトニウム	플루토늄
ソングライター	작곡가
ソングライター	송라이터
ユートピア	유토피아
勃起	발기
ボイコット	보이콧
冥王星	명왕성
両足	발발
大豆	대두
大豆	대두
ヒルベルト	힐베르트
賛美	칭찬
賛美	찬미
賛美	찬양
手書き	글씨
手書き	글씨체
クラゲ	해파리
アゲイン	다시
アゲイン	또다시
マフラー	머플러
気質	기질
洗剤	세제
精子	정액
精子	정자
撲滅	박멸
マリリン	마릴린
ノヴァ	노바
サイクロン	사이클론
剰余	나머지
グレース	그레이스
グレース	은혜
調味料	양념
プランナー	플래너
チャーム	매력
アデレード	애들레이드
アデレード	아델라이드
カルガリー	캘거리
被曝	노출
ブレイン	블레인
ファクター	팩터
ファクター	인자
ファクター	요인
ガールフレンド	여자친구
ガールフレンド	여자친구
ガールフレンド	걸프렌즈
ネガティブ	부정적
ネガティブ	음수
ネガティブ	음성
着る	착용
ピアース	피어스
ピアース	pearce
ピアース	피어스
インスブルック	인스브루크
カタリナ	카타리나
カタリナ	카탈리나
裁縫	바느질
スプーン	숟가락
スプーン	스푼
加法	덧셈
ハサン	hassan
暗示	제안
高分子	중합체
ヨアヒム	요아킴
塗料	paint
塗料	페인트
塗料	페인팅
塗料	페인트
トピック	주제
トピック	주제
ワイヤレス	무선
注記	노트
献身	헌신
献身	헌신
対数	로그
宝くじ	복권
無意識	무의식
無意識	무의식
進捗	진행
ウィザード	마법사
ウィザード	마법사
バッタ	메뚜기
中性	중성
中性	중립성
中性	중립
盗難	도난
盗難	절도
盗難	도둑
サケ	연어
ミリメートル	밀리미터
殺菌	살균
カリブ	캐리비안
カリブ	카리브
デービス	데이비스
ピアス	피어스
ピアス	피어싱
ピアス	피어싱
世宗	세종
会費	회비
ネイチャー	자연
エディタ	편집기
エディタ	편집자
エディタ	에디터
エディタ	편집자
エディタ	편집기
エディタ	에디터
コンペ	경쟁
ネクタイ	넥타이
ネクタイ	넥타이
ネクタイ	넥타이
陶磁器	세라믹
陶磁器	도자기
幻覚	환각
幻覚	환각
幻覚	환각
アトランティス	아틀란티스
君主制	군주제
君主制	군주
便器	변기
便器	화장실
群衆	군중
群衆	군중
スウィート	달콤한
求人	모집
求人	작업
求人	일자리
求人	직업
求人	잡스
求人	커리어
ローレン	로렌
リーダーシップ	지도력
リーダーシップ	리더십
騒乱	소란
贅沢	명품
贅沢	럭셔리
ミイラ	미라
たぶん	아마도
たぶん	아마
踊り子	댄서
踊り子	무용수
トリニダード	트리니다드
共役	활용
ぶどう	포도
ぶどう	포도
アンドロメダ	안드로메다자리
アンドロメダ	안드로메다
実例	예시
実例	예제
ブランドン	브랜던
衰弱	약점
シュルツ	슐츠
シュルツ	슐츠
アンモニア	암모니아
グラフィティ	낙서
取り除く	삭제
取り除く	지우기
取り除く	제거
取り除く	삭제하기
オースチン	오스틴
ビジター	방문자
ビジター	방문객
ビジター	방문자
ビジター	방문객
リベリア	라이베리아
靴下	양말
靴下	양말
靴下	socks
グエン	그웬
サイゴン	사이공
ヒーローズ	영웅
ヒーローズ	히어로
ヒーローズ	히어로즈
飢餓	굶주림
飢餓	기아
ジョイス	조이스
インペリアル	임페리얼
スタミナ	체력
クラクフ	크라쿠프
ポリネシア	폴리네시아
ホンジュラス	온두라스
悲惨	비극적
悲惨	비극
パートナーシップ	파트너십
パートナーシップ	파트너쉽
パートナーシップ	파트너십
冷蔵庫	냉장고
冷蔵庫	냉장고
トラス	트러스
財宝	보물
呼出	소환
プログラマー	프로그래머
ナッツ	땅콩
ナッツ	땅콩
ヴァージニア	버지니아
ブルック	브룩스
ブルック	브룩
円錐	원뿔
ゼリー	젤리
スタント	스턴트
オルガニスト	오르가니스트
ドラマチック	극적
クロフォード	크로포드
クロフォード	크로퍼드
スピードウェイ	스피드웨이
スミ	수미
イチゴ	딸기
イチゴ	딸기
トレド	톨레도
プロダクト	제품
プロダクト	상품
プロダクト	제품
美味	맛있는
書き込む	쓰기
書き込む	글쓰기
墓場	묘지
お祭り	축제
お祭り	페스티벌
まめ	mame
サンゴ	산호
サファイア	사파이어
良心	양심
良心	양심적
研修生	연수생
サロ	살로
水星	수성은
水星	수성
水星	머큐리
ブリヂストン	브리지스톤
エキスパート	전문가
不運	불행
プランテーション	플랜테이션
落書き	낙서
周遊	견학
音程	구간
音程	간격
そこそこ	적당히
疫病	전염병
疫病	흑사병
疫病	페스트
ドラッグストア	약국
ウォード	워드
ジュネーブ	제네바
廣瀬	히로세
錯体	콤플렉스
錯体	복합체
スピッツ	스피츠
オーバーホール	점검
親切	친절한
親切	종류
親切	친절
親切	친절
アルティメット	얼티밋
ナイツ	나이트
アイリッシュ	아일랜드어
アイリッシュ	아일랜드인
植生	식물
コミッション	위원회
激励	격려
執着	집착
国庫	재무부
シュテファン	스테판
シュテファン	슈테판
インナー	내부
彫像	동상
彫像	조각상
彫像	동상
彫像	여신상
彫像	조각상
レディング	레딩
ミキサー	믹서
ミキサー	믹서
返信	답장
返信	응답
返信	답글
返信	답변
返信	답장
返信	응답
返信	답글
返信	답변
カンタベリー	캔터베리
焼く	구워
焼く	베이킹
消化器	소화
エチル	에틸
オデッサ	오데사
引き出す	인출
四月	에이프릴
四月	사월
メアリ	메리
メアリ	마리아
ボーダー	국경
ボーダー	경계
ボーダー	경계선
ボーダー	테두리
ユン	윤아
ユン	윤서
ユン	yun
ハバナ	아바나
アーリントン	알링턴
ニューマン	뉴먼
典礼	전례
典礼	전례
缶詰	통조림
缶詰	통조림
長所	장점
長所	장점
エジソン	에디슨
ピッチャー	투수
ピッチャー	투수
ドミンゴ	도밍고
ミキシング	믹싱
プロファイル	프로파일
プロファイル	프로필
プロファイル	프로파일링
プロファイル	프로파일
プロファイル	프로필
マゼラン	마젤란
後見人	수호
後見人	보호자
後見人	가디언
後見人	가디언즈
後見人	가디언스
後見人	대리인
フリオ	훌리오
射精	사정
点滅	번쩍
点滅	깜빡
ヴァル	val
整合性	무결성
砂利	자갈
ジーンズ	청바지
書き直し	재작성
シビック	시민
刃物	블레이드
ジョーイ	조이
積み重ね	쌓인
屈辱	굴욕
エマーソン	에머슨
手首	손목
手首	손목
マトリックス	매트릭스
マトリックス	행렬
ジョーン	조앤
フーリエ	푸리에
パイナップル	파인애플
パイナップル	파인애플
洋菓子	페이스트리
旦那	남편
算術	산술
デュラン	듀란
夕食	저녁식사
夕食	저녁
夕食	만찬
フリップ	뒤집기
デレク	데릭
憎しみ	증오
憎しみ	혐오
