филологических	filologiczny
коммунистическая	komuniści
широкая	szeroka
широкая	szerokie
широкая	szeroki
широкая	szerokiej
широкая	szeroki
широкая	szeroka
широкая	szeroko
широкая	szerokie
мюзикл	muzyczne
мюзикл	musical
мюзикл	muzyczny
резерв	rezerwy
резерв	rezerw
резерв	rezerwa
резерв	rezerwat
резерв	rezerwę
резерв	rezerwy
репрессий	represji
репрессий	represje
репрессий	odwecie
безуспешно	bezskutecznie
поняли	rozumieć
интересный	interesujące
интересный	ciekawe
интересный	interesujący
интересный	ciekawie
реальные	real
реальные	prawdziwy
реальные	prawdziwe
теннис	tenis
ключи	klucze
ключи	klawisze
сделанные	wykonane
сделанные	made
сделанные	zrobione
восприятия	postrzeganie
банды	gangów
банды	gangi
татарский	tatar
духовное	duchowy
духовное	duchowego
духовное	duchowym
духовное	duchowej
духовное	duchowe
славу	sława
славу	sławę
славу	sławy
славу	chwała
славу	chwały
славу	glory
поляна	polana
таиланд	tajlandia
таиланд	tajlandii
финансирование	finansowanie
финансирование	fundusze
финансирование	finansowanie
финансирование	dofinansowanie
финансирование	finansowania
финансирование	finansowanie
финансирование	finanse
младшая	najmłodszych
младшая	najmłodsza
младшая	najmłodszy
младшая	młodsza
младшая	młodsi
младшая	młodszy
младшая	młodsze
глазго	glasgow
соперников	rywali
пакистан	pakistan
пакистан	pakistanie
пакистан	pakistanu
робин	robin
робин	robina
робин	robyn
библиотек	biblioteki
библиотек	bibliotek
угроза	zagrożenia
угроза	zagrożenie
угроза	groźba
угроза	groźby
мтс	mts
председатели	krzesła
председатели	przewodniczących
председатели	prezydentów
председатели	przewodniczących
председатели	prezydenci
председатели	przewodniczących
фёдоров	fiodorow
мозель	moselle
подростков	nastolatki
подростков	nastolatków
подростков	nastolatki
подростков	nastolatków
демо	demo
демо	demonstracja
демо	demos
демо	demo
военнопленных	jeńców
трагедия	tragiczne
трагедия	tragiczna
трагедия	tragiczny
трагедия	tragedia
трагедия	tragedii
трагедия	tragedię
трагедия	tragedia
заседание	sesja
заседание	sesję
заседание	sesje
заседание	sesji
заседание	spotkania
заседание	posiedzenie
заседание	zebranie
заседание	spotkanie
ушла	odszedł
теоретик	teoretyk
луки	łuki
луки	luca
луки	luka
таиланда	tajlandia
таиланда	tajlandii
таиланда	tajski
пройдя	przechodząc
пройдя	mijania
советники	doradcy
советники	doradców
советники	doradcy
советники	doradców
советники	radnych
троллейбус	trolejbus
отправили	wysłane
отправили	wysłano
отправили	wysłany
отправили	wysłane
отправили	wysłano
аэропорты	lotniska
гитлер	hitlera
гитлер	hitler
связанный	połączone
связанный	powiązane
оплаты	wypłata
оплаты	zapłata
оплаты	płatności
оплаты	płatność
организмов	organizmy
организмов	organizmów
присоединиться	dołącz
хьюстон	houston
счастье	szczęście
счастье	szczęścia
загрузки	pobieranie
холл	hala
холл	sala
холл	holu
холл	hall
культ	kult
культ	sekty
культ	kultu
культ	sekta
домашнее	domowy
лесных	lasy
лесных	leśne
лесных	lasu
лесных	leśny
лесных	las
никитин	nikitin
поколений	pokolenie
поколений	pokolenia
поколений	pokoleń
македония	macedonii
македония	macedonia
утверждено	zatwierdzony
утверждено	zatwierdzono
утверждено	zatwierdzona
утверждено	zatwierdzone
утверждено	zatwierdzonych
волос	włosy
волос	sierść
волос	włosów
создатели	twórcy
создатели	twórców
покрытия	okładki
покрытия	okładka
покрытия	pokrycie
покрытия	powłoki
ферма	farma
ферма	farmie
ферма	gospodarstwa
ферма	gospodarstwo
произносится	wymawia
грозный	grozny
условие	warunek
условие	stan
объединять	połączyć
португальский	portugalii
португальский	portugalski
португальский	portugalska
португальский	portugalskie
португальский	portugalskim
низкий	niska
низкий	niskie
низкий	niski
низкий	low
низкий	nisko
никуда	nigdzie
древесины	drewno
древесины	wood
древесины	drewna
уменьшить	zmniejszyć
уменьшить	zmniejszenia
уменьшить	zredukować
уменьшить	zmniejszyć
уменьшить	spadek
уменьшить	zmniejszenie
уменьшить	psychiatra
типичный	typowe
типичный	typowa
типичный	typowo
типичный	typowy
геолог	geolog
мобильных	mobile
мобильных	mobilnej
мобильных	mobilne
мобильных	komórka
получены	otrzymała
получены	otrzymana
получены	otrzymano
получены	otrzymany
получены	otrzymane
азота	azotu
азота	azot
усовершенствования	poprawa
усовершенствования	udoskonalenia
усовершенствования	ulepszenia
усовершенствования	poprawy
усовершенствования	doskonalenie
усовершенствования	usprawnienia
усовершенствования	ulepszenia
усовершенствования	udoskonalenia
дань	hołd
мозг	mózg
мозг	rozum
мозг	umysł
мозг	mózgu
мозг	mózg
мозг	mózgi
мозг	mózgów
поднял	podniesione
поднял	podniesiony
поднял	wychowana
поднял	wychowany
поднял	wychował
бред	brada
бред	brad
бред	delirium
бред	urojenia
дэнни	danny
дэнни	denny
секция	sekcję
секция	sekcji
секция	dział
секция	sekcja
десятка	dziesięć
десятка	dziesiątka
десятка	dozen
десятка	tuzin
нацистской	naziści
нацистской	nazistowskich
богатых	bogata
богатых	bogate
богатых	rich
богатых	bogaty
богатых	bogata
богатых	bogaty
сау	sau
биология	biologii
биология	biologia
акулы	rekiny
акулы	rekinów
акулы	rekiny
акулы	rekina
акулы	rekin
диалектов	dialektów
сложность	trudności
сложность	trudność
сложность	złożoność
сложность	złożoności
прибытия	dojazd
прибытия	przybycie
прибытия	przyjazd
осло	oslo
расписание	harmonogram
расписание	grafik
расписание	rozkład
расписание	harmonogram
введено	wprowadzone
введено	wprowadzono
введено	wprowadzony
введено	wprowadzona
квантовой	kwantowa
квантовой	kwantowej
джонатан	jonathan
разрыв	zerwanie
разрыв	rozstanie
разрыв	zerwania
разрыв	luka
разрыв	gap
пошла	poszedł
пошла	poszło
греки	grecy
греки	greków
греки	grecki
греки	grecka
греки	grecja
греки	greckie
проявления	manifestacji
богослов	teolog
эволюция	ewolucja
эволюция	ewolucję
эволюция	ewolucji
подписания	podpisania
подписания	podpisanie
подписания	podpis
леонардо	leonardo
сеньор	signor
сеньор	senior
водитель	kierowca
водитель	sterownik
водитель	kierowcy
постоянная	stałe
постоянная	stała
постоянная	trwałe
постоянная	stały
постоянная	stałe
постоянная	stały
постоянная	stałej
постоянная	stała
монахов	mnichów
монахов	mnisi
паоло	paolo
завоевать	podbić
вино	wina
вино	wino
бокс	boksie
бокс	boks
прожил	mieszkał
прожил	żyła
прожил	żył
прожил	żyłem
рабов	niewolników
рабов	niewolnicy
формируется	stanowiących
боливии	boliwii
боливии	boliwii
популярная	popularny
популярная	popularnych
популярная	popularne
популярная	popularna
желающие	chętnych
шейх	szejk
шейх	szejk
охлаждения	chłodzenie
охлаждения	chłodzenia
охлаждения	chłodzenie
охлаждения	chłodzenia
путешественник	podróżnik
путешественник	podróżnik
гаити	haiti
арсенал	arsenał
арсенал	arsenal
отбор	selekcja
отбор	zaznaczenie
отбор	wybór
отбор	wyboru
отбор	dobór
заменена	zastąpiony
заменена	zastąpiła
заменена	zastąpił
заменена	zastąpić
заменена	zastąpiona
заменена	zastąpione
автономии	autonomię
автономии	autonomii
мадам	pani
мадам	pani
мадам	madame
молока	mleka
молока	mleko
специалиста	specjalista
специалиста	specjalistyczne
словари	słowniki
окончательный	ostateczny
окончательный	ostateczna
окончательный	finał
окончательный	ostateczne
окончательный	końcowe
мера	środek
мера	środka
мера	miara
мера	miary
департаменты	departamentów
департаменты	działy
новичков	nowi
фазы	faz
фазы	fazy
рекорды	records
рекорды	rekordy
рекорды	zapisy
меню	menu
меню	menu
белград	belgradzie
вилли	willy
вилли	willi
вилли	willy
вилли	willie
хлеба	chleba
хлеба	pieczywo
хлеба	chleb
куча	sterty
владельцев	właściciele
владельцев	właścicielami
владельцев	właścicieli
кислот	kwasy
кислот	kwasów
археологических	archeologiczne
сорока	soroka
сорока	sroka
соблюдать	obserwować
соблюдать	obserwuj
наталия	natalia
приносит	przynosi
инициатором	inicjatorem
дерби	derby
голода	głód
голода	głodu
голода	głód
голода	głodu
ассамблеи	zespoły
ассамблеи	zgromadzeń
ассамблеи	zgromadzenie
ассамблеи	montaż
фернандес	fernandez
фернандес	fernández
фернандес	fernandes
археолог	archeolog
отмечена	oznaczone
отмечена	oznaczona
отмечена	oznaczono
отмечена	oznaczony
отмечена	oznaczone
отмечена	oznaczono
отмечена	zaznaczone
отмечена	oznaczony
баскетбол	koszykówki
баскетбол	kosza
баскетбол	koszykówka
баскетбол	koszykówkę
константинополь	konstantynopola
гектаров	hektarów
предпочтение	pierwszeństwo
предпочтение	preferencji
предпочтение	preferencje
предпочтение	preferowany
предпочтение	wolała
предпочтение	wolał
предпочтение	preferuje
общение	komunikat
общение	komunikacja
общение	komunikacji
общение	komunikacja
встретились	spełnione
встретились	met
встретились	spotkał
джефф	geoff
джефф	jeff
абд	abd
луч	wiązka
луч	promień
луч	wiązki
противоречия	sprzeczności
противоречия	sprzeczności
противоречия	sprzeczność
аст	aspat
амстердам	amsterdam
эми	amy
антуан	antoni
антуан	antoine
цветок	kwiat
цветок	kwiaty
цветок	kwiecie
цветок	kwiatek
философские	filozoficzne
частная	private
частная	prywatne
частная	szeregowy
частная	prywatna
частная	prywatny
цру	cia
цру	cia
калия	potasu
ленте	aktualności
ленте	pasza
ленте	paszy
ленте	pasz
морган	morgana
морган	morgan
прокурор	oskarżyciel
прокурор	prokurator
мигель	miguela
мигель	miguel
равных	równe
равных	równa
равных	równy
равных	równi
сомали	somalii
сомали	somalii
арк	łuk
арк	arc
арк	arkę
арк	arka
арк	arki
чай	herbaty
чай	herbatka
чай	herbata
этапы	faz
этапы	fazy
этапы	etapy
этапы	etapach
этапы	kroków
этапы	stopnie
этапы	etapy
этапы	schody
этапы	kroki
этапы	etapy
родственники	krewni
родственники	krewnych
содержащий	zawierająca
содержащий	zawierającej
содержащий	zawierający
содержащий	zawierające
доверие	zaufanie
доверие	zaufania
доверие	zaufanie
доверие	trust
интерьер	wnętrze
интерьер	wnętrz
интерьер	wnętrza
интерьер	wewnętrzne
уничтожено	zniszczona
уничтожено	zniszczone
уничтожено	zniszczony
мэтт	matt
мэтт	mat
мэтт	matta
блоки	bloków
блоки	klocki
блоки	bloki
михаэль	michael
михаэль	michał
аргентинский	argentyński
афанасий	afanasij
хью	hugh
леопольд	leopold
склоне	nachylenie
нормальная	normalne
нормальная	normalnie
нормальная	normalny
нормальная	normalna
нос	nosy
нос	nosie
нос	nosa
нос	nosek
нос	nos
произношение	wymowa
наследника	dziedzica
наследника	dziedzic
пит	pete
пит	piet
адама	adam
адама	adamie
адама	adama
ионизации	jonizacji
кишинёв	kiszyniów
кукол	lalki
кукол	lalek
луций	lucjusz
зерна	zboża
зерна	ziarna
зерна	ziarno
зерна	zboże
зерна	ziarna
зерна	ziarno
зерна	ziaren
марг	marg
еврейские	żyd
еврейские	żydem
еврейские	żydowskie
еврейские	żydowska
еврейские	żydzi
еврейские	żydowski
габриэль	gabriel
габриэль	gabriela
габриэль	gabriela
габриэль	gabrielle
дракон	smoka
дракон	smok
дракон	dragon
тенденции	trendy
тенденции	tendencje
тенденции	tendencji
монархии	monarchia
разбил	rozbił
разбил	rozbity
разбил	rozbił
разбил	rozbite
пекин	pekinie
девочек	dziewczyny
девочек	dziewczynki
девочек	girls
девочек	dziewczęta
дарья	daria
жозе	jose
жозе	jose
жозе	josé
поставки	przesyłki
поставки	dostawy
поставки	przemieszczanie
поставки	wysyłki
поставки	zaopatrzenie
поставки	dostaw
поставки	podaż
поставки	dostawy
поставки	przesyłki
поставки	dostaw
поставки	dostawy
поставки	zaopatrzenie
поставки	zapasy
грудь	skrzynia
грудь	piersi
грудь	biust
грудь	pierś
грудь	piersi
грудь	biust
грудь	piersi
новиков	nowikow
интересует	zainteresowanych
интересует	zainteresowane
интересует	zainteresowani
интересует	zainteresowana
интересует	zainteresowany
бросил	opuszczony
бросил	porzucona
бросил	porzucony
бросил	porzucone
бросил	opuszczona
бросил	porzucone
бросил	porzucona
бросил	rzucił
самолет	samolot
самолет	samoloty
самолет	samolotem
самолет	samolot
самолет	płaszczyzna
самолет	samolot
самолет	samolotem
картер	carter
противостояние	konfrontacji
противостояние	opozycja
противостояние	opozycji
противостояние	sprzeciw
противостояние	impas
изабелла	isabel
изабелла	izabela
изабелла	izabela
изабелла	isabella
союзники	sojuszników
союзники	sojusznikami
заговора	spisek
противники	przeciwnikami
противники	przeciwnicy
противники	przeciwników
тула	tula
грузинская	gruzji
расчёт	obliczanie
расчёт	obliczenia
расчёт	wyliczenie
расчёт	obliczenie
расчёт	wyliczenia
расчёт	obliczyć
хотела	poszukiwana
хотела	chciał
хотела	poszukiwany
хотела	poszukiwani
чудо	cudo
чудо	marvel
чудо	cud
чудо	wonder
юристы	prawnicy
юристы	prawników
юристы	adwokatów
юристы	adwokaci
четвёртая	czwarty
четвёртая	czwartego
четвёртая	czwarte
четвёртая	czwarta
рак	nowotwory
рак	raka
рак	rak
рак	nowotwór
редкие	rzadka
редкие	rzadkość
редкие	rzadkie
редкие	rzadki
редкие	rzadko
доходы	dochód
доходы	przychód
доходы	przychody
доходы	dochody
доходы	dochód
доходы	przychód
доходы	przychody
доходы	dochodów
доходы	dochody
доходы	dochody
доходы	przychody
миссури	missouri
первоначальный	początkowy
первоначальный	wstępne
первоначальный	początkowe
первоначальный	początkowa
поддерживается	wspierany
поддерживается	obsługiwany
поддерживается	wspierane
поддерживается	obsługiwane
поддерживается	obsługuje
поддерживается	wspiera
поддерживается	popiera
потребления	konsumpcja
потребления	zużycie
потребления	spożycie
потребления	konsumpcji
женское	kobiece
женское	kobieca
женское	kobiecy
женское	samica
женское	kobieta
женское	damskie
женское	kobiety
женское	suczka
университеты	uniwersytety
университеты	uniwersytetów
университеты	uczelnie
привлечения	przyciągnąć
привлечения	przyciągać
вместимость	pojemności
вместимость	pojemność
вместимость	zdolność
венесуэла	wenezuela
заговор	działka
заговор	spisek
заговор	działki
заговор	spisek
добавлен	dodany
добавлен	dodano
добавлен	dodana
добавлен	dodane
монтаж	montaż
монтаж	montażu
монтаж	montaż
монтаж	edycji
монтаж	edycja
программирование	programowania
программирование	programowanie
защищал	bronił
защищал	broniła
торжественно	uroczyste
торжественно	uroczyście
священников	kapłani
священников	księży
священников	księża
вселенная	wszechświecie
вселенная	wszechświat
вселенная	wszechświata
панели	paneli
панели	panele
панели	pulpit
панели	panelu
панели	panel
панели	panelu
панели	panel
бизнесмен	biznesmen
бизнесмен	przedsiębiorca
бизнесмен	biznesmenem
резерва	rezerwa
резерва	rezerwat
резерва	rezerwę
резерва	rezerwy
зимние	winter
зимние	zimowy
зимние	zimy
зимние	zima
зимние	zimowe
бич	beech
бич	plaża
оливер	olivera
оливер	oliver
слышал	słyszałem
макаров	makarow
сун	słońce
сун	sun
сун	słońca
сун	słoneczko
горький	gorky
горький	gorzka
горький	gorzkie
удобно	wygodnie
удобно	wygodna
удобно	wygodne
удобно	wygodny
удобно	wygodnie
удобно	wygodna
удобно	wygodne
удобно	wygodnie
удобно	wygodny
удобно	komfortowe
удобно	wygodne
удобно	wygodna
удобно	handy
лёгкие	lung
лёгкие	płuca
лёгкие	płuco
лёгкие	płuc
лёгкие	płuca
лёгкие	płuc
послание	komunikat
послание	wiadomość
послание	wiadomości
послание	list
препарат	lek
препарат	narkotyków
препарат	narkotyk
препарат	narkotyki
произведено	wyprodukowane
произведено	wyprodukowano
произведено	wyprodukowany
произведено	produkowane
океании	oceania
скрипка	skrzypce
избежание	unikam
избежание	unikanie
избежание	unika
избежание	unikanie
избежание	unikania
молекулы	cząsteczka
молекулы	molekuły
молекулы	cząsteczki
молекулы	molekuły
скрипач	skrzypek
скрипач	skrzypek
азербайджанская	azerbejdżanu
допускается	dozwolone
допускается	dozwolony
допускается	dozwolona
допускается	dopuszczone
допускается	dozwolone
допускается	dozwolony
допускается	dozwolona
допускается	dopuszczone
романович	romanowicz
формах	formularze
формах	formy
формах	formularzy
собраний	zespoły
собраний	zgromadzeń
померания	pomorza
терминологии	terminologii
сложнее	trudniejsze
сложнее	mocniej
монреаль	montrealu
вены	żyły
вены	żyłach
вены	wiedeń
вены	wiedniu
бонус	bonus
бонус	premia
бонус	premie
тимофей	timofiej
ирак	irak
ирак	iraku
стамбул	stambule
изобретения	wynalazki
изобретения	wynalazków
гнездо	gniazda
гнездо	gniazdo
индию	indie
стратегия	strategia
стратегия	strategii
специальность	specjalność
специальность	specjalności
специальность	specjalność
парламентские	parlamentarnej
парламентские	parlamentarne
важная	ważne
важная	wazne
важная	ważny
важная	ważna
холокоста	holokaustu
никарагуа	nikaragui
массе	mass
массе	masie
массе	masy
массе	masa
массе	msza
представительство	reprezentacja
представительство	przedstawicielstwa
представительство	reprezentacji
представительство	przedstawicielstwo
местная	miejscowa
местная	lokalny
местная	lokalna
местная	lokalne
местная	miejscowy
местная	lokalnych
порты	portów
порты	porty
сообщили	zgłoszono
сообщили	zgłaszane
сообщили	zgłoszone
сообщили	zgłoszony
сообщили	zgłoszona
сообщили	zgłosił
перес	peres
перес	perez
перес	pérez
реагирует	reaguje
маркус	marek
маркус	markus
маркус	marcusa
маркус	marcus
маркус	markus
адъютант	adiutant
энрике	enrique
энрике	henrique
уничтожен	zniszczona
уничтожен	zniszczone
уничтожен	zniszczony
розы	róże
розы	róż
национальностей	narodowości
батарей	baterie
батарей	akumulatory
визит	odwiedziny
визит	wizyta
визит	wizyty
празднования	uroczystości
празднования	obchody
уругвай	urugwaju
готова	gotowy
готова	gotowe
виконт	vicomte
виконт	wicehrabia
трактат	traktat
индиана	indiana
зайцев	zajcew
пабло	pablo
канзас	kansas
цветной	kolorowe
цветной	kolorowy
цветной	kolorowych
цветной	kolorowych
цветной	kolorowe
цветной	kolorowy
цветной	barwione
самолета	samolot
самолета	samoloty
конференций	konferencje
разрушение	rozbiórki
разрушение	zniszczenia
разрушение	zniszczenie
разрушение	niszczenie
дина	deena
дина	dinah
дина	dina
обновления	uaktualnienia
обновления	aktualizacje
обновления	aktualizacja
обновления	aktualizacji
обновления	uaktualnienie
колонна	kolumny
колонна	kolumnie
колонна	kolumna
колонна	konwój
колонна	konwoju
ахмад	ahmed
ахмад	ahmad
объявления	ogłoszenia
объявления	zapowiedzi
объявления	ogłoszeń
объявления	ogłoszenia
объявления	ogłoszenia
объявления	reklam
объявления	reklamy
персидского	perski
предположения	założenie
предположения	założeniu
предположения	założenia
предположения	założenia
рики	ricky
живет	mieszka
живет	żyje
спасает	oszczędza
спасает	ratuje
спасает	zapisuje
монголия	mongolii
перемещения	przemieszczenie
гамма	gamma
ссылаясь	przypominając
профсоюзов	związki
посвященный	poświęcone
посвященный	oddany
посвященный	poświęcona
посвященный	poświęcony
посвященный	oddani
забыл	zapomniany
забыл	zapomniane
забыл	zapomniałeś
забыл	zapomniałem
методики	metodyki
методики	metodologii
тропических	tropikalnych
тропических	tropikalne
изменилась	zmieniono
изменилась	zmienione
изменилась	zmienił
изменилась	zmieniony
долг	obowiązek
долг	obowiązki
долг	cło
долг	długi
долг	długu
долг	dług
долг	zadłużenie
ален	allen
ален	allena
ален	alain
колебаний	wahania
бернар	bernard
беременности	ciążą
беременности	ciąża
беременности	ciąży
полезные	użyteczny
полезные	przydatne
полезные	użyteczne
полезные	przydatny
полезные	przydatna
полезные	przydatna
полезные	pomocny
полезные	pomocna
полезные	pomocne
совместное	joint
совместное	wspólnego
совместное	wspólny
совместное	wspólna
лонг	długi
лонг	długa
лонг	długo
лонг	długie
лонг	long
равнины	plains
полезно	użyteczny
полезно	przydatne
полезно	użyteczne
полезно	przydatny
полезно	przydatna
полезно	przydatna
полезно	pomocny
полезно	pomocna
полезно	pomocne
санчес	sanchez
санчес	sánchez
гэри	gary
инфраструктура	infrastruktury
инфраструктура	infrastrukturę
инфраструктура	infrastruktura
металл	metale
металл	metalowe
металл	metalowy
металл	metal
уход	troska
уход	troskę
уход	opieki
уход	opieka
ребята	faceci
ребята	chłopaki
шире	szersze
шире	szerzej
шире	szerszy
шире	szersze
шире	szerzej
шире	szerszy
неизвестен	nieznany
неизвестен	nieznana
неизвестен	nieznane
скалы	klify
скалы	urwiska
скалы	skały
скалы	kamienie
домашний	domu
домашний	dom
домашний	domowy
лунный	lunar
лунный	księżycowy
комиссара	komisarz
оскорбление	obraza
оскорбление	obraźliwe
оскорбление	obrażać
оскорбление	obraza
марс	marsie
марс	marsa
марс	mars
перечислены	wymienionych
перечислены	wymienione
расти	rusty
расти	rosną
расти	rosnąć
моды	moda
моды	fashion
моды	mody
моды	modyfikacje
моды	modów
применить	zastosować
применить	stosować
преподавания	nauczanie
преподавания	uczenie
преподавания	nauczania
сервера	serwery
сервера	serwerów
сервера	serwer
сервера	server
сервера	serwera
сервера	serwery
зарегистрировано	zarejestrowany
зарегистрировано	zarejestrowano
зарегистрировано	zarejestrowana
зарегистрировано	zarejestrowane
зарегистрировано	zarejestrowanych
единое	zjednoczone
единое	jednolitego
единое	zjednoczona
этнографии	etnografia
рекомендую	poleca
рекомендую	polecam
комбинации	kombinacji
комбинации	kombinacje
комбинации	kombinacja
комбинации	kombinacje
указатель	indeks
указатель	spis
указатель	wskaźnik
указатель	indeksu
указатель	wskaźnik
рог	róg
рог	horn
поместье	dwór
поместье	manor
поместье	osiedle
поместье	posiadłości
различие	rozróżnienie
различие	wyróżnienie
различие	różnica
различие	różnice
зла	zło
зла	zły
зла	evil
зла	zła
окружение	środowiska
окружение	środowisko
окружение	otoczenie
окружение	okolice
окружение	otoczenie
окружение	otoczenia
окружение	okolica
адриан	adrien
адриан	adrian
порода	rasy
порода	rasa
альманах	almanach
хранение	posiadanie
хранение	posiadania
хранение	składowanie
хранение	magazyn
хранение	przechowywanie
хранение	magazynowanie
возможен	możliwy
возможен	mozliwe
возможен	możliwa
возможен	możliwe
жертву	poświęcenie
жертву	poświęcić
жертву	ofiara
жертву	poświęcenia
коалиция	koalicji
спорить	kłótnie
спорить	kłótnia
спорить	kłótni
документальных	dokument
правильное	poprawna
правильное	prawidłowo
правильное	poprawny
правильное	poprawne
исследовал	zbadane
пропаганда	propaganda
пропаганда	propagandy
зубы	zęby
зубы	zębów
зубы	ząbki
треки	utwory
треки	tory
треки	ścieżki
треки	szlaki
треки	ślady
специализированных	wyspecjalizowane
специализированных	specjalistyczne
специализированных	wyspecjalizowanych
специализированных	wyspecjalizowane
специализированных	specjalistyczne
кучу	stos
ущелье	wąwóz
ущелье	wąwozu
доминик	dominick
доминик	dominik
доминик	dominika
доминик	dominic
доминик	dominique
доминик	dominik
шахматы	szachy
будапешт	budapeszt
будапешт	budapeszcie
фактором	czynnik
фактором	współczynnik
казимир	kazimierz
казимир	kazimierza
животное	zwierząt
животное	zwierzak
животное	zwierzęta
животное	zwierzę
тюрингия	turyngii
дракона	smoka
дракона	smok
дракона	dragon
экспозиция	ekspozycja
экспозиция	exposition
углерода	węgla
углерода	węgiel
свидетелей	świadkowie
свидетелей	świadków
кпм	pcf
преодолеть	pokonać
усиление	umocnienie
усиление	wzmocnienie
усиление	wzmacnianie
усиление	wzmocnienia
усиление	wzmocnienie
усиление	wzmacnianie
атаковали	zaatakowana
атаковали	zaatakowany
атаковали	zaatakował
атаковали	zaatakowano
легион	legion
легион	legia
дискография	dyskografia
взвод	oddział
взвод	pluton
точная	dokładne
точная	precyzyjnie
точная	precyzyjne
точная	dokładny
точная	dokładna
точная	dokładne
точная	dokładna
точная	dokładny
точная	dokładne
точная	dokładny
точная	dokładna
гоголя	gogol
богатства	bogactwo
богатства	bogactwa
богатства	majątek
богатства	bogactwo
богатства	bogactwa
рейна	ren
рейна	renie
рейна	reina
рейна	raina
заключить	podsumowując
организм	organizmy
организм	organizm
организм	organizmu
обряд	rytuał
личинки	larwy
личинки	larwy
личинки	napastnik
личинки	striker
сообщается	zgłoszono
сообщается	zgłaszane
сообщается	zgłoszone
сообщается	zgłoszony
сообщается	zgłoszona
сообщается	zgłosił
панорама	panorama
исключить	wykluczyć
исключить	usuń
исключить	usunąć
опер	opery
монахи	mnichów
монахи	mnisi
белок	białko
белок	białka
временный	tymczasowy
временный	tymczasowo
временный	tymczasowa
временный	tymczasowe
временный	czasowe
временный	tymczasowa
завершена	zrealizowane
завершена	zakończone
завершена	zakończona
завершена	zaliczone
завершена	ukończone
завершена	skończony
завершена	zakończone
завершена	skończone
груневельд	groeneveld
консульство	konsulat
кастро	castro
матрицы	matryce
матрицы	matryc
матрицы	macierz
матрицы	matrix
матрицы	matrycy
вызывать	wezwać
упадок	odrzucić
упадок	spadek
взрослые	dorosłe
взрослые	dorośli
взрослые	dorosłych
взрослые	dorośli
взрослые	dorosły
взрослые	dorosłych
взрослые	dorosła
арестованы	aresztowany
арестованы	aresztowana
арестованы	aresztowani
документальные	dokumentalne
медичи	medici
ранний	wczesny
ранний	wczesna
ранний	wcześnie
ранний	wczesne
исчезновения	zaginięcia
исчезновения	zniknięcia
исчезновения	zaginięcia
исчезновения	zniknięcia
исчезновения	zaginięcie
исчезновения	zanik
исчезновения	zniknięcie
знакомство	znajomość
знакомство	znajomość
иисус	jezu
иисус	jezus
итальянские	włoska
итальянские	włochy
итальянские	włoski
итальянские	włoch
итальянские	włoskie
компонент	element
компонент	komponent
компонент	składnik
объяснил	wyjaśnił
объяснил	wyjaśniono
объяснил	wyjaśnione
искренне	szczerze
искренне	autentycznie
удобства	wygody
удобства	wygodę
удобства	udogodnienia
вэй	wei
хорхе	jorge
спутники	satelity
спутники	satelitarne
спутники	satelita
спутники	satelitarnej
спутники	satelitarna
спутники	satelity
спутники	księżyców
опытом	doświadczenia
опытом	przeżycia
опытом	doświadczeń
опытом	doznania
рон	roan
рон	rona
рон	ron
наблюдение	monitoring
наблюдение	monitorowanie
наблюдение	obserwacji
наблюдение	obserwację
наблюдение	obserwacja
наблюдение	obserwacje
наблюдение	obserwacja
наблюдение	nadzór
наблюдение	nadzoru
наблюдение	obserwuję
наблюдение	obserwuje
наблюдение	obserwowanie
деда	dziadku
деда	dziadek
деда	dziadku
деда	dziadek
черепа	czaszki
черепа	czaszka
черепа	czaszki
черепа	czaszkę
герберт	herbert
якоб	jacob
якоб	jakuba
якоб	jakub
якоб	jakob
словакия	słowacja
словакия	słowacji
интеграции	integracja
интеграции	integracji
интеграции	integrację
женщину	kobiety
женщину	kobieta
актер	aktora
актер	aktor
мальчиков	boys
мальчиков	chłopcy
мальчиков	chłopaki
агломерации	aglomeracji
марке	marche
успешного	udanych
успешного	udane
успешного	udany
успешного	udana
костей	bones
костей	kości
парков	parki
сделки	transakcje
сделки	transakcji
сделки	oferty
попробуйте	spróbuj
избирательного	selektywny
девиз	motto
девиз	slogan
николо	nicolò
сек	sek
сек	sec
салон	salon
греческая	greckiej
греческая	grecka
греческая	grecki
греческая	grecka
греческая	grecja
греческая	greckie
тысячелетия	milenijnych
тысячелетия	millennium
тысячелетия	tysiąclecia
серийный	serial
серийный	seryjny
серийный	seryjne
земледелия	hodowla
земледелия	rolnictwo
лекарственных	lecznicze
лекарственных	leczniczy
частное	private
частное	prywatne
частное	szeregowy
частное	prywatna
частное	prywatny
риска	ryzyka
риска	ryzyko
зеркало	lustro
зеркало	lusterko
беседы	rozmów
беседы	konwersacji
беседы	rozmowy
беседы	przesłuchania
беседы	wywiady
пересадка	przeszczep
пересадка	transplantacji
пересадка	transplantacji
пересадка	przeszczep
регулярный	zwykły
регулярный	regularne
регулярный	regularnie
регулярный	regularny
грей	siwy
грей	szary
грей	szara
грей	szare
грей	grey
райт	wright
вертолёт	helikoptera
вертолёт	helikopter
вертолёт	śmigłowce
вертолёт	śmigłowiec
мали	mali
реакций	reakcji
реакций	reakcje
независимая	niezależny
независимая	niezależnych
независимая	niezależni
независимая	niezależna
независимая	niezależne
грузовых	towarowy
украшения	biżuterii
украшения	biżuteria
украшения	biżuterii
украшения	biżuteria
украшения	biżuterię
украшения	dekoracje
