plains	平原
monograph	專論
birthname	birthname
florua	氟化
florua	氟
heng	heng
heng	恆
eros	eros
lởm	織機
carya	carya
pwi	pwi
salomon	salomon
salomon	所羅門
bellamy	bellamy
edson	edson
lycium	lycium
bowen	bowen
cheryl	cheryl
hoe	鋤頭
lanceolatus	lanceolatus
jérôme	jérôme
beagle	beagle
têrêsa	teresa
superstar	巨星
festiva	festiva
antarctic	南極洲
antarctic	南極
kềm	唐
kềm	鉗
foreground	前景
parryi	parryi
jacket	夾克
jacket	外套
yami	yami
furtado	furtado
moto	摩托
moto	moto
missy	missy
sentinel	哨兵
epa	環保局
epa	環保署
highlands	高地
aizu	會津
maximinus	maximinus
dobson	dobson
gracie	gracie
molypden	鉬
deutsches	deutsches
brennan	brennan
goulding	goulding
ridley	ridley
guzmán	guzmán
ciel	ciel
georgios	georgios
massage	按摩
massage	按摩
hof	hof
