ब्रह्मचर्य	純潔
टूटी	壊れた
जनसांख्यिकी	国勢調査
जनसांख्यिकी	人口
अपरिहार्य	やむを得ない
अपरिहार्य	やむを得ない
दफन	埋葬
आमंत्रण	招待
आमंत्रण	招待
आमंत्रण	招聘
आमंत्रण	招待
आमंत्रण	招待
जिम्बाब्वे	ジンバブエ
वृद्धावस्था	老化
धूसर	灰色
धूसर	グレイ
धूसर	グレー
धूसर	灰色
धूसर	グレイ
धूसर	グレー
घाटा	損失
घाटा	喪失
आतिथ्य	おもてなし
आतिथ्य	接客
परिसंघ	連盟
पेंच	スクリュー
पेंच	ねじ
पेंच	ネジ
शटल	シャトル
दरवाज़ा	ドア
नंद	nand
कन्वेंशन	コンベンション
कन्वेंशन	大会
सप्लाई	サプライ
सप्लाई	供給
रडार	レーダー
पंक	マッド
पंक	パンク
चैट	チャット
चैट	雑談
पदानुक्रम	ヒエラルキー
अल्ताई	アルタイ
कैम्पस	キャンパス
मिया	mia
मिया	ミア
निर्देशकों	取締役
प्रत्याशित	期待
एक्सबॉक्स	xbox
अज्ञेय	不可知論
चबूतरे	ポップス
स्पॉट	スポット
पूंजीवाद	資本主義
फ्लोरेंस	フローレンス
फ्लोरेंस	フィレンツェ
सुअर	ブタ
गीली	濡れ
कंबोडिया	カンボジア
गिरिजाघर	チャーチ
गिरिजाघर	教会堂
गिरिजाघर	教会
नोवा	ノヴァ
नोवा	新星
अर्नेस्ट	アーネスト
क्रेग	クレイグ
सिमुलेशन	シミュレーション
अखरोट	クルミ
अखरोट	くるみ
अखरोट	クルミ
बुकर	ブッカー
विलिस	ウィリス
जुनून	パッション
जुनून	情熱
जुनून	受難
औरतों	女性
ओरेकल	oracle
ओरेकल	オラクル
ओरेकल	神託
क़दम	足音
बहादुरी	勇気
एटलस	アトラス
आर्सेनिक	ヒ素
वेलेंटाइन	バレンタイン
स्लाइड	スライド
स्लाइड	滑り台
स्लाइड	スライド
मजा	楽しい
लुकास	ルーカス
सेवारत	給仕
सहस्र	キロ
वर्गाकार	正方形
वर्गाकार	四角
वर्गाकार	広場
उपहास	嘲笑
सचित्र	画像
घुसपैठ	潜入
युक्तियाँ	tips
युक्तियाँ	ヒント
डबलिन	ダブリン
प्रस्तुतीकरण	ペンタゴン
प्रस्तुतीकरण	プレゼン
प्रस्तुतीकरण	プレゼンテーション
फंक्शन	機能
फंक्शन	関数
केले	バナナ
रैप	ラッピング
रैप	折り返し
रैप	包む
रैप	ワープ
रैप	ラップ
तेहरान	テヘラン
कार्मिक	人材
कार्मिक	職員
सॉस	ソース
फॉरेस्ट	フォレスト
बाइट	バイト
बाइट	バイト
रोजर्स	ロジャース
रोजर्स	ロジャース
क्यूबेक	ケベック
जलाल	ジャラル
चुपके	こっそり
वैक्सीन	ワクチン
इलियट	エリオット
स्प्रेडशीट	スプレッドシート
पन्द्रह	fifteen
पन्द्रह	十五
ट्रंक	トランク
डायल	ダイアル
डायल	ダイヤル
अख़बार	新聞紙
अख़बार	新聞
धर्मशाला	ホスピス
मुआवजा	補てん
मुआवजा	補償
मुआवजा	賠償
मुआवजा	弁償
मुआवजा	報酬
आर्मस्ट्रांग	アームストロング
खासियत	usp
संघनन	縮合
संघनन	凝縮
बाइनरी	バイナリ
सतर्क	ヴィジラント
सतर्क	アラート
नुक्सान	被害
नुक्सान	ダメージ
नुक्सान	損傷
नुक्सान	損害
मानसिकता	考え方
ज़िम्बाब्वे	ジンバブエ
काहिरा	カイロ
पारगमन	トランジット
अमोनियम	アンモニウム
संवहन	対流
आर्सेनल	アーセナル
आर्सेनल	工廠
मज़ाक	ジョーク
मज़ाक	冗談
लाश	死体
कोडेक	コーデック
कॉम्पैक्ट	コンパクト
कीपर	キーパー
गठिया	関節炎
जागृति	覚醒
रॉयटर्स	ロイター
विभेद	差別
नासिर	ナースィル
कबूतर	ピジョン
कबूतर	ハト
क्लिंटन	クリントン
डेवलपर	デベロッパー
बेकेट	ベケット
फी	手数料
फी	料金
नाज़िल	啓示
कूच	マーチ
कूच	行進曲
वाष्पीकरण	蒸発
बूट	ブート
बूट	ブーツ
बूट	ブーツ
नाइट्स	ナイツ
ऐलिस	アリス
क्षेत्राधिकार	管轄
मोर्स	モース
इन्फ्लूएंजा	インフルエンザ
नेवी	海軍
नेवी	ネイビー
अंगुली	フィンガー
औज़ार	ツール
औज़ार	工具
औज़ार	道具
औज़ार	ツール
औज़ार	道具
औज़ार	デバイス
औज़ार	機器
कम्बोडिया	カンボジア
नाली	グルーヴ
ट्रैक्टर	トラクター
चालकता	伝導
कारीगर	職人
स्ट्राइकर	ストライカー
पो	ポー
भावनाएं	エモ
भावनाएं	気持ち
भावनाएं	感情
नीहारिका	星雲
उदास	物思い
उदास	悲しい
उदास	sad
संबन्ध	リレーションシップ
संबन्ध	交際
हॉक	ホーク
हॉक	タカ
ताजिक	タジク
तुमको	無記名
योजनाएँ	計画
योजनाएँ	プラン
समुद्रतट	海岸
समुद्रतट	ビーチ
समुद्रतट	砂浜
समुद्रतट	ビーチ
समुद्रतट	マリン
वारेन	ウォーレン
कलंक	スティグマ
पतंग	カイト
देशभर	全国
अभ्रक	雲母
ओब्लास्त	オーブラスチ
खीर	プディング
खीर	プリン
दोहे	カプレット
लाठी	ロッド
डाकुओं	バンディッツ
डाकुओं	盗賊
संगति	一貫性
बेलारूस	ベラルーシ
संकरण	ハイブリッド
ओमेगा	オメガ
लीक	漏れ
लीक	漏洩
इलिनोइस	イリノイ
नेम	nem
अंडाशय	卵巣
कासिम	カシム
मनोबल	士気
बूढ़े	オールディーズ
रिहाना	リアーナ
मिर्गी	てんかん
मस्ती	楽しい
तितली	チョウ
तितली	バタフライ
ऊँट	キャメル
ऊँट	ラクダ
घराना	ジャンル
सेनानियों	ファイターズ
आउटडोर	アウトドア
आउटडोर	屋外
कपोन	カポネ
ग्रास	grass
बक्से	ボックス
एडवर्ड्स	エドワーズ
वेट	濡れ
चिकना	スムーズ
चिकना	スムース
चिकना	滑らか
रवैया	姿勢
रवैया	態度
जीर्णोद्धार	修復
जीर्णोद्धार	復元
जीर्णोद्धार	維新
लिंच	リンチ
डिलीवरी	配達
डिलीवरी	配送
डिलीवरी	配信
डिलीवरी	デリバリー
डिलीवरी	デリバリー
सुस्पष्ट	明示
द्रवित	液化
लोमड़ी	キツネ
ज्ञापन	メモ
ज्ञापन	覚書
सुनामी	津波
स्कीम	スキーム
विस्टा	vista
विस्टा	ビスタ
लाउडस्पीकर	スピーカー
विलंब	ディレイ
विलंब	遅延
प्लेटिनम	プラチナ
प्लेटिनम	白金
मार्कस	マルクス
मार्कस	マーカス
दन्त	歯科
हिलेरी	ヒラリー
हिलेरी	ヒラリー
स्वयंसेवकों	swat
स्वयंसेवकों	スワット
हर्बर्ट	ハーバート
जीएसएम	gsm
अपार्टमेंट	アパート
अपार्टमेंट	apt
अपार्टमेंट	アパート
प्रोटॉन	陽子
प्रदूषित	汚染
उल्लेखित	言及
उल्लेखित	特定
उल्लेखित	指定された
बोरिस	ボリス
लोकेशन	所在地
लोकेशन	ロケーション
लोकेशन	場所
ट्रेलर	トレーラー
ट्रेलर	予告編
शेख़	シャイフ
अन्नपूर्णा	アンナプルナ
आउटसोर्सिंग	アウトソーシング
तारक	スター
तारक	恒星
तारक	star
मुहावरे	熟語
प्यारे	素敵
मुट्ठी	こぶし
कब्ज	便秘
व्यवधान	割り込み
शॉ	ショー
शॉ	ショウ
आयत	四角形
आयत	矩形
आयत	長方形
अप्सरा	アプサラス
कारीगरों	職人
कारीगरों	職人
सूचनाएं	通知
सूचनाएं	お知らせ
रॉसी	ロッシ
धनु	サジタリウス
मनोदशा	気分
मनोदशा	ムード
फिश	魚類
फिश	フィッシュ
वफादार	忠実
टंकण	タイピング
पोलो	ポロ
तैरने	泳ぐ
तैरने	水泳
तैरने	泳ぎ
जीवाश्मों	化石
मंडेला	マンデラ
दायरा	範囲
दायरा	レンジ
दायरा	半径
दायरा	radius
करीम	カリム
क्लीनर	クリーナー
क्लीनर	クリーナー
वॉचमेन	ウォッチメン
वनवास	exile
वनवास	流罪
वनवास	亡命
बिंब	画像
बिंब	イメージ
पारद	水星
पारद	マーキュリー
पारद	水銀
क्लिनिक	クリニック
क्लिनिक	診療所
क्लिनिक	クリニック
क्लिनिक	診療所
स्थिरांक	定数
स्थिरांक	定数
प्रस्तुतियों	プレゼン
प्रस्तुतियों	プレゼンテーション
सेंटीग्रेड	摂氏
जानें	学習
जानें	学ぶ
मरीन	マリン
निबन्ध	随筆
निबन्ध	エッセイ
मोना	モナ
वॉरेन	ウォーレン
सीआईए	cia
ब्लेयर	ブレア
विवर्तन	回折
लंगर	アンカー
जोसफ	ヨセフ
पूंजीवादी	資本主義
कैच	キャッチ
कैच	キャッチボール
न्यूरॉन्स	ニューロン
चमड़ा	レザー
चमड़ा	皮革
अनायास	無意識
वैनिला	バニラ
संपादकीय	社説
शिपिंग	配送
ब्रश	ブラシ
बहुलता	多項式
आरोपी	被告人
मैडम	マダム
डायरेक्ट	ダイレクト
शब्दकोष	バイナリ
शब्दकोष	辞書
शब्दकोष	辞典
आंगन	中庭
डिश	ディッシュ
कीटोन	ケトン
संप्रभुता	主権
मिलें	meet
मिलें	会う
रॉयल्टी	王族
वायुमण्डल	大気
वायुमण्डल	大気圏
वायुमण्डल	雰囲気
वालेस	ウォレス
सीज़र	シーザー
गुयाना	ガイアナ
रिश्वत	賄賂
रिश्वत	賄賂
क्लॉक	クロック
क्लॉक	時計
फ़ाइलें	ファイル
पब	パブ
पब	パブ
चिंग	清国
दोगुना	ダブル
दोगुना	二重
ब्रॉड	広い
जिंक	亜鉛
मीडियाविकि	mediawiki
शराबी	フワフワ
शराबी	ふわふわ
शराबी	酔っぱらい
विचारधाराओं	イデオロギー
ख़तरा	リスク
ख़तरा	危険
चील	ワシ
चील	イーグル
जुआ	賭け事
जुआ	ギャンブル
जुआ	賭博
हाफ	半分
हाफ	ハーフ
कोस्टा	コスタ
आदम	アダム
सबक	教訓
सबक	レッスン
सबक	授業
एडिसन	エジソン
शुंग	春画
असंतुलन	不均衡
घुमाव	回転
घुमाव	ローテーション
भूजल	地下水
लकडी	木材
लकडी	木製
लकडी	ウッド
उपनगरों	郊外
सोमालिया	ソマリア
शिवरात्रि	シヴァ
सेहत	健康
दलदली	ボギー
गर्त	トレンチ
दुर्व्यवहार	誤用
दुर्व्यवहार	虐待
इत्र	香水
इत्र	香水
त्रि	tri
ड्यूटी	義務
वहीँ	そこ
बहाली	修復
बहाली	復元
बहाली	維新
नर्सिंग	看護
खरीदना	購買
खरीदना	購入
आलोचनाओं	批判
दलाई	ダライ
स्पाइडर	スパイダー
स्पाइडर	クモ
नानी	ナニ
बहनें	姉妹
अंदाज़	スタイル
एकाएक	突然
जेरार्ड	ジェラード
इब्राहीम	イブラヒム
पाले	青白い
पाले	ペール
असंतुष्ट	不満
राक्षसों	悪霊
कोरल	サンゴ
असुविधा	不便
असुविधा	不都合
जीना	リビング
जीना	living
जीना	ジーナ
कामदेव	キューピッド
यौवन	思春期
बटलर	バトラー
मौतें	訃報
हंट	ハント
हंट	狩り
दिनचर्या	ルーチン
दिनचर्या	日課
शेक	振る
शेक	シェイク
शेक	shake
ग्रेग	グレッグ
जमानत	保釈
वेक्टर	ベクター
वेक्टर	ベクトル
फीड	フィード
फीड	フィード
मानचित्रण	写像
मानचित्रण	マッピング
सादगी	シンプル
गलियारे	通路
यार्ड	ヤード
एमा	エマ
उजाला	暗闇
संघटक	材料
संघटक	食材
संघटक	材料
संघटक	食材
संघटक	成分
बोर	退屈
ध्वनियाँ	サウンド
विनियम	規制
मंशा	意図
अलविदा	バイ
अलविदा	さようなら
जलयान	船舶
लौंग	クローブ
जलमार्ग	水路
अत्यावश्यक	緊急
लहसुन	にんにく
लहसुन	ニンニク
लहसुन	ガーリック
रैपर	ラッパー
आउटलुक	outlook
रिचर्ड्स	リチャーズ
बेची	落札
सहनशीलता	持久力
फर	毛皮
स्कॉच	スコッチ
प्राच्य	オリエンタル
पंजे	前足
शावक	カブス
शावक	カブ
व्हेल	クジラ
पुनर्मिलन	同窓会
पुनर्मिलन	再会
लघुगणक	対数
खतना	割礼
मुहर	アザラシ
मुहर	封印
मुहर	印章
मुहर	シール
मुहर	押印
इंटेलिजेंस	知能
आंधी	トルネード
आंधी	竜巻
आंधी	台風
आंधी	雷雨
आंधी	ストーム
कीनिया	ケニア
अधिसूचना	通知
अधिसूचना	届出
अधिसूचना	お知らせ
अधिसूचना	通知
अधिसूचना	お知らせ
परवरिश	子育て
कोलोराडो	コロラド
पैरामीटर	パラメータ
पैरामीटर	パラメータ
पैरामीटर	パラメーター
क्वालिटी	品質
क्वालिटी	クオリティ
क्वालिटी	画質
क्वालिटी	quality
गे	ゲイ
बेर	ber
बन्दर	サル
मोटापा	肥満
कीमतें	価格
गिलास	グラス
गिलास	ガラス
वाह	wow
वाह	おっ
चश्मा	メガネ
चश्मा	めがね
चश्मा	眼鏡
एडविन	エドウィン
जिनेवा	ジュネーブ
जिनेवा	ジュネーヴ
बैंकर	銀行員
बैंकर	バンク
बैंकर	銀行
पन्त	パント
वेल	ヴェイル
जेलीफ़िश	クラゲ
बल्ब	球根
बल्ब	ランプ
अस्वीकृति	拒絶
यूँ	ユン
काया	カヤ
बोलिविया	ボリビア
लोलक	振り子
नमो	南無
आसुत	蒸留
नीबू	レモン
अरे	ヘイ
स्टोरेज	ストレージ
गैलन	ガロン
शीतोष्ण	温帯
गोलियां	錠剤
अपस्फीति	デフレ
कोकीन	コカイン
युद्धपोत	軍艦
कारपोरेशन	コーポレーション
मिलेनियम	ミレニアム
असहाय	無力
मुसीबत	トラブル
जाप	唱える
ख़ुशी	快感
ख़ुशी	喜び
ख़ुशी	快楽
ख़ुशी	ハピネス
ख़ुशी	幸福
ख़ुशी	幸せ
वेव	波動
वेव	ウェーブ
हनी	ハニー
हनी	はちみつ
हनी	蜂蜜
हालिया	最近
लाओ	持ち込み
लाओ	ブリング
क्रूज	クルーズ
खाए	放牧
स्विमिंग	スイミング
स्विमिंग	競泳
स्विमिंग	水泳
केबिन	キャビン
केबिन	船室
जेनेवा	ジュネーブ
जेनेवा	ジュネーヴ
कलेक्शन	コレクション
कैनवास	キャンバス
रोमियो	ロミオ
रोमियो	ロメオ
देवा	出羽
देवा	デーヴァ
बोलती	喋る
बागवानी	園芸
बागवानी	ガーデニング
कुकी	cookie
कुकी	クッキー
कुकी	cookie
कुकी	クッキー
सॉकर	サッカー
स्काउट	スカウト
स्काउट	スカウト
जिंदा	アライブ
दाढ़ी	ひげ
जेब	ポケット
मानवतावाद	ヒューマニズム
छतों	屋上
छतों	屋根
पाण्डुलिपि	原稿
पाण्डुलिपि	写本
एयरवेज़	エアバス
ट्रेनों	電車
ट्रेनों	列車
फू	foo
इवेंट	イベント
इवेंट	行事
सादृश्य	類推
काक	kak
बोधिसत्व	菩薩
वतन	watan
तत्र	タトラ
बिट्स	ビット
स्प्रे	スプレー
निलंबन	休止
निलंबन	サスペンション
तरक्की	プロモーション
तरक्की	宣伝
मांगों	要求
रफ्तार	速度
रफ्तार	スピード
खाद्यान्न	シリアル
मौलिकता	オリジナル
क्रू	クルー
हॉलैंड	オランダ
अखंडता	整合性
एलियट	エリオット
काटना	チョップ
काटना	噛む
माताओं	母親
आदर्शवाद	観念論
विश्वासघात	裏切り
पास्कल	パスカル
आरोहण	アセンション
अनाम	アノニマス
अनाम	匿名
अनाम	無題
बाहु	カンチレバー
साल्वाडोर	サルバドール
बेतार	ワイヤレス
नट	ナッツ
नट	ナット
गिरफ़्तार	逮捕
मेडागास्कर	マダガスカル
हंगामा	ラケット
नवीनता	革新
नवीनता	イノベーション
प्रकटीकरण	開示
रचनात्मकता	創造性
रचनात्मकता	創造力
मोटापे	肥満
एकसमान	同一
कैप्शन	キャプション
कैप्शन	キャプション
मोतियाबिंद	白内障
मध्याह्न	子午線
सीपीयू	cpu
मुर्गी	鶏肉
मुर्गी	ニワトリ
मुर्गी	チキン
तस्मानिया	タスマニア
सांग	サンガ
पग	パグ
गलतियाँ	間違い
गलतियाँ	エラー
डंकन	ダンカン
प्लूटोनियम	プルトニウム
हेपरिन	ヘパリン
गदा	メース
गदा	メイス
न्यूरॉन	ニューロン
नॉकआउट	ノックアウト
भरमार	glut
उन्माद	マニア
बैंको	バンクス
बैंको	バンク
बैंको	銀行
स्टंट	スタント
स्टंट	スタント
मास्क	仮面
मास्क	マスク
मास्क	マスク
टोकरी	バスケット
टोकरी	かご
फैक्टरी	工場
बहाना	言い訳
बहाना	回避
निर्जन	孤独
निर्जन	寂しい
रेशा	シルク
रेशा	繊維
कैरोल	キャロル
इष्टतम	最適
जेनेटिक	遺伝
रश	ラッシュ
डील	ディール
डील	クーポン
खरीदार	バイヤー
खरीदार	買い手
खरीदार	バイヤー
टूना	マグロ
टूना	ツナ
जीपीएस	gps
अग्न्याशय	膵臓
विली	ウィリー
संतति	子孫
संतति	子供
संतति	児童
चाची	叔母
चाची	おば
ग्वाटेमाला	グアテマラ
अधीक्षक	警視
फ़ील्ड	フィールド
फ़ील्ड	フィールド
फ़ील्ड	フィールズ
सर्वव्यापी	ユビキタス
चित्रांकन	図面
चित्रांकन	描画
चित्रांकन	ドローイング
तातार	タタール
संयोगवश	因みに
संयोगवश	余談
नीदरलैंड्स	オランダ
कोबाल्ट	コバルト
जीडीपी	gdp
मेगा	メガ
मेगा	mega
व्याख्याता	講師
बैटल	バトル
बैटल	戦闘
बैटल	戦い
भेड़िया	ウルフ
भेड़िया	オオカミ
इलायची	カルダモン
छेड़छाड़	からかう
एस्कोबार	エスコバル
इरविन	アーウィン
ब्यूटी	美容
राइफल्स	小銃
ग्रीनविच	グリニッジ
बदनाम	汚名
शक्कर	砂糖
सुकरात	ソクラテス
लैब	研究室
लैब	ラボ
परियोजनाएँ	プロジェクト
वरना	さもなければ
क्लिप	クリップ
रिश्तेदारों	親族
रिश्तेदारों	親戚
पारदर्शिता	alpha
पारदर्शिता	アルファ
पारदर्शिता	透明
पारदर्शिता	透明度
सिमोन	シモーネ
सिमोन	シモーヌ
अव्यक्त	暗黙
उन्नीस	nineteen
नीना	ニーナ
थाइलैंड	タイ
बेक	焼く
सौजन्य	礼儀
गौरवशाली	栄光
अनार	ザクロ
पहिये	ホイール
पहिये	車輪
विस्कॉन्सिन	ウィスコンシン
नेपियर	ネイピア
सुसंगत	coherent
प्राइम	素数
प्राइम	プライム
कटरा	カトラ
यूरोपा	エウロパ
झींगा	エビ
झींगा	シュリンプ
झींगा	海老
ट्रेल	トレイル
दरवाजों	ドア
राज्यपालों	知事
लसीका	リンパ
क़यामत	復活
मेस्सी	メッシ
वक्रता	曲率
दुश्मनी	敵意
दुश्मनी	アニメ
परागण	受粉
इस्माइल	イスマエル
सादा	無地
सादा	平野
रोजाना	デイリー
बुलेटिन	掲示
बुलेटिन	公報
रिया	レア
साझेदार	パートナー
साझेदार	パートナー
सेकण्ड	番目
सेकण्ड	セカンド
कैसीनो	カジノ
रिक्शा	人力車
एडिटर	エディタ
एडिटर	エディター
धीर	確固たる
पार्टनर	パートナー
सोलोमन	ソロモン
लेटर	手紙
लेटर	letter
लेटर	レター
गिनीज	ギネス
कोबरा	コブラ
ड्रग्स	ドラッグ
ड्रग्स	薬物
कैंडी	キャンディ
कैंडी	キャンディー
फ़ीड	フィード
फ़ीड	フィード
माफ़ी	恩赦
माफ़ी	許す
माफ़ी	許し
बिखर	ドリフト
हैरिसन	ハリソン
हंटर	狩人
हंटर	ハンター
असम्भव	インポッシブル
असम्भव	不可能
कोलंबो	コロンボ
अर्क	sap
लिंडा	linda
लिंडा	リンダ
अंधा	ブラインド
अंधा	盲人
विज़ुअल	ビジュアル
मनमोहक	エレガント
प्रभावकारिता	実効
मैप	地図
मैप	マップ
बूंद	ドロップ
रैकेट	ラケット
शासी	統治
मेहराब	アーチ
आध्यात्मिकता	スピリチュアリティ
आध्यात्मिकता	スピリチュアル
स्टालिन	スターリン
आला	アラ
मेसन	メイソン
गांठ	結び目
सुनहरी	ゴールデン
सुनहरी	黄金
मूँगफली	ピーナッツ
उज्ज्वल	ブライト
उज्ज्वल	明るい
पत्राचार	対応
पत्राचार	通信
शिष्टाचार	礼儀
शिष्टाचार	マナー
शिष्टाचार	マナー
बगीचा	庭園
कूटनीति	外交
हाजी	土師
हाजी	ハジ
पाशा	パシャ
केंद्रक	原子核
यूसुफ	ヨセフ
दैवीय	oracle
दैवीय	オラクル
दैवीय	神託
दुर्दशा	窮状
बैठना	座る
बैठना	sit
शिल्पकार	職人
चू	chu
मित्रा	ミトラ
फायदेमंद	有益
दीना	ディナ
गांधार	ガンダーラ
हिप्पी	ヒッピー
चने	チェイニー
क्राई	クライ
क्राई	泣く
क्राई	泣き
जंतर	お守り
मीटिंग	ミーティング
मीटिंग	会議
हॉर्स	ウマ
जोड़ें	追加
जोड़ें	加算
जूलियस	ジュリアス
जूलियस	ユリウス
टीना	ティナ
केरी	ケリー
प्रतिवादी	被告人
प्रतिवादी	被告
प्रतिवादी	敵役
कोटिंग	コーティング
स्पैम	スパム
पल्स	パルサー
पल्स	パルス
पल्स	脈拍
डेल्फी	delphi
गोलियाँ	ショット
एरिज़ोना	アリゾナ
हैरान	当惑
हैरान	ショック
हैरान	衝撃
लांच	打ち上げ
लांच	起動
ब्राउनिंग	ブラウニング
ब्राउनिंग	ブローニング
लू	ルー
चौराहे	交差点
सरिता	サリタ
निर्बल	弱い
निर्बल	わずか
कू	クー
स्लोवाकिया	スロバキア
रातों	ナイツ
छे	チェ
ताला	ロック
ताला	錠前
हैप्पी	ハッピー
हैप्पी	幸せ
कूलिंग	冷却
जीवनशैली	生き方
जीवनशैली	ライフスタイル
जानलेवा	キラー
मण्डप	パビリオン
पिछड़ा	後方
यूं	ユン
सीरियाई	シリア
सीरियाई	シリア
जामुन	ベリー
विनियोग	充当
विनियोग	処分
टर्मिनेटर	ターミネーター
अध्यादेश	条例
मिथकों	神話
जूट	ジュート
क्राइम	犯罪
लातिन	ラテン語
लातिन	ラテン
मिग	mig
मलाया	マラヤ
उस्मान	オスマン
पिट्सबर्ग	ピッツバーグ
हास	ハース
हनन	阪南
परमिट	許可証
परमिट	許可
स्कैनिंग	スキャン
फ़ार्म	農場
फ़ार्म	ファーム
बोल्ड	太字
बोल्ड	ボールド
आनुपातिक	比例
दवाई	医学
हॉरर	ホラー
एड़ी	かかと
एड़ी	ヒール
धन्य	祝福
कत्ल	殺人
एंथनी	アンソニー
टिमोथी	ティモシー
लापरवाही	怠慢
लापरवाही	過失
आपूर्तिकर्ता	サプライヤー
गुमनाम	アノニマス
गुमनाम	匿名
ह्यूस्टन	ヒューストン
फ़सल	トリミング
फ़सल	切り取る
फ़सल	切り取り
सोंग	歌曲
सोंग	ソング
पियर्स	ピアス
पियर्स	ピアース
झाड़ियों	低木
झाड़	ヒース
धुलाई	洗う
धुलाई	ウォッシュ
धुलाई	洗濯
धुलाई	洗浄
कराधान	租税
खदान	採石場
लेखाकार	会計士
लेखाकार	会計士
निर्वहन	退院
निर्वहन	除隊
निर्वहन	分泌物
शॉप	ショップ
शॉप	店舗
शॉप	ショップ
डो	ダウ
डो	ドウ
ईसप	アイソーポス
टेलिफोन	電話
टेलिफोन	電話機
सोफिया	ソフィア
अभिलेखागार	アーカイブ
अभिलेखागार	書庫
अभिलेखागार	アーカイブ
स्वचालन	オートメーション
उत्तरपश्चिम	北西
अभियुक्त	被告人
लेवी	レビ
लेवी	レヴィ
