klante	カスタマー
koningsberg	ケーニヒスベルク
gertrude	ゲルトルート
beamptes	役員
kees	キース
pyle	矢印
pyle	アロウズ
swift	スイフト
swift	スウィフト
toendra	ツンドラ
reptiel	爬虫類
hulpbron	リソース
hulpbron	資源
taxi	タクシー
gil	ギル
gil	叫び
gil	絶叫
gil	叫び声
gil	スクリーム
teëls	タイル
luisteraars	リスナー
msg	msg
opgegee	辞任
oro	オロ
parabool	放物線
krediet	信用
krediet	クレジット
horst	ホルスト
colonia	コロニア
gorilla	ゴリラ
kaartjies	切符
kaartjies	チケット
bofbal	ベースボール
bofbal	野球
ontbyt	朝食
bomaanval	爆撃
verdi	ヴェルディ
sonskyn	サンシャイン
sonskyn	日光
sonskyn	日差し
ekostelsel	生態系
tgv	tgv
opskrifte	見出し
mhz	mhz
discovering	発見
lorraine	ロレーヌ
going	going
betaalde	有料
skedule	日程
skedule	スケジュール
soon	soon
soon	まもなく
soon	もうすぐ
individueel	個別
individueel	個別に
herskryf	書き換え
herskryf	書き直し
herskryf	リライト
eindige	有限
elia	エリア
hood	フード
hood	ボンネット
wrc	wrc
abdul	アブドゥル
ete	食事
carmen	カルメン
tor	tor
butterworth	バターワース
netjiese	ストレート
netjiese	きちんと
kwalifikasies	資格
verrassing	驚き
verrassing	サプライズ
juliet	ジュリエット
innoverende	革新
milan	ミラノ
witte	ヴィッテ
rampe	災害
mergedrow	mergedrow
arme	かわいそう
pokke	天然痘
brooke	ブルック
dna	dna
konstanz	コンスタンツ
protokolle	プロトコル
kuier	パル
kuier	pal
hidalgo	イダルゴ
affair	情事
affair	浮気
ekwivalensie	同値
sharif	シャリフ
mier	アリ
mayotte	マヨット
ontwikkelaar	デベロッパー
vtec	vtec
breuke	分数
breuke	方向
sirkels	サークル
verdienste	収益
becker	ベッカー
alchemie	錬金術
strooi	ストロー
strooi	わら
arresteer	禁錮
andersen	アンデルセン
geseënd	祝福
materialisme	唯物論
veeldoelige	多目的
dhl	dhl
angela	アンジェラ
delaware	デラウェア
toppunt	山頂
toppunt	ピーク
hormone	ホルモン
ruik	匂い
ruik	におい
hume	ヒューム
volta	ボルタ
volta	ヴォルタ
lüneburg	リューネブルク
gonzález	ゴンサレス
fitzgerald	フィッツジェラルド
rina	リナ
mhnt	mhnt
satire	風刺
heelgetalle	整数
handboeke	教科書
voorsetsel	前置詞
asma	ぜんそく
asma	喘息
verbruiker	消費者
manfred	マンフレート
kundigheid	専門
emilio	エミリオ
geborg	スポンサー
herberg	宿屋
herberg	旅館
sebra	シマウマ
opgewonde	わくわく
opgewonde	ワクワク
opgewonde	興奮
sonsondergang	夕焼け
sonsondergang	日没
ccff	ccff
schwerin	シュヴェリーン
karelië	カレリア
karelië	カルヤラ
hayden	ヘイデン
nasdaq	nasdaq
studios	スタジオ
peel	ピール
colombo	コロンボ
ligas	リーグ
toilet	トイレ
toilet	便器
adler	アドラー
roebel	ルーブル
foo	foo
spil	ハブ
lokaal	会場
soen	キス
soen	kiss
soen	接吻
mechelen	メヘレン
bonus	ボーナス
multimedia	マルチメディア
gebare	仕草
gebare	ジェスチャー
elliott	エリオット
liggings	所在地
diane	ダイアン
rem	ブレーキ
para	パラ
bulletin	掲示
bulletin	公報
kleurvolle	カラフル
kleurvolle	カラフル
dram	ドラム
mall	モール
kristal	crystal
kristal	結晶
kristal	クリスタル
beddens	ベッド
currentclub	currentclub
harm	害する
sojoes	ソユーズ
rok	ドレス
giuliano	ジュリアーノ
kafee	カフェ
booth	ブース
xavier	ザビエル
lelik	醜い
lelik	みにくい
malmö	マルメ
messias	メシア
aasvoëls	ハゲワシ
begaan	コミット
krokodil	クロコダイル
krokodil	ワニ
aanwysings	方向
aanwysings	道順
deursigtige	透明
deursigtige	シームレス
tate	テート
tate	テイト
queens	クイーンズ
kwalifiserende	予選
ouditorium	講堂
mandjie	カート
mandjie	荷車
trope	熱帯
onsigbaar	不可視
snork	いびき
energieke	エネルギッシュ
salon	サロン
katrina	カトリーナ
hôtel	hôtel
papeete	パペーテ
spesery	香辛料
spesery	スパイス
ensemble	アンサンブル
amy	エミー
janet	ジャネット
morfeem	形態素
higgs	ヒッグス
crosby	クロスビー
pty	pty
hiëna	ハイエナ
hannibal	ハンニバル
step	step
step	ステップ
reghoek	四角形
reghoek	矩形
reghoek	長方形
terry	テリー
faal	失敗
snor	口髭
snor	ひげ
sheffield	シェフィールド
szczecin	シュチェチン
meul	ミル
pier	桟橋
medwedef	メドヴェージェフ
derek	デレック
derek	デレク
perspektiewe	視点
simca	シムカ
corpus	コーパス
smithsonian	スミソニアン
uitruil	スワップ
analiseer	分析
analiseer	analyze
arnhem	アルンヘム
kde	kde
coma	昏睡
hilda	ヒルダ
sekte	セクト
hernández	エルナンデス
rama	ラーマ
kerse	ろうそく
kerse	キャンドル
kerse	蝋燭
abnormale	異常
shannon	シャノン
mallet	マレット
diarree	下痢
homogene	均質
tiananmen	天安門
dana	ダナ
verpak	パック
dec	dec
root	root
root	ルート
madame	マダム
hibiscus	ハイビスカス
onewe	オッド
onewe	奇数
severus	セウェルス
gewerweldes	脊椎動物
henrietta	アンリエッタ
hay	干し草
naweke	週末
naweke	平日
daan	ダニエル
interview	面接
interview	インタビュー
kleuterskool	幼稚園
kleuterskool	幼稚園
asp	asp
sewastopol	セヴァストポリ
fletcher	フレッチャー
knoffel	にんにく
knoffel	ニンニク
knoffel	ガーリック
fotograwe	カメラマン
mutual	相互
pax	pax
cyril	シリル
cyril	セロ
drew	ドリュー
motorsport	モータースポーツ
rufus	ルーファス
donderstorms	雷雨
daisy	デイジー
tartare	タタール
germain	ジェルマン
rodney	ロドニー
paragrawe	段落
verkoper	ベンダー
verkoper	売主
sergio	セルジオ
coins	硬貨
coins	コイン
oclc	oclc
owens	オーエンス
wolfram	タングステン
shark	サメ
swakste	最悪
illusie	幻想
illusie	イリュージョン
illusie	錯覚
ronnie	ロニー
cinema	映画
cinema	シネマ
cricinfo	cricinfo
delft	delft
goedkeur	承認
osman	オスマン
swa	swa
wesley	ウェズリー
sites	サイト
almeida	アルメイダ
jenny	ジェニー
foreign	外国
delphi	delphi
tydsduur	期間
koerdistan	クルディスタン
slak	カタツムリ
ludovico	ルドヴィーコ
namur	namur
gevolgtrekkings	結論
emo	エモ
hull	船体
hull	ハル
demeter	デーメーテール
tito	ティト
tragedies	悲劇
par	パー
solaris	solaris
maskers	マスク
skitterende	発光
flip	反転
flip	フリップ
manila	マニラ
entebbe	エンテベ
sterreteken	占星術
gastehuis	ロッジ
wilkinson	ウィルキンソン
deco	デコ
ansjovis	アンチョビ
sankt	ザンクト
innovasie	革新
innovasie	イノベーション
ascension	アセンション
peso	ペソ
csstext	csstext
galaxy	銀河
galaxy	銀河系
psv	psv
muishond	マングース
segmente	セグメント
mikhail	ミハイル
korrektiewe	矯正
korrektiewe	補正
moss	コケ
stephanie	ステファニー
nefski	ネフスキー
agtertoe	後方
memoires	memoires
nikon	ニコン
mantua	マントヴァ
troos	慰め
ode	ode
paspoort	パスポート
paspoort	旅券
bakterie	細菌
bakterie	バクテリア
kerr	カー
uitputting	疲労
lydia	リュディア
lydia	リディア
javascript	javascript
pikkewyn	ペンギン
volunteer	ボランティア
casino	カジノ
sutton	サットン
cam	カム
marguerite	マルグリット
singer	シンガー
kei	ケイ
tronke	刑務所
tronke	監獄
gpl	gpl
swemmers	競泳
stein	シュタイン
eoc	eoc
tafels	テーブル
