метану	hyđrat
лібертадорес	libertadores
каїр	cairo
непал	nepal
унікальне	unique
адигея	adygea
язик	lưỡi
май	mai
май	maj
вибране	chọn
номінал	denomination
зруйнував	hỏng
зруйнував	xì
пелюстки	petals
перо	pen
перо	bút
перо	lông
бакалавр	bachelor
гаус	gauss
елі	elie
елі	eli
хорвати	croats
фуа	foie
фуа	foy
круг	krug
тато	bố
тато	bố
ніко	nico
ніко	niko
раджа	raja
електрики	điện
роги	chuông
шпенглера	spengler
кутку	góc
чудо	diệu
присяжних	chartered
уна	una
кіпрі	síp
вимір	chiều
вокальний	thanh
вокальний	vocal
больцано	bolzano
циган	gypsy
кухар	cook
кухар	nấu
салліван	sullivan
килими	thảm
вівці	cừu
заборонили	cấm
спиною	lưng
кермо	wheel
нормальні	chuẩn
нормальні	thường
знімали	phim
лежав	lay
лежав	nằm
парні	đôi
бічна	bên
бічна	phe
бічна	trang
сканування	quét
сканування	quét
сканування	scan
грозний	grozny
сльози	lăn
армстронг	armstrong
геометричні	geometrical
камео	cameo
нарада	họp
яскраве	sáng
яскраве	mẻ
проголосувати	vote
лабораторій	laboratories
поліна	polina
неллі	nelly
неллі	nellie
крісло	ghế
крісло	lí
крісло	cậy
естонська	estonia
легені	phổi
легені	lung
легені	phổi
легені	ớt
крайнього	ngụy
стовпи	đương
дроту	dây
наставник	mentor
дарвін	darwin
джош	josh
руслана	ruslana
наруто	naruto
смартфон	smartphone
торрес	torres
плач	hú
плач	khóc
вертикальна	dọc
тольятті	togliatti
алюміній	nhôm
алюміній	nhôm
болі	boli
орієнтацію	hướng
афанасій	athanasius
саїд	nói
саїд	bảo
саїд	said
саїд	saeed
касерес	cáceres
канаду	canada
слідчого	coroner
чужий	alien
нігер	niger
моравія	moravia
танок	điệu
танок	múa
байтів	byte
байтів	byte
байтів	bytes
наймолодший	út
вальядолід	valladolid
борислав	borislav
любляна	ljubljana
ватажок	leader
хвойні	conifer
йордан	yordan
баттіста	battista
діонісій	dionysius
оноре	honoré
кроуфорд	crawford
пегас	pegasus
корнелія	cornelia
взаємного	chung
видіння	vision
чеською	séc
шестеро	six
шестеро	sáu
бійця	combat
домінують	dominated
ігнатій	ignatius
ага	agha
ага	aga
лінзи	lens
шок	sốc
шок	shock
волга	volga
юпітер	jupiter
небесна	celestial
добрива	phân
нива	niva
іжевськ	izhevsk
гаї	hải
авраам	abraham
авраам	avraham
незалежне	lập
рідкий	liquid
рідкий	lỏng
трейлер	trailer
алессандрія	alessandria
жовква	zhovkva
кварц	quartz
кіровський	kirovsky
сильвестр	sylvester
карлик	lùn
карлик	phơ
карлик	pygmy
страждав	led
маунт	núi
маунт	lắp
ферменти	enzymes
сатири	satyr
могутній	lỉnh
частинка	hạt
нассау	nassau
тирана	tirana
рута	ruta
батлер	butler
енріко	enrico
краплі	guốc
краплі	giọt
творити	making
ніла	nile
гірка	chua
радіоактивних	radioactive
небом	trời
небом	sky
свинець	dẫn
свинець	chì
мережеві	mạng
алмати	almaty
красивий	đẹp
пту	ptu
кшиштоф	krzysztof
бетті	betty
бетті	betti
августин	augustine
верона	verona
демон	khổn
демон	ám
демон	quỷ
патріотів	patriots
щасливий	phúc
щасливий	vui
повір	tin
войцех	wojciech
мессі	messi
мессі	massey
нотр	notre
плакати	lóc
плакати	khốc
плакати	cry
плакати	khóc
мультфільмів	cartoon
мечі	gươm
мечі	kiếm
джуліо	giulio
гор	hor
гор	gore
гор	horus
гор	gor
куско	cusco
куско	cuzco
блуа	blois
тара	tara
врх	vrh
слух	thính
журавель	crane
журавель	hạc
журавель	sếu
карел	karel
бартоломео	bartolomeo
водяне	nước
оксфорд	oxford
піаніно	piano
здачі	rendition
перл	pearl
перл	trân
намалював	lê
намалював	drew
вісенте	vicente
лорен	lauren
лорен	loren
віта	vita
авіла	avila
авіла	ávila
авіла	ávila
авіла	avila
сулейман	suleiman
сулейман	süleyman
сулейман	sulaiman
знайде	xạo
акустична	acoustic
майка	mike
майка	micah
акварель	watercolor
сибірський	oanh
сибірський	siberian
живота	bụng
шнайдер	schneider
гама	gamma
азербайджанська	azeri
погане	xấu
погане	bad
погане	kém
погане	khiếp
погане	tệ
депресія	depression
аматорського	amateur
скидання	đổ
скидання	dump
шульц	schultz
шульц	schulz
нур	nour
нур	nur
махмуд	mahmud
махмуд	mahmoud
втечу	thoát
втечу	escape
соня	sonya
соня	sonia
соня	sonja
деві	devi
деві	davy
великдень	easter
осака	osaka
степанов	stepanov
панорами	panorama
ульріх	ulrich
радзивілл	radziwiłł
мейдзі	meiji
виділяти	pad
кольорова	nhuộm
кольорова	màu
кольорова	mầu
кольорова	màu
луг	lug
прибуло	đến
прибуло	tới
веселі	hài
веселі	vui
стівенс	stevens
стріляє	rifleman
воротах	auschwitz
мітчелл	mitchell
помаранчевий	cam
губа	vịnh
губа	bay
гілберт	gilbert
керол	carol
камеруну	cameroon
перстень	ring
перстень	nhẫn
чад	tchad
чад	chad
лінн	lynn
депортіво	deportivo
кейсі	casey
ліжка	giường
льодом	iced
барні	barney
калина	kalina
калина	viburnum
наведена	induced
птолемей	ptolemaios
птолемей	ptolemy
стад	stade
северин	severin
підозрою	enquiry
настя	nastya
александру	alexandru
цао	tào
геродот	herodotus
топографічна	topographic
ідеально	hảo
антена	antenna
антена	anten
конт	comte
дюссельдорф	düsseldorf
людовіка	ludovica
площина	nội
лапки	quotes
гомес	gomez
гомес	gómez
гомес	gómez
віль	ville
оберст	oberst
помпея	pompeia
марафон	marathon
вітторіо	vittorio
чаплін	chaplin
олімпіада	olympic
олімпіада	olympics
життєво	vital
татарстан	tatarstan
сілва	silva
оуен	owen
брюгге	brugge
брюгге	bruges
ієрогліфи	cjk
друкувати	in
крістін	kristine
крістін	kristin
крістін	christine
муха	fly
муха	ruồi
муха	bay
муха	mucha
елвіс	elvis
канів	kaniv
мік	mick
кітамі	kitami
кущ	shrub
дюк	duke
дюк	duc
костянтинівна	krupskaya
данні	danny
ной	neu
ной	noah
голки	needles
маг	magi
вхідний	nhập
публічний	công
тимур	timur
дзен	zen
грейс	grays
летить	ruồi
летить	muỗi
обід	trưa
обід	tối
