पेंशन	pensioen
खुशबू	aroma
कस्बों	dorpe
त्रिशूल	drietand
इनाम	prys
जिन्दगी	lewe
गरमी	heat
गरमी	hitte
नोड	node
असंगत	inkonsekwente
असंगत	onversoenbaar
जीरा	komyn
पूर्वाग्रह	bias
पूर्वाग्रह	prejudice
जैकेट	jacket
जैकेट	geskeur
आयतें	verses
आयतें	gebooie
अफवाह	gerugte
उत्सुक	nuuskierig
उत्सुक	eienaardige
परीक्षक	toetser
टैबलेट	tablet
चैरिटी	liefdadigheid
देसी	desi
शिविरों	kampe
तुला	weegskaal
तुला	libra
टैंगो	tango
न्यूकैसल	newcastle
केट	kate
केट	cate
प्रयोगकर्ता	gebruikernaam
प्रयोगकर्ता	gebruikers
रोनाल्ड	ronald
कटु	aandoenlik
कटु	bitter
मोनिका	monika
ग्रेस	grace
चोटों	beserings
मैजिक	toor
मैजिक	magic
भुट्टो	bhutto
रॉकी	rocky
रयान	ryan
जुताई	grondbewerking
एडिडास	adidas
फास्फोरस	fosfor
एथलेटिक	athletic
ग़ुलाम	ghulam
नेविगेशन	navigasie
शिश्न	penis
अधूरी	onvolledige
अधूरी	onvoltooid
अधूरी	onvolledig
फ़ौज	weermag
फ़ौज	leër
फ़ौज	army
पागलपन	malheid
पागलपन	madness
युआन	yuan
रोमांच	opwinding
बर्बर	barbaars
सूख	droë
सूख	dry
सूख	droog
दिग्गज	giants
इजाजत	toelating
इजाजत	toestemming
सगाई	betrokkenheid
सगाई	interaksie
सगाई	verloof
सगाई	betrokke
अन्तराल	spasiëring
अटलांटा	atlanta
मैडिसन	madison
पैराशूट	valskerm
खरगोश	hase
खरगोश	haas
खरगोश	rabbit
मेज़बान	gasheer
मेज़बान	bediener
नागालैंड	nagaland
तकलीफ	distress
कैट	kat
वीरों	heroes
वीरों	helde
लिफ्ट	lift
लिफ्ट	hysbak
गाँठ	gewas
सिंथेटिक	sinteties
समझौतों	ooreenkomste
बैरल	vat
खुजली	juk
मूर्ख	gek
मूर्ख	dom
बीम	beam
बीम	straal
बीम	lewendige
कोडिंग	coding
अशांति	onrus
अविश्वसनीय	wantroue
अविश्वसनीय	ongelooflik
पट्ट	plaid
शीन	sheen
कर्षण	traction
इम्पीरियल	imperial
रेट	gradeer
रेट	tarief
रेट	beoordeel
सत्रह	sewentien
मक्खी	fly
मक्खी	vlieg
उद्यमों	ondernemings
उद्यमों	enterprises
कॉन्सर्ट	konsert
कॉन्सर्ट	konserte
छायांकन	skadu
छायांकन	fotografie
कॉर्नेल	cornell
वानिकी	bosbou
टेनेसी	tennessee
जहाँगीर	jahangir
उक्ति	dictum
नजारा	natuurskoon
मधुमक्खी	bee
टिप्पणियां	opmerkings
गुलामी	slawerny
सरलीकृत	vereenvoudigde
सरलीकृत	vereenvoudig
गोआ	goa
संकेतन	notasie
घटी	verminder
पक्षपात	diskriminasie
इजरायल	israel
पकाया	gaar
गेंदबाज़ी	rolbal
गेंदबाज़ी	gloei
आबू	aboe
आबू	abu
अनुरक्षण	escort
डीलर	dealer
डीलर	handelaars
मीठी	lieflike
मीठी	soet
मीठी	soeter
ब्रॉडवे	broadway
जिगर	lewer
अंगोला	angola
अंगोला	angola
अंगोला	mongolia
एक्सटेंशन	uitbreidings
गोथिक	gotiese
बहुपद	polinoom
केसर	saffraan
दस्ते	squad
आयोडीन	jodium
परावर्तन	herhaal
परावर्तन	reflekteer
परावर्तन	refleksie
छानबीन	exploration
नीतियां	beleide
लेस	les
विन्स	wins
तीक्ष्ण	aandoenlik
मॉरिस	mauritius
मॉरिस	morris
त्रासदी	tragedie
सीन	scene
सीन	toneel
कैफे	kafeïen
नींबू	suurlemoen
गिग्स	gigs
धावक	naaswenner
धावक	runner
मार्क्सवाद	marxisme
बर्न	bern
बर्न	skryf
शाहिद	shahid
इंडेक्स	indeks
तेंदुआ	luiperd
अनुशंसा	aanbeveel
अनुशंसा	beveel
अनुशंसा	aanbeveling
जोखिमों	hazards
डिक	dick
निरर्थक	null
अमान्य	ongeldig
अमान्य	ongeldige
होड़	rush
होड़	stormloop
होड़	meeding
निरोधक	voorbehoeding
घिरी	omring
कतार	queue
कतार	tou
बाल्टिक	baltiese
देयता	aanspreeklikheid
शकीरा	shakira
अमेज़न	amazon
एसएमएस	sms
वैंकूवर	vancouver
खेलकूद	sportsoorte
खेलकूद	sport
प्यास	dors
मार्टिना	martina
दृष्टांत	gevalle
दृष्टांत	instansies
पीटर्सबर्ग	petersburg
पीलिया	geelsug
खलीफा	khalifa
कीथ	kees
कीथ	keith
एडमंड	edmund
छुट्टियों	vakansiedae
छुट्टियों	vakansies
किंडरगार्टन	kleuterskool
जबतक	tensy
जबतक	unless
जबतक	totdat
डिप्टी	adjunk
डेटिंग	dating
कमरा	kamer
माइनर	klein
गड्ढे	pit
कपडे	klerasie
कपडे	klere
कपडे	kleredrag
कपडे	klere
एनबीए	nbc
चर्चिल	churchill
खजाना	treasure
आइंस्टीन	einstein
गिब्सन	gibson
सुझाया	voorgestelde
सुझाया	aanbevole
सुझाया	voorgestel
निर्वासन	exile
नोटिस	kennisgewing
रू	roo
महोदय	sir
महोदय	meneer
सीनेटर	senator
सुरक्षात्मक	beskermende
दलाल	makelaar
उदारता	vrygewigheid
स्पिरिट	geeste
स्पिरिट	spirits
स्पिरिट	gees
पार्कर	parker
बारबरा	barbara
एटीएम	otm
प्रवचन	discourse
प्रायोजन	borgskap
ड्राइंग	skets
ड्राइंग	tekening
चुप	stil
दिवालिया	bankrot
बाल्यकाल	childhood
द्रुत	rapid
ज़िम्मेदारी	verantwoordelikheid
सावन	monsoon
छोड़ो	bedank
छोड़ो	sluit
स्क्वाड्रन	eskader
यूनानियों	grieke
यूनानियों	griekeland
प्रिंसटन	princeton
सौम्य	gentle
मालदीव	maldives
डिस्कवरी	ontdekking
डिस्कवरी	discovery
सत्यापित	bevestigde
सत्यापित	bevestig
सत्यापित	geverifieer
सत्यापित	verifieer
बाइक	bike
राबर्ट	robert
डीज़ल	diesel
बाज़ारों	markte
फिशर	fisher
गुस्सा	woede
गुस्सा	kwaai
सीढ़ियों	trappe
रस्म	ceremony
रस्म	seremonie
मंगलौर	mangalore
मऊ	mau
पहलवानों	stoeiers
मिंग	ming
घाना	ghana
कैप	cap
जनम	geboorte
कनेक्टिकट	connecticut
क्रोम	chrome
क्रोम	chroom
रोनाल्डो	ronaldo
विंडसर	windsor
ऑफ़िस	kantoor
तुर्कों	turkye
प्लेस्टेशन	sony
प्लेस्टेशन	playstation
सहकर्मी	kollega
सहकर्मी	kollegas
माइक्रोसॉफ़्ट	microsoft
ट्रिगर	sneller
हत्यारे	assassin
हत्यारे	killers
विनम्र	nederig
ध्वनिक	akoesties
ध्वनिक	torpedojaer
एडगर	edgar
मशीनरी	masjinerie
इलेक्ट्रानिक	elektronies
इलेक्ट्रानिक	elektroniese
मिनियापोलिस	minneapolis
प्रियस	prius
कट्टरपंथी	radikale
डायना	diana
टॉमी	tommy
मिल्क	melk
व्हील	wiel
ग्रेनाइट	granite
डुनेडिन	dunedin
पत्ता	blaar
इस्तांबुल	istanbul
इस्तांबुल	istanboel
लैरी	larry
सिंडरेला	cinderella
अफीम	opium
स्वीट	lieflike
स्वीट	soet
बागान	plantations
खूनी	bloody
नफरत	haat
परोपकारी	filantropiese
एंटोनियो	antonio
नाई	barber
लम्बवत	loodreg
ऑडिशन	oudisie
मेसोपोटामिया	mesopotamië
सज्जन	gentleman
ताई	tai
ब्लैकबेरी	blackberry
खरपतवार	onkruid
लैन	provinsie
लैन	county
कारा	kara
कारा	cara
टाइटन	titan
अव्यवस्था	chaos
कोको	coco
मदीना	medina
गोरी	gori
खमीर	gis
विच्छेद	ontbinding
नाच	dance
नाच	dans
बाल्टीमोर	baltimore
स्केटिंग	skating
कलेक्टर	collector
चित्रकारों	skilder
चित्रकारों	skildery
शैलियाँ	styles
शैलियाँ	uitsonderings
शैलियाँ	style
शैलियाँ	genres
लालच	gierigheid
मेरु	meru
पुलों	bridges
पुलों	brûe
मिडिया	media
केयर	omgee
कर्ट	kurt
छतरी	sambreel
मजिस्ट्रेट	landdros
फीस	gelde
कतर	katar
कतर	qatar
लकी	lucky
लकी	gelukkig
धातुकर्म	metaalwerk
रैम	ram
गौरैया	mossie
मकानों	huise
फ़िल्टर	filter
फ़िल्टर	filtreer
कीड़ों	worms
स्कैनर	skandeerder
प्रतिशोध	vengeance
पार्किंग	parkering
नशा	dope
लचीला	soepel
लचीला	buigbare
बर्टन	burton
पुतिन	putin
लादेन	laden
ज़िम्मेदार	verantwoordelik
कार्यस्थल	werkplek
कार्यस्थल	werksplek
पर्दा	curtain
बाट	baht
टच	touch
टच	aanraking
तोपों	cannon
तोपों	kanon
सिल्क	silk
झूठा	leuenaar
अक्षमता	gestremdheid
ईगल	eagle
ईगल	arend
वारंटी	waarborg
होमर	homer
मुबारक	gelukkig
एकांत	solitude
विंड	wind
आदर्शवादी	idealis
हैंक्स	hanks
आकृतियाँ	vorms
सुलतान	sultan
बदतर	erger
बदतर	slegter
लोपेज़	lopez
लोपेज़	lopez
पशुधन	vee
आदी	verslaaf
सेलुलर	sellulêre
बहरीन	bahrein
दीवानी	siviele
उरुग्वे	uruguay
ओवल	oval
ओवल	ovaal
निराशाजनक	teleurstellende
मैकबेथ	macbeth
ट्रिनिटी	trinity
हैट	hoed
चाइल्ड	kind
शीला	sheila
चमगादड़	vlermuis
ची	chi
मंचूरिया	mantsjoerye
प्रोग्रामर	programmeerder
हूवर	hoover
मसौदा	konsep
मसौदा	konsepte
हेयर	hare
जुआन	juan
बर्ताव	gedrag
बर्ताव	optrede
बर्ताव	gedrag
चन्दन	sandal
होप	hoop
स्काइप	skype
गलियों	strate
शस्त्रों	wapen
हस्ती	beroemde
कुम्भ	waterdraer
प्राधिकार	outoriteit
प्राधिकार	owerhede
प्राधिकार	gesag
प्राधिकार	owerheid
रोज़गार	employment
रोज़गार	indiensneming
मेड	med
मोंटे	monte
तांबा	copper
तांबा	koper
अंसारी	ansari
सलाम	salaam
सलाम	vrede
सलाम	saluut
सलाम	salute
सलाम	salam
क्वींसलैंड	queensland
टॉड	todd
मरियम	mary
मरियम	maria
मरियम	mariam
ओहियो	ohio
उंगली	vinger
डब्ल्यूडब्ल्यूई	wwe
लिथुआनिया	litaue
फ्लेमिंग	fleming
यॉर्कशायर	yorkshire
मेट्रिक्स	metrieke
मेट्रिक्स	matrix
कार्यशाला	werkswinkel
मैक्सवेल	maxwell
कॉर्न	mielies
कॉर्न	koring
कॉर्न	mielie
बकिंघम	buckingham
मापक	aaneenlopende
मापक	liniaal
मापक	skaal
गैलापागोस	galápagos
यातना	doom
अनाथ	orphan
टूटी	gebreekte
टूटी	stukkend
टूटी	gebroke
टूटी	gebreek
जनसांख्यिकी	demografie
जनसांख्यिकी	sensus
जनसांख्यिकी	demografiese
जनसांख्यिकी	bevolking
जनसांख्यिकी	populasie
अपरिहार्य	onvermydelike
दफन	begrawe
आमंत्रण	uitnodigings
आमंत्रण	nooi
आमंत्रण	uitnodiging
जिम्बाब्वे	zimbabwe
वृद्धावस्था	veroudering
ऐश्वर्या	aishwarya
नरभक्षण	kannibalisme
धूसर	grys
धूसर	grys
धूसर	grey
घाटा	verlies
आतिथ्य	gasvryheid
परिसंघ	konfederasie
पेंच	skroef
शटल	shuttle
दरवाज़ा	door
दरवाज़ा	deur
कन्वेंशन	konvensie
कन्वेंशन	convention
सप्लाई	verskaffing
सप्लाई	voorrade
सप्लाई	voorraad
सप्लाई	verskaf
रडार	radar
पंक	mud
पंक	punk
चैट	klets
चैट	gesels
पदानुक्रम	hiërargie
क्रूरता	wreedheid
कैम्पस	kampus
कैम्पस	campus
मिया	mia
निर्देशकों	direkteure
वीटो	veto
प्रत्याशित	verwag
गोंद	glue
एक्सबॉक्स	xbox
शियर्र	shearer
अज्ञेय	agnostisisme
चबूतरे	pops
स्पॉट	vlek
स्पॉट	spot
पूंजीवाद	kapitalisme
फ्लोरेंस	florence
सुअर	vark
गीली	nat
खोली	oopgemaak
दलदल	marsh
कंबोडिया	kambodja
कंबोडिया	cambodia
गिरिजाघर	kerk
सिंहली	sinhala
तानाशाही	diktator
तानाशाही	diktatorskap
नोवा	nova
अर्नेस्ट	ernest
फोटोग्राफर	fotograaf
संस्थापित	gestig
संस्थापित	geïnstalleer
संस्थापित	geinstalleer
क्रेग	craig
सिमुलेशन	simulasie
अधिकरण	tribunal
अखरोट	okkerneut
विलिस	willis
डेनिश	deens
डेनिश	deense
जुनून	passie
जुनून	passion
औरतों	vroue
औरतों	vrouens
ओरेकल	orakel
क़दम	footsteps
बहादुरी	dapperheid
एटलस	atlas
एटलस	gebiede
निर्धन	armlastiges
आर्सेनिक	arseen
वेलेंटाइन	valentyn
वेलेंटाइन	valentine
स्लाइड	skyfies
स्लाइड	gly
स्लाइड	skuif
मजा	pret
लुकास	lucas
वर्गाकार	vierkantig
वर्गाकार	vierkant
वर्गाकार	vierkantige
सचित्र	pictorial
दर्दनाक	pynlik
युक्तियाँ	wenke
युक्तियाँ	leidrade
हतोत्साहित	moedeloos
डबलिन	dublin
प्रस्तुतीकरण	vyfhoek
प्रस्तुतीकरण	voorlegging
प्रस्तुतीकरण	presentation
अर्जन	arjan
गौ	gau
फंक्शन	kommentaar
केले	bananas
रैप	oorvloei
रैप	warp
रैप	kletsrym
रैप	rap
वियतनामी	viëtnamese
तेहरान	teheran
सॉस	sous
फॉरेस्ट	forrest
बाइट	greep
बाइट	grepe
मिल्स	mills
रोजर्स	rodgers
रोजर्स	rogers
क्यूबेक	quebec
जलाल	jalal
चुपके	sluip
वैक्सीन	entstof
इलियट	elliot
स्प्रेडशीट	sigblad
जिया	geleef
जिया	gebly
पन्द्रह	vyftien
पन्द्रह	vyftiende
ट्रंक	trommel
डायल	dial
डायल	bel
अख़बार	koerant
रत्नों	edelstene
धर्मशाला	hospice
मुआवजा	vergoeding
आर्मस्ट्रांग	armstrong
बाइनरी	binêre
सतर्क	waarskuwing
क्लाइव	clive
ज़िम्बाब्वे	zimbabwe
चंगेज़	djengis
काहिरा	kaïro
पारगमन	transit
अमोनियम	ammonium
आर्सेनल	arsenal
मज़ाक	joke
कोडेक	kodek
नाजी	nazi
विक्टोरियन	victoriaanse
कॉम्पैक्ट	kompakte
कॉम्पैक्ट	kompak
गठिया	artritis
जागृति	awakening
रॉयटर्स	reuters
विभेद	diskriminasie
नासिर	nasir
कबूतर	pigeon
क्लिंटन	clinton
डेवलपर	ontwikkelaars
डेवलपर	ontwikkelaar
मेघ	wolk
बेकेट	becket
एरिक्सन	erickson
फी	fee
फी	fooi
कूच	maart
कूच	optog
कॉरपोरेट	corporate
कॉरपोरेट	korporatiewe
इकबाल	iqbal
वाष्पीकरण	verdamping
बूट	stewels
नाइट्स	nagte
ऐलिस	alice
क्षेत्राधिकार	jurisdiksie
मोर्स	morse
इन्फ्लूएंजा	griep
नेवी	navy
नेवी	vloot
अंगुली	vinger
औज़ार	gereedskap
औज़ार	toestelle
कम्बोडिया	kambodja
कम्बोडिया	cambodia
नाली	dreineer
नाली	groove
ट्रैक्टर	trekker
चालकता	geleidingsvermoë
पो	poe
बीटल्स	beatles
भावनाएं	emo
भावनाएं	sentiment
भावनाएं	feelings
भावनाएं	gevoelens
नीहारिका	newel
उदास	depressief
उदास	peinsende
उदास	hartseer
मेष	ram
मेष	aries
संबन्ध	verhouding
हॉक	hawk
बट	boude
योजनाएँ	reëlings
योजनाएँ	planne
समुद्रतट	strand
समुद्रतट	strande
समुद्रतट	marine
वारेन	warren
औरंगज़ेब	aurangzeb
कलंक	stigma
पतंग	kite
देशभर	landswye
इंजीनियर्स	engineers
ओब्लास्त	oblast
लाठी	staaf
लाठी	rod
संगति	konsekwentheid
संकरण	hibried
ओमेगा	omega
इलिनोइस	illinois
कासिम	qasim
जिम्मेदारियों	verantwoordelikhede
मनोबल	morale
रिहाना	rihanna
मिर्गी	epilepsie
मस्ती	pret
तितली	skoenlapper
ऊँट	kameel
ऊँट	camel
घराना	genre
सेनानियों	vegters
आउटडोर	outdoor
आउटडोर	buite
आउटडोर	buitelug
कपोन	capone
माओ	mao
ग्रास	gras
बक्से	bokse
बक्से	kassies
एडवर्ड्स	edwards
लेह	leh
वेट	nat
हकदार	geregtig
चिकना	glad
रवैया	houding
जीर्णोद्धार	restourasie
डिलीवरी	aflewering
डिलीवरी	aflewer
डिलीवरी	lewering
डिलीवरी	aflewerings
सुस्पष्ट	verskerp
सुस्पष्ट	eksplisiet
सुस्पष्ट	eksplisiete
लोमड़ी	jakkals
लोमड़ी	fox
ज्ञापन	memorandum
सुनामी	tsunami
रूसो	rousseau
विस्टा	vista
लाउडस्पीकर	luidspreker
विलंब	vertraging
प्लेटिनम	platinum
कौशी	cauchy
मार्कस	marcus
दन्त	tandheelkunde
हिलेरी	hillary
हिलेरी	hilary
स्वयंसेवकों	volunteers
हर्बर्ट	herbert
पीटरसन	peterson
जीएसएम	gsm
अपार्टमेंट	woonstel
अपार्टमेंट	woonstel
अपार्टमेंट	apt
अपार्टमेंट	woonstelle
प्रोटॉन	proton
मो	moe
उल्लेखित	genoem
उल्लेखित	gespesifiseer
उल्लेखित	spesifiseer
बोरिस	boris
लोकेशन	location
लोकेशन	ligging
ट्रेलर	sleepwa
ट्रेलर	lokprent
शेख़	sheikh
अन्नपूर्णा	annapurna
तारक	ster
तारक	star
प्यारे	lieflik
मुट्ठी	fist
व्यवधान	insert
व्यवधान	onderbreek
शॉ	shaw
पढ़ाने	teaching
आयत	verse
आयत	reghoek
अंतरंग	intieme
वेबर	weber
सूचनाएं	kennisgewings
रॉसी	rossi
