and	in
singer	singer
singer	pevec
create	ustvarjati
create	ustvariti
create	ustvarjanje
create	ustvari
redirect	preusmeritev
redirect	preusmeri
additional	dodatna
additional	dodatno
additional	dodatni
soviet	sovjetski
soviet	sovjetska
soviet	sovjetske
soviet	sovjetsko
market	trg
market	tržišče
words	besed
words	besede
producer	proizvajalec
producer	producent
notes	opombe
notes	opombi
notes	zapiski
hockey	hokej
hockey	hockey
novel	roman
novel	romana
code	kodo
code	šifra
code	oznaka
code	koda
referee	sodnik
fourth	četrto
fourth	četrta
fourth	četrtič
fourth	četrti
sport	šport
sport	sport
van	kombi
van	van
mary	marija
mary	mary
airport	letališče
sound	zvok
sound	zvoka
status	status
status	stanje
irish	irske
irish	irsko
irish	irski
irish	irci
placed	postavljen
child	otrok
perhaps	mogoče
perhaps	morda
idea	idejo
idea	ideja
idea	zamisel
foreign	tuje
foreign	tuja
foreign	tuji
municipality	občina
register	registrira
register	register
register	evidenca
eight	osmica
eight	osem
problems	problemi
problems	težave
native	domačin
native	materni
coverage	zajetje
coverage	kritje
coverage	pokritost
coverage	pokrivanje
coverage	pokritje
channel	kanal
parliament	parlament
edition	izdaja
minor	manjše
minor	manjši
minor	manjša
says	pove
says	pravi
whose	čigav
whose	čigava
whose	čigavo
foundation	fundacija
foundation	temelj
foundation	sklad
foundation	temelje
units	enote
units	enot
units	enoti
movie	film
runs	teče
ice	led
ice	ice
ice	ledom
simply	enostavno
simply	preprosto
limited	omejena
limited	omejene
limited	omejen
limited	omejeno
limited	omejeni
unit	enota
student	dijak
student	študent
student	učenec
student	študentka
student	učenka
previously	predhodno
previously	prej
stated	naveden
governor	guverner
complete	popolna
complete	popolno
test	test
test	preskus
test	preizkus
nominated	nominiran
bill	bill
parts	deli
vocals	vokal
theory	teorija
regional	regionalno
regional	regionalna
regional	regionalni
account	račun
vote	glasovanje
vote	glasujte
computer	računalnik
computer	računalniško
computer	računalniška
none	nobene
none	nobenega
none	noben
none	nobena
carolina	karolini
carolina	karolina
tournament	turnirju
tournament	turnir
tournament	turnirja
poland	poljsko
poland	poljski
poland	poljska
behind	iza
wales	wales
winning	zmaga
winning	zmagovalna
lot	lot
hospital	bolnišnica
hospital	bolniška
hospital	bolnica
taking	jemanje
mountain	gora
mountain	gorsko
mountain	gorski
mountain	planina
mountain	goro
higher	višja
higher	višji
higher	višje
cases	primeri
cases	primerov
angeles	angelesu
editing	urejanje
replaced	zamenjana
replaced	nadomeščen
food	hrano
food	hrana
food	živila
multiple	večkratno
multiple	večkratni
likely	verjeten
likely	verjetna
terms	izrazi
terms	pogoji
sir	gospod
thing	stvar
square	kvadratnih
square	kvadrat
try	poizkusi
try	poskusi
topic	vsebina
topic	tema
woman	ženska
woman	žensko
officer	častnik
officer	policist
categories	kategorije
greek	grški
greek	grško
greek	grk
greek	grška
recent	nedavne
recent	nedavno
recent	nedavna
sent	poslan
sent	poslana
sent	poslani
sent	poslano
sent	poslane
copyright	avtorske
speed	hitrosti
speed	hitrost
templates	predloge
money	denar
saw	žago
saw	videl
saw	vidu
saw	žaga
senior	senior
senior	starejši
senior	višji
selected	izbrano
selected	izbranih
selected	izbrani
selected	izbrane
selected	izbrana
selected	izbran
introduced	uvedeno
introduced	uveden
introduced	uvedeni
introduced	uvedene
introduced	uvedena
politician	politik
true	res
true	resnično
true	true
true	resnična
true	resnica
required	zahtevana
required	zahtevani
required	zahtevan
required	zahtevano
regular	redno
regular	redni
regular	redna
awarded	oddana
awarded	oddano
commercial	komercialni
commercial	komercialna
commercial	komercialne
commercial	reklama
commercial	komercialno
cities	mest
cities	mesta
cities	mesti
contains	vsebuje
trade	trgovanje
trade	trgovina
trade	menjava
degree	stopnja
anti	anti
birth	rojstva
birth	rojstvo
sun	sonca
sun	soncem
sun	sonce
sun	soncu
finished	končano
finished	končala
finished	končana
rugby	ragbi
rugby	rugby
earth	zemeljska
earth	zemlja
earth	zemlje
earth	zemljo
access	dostop
prior	predhodna
seasons	letne
seasons	sezon
journal	journal
journal	dnevnik
beginning	začetek
famous	slavni
famous	slaven
famous	znana
famous	znani
famous	znan
religious	verske
religious	verski
religious	versko
religious	verska
religious	verskega
martin	martina
martin	martin
god	boga
god	bog
bit	bit
hours	urami
hours	ure
hours	urah
hours	ur
running	teče
running	tek
running	teči
brought	pripeljan
brought	prinesel
missing	pogrešana
missing	manjkajoče
missing	pogrešan
missing	manjka
missing	manjkajo
economic	ekonomski
economic	gospodarski
economic	gospodarsko
economic	ekonomske
economic	ekonomska
structure	strukturo
structure	zgradba
structure	struktura
structure	konstrukcija
rural	podeželski
rural	podeželje
rural	podeželske
rural	podeželska
decision	sklep
decision	odločitev
decision	odločba
hit	zadetek
hit	hit
hit	udaril
minutes	zapisnik
minutes	minut
minutes	minutah
minutes	minute
spain	španija
plays	predvaja
plays	igra
whole	cele
whole	cel
whole	cela
whole	celotno
joseph	joseph
joseph	jožef
lord	gospod
web	web
decided	odločeno
decided	odločil
decided	odločila
decided	odločili
operations	operacije
function	funkcija
function	funkcijo
louis	louis
louis	ludvik
assembly	skupščina
assembly	sklop
assembly	sestavljanje
assembly	sestav
queen	kraljico
queen	queen
queen	kraljica
security	varnost
security	varovanje
uses	uporabe
ohio	ohio
jan	jan
operation	delovanje
operation	operacija
operation	operacijo
operation	obratovanje
call	poklici
call	pokliči
call	klic
call	pokličite
successful	uspešno
successful	uspešen
successful	uspešni
successful	uspešna
legal	zakonito
legal	pravna
legal	pravno
legal	pravne
russia	rusija
russia	rusijo
prince	princa
prince	prince
prince	knez
prince	princ
jewish	judovski
jewish	židovski
jewish	žid
jewish	judje
staff	osebje
establishments	ustanove
establishments	obrati
goal	gol
goal	cilj
bad	hudo
bad	slaba
bad	slabo
bad	bad
bad	slab
attendance	prisotnost
attendance	udeležba
attendance	navzočnost
populated	poseljenih
nature	narave
nature	narava
allowed	dovoljeno
allowed	dovoljen
captain	stotnik
captain	kapitan
mount	priklop
mount	mount
calculated	izračunana
calculated	izračunano
calculated	izračunan
calculated	izračunani
structures	konstrukcije
structures	strukture
hard	trde
hard	težko
hard	trdo
manager	upravnik
manager	upravitelj
manager	upravljalnik
manager	menedžer
earlier	prej
elections	volitve
meet	spoznaj
box	box
box	zaboj
box	škatlica
box	škatla
box	škatlo
lines	črte
lines	vrstice
lines	proge
lines	vrstic
democratic	demokratične
democratic	demokratični
democratic	demokratično
democratic	demokratična
success	uspehov
success	uspeh
success	uspešnost
singles	samske
traditional	tradicionalna
traditional	tradicionalni
traditional	tradicionalne
traditional	tradicionalen
traditional	tradicionalno
rest	počitka
rest	počitek
highway	avtocesto
highway	avtocesta
wide	široka
wide	široki
wide	široko
wide	širok
month	mesec
month	meseca
care	oskrba
care	nego
care	nega
care	care
admin	skrbnik
admin	skrbnika
cultural	kulturno
cultural	kulturne
cultural	kulturni
cultural	kulturna
commission	komisija
commission	provizija
plan	načrt
plan	plan
practice	vaje
practice	trening
practice	vaja
practice	praksi
practice	prakse
practice	praksa
command	poveljstvo
command	ukaz
nomination	nominacijo
jersey	dres
jersey	jersey
parties	pogodbenice
parties	zabave
parties	stranke
michigan	michigan
anyone	kogarkoli
anyone	kdorkoli
overlaps	prekrivanja
approximately	približno
master	mojster
master	učitelj
noted	zabeležena
noted	zabeleženo
usa	zda
usa	usa
stop	ustavi
feature	lastnost
feature	značilnost
engine	motorja
engine	motor
response	odzivanje
response	odziv
response	odziva
needed	potreben
needed	potrebna
needed	potrebovali
illinois	illinois
afd	afd
experience	doživetje
experience	izkušnja
experience	izkušenj
experience	izkušnje
engineering	inženiring
engineering	inženiringa
silver	srebrn
silver	srebro
silver	srebrno
silver	srebrna
silver	silver
separate	ločena
separate	ločeni
separate	ločeno
takes	vzame
takes	jemlje
secretary	tajnik
secretary	sekretarka
secretary	sekretar
secretary	tajnica
secretary	minister
dutch	nizozemsko
dutch	nizozemski
lee	leeja
lee	lee
recording	evidentiranje
recording	zapisovanje
recording	snemanje
prime	prime
rules	pravila
rules	predpisi
uploaded	naloženo
uploaded	naložene
uploaded	naložil
trying	poskušam
youth	mladosti
youth	mladina
youth	mladost
scotland	škotske
scotland	škotski
scotland	škotsko
scotland	škotska
iii	iii
houses	hiš
houses	hiške
houses	hiše
heart	srčna
heart	srčno
heart	srce
room	sobo
room	soba
room	sobi
stone	stone
stone	kamna
stone	kamen
shown	prikazano
shown	prikazan
deal	dogovor
drama	drama
drama	drame
drama	dramo
dead	mrtev
key	ključ
key	ključno
shot	ustreljen
shot	ustreljena
shot	strel
turn	obrni
occupation	poklic
scottish	škotsko
scottish	škotske
scottish	škotski
scottish	škotska
executive	izvršni
executive	izvršilni
plant	rastline
plant	rastlina
plant	obrat
promoted	povišan
promoted	spodbujati
villages	vasi
languages	jezike
languages	jeziki
internet	internetni
internet	internetno
internet	internet
feel	občuti
covered	pokrito
covered	pokrit
covered	pokrita
covered	pokrite
merge	združi
mostly	večinoma
mostly	največkrat
numerous	številni
numerous	številne
ancient	starodavni
ancient	starodavnih
ancient	starodavna
ancient	starodavne
ancient	starodavno
attempt	poskus
property	last
property	lastnost
property	premoženje
property	nepremičnine
property	lastnina
programs	programe
programs	programi
picture	sliko
picture	slika
finally	končno
ships	ladje
fiction	fikcija
secondary	sekundarno
secondary	sekundarne
secondary	sekundarni
secondary	sekundarna
nations	narode
nations	narodi
nations	narodov
majority	večina
majority	večini
majority	večine
edward	edvard
edward	edward
annual	letne
annual	letno
annual	letna
annual	letni
digital	digitalnega
digital	digitalna
digital	digitalno
digital	digitalni
digital	digitalne
mission	misija
mission	misijo
mission	poslanstvo
mission	naloga
lived	živel
lived	živeli
lived	živela
claim	zahtevek
claim	terjatev
claim	trditev
seat	sedež
seat	sedeža
bbc	bbc
profile	profil
dance	dance
dance	pleši
dance	plesno
dance	ples
prize	nagrada
prize	nagrado
georgia	gruzija
georgia	georgia
georgia	gruziji
port	pristanišče
port	pristanišča
port	port
pacific	pacific
pacific	pacifik
castle	castle
castle	grad
castle	dvorec
pass	podaj
pass	prelaz
pass	podaja
pass	mimo
transport	prevozno
transport	prevoz
transport	transport
transport	promet
organizations	organizacije
organizations	organizacijami
organizations	organizacij
ratio	razmerje
recently	nedavno
fall	padlo
fall	jesen
fall	padec
fall	padel
global	svetovna
global	globalni
global	globalno
global	svetovno
era	era
wing	wing
wing	krilo
opinion	mnenje
opinion	mnenja
commander	poveljnik
fort	utrdba
fort	trdnjava
fort	utrdbo
fort	fort
effect	učinka
effect	učinek
effect	efekt
opening	odprtje
opening	otvoritev
opening	odpiranje
purpose	namen
winter	zimska
winter	zimsko
winter	zimo
winter	zima
winter	winter
genus	rodu
genus	rod
congress	kongres
congress	kongresu
activities	dejavnosti
activities	aktivnosti
met	izpolnjeni
met	srečal
met	met
met	spoznal
income	dohodek
income	dohodka
income	dohodki
income	prihodki
income	prihodek
massachusetts	massachusetts
comes	pride
older	starejša
older	starejši
older	starejše
peak	vrh
lack	pomanjkanje
bass	bas
bass	bass
super	super
complex	zapletena
complex	zapleteno
complex	kompleks
complex	kompleksna
academic	akademske
academic	akademsko
academic	akademski
stars	zvezde
stars	zvezdice
stars	zvezd
accounts	računi
appearance	videz
asian	azijske
asian	azijskih
asian	azijski
asked	vprašal
asked	vprašali
friends	prijateljev
friends	prijatelji
friends	friends
friends	prijatelje
kind	prijazen
kind	prijazno
financial	finančno
financial	finančna
entry	vstop
entry	vnos
asia	azija
sense	smiselno
sense	čut
meaning	pomeni
meaning	pomen
actress	igralka
actress	igralke
map	zemljevid
intended	predvideno
intended	predvideni
bishop	tekač
bishop	bishop
bishop	škof
boston	boston
boston	bostona
rate	mera
rate	stopnja
literature	literaturo
literature	književnost
literature	literatura
forest	gozda
forest	gozd
forest	gozdni
forest	gozdovi
voice	glas
jack	jack
pre	pre
justice	pravosodje
justice	pravičnost
justice	pravica
champion	šampion
champion	prvak
double	podvoji
double	dvojni
double	dvakrat
double	dvojno
double	dvojna
polish	poljsko
polish	poljskega
polish	poljski
numbers	številke
numbers	števila
columbia	columbia
temple	svetišče
temple	tempelj
temple	hram
temple	temple
defeated	poražen
defeated	premagani
defeated	poraženi
defeated	premagan
administration	dajanje
administration	uprave
ended	končalo
claims	trditve
claims	terjatve
jones	jones
jones	jonesa
parish	župnijo
israel	izrael
israel	izraelski
israel	izraelsko
actors	igralci
actors	akterji
sister	sestra
sister	sestrica
nine	nine
nine	devet
table	preglednica
table	razpredelnica
table	miza
table	tabela
attended	udeležili
pop	pop
newspaper	časopis
newspaper	časopisi
friend	prijatelj
friend	prijateljica
friend	prijateljico
unknown	neznan
unknown	neznani
unknown	neznano
unknown	neznana
winner	zmagovalec
winner	zmagovalka
chart	graf
initially	sprva
initially	prvotno
loss	izguba
starting	zagon
architecture	arhitektura
architecture	arhitekturo
relations	odnosi
relations	razmerja
supported	podprta
supported	podprte
supported	podprti
supported	podprt
supported	podprto
tracks	skladbe
tracks	sledi
tracks	tiri
contract	pogodba
contract	pogodbo
contract	naročilo
face	obraz
face	obraza
face	face
directly	direktno
directly	neposredno
spent	porabljen
spent	prebil
girl	punca
girl	deklica
girl	dekle
girl	punco
clearly	jasno
junior	mlajši
junior	junior
francisco	francisco
politics	politika
politics	politiki
politics	politiko
politics	politike
presented	predstavljena
presented	predstavljeni
presented	predstavljeno
presented	predstavljene
presented	predstavljen
mar	mar
cause	vzrok
volume	volumen
volume	glasnost
volume	prostornina
volume	zvezek
volume	obseg
caused	povzročena
caused	povzročila
caused	povzročil
caused	povzročeno
tom	toma
tom	tom
flight	polet
flight	let
candidate	kandidatka
candidate	kandidata
candidate	kandidat
matches	vžigalice
claimed	trdil
except	razen
oil	olje
oil	olja
oil	nafta
assistant	pomočnika
assistant	pomočnik
assistant	asistent
assistant	asistentka
assistant	pomočnica
surface	površino
surface	površje
surface	ploskev
regiment	regiment
regiment	polk
stories	zgodb
stories	zgodbice
stories	zgodbe
represented	zastopane
represented	zastopani
represented	predstavljal
gets	dobi
speedy	hitri
weeks	tedne
weeks	tednov
weeks	tedni
weeks	tednih
allow	dovoli
branch	veja
branch	podružnica
branch	vejo
retired	upokojeni
retired	upokojen
communities	skupnostim
communities	skupnosti
train	vlak
paper	papirja
paper	papir
adding	dodajanje
provides	zagotavlja
remains	ostanke
remains	ostaja
victoria	viktorija
victoria	victoria
metal	kovinska
metal	kovine
metal	kovina
metal	kovinsko
metal	kovinski
metal	kovin
wrong	narobe
wrong	napačno
wrong	napačen
direct	neposredni
direct	neposreden
direct	neposredna
direct	neposredne
direct	neposredno
frank	frank
frank	frenk
miles	kilometre
miles	milje
miles	kilometri
miles	miles
miles	kilometrov
miles	milj
blocked	blokiran
blocked	blokiral
blocked	blokirana
launched	izstreljena
mass	maso
mass	mase
mass	mass
mass	masa
chairman	predsednik
comedy	komedijo
comedy	komedija
relationship	razmerje
relationship	zveza
knowledge	znanja
knowledge	poznavanje
knowledge	znanje
format	oblika
format	format
creek	potok
creek	creek
meeting	seji
meeting	srečanje
meeting	sestanek
failed	neuspešno
failed	spodletelo
failed	neuspešen
officers	častniki
officers	policisti
officers	oficirji
draft	osnutki
draft	osnutek
goes	gre
fight	pretep
fight	boj
fight	borba
faculty	fakulteta
faculty	fakultete
camp	taborišče
camp	kamp
camp	camp
camp	tabor
ran	tekel
ran	tekli
variety	sorta
variety	sorte
variety	raznolikost
owner	lastnik
owner	lastnica
statistics	statistika
statistics	statistike
statistics	statistiko
raised	vzgojila
raised	vzgojen
raised	vzgojena
raised	postavljeno
heavy	težka
heavy	težki
heavy	težke
heavy	težko
alexander	aleksandra
alexander	aleksander
alexander	alexander
alone	sama
alone	sami
alone	sam
episodes	epizode
episodes	epizod
gives	daje
educational	izobraževalnih
educational	izobraževalno
educational	izobraževalni
educational	izobraževanje
daily	dnevno
daily	dnevna
daily	dnevni
williams	williamsa
williams	williams
latin	latino
latin	latinsko
completely	popolnoma
products	produkti
products	proizvodi
products	izdelki
dark	temna
dark	temni
dark	temno
attention	pozor
attention	pozornost
religion	religija
religion	religije
religion	religijo
religion	vera
religion	vere
von	von
mind	um
mind	razum
oppose	nasprotovati
corps	korpus
administrative	upravne
administrative	administrativna
administrative	upravna
cut	rez
cut	odreži
scott	scott
footballer	nogometaš
jean	jean
mayor	župan
mayor	županja
mayor	zupan
pro	pro
beach	plaža
beach	plažo
beach	obala
beach	beach
descent	spust
descent	spuščanje
nearly	skoraj
leaving	odhaja
leaving	odhod
cast	mavec
cast	zasedbo
cast	cast
cast	zasedba
territory	ozemlje
write	napiši
write	piši
write	pisanje
towns	mesta
towns	mest
forms	oblike
forms	obrazci
forms	obrazca
joe	joe
inside	znotraj
inside	notri
wanted	iskani
wanted	iskana
solid	trdna
solid	trdni
solid	trdne
solid	trden
solid	trdno
individuals	posamezniki
individuals	posameznike
individuals	posameznikov
authority	organ
authority	avtoriteta
mention	omenjen
mention	omenil
mention	omeni
projects	projekte
projects	projektov
projects	projekti
del	del
cost	strošek
cost	stroški
vice	vice
vice	podpredsednik
drive	vožnja
drive	pogon
drive	vozi
notice	obvestilo
johnson	johnson
forced	prisiljeni
forced	prisilil
forced	prisiljen
forced	prisiljena
forced	prisilno
looks	zgleda
reasons	razlogi
job	zaposlitev
job	job
job	opravilo
job	delo
photo	photo
photo	foto
photo	fotografijo
photo	fotografija
hope	upanja
hope	hope
hope	upanje
log	dnevnik
log	log
log	deblo
parents	starše
parents	starša
parents	starši
entered	vnesene
entered	vneseni
mike	mike
basic	osnovno
basic	osnovni
scientific	znanstvena
scientific	znanstveno
scientific	znanstvene
amount	količina
amount	znesek
spring	spomladanska
spring	pomladno
spring	pomlad
spring	izvir
spring	pomladi
oxford	oxford
oxford	oxfordu
kong	kong
opera	opera
opera	operi
opera	opere
opera	opero
tried	probal
tried	poskusil
tried	poskušal
critical	kritični
critical	kritična
critical	kritičen
critical	kritične
critical	kritično
simple	preprost
simple	preprosta
simple	enostavno
simple	preprosto
founder	ustanovitelj
hong	hong
told	povedal
husband	soprog
husband	moz
husband	mož
useful	uporaben
useful	koristno
useful	uporabna
useful	uporabno
useful	koristna
technical	tehnično
technical	tehnični
technical	tehnična
necessary	potrebno
believed	verjel
believed	verjela
believed	verjeli
operated	obratuje
mountains	hribi
mountains	planine
mountains	gore
mountains	gorovje
importance	pomembnost
musicians	glasbenikov
musicians	glasbeniki
musicians	glasbenika
musicians	glasbenike
hotel	hotel
girls	punce
girls	dekleta
girls	punci
girls	deklice
crew	posadka
crew	posadke
feb	feb
boy	poba
boy	deček
boy	fant
boy	fantek
ontario	ontario
nation	narod
defense	obramba
wiki	wiki
champions	prvaki
golden	zlat
golden	zlato
golden	zlata
golden	zlate
golden	zlati
districts	okrožij
districts	okrožja
faith	faith
faith	vera
faith	vere
faith	veri
faith	vero
racing	racing
racing	dirke
racing	dirkanje
mainly	predvsem
mainly	pretežno
mainly	večinoma
auto	samodejno
auto	samodejna
auto	auto
lives	živi
lives	življenja
swedish	švedska
swedish	švedsko
swedish	švedski
hot	vroče
hot	vroč
hot	vroča
entertainment	zabava
entertainment	razvedrilo
entertainment	zabavo
net	neto
net	net
soccer	nogomet
creation	stvaritev
creation	ustanovitev
creation	ustvarjanje
product	produkt
product	proizvod
product	izdelek
tower	stolp
tower	tower
increased	povečana
increased	povečan
increased	povečano
increased	zvišana
votes	glasov
votes	glasovi
votes	glasovanja
squadron	eskadrilja
contemporary	sodobno
contemporary	sodobna
contemporary	sodobni
subsequently	naknadno
focus	osredotočanje
focus	osredotočenost
focus	osredotočiti
marriage	poroka
marriage	zakon
questions	vprašanja
naval	mornariška
details	detajli
details	podrobnosti
forward	naprej
memorial	memorial
peace	mir
peace	peace
kept	obdržal
iran	iranu
iran	irana
iran	iran
korea	koreja
korea	koreji
korea	korejo
analysis	analizo
analysis	analize
analysis	analiza
winners	zmagovalcev
winners	zmagovalci
winners	zmagovalce
poor	bogi
poor	ubogi
poor	revni
poor	uboga
grade	stopnja
cricket	kriket
judge	judge
judge	sodnik
judge	sodnica
electric	električno
electric	električna
electric	električni
exist	obstajajo
corporation	korporacija
corporation	corporation
corporation	korporacijo
hold	drži
campus	kampusu
brazil	brazilija
chris	chris
beyond	onkraj
beyond	onstran
fifth	petič
fifth	peta
fifth	peto
fifth	peti
increase	povečanje
increase	zvišanje
increase	povišanje
summary	povzetek
remaining	preostali
remaining	preostale
remaining	preostalo
statement	izjavo
statement	navedba
statement	izjava
broadcast	oddajanje
broadcast	oddaja
piano	klavir
des	des
novels	romane
novels	romanov
serving	služiti
hour	uro
hour	ura
hour	urice
moving	selitev
moving	premikanje
resolution	ločljivost
resolution	resolucija
concept	pojem
concept	koncept
alternative	alternative
alternative	alternativni
alternative	alternativno
alternative	alternativa
brothers	brate
brothers	bratje
brothers	bratov
brothers	brata
attacks	napadi
attacks	napade
encyclopedia	enciklopedija
republican	republikanski
republican	republikanec
representatives	predstavniki
representatives	zastopniki
politicians	politikov
politicians	politiki
difficult	težka
difficult	težavna
difficult	težko
ability	zmožnosti
ability	zmožnost
ability	sposobnost
studied	raziskano
studied	študiral
host	gostitelja
host	gostitelj
wall	obzidje
wall	zid
wall	stena
wall	steno
immediately	nemudoma
immediately	takoj
urban	urban
urban	mestna
urban	urbana
urban	mestne
pakistan	pakistan
marine	morskih
marine	marinec
marine	marine
marine	morsko
physical	fizično
physical	fizični
physical	fizična
dec	dec
troops	čet
troops	čete
interview	razgovor
interview	intervju
coming	prihaja
emperor	car
emperor	imperator
emperor	cesar
letter	dopis
letter	črka
letter	pismo
couple	par
duke	vojvodo
duke	duke
duke	knez
duke	vojvoda
tell	povej
gallery	galerija
gallery	galerijo
follow	sledi
windows	windows
windows	okna
tree	jelka
tree	drevo
hits	zadetkov
jazz	jazz
protection	zaščita
protection	varstvo
protection	zaščito
protection	varovanje
relevant	ustrezni
relevant	ustrezna
count	štetje
count	grof
situation	razmere
situation	položaj
situation	situacijo
situation	situacija
situation	stanje
reviews	pregledi
classical	klasične
classical	klasično
classical	klasična
offered	ponujena
offered	ponujenih
offered	ponujene
offered	ponujeni
offered	ponujeno
offered	ponudil
lady	gospa
lady	dama
lady	lady
netherlands	nizozemsko
netherlands	nizozemski
netherlands	nizozemskem
netherlands	nizozemska
reports	poročila
reports	poročili
influence	vplivanje
influence	vpliv
address	naslov
linear	linearni
linear	linearno
linear	linearna
machine	mašina
machine	stroj
domain	področje
elements	elementi
minnesota	minnesoti
types	tipi
types	vrste
nov	november
serve	služil
serve	servis
serve	služi
sydney	sydney
ministry	ministrstvo
blood	kri
distance	oddaljenost
distance	razdalja
bottom	dno
bottom	spodaj
giving	dajanje
boys	fantje
boys	dečki
boys	fanta
potential	potencialno
potential	potencial
toronto	toronto
edited	urejena
edited	urejeni
edited	izpuščeni
infantry	pehota
infantry	pehotna
jun	jun
conflict	navzkrižje
conflict	spor
conflict	konflikt
conflict	spopad
workers	delavcev
workers	delavci
workers	delavce
steve	steve
steve	steva
philadelphia	filadelfiji
helped	pomagala
helped	pomagal
helped	pomagalo
der	der
nationality	državljanstvo
dispute	spor
scene	scena
scene	prizor
scene	prizorišče
scene	sceno
method	metoda
method	metodo
titles	naslovi
titles	naslovov
berlin	berlin
conditions	pogoji
arms	roke
arms	orožje
arms	roki
races	dirk
races	dirkah
races	rase
races	dirke
maybe	mogoče
maybe	mogoce
maybe	morda
discovered	odkrila
discovered	odkril
discovered	odkrite
discovered	odkrita
discovered	odkrili
discovered	odkrit
iron	železo
iron	železov
iron	železna
iron	železa
extended	razširjeni
extended	razširjeno
extended	podaljšana
extended	podaljšano
extended	razširjena
extended	podaljšan
churches	cerkva
churches	cerkve
positive	pozitiven
positive	pozitivni
positive	pozitivna
positive	pozitivno
positive	pozitivne
santa	božiček
santa	santa
nom	nom
longew	longew
imperial	cesarski
imperial	carski
imperial	imperial
composed	sestavljeno
latns	latns
ball	žogo
ball	žoga
ball	žogica
width	širino
width	širina
quickly	hitro
correct	pravilno
correct	pravilna
correct	pravilen
correct	pravilni
responsible	odgovorno
responsible	odgovornega
responsible	odgovoren
responsible	odgovorni
responsible	odgovorna
indiana	indiana
soldiers	vojaki
examples	primeri
korean	korejsko
korean	korejski
genre	zvrst
fish	ribi
fish	riba
fish	ribe
fish	ribice
fish	ribo
senate	senat
effects	učinki
effects	vplivi
gun	pištola
gun	pištolo
check	preveri
check	preveriti
check	preverjanje
check	preverite
plans	načrte
plans	načrti
renamed	preimenovali
sign	podpišite
sign	znak
reporting	poročanje
sweden	švedska
heritage	dediščina
heritage	dediščino
heritage	dediščine
tag	označi
tag	oznaka
primarily	primarno
primarily	predvsem
doctor	zdravnik
doctor	zdravnika
doctor	zdravnica
doctor	doktor
leaders	vodje
leaders	voditelji
lies	laži
inc	inc
rivers	rek
rivers	reke
crime	zločin
crime	kriminal
crime	kriminala
liberal	liberalni
stand	stojalo
stand	stand
stand	stati
bob	bob
bob	boba
existing	obstoječa
existing	obstoječo
existing	obstoječe
existing	obstoječi
publishing	izdajanje
publishing	objavo
publishing	objavljanje
industrial	industrijsko
industrial	industrijska
industrial	industrijske
industrial	industrijski
answer	odgovor
answer	odgovori
split	narazen
split	razdeli
split	split
apr	apr
sex	seks
sex	spol
sex	sex
mixed	mešani
mixed	mešana
mixed	mešane
mixed	mešano
acting	igranje
personnel	osebje
rail	železniški
rail	tirnice
rail	železnica
die	umri
die	umreti
die	umrl
premier	premier
approach	pristop
approach	prilet
approach	pristopi
wisconsin	wisconsinu
sentence	kazen
sentence	stavek
sentence	obsodba
root	korenina
root	korena
root	koren
root	korenine
root	root
standards	standarde
standards	standardi
comics	stripi
comics	stripov
comics	stripe
earned	zaslužil
miss	gospodična
miss	miss
specifically	specifično
specifically	izrecno
specifically	posebej
horse	konjsko
horse	konj
horse	konja
contributions	prispevki
lieutenant	poročnik
wood	les
wood	wood
wood	lesena
wood	lesa
wood	lesni
wood	leseno
plants	rastline
plants	rastlin
initial	začetni
initial	začetna
initial	začetno
origin	izvor
origin	poreklo
environment	okolje
pretty	lepa
rank	čin
bus	bus
bus	avtobus
bus	avtobusna
gas	bencin
gas	gas
gas	plin
direction	smer
guide	vodič
guide	vodnik
guide	vodilo
resources	vire
resources	sredstva
resources	viri
affairs	afere
affairs	zadeve
accepted	sprejeta
accepted	sprejete
accepted	sprejet
accepted	sprejeto
animals	živali
activity	dejavnost
activity	dejavnosti
activity	aktivnost
activity	aktivnosti
levels	ravni
levels	stopnje
levels	nivoji
laws	zakoni
laws	zakone
jim	jim
jim	jima
creating	ustvarjanje
cambridge	cambridge
composer	skladatelj
remove	odstrani
agency	agencija
reserve	rezerva
reserve	rezervo
reserve	rezerve
atlantic	atlantic
atlantic	atlantik
supreme	vrhovnega
supreme	vrhovni
supreme	vrhovno
weight	težo
weight	utež
weight	teža
ask	vprašajte
ask	vprašaj
fighting	pretep
fighting	pretepanje
fighting	bojevanje
jackson	jackson
widely	široko
rose	rose
rose	vrtnica
treatment	zdravljenja
treatment	obdelava
treatment	zdravljenje
treatment	obravnava
linked	povezana
linked	povezano
linked	povezani
andrew	andrej
andrew	andreja
andrew	andrew
trial	sojenje
expanded	razširjeni
expanded	razširjen
expanded	razširjena
expanded	razširjene
daniel	danijel
daniel	daniela
daniel	daniel
certainly	vsekakor
info	info
info	informacije
sciences	vede
sciences	ved
sciences	znanosti
fame	slava
fame	slavo
everything	vse
avenue	avenijo
avenue	avenue
avenue	avenija
travel	potovanja
travel	potovanje
scale	merilo
scale	lestvici
scale	lestvica
scale	obseg
break	break
break	zlomil
break	zlomi
oregon	oregon
housing	ohišje
housing	ohišja
housing	nastanitev
capacity	zmogljivosti
capacity	zmogljivost
capacity	kapaciteta
#efefef	#efefef
fictional	izmišljeni
exchange	izmenjava
exchange	izmenjavo
exchange	izmenjave
exchange	menjava
actions	dejanja
actions	ukrepi
