お菓子	maiustusi
運動量	hoog
パルチザン	partisan
セネガル	senegali
浙江省	zhejiang
ソーラー	päikese
ソーラー	päikeseenergia
議定書	protokoll
ピザ	pitsat
ピザ	pitsa
ピザ	pizza
土星	saturn
サクセス	edu
ニカラグア	nicaragua
ニカラグア	nicaragua
アラー	allah
海老	krevetid
海老	krevetid
海老	krevette
海老	krevetid
コンパイラ	kompilaator
退屈	igav
退屈	igav
退屈	igavus
シボレー	chevrolet
シフ	schiff
けいこ	keiko
酸性	happeliste
中庭	õu
中庭	hoovis
ウィークリー	nädalane
ウィークリー	nädalas
ウィークリー	iganädalane
購買	ostmine
ウィルス	viiruse
ウィルス	viirus
ウィルス	viirused
アンジェラ	angela
噴水	purskkaev
噴水	purskkaevud
リムジン	limusiin
リムジン	limusiin
ガレージ	garaaž
ガレージ	garaaži
コンドル	kondor
苦しむ	kannatada
苦しむ	kannatama
ヘルプ	abi
ヘルプ	appi
ヘルプ	aidake
スーパーマン	superman
レンガ	tellised
レンガ	telliskivi
レンガ	brick
レンガ	tellis
ブラント	brandt
リベンジ	kättemaks
ミヒャエル	michael
投影	projektsioon
イデオロギー	ideoloogia
オルレアン	orleans
オルレアン	orleansi
わくわく	põnev
わくわく	põnevad
わくわく	erutatud
ベティ	betty
サモア	samoa
サモア	samoa
パーマー	palmer
ベーシック	põhi
ベーシック	põhiline
切り札	trump
包装	pakend
包装	pakendamine
鉛筆	pliiats
鉛筆	pliiatsi
鉛筆	pliiatsid
会計士	raamatupidaja
ヒート	kuumus
ヒート	soojus
ヒート	soojuse
東南	kagu
アウディ	audi
隣人	naaber
隣人	naaber
乱暴	karm
エヴァ	eva
後悔	kahetsus
後悔	kahetsust
催眠	hüpnoosi
ハエ	fly
ハエ	lenda
ハエ	lennata
ハエ	lendama
ハエ	kärbes
エセックス	essexi
マーベル	ime
悪霊	deemon
悪霊	deemonid
汚職	korruptsioon
取り付ける	kaasamine
必然	paratamatult
必然	vältimatult
服飾	kostüüm
ロケーション	asukoht
牛肉	loomaliha
牛肉	veiseliha
ジョンストン	johnston
確執	vaen
レジスタンス	vastupidavus
レジスタンス	resistentsus
レジスタンス	vastupanuliikumine
レジスタンス	vastupanu
胎児	loode
マーカス	marcus
チャールストン	charlestoni
由緒	ajalugu
由緒	ajaloo
地下水	põhjavee
好奇心	uudishimulik
好奇心	uudishimu
エドウィン	edwin
花粉	õietolmu
サタン	saatan
生態学	ökoloogiline
生態学	ökoloogilised
生態学	ökoloogia
サイクリング	rattasõit
フレックス	flex
バスト	büst
レゲエ	reggae
フェーズ	etapp
フェーズ	faasi
フェーズ	faas
タフ	kõva
タフ	sitke
タフ	karm
スパイス	vürtsid
スパイス	vürtsi
ヘンダーソン	hendersoni
ヘンダーソン	henderson
光沢	läige
光沢	läikiv
トラウマ	trauma
親指	pöial
フォロー	follow
フォロー	järgi
フォロー	järgne
フォロー	järgneb
政治局	poliitbüroo
粉末	jahu
粉末	pulber
粉末	pulbrid
ジブラルタル	gibraltar
ジブラルタル	gibraltari
プレイボーイ	playboy
マーズ	mars
マーズ	marss
グレゴリー	gregory
セバスティアン	sebastian
ゴダール	godard
台所	köögid
台所	köök
ナシオナル	nacional
レミ	remi
モア	moa
パウエル	powell
ジョエル	joel
誘発	indutseeritud
リッチー	ritchie
リッチー	richie
公道	maantee
公道	kiirtee
峡谷	mäekuru
峡谷	kanjoni
救世主	päästja
書式	vormid
書式	vorming
書式	vormindus
書式	formaat
アレルギー	allergia
ガードナー	gardner
序文	eessõna
序文	eessõna
ヘッドライト	esituled
知覚	ettekujutus
知覚	taju
知覚	tajuvad
クワ	mulberry
脊椎動物	selgroogsete
ブルズ	pullid
勇敢	vapper
勇敢	vaprad
勇敢	vapp
ワンダフル	imeline
モーメント	hetki
モーメント	hetked
モーメント	moment
モーメント	hetk
農産物	põllukultuurid
農産物	kultuurid
トムソン	thomson
リエージュ	liège
レベッカ	rebecca
マルティネス	martinez
マルティネス	martínez
バクー	bakuu
わざと	tahtlikult
わざと	meelega
ウィレム	willem
フーガ	fuuga
キラキラ	sädelev
叙事詩	eepiline
注射	süstimine
注射	süst
注射	süsti
ファックス	faksi
平仮名	hiragana
無制限	piiramata
無制限	piiramatu
サギ	heron
ブレンド	segu
クレーム	kaebused
クレーム	kaebus
プレスト	presto
島民	saarlased
トウモロコシ	mais
トウモロコシ	mais
ギネス	gwyneth
ミューズ	muusa
景色	maastik
景色	maastikud
甲状腺	kilpnäärme
シューベルト	schubert
フロイド	floyd
フェルディナンド	ferdinand
オードリー	audrey
ラインハルト	reinhard
ラインハルト	reinhardt
硝酸	nitraatide
図面	joonised
図面	joonistused
図面	joonis
図面	joonistamine
サバンナ	savannah
レイラ	leila
埋める	matta
埋める	täida
フィンガー	näpp
フィンガー	sõrm
フィンガー	sõrme
スターズ	staarid
スターズ	tähed
スターズ	tähtede
同化	assimilatsiooni
モロ	moro
チャリティ	heategevus
リッキー	ricky
ストリング	nöör
ストリング	string
ウォレス	wallace
プロット	proovitüki
区切り	vaheaeg
区切り	murda
区切り	eraldaja
山西省	shanxi
雄大	võrratu
計器	instrument
計器	pill
計器	vahend
文官	tsiviilisik
文官	tsiviil
クリケット	cricket
ゆっくり	tasapisi
ゆっくり	aeglaselt
タオル	rätik
アリストテレス	aristoteles
ハイドン	haydn
プレジデント	president
ディッシュ	roog
方法論	metoodika
ビスタ	vista
クッキー	küpsised
クッキー	küpsiseid
クッキー	küpsise
クッキー	küpsis
電極	elektrood
電極	elektroodid
シギ	tikutaja
瞑想	meditatsiooni
ノズル	düüsi
ナショナリズム	natsionalismi
パイン	mänd
パイン	männi
正方形	ruudu
正方形	ruut
正方形	väljak
テオドール	theodore
テオドール	theodor
パスカル	pascal
タンザニア	tansaania
リザーブ	varu
リザーブ	reserv
リザーブ	reservi
肥満	rasvunud
肥満	rasvumise
エーテル	eeter
エーテル	eeter
モデリング	modelleerimine
キャビン	salongi
キャビン	majake
キャビン	kabiin
ヘリウム	heelium
高架橋	viadukt
羽毛	sulg
羽毛	suled
ハロウィン	halloween
ウッズ	mets
ウッズ	woods
フラグ	lipp
フラグ	lipu
フラグ	lipud
グリム	grimm
銀河系	galaktika
銀河系	galaxy
サプライズ	üllatus
フィナーレ	finaal
アニマル	looma
アニマル	loom
同定	identifitseerimine
同定	tuvastamine
同定	identifitseerimise
チャーチ	kiriku
チャーチ	kirik
開祖	asutaja
ロッシ	rossi
マグネシウム	magneesiumi
マグネシウム	magneesium
共和制	vabariik
仮装	kostüüm
磁石	magnet
磁石	magnetid
インストラクター	instruktor
インストラクター	juhendaja
イノベーション	uuendused
イノベーション	innovatsioon
イノベーション	uuendus
イノベーション	uuendused
窃盗	vargusi
窃盗	vargus
窃盗	varastamine
窃盗	varastab
合図	signaale
合図	signaalid
コンビネーション	kombineerimine
コンビネーション	kombinatsioon
マーフィー	murphy
濃縮	koondunud
濃縮	kontsentreeritud
濃縮	rikastatud
喋る	räägib
喋る	kõneleb
喋る	kõnele
喋る	räägi
シャーリー	shirley
ソフィー	sophie
いとこ	sugulased
いとこ	nõod
いとこ	nõo
いとこ	nõbu
本屋	raamatupoes
ハプニング	juhtub
シャロン	sharon
スリム	slim
ディスカバリー	discovery
ディスカバリー	avastus
ディスカバリー	avastamine
ドイル	doyle
パレルモ	palermo
ノストラダムス	nostradamus
伐採	metsaraie
海事	merendus
四肢	jäsemed
四肢	jäsemed
思春期	puberteet
バリア	tõke
ロッテルダム	rotterdami
ダイアモンド	diamond
ダイアモンド	teemant
カント	canto
不快	ebamugav
ピサ	pisa
外傷	vigastus
外傷	trauma
ヴェルサイユ	versailles
エイドリアン	adrian
カイル	kyle
朝食	hommikusöök
脂質	lipiidide
ミネアポリス	minneapolise
累積	kumulatiivne
ロート	roth
宗谷	soja
カルテット	quartet
ミック	mick
同棲	kooselu
紫外線	ultraviolett
劣勢	vähemuses
予告編	haagis
予告編	haagise
ロウ	lowe
シルク	siidi
シルク	siid
シルク	siidist
モザンビーク	mosambiigi
アフマド	ahmad
ユリア	julia
ジプシー	mustlane
ヴィンチ	vinci
トゥールーズ	toulouse
車いす	ratastooli
緑化	keskkonnahoidlik
マリーナ	marina
興味深い	huvitav
フリーズ	paigal
スパイラル	spiraal
ラウル	raoul
ラウル	raul
サハラ	sahara
疑念	kahtlane
疑念	kaheldav
疑念	kahtlus
疑念	kahtlused
アソシエーション	assotsiatsioon
バリトン	bariton
アッバース	abbas
失望	pettumus
租税	maksustamine
租税	maks
オウム	papagoi
廊下	koridor
廊下	koridor
コレクター	koguja
カノ	kano
インパルス	impulss
トルーマン	truman
アイデンティティ	identiteedi
アイデンティティ	identiteet
ヨーコ	yoko
ジェノヴァ	genova
キツネ	rebane
キツネ	rebase
キツネ	fox
キツネ	rebased
フォート	kindlus
フォート	fort
ハイジャック	kaaperdada
ハイジャック	kaaperdamine
ウイグル	uiguuri
プロパガンダ	propaganda
ハーモニカ	suupilli
イージー	lihtne
イージー	kerge
風邪	külm
風邪	külmad
ストレージ	hoidla
ストレージ	ladustamise
ストレージ	säilitamine
ストレージ	ladustamine
シチュエーション	olukord
シチュエーション	situatsioon
サンスクリット	sanskriti
ティムール	timur
スノーボード	lumelaua
スノーボード	lumelaua
厳重	range
厳重	ranged
青銅	pronks
スルターン	sultan
貯蓄	kokkuhoid
キャラメル	karamelli
船尾	stern
冊子	brošüür
冊子	brošüüri
いくらか	mõned
パラシュート	langevari
アレイ	massiivi
ツバメ	neelata
腎臓	neerud
腎臓	neeru
腎臓	neer
ブレスト	bresti
抑圧	repressioonide
覇権	hegemoonia
タリン	tallinn
タリン	tallinna
ストラスブール	strasbourgi
ストラスブール	strasbourg
コックス	cox
コルドバ	cordoba
ゴンザレス	gonzales
アスペクト	aspekti
アスペクト	aspekt
リアリティ	tegelikkus
リアリティ	reaalsus
温室	konservatoorium
温室	kasvuhoone
稼ぐ	teeni
うつ病	depressioon
ダンテ	dante
ギヨーム	guillaume
会報	uudiskiri
ジェット機	jet
ベンゼン	benseeni
社交	seltskondlik
多分	ehk
多分	võibolla
多分	äkki
接吻	suudlevad
接吻	musi
接吻	kiss
接吻	suudlus
メイソン	mas
メイソン	mason
アイダホ	idaho
イエメン	jeemeni
イエメン	jeemeni
ジャーナリズム	ajakirjandus
湿度	niiske
湿度	niiskus
ボリューム	ruumala
ボリューム	maht
ボリューム	helitugevus
ボリューム	köide
ボリューム	mahud
ボリューム	maht
サプライ	varustamine
サプライ	tarne
セロ	cerro
セロ	cyril
ボンネット	tanu
ボンネット	hood
食肉	liha
生き物	olendid
生き物	olevused
生き物	elukad
生き物	elukas
生き物	olend
生き物	olevus
マーカー	tähis
マーカー	marker
マーカー	markerid
酵母	pärmi
マンモス	mammut
願望	püüdlused
願望	püüdlusi
無責任	vastutustundetu
土産	suveniirid
土産	suveniir
ムーンライト	kuuvalgus
退院	heakskiidu
オア	orr
ジャガイモ	kartul
ジャガイモ	kartulid
ジャガイモ	kartuli
ジャガイモ	kartul
瀕死	suremine
瀕死	suremas
ゴッホ	gogh
砂丘	luite
カヌー	kanuu
加速度	kiirendamine
加速度	kiirendus
加速度	kiirenenud
加速度	kiirendatud
ロレーヌ	lorraine
ペイジ	paige
執政官	konsul
女帝	keisrinna
エイズ	aids
エイズ	aidsi
ハノイ	hanoi
推論	tuletatud
モルガン	morgan
ニキ	niki
ホームレス	kodutu
ホームレス	kodutud
ハニー	kallis
ハニー	honey
ハニー	mesi
やむを得ない	vältimatud
やむを得ない	vältimatu
やむを得ない	paratamatu
やむを得ない	vältimatu
ゆっくりと	tasapisi
ゆっくりと	aeglaselt
大理石	marmor
アイリス	iris
ハンク	hank
性交	vahekord
焼肉	grill
サガン	sagan
シュナイダー	schneider
略語	lühend
略語	lühendid
ブレア	blair
ブレア	blairi
ウォリアーズ	sõdalased
アウェイ	eemal
アウェイ	eemale
おっぱい	rinnad
おっぱい	tissid
おっぱい	tissid
治癒	ravi
カラフル	värvikas
ハインツ	heinz
失業	tööpuudus
失業	töötus
大根	redis
精算	väljavõte
バリュー	väärtus
残高	saldo
残高	tasakaalu
残高	tasakaal
残高	bilanss
フセイン	hussein
フセイン	hussain
セレモニー	tseremoonia
ワイオミング	wyomingi
フロート	hõljuvad
風習	tolli
風習	toll
風習	kohandatud
エピック	eepiline
カイト	lohe
ノーザン	põhja
腐食	korrosiooni
友愛	vennaskonna
友愛	korporatsioon
友愛	vennaskond
メソジスト	metodisti
岸壁	kai
内面	sisustus
内面	sisemus
内面	interjöör
内面	sisemine
アーベル	abel
孫娘	lapselaps
ブランク	tühi
エリトリア	eritrea
エリトリア	eritrea
刺青	tätoveering
刺青	tattoo
刺青	tätoveeringud
ポリシー	poliitika
ポリシー	poliitikad
ポリシー	poliitika
重度	raskekujuline
重度	tõsine
ベーカー	pagar
ベーカー	baker
ブレット	bret
ブレット	brett
書写	transkribeeritud
未確認	tuvastamata
ヴェルナー	werner
ニジェール	niger
ニジェール	nigeri
ウォーキング	kõndimine
ウォーキング	jalutades
ウォーキング	jalutamas
ウォーキング	kõnnib
ウォーキング	kõnnib
作り方	retsept
作り方	retsepti
レボリューション	revolutsioon
節約	kokkuhoid
乳房	rind
乳房	rinnanäärme
乳房	rinnaga
娼婦	hoor
クルアーン	koraan
トレンド	trend
トレンド	suundumus
トレンド	suundumusi
トレンド	suundumused
ハイキング	matk
ハイキング	matka
野心	ambitsioonid
野心	ambitsioone
野心	auahne
野心	ambitsioonikas
野心	ambitsioonid
野心	ambitsioon
オズボーン	osborne
インスタント	kohene
チェンバレン	chamberlain
伝染病	epideemia
伝染病	infektsioon
伝染病	nakkus
人柄	isiksus
人柄	isikupära
ソーダ	sooda
ヘレナ	helena
四角	ruudu
四角	ruut
四角	väljak
ミニチュア	miniatuurne
落札	müüdud
悟り	valgustatuse
軍師	strateeg
バーニー	barney
バーニー	bernie
略記	lühend
刀剣	mõõgad
臭い	haisev
ウラル	uurali
グロリア	gloria
レイノルズ	reynolds
従者	kannupoiss
レックス	rex
さようなら	hüvasti
過激派	ekstremismi
過激派	äärmuslased
インコ	papagoi
ミランダ	miranda
ヘンリク	henrik
ストリップ	riba
ストリップ	ribad
赤毛	punapea
カウンセリング	nõustamist
カウンセリング	nõustamine
タシュケント	taškent
偽名	varjunimi
偽名	alias
偽名	pseudonüüm
ウール	vill
シャトー	château
シャトー	chateau
無実	süütud
無実	süütu
アンドレアス	andreas
閉会	sulgemine
シェフィールド	sheffield
マルグリット	marguerite
配管	torustik
モンゴメリー	montgomery
ソケット	socket
失調	ataksia
シーサイド	rannik
シーサイド	mereäärne
ヴェローナ	verona
閉じる	lähedal
閉じる	sulge
トランジスタ	transistor
トランジスタ	transistorid
ジュディ	judy
プリンター	printer
プリンター	printeri
城塞	kindlus
アーマー	turvis
チャペル	kabel
ヴィクター	victor
アブー	abu
過失	hooletu
過失	hooletuse
ジェニー	jennie
ジェニー	jenny
菌類	seen
菌類	seened
菌類	seene
球形	sfääri
球形	kera
サミー	sammy
メイヤー	mayer
メイヤー	meyer
海辺	rannik
海辺	mereäärne
ハンセン病	leepra
清国	qingi
ボム	hulgus
ハッシュ	hash
配送	tarne
配送	kohaletoimetamine
配送	shipping
ジャネット	janet
答弁	vastus
密輸	salakaubaveo
密輸	salakaubavedaja
密輸	salakaubana
スロープ	kalle
本能	instinkt
本能	instinktid
本能	instinktid
ガザ	gaza
用例	näited
用例	näiteid
ゼウス	zeusi
ゼウス	zeus
不規則	ebaregulaarne
コロンブス	columbus
口頭	suuliselt
口頭	suuline
口頭	suukaudse
ジンバブエ	zimbabwe
ジンバブエ	zimbabwe
ヘラクレス	herakles
後見	eestkoste
訃報	surmad
光度	helendus
光度	osatähtsus
光度	intensiivsus
光度	valgustugevus
ビューティフル	kaunist
ビューティフル	ilus
ビューティフル	kaunid
ビューティフル	ilusad
ビューティフル	kaunis
ナオミ	naomi
ホロコースト	holokausti
ソリューション	lahendused
ソリューション	lahused
ソリューション	lahendus
ソリューション	lahus
同情	kaastunne
コーエン	cohen
挙動	käitumine
挙動	käitumine
挙動	käitumise
トワイライト	videvik
サムスン	samsung
ルネッサンス	renessanss
足場	tellingute
谷間	org
谷間	oru
谷間	valley
グリフィス	griffith
ダリ	dali
交尾	paaritumist
伝言	sõnum
伝言	teade
タブー	tabusid
タブー	tabu
ニーナ	nina
成都	chengdu
伍長	kapral
サーフィン	surfata
シリウス	sirius
アンドロイド	android
憎悪	vihkamine
憎悪	vihkamist
憎悪	viha
憎悪	vihkamine
憎悪	vihkab
憎悪	vihkamine
特派員	korrespondent
シャドー	varju
シャドー	vari
リチャードソン	richardson
花崗岩	graniit
メソポタミア	mesopotaamia
未解決	lahendamata
サガ	saaga
球面	sfääriline
球面	sfääri
球面	kera
モリソン	morrison
まっすぐ	sirge
フランキー	frankie
格下げ	alandatud
球状	sfääriline
ホプキンス	hopkins
手作り	käsitöö
手作り	isetehtud
購読	telli
購読	tellimused
購読	tellimine
購読	tellimus
購読	märkimine
購読	tellimine
購読	märkimise
アクシデント	avarii
アクシデント	õnnetus
井手	ide
クルマ	auto
クルマ	car
変性	degeneratsioon
傾き	kalle
宣誓	vanne
エルヴィス	elvis
衣類	rõivas
衣類	rõivad
シリコン	räni
証書	sertifikaat
証書	tunnistus
お化け	vaim
お化け	vaimu
お化け	kummitus
お化け	tont
恐ろしい	jube
恐ろしい	õudne
恐ろしい	kohutav
ご飯	riis
ビーバー	kobras
ビーバー	koprad
行き先	sihtkoht
狩人	kütt
狩人	hunter
狩人	jahimees
フィーチャー	motiiv
キーパー	valdaja
キーパー	hoidja
グルコース	glükoos
パラドックス	paradoks
ヒョウ	leopardid
ヒョウ	leopard
クレイジー	hull
クレイジー	hullud
黒竜江	heilongjiang
耐久性	kestvus
耐久性	vastupidavus
公理	aksioom
ニコン	nikon
評定	hindamine
評定	hindamine
評定	hinnang
服従	kuulekuse
士気	moraal
ダグ	doug
実演	tõendamine
実演	demonstratsioon
スイート	sviiti
磁性	magnetism
占星術	astroloogia
ドルフィン	delfiin
マラウイ	malawi
ディレクトリ	kataloog
ディレクトリ	kataloogid
障壁	takistused
障壁	tõkked
障壁	tõke
スムーズ	tõrgeteta
スムーズ	sujuv
スムーズ	mahe
スムーズ	sile
無力	abitu
チューニング	häälestus
アバター	avatar
議事	agenda
議事	päevakord
標語	moto
ハロゲン	halogeenide
湖北省	hubei
酪農	dairy
アニ	ani
漏洩	leke
しっぽ	saba
しっぽ	kiri
しっぽ	sabad
利子	intress
利子	intressid
利子	huvi
利子	huvid
リコール	tagasivõtmine
リコール	meenuta
ストーンズ	kivid
ストーンズ	kive
