toegepaste	応用
herhalen	繰り返し
rocky	ロッキー
guillermo	ギリェルモ
guillermo	ギレルモ
botsing	インパクト
botsing	衝撃
botsing	衝突
bogen	アーチ
optische	光学
hopen	ホープ
hopen	希望
hbo	hbo
bokser	ボクサー
servers	サーバ
servers	サーバー
seoel	ソウル
ibrahim	イブラヒム
creatieve	クリエイティブ
tina	ティナ
snijden	cut
snijden	カット
snijden	切り取り
snijden	裁断
snijden	切り取り
snijden	スライス
snijden	彫刻
snijden	切り分け
schubben	スケール
schubben	ウロコ
gediskwalificeerd	欠格
ego	エゴ
woonachtig	住民
passie	パッション
passie	情熱
passie	受難
vlot	いかだ
hamer	ハンマー
hamer	ハマー
hamer	マレット
rufus	ルーファス
bits	ビット
benson	ベンソン
etymologie	語源
vrijlating	釈放
vrijlating	リリース
examen	試験
realisme	リアリズム
dragers	担い手
bowie	ボウイ
journaliste	ジャーナリスト
journaliste	リポーター
journaliste	レポーター
intact	無傷
einstein	アインシュタイン
sloveens	スロベニア
airbus	エアバス
agatha	アガサ
gisting	発酵
chase	チェイス
augsburg	アウクスブルク
handmatig	manual
handmatig	手動
handmatig	マニュアル
handmatig	手動
aquino	アキノ
emery	エメリー
voorzichtig	注意深い
voorzichtig	そっと
jacqueline	ジャクリーヌ
vergoeding	償還
vergoeding	弁償
vergoeding	補てん
vergoeding	補償
vergoeding	賠償
vergoeding	弁償
vergoeding	報酬
vergoeding	手数料
vergoeding	料金
vergoeding	報酬
vergoeding	給与
elly	エリー
journey	旅行
journey	journey
padang	パダン
cursussen	コース
strekt	伸びる
lies	股間
mai	マイ
virtuele	バーチャル
virtuele	仮想
blog	ブログ
interactie	相互作用
interactie	相互作用
enrique	エンリケ
kane	ケーン
perfecte	パーフェクト
perfecte	完璧
cambodja	カンボジア
zeus	ゼウス
tegenstand	抵抗
tegenstand	レジスタンス
tegenstand	野党
continue	連続
villeneuve	ヴィルヌーヴ
verrassing	驚き
verrassing	サプライズ
trouwe	忠実
bellen	通話
bellen	コール
bellen	コーリング
ongebruikelijk	珍しい
atlantis	アトランティス
passion	パッション
passion	情熱
passion	受難
levenswijze	生き方
levenswijze	ライフスタイル
willis	ウィリス
lam	子羊
lam	ラム
lam	ラム
lam	lam
investeringen	投資
investeringen	投資
generation	世代
generation	ジェネレーション
lichten	ライト
lichten	街灯
archeologie	考古学
archeologie	考古学
negeren	無視
rudi	ルディ
alphonse	アルフォンス
stripverhaal	漫画
stripverhaal	コミック
faciliteiten	施設
faciliteiten	設備
faciliteiten	設備
devon	デヴォン
recreatie	レクリエーション
recreatie	レジャー
recreatie	余暇
nieto	ニエト
wesley	ウェズリー
bangladesh	バングラデシュ
herenhuis	マンション
geweer	ガン
geweer	小銃
geweer	ライフル
inzending	提出
beruchte	汚名
beruchte	infamous
joint	関節
roer	ヘルム
roer	攪拌
schuur	バーン
schuur	納屋
duin	デューン
duin	砂丘
uitbarsting	決壊
deken	毛布
deken	ブランケット
gehoor	聴聞
gehoor	聴覚
gehoor	聴力
gehoor	審問
vonnis	評決
vonnis	宣告
vonnis	センテンス
vonnis	文章
voltooiing	修了
voltooiing	補完
voltooiing	竣工
voltooiing	完成
leiderschap	リーダーシップ
moeders	母親
roth	ロート
boon	ビーン
boon	boon
klanken	サウンド
kanselier	宰相
genie	天才
toerde	巡業
nwa	nwa
townsend	タウンゼント
ingrid	イングリッド
wellington	ウェリントン
gezonde	ヘルシー
gezonde	健康
etappes	舞台
etappes	ステージ
kostbare	尊い
kostbare	precious
kostbare	貴重
kwaliteiten	資質
bloedbad	虐殺
potentieel	ポテンシャル
movistar	モビスター
pauken	ティンパニ
meervoudig	倍数
meervoudig	複数
hernández	エルナンデス
hernández	ヘルナンデス
heller	ヘラー
eik	オーク
apg	apg
intellectuele	知識人
apostel	使徒
olaf	オラフ
woordvoerder	スポークスマン
chauffeur	運転手
chauffeur	運転手
chauffeur	ドライバ
chauffeur	ドライバー
tips	tips
tips	ヒント
vervolgde	迫害
weigeren	拒否
weigeren	拒否
weigeren	拒絶
kloof	渓谷
kloof	峡谷
kloof	峡谷
werkgelegenheid	雇用
voorzitterschap	総裁
ing	ing
nine	nine
zwaan	白鳥
zwaan	スワン
strauss	シュトラウス
holocaust	ホロコースト
bytes	バイト
flanken	側面
fleming	フレミング
bots	ボット
schorsing	休止
schorsing	サスペンション
swing	スウィング
swing	スイング
better	ベター
cardiff	カーディフ
zones	ゾーン
rodriguez	ロドリゲス
manning	マニング
confederatie	連盟
tegenovergestelde	反対
chip	チップ
afhankelijke	依存
manfred	マンフレート
rouge	ルージュ
cher	シェール
swift	スイフト
swift	スウィフト
tucker	タッカー
himalaya	ヒマラヤ山脈
sculpturen	彫刻
kip	鶏肉
kip	ニワトリ
kip	チキン
kip	キップ
arrangeur	編曲
hoopt	希望
aankondiging	告知
aankondiging	アナウンス
aankondiging	発表
aankondiging	公表
aankondiging	お知らせ
bondgenoot	アライ
bondgenoot	アリー
larve	幼虫
larve	幼生
guinee	ギニア
alto	アルト
brit	ブリット
fast	速い
fast	高速
ceo	ceo
sandy	サンディ
koe	カウ
marmer	大理石
marmer	marble
limiet	制限
limiet	リミット
limiet	限界
imperial	インペリアル
rapid	快速
demon	悪魔
demon	悪霊
tournament	トーナメント
gassen	気体
stimpson	stimpson
gala	ガーラ
hull	船体
hull	ハル
zakken	サックス
zakken	バッグ
zakken	ポケット
essex	エセックス
effectieve	実効
ridge	尾根
vale	ヴェイル
klacht	苦情
klacht	クレーム
bessel	ベッセル
weiss	ヴァイス
ffff	ffff
distributie	分布
distributie	流通
distributie	配当
doug	ダグ
rellen	暴動
rellen	暴動
rellen	暴動
verstopt	隠し
hertogin	公爵夫人
claes	クラース
verbleven	滞在
katten	キャッツ
katten	ネコ
theridion	theridion
subsidie	付与
subsidie	グラント
esperanto	エスペラント
hek	ゲート
hek	フェンス
maximus	マクシムス
alien	エイリアン
enzym	酵素
dimitri	ディミトリ
françoise	フランソワーズ
komma	コンマ
redding	救助
redding	レスキュー
redding	レディング
redding	救済
zinloos	無意味
zinloos	役立たず
zinloos	無益
fontaine	フォンテーヌ
kruiden	ハーブ
kruiden	ハーブ
kruiden	香辛料
kruiden	スパイス
kruiden	香辛料
kruiden	スパイス
savoye	サヴォイ
savoye	サヴォワ
factory	工場
mill	ミル
dynamische	ダイナミック
jaya	ジャヤ
vic	ビック
stal	ストール
dai	ダイ
druiven	ぶどう
druiven	ブドウ
druiven	ブドウ
druiven	ぶどう
eiwit	タンパク質
eiwit	たんぱく質
edison	エジソン
nantes	ナント
uitbreidingen	拡張
formulering	策定
letterlijke	リテラル
gemak	やす
gemak	便宜
gemak	便利
shah	シャー
corrigeren	正解
corrigeren	正しい
hearts	hearts
hearts	ハーツ
remo	レモ
downloaden	ダウンロード
downloaden	ダウンロード
japonica	ジャポニカ
roubaix	ルーベ
afkortingen	略語
rush	ラッシュ
manga	漫画
manga	マンガ
plot	プロット
olsen	オルセン
dachten	思考
kalksteen	石灰岩
binden	bind
binden	製本
jaime	ハイメ
quinn	クイン
christoffel	クリストファー
stephanie	ステファニー
auflage	auflage
pompen	ポンプ
pompen	パンプス
pompen	ポンプ
julio	フリオ
ride	乗る
ride	配車
tool	ツール
tool	工具
tool	道具
nis	床の間
nis	nis
overdekte	室内
overdekte	屋内
vals	偽造
vals	false
vals	虚偽
gilde	ギルド
particulieren	個人
emiraten	エミレーツ
tate	テート
tate	テイト
kardinalen	カージナルス
lübeck	リューベック
jemen	イエメン
advocaten	弁護士
stuur	送信
stuur	送る
zwaartekracht	グラビティ
zwaartekracht	重力
remmen	ブレーキ
remmen	制動
remmen	ブレーキ
remmen	ブレーキ
sidney	シドニー
vaticaan	バチカン
johnston	ジョンストン
burke	バーク
concentreren	焦点
concentreren	フォーカス
raadplegen	コンサルティング
viaduct	跨線橋
viaduct	高架橋
viaduct	橋梁
snelheden	スピード
suffolk	サフォーク
montpellier	モンペリエ
attack	攻撃
attack	進撃
obama	オバマ
voltooien	終了
voltooien	フィニッシュ
magna	マグナ
zijkanten	両側
valerie	ヴァレリー
kawasaki	川崎
benadrukt	下線
benadrukt	ストレス
verwarrend	混乱
verwarrend	ややこしい
verwarrend	紛らわしい
synoniemen	同義語
synoniemen	類義語
synoniemen	同義語
synoniemen	類義語
rook	スモーク
doc	doc
doc	ドク
maxime	マキシム
vruchtbare	実り
gevangene	捕虜
gevangene	囚人
gevangene	受刑者
gevangene	囚人
lettertype	フォント
lettertype	書体
garage	ガレージ
garage	車庫
det	det
kinder	キンダー
trust	トラスト
trust	trust
trust	信頼
handelaren	商人
stagiair	インターン
stagiair	研修
stagiair	見習い
sims	シムス
segment	セグメント
segment	線分
studentenvereniging	友愛
luzern	ルツェルン
benoit	ブノワ
predicaat	述語
botswana	ボツワナ
springt	ジャンプ
bunker	バンカー
afgestudeerd	卒業
dorothy	ドロシー
underground	地下
underground	地下鉄
weigerden	拒否された
una	ウナ
runner	ランナー
uitdaging	チャレンジ
uitdaging	挑戦
gesuggereerd	おすすめ
benaderen	進入
benaderen	アプローチ
benaderen	参道
opa	お爺さん
opa	おじいちゃん
opa	じいちゃん
opa	おじいさん
opa	祖父
afsluiting	閉包
afsluiting	閉鎖
ritme	リズム
rommel	ジャンク
onvolledig	未完成
fraude	詐欺
terra	テラ
jenkins	ジェンキンス
nba	nba
enrico	エンリコ
algoritme	アルゴリズム
doelgroep	観客
doelgroep	オーディエンス
doelgroep	ターゲット
hut	小屋
hut	キャビン
hut	船室
alfredo	アルフレード
goedkoper	安上がり
federico	フェデリコ
sts	sts
amber	琥珀
amber	アンバー
ibm	ibm
verstandig	分別
verstandig	英明
vaten	ドラム
vaten	太鼓
afdaling	降下
afdaling	下り坂
beest	野獣
beest	ビースト
mons	モンス
textiel	繊維
textiel	織物
textiel	テキスタイル
textiel	織物
boulogne	ブローニュ
masker	仮面
masker	マスク
censuur	検閲
tango	タンゴ
tango	丹後
rendement	roi
rendement	出来上がり
rendement	利回り
dammen	チェッカー
analoge	アナログ
analoge	アナログ
hoogland	高地
hoogland	高地
hoogland	ハイランド
diane	ダイアン
sơn	ソン
bewapening	軍需
bewapening	軍備
opel	オペル
quest	クエスト
rad	ホイール
rad	車輪
rad	rad
pal	パル
pal	pal
kogel	ナメクジ
kogel	弾丸
kogel	銃弾
lund	ルンド
biographie	biographie
kapot	壊れた
doorgegeven	合格
matthews	マシューズ
orders	命令
orders	オーダー
orders	注文
begraafplaatsen	墓地
slagveld	戦場
slagveld	戦場
feedback	フィードバック
expansie	膨張
liturgie	典礼
evolution	進化
evolution	evolution
ruimten	スペース
naakt	ヌード
naakt	全裸
naakt	ヌード
naakt	ヌード
feel	感じる
feel	feel
feel	フィール
bioscopen	映画
bioscopen	シネマ
synthesizer	シンセサイザー
domeinen	ドメイン
diamanten	ダイヤモンド
heracles	ヘーラクレース
viola	ヴィオラ
viola	ビオラ
beveiligd	セキュア
bijzonderheden	詳細
deskundige	エキスパート
massief	固体
massief	山塊
items	アイテム
items	品物
faith	信仰
faith	信念
faith	フェイス
psychiater	縮小
michele	ミケーレ
blanche	ブランシュ
onzichtbaar	不可視
onzichtbaar	未読
vincenzo	ヴィンチェンツォ
brigitte	ブリジット
din	din
bruiloft	ウェディング
bruiloft	ウェディング
bruiloft	結婚式
sas	sas
animatie	アニメーション
animatie	アニメーション
tee	ティー
oeral	ウラル
konvooi	船団
batterij	電池
batterij	バッテリー
batterij	バッテリ
muizen	マウス
muizen	ねずみ
muizen	マウス
glory	グローリー
keizerlijk	インペリアル
hopkins	ホプキンス
lamp	ランプ
columnist	コラムニスト
prostitutie	売春
hiphop	hiphop
bryant	ブライアント
piccolo	ピッコロ
maldiven	モルディブ
katholicisme	カトリシズム
raadslid	参事官
raadslid	参事官
beauty	美容
stoelen	椅子
stoelen	座席
raoul	ラウル
raoul	ラウル
blair	ブレア
openingen	隙間
openingen	ギャップ
monique	モニーク
doodt	kill
timothy	ティモシー
instellen	セットアップ
instellen	設定
instellen	集合
instellen	セット
instellen	configure
instellen	設定
beta	ベータ
olifant	ゾウ
olifant	ゾウ
patty	パティ
astronomie	天文学
aanmelding	通知
aanmelding	届出
aanmelding	お知らせ
aanmelding	ログイン
definities	定義
heiligdom	聖域
heiligdom	神社
uitstraling	カリスマ
vergelijkingen	比較
vergelijkingen	方程式
perzisch	ペルシャ
landmacht	アーミー
landmacht	軍隊
landmacht	陸軍
drs	drs
tomorrow	明日
tomorrow	あした
notatie	表記
notatie	記法
polo	ポロ
francesca	フランチェスカ
frost	フロスト
ljubljana	リュブリャナ
fitzgerald	フィッツジェラルド
zelotes	zelotes
infectie	伝染病
infectie	感染
middeleeuws	中世
truth	真実
truth	真理
rubber	ラバー
rubber	ゴム
bishop	ビショップ
nana	ナナ
beaufort	ボーフォート
fields	フィールド
fields	フィールズ
danseres	ダンサー
zuil	カラム
teleurgesteld	がっかり
uitrusting	道具
uitrusting	装備
uitrusting	機器
uitrusting	機材
uitrusting	歯車
uitrusting	ギア
motschulsky	motschulsky
fear	恐怖
fear	恐れ
moeras	沼地
moeras	ボグ
guitar	ギター
nationalisme	ナショナリズム
huisje	コテージ
thuisland	家路
opgewekt	陽気
memory	メモリ
memory	メモリー
memory	記憶
functionaliteit	機能
voortbestaan	サバイバル
analoog	アナログ
analoog	類似
analoog	アナログ
suggesties	おすすめ
suggesties	提案
agentschap	エージェンシー
agentschap	代理店
demonstratie	デモンストレーション
demonstratie	実演
demonstratie	デモ
weefsel	ティッシュ
weefsel	布地
weefsel	生地
weefsel	織物
göttingen	ゲッティンゲン
lof	賞賛
lof	賛美
brooke	ブルック
handelaar	マーチャント
handelaar	商人
handelaar	トレーダー
handelaar	ディーラー
killer	キラー
koperen	真鍮
kleren	被服
kleren	洋服
kopieën	コピー
kopieën	部数
papa	ダディ
vanessa	ヴァネッサ
drop	ドロップ
drop	リコリス
schijnbaar	どうやら
slaaf	奴隷
recensies	レビュー
abe	安部
abe	安倍
abe	阿部
ivie	ivie
hereniging	同窓会
hereniging	再会
clermont	クレルモン
aanvragen	アプリケーション
aanvragen	リクエスト
aanvragen	請求
aanvragen	リクエスト
wassen	洗う
wassen	ウォッシュ
wassen	洗濯
wassen	洗浄
verloofde	フィアンセ
verloofde	フィアンセ
verloofde	フィアンセ
verloofde	婚約
verloofde	フィアンセ
onderverdeling	細分
onderverdeling	区画
marten	テン
ruben	ルービン
ruben	ルベン
splitsen	分ける
splitsen	分割
splitsen	スプリット
splitsen	分割
pilot	パイロット
strafbaar	処罰
comeback	カムバック
gespannen	緊張
gespannen	時制
ongeldig	無効
roken	喫煙
roken	スモーク
norbert	ノルベルト
vakbond	ユニオン
onderhandelen	ネゴシエーション
onderhandelen	交渉
onderhandelen	交渉
onderhandelen	交渉
onderhandelen	交渉
webb	ウェッブ
aanvaarden	受け入れ
aanvaarden	受け入れる
aanvaarden	承認
