細分	подразделение
乗馬	яздене
粘土	глина
粘土	клей
幸一	коичи
占有	владение
占有	обсебване
占有	притежание
占有	притежаване
シュウ	оксалова
モナ	мона
肝臓	дроб
アンゴラ	ангола
味噌	мишо
ノック	почукване
ノック	чук
ノック	nok
ジェシカ	джес
ジェシカ	джесика
ペイント	боя
ペイント	бои
ペイント	боядисване
ピーチ	праскова
滑らか	гладко
滑らか	плавно
滑らか	гладък
滑らか	гладки
滑らか	гладка
ハイランド	хайленд
完備	пълна
完備	пълно
完備	завършен
完備	пълен
完備	завършено
白血病	левкемия
アングル	ъгъл
アングル	ъгли
冷たい	студ
冷たい	студен
冷たい	студено
冷たい	студена
ホノルル	хонолулу
ハンプトン	хемптън
ハンプトン	хамптън
ラウンジ	салон
ディーラー	дилър
ディーラー	дилъра
ディーラー	търговец
デーモン	демон
除隊	разреждане
ナイス	хубав
ナイス	хубава
ナイス	хубаво
ナイス	мило
ケヴィン	кевин
信条	крийд
入札	наддаване
入札	кандидатурата
入札	наддаването
入札	наддаване
台帳	леджър
シルエット	силует
エディンバラ	единбург
中性子	неутрон
処方	предпише
パノラマ	панорама
パノラマ	панорамна
クルト	кърт
クルト	курт
反復	повтаряне
反復	повторение
反復	итерация
共存	съжителстват
ネイティブ	родна
ネイティブ	местни
祐子	юко
修道士	монах
ヴィレッジ	село
ロジャース	роджърс
ロジャース	роджърс
バレンタイン	валентин
バレンタイン	валънтайн
ボルドー	бордо
ヴァンパイア	вампир
受け取り	получено
受け取り	получена
受け取り	получен
受け取り	получени
風刺	сатира
仲裁	арбитраж
顕微鏡	микроскоп
検察官	прокурор
ボトル	бутилки
ボトル	бутилката
ボトル	шише
ボトル	бутилка
神風	камикадзе
クォーター	четвърт
クォーター	тримесечие
グリッド	мрежа
グリッド	решетка
リチウム	литий
わがまま	егоизъм
わがまま	егоист
わがまま	егоистично
ラバー	каучук
ラバー	гума
便所	тоалетните
便所	тоалетни
インタラクティブ	интерактивни
セール	разпродажба
セール	продажба
アグネス	агнес
フェルナンデス	фернандес
フェルナンデス	фернандес
フェルナンデス	fernandes
用紙	хартия
パラオ	палау
ミナ	мина
快楽	удоволствие
ヒール	излекува
ヒール	пета
ヒール	петата
しみ	петна
しみ	петно
しみ	петна
均衡	равновесието
均衡	равновесие
きれい	чисто
きれい	чист
きれい	чисти
きれい	чиста
気球	балон
イケメン	красавец
イケメン	красив
ディラン	дилън
ディラン	дилан
リンパ	лимфната
リンパ	лимфните
メンフィス	мемфис
フィルタ	филтър
フィルタ	филтриране
フィルタ	филтри
ヴォルフガング	волфганг
チコ	чико
蒸発	изпаряване
ココ	коко
ココ	коко
スクリュー	винт
祈祷	молитва
募金	дарение
募金	дари
募金	дарение
募金	дарения
オリエント	ориент
オーランド	оланд
オーランド	орландо
作物	култури
作物	насаждения
パウンド	паунд
パウンド	кг
シャーロック	шерлок
スタッド	стад
スタッド	жребец
村人	селяните
村人	селяни
トカゲ	гущери
トカゲ	гущер
トカゲ	гущера
参道	подход
飢饉	глад
ピストル	пистолет
真壁	макабе
布教	размножаване
紳助	шинске
ブランチ	бранч
ブランチ	клон
ブランチ	клонче
ブランチ	клонка
別館	анекс
別館	приложение
聖歌	химн
聖歌	химни
漁師	рибарите
漁師	рибари
漁師	рибар
ガーナ	гана
ミレニアム	хилядолетие
ミレニアム	милениум
なぜなら	защото
塩素	хлор
釈迦	шака
つぼみ	пъпки
ジェニファー	дженифър
クレイグ	крейг
パッチ	пластир
パッチ	пач
アイザック	исаак
アイザック	айзък
アイザック	исак
美学	естетика
死別	вдовец
死別	вдовица
筆記	писмено
筆記	написана
筆記	написано
筆記	писмен
筆記	писмена
筆記	пиша
筆記	писане
セバスチャン	себастиан
セバスチャン	себастиян
ダイアナ	даяна
ダイアナ	диана
リハビリ	рехабилитация
バーゼル	базел
テリア	териери
テリア	териер
苦情	оплаквания
苦情	жалби
苦情	жалби
苦情	оплакване
苦情	жалба
二階	горе
代名詞	местоимения
代名詞	местоимение
静脈	вени
静脈	вена
静脈	вената
チューン	мелодия
ノルマンディー	нормандия
ハウ	хоу
ハウ	хау
合法	законна
合法	законно
合法	легитимен
合法	законен
開示	разкриване
開示	оповестяване
開示	разгласяване
エデン	идън
エデン	едем
エデン	еден
デザート	десерта
デザート	десерти
デザート	десерт
デザート	пустиня
デザート	пустинята
デザート	десерти
リバイバル	възраждане
リバイバル	съживяване
動脈	артериална
動脈	артерия
動脈	артерията
動脈	артерии
動脈	артериите
ツイッター	twitter
ツイッター	туитър
発熱	треска
発熱	температура
リュック	раницата
リュック	раница
忍び	шиноби
織物	текстилни
織物	текстил
織物	тъкане
織物	плат
織物	платове
織物	тъкан
織物	текстил
ペスト	чумата
ペスト	чума
ペスト	вредители
ペスト	напаст
礼儀	учтивост
ボンド	бонд
グロス	гадно
グロス	бруто
ヴィーナス	венера
ゴリラ	горилата
ゴリラ	горила
ゴリラ	горили
ゴリラ	горилите
リサイタル	съображение
リサイタル	рецитал
フリッツ	фриц
ブランコ	бланко
ニトロ	нитро
ジュゼッペ	джузепе
竜巻	торнадо
竜巻	торнадо
健治	кенджи
ダイヤル	набиране
ダイヤル	набиране
唱える	пеене
苦悩	агония
苦悩	мъка
ゴア	гоа
ゴア	гор
ネブラスカ	небраска
ポロ	поло
日没	сънсет
日没	залез
日没	залез
ミュラー	мюлер
ミュラー	мюлер
ミュラー	мюлер
セルティックス	селтикс
ディナー	вечери
ディナー	вечерята
ディナー	вечеря
白金	платина
パラグアイ	парагвай
パラグアイ	парагвайски
ブカレスト	букурещ
不信	недоверие
ジェシー	джеси
オオカミ	улф
オオカミ	уолф
オオカミ	вълк
オオカミ	вълчо
オオカミ	волф
コンタクト	контакт
コンタクト	контакти
バスケット	кош
バスケット	кошница
ザルツブルク	залцбург
特製	специалност
特製	специалитет
快感	удоволствие
叔母	леля
空想	луксозно
パーソナル	лично
パーソナル	личен
パーソナル	лична
パーソナル	лични
パーソナル	персонален
百姓	селяни
段落	параграф
段落	абзац
段落	параграфи
ハーモニー	хармъни
ハーモニー	хармония
アイディア	идея
アイディア	идеи
タイラー	тайлър
アンプ	усилвател
アンプ	усилватели
宝物	съкровища
宝物	съкровищата
宝物	съкровища
宝物	съкровище
マルクス主義	марксизма
サーブ	служи
サーブ	сааб
イワン	ванка
イワン	айвън
イワン	иван
イワン	иване
ギフト	подаръци
ギフト	подаръците
ギフト	дарове
ギフト	подарък
ギフト	дарба
ギフト	дар
理性	причина
恨み	злоба
恨み	негодувание
恨み	възмущение
ビスマルク	бисмарк
構文	синтактична
構文	синтаксис
ミキ	мики
光景	гледки
光景	забележителности
アインシュタイン	айнщайн
申し立て	спор
申し立て	спорът
エミリー	емили
安い	евтино
安い	евтин
安い	евтини
安い	евтина
ハーレム	харлем
サンズ	пясък
サンズ	сандс
サンズ	пясъци
ガイ	гай
プラット	плат
プラット	прат
矯正	корекции
矯正	корекциите
矯正	поправки
バタフライ	пеперудата
バタフライ	пеперуда
最小限	минимални
最小限	минимално
最小限	минимална
最小限	минимален
エレナ	елена
クイーンズ	куийнс
クイーンズ	куинс
クイーンズ	кралици
コサック	казаци
コサック	казак
スペル	правописа
スペル	правопис
スペル	заклинание
スペル	заклинанието
チャレンジャー	претендент
チャレンジャー	чалънджър
プロポーズ	предложение
パラレル	паралелно
パラレル	успоредно
パラレル	успоредни
パラレル	паралелна
パラレル	паралелни
ゴマ	сезам
サザン	южен
サザン	южни
サザン	южна
図形	геометрията
図形	геометрия
図形	формата
図形	форма
ゲノム	геном
デイヴ	дейв
ドッキング	дока
ドッキング	док
ドッキング	скачване
マダム	госпожо
マダム	мадам
トレント	трент
アーセナル	арсенал
請願	петиции
請願	петиция
アトランティック	атлантик
アトランティック	атлантическа
美保	михо
メチル	метил
幸田	кода
おば	леля
おば	лели
腐敗	разлагане
ベイビー	бебе
ベイビー	мила
ベイビー	бейби
ベイビー	скъпа
備後	бинго
キルギス	киргизстан
アダムス	адамс
ブライト	светло
ブライト	ярко
ブライト	светли
参事官	съветници
参事官	съветник
トレーラー	ремарке
トレーラー	каравана
毛皮	козина
毛皮	козината
毛皮	кожи
コロシアム	колизеум
コロシアム	колизея
シンフォニー	симфония
選任	назначаване
選任	изборите
選任	избори
ゴールキーパー	вратар
マグマ	магма
条文	разпоредба
条文	предоставяне
条文	осигуряване
条文	разпоредби
条文	провизии
ニクソン	никсън
マリオン	мериън
マリオン	марион
ごみ	котило
ごみ	боклук
ごみ	боклуци
ごみ	боклук
ハーブ	хърб
ハーブ	билка
ハーブ	биле
ハーブ	билки
フィアット	фиат
ドロシー	дороти
ヒスパニック	латино
一律	равномерно
チェ	чой
チェ	che
キール	кир
キール	кил
キール	кийл
キール	кила
ジョーク	шега
ジョーク	лаф
ジョーク	виц
ジョーク	шеги
ジョーク	вицове
徳田	токуда
フォスター	приемен
フォスター	фостър
フォスター	приемни
みさき	мисаки
クロスオーバー	кросоувър
クロスオーバー	кръстосано
孵化	хач
コウモリ	бат
コウモリ	прилеп
コウモリ	бухалка
コウモリ	прилепи
コウモリ	бухалки
バチカン	ватикана
バール	бар
バール	барът
トリス	трис
丹下	танге
編み	плитки
ヴィラ	вила
ヴィラ	villa
ヴィラ	вила
ヴィラ	вили
ユーモア	хумор
ユーモア	хумор
溶液	разтвор
溶液	решение
ウイスキー	уиски
ウイスキー	уиски
バッド	лоша
バッド	зле
バッド	лошо
バッド	лош
バッド	кофти
ナシ	круша
アレクセイ	алексей
アレクセイ	алексей
アレクサンドリア	александрия
総局	дирекция
総局	дирекцията
ファゴット	фагот
エリザベート	елизабет
借用	заемане
誠実	откровеност
誠実	искреност
コンポーネント	елемент
コンポーネント	компонент
コンポーネント	компоненти
聴覚	слух
聴覚	изслушването
聴覚	изслушване
トリガー	задействане
トリガー	спусък
トリガー	спусъка
イベリア	иберия
イーグルス	орли
イーグルス	орлите
刻印	щамповане
チューリップ	лалета
チューリップ	лале
ガッツ	вътрешности
ガッツ	черва
レニングラード	ленинград
リップ	рип
コルト	колт
プランニング	планиране
曲面	повърхност
曲面	повърхността
煉瓦	тухли
煉瓦	тухлите
煉瓦	тухла
煉瓦	брик
ペイン	пейн
ペイン	пейн
ペイン	болката
ペイン	болки
ペイン	болка
薬剤師	фармацевт
自律	автономни
自律	автономна
ポツダム	потсдам
ニコル	никол
嫌がらせ	тормозят
嫌がらせ	тормоз
嫌がらせ	тормози
ハーグ	хага
プロヴァンス	прованс
ミーティング	срещи
ミーティング	събрания
ミーティング	заседания
ミーティング	заседание
ミーティング	среща
ミーティング	съвещание
ミーティング	събрание
ミーティング	срещата
カーペット	килими
カーペット	килим
モンタナ	монтана
カビ	плесен
カビ	мухъл
カビ	плесен
カビ	мухъл
カビ	плесени
ギャップ	пропуски
ギャップ	празнина
ギャップ	пролука
アルス	ars
シェリー	чери
シェリー	шери
シェリー	шели
乗り物	возила
乗り物	автомобили
乗り物	автомобил
乗り物	возило
ダニ	тик
ダニ	дани
伊奈	ина
暖房	нагряване
暖房	отопление
暖房	парно
暖房	подгряване
暖房	загряване
イネ	ине
数量	количества
数量	количество
倍率	мащабиране
倍率	увеличение
中級	междинна
中級	междинно
中級	междинен
パンドラ	пандора
チャイコフスキー	чайковски
カナリア	канарчета
カナリア	канарските
カナリア	канарче
テンプル	темпъл
テンプル	храмът
テンプル	храм
偽造	фалшификат
偽造	фалшифициране
偽造	фалшификация
偽造	подправяне
偽造	фалшиви
偽造	фалшифицирани
エメラルド	изумруди
エメラルド	емералд
テレサ	тереза
テレサ	тереса
テレサ	тереза
テレサ	тереса
マッカートニー	маккартни
パタゴニア	патагонска
パタゴニア	патагония
太い	дебела
太い	плътна
太い	дебело
太い	дебел
アニー	ани
ベルン	бърн
コックピット	кабината
匂い	миризма
匂い	мирис
精神病	психоза
ゴメス	gomes
ゴメス	гомес
ゴメス	гомез
ゴメス	гомес
ナラ	нала
ゲーテ	гьоте
無条件	безусловно
無条件	безусловна
無条件	безусловно
オスカル	оскар
リハーサル	репетицията
リハーサル	репетиция
ケニー	кени
アスファルト	асфалт
祝う	празнуват
祝う	празнуваме
サラダ	салати
サラダ	салата
エクアドル	еквадор
制動	спиране
ルワンダ	руанда
ドーピング	допинг
シューマン	шуман
シューマン	шуман
十字路	кръстопът
十字路	кръстопът
レナード	ленард
レナード	леонард
レナード	ленърд
グライダー	планер
グライダー	глайдери
ベルナール	бернард
ベルナール	бернар
ベルナール	бърнард
エンリケ	енрике
ひどい	ужасна
ひどい	ужасно
ひどい	ужасен
ババ	баба
ババ	бъба
ババ	буба
ポーツマス	портсмут
オスロ	осло
ヴァンガード	авангард
モニカ	моника
モニカ	моника
スペシャリスト	специалист
リガ	рига
軍備	въоръжение
ロコ	локо
パワフル	мощен
パワフル	мощно
パワフル	мощна
ジョシュ	джош
スカーレット	скарлет
スカーレット	скарлет
放射能	радиоактивност
ギニー	гвинеи
ペレス	перес
ペレス	перез
泣く	плачи
泣く	плаче
泣く	плач
泣く	плача
泣く	плачат
インディー	инди
ペガサス	пегас
ディエゴ	диего
観念	идея
前例	безпрецедентно
前例	безпрецедентна
ケネス	кенет
バタ	бата
シャドウ	сенки
シャドウ	сянката
シャドウ	сянка
発送	изпращане
発送	диспечер
マンガン	манган
教訓	урок
教訓	поука
ポッター	потър
ハト	гълъбите
ハト	гълъби
ハト	гълъб
ハト	гълъби
スモール	малка
スモール	малки
スモール	малък
スモール	дребен
給料	заплатата
給料	заплати
給料	заплата
打楽器	удряне
打楽器	ударно
伝播	размножаване
エドワーズ	едуардс
スズ	тин
ベネット	бенет
ミミ	мими
肩書	заглавие
肩書	дял
肩書	титла
ダライ	далай
コンペティション	конкуренция
コンペティション	конкурс
コンペティション	състезание
役立つ	полезна
役立つ	полезно
役立つ	полезни
役立つ	полезен
世俗	светска
世俗	светски
成虫	имаго
ドリンク	пийте
ドリンク	пий
ドリンク	питие
ドリンク	напитки
ドリンク	пие
ドリンク	питиета
子宮	матката
子宮	матка
子宮	утробата
子宮	утроба
子宮	матка
慶喜	йошинобу
グラスゴー	глазгоу
ワタナベ	уатанабе
航法	навигация
下水道	канализацията
下水道	канализация
下水道	канализация
下水道	канализацията
カザン	казан
由良	юра
シェパード	шепърд
シェパード	овчар
シェパード	овчарка
シェパード	пастир
シェパード	шепърд
シェパード	шепард
贈り物	подаръци
贈り物	подаръците
贈り物	дарове
贈り物	подарък
贈り物	дарба
贈り物	дар
退位	абдикацията
退位	абдикира
ラグナ	лагуна
ノヴゴロド	новгород
オビ	оби
ベネディクト	бенедикт
エッチ	ечи
検閲	цензура
検閲	цензурирани
検閲	цензура
オペレーション	операции
オペレーション	операцията
オペレーション	експлоатация
オペレーション	функциониране
オペレーション	операция
ガーディアン	настойник
ガーディアン	пазител
ガーディアン	попечител
ガーディアン	гардиън
小麦	пшеница
小麦	жито
物事	неща
物事	нещата
描画	рисуване
描画	рисунка
パレット	палет
パレット	палитра
マギー	маги
マギー	меги
フューチャー	бъдеще
フューチャー	бъдещ
フューチャー	бъдещи
フューチャー	бъдещето
フューチャー	бъдеща
狂気	луд
狂気	луда
狂気	лудница
狂気	безумие
狂気	лудостта
狂気	лудост
狂気	безумие
狂気	лудост
リマ	лима
懸賞	награди
ストーカー	дебне
ストーカー	преследвач
ロバ	магарета
ロバ	магарето
ロバ	магаре
ジュリー	джули
ジュリー	жули
大麻	канабис
村落	селата
村落	селища
村落	села
村落	село
生態系	екосистема
生態系	екосистеми
生態系	екосистеми
生態系	екосистемите
かわいい	сладко
かわいい	сладур
かわいい	сладка
かわいい	сладък
モニュメント	паметници
モニュメント	паметник
ジャッジ	съдията
ジャッジ	съдия
ジャッジ	съдя
注入	вливане
ピエモンテ	пиемонте
ローラン	лоран
ファインダー	откривателя
ザグレブ	загреб
ニューカッスル	нюкасъл
サクラメント	сакраменто
サクラメント	тайнство
マジカル	магически
マジカル	вълшебен
マジカル	вълшебно
マジカル	магическо
リクルート	новобранец
ソート	сортиране
ソート	сортиране
覚書	меморандум
サンダー	гръм
サンダー	гръмотевица
サンダー	гръмотевици
紅茶	чай
デア	дер
ノーラン	нолан
信じる	вярвай
ピッコロ	пиколо
ガマ	гама
ヴィンセント	винсънт
ヴィンセント	венсан
ヴィンセント	винсент
ハイライト	подчертано
ハイライト	подчерта
ハイライト	кичури
ハイライト	подчертава
ハイライト	подчертая
ハイライト	осветяване
マシーン	машинка
マシーン	машина
ポーラ	паула
ポーラ	пола
船首	поклон
暗闇	мрака
暗闇	мракът
暗闇	тъмнината
暗闇	мрак
暗闇	тъмнина
エスパーニャ	españa
マーチン	мартин
マーチン	martin
リラ	лира
リラ	лири
リラ	рила
せり	търгове
せり	търговете
リベラル	либерална
リベラル	либерални
リベラル	либерален
リベラル	либерал
ゼルダ	зелда
プロローグ	пролог
果物	плодове
果物	плод
果物	плодове
おじ	чичо
おじ	чичовците
おじ	чичовци
停電	затъмнение
爬虫類	влечуго
爬虫類	влечуги
爬虫類	влечуги
芭蕉	башо
共感	съпричастност
共感	съчувствие
五つ	пет
小津	озу
税金	данъци
税金	данък
税金	данъците
税金	данъци
登る	изкачване
隔離	изолиране
隔離	изолация
バーレーン	бахрейн
球体	сферата
球体	сфера
領事	консул
未熟	незрял
不便	неудобство
不便	неудобства
ブラームス	брамс
伸一	шиничи
キャメロン	камерън
染め	боядисана
染め	обагрени
マーキュリー	живак
マーキュリー	меркурий
知識人	интелектуалци
知識人	интелектуалец
知識人	интелектуална
知識人	интелектуално
談話	беседа
ウェディング	сватбите
ウェディング	сватби
ウェディング	свадба
ウェディング	сватба
着物	кимоно
救急車	линейка
神保	джимбо
花弁	венчелистчета
セグメント	сегменти
セグメント	отсечка
セグメント	сегмент
ノエル	ноел
絶縁	изолирана
絶縁	изолирани
絶縁	изолиран
ナタリー	натали
三四郎	санширо
在庫	опис
在庫	инвентаризация
カーティス	къртис
砲術	артилерийски
サングラス	очила
スプリンター	спринтьор
ドミニク	доминик
ビルバオ	билбао
ペルソナ	персона
リセット	анулиране
リセット	рестартира
軍縮	разоръжаване
スプレー	пръскане
スプレー	пръска
スプレー	пръски
スプレー	спрей
ガリレオ	галилео
ポテンシャル	потенциална
ポテンシャル	потенциал
生化学	биохимия
スピーチ	реч
スピーチ	говор
ジャスティン	джъстин
シング	синг
シング	сингх
デュッセルドルフ	дюселдорф
デュッセルドルフ	дюселдорф
タスク	задачи
タスク	задача
タスク	задачата
ジュピター	юпитер
キャプション	заглавие
キャプション	надпис
キャプション	надписи
プレイオフ	плейофите
ユヴェントス	ювентус
物品	стоки
物品	блага
サイレン	сирена
ルーレット	рулетка
小人	джудже
リビング	жива
リビング	живите
リビング	живи
チャド	чад
重信	окума
バイオリン	цигулка
ジャカルタ	джакарта
インターフェース	интерфейс
インターフェース	интерфейса
インターフェース	интерфейси
即興	импровизация
ドロー	тегли
賞品	награди
公判	процес
便宜	удобство
収縮	свиване
収縮	контракции
カスタマイズ	персонализиране
バングラデシュ	бангладеш
ペルシャ	персийски
浪士	роши
車道	алеята
車道	алея
変種	разнообразие
変種	сорт
変種	разновидност
リハビリテーション	рехабилитация
屈折	пречупване
アクセサリー	аксесоари
アクセサリー	съучастник
アクセサリー	съучастие
アクセサリー	аксесоар
アクセサリー	съучастничество
肥料	торове
肥料	тор
フォーチュン	богатство
ラッパー	рапър
検知	откриване
検知	засечен
野獣	звяр
サメ	акулите
サメ	акули
サメ	акула
サメ	акули
フレディ	фреди
湖沼	езера
湖沼	езерата
ソチ	сочи
オペレーター	оператор
レクイエム	реквием
レイチェル	рейчъл
バンクス	бенкс
バンクス	банките
バンクス	банкс
バンクス	банки
ナット	нат
陽気	весел
陽気	джоли
陽気	игрив
ホルヘ	хорхе
概説	очертае
概説	резюме
概説	обобщение
遊佐	юса
マグロ	тон
ジョイ	радост
ジョイ	джой
クッキング	готвенето
クッキング	готвене
リーク	течове
リーク	изтичане
ファンク	фънк
キープ	запази
グアテマラ	гватемала
グアテマラ	гватемалски
フライデー	петък
ダイバー	водолаз
ダイバー	водолази
可視	видима
可視	видими
可視	видимо
メタン	метан
長方形	правоъгълници
長方形	правоъгълник
長方形	правоъгълна
パイプライン	газопровода
パイプライン	тръбопроводи
パイプライン	тръбопровод
パイプライン	газопровод
有益	изгодно
河南省	хънан
疾病	болест
疾病	болести
疾病	заболяване
疾病	заболявания
迷路	лабиринт
コントローラー	контролери
コントローラー	контрольор
コントローラー	контролер
形容詞	прилагателно
形容詞	прилагателни
アスリート	спортист
アスリート	атлет
アスリート	спортисти
アスリート	атлети
アスリート	спортистите
動乱	катаклизъм
キャラバン	керван
キャラバン	каравани
キャラバン	каравана
ユーリ	юри
ユーリ	юрий
ホルシュタイン	холщайн
手足	крайници
手足	крайниците
丸い	кръгла
丸い	кръгли
丸い	рунд
丸い	кръгло
丸い	кръг
ジェラルド	джералд
変奏曲	вариации
ライデン	лайден
カーテン	завеса
カーテン	завесата
カーテン	пердета
カーテン	завеси
カーテン	пердета
嫌悪	неприязън
嫌悪	отвратен
嫌悪	отвращение
豆腐	тофу
ペレ	пеле
昨日	вчера
ブルネイ	бруней
コンベンション	конвенция
コンベンション	конгрес
人道	хуманитарна
人道	хуманитарни
引き出し	чекмедже
引き出し	чекмеджетата
引き出し	чекмеджета
ロジェ	роджър
課金	зареждане
課金	заряд
我慢	търпение
我慢	търпението
レクリエーション	отдих
コンパイル	състави
コンパイル	съставяне
コンパイル	компилация
トスカーナ	тоскана
カルメン	кармен
超新星	супернова
蕎麦	соба
バンパー	броня
バンパー	бронята
命題	предложение
ファイターズ	бойците
ファイターズ	бойци
ファイターズ	изтребители
サーベル	сейбър
サーベル	сабя
サーベル	сейбър
サーベル	сабя
ファウスト	фауст
ファシズム	фашисти
ファシズム	фашист
ファシズム	фашистки
ファシズム	фашизма
ファシズム	фашисти
ファシズム	фашистите
テナー	тенор
有吉	арийоши
ハルビン	харбин
内乱	въстание
曼荼羅	мандала
組み込み	вградени
組み込み	вградена
組み込み	вграден
ズボン	панталон
ズボン	панталони
ズボン	панталоните
ズボン	гащи
ズボン	панталон
ズボン	панталони
マインツ	майнц
日の出	изгрев
プラトン	платон
タップ	кранове
欠如	липса
ロミオ	ромео
おしゃれ	стилно
おしゃれ	стилен
おしゃれ	стилна
風車	мелница
風車	мелници
定量	количествено
定量	количествени
ヒデ	скриване
ブルックス	брукс
遼寧省	ляонин
ピエトロ	пиетро
触手	пипала
ドク	док
雅也	масая
ホイットニー	уитни
チタン	титан
チタン	титанов
和睦	помирение
生計	прехраната
生計	препитание
生計	прехрана
悲しい	тъжни
悲しい	тъжен
悲しい	тъжно
悲しい	тъжна
ステロイド	стероидни
ステロイド	стероиди
ステロイド	стероиди
ステロイド	стероидите
ハガキ	картичка
アトレティコ	атлетико
取り出し	изваждане
ダイス	зарове
ダイス	заровете
アレクサンドラ	александра
変調	модулация
宴会	банкет
スニーカー	кецове
スニーカー	маратонки
スニーカー	кецове
メル	мел
ノミ	бълха
ノミ	бълхи
ノミ	бълхи
ノミ	бълхите
ファイナンス	финанси
ファイナンス	финансиране
偏見	предразсъдъци
和義	казуйоши
ファルコン	сокол
ウガンダ	уганда
許す	опрощаване
許す	прошката
許す	опрощение
許す	прошка
許す	прости
カメルーン	камерун
牡丹	божур
コンプリート	пълна
コンプリート	пълно
コンプリート	завършен
コンプリート	пълен
コンプリート	завършено
スーパースター	суперзвезда
ホステス	домакиня
ホステス	домакинята
ダイビング	гмуркане
ダイビング	потапяне
ダイビング	гмуркане
ジャニ	яни
リンチ	линч
バビロン	вавилон
カーネギー	карнеги
ウェリントン	уелингтън
リザ	лиза
リザ	лайза
マーラー	малер
カストロ	кастро
ワシ	орел
新星	nova
新星	нова
農薬	пестициди
農薬	пестициди
農薬	пестицидите
テヘラン	техеран
ブロンズ	бронзова
ブロンズ	бронз
ブロンズ	бронзов
ブロンズ	бронзови
アントワーヌ	антоан
スキップ	скип
ヤシ	дланта
ヤシ	палм
ヤシ	длан
小切手	чекове
小切手	чек
絶叫	крещи
絶叫	писък
手榴弾	гранатата
手榴弾	граната
手榴弾	гранатите
手榴弾	гранати
運動量	инерция
パルチザン	партизанин
セネガル	сенегалски
セネガル	сенегал
ソーラー	слънчево
ソーラー	слънчева
ソーラー	слънчеви
議定書	протокол
議定書	протоколът
明夫	акио
ピザ	пица
土星	сатурн
サクセス	успех
サクセス	успехи
ニカラグア	никарагуа
ニカラグア	никарагуа
アラー	аллах
海老	скариди
海老	скариди
海老	скариди
海老	скариди
コンパイラ	компилатори
コンパイラ	компилатор
退屈	скучно
退屈	скука
退屈	скучна
退屈	скучен
退屈	скучно
退屈	скука
退屈	отегчен
退屈	скука
退屈	скуката
ダーツ	дартс
ダーツ	стрелички
シボレー	шевролет
シボレー	шевролет
シフ	шиф
けいこ	кейко
ボギー	боги
酸性	киселинни
中庭	двор
中庭	двора
中庭	дворът
ウィークリー	седмични
ウィークリー	седмично
ウィークリー	седмична
ウィークリー	седмичен
購買	закупуване
ウィルス	вирус
ウィルス	вируси
ウィルス	вируси
アンジェラ	анджела
噴水	фонтан
噴水	фонтани
リムジン	лимузина
リムジン	лимузината
リムジン	лимузина
リムジン	лимузината
試練	опити
試練	процеси
試練	изпитания
ガレージ	гараж
ガレージ	гаража
コンドル	кондор
ヘルプ	помощ
スーパーマン	супермен
レンガ	тухли
レンガ	тухлите
レンガ	тухла
レンガ	брик
ブラント	брант
ブラント	бранд
ブラント	брант
リベンジ	мъст
リベンジ	отмъщение
リベンジ	отмъщението
ミヒャエル	майкъл
投影	проекция
投影	прожекция
未婚	неомъжена
未婚	неженен
イデオロギー	идеология
イデオロギー	идеологии
オルレアン	орлеанс
オルレアン	орлиънс
蘇生	реанимация
切腹	сепуку
わくわく	вълнуващо
わくわく	вълнуващи
わくわく	вълнуваща
わくわく	развълнувани
わくわく	възбуден
わくわく	развълнувана
わくわく	развълнуван
予知	предчувствие
着信	входящи
着信	входящ
着信	входящо
ベティ	бети
サモア	самоа
パーマー	палмър
ベーシック	основна
ベーシック	основни
ベーシック	основен
切り札	коз
切り札	тръмп
包装	опаковка
包装	опаковката
包装	опаковане
包装	опаковки
鉛筆	молив
鉛筆	моливи
会計士	счетоводители
会計士	счетоводител
カーリング	кърлинг
ヒート	горещина
ヒート	жега
ヒート	топлина
東南	югоизточна
東南	югоизток
アウディ	ауди
隣人	съсед
隣人	съседка
隣人	съсед
隣人	съседка
乱暴	грубо
乱暴	груба
乱暴	груб
乱暴	груби
エヴァ	ева
エヴァ	ива
後悔	съжаление
後悔	съжаления
催眠	хипноза
催眠	хипнозата
ハエ	лети
ハエ	полети
エセックス	есекс
マーベル	чудо
悪霊	демон
悪霊	демони
悪霊	демоните
汚職	корупция
汚職	корупцията
汚職	поквара
必然	неизбежно
必然	неминуемо
服飾	костюм
ロケーション	местоположение
ロケーション	място
ロケーション	местонахождение
ロケーション	локация
牛肉	телешко
牛肉	говеждо
ジョンストン	джонстън
確執	вражда
レジスタンス	съпротива
レジスタンス	резистентност
レジスタンス	устойчивост
レジスタンス	съпротивление
胎児	зародиш
マーカス	маркус
マーカス	маркъс
チャールストン	чарлстън
由緒	историята
由緒	история
好奇心	любопитен
好奇心	любопитно
好奇心	любопитна
好奇心	любопитни
好奇心	любопитство
好奇心	любопитството
エドウィン	едуин
花粉	прашец
サタン	сатаната
サタン	сатана
生態学	екологично
生態学	екологичен
生態学	екологични
生態学	екологична
生態学	екология
サイクリング	колоездене
サイクリング	колоездене
バスト	бюст
レゲエ	реге
フェーズ	фаза
フェーズ	етап
タフ	труден
タフ	корав
スパイス	подправки
スパイス	подправка
スパイス	подправки
鮮やか	ярки
ヘンダーソン	хендерсън
光沢	гланц
光沢	блясък
光沢	лъскава
光沢	лъскави
トラウマ	травми
トラウマ	травма
親指	палец
