enciklopedije	encyclopaedia
bizantskog	volgeling
werder	werder
richards	richards
irački	iraqi
violončelo	tjello
ncbi	ncbi
etimologija	etimologie
mila	mila
pravoslavni	ortodokse
sopstvene	eie
diplomatske	diplomatieke
ćiro	ciro
terminal	terminaal
xxx	xxx
anadolija	anatolië
civilno	siviele
airways	airways
hopkins	hopkins
zvanične	amptelik
zvanične	amptenaar
zvanične	amptelike
norton	norton
privatno	privaat
privatno	privaat
sharif	sharif
teškoće	moeilikheidsgraad
teškoće	moeilikheid
teškoće	swaarkry
praznika	vakansiedae
praznika	vakansies
ponašaju	wet
gabriela	gabriela
bugari	bulgare
sudovima	howe
subpage	subpage
snp	snp
preživjeti	oorleef
nasljedstvo	legacy
mill	meul
mill	mill
mill	meule
formalni	formele
formalni	formal
bacha	bach
bristol	bristol
kršćanska	christian
kršćanska	christene
kršćanska	christen
kršćanska	christiaan
clara	clara
gomes	gomes
lola	lola
kodiraju	coding
ubistava	moorde
bokser	boxer
izvoza	verstryk
foo	foo
konsenzus	consensus
odbojka	volleyball
frakcije	breuke
spomenuo	genoem
sophie	sophie
angela	angela
imenovanja	afsprake
impuls	impulse
florence	florence
issn	issn
manga	manga
hbo	hbo
kometa	komeet
pedersen	pedersen
monografija	monograph
prihvatanje	aanvaarding
viza	visa
zanimljiva	interessant
urbane	urban
urbane	stedelike
logaritam	logaritme
korporacije	korporasies
temeljima	foundations
riješen	opgelos
azijske	asiese
azijske	asiatiese
vfb	vfb
amonij	ammonium
podmornica	duikboot
digitalna	digitale
digitalna	digital
laguna	laguna
laguna	haf
laguna	lagoon
kostur	geraamte
kostur	skelet
ekološke	environmental
asimov	asimov
entitet	entiteit
toole	toole
svečanosti	ceremony
svečanosti	seremonie
upućen	begeleide
belo	belo
diferencijalna	differential
gripe	flu
henderson	henderson
pati	suffer
klana	clan
decenijama	dekades
iris	iris
doprinio	bygedra
torpedo	drilvis
stefano	stefano
interesantno	interessant
zli	rogue
kobalt	kobalt
ibuprofen	ibuprofen
nacionalizam	nationalism
blurb	blurb
nice	lekker
nice	oulike
nice	nice
urbani	urban
urbani	stedelike
stand	staan
tropska	tropiese
casablanca	casablanca
etapa	stages
postojećim	bestaande
dolores	dolores
citationclass	citationclass
detaljan	gedetailleerde
detaljan	gedetaileerde
avio	lugredery
avio	lugdiens
avio	airlines
šejh	sheikh
omogućili	geaktiveer
omogućili	aktiveer
registar	registreer
nedavne	onlangse
behar	blossom
behar	bloeisel
tiberije	tiberius
izum	uitvinding
imenice	werkwoord
ovde	hier
novčića	muntstuk
novčića	coin
osmanlijama	ottomans
sticanja	aanwins
bojenje	dye
dragon	draak
dragon	dragon
nano	nano
rukomet	handbal
susreti	encounters
galija	cisalpina
derek	derek
rudarstvo	mining
rudarstvo	myn
rudarstvo	mynbou
rudarstvo	mynwese
comma	komma
comma	maatskappy
melodija	melody
melodija	melodie
ieee	ieee
gorile	gorillas
gorile	gorilla
kristal	kristal
kristal	crystal
minas	minas
normalni	normale
normalni	normal
normalni	normaal
paralelna	parallel
paralelna	parallelle
zatvorio	geslote
zatvorio	gesluit
zatvorio	toegemaak
plati	pay
plati	betaal
nevjerovatno	amazing
nevjerovatno	ongelooflik
kameno	klip
brodski	brodsky
chamberlain	chamberlain
postavke	stellings
postavke	verstellings
putnik	passasier
putnik	passasiers
putnik	traveler
putnik	swerwer
fia	fia
shvatanje	verdraagsaamheid
shvatanje	begrip
palermo	palermo
statue	standbeelde
ángel	ángel
málaga	málaga
parenje	mating
mržnje	haat
haifa	haifa
čekati	wag
čekati	wait
boca	bottel
sporije	stadiger
plzeň	pilsen
razvod	egskeidings
razvod	egskeiding
riva	riva
nakit	juweliersware
izuzetan	uitsonderlik
reyes	reyes
powell	powell
preuzeta	afgelaai
prisustvovao	bygewoon
pomračenje	eclipse
ukinut	beëindig
ukinut	opgeskort
ukinut	teruggetrek
ukinut	opgehef
bilježe	rekord
bilježe	opneem
bilježe	chronicles
lovci	hunters
drugačija	verskillende
drugačija	anders
operatora	operator
cementa	cement
suverenitet	soewereiniteit
zub	tand
ceremoniji	ceremony
ceremoniji	seremonie
katar	katar
katar	qatar
govornici	speakers
govornici	luidsprekers
jugozapadne	suidwes
delegata	afgevaardigdes
bernd	bernd
willis	willis
odbijanje	weiering
odbijanje	verwerping
odbijanje	verwerp
pokazivao	vertoon
momčilo	momo
kamion	trok
kamion	vragmotor
holstein	holstein
štajerska	stiermarke
sulejmana	suleiman
daniela	daniela
kupovinu	inkopies
kupovinu	shopping
žalost	grief
origargs	origargs
manfred	manfred
hcl	hcl
johnston	johnston
christine	christine
slavenskih	slawiese
fiziologija	fisiologie
fontaine	fontaine
upozorenje	waarskuwing
kancelara	chancellor
carsku	imperial
titan	titan
spremni	herlaai
spremni	gereed
uss	uss
lan	lan
lan	vlas
kanale	kanale
poznań	poznań
emmanuel	emmanuel
mont	mont
opasne	gevaarlike
opasne	gevaarlik
meksički	meksikaanse
meksički	mexican
zamisli	imagine
organizirani	georganiseerde
nasljednica	successor
dominaciju	dominansie
southampton	southampton
ilustracija	illustrasie
tarantino	tarantino
trojanski	trojan
foucault	foucault
društvenu	maatskaplike
društvenu	sosiale
društvenu	sosiaal
veterana	veterane
hronični	chroniese
kamiona	vragmotors
kamiona	bakkies
kamiona	trokke
opasan	gevaarlike
opasan	gevaarlik
michelle	michelle
saarbrücken	saarbrücken
brest	brest
eksperimenti	eksperimente
strasti	passies
moreplovac	matroos
epoha	epog
uhvati	vang
skandal	scandal
skandal	skandaal
vazduh	air
vazduh	lug
urađen	voltooi
urađen	gedoen
urađen	klaar
hagen	hagen
omogući	geaktiveer
omogući	aktiveer
investicija	belegging
investicija	beleggings
bale	bale
tanke	maer
tanke	dun
derbi	derby
baltimore	baltimore
lana	lana
iskoristi	gebruik
konvenciji	konvensie
konvenciji	convention
elektronegativnost	elektronegatiwiteit
džez	jazz
dfb	dfb
ubiju	doodmaak
gamma	gambië
gamma	gamma
ethan	ethan
neptun	neptune
orijentacija	oriëntasie
tracy	tracy
preliminarni	voorlopige
pmid	pmid
poznavao	knew
poznavao	geweet
trijumf	triumph
hanks	hanks
neočekivano	onverwags
neočekivano	onverwagte
neočekivano	onverwagse
platformi	platform
platformi	platforms
larsen	larsen
dinamika	dynamics
dozvole	permit
dozvole	lisensies
limun	suurlemoen
reaguje	reageer
prenio	gedra
moćni	mighty
moćni	magtige
odsustva	afwesigheid
barnes	barnes
patrijarha	patriarg
dubok	diep
funta	pond
funta	pound
domenico	domenico
stambenih	huise
nastavnik	onderwyser
palma	palma
analizira	analiseer
analizira	analiseer
prijateljske	vriendelik
con	con
ind	ind
dvorištu	courtyard
poslovanje	besigheid
