தெரிந்தது	conegut
முன்மொழியப்பட்ட	proposats
ஆண்டனி	anthony
அருளும்	gràcia
அருளும்	gracia
நறுமணம்	fragància
சுயமாக	self
தேனீக்கள்	abelles
அறிக்கைகளை	declaracions
உரங்கள்	adobs
உரங்கள்	abonaments
உரங்கள்	fertilitzants
பெண்டிர்	ladies
நெறிகள்	protocols
நார்மாண்டி	normandia
எல்லாவற்றிலும்	everything
எல்லாவற்றிலும்	tot
ஃபேஸ்புக்	facebook
ஜோனாஸ்	jonas
செய்தித்தாள்கள்	periòdics
செய்தித்தாள்கள்	diaris
ஜேக்கப்	jacob
உணர்தல்	realització
உணர்தல்	concreció
சந்தித்தனர்	conèixer
பூசாரி	sacerdot
பிங்	bing
பிங்	ping
கபீர்	kabir
திருப்பு	voltejar
திருப்பு	inverteix
ஆணி	deté
சிந்திக்க	ponderar
டிஸ்கவரி	descobriment
ஆத்தர்	arthur
சத்ய	satya
குறைத்தது	reduït
குறைத்தது	reduïda
இல்லாமலே	sense
மதீனா	medina
மோர்கன்	morgan
மன்மதன்	cupido
வீனஸ்	venus
பெய்லி	bailey
தொகுக்கப்பட்டது	compilat
எளிமை	senzillesa
மினாக்	minogue
லூர்து	lourdes
மன்சூர்	mansoor
எஸ்தர்	ester
எஸ்தர்	esther
டூர்	recorregut
டூர்	tour
இம்பால்	imphal
சுழலி	turbina
புலிட்சர்	pulitzer
ஆய்வக	laboratori
நெபுலா	nebulosa
பாட்டியாலா	patiala
கிரியை	obres
பாதிக்கப்பட்டவர்கள்	víctimes
வெற்றிடம்	buit
துடுப்பு	aleta
துடுப்பு	pàdel
துடுப்பு	paddle
காசியாபாத்	ghaziabad
வினாடி	segon
வினாடி	segona
பத்திரிகையாளர்கள்	periodista
பத்திரிகையாளர்கள்	periodistes
டோன்	to
டோன்	matís
பிக்காசோ	picasso
பீட்	pete
மேம்படுத்தப்பட்டது	optimitzat
அடைவு	directori
அடைவு	carpeta
பிடியில்	agafada
துளி	llença
துளி	gota
கெல்லர்	keller
கணித்த	prediu
பரிந்துரையை	recomanació
அகதி	refugiat
ஆதாம்	adam
ஃபிஸ்துலா	fístula
அவென்யூ	avinguda
கோழிகள்	pollastres
மறுக்கப்பட்டது	denegat
மறுக்கப்பட்டது	denegada
பெல்லி	belle
நலத்துறை	benestar
குத்தகை	arrendament
ரஸ்புடின்	rasputin
எகான்	akon
தர்கா	dargah
தியோடர்	theodore
தியோடர்	teodor
ஹலோ	hola
வடை	vada
ஹார்வர்டு	harvard
கண்டியில்	kandy
கேட்டது	escoltat
பொலிவு	buff
ஒட்டாவா	ottawa
மூலை	racó
மூலை	cantonada
குர்கான்	gurgaon
நூர்	noor
அஃப்லெக்	affleck
நொதித்தல்	fermentació
ஆஸ்கர்	òscar
ஆஸ்கர்	oscar
ஜகார்த்தா	jakarta
மீறும்	vulnera
கார்ட்	carro
காக்ஸ்	cox
பாஷா	basha
பாஷா	paixà
எக்செல்	excel
முட்கள்	espines
வினாக்கள்	preguntes
செயலற்ற	inactiu
இலினொய்	illinois
எத்தியோப்பியா	etiòpia
வாக்களிக்கும்	votacions
கண்ணுக்குத்	invisible
லாரா	laura
லாரா	lara
பிரான்சுவா	françois
அற்புதம்	impressionant
மொழிபெயர்க்க	tradueix
மொழிபெயர்க்க	traduir
அதிசயம்	miracle
அதிசயம்	pregunto
அதிசயம்	meravella
எபிசோட்	episodi
விசுவநாதர்	vishwanath
கியோட்டோ	kyoto
கச்சேரிகள்	concerts
எடி	eddie
எடி	eddy
எடி	ede
இஸ்லாமியர்கள்	musulmans
ஆப்கான்	afganesa
கரன்	karan
அப்துல்லாஹ்	abdullah
அல்பேனியா	albània
பிலாத்து	pilat
மகிமை	glòria
மகிமை	glory
போதகர்	predicador
கோபா	copa
நரகம்	infern
நரகம்	hell
சிரிப்பு	riures
சிரிப்பு	riure
சிரிப்பு	rialles
சிரிப்பு	riure
டைட்டானிக்	titanic
யோ	yoo
கேஸ்	cas
கேஸ்	gas
லெவி	levy
ஜும்மா	jumma
என்றென்றும்	forever
கேல்	gale
கேல்	kel
படுகை	conca
மானியம்	dotació
தீன்	deen
வாழைப்பழம்	plàtan
வாழைப்பழம்	banana
வாசுதேவ	vasudeva
பவுண்டுகள்	lliures
நிச்சயமற்ற	incertesa
மாறு	interruptor
மாறு	canvia
சேர்க்கவும்	afegir
சேர்க்கவும்	afegeix
சேர்க்கவும்	incloure
வடம்	cable
சாரணர்	scout
சாரணர்	explorador
கொழுப்புகள்	greixos
வெள்ளப்பெருக்கு	inundacions
அழகை	bellesa
குள்ள	xacal
குவியம்	focus
லெப்டினன்ட்	tinent
பாதுகாக்கிறது	protegeix
நாயக்	nayak
நாயக்	naik
இரிடியம்	iridi
அங்கோலா	angola
அபூபக்கர்	abubakar
நார்மன்	norman
எதற்காக	perqué
பீனிக்ஸ்	fènix
பீனிக்ஸ்	phoenix
லேன்	carril
நிமிர்ந்து	forçada
நிமிர்ந்து	forçat
விக்கிகள்	wikis
சினி	cine
பராகுவே	paraguai
கடுகு	mostassa
குத்திக்	pírcing
குத்திக்	piercing
கவுர்	kaur
விசாரிக்க	investigar
காசோலை	xec
நண்டுகள்	crancs
ரகசியமாக	secretament
ரகசியமாக	confidencials
ரகசியமாக	confidencial
காண்கிறார்	veient
காண்கிறார்	mirant
பலேடியம்	palladium
தூண்டில்	esquer
கருத்தைப்	comentari
கருத்தைப்	comenta
ஹரோல்ட்	harold
வாரிசாக	heretar
வாரிசாக	hereta
ஹாமில்டன்	hamilton
விகுதி	numerador
அசோசியேஷன்	assoc
பிரதிபலிக்கிறது	reflectint
மைனர்	menor
மைனர்	minor
கபி	kabhi
மகாராஜ்	maharaj
ஆமாம்	yes
ஆமாம்	sí
தன்னார்வலர்கள்	voluntaris
மடகாஸ்கர்	madagascar
கேள்	ask
கேள்	escolta
கேள்	escolteu
நார்னியா	nàrnia
விடுதலைப்புலிகள்	ltte
சோயா	soy
குச்	kuch
துணிகளை	robes
துணிகளை	roba
மறதி	amnèsia
பஜார்	basar
உடம்பு	malalts
உடம்பு	malalt
கண்களால்	ulls
கண்களால்	eyes
கால்டுவெல்	caldwell
மாத்திரைகள்	píndoles
மாத்திரைகள்	pastilles
கோல்ஃப்	golf
ஆதித்யா	aditya
நாற்று	rebrot
நாற்று	plàntula
வாடி	wadi
மாதாந்திர	mensualment
மாதாந்திர	mensuals
மாதாந்திர	mensual
பாலிடெக்னிக்	politècnica
எழுது	escriu
எழுது	compon
எழுது	componen
எழுது	compondre
எழுது	cremar
எழுது	crema
பிரயன்	brian
பிரயன்	bryan
சர்க்கார்	sarkar
ராஜினாமா	renúncia
ராஜினாமா	dimissió
பவள	coral
பவள	corall
நைஜல்	nigel
ஆதாயம்	guany
அறிவிப்புகள்	notificacions
ஓரம்	marge
ஓரம்	frontera
ஓரம்	vores
ஓரம்	vora
ரஞ்சன்	ranjan
பிளேர்	blair
ஐன்ஸ்டீன்	einstein
சந்தர்ப்பத்தில்	ocasió
கிளீசு	gliese
தொண்டர்கள்	voluntaris
அரட்டை	xerrant
அரட்டை	xat
நடத்தல்	caminant
உணரி	sensor
பேரம்	pacten
பேரம்	ganga
ஏவல்	imprescindible
குயின்	queen
குயின்	reina
பாக்தாத்	bagdad
சிக்கலானது	complexitat
சிக்கலானது	crític
சிக்கலானது	complicat
ட்விட்டர்	twitter
புறக்கணிப்பு	boicot
முகவர்கள்	agents
கோகோ	coco
கோகோ	koko
பிளஸ்	plus
பாசிச	feixista
பரிவு	simpatia
பூட்டி	botí
அஜந்தா	ajanta
எமினெம்	eminem
கொட்டும்	abocar
பாப்லோ	pablo
தூக்கம்	dorm
தூக்கம்	dormir
கூறினார்கள்	garant
கழி	restar
சமஸ்கிருதத்தில்	sànscrit
வடிவமைக்கப்பட்டுள்ளன	dissenyats
மாலுமிகள்	mariners
கவர்	portada
கவர்	caràtula
அண்ட்ராய்டு	android
ருவாண்டா	rwanda
வியர்வை	suar
வியர்வை	suor
கென்னத்	kenneth
சந்ததி	descendència
சந்ததி	cries
ஞானத்தை	saviesa
தகுதியான	elegibles
தகுதியான	elegible
புரட்சிகரமான	revolucionari
குறிக்கோள்கள்	objectius
பொதுவானது	públic
பொதுவானது	públics
பொதுவானது	public
பொதுவானது	públiques
சுல்தான்கள்	sultans
கிஷோர்	kishore
தோமசு	tomas
எல்லிஸ்	ellis
விக்	perruca
விக்	vic
நிரப்பு	omple
வெறி	desesperat
வெறி	desesperada
மருமகள்	neboda
டாய்	dai
பாலும்	llet
அந்தோணி	anthony
அடித்தல்	fuet
கில்பர்ட்	gilbert
குழப்பமான	caos
குழப்பமான	confús
குழப்பமான	confós
குழப்பமான	confosa
குழப்பமான	inquietant
ராசி	razi
ராசி	zodiac
சேகரித்தல்	espiant
ஓரி	ori
வரிவிதிப்பு	taxació
வரிவிதிப்பு	fiscalitat
எட்கர்	edgar
பலவீனம்	debilitat
பலவீனம்	feblesa
அழைப்பிதழ்	invitació
விரதங்கள்	vira
பந்துவீச்சு	bitlles
பந்துவீச்சு	bowling
அசைடு	azida
வெளியீட்டாளர்	editorial
வெளியீட்டாளர்	emissor
சோபியா	sofia
சோபியா	sophia
நொடிகள்	segons
நொடிகள்	sec
கடல்கள்	seas
வடிவமைத்தல்	formatat
வடிவமைத்தல்	formatació
டிசைன்	disseny
வரம்புகள்	limitacions
வரம்புகள்	límits
பிசின்	resina
நேப்பியர்	napier
மார்ஸ்	mart
மார்ஸ்	mars
உடைகளை	robes
உடைகளை	roba
குப்லாய்	khublai
சிலிகான்	silicona
பரம	param
சேத்	seth
துயரம்	dol
குணமாகும்	curat
சுட்டிக்காட்டி	indicador
பசை	cola
புதுப்பித்தல்	refresc
புதுப்பித்தல்	refresca
சிமோன்	simone
டெனிஸ்	denise
டெனிஸ்	denis
ராய்ட்டர்ஸ்	reuters
ரெனே	rene
சைனா	xina
வினவல்	consulta
பாதுகாவலர்	custodio
பாதுகாவலர்	protectors
பாதுகாவலர்	protecció
விருந்தோம்பல்	hospitalitat
யாம்	yam
எக்குவடோர்	equador
எக்குவடோர்	ecuador
மிமி	mimi
இராதாகிருஷ்ணன்	radhakrishnan
ஸ்டுடியோஸ்	studios
கார்ட்டர்	lligacama
கார்ட்டர்	carter
பைசா	paisa
அணிகலன்	ornament
தன்னம்பிக்கை	confiat
வாரிசுகள்	hereu
வாரிசுகள்	hereus
மரியானா	mariana
ஜெஃப்ரி	jeffrey
லூசியா	lucia
சாட்சிகள்	testimonis
விறகு	llenya
கடன்களை	deutes
பாசு	basu
கேட்ஸ்	gates
கேட்ஸ்	gats
மைக்கலாஞ்சலோ	michelangelo
பாண்டே	pandey
மகளின்	filla
வளைவுகள்	revolts
வளைவுகள்	corbes
டட்லி	dudley
கடி	mossega
கடி	mossegada
ஸ்கேன்	exploració
ஸ்கேன்	escaneig
சஹாரா	sàhara
சஹாரா	sahara
நேட்டோ	otan
ரத்தன்	ponticola
மெஸ்ஸி	messi
கிராபிக்ஸ்	gràfics
பெர்லிஸ்	perlis
டாங்	tang
டாங்	dong
வெளிப்படுத்தல்	divulgació
நெருக்கம்	compressió
உண்பது	menjant
ஜொனாதன்	jonathan
அனுபவித்து	gaudint
ஈர	humida
ஈர	mullat
அனுப்புதல்	enviament
அனுப்புதல்	enviant
இரகசியம்	confidencials
இரகசியம்	confidencial
இரகசியம்	secret
உண்ணாவிரதம்	dejuni
தட்பவெப்பநிலை	clima
எரித்திரியா	eritrea
நாக்	nag
எலக்ட்ரானிக்	electronic
சூடி	judi
கற்றாழை	aloe
விசாரணைகள்	investigacions
மேட்ரிக்ஸ்	matriu
அறநெறி	moralitat
அறநெறி	moral
முன்னோட்டம்	resum
முன்னோட்டம்	ressenya
முன்னோட்டம்	previsualitza
முன்னோட்டம்	previsualització
குடகு	kodagu
சாவி	tecla
சாவி	clau
சிறுவயது	infància
சிறுவயது	infantesa
வந்தே	vande
நினைவிடம்	memorial
நாண்	corda
ஜோஷ்	josh
தினந்தோறும்	daily
கல்லூரியை	college
பரிந்துரைக்க	suggereix
பரிந்துரைக்க	suggerir
முல்லர்	müller
முல்லர்	muller
ஏலக்காய்	cardamom
தீர்மானங்கள்	resolucions
தீர்மானங்கள்	decisions
குற்றங்களை	faltes
குற்றங்களை	crims
குற்றங்களை	delictes
டைட்டன்	titan
டைட்டன்	tità
இலவங்கப்பட்டை	canela
நொடி	sec
தட்டுகள்	matrícules
தட்டுகள்	plaques
சீரம்	sèrum
இசைக்கலைஞர்கள்	músics
பெர்னான்டோ	fernando
பிக்சல்	píxel
உக்கிர	intensitat
மனைவிகள்	manilles
மனைவிகள்	esposes
மூழ்கியது	inundat
சாயல்	ombrejat
சாயல்	tonalitat
விரிவாகப்	madrassa
வருணன்	varuna
ஜபல்பூர்	jabalpur
பெர்லினில்	extractes
ஜெரோம்	jerome
தேரர்	thero
தாரிக்	tariq
தனிமை	solitari
தனிமை	solitud
தனிமை	soledat
தனிமை	soledat
பூசன்	busan
பாசுபேட்டு	fosfat
டக்கர்	tucker
பெராக்சைடு	peròxid
வெயிலில்	relaxa
வெயிலில்	relax
போலியான	fals
போலியான	fake
வீடியோவில்	vídeo
வீடியோவில்	video
முனைப்பு	iniciativa
அரும்	arum
ரங்கா	ranga
அடித்துக்	cridaners
வெள்ளத்தில்	esdevenir
சந்திப்புகள்	nomenaments
சந்திப்புகள்	reunions
கரோல்	carol
கரோல்	karol
தோரியம்	lampisteria
தோரியம்	tori
தருக்க	lògic
பைலட்	pilot
நிரப்பும்	omplint
நிரப்பும்	rebliment
நகங்கள்	ungles
சோனகர்	erms
சோனகர்	moros
தந்தம்	ullal
ஒட்டகம்	camell
விந்தை	babe
கட்டில்	llit
ரான்	ron
அபுல்	abul
மூக்கன்	ibis
மன்	mann
விக்கிமேனியா	wikimania
பிரித்தானிக்கா	britannica
மர்மமான	misteriós
மர்மமான	misteriosa
ஜில்	jill
நிலவுகள்	llunes
ஆதரவாளர்	defensora
ஆதரவாளர்	partidari
ஆதரவாளர்	simpatitzants
ஆதரவாளர்	partidaris
அசிசி	assís
ஸ்பா	spa
ஜெரார்ட்	gerrard
பூக்களை	flors
கைதி	presoner
கைதி	presos
கைதி	presoners
கைதி	presó
நிமிடத்திற்கு	mnt
நிமிடத்திற்கு	minut
முறைகேடு	maltractament
முறைகேடு	abús
பவுண்ட்	lliura
மரடோனா	maradona
நாடகாசிரியர்	dramaturg
இணக்கமான	compatible
இணக்கமான	compatibles
ஸ்மார்ட்	smart
கொடு	donar
கானல்	miratge
கோனார்	conor
கெட்	ket
இறக்கம்	uterí
கலந்தாய்வு	conselleria
நீராற்பகுப்பு	hidròlisi
மாலுமி	mariner
சுங்க	duanes
சுங்க	costums
ஓட்டும்	conducció
சத்துக்கள்	nutrients
ரியாத்	anglesola
கார்ப்பரேட்	corporatives
கார்ப்பரேட்	corporativa
இடுப்பில்	havent
பானிபட்	panipat
அடுத்தது	pròxima
அடுத்தது	següent
அடுத்தது	propera
அடுத்தது	next
தியாகிகள்	màrtir
வெட்டுதல்	tall
வெட்டுதல்	talls
வெட்டுதல்	retalls
வெட்டுதல்	retallades
நோயியல்	patologia
முழங்கால்	genoll
ஏரோது	herodes
உதவிகரமாக	útils
டிரினிடாட்	trinidad
டிரினிடாட்	trinitat
ஹெர்பர்ட்	herbert
பர்மன்	burman
சல்மா	salma
கேரியர்	portadora
கேரியர்	transportista
பேசவும்	speak
கினபாலு	kinabalu
தொட்டிகள்	nanses
உறைந்த	frozen
உறைந்த	congelat
பருவமழை	monsó
கோபிநாத்	gopinath
கால்களும்	peus
யுனிவர்சிட்டி	univ
பறிமுதல்	confiscar
பறிமுதல்	confiscat
பறிமுதல்	confiscada
சும்மா	només
இஸ்தான்புல்	istanbul
ஆண்ட்ராய்டு	android
காசிம்	qasim
உதவித்தொகை	beca
வெலிங்டன்	wellington
பென்ஸ்	penics
பென்ஸ்	benz
கோயமுத்தூர்	coimbatore
ஹெல்த்	sanitat
ஹெல்த்	salut
நத்தை	cargol
பேசுபவர்கள்	parlador
அலசி	descrigui
அலசி	descriu
அலசி	descriure
வெளியிடப்படவில்லை	inèdita
வெளியிடப்படவில்லை	inèdits
வெளியிடப்படவில்லை	inèdit
மோதிரம்	anell
நிறைவுற்றது	acabada
நிறைவுற்றது	finalitzat
நிறைவுற்றது	acabat
நிறைவுற்றது	completat
நிறைவுற்றது	finalitzats
புகார்கள்	denúncies
புகார்கள்	queixes
சீருடை	uniforme
பதப்படுத்தப்பட்ட	processat
பிளேட்டோ	plató
தன்னியக்க	automàtic
தன்னியக்க	automàtica
ஆர்ப்பாட்டம்	demostració
ஆர்ப்பாட்டம்	manifestació
லாம்	lam
கிருமிகள்	gèrmens
நீட்டி	ext
கடந்தது	passat
ஹெய்டி	haití
பதிமூன்று	tretze
ஸ்பென்சர்	spencer
துண்டுகளை	llesques
ராய்ப்பூர்	raipur
தேவேந்திர	devendra
அப்பு	apu
மெட்டா	meta
எதிர்ப்புகள்	protestes
தூக்கமின்மை	insomni
ஒளிர்வு	lluentor
ஒளிர்வு	brillantor
செருமேனியம்	germani
பொதுவானவை	general
அட்கின்சன்	atkinson
இசுட்ரோன்சியம்	estronci
அகரவரிசை	alfabètic
அகரவரிசை	alfabet
காரல்	carl
காரல்	karl
இனிமையான	dolç
இனிமையான	dolços
இனிமையான	dolça
கதி	katy
ஓப்	oop
மலர்களை	flors
வேட்டையாடி	caçador
வேட்டையாடி	hunter
நினைவாற்றல்	memòria
அபூ	abu
காற்றோட்டம்	aeració
பாங்காக்	bangkok
புளூட்டோ	plutó
புளூட்டோ	pluto
வெங்கட	venkata
பைகள்	bosses
பைகள்	borses
சீர்குலைவு	pertorbació
கடப்பா	kadapa
வைக்கிங்	viking
வைக்கிங்	víkings
வைக்கிங்	vikings
டயானா	diana
ஐங்கோண	pentagonal
ஹீலியம்	heli
எண்பது	vuitanta
உணர்கிறேன்	sentiment
சூரியகாந்தி	girasol
காடழிப்பு	desforestació
மறைக்கப்பட்ட	amagat
மாடியில்	pis
பிராட்வே	broadway
எர்வின்	erwin
ஆண்டிமனி	antimoni
கார்ல்சன்	carlson
உறுதிப்பாடு	confirmació
கேத்தரின்	caterina
கேத்தரின்	catherine
கொம்	hom
சந்து	llacunes
சந்து	buits
பேப்பர்	paper
அரிஸ்டாட்டில்	aristòtil
தாலிபான்	talibans
மன்னிக்கவும்	sry
அதிசயங்கள்	meravelles
கார்பைடு	carbur
ஐயன்	ió
ஈரோஸ்	eros
பழமைவாத	conservador
ஏஞ்சல்	angel
ஏஞ்சல்	àngel
வடிவமைப்பாளர்கள்	dissenyadors
லிஸ்பன்	lisboa
பூங்குயில்	leschenaultii
சங்	cheung
கார்சியா	garcia
கார்சியா	garcía
கார்சியா	garcía
ஒண்டாரியோ	ontario
அகன்று	arrencat
சயனைடு	cianur
கற்பூரம்	càmfora
வஸ்தோக்	vostok
வாத்தியம்	instrumental
சாண்டா	santa
சாம்பியா	zàmbia
தகனம்	dahan
கராத்தே	karate
போரா	bora
அட்மிரல்	almirall
போதனைகள்	ensenyaments
பாஸ்கர்	bhaskar
கட்டளையை	ordre
கட்டளையை	comandament
அட்லாண்டா	atlanta
ஹிசார்	hisar
எறிகணை	submergible
கோப்	cobb
மில்டன்	milton
தொடர்பில்லாத	desconnectat
புளோரன்ஸ்	florence
புளோரன்ஸ்	florència
மேஜிக்	màgia
நொதுமி	neutró
கழுகுகள்	eagles
கழுகுகள்	àguiles
தொடுதல்	touch
வேதனை	sanció
வேதனை	penalització
வேதனை	pena
வேதனை	càstig
நைட்ரோ	nitro
கோக்	kok
கோக்	coca
தயாரிப்பை	producte
வார்ப்பு	plantilla
தாமோதர்	damodar
தெரசா	teresa
செலவாகும்	cost
ஜெரால்ட்	gerald
டிரைவர்	xofer
டிரைவர்	conductor
சுகம்	gaudeix
கஞ்சா	cannabis
கஞ்சா	cànnabis
குறிமுறை	codi
நிராகரிக்கப்பட்டது	rebutjat
நிராகரிக்கப்பட்டது	disminuït
நிராகரிக்கப்பட்டது	rebutjat
காரணமும்	raó
காரணமும்	motiu
பொலோனியம்	poloni
பேரி	pera
சேவையகம்	màquina
சேவையகம்	servidor
முகாம்கள்	campaments
ராக்கி	rocky
குழுமங்கள்	clústers
ரூனி	rooney
இட்ஸ்	itz
எரிப்பு	acomiadat
எரிப்பு	disparat
ஹுசைன்	husain
ஹுசைன்	hussain
ஜூ	joo
சோதி	comprovació
ராஜ்ய	rajya
சாம்சங்	samsung
பூல்	piscina
ரீயூனியன்	retrobament
சாப்ளின்	chaplin
பனியாறு	glacera
பிரின்ஸ்டன்	princeton
அணுகு	accés
ராமா	rama
ஈமு	uem
வெனிசுலா	veneçuela
செங்கோல்	ceptre
மெரினா	marina
சீரியம்	ceri
ஜான்ஸ்	johns
இருமுனையம்	díode
ஐவரி	ivori
காகா	kaga
காகா	gaga
நியோ	neo
டங்கன்	duncan
பெல்லாரி	bellary
காதுகள்	orelles
காதுகள்	espigues
காதுகள்	oïdes
கவர்ந்த	ocupa
பாட்டன்	porra
பாட்டன்	baton
ஹிந்துஸ்தான்	hindustan
பாட்ரிக்	patrick
மலாவி	malawi
பந்தம்	torxa
அம்பர்	amber
அம்பர்	ambre
பதாகை	estendard
வெள்ளெலி	hàmster
பிரபலமானவை	popular
பிரபலமானவை	populars
நாணயவியல்	coinage
செல்டிக்	celta
செல்டிக்	celtic
வெல்ஸ்	pous
வான்கூவர்	vancouver
தாதுக்கள்	minerals
மோடம்கள்	mòdems
தாலாட்டு	nebots
நிக்கல்சன்	nicholson
யூரி	iuri
கிக்	puntada
சேர்க்கிறது	sumant
மிட்செல்	mitchell
கொலைகள்	assassinats
சமச்சீரற்ற	asimètrica
நொண்டி	agafo
நொண்டி	penós
பேடி	bedi
விண்கலத்தில்	astronautes
செம்மறி	ovella
செம்மறி	ovelles
செம்மறி	oví
நாற்றம்	pudent
நாற்றம்	olor
ப்ரோ	pro
சில்க்	seda
நினைத்துக்	pensant
கத்தோலிக்கர்கள்	catòlics
கிரேஸ்	gràcia
கிரேஸ்	gracia
கலைஞன்	artista
கருணாநிதியின்	desestimat
சட்டவியல்	jurisprudència
யோசுவா	joshua
தினங்கள்	dies
ஊகம்	especulació
பிடித்தமான	favourite
பிடித்தமான	preferit
பிடித்தமான	favorit
யமன்	yama
ரேடார்	radar
ஹனோய்	hanoi
கண்டுபிடித்தல்	troballa
கண்டுபிடித்தல்	trobant
பிறரை	altres
கிங்டம்	regne
தான்சானியா	tanzània
லெஸ்	les
உறைந்து	congelar
உறைந்து	quiet
லில்	lil
நேரடியாகச்	directament
பிலிப்பினோ	filipí
ஈராக்சைடு	diòxid
பகிர்தல்	compartint
பொருட்படுத்தாமல்	independentment
ஒன்றாய்	junts
விபத்துக்கள்	accidents
பார்க்கிறேன்	veient
பார்க்கிறேன்	mirant
மெல்	mastegar
