भ्रमित	বিভ্রান্ত
फ़ुटबॉल	ফুটবল
गॉर्डन	গর্ডন
बांस	বাঁশ
वाटसन	ওয়াটসন
सहिष्णुता	সহনশীলতা
लूथर	লুথার
परिपक्वता	পরিপক্কতা
निरंतरता	স্থায়িত্ব
लॉरेंस	লরেন্স
हिरासत	হেফাজতে
हिरासत	হেফাজত
गणपति	গণপতি
गणपति	গণপতি
कंस	কংস
सांप्रदायिक	সাম্প্রদায়িক
लड़	মারামারি
बौना	বামন
रेखाचित्र	গ্রাফ
रेखाचित्र	অঙ্কন
स्वदेश	জাতি
स्वदेश	জাতির
स्वदेश	নেশন
सुपरमैन	সুপারম্যান
बुल	ষাঁড়
बुल	বুল
धब्बे	প্যাচ
धब्बे	দাগ
अमूल्य	অমূল্য
विकिस्रोत	উইকিসংকলন
निक	নিক
निक	উপনাম
पीढी	জেনারেশন
पीढी	প্রজন্মের
पीढी	প্রজন্ম
माउस	মাউস
क्राउन	ক্রাউন
क्राउन	মুকুট
साड़ी	শাড়ি
साड़ी	শাড়ী
साड़ी	শাড়ি
बहुमुखी	একাধিক
बहुमुखी	বহুবিধ
पहियों	চাকা
पहियों	হুইল
बहू	বধূ
बहू	কনে
बहू	নববধূ
बहू	বাহু
वेबसाइटों	ওয়েবসাইট
छठा	ষষ্ঠ
स्पा	স্পা
मातृभूमि	মাতৃভূমি
मातृभूमि	জন্মভূমি
मातृभूमि	মাতৃভূমি
मशीनें	মেশিন
पनडुब्बी	সাবমেরিন
काउंटर	কাউন্টার
काउंटर	বিপরীত
पूर्णांक	পূর্ণসংখ্যা
शौक	হবি
शौक	শখ
शौक	শখ
निचला	নিম্ন
निचला	নিম্নতর
वानर	ape
नौकर	চাকর
अफगान	আফগান
दोहा	দোহা
वल्लभ	বল্লভ
राजमहल	প্রাসাদ
राजमहल	প্যালেস
विदिशा	বিদিশা
बसों	বাস
अर्थहीन	অর্থহীন
मॉर्गन	মর্গান
रसेल	রাসেল
टिक	টিক
टिक	টিক
क्राइस्ट	ক্রাইস্ট
क्राइस्ट	যিশু
क्राइस्ट	খ্রীষ্টের
क्राइस्ट	খ্রিস্ট
अनुप्रस्थ	আড়
प्रायोजक	স্পনসর
प्रायोजक	পৃষ্ঠপোষক
प्रायोजक	sponsor
प्रायोजक	স্পন্সর
प्रायोजक	স্পনসর
ब्रिगेड	ব্রিগেড
पॉलिसी	পলিসি
पॉलिसी	নীতিমালা
पॉलिसी	নীতি
कलाई	কব্জির
अल्फ्रेड	আলফ্রেড
वेल्श	ওয়েলশ
वेल्श	ব্রেইল
ग्रंथियों	গ্রন্থিগুলো
ट्रैफिक	ট্রাফিক
सिखाया	শেখানো
सिखाया	শিখিয়েছেন
सिखाया	শিখিয়ে
खंडहर	ধ্বংসাবশেষ
कर्क	ক্যান্সার
कर्क	কর্কট
कर्क	ক্যানসার
लामा	লামা
लेज़र	লেজার
बाइबल	বাইবেল
क्रमांक	সংখ্যা
क्रमांक	নাম্বার
क्रमांक	নম্বর
झाँसी	ঝাঁসির
धक्का	পুশ
धक्का	ধাক্কা
गोपनीय	গোপন
गोपनीय	গোপনীয়
गोपनीय	গোপনীয়
स्थलीय	টেরেস্ট্রিয়াল
सप्ताहांत	সপ্তাহান্ত
सप्ताहांत	সপ্তাহান্তে
कब्रिस्तान	সমাধি
कब्रिस्तान	সমাধিক্ষেত্র
बुल्गारिया	বুলগেরিয়া
पासपोर्ट	পাসপোর্ট
प्रज्ञा	ইন্টেলিজেন্স
प्रज्ञा	বুদ্ধি
प्रज्ञा	বুদ্ধিমত্তা
प्रज्ञा	বুদ্ধির
बेशक	নিশ্চয়
बेशक	নিশ্চয়
आइसलैंड	আইসল্যান্ড
टोयोटा	টয়োটা
ब्लाक	ব্লক
ब्लाक	স্তম্ভ
सत्यापन	যাচাইকরণ
रेशों	সিল্ক
रेशों	রেশম
रेशों	সিল্কের
वृहद	বৃহত্তর
सूक्त	সুক্ত
ग्रैमी	গ্র্যামি
बीट	বিট
इमेजिंग	ইমেজিং
कैटरीना	ক্যাটরিনা
डिस्ट्रिक्ट	জেলার
डिस्ट्रिक्ट	জেলা
डिस्ट्रिक्ट	ডিস্ট্রিক্ট
काठमांडू	কাঠমান্ডু
अरोड़ा	অরোরা
सीखना	লার্নিং
सीखना	শিক্ষা
सीखना	শিক্ষণীয়
सीखना	শেখার
सीखना	শিক্ষণ
वेश	পরিহিত
डॉक्टरों	চিকিৎসকদের
डॉक्टरों	ডাক্তাররা
पक्का	sure
पक्का	নিশ্চিত
गला	গলা
गला	গলায়
गला	গলার
गला	নেক
गला	ঘাড়
गला	ঘাড়ে
हैदर	হায়দার
स्ट्रॉस	স্ট্রস
गार्सिया	গারসিয়া
गार्सिया	গার্সিয়া
निद्रा	ঘুমিয়ে
निद्रा	ঘুম
बहाने	অজুহাত
एक्सप्लोरर	এক্সপ্লোরার
एक्सप्लोरर	অনুসন্ধানকারী
आलम	আলম
बिज़नेस	ব্যবসা
बिज़नेस	ব্যবসার
बिज़नेस	ব্যবসায়িক
प्रतिबद्ध	প্রতিজ্ঞাবদ্ধ
प्रतिबद्ध	প্রতিশ্রুতিবদ্ধ
कॉलोनी	কলোনি
कॉलोनी	উপনিবেশ
बाला	বালা
बद्रीनाथ	বদ্রীনাথ
कार्लोस	কার্লোস
हुमायूँ	হুমায়ুন
अनीता	অ্যালিস
अनीता	অনিতা
अनोखा	অনন্য
अनोखा	উপন্যাস
रिएक्टर	চুল্লী
करीना	কারিনা
कपाल	খুলি
श्रोता	শ্রোতাদের
श्रोता	শ্রোতা
श्रोता	দর্শক
दीपिका	দীপিকা
कॉमन	কমন
कॉमन	প্রচলিত
आपेक्षिकता	আপেক্ষিকতা
प्याज	পেঁয়াজের
प्याज	পেঁয়াজ
प्याज	পেয়াজ
प्याज	পেঁয়াজ
असीमित	অসীম
असीमित	সীমাহীন
असीमित	সীমাহীন
असीमित	আনলিমিটেড
असीमित	অসীম
माउंटबेटन	mountbatten
बग	বাগ
बग	ছারপোকা
मॉस्को	মস্কো
बूटी	বুটি
सोम	সোমা
सोम	সোম
सोम	মোন
सोम	সোম
पानीपत	পানিপথ
टर्नर	টার্নার
हिमानी	হিমবাহ
हिमानी	হিমালয়
हिमानी	হিমালয়ের
मेहमान	মেহমান
मेहमान	অতিথি
मेहमान	অতিথি
नियमन	নিয়ন্ত্রক
जहर	বিষ
मगरमच्छ	কুমির
गतिज	গ্যাসের
तन	tan
तन	ট্যান
तन	তান
वेनिस	ভেনিস
खांसी	কাশি
आईएसओ	iso
आईएसओ	আইএসও
युगांडा	উগান্ডা
संख्याएँ	সংখ্যা
संख्याएँ	নম্বর
जब्त	পাকড়াও
जब्त	ধৃত
जस्टिन	জাস্টিন
अहंकार	ego
अंबेडकर	আম্বেদকর
ठेठ	গতানুগতিক
योजन	যোজন
फ़ोर्स	ফোর্স
फ़ोर्स	জোর
फ़ोर्स	বলপূর্বক
फ़ोर्स	ফোর্সের
उलट	বিপরীত
मोरक्को	মরোক্কো
मोरक्को	মরক্কো
छड़ी	লাঠির
सीरम	সিরাম
दाम	দাম
दाम	মূল্য
दाम	প্রাইস
नहरें	খাল
नहरें	নদী
हमलावर	আক্রমণকারী
हमलावर	আক্রমণকারীদের
नॉर्मन	নরম্যান
सराहा	প্রশংসিত
सराहा	সমাদৃত
लैंडिंग	ল্যান্ডিং
लैंडिंग	অবতরণ
माँगा	মাঙ্গা
नाविक	মাঝি
नाविक	নাবিক
इन्दौर	ইন্দোর
हावर्ड	হাওয়ার্ড
परगना	পরগনা
साम्यवाद	কমিউনিজম
पैमाना	পরিধি
पैमाना	মাত্রা
तंबाकू	তামাক
चिड़िया	পাখি
सूर	শুর
उमा	উমা
प्री	প্রি
मैथुन	যৌন
मैथुन	সেক্স
मैथुन	লিঙ্গ
मैथुन	যৌনতা
मैथुन	sex
ग्राफिक्स	গ্রাফিক্স
ताम्र	তামা
योजनाएं	স্কিম
केल्विन	কেলভিন
अनुपस्थित	অনুপস্থিত
फाई	ফাই
मर्सिडीज	মার্সিডিজ
कीटनाशक	কীটনাশক
सुनहरे	স্বর্ণকেশী
सुनहरे	ব্লন্ড
आगंतुक	ভিজিটর
फ़ॉर्मूला	ফর্মুলা
चीज़ें	জিনিসগুলি
चीज़ें	জিনিস
चीज़ें	জিনিষ
ग्राफिक	গ্রাফিক
लूप	লুপ
अथर्ववेद	atharvaveda
पेरी	পেরি
चम्मच	চামচ
अनुपयुक्त	অব্যবহৃত
नरेंद्र	নরেন্দ্র
विरोधाभास	প্যারাডক্স
जैम	জ্যাম
चेयरमैन	চেয়ারম্যান
रिश्तेदार	আপেক্ষিক
रिश्तेदार	আত্মীয়
रिश्तेदार	আত্মীয়রা
रिश्तेदार	আত্মীয়স্বজন
रिश्तेदार	আত্মীয়দের
रिश्तेदार	আত্মীয়
कचरा	চক্রাকারে
कचरा	আবর্জনা
थैली	থলি
प्रतियोगियों	প্রতিযোগীদের
स्प्रिंग	স্প্রিং
स्प्रिंग	ঝর্ণা
स्प्रिंग	বসন্তে
स्प्रिंग	বসন্ত
स्प्रिंग	ঝরনা
पिज़्ज़ा	পিৎজা
पिज़्ज़ा	পিজা
कुलकर्णी	কুলকার্নি
दैवी	ওরাকল
दैवी	ঐশ্বরিক
दैवी	ঐশী
दैवी	স্বর্গীয়
साइबर	সাইবার
ग़रीब	অসহায়
ग़रीब	কম
ग़रीब	খারাপ
छात्रवृत्ति	স্কলারশিপ
छात्रवृत्ति	বৃত্তি
लिखें	লিখা
लिखें	লিখতে
लिखें	লেখা
लिखें	লিখুন
लिखें	রচনা
लिखें	কম্পোজ
देवों	ডেভন
सोडा	সোডা
हुकूमत	রাজত্ব
हुकूमत	কিংডম
हुकूमत	রাজ্য
हुकूमत	আধিপত্য
हुकूमत	রাজত্ব
डॉक्टरेट	ডক্টরেট
डॉक्टरेट	ডক্টরাল
विला	ভিলা
कोला	কোলা
कोला	কলম্বো
कोला	কোলা
धमनियों	ধমনী
ग्राहम	গ্রাহাম
प्लेटों	প্লেট
रंजीत	রঞ্জিত
प्रमाणन	সার্টিফিকেশন
खरीदी	কিনলাম
खरीदी	কিনেছেন
खरीदी	কেনা
खरीदी	কিনে
मिटा	ফাঁদ
दुखी	দুর্দশাগ্রস্ত
दुखी	দুঃখের
दुखी	দুঃখ
न्यूट्रॉन	নিউট্রন
इमरान	ইমরান
निरीक्षक	পর্যবেক্ষক
अल्फ़ा	আলফা
हैरिस	হ্যারিস
गियर	গিয়ার
राजतंत्र	রাজতন্ত্র
संप्रेषण	বাতিল
अंडाकार	elliptical
सर्कस	সার্কাস
नवरात्रि	নবরাত্রি
नवरात्रि	নবরাত্রি
अल्बानिया	আলবেনিয়া
हीलियम	হিলিয়াম
बादाम	কাজুবাদাম
बादाम	বাদাম
नागा	নাগা
प्राचल	প্যারামিটার
प्राचल	পরামিতি
मिनेसोटा	মিনেসোটা
पृथक्करण	পৃথকীকরণ
अंडा	ডিম
परवेज़	পারভেজ
परवेज़	পারভেজ
एलर्जी	এলার্জি
एलर्जी	অ্যালার্জি
माइक्रो	মাইক্রো
वर्दी	ইউনিফর্ম
वर्दी	ইউনিফর্ম
सूर्यास्त	সূর্যাস্ত
ताँबा	তামা
ऐश	ছাই
कैलोरी	ক্যালোরি
कैलोरी	ক্যালোরি
कैलोरी	ক্যালরি
कैलोरी	ক্যাল
ईमानदारी	সততা
ईमानदारी	সততার
ईमानदारी	আন্তরিকতা
मताधिकार	ফ্র্যাঞ্চাইজি
वृत्ताकार	সার্কুলার
स्ट्रिंग	স্ট্রিং
स्ट्रिंग	পংক্তি
स्फटिक	কোয়ার্টজ
बुनाई	বয়ন
बुनाई	বুনন
विवाहित	বিবাহিত
ईद	ঈদের
ईद	eid
ईद	ঈদ
बॉन	বন
बॉन	bon
पाँव	পা
पाँव	ফুট
पाँव	পায়ের
केश	কেশ
द्वेष	ঘৃণা
रेखांकित	রেখা
कॉलम	কলাম
कॉलम	কলাম
समस्थानिक	আইসোটোপ
चट्टोपाध्याय	চট্টোপাধ্যায়
कहावत	প্রবাদ
कहावत	ম্যাক্সিম
टेड	টেড
समष्टि	স্থান
समष्टि	ব্যবধান
समष्टि	স্পেস
अनूप	অনুপ
शायरी	কবিতা
टेलीग्राफ	টেলিগ্রাফ
प्रत्याशी	প্রার্থী
मुंडा	মুন্ডা
नक्षत्रों	নক্ষত্রের
माधुरी	মাধুরী
बर्नार्ड	বার্নার্ড
अध्यात्म	আধ্যাত্মিকতা
सचेत	সচেতন
एमिनेम	এমিনেম
सुनी	শুনেছে
धर्मार्थ	দাতব্য
धर्मार्थ	দান
धर्मार्थ	যাকাত
डेव	ডেভ
पारा	পারা
धोखे	ঠগ
हार्ले	হার্লে
पेंट	পেইন্ট
पेंट	পেন্ট
निदेशालय	অধিদপ্তর
सोन	ছেলের
सोन	ছেলে
सोन	পুত্র
नीलामी	নিলাম
नीलामी	নিলাম
पट्टे	ইজারা
पट्टे	লিজ
पट्टे	ইজারা
नाटो	ন্যাটো
ग्लेन	গ্লেন
ग्लेन	গ্লেন
विरल	দুষ্প্রাপ্য
विरल	দুর্লভ
विरल	বিরল
आयामी	মাত্রিক
काव्यशास्त्र	poetics
पोर्टफोलियो	পোর্টফোলিও
नवाचार	নতুনত্ব
नवाचार	উদ্ভাবন
डायमंड	হীরে
डायमंड	হীরা
डायमंड	হীরক
डायमंड	ডায়মন্ড
डायमंड	হীরার
महंगी	ব্যয়বহুল
महंगी	দামী
महंगी	দামি
फ्रायड	freud
तर्कसंगत	যৌক্তিক
पीना	মদ্যপান
पीना	পানীয়
पीना	পান
पीना	পানীয়
स्ट्रिप	স্ট্রিপ
संलयन	ফিউশন
अब्दुल्ला	abdullah
अब्दुल्ला	আব্দুল্লাহ
अब्दुल्ला	আবদুল্লাহ
वर्जिन	ভার্জিন
वर्जिन	কুমারী
डेप	ডেপ
सिन्धी	সিন্ধি
प्रोसेसिंग	প্রসেসিং
प्रोसेसिंग	প্রক্রিয়াকরণ
अवस्थिति	অবস্থান
अवस्थिति	অবস্থান
वार्मिंग	ওয়ার্মিং
मार्गदर्शक	নির্দেশিকা
मार्गदर्शक	নির্দেশ
मार्गदर्शक	গাইড
ढोल	ড্রাম
ढोल	ঢোল
क्वार्क	কোয়ার্ক
राजसी	regal
टिकाऊ	অনুমোদনযোগ্য
टिकाऊ	টেকসই
टिकाऊ	টেকসই
क्रोमियम	ক্রোমিয়াম
ओझा	ওঝা
एकरूपता	uniformity
स्टेनली	স্ট্যানলি
कुशीनगर	কুশীনগর
सिन्ध	সিন্ধ
सिन्ध	সিন্ধু
लेखनी	পেন
लेखनी	কলম
लेखनी	pen
सोमनाथ	সোমনাথ
अखबारों	সংবাদপত্র
किक	লাথি
किक	কিক
आयोडाइड	iodide
धड़कन	বিট
धड़कन	হৃদস্পন্দন
धड़कन	প্রহার
छल्ले	রিং
छल्ले	বেজে
छल्ले	আংটি
क्रेन	সারস
क्रेन	ক্রেইন
आखरी	শেষ
आखरी	সর্বশেষ
क्षेत्ररक्षण	অধিনায়ক
क्षेत्ररक्षण	ফিল্ডিং
लिली	লিলি
लिली	লিলি
लिली	লিলি
बेली	বেইলি
बेली	বেলি
बेली	পেটের
बेली	পেট
मॉनिटर	মনিটর
नायडू	নাইডু
कोक	কোক
मेलबोर्न	মেলবোর্ন
करुणा	উদারতা
करुणा	উদারতার
करुणा	দয়া
अकसर	প্রায়শই
अकसर	প্রায়ই
मशरूम	মাশরুম
मशरूम	মাশরুম
शांतिपूर्ण	শান্তিময়
शांतिपूर्ण	শান্তিপূর্ণ
गरुड़	গরুড়
फ्लू	ফ্লু
नरक	জাহান্নাম
नरक	জাহান্নামে
नरक	ভয়ংকর
नरक	নরক
नरक	জাহান্নামের
नरक	দোযখ
ट्री	গাছ
ट्री	ট্রি
ट्री	ট্রী
ट्री	বৃক্ষ
बेलन	সিলিন্ডার
अवरोधित	অবরুদ্ধ
आत्मविश्वास	আত্মবিশ্বাসী
आत्मविश्वास	আত্মবিশ্বাসের
आत्मविश्वास	আত্মবিশ্বাস
कुपोषण	অপুষ্টি
कुपोषण	অপুষ্টির
लापता	অনুপস্থিত
नूर	নুর
नूर	নূর
कंटेनर	ধারণকারী
कंटेनर	ধারক
राई	রাই
दुश्मनों	শত্রুদের
दुश्मनों	শত্রু
दुश्मनों	শত্রুরা
वाइड	বিস্তৃত
वाइड	প্রশস্ত
फर्नीचर	আসবাবপত্র
भार्गव	ভার্গব
वारिस	উত্তরাধিকারী
परिवर्तनशील	ভেরিয়েবল
मच्छर	মশা
मच्छर	মশার
अनजान	অজ্ঞাত
अनजान	অজানা
मैग्नीशियम	ম্যাগনেসিয়াম
गंगोत्री	গঙ্গোত্রী
सनी	রৌদ্রোজ্জ্বল
सनी	সানি
प्लेटफॉर्म	প্ল্যাটফর্ম
प्लेटफॉर्म	মঞ্চ
भावुक	আবেগপূর্ণ
भावुक	আবেগী
भावुक	আবেগপ্রবণ
केसरी	কেশরী
घोटाला	কলঙ্ক
घोटाला	কেলেঙ্কারি
घोटाला	কেলেঙ্কারি
मिस्री	মিশরের
मिस्री	মিসরীয়
मिस्री	ইজিপশিয়ান
मिस्री	মিশরীয়
ईर्ष्या	ঈর্ষা
ईर्ष्या	হিংসা
ईर्ष्या	ঈর্ষান্বিত
ईर्ष्या	হিংসা
ईर्ष्या	হিংসা
ईर्ष्या	হিংসা
अमल	অমল
मेडल	পদক
समरूप	সমজাতীয়
अमरावती	অমরাবতী
विनायक	বিনায়ক
गायों	গরু
जैज़	জ্যাজ
गायकों	গাওয়া
ओक	ওক
बैच	ব্যাচ
उड़ा	ফুঁ
उड़ा	ব্লো
किनारा	বর্ডারস
किनारा	প্রান্ত
किनारा	এজ
किनारा	প্রান্তরেখা
किनारा	সীমার
किनारा	সীমানা
किनारा	পৃষ্ঠ
कौल	কাউল
फ्रेड	ফ্রেড
बुर्ज	টাওয়ার
वुड	কাঠ
वुड	কাঠের
बंदरगाहों	পোর্ট
बंदरगाहों	বন্দর
अलेक्जेंडर	আলেকজান্ডার
अलेक्जेंडर	অ্যালেকজান্ডার
वर्षगांठ	বার্ষিকী
वर्षगांठ	বাৎসরিক
क्योटो	কিয়োটো
आर्किटेक्चर	আর্কিটেকচার
आर्किटेक्चर	স্থাপত্য
फैक्ट्री	কারখানা
फैक्ट्री	ফ্যাক্টরি
ओंटारियो	ontario
वायरल	ভাইরাল
एडवेंचर	রোমাঞ্চ
एडवेंचर	অ্যাডভেঞ্চার
अनुग्रह	গ্রেস
अनुग्रह	অনুগ্রহ
गिल्ड	গিল্ড
डेविडसन	ডেভিডসন
घंटी	বেল
घंटी	ঘণ্টা
कूपर	কুপার
सुल्तानपुर	সুলতানপুর
कैरोलिना	ক্যারোলিনা
तनु	তনু
प्लान	প্ল্যান
प्लान	পরিকল্পনা
विदा	vida
मिर्जा	মির্জা
खिंचाव	প্রসারিত
माफी	ক্ষমা
अबुल	আবুল
व्लादिमीर	ভ্লাদিমির
दंगों	দাঙ্গার
दंगों	রায়ট
दंगों	দাঙ্গা
दौलत	সম্পদ
बर्गर	বার্গার
बेहोश	অবচেতন
वर्ड	শব্দ
प्रभार	চার্জ
म्यांमार	মায়ানমার
म्यांमार	মিয়ানমার
मार्गरेट	মার্গারেট
निजामुद्दीन	nizamuddin
जुलूस	মিছিলে
जुलूस	শোভাযাত্রা
जुलूस	মিছিল
बांसुरी	বাঁশি
बांसुरी	বাঁশী
तुगलक	তুঘলক
दिशानिर्देश	দিকে
दिशानिर्देश	নির্দেশিকা
माननीय	সম্মানিত
माननीय	সম্মানজনক
माननीय	সম্মানজনক
बधाई	অভিনন্দন
बधाई	সম্ভাষণ
बधाई	অভিবাদন
बधाई	শুভেচ্ছা
बधाई	অভিনন্দন
सत्तर	সত্তর
सत्तर	সাত্তার
हॉस्पिटल	হাসপাতাল
हॉस्पिटल	হাসপাতালের
हॉस्पिटल	হসপিটাল
हिंदुस्तानी	হিন্দুস্তানি
नीलम	নীলকান্তমণি
जलसन्धि	প্রণালী
उठी	উত্থাপিত
पोर्टेबल	বহনযোগ্য
पोर्टेबल	পোর্টেবল
स्विंग	দোল
स्विंग	সুইং
जेड	জেড
टिप्पणियाँ	মন্তব্য
प्रिंटर	প্রিন্টার
प्रिंटर	মুদ্রণযন্ত্র
प्रिंटर	প্রিন্টার
सिनसिनाटी	সিনসিনাটি
सल्फाइड	sulphide
फुल	পরিপূর্ণ
फुल	পূর্ণ
फुल	পুরো
फुल	সম্পূর্ণ
फुल	ভরা
फैजाबाद	faizabad
जागरूक	সচেতন
अस्सी	আশি
आंद्रे	আন্দ্রে
अनोखी	উদ্ভট
पापुआ	পাপুয়া
सीआईडी	সিআইডি
वंदना	বন্দনা
विषयवस्तु	সামগ্রী
विषयवस्तु	বিষয়বস্তু
विषयवस्तु	থিম
विषयवस्तु	সূচী
विषयवस्तु	সূচি
विषयवस्तु	বিষয়বস্তু
गिरि	গিরি
आज़मी	আজমি
फोर्ब्स	ফোর্বস
एजेंटों	এজেন্টরা
एजेंटों	এজেন্ট
प्रेमियों	প্রেমীদের
प्रेमियों	প্রেমী
आनुवंशिकी	জিনতত্ত্ব
हथेली	তালু
हथेली	পাম
हथेली	তাল
दाग	দাগ
अज़ाब	ডুম
मंचन	মঞ্চস্থ
बटालियन	ব্যাটালিয়ন
प्रियंका	প্রিয়াঙ্কা
प्रियंका	প্রিয়াংকা
खिलजी	খিলজি
रिक	রিক
रिक	rik
बर्मिंघम	বার্মিংহ্যাম
बर्मिंघम	বার্মিংহাম
गुस्से	ক্রোধ
गुस्से	রাগের
गुस्से	রাগ
गुस्से	pda
मिर्जापुर	মির্জাপুর
आर्यन	আর্য
आर्यन	আরিয়ান
ढलान	ঢাল
लगन	উৎসর্গ
चाकू	ছুরি
परिवर्तनीय	ভেরিয়েবল
मज्जा	মজ্জা
निर्दोष	অনবদ্য
निर्दोष	নিষ্পাপ
निर्दोष	নিরীহ
निर्दोष	ইনোসেন্ট
निर्दोष	নির্দোষ
लीबिया	লিবিয়া
उज़बेक	উজবেক
पिछला	শেষ
पिछला	সর্বশেষ
पिछला	পূর্ববর্তী
पिछला	পূর্বাবস্থা
प्रसाधन	টয়লেট
प्रसाधन	শৌচাগার
प्रसाधन	সামগ্রী
प्रसाधन	সোর্স
ईमानदार	আন্তরিক
ईमानदार	সৎ
जोस	হোসে
जोस	জোসে
जोस	হোসে
मल्टी	মাল্টি
चंदन	চন্দন
अंकीय	সংখ্যা
अंकीय	সংখ্যাতাত্ত্বিক
मसूरी	mussoorie
असेम्बली	সংসদ
असेम्बली	সমাবেশ
भिक्षुओं	সন্ন্যাসীদের
भिक्षुओं	ভিক্ষুদের
लड़ी	থ্রেড
लड़ी	সূত্র
कानों	কান
चांसलर	চ্যান্সেলর
विवेकानंद	বিবেকানন্দ
घई	ঘাই
अहसास	লাগছে
अहसास	বোধ
अहसास	অনুভব
अहसास	অনুভূতি
अहसास	অনুভুতি
चक्रीय	কম্পনশীল
अस्थाई	অস্থায়ী
अस्थाई	সাময়িক
तबाह	বিধ্বস্ত
तबाह	বিপর্যস্ত
योद्धाओं	যোদ্ধা
कलाकृति	মাস্টারপিস
कलाकृति	আর্টওয়ার্ক
नाइजीरिया	নাইজেরিয়া
मिसिसिपी	মিসিসিপি
थ्रिलर	থ্রিলার
संयोजक	আহ্বায়ক
अंतरजाल	ইন্টারনেট
रहो	থাকতে
रहो	থাকার
रहो	থাকা
रहो	থাকে
रहो	থাকুন
रहो	থাকো
ट्रैकिंग	অনুসরণ
ट्रैकिंग	অনুসরণকারী
ट्रैकिंग	ট্র্যাকিং
अब्बास	আব্বাস
गिद्ध	শকুন
पोस्टर	পোস্টার
पोस्टर	পোস্টার
वंशजों	বংশধরদের
वंशजों	বংশধরগণ
वंशजों	বংশধর
उंगलियों	ফিঙ্গার
उंगलियों	আঙ্গুল
उंगलियों	আঙুল
चॉकलेट	চকলেট
चॉकलेट	চকলেট
चॉकलेट	চকোলেট
राइफल	রাইফেল
बल्ले	ব্যাট
बल्ले	বাদুর
स्थलाकृति	topography
उछाल	বাউন্স
उछाल	লাফানো
सुन्दरता	সৌন্দর্য্য
सुन्दरता	সৌন্দর্য
अंतरिम	অন্তবর্তীকালীন
अंतरिम	অন্তর্বর্তী
जबड़े	চোয়ালে
जबड़े	জস
सर्वनाम	সর্বনাম
नंदा	নন্দ
शेल	শেল
सू	মামলা
सू	যথেষ্ঠ
रसोई	রান্নাঘর
रसोई	কিচেন
वाक	ভাষ্য
वाक	কথা
वाक	বক্তৃতা
वाक	বক্তব্য
वाक	স্পিচ
चिकित्सालय	হাসপাতাল
चिकित्सालय	হাসপাতালের
चिकित्सालय	হসপিটাল
दशहरा	দশেরা
फंस	আটকা
चट्टानें	পাথর
चतुर	চালাক
चतुर	চালাকি
खानपान	ক্যাটারিং
अस्वीकृत	অননুমোদিত
अस्वीकृत	অস্বীকৃত
अस्वीकृत	প্রত্যাখ্যাত
सजातीय	সমজাতীয়
गुलज़ार	গুলজার
कसम	কসম
कसम	কসম
कसम	দিব্যি
कसम	শপথ
किराया	ভাড়া
किराया	ভাড়া
किराया	ভাড়ার
खिलौने	খেলনা
महीना	মাস
मंगेशकर	মঙ্গেশকর
रिपोर्टिंग	রিপোর্টিং
नैनो	ন্যানো
नमकीन	নোনতা
महेंद्र	মহেন্দ্র
पंद्रहवीं	fifteenth
चटनी	চাটনি
चना	ছোলা
अज्ञान	অজ্ঞতা
अज्ञान	অজ্ঞতার
आर्द्र	আর্দ্র
नबी	নবী
नबी	নবী
हेल	হেল
परी	পরী
परी	pari
परी	পরি
परी	দেবদূত
कीचड़	কাদা
न्यूर्क	নিওয়ার্ক
स्नायु	লিগামেন্ট
ममता	মমতা
ममता	মমতা
छुपा	আড়ালে
छुपा	লুকানো
छुपा	লুকায়িত
छुपा	গোপন
छुपा	লুকিয়ে
डिफ़ॉल्ट	ডিফল্ট
डिफ़ॉल्ट	পূর্বনির্ধারিত
ड्राफ्ट	খসড়া
ड्राफ्ट	ড্রাফ্ট
राइस	চাল
राइस	ধান
राइस	রাইস
राइस	ভাত
राइस	ভাতের
रेफरी	রেফারি
साहसी	দুঃসাহসিক
साहसी	দুঃসাহসী
ताज़ा	ফ্রেশ
ताज़ा	তাজা
ताज़ा	সতেজ
ताज़ा	সজীব
ताज़ा	টাটকা
उपेक्षित	উপেক্ষিত
उपेक्षित	অবহেলিত
ज़िंदगी	প্রাণ
ज़िंदगी	জিবন
ज़िंदगी	লাইফ
ज़िंदगी	জীবনের
ज़िंदगी	জীবন
गाजीपुर	গাজীপুর
खादी	খাদি
पेशेवरों	পেশাদার
धूमकेतु	ধূমকেতু
चाँदनी	চাঁদনী
आइटम	বস্তু
आइटम	আইটেম
आइटम	বস্তু
आइटम	আইটেম
क्षणिक	ক্ষণস্থায়ী
वेदना	ছিলেন
जीमेल	মেইলার
जीमेल	জিমেইল
फॉर्मेट	বিন্যাস
फॉर्मेट	ফরম্যাট
फेस	ফেস
फेस	মুখ
कस्तूरी	কস্তুরী
पांव	পা
पांव	ফুট
पांव	পায়ের
झगड़ा	ঝগড়া
मीट्रिक	মেট্রিক্স
मीट्रिक	মেট্রিক
बांग्लादेशी	বাংলাদেশের
बांग्लादेशी	বাংলাদেশ
बांग्लादेशी	বাংলাদেশি
बांग्लादेशी	বাংলাদেশের
बांग्लादेशी	বাংলাদেশী
डिज़ाइनर	ডিজাইনার
क्रीड़ा	খেলাধুলা
क्रीड़ा	ক্রীড়া
क्रीड़ा	ক্রিড়া
क्रीड़ा	স্পোর্টস
एकाग्रता	মনযোগ
एकाग्रता	একাগ্রতা
एकाग्रता	মনোযোগের
ईकाई	একক
भतीजे	ভাগ্নে
