το	на
προσθήκη	додади
προσθήκη	додај
ισραήλ	израел
άρης	арис
άρης	арес
άρης	марс
καναδά	канада
παιχνίδια	игри
παιχνίδια	играчките
παιχνίδια	играчки
κομμάτια	парчиња
ανάλυση	слом
ανάλυση	анализи
ανάλυση	анализа
κόκκινο	црвен
κόκκινο	црвена
κόκκινο	црвено
κόκκινο	црвени
ηλιακό	соларна
ηλιακό	соларни
ηλιακό	сончева
δίσκος	албум
δίσκος	диск
δίσκος	диск
δίσκος	фиока
πρωταθλήτρια	првак
πρωταθλήτρια	шампион
πρωταθλήτρια	champion
ροκ	рок
ροκ	камен
ροκ	карпа
αντικείμενα	предмети
αντικείμενα	ставки
αντικείμενα	објекти
αντικείμενα	предмети
ενέργειας	енергија
ενέργειας	енергетска
ενέργειας	енерџи
ενέργειας	energy
ενέργειας	енергетика
ζώνη	зона
ζώνη	каиш
ζώνη	ремен
ζώνη	појас
σύλλογοι	здруженија
σύλλογοι	асоцијации
σύλλογοι	клубови
σχέδια	дизајни
σχέδια	планови
σχέδια	проекти
σχέδια	цртежи
χιλιάδες	илјадници
δίκτυο	мрежа
δίκτυο	мрежи
δίκτυο	network
φως	светлината
φως	светол
φως	светло
φως	светлина
φως	светлост
πραγματικό	вистински
πραγματικό	реално
πραγματικό	вистинско
πραγματικό	вистинска
πραγματικό	реална
πραγματικό	реал
παραπομπές	упатува
παραπομπές	референци
παραπομπές	препораки
μικρές	малечко
μικρές	мала
μικρές	мал
μικρές	мали
μικρές	мало
πίνακας	табела
πίνακας	маса
πίνακας	сликарство
πίνακας	сликање
πίνακας	слика
απάντηση	одговори
απάντηση	одговор
απάντηση	одговори
απάντηση	одговор
παρόμοια	слично
παρόμοια	сличен
παρόμοια	слична
παρόμοια	слични
απόλυτο	апсолутен
απόλυτο	апсолутна
περιλαμβάνονται	вклучени
περιλαμβάνονται	вклучено
περιλαμβάνονται	вклучува
αποκλειστικά	ексклузивно
αποκλειστικά	ексклузивна
αποκλειστικά	ексклузивни
αποκλειστικά	exclusive
αποκλειστικά	исклучиво
νότιο	јужен
νότιο	јужна
νότιο	јужни
νότιο	југ
νότιο	јужно
νότιο	јужна
πολιτικές	политики
ανήκε	припаѓаа
ανήκε	припаѓал
ανήκε	припаѓаше
ανήκε	припаѓале
ανήκε	припаѓала
ανήκουν	припаѓаат
ανήκουν	припаѓам
νόμος	закон
πράγματα	работи
πράγματα	нешта
πράγματα	работи
πράγματα	нешта
οποιαδήποτε	било
άννα	ана
άννα	ana
απλώς	само
έζησε	живееја
έζησε	живеел
έζησε	живееше
έζησε	живеев
έζησε	живееле
σκηνοθέτης	режисер
σκηνοθέτης	директор
ιαπωνία	јапонија
ιαπωνία	јапан
σειρές	серија
σειρές	серии
σειρές	редици
σειρές	редовите
σειρές	редови
σειρές	реда
φον	фон
φον	вон
ολυμπιακό	олимписки
ολυμπιακό	олимпик
δολάρια	долари
λίγες	малкумина
λίγες	неколку
λίγες	неколкумина
τρόπος	начин
κεντρικό	централно
κεντρικό	централен
κεντρικό	централа
κεντρικό	централна
ακαδημίας	академија
πέτυχε	успеал
πέτυχε	успеа
πέτυχε	успеаја
βαθμούς	оценки
βαθμούς	оцени
καταστροφή	катастрофа
καταστροφή	катастрофи
καταστροφή	катастрофа
καταστροφή	деструкција
καταστροφή	уништување
φύση	природа
φύση	природата
ναι	да
ναι	да
όργανα	инструменти
όργανα	институции
τιμές	цени
τιμές	вредности
πίεση	притисок
βασίλισσα	queen
βασίλισσα	кралица
κόμματα	запирки
κόμματα	партиите
κόμματα	партии
κόμματα	забави
χαρακτήρες	ликови
χαρακτήρες	карактери
χαρακτήρες	знаци
πολιτικό	политичар
πολιτικό	политички
πολιτικό	политичко
πολιτικό	политичка
φιλοσοφία	филозофија
συμμετέχει	учествува
χημική	хемиско
χημική	хемиски
βίντεο	video
βίντεο	видео
βίντεο	видеа
ασίας	азија
ίδρυσε	основана
ίδρυσε	основани
ίδρυσε	основано
ίδρυσε	основан
παλιά	старо
παλιά	стари
παλιά	стар
παλιά	стара
μονάδα	единица
βρετανία	британија
στρατηγός	општи
στρατηγός	општа
στρατηγός	општо
στρατηγός	генерал
εξαιρετικά	екстремно
εξαιρετικά	исклучително
εξαιρετικά	одлична
εξαιρετικά	одлично
οικονομικά	економија
ίδρυμα	фондација
ίδρυμα	темели
ίδρυμα	темел
ίδρυμα	институција
κάποιον	некој
κάποιον	некого
κάποιον	некому
διεύθυνση	директорат
διεύθυνση	адреса
υπόλοιπα	одмори
πάπας	папа
σταθμό	станица
σχετική	роднина
σχετική	релативна
σχετική	релативно
σχετική	релевантни
σχετική	поврзани
σχετική	поврзано
αρχιτεκτονική	архитектурата
αρχιτεκτονική	архитектура
προπονητές	тренери
δραστηριότητα	дејност
δραστηριότητα	активност
δραστηριότητα	активности
τεχνική	технички
τεχνική	техничко
τεχνική	техника
διαμέρισμα	рамен
διαμέρισμα	рамно
διαμέρισμα	дур
διαμέρισμα	рамни
διαμέρισμα	рамна
διαμέρισμα	стан
διαμέρισμα	станот
διαμέρισμα	апартман
γράμματα	опашки
γράμματα	букви
γράμματα	писма
μακεδονία	македонија
πιθανώς	веројатно
πιθανώς	највероватно
πιθανώς	најверојатно
πιθανώς	евентуално
ανδρέας	андреас
κάποιοι	некои
εθνικός	национални
εθνικός	национална
εθνικός	национален
εθνικός	национално
υόρκη	јорк
βασιλική	базилика
βασιλική	кралско
βασιλική	кралска
βασιλική	ројал
βασιλική	royal
βασιλική	кралски
μνημείο	обележје
μνημείο	меморијал
μνημείο	споменик
τζέιμς	џејмс
τζέιμς	џемс
μονάδες	единици
είπε	рече
είπε	рекол
γονείς	родители
γονείς	родителите
δημοτική	општинско
δημοτική	општински
μάχες	борби
μάχες	тепачки
μάχες	борбите
μάχες	борба
μάχες	борби
μάχες	битки
μάχες	битките
πολιτικά	политика
πολιτικά	политички
καθεστώς	статус
καθεστώς	шема
ρωμαϊκή	римска
ρωμαϊκή	римски
ρωμαϊκή	римјанин
ρωμαϊκή	роман
ρωμαϊκή	римско
λογική	логично
λογική	логички
λογική	логичка
λογική	логика
βυζαντινή	византиски
βυζαντινή	византиска
ερτ	ерт
αφρικής	африканска
αφρικής	африкански
κριτήρια	критериум
κριτήρια	критериуми
άμεσα	дирекно
άμεσα	директно
ολυμπιακούς	олимпијадата
ολυμπιακούς	олимпијада
μοναδικό	единствени
μοναδικό	уникатни
μοναδικό	уникатна
μοναδικό	уникатно
μοναδικό	уникатен
δικαιωμάτων	права
ακολούθησαν	следев
ακολούθησαν	следена
ακολούθησαν	следени
ακολούθησαν	следеше
εσωτερικών	ентериер
εσωτερικών	внатрешност
κατακτήσει	освојување
όρια	ограничување
όρια	ограничи
όρια	граници
όρια	ограничувања
λύση	раствор
λύση	решение
φυσικό	природна
φυσικό	природни
φυσικό	природен
φυσικό	природно
συνθέτης	текстописец
συνθέτης	композитор
αίγυπτο	египет
τρέχουσα	актуелни
τρέχουσα	тековната
τρέχουσα	моментална
τρέχουσα	сегашна
τρέχουσα	тековна
κώδικα	шифра
κώδικα	код
αέρα	воздух
αέρα	ер
αέρα	air
εύκολα	лесно
δήλωσε	прогласи
δήλωσε	прогласена
δήλωσε	прогласен
ακαδημία	академија
πτώση	пад
πτώση	опаѓање
πτώση	паѓа
πτώση	паѓање
πτώση	паѓаат
πτώση	падни
πτώση	капка
πτώση	фрли
πτώση	паѓање
πτώση	пад
πτώση	падот
πτώση	есен
πτώση	падне
ζαν	жан
ζαν	џин
ζαν	жан
κτίριο	градба
κτίριο	зграда
κτίριο	градење
προσωπικό	лично
προσωπικό	личен
προσωπικό	личното
προσωπικό	лична
προσωπικό	персонал
προσωπικό	персонал
προσωπικό	кадар
αυστραλία	австралија
κίνα	кина
επαρχίες	покраини
επαρχίες	провинции
παίκτης	играчот
παίκτης	играч
κοινωνική	социјална
κοινωνική	социјално
κοινωνική	општествени
θητεία	мандат
φεβρουάριο	фебруари
φεβρουάριο	февруари
πολιτεία	состојба
πολιτεία	држава
μυθιστόρημα	новела
μυθιστόρημα	роман
μυθιστόρημα	фантастика
μυθιστόρημα	фикција
αεροδρόμιο	аеродром
κατοχή	опседнатост
κατοχή	поседување
κατοχή	окупација
κατοχή	занимање
αμερικανική	американска
αμερικανική	американски
αμερικανική	американец
πιθανόν	веројатно
πιθανόν	највероватно
πιθανόν	најверојатно
πιθανόν	евентуално
λειτουργίας	оперативен
λειτουργίας	оперативни
λεξικό	речник
πλειοψηφία	мнозинство
νόμο	закон
ζώα	животни
ζώα	говедата
συμβόλαιο	договор
σενάριο	сценарио
σενάριο	сценарио
σενάριο	скрипта
σενάριο	сценарио
ενάντια	против
περαιτέρω	понатамошно
επαφή	контакт
μπλε	плава
μπλε	сина
μπλε	сини
μπλε	блу
μπλε	сино
εργασίες	работа
εργασίες	дело
εργασίες	работно
εργασίες	задачи
ολόκληρη	цела
ολόκληρη	целина
δήμαρχος	градоначалникот
δήμαρχος	градоначалник
κινδύνου	ризик
κινδύνου	ризикува
κινδύνου	опасност
κινδύνου	азар
ρόμπερτ	роберт
ρόμπερτ	робер
σταδιακά	постепено
σταδιακά	прогресивно
επίσημο	официјално
επίσημο	службен
επίσημο	службено
επίσημο	официјална
επίσημο	формално
επίσημο	формални
επίσημο	формална
επίσημο	формален
οικονομία	економија
οικονομία	економија
βιβλιογραφία	библиографија
κρήτη	крит
πλήρη	полни
πλήρη	целосна
πλήρη	полна
πλήρη	полн
πλήρη	комплетен
πλήρη	комплетна
πλήρη	завршено
λεζάντα	насловот
ανάγκη	треба
ανάγκη	потреба
προϊόντα	производи
προϊόντα	продукти
σημειώσεις	белешки
σημειώσεις	забелешки
σημειώσεις	ноти
γνώμη	мислење
καλλιτέχνες	изведувачи
καλλιτέχνες	уметници
καλλιτέχνες	артисти
ισχύει	важи
ισχύει	валидни
ισχύει	валидна
ισχύει	валиден
ισχύει	валидно
ισχύει	важи
οδηγεί	води
οδηγεί	водечки
οδηγεί	вози
ρώμης	рим
πλήθος	толпа
πλήθος	гужви
πλήθος	толпи
πλήθος	толпата
πλήθος	толпа
ιερά	свето
ιερά	света
ιερά	свето
ιερά	света
ιερά	свети
πόλεων	градови
ηγεσία	лидерски
ηγεσία	раководство
ηγεσία	лидерска
ηγεσία	лидерство
ηγεσία	водство
συνδυασμό	комбинација
συνάρτηση	функција
αξία	вредност
μάζα	масовен
μάζα	масовно
μάζα	маса
μάζα	масовни
μάζα	миса
φράση	фраза
φυσικής	физика
ειρήνη	спокој
ειρήνη	мир
προσπάθησε	пробајте
προσπάθησε	пробај
φωνή	гласот
φωνή	глас
οικογένειες	семејствата
οικογένειες	фамилии
οικογένειες	семејства
ομώνυμο	хомоним
παοκ	паок
εντολή	команда
εντολή	наредба
εντολή	мандатот
εντολή	мандат
γάλλοι	французи
γάλλοι	француски
γάμο	бракови
γάμο	брак
γάμο	венчавка
γάμο	свадба
θρησκεία	религија
επιτρέπει	дозволува
επιτρέπει	овозможува
παρέχει	обезбеди
παρέχει	пружа
παρέχει	обезбедува
αδελφός	брате
αδελφός	брат
ζήτησε	бараниот
ζήτησε	побара
ζήτησε	бараната
ζήτησε	побарано
ζήτησε	прашале
ζήτησε	праша
ζήτησε	запрашан
επιρροή	влијание
κατάκτηση	освојување
κατάκτηση	освојувања
κατάκτηση	освојување
υπέγραψε	потпишана
υπέγραψε	потпишани
υπέγραψε	потпишано
υπέγραψε	потпишан
σοβιετική	советска
σοβιετική	советски
αντιδράσεις	реакции
αντιδράσεις	реакциите
συγγραφέα	писателка
συγγραφέα	писател
συγγραφέα	автор
κερδίσει	победи
κερδίσει	победуваат
κερδίσει	победа
μακριά	далеку
μακριά	подалеку
βασικό	основно
βασικό	основни
βασικό	башиќ
βασικό	основна
βασικό	основен
βασικό	основните
προσπάθειες	обиди
προσπάθειες	напори
κρίση	пресуда
κρίση	криза
περ	пер
περ	per
περιγραφή	опис
πύλη	капија
πύλη	гејт
πύλη	порта
πύλη	порталот
πύλη	портал
πύλη	премин
πύλη	порта
ανακοίνωσε	најави
ανακοίνωσε	најавена
ελ	ел
μήνυμα	пораката
μήνυμα	порака
βαθμολογία	рејтинг
βαθμολογία	рангирање
βαθμολογία	оценка
βαθμολογία	резултат
βαθμολογία	поен
βαθμολογία	безбројни
βαθμολογία	оценки
προκάλεσε	предизвика
προκάλεσε	предизвикана
προκάλεσε	предизвика
προκάλεσε	предизвикан
προκάλεσε	предизвикана
προκάλεσε	предизвикано
μεγαλύτερος	постара
μεγαλύτερος	постари
μεγαλύτερος	постар
μεγαλύτερος	постаро
μεγαλύτερος	поголеми
μεγαλύτερος	поголемо
μεγαλύτερος	поголем
μεγαλύτερος	поголеми
μεγαλύτερος	поголема
μεγαλύτερος	поголемо
μεγαλύτερος	поголем
γεννημένος	родено
γεννημένος	роди
γεννημένος	роден
γεννημένος	родени
γεννημένος	раѓа
μοναστήρι	манастир
μοναστήρι	манастир
δραστηριότητες	активности
χίτλερ	хитлер
γραμματέας	секретар
γραμματέας	секретарка
περιέχουν	содржат
ελευθερία	слободата
ελευθερία	слобода
ελευθερία	либерти
ελευθερία	слобода
ταξίδι	патување
ταξίδι	travel
ταξίδι	патувања
ταξίδι	патување
ταξίδι	патување
ταξίδι	трип
μοναδική	единствени
μοναδική	уникатни
μοναδική	уникатна
μοναδική	уникатно
μοναδική	уникатен
ακτή	брег
ακτή	брегот
ακτή	брег
ακτή	крајбрежје
ακτή	обала
αρχαιότητα	стаж
αρχαιότητα	антика
αρχαιότητα	античко
αρχαιότητα	антиквитети
ομοσπονδίας	федерација
ομοσπονδίας	федерацијата
ιδιότητα	имот
ιδιότητα	сопственост
πλήρως	целосно
μελέτες	студии
ήθελε	баран
ήθελε	сакаше
ντεμπούτο	деби
χέρι	арм
χέρι	рака
χέρι	дланка
μέθοδος	методот
μέθοδος	метод
μέθοδος	метода
στρατεύματα	трупи
στρατεύματα	војници
στούντιο	studio
στούντιο	студио
κάρολος	чарлс
κάρολος	шарл
πέτρος	питер
πέτρος	петар
πέτρος	петрос
επιστημονική	научни
επιστημονική	научен
επιστημονική	научно
μέτωπο	преден
μέτωπο	предни
μέτωπο	предна
μέτωπο	фронт
μέτωπο	напред
μέτωπο	чело
μέτωπο	челото
ουσία	супстанца
ουσία	супстанции
ουσία	супстанција
δούκα	војвода
δούκα	дук
δούκα	дјук
δούκα	кнез
ρεύμα	актуелни
ρεύμα	тековната
ρεύμα	моментална
ρεύμα	сегашна
ρεύμα	тековна
τίποτα	ништо
παναθηναϊκός	панатинаикос
δίκαιο	закон
δίκαιο	фер
δίκαιο	саем
δίκαιο	панаѓур
εταιρία	компанија
ναυτικό	морнарица
ανεξαρτησία	независност
ανεξαρτησία	независноста
επιστήμη	науката
επιστήμη	наука
επιστήμη	науки
θεραπεία	лек
θεραπεία	терапија
θεραπεία	третман
θεραπεία	лекување
θεραπεία	третирање
θεραπεία	третираат
μόνος	сами
μόνος	сама
μόνος	сам
στάση	став
στάση	став
πάπα	папа
χάρτης	мап
χάρτης	карта
χάρτης	мапа
χάρτης	мапата
μοντέλα	модели
μοντέλα	манекенки
σχόλιο	коментар
σχόλιο	коментирање
νομό	жупанија
νομό	округот
νομό	округ
μόνη	сами
μόνη	сама
μόνη	сам
οθωμανική	отоманско
οθωμανική	отоманската
οθωμανική	отомански
απελευθέρωση	ослободи
απελευθέρωση	ослободување
απελευθέρωση	ослободителната
απελευθέρωση	либерализацијата
απελευθέρωση	либерализација
σύγκρουση	влијанието
σύγκρουση	влијание
σύγκρουση	судар
σύγκρουση	конфликт
μαθητές	студенти
μαθητές	ученици
μαθητές	студентите
μαθητές	ученици
ασφαλείας	сигурност
ασφαλείας	обезбедување
ασφαλείας	безбедност
σούπερ	супер
τραγουδιστής	пејачка
τραγουδιστής	пеач
τραγουδιστής	пејач
τραγουδιστής	сингер
πρόσβαση	пристапот
πρόσβαση	пристап
ηπείρου	епир
ηπείρου	континент
ηπείρου	континентот
παίζει	претставите
παίζει	свири
παίζει	свирење
παίζει	играње
παίζει	свири
θεός	богот
θεός	бога
θεός	бог
θεός	господ
ελέγχου	контрола
ευκαιρία	шанси
ευκαιρία	шанса
ευκαιρία	можност
ινστιτούτο	институт
τάση	тренд
τάση	напон
τάση	тенденција
περιοδεία	тура
περιοδεία	турнеја
περιοδεία	тур
περιοδεία	обиколка
ειδική	посебно
ειδική	специјален
ειδική	специјално
ειδική	специјални
ειδική	посебна
ειδική	специјална
βασίλης	василис
βασίλης	василис
εκτέλεση	извршување
εκτέλεση	изврши
εκτέλεση	извршување
εκτέλεση	извршувањето
εκτέλεση	егзекуција
εκτέλεση	погубување
παίρνει	добива
παίρνει	превзема
ανατολή	исток
ανατολή	ориент
ανατολή	изгрејсонцето
ανατολή	изгрејсонце
ανατολή	изгрев
σταθερά	постојано
σταθερά	константно
σταθερά	константна
σταθερά	константа
σταθερά	поправени
σταθερά	фиксна
σταθερά	поправи
σταθερά	фиксен
σταθερά	смирено
σταθερά	мирно
σταθερά	стабилно
σταθερά	стабилни
σταθερά	стабилен
σταθερά	стабилно
σταθερά	стабилна
κεφάλι	главата
κεφάλι	глава
πλάτος	ширина
εγκαταστάθηκε	инсталирана
εγκαταστάθηκε	инсталиран
εγκαταστάθηκε	инсталирани
ιστορικός	историски
ιστορικός	историско
ιστορικός	историска
ιστορικός	историчар
ιστορικός	историски
ιστορικός	историско
ιστορικός	историска
νύχτα	вечер
νύχτα	нок
νύχτα	ноќ
νύχτα	night
μάικλ	михаел
μάικλ	мајкл
μάικλ	михаил
μάικλ	michael
συνέδριο	конференција
συνέδριο	конференции
μπάσο	бас
απόδοση	ефикасност
απόδοση	принос
απόδοση	изведба
απόδοση	перформанс
απόδοση	перформанси
απόδοση	настап
επεισόδιο	епизода
κτίρια	градби
κτίρια	згради
ελεύθερη	слободни
ελεύθερη	бесплатно
ελεύθερη	слободно
ελεύθερη	слободна
ελεύθερη	слободен
εντελώς	комплетно
εντελώς	сосема
εντελώς	потполно
εντελώς	целосно
εντελώς	тотално
εντελώς	сосема
εντελώς	целосно
παπανδρέου	папандреу
άλλαξε	променето
άλλαξε	променет
ποταμός	река
ποταμός	ривер
ποταμός	реката
υπόλοιπο	рамнотежа
υπόλοιπο	баланс
υπόλοιπο	биланс
χρυσή	златно
χρυσή	златни
χρυσή	златна
χρυσή	златен
μαθήματα	поука
μαθήματα	лекции
μαθήματα	терени
μαθήματα	курсеви
μαθήματα	класи
μαθήματα	настава
μαθήματα	часови
ιταλική	италијанска
ιταλική	италијански
ιταλική	италијанецот
ιταλική	италијанец
παραδείγματα	примери
ηγέτης	лидер
ηγέτης	водач
ιταλός	италијанска
ιταλός	италијански
ιταλός	италијанецот
ιταλός	италијанец
πολίτες	граѓани
πολίτες	граѓаните
ιερό	свето
ιερό	света
ιερό	свето
ιερό	света
ιερό	свети
πόδια	стапала
πόδια	нозе
πόδια	стопала
πόδια	нозете
πόδια	нозе
πολιορκία	опсада
τίτλους	титули
τίτλους	наслови
αρχικό	почетен
αρχικό	првичните
αρχικό	првични
αρχικό	почетно
αρχικό	оригинал
επίπεδα	нивоа
τηλεόραση	телевизија
λευκό	бело
λευκό	бели
λευκό	бел
λευκό	бела
λευκό	вајт
μικρός	малечко
μικρός	мала
μικρός	мал
μικρός	мали
μικρός	мало
περιόδους	периоди
μισό	пола
μισό	половина
μισό	половината
λέξεις	зборови
δούκας	војвода
δούκας	дук
δούκας	дјук
δούκας	кнез
γωνία	агол
γωνία	ќоше
γωνία	ќош
γωνία	агол
δεκαετίες	декади
δεκαετίες	децении
κανάλι	канал
κανάλι	канал
νίκησε	поразена
νίκησε	поразени
νίκησε	порази
νίκησε	поразен
γράψει	напишано
γράψει	напишани
γράψει	пишано
γράψει	пишан
γεωγραφία	географија
έστειλε	испратени
έστειλε	испрати
έστειλε	испратено
έστειλε	испратена
έστειλε	пратен
έστειλε	испратен
ολοκληρώθηκε	заврши
ολοκληρώθηκε	завршено
ολοκληρώθηκε	комплетен
ολοκληρώθηκε	комплетна
ολοκληρώθηκε	завршено
γεωργία	земјоделие
γεωργία	земјоделство
αγάπη	љубов
αγάπη	љубовта
βουλγαρία	бугарија
φτάσει	пристигнуваат
φτάσει	пристигне
φτάσει	достигнат
φτάσει	опсег
φτάσει	достигне
φτάσει	досег
άμεση	direct
άμεση	директни
άμεση	директна
άμεση	директен
άμεση	итно
θεόδωρος	теодорос
ελένη	хелен
ελένη	елена
παναγιώτης	панајотис
δράσης	дејство
δράσης	акција
τοποθεσία	локација
σύνδεσμος	врска
ανανέωση	освежи
ανανέωση	освежување
ανανέωση	обновување
ανανέωση	обнова
πλήρες	полни
πλήρες	целосна
πλήρες	полна
πλήρες	полн
πλήρες	комплетен
πλήρες	комплетна
πλήρες	завршено
θάνατος	смрт
θάνατος	смртта
τοπικό	локален
τοπικό	локално
τοπικό	локални
τοπικό	локална
γενικό	општи
γενικό	општа
γενικό	општо
γενικό	генерал
τζάκσον	џексон
πατρίδα	татковина
πατρίδα	татковината
πατρίδα	дом
πατρίδα	дома
πατρίδα	домот
πατρίδα	home
πατρίδα	татковина
φωτογραφία	фотографија
φωτογραφία	фотографијата
φωτογραφία	фото
φωτογραφία	фотографија
φωτογραφία	фотографирање
φωτογραφία	photography
φωτογραφία	слика
κατεύθυνση	правец
κατεύθυνση	насока
κατεύθυνση	упатена
ηρακλής	херкулес
ηρακλής	херкул
κόσμος	ворлд
κόσμος	world
κόσμος	свет
κόσμος	светот
κόσμος	свету
κόσμος	народ
κόσμος	луѓе
καλύπτει	навлаки
καλύπτει	покрива
καλύπτει	покривајќи
αναπτύχθηκε	развиени
αναπτύχθηκε	развиено
αναπτύχθηκε	развиен
αναπτύχθηκε	развиена
δυναστεία	династијата
δυναστεία	династија
μεταφέρθηκε	преместена
μεταφέρθηκε	пренесени
μεταφέρθηκε	предадени
μεταφέρθηκε	префрлени
περιγράφει	опишува
νικητής	добитник
νικητής	победничка
νικητής	победникот
νικητής	победник
μουσικό	музичар
προσφέρει	нуди
προσφέρει	понуди
όργανο	инструмент
όργανο	инструментот
όργανο	орган
όργανο	органи
γένος	полови
γένος	пол
γένος	полот
γένος	родот
μόνον	само
παράγει	генерира
παράγει	произведува
ανδρέα	андреас
προκαλεί	предизвикува
μείωση	намалување
μείωση	редукција
μείωση	намали
μείωση	намалување
μείωση	опаѓање
κατασκευάστηκε	изграден
κατασκευάστηκε	изградена
κατασκευάστηκε	изградени
κατασκευάστηκε	изградено
κατασκευάστηκε	изграден
κατασκευάστηκε	изградени
κατασκευάστηκε	изградено
ιατρική	медицина
ιατρική	лек
ιατρική	медицински
κύπελλα	чашки
κύπελλα	чаши
κύπελλα	шолји
πλανήτη	планет
πλανήτη	планета
πλανήτη	планетата
δημοσιογράφος	новинарка
δημοσιογράφος	новинар
δημοσιογράφος	известувач
δημοσιογράφος	новинар
δημοσιογράφος	репортер
εξέγερση	востание
εξέγερση	бунтови
εξέγερση	револт
εξέγερση	немири
εξέγερση	бунт
εξέγερση	нереди
εξέγερση	бунт
εξέγερση	побуна
λήξη	крај
λήξη	истекува
λήξη	истекување
λήξη	прекинување
άγγλος	англичанец
άγγλος	англичанецот
ινδία	индија
ακτές	брега
ακτές	крајбрежје
ακτές	брег
ακτές	крајбрежје
ακτές	обала
εμπορική	комерцијално
εμπορική	комерцијален
εμπορική	реклама
εμπορική	комерцијални
εμπορική	комерцијална
επεισόδια	епизоди
αντίσταση	отпорност
αντίσταση	отпорот
αντίσταση	отпор
διακρίσεις	дискриминација
διακρίσεις	дискриминаторски
φωτογραφίες	фотографии
φωτογραφίες	слики
φωτογραφίες	слики
καρλ	карл
καρλ	карл
διάδοχος	наследник
διάδοχος	наследничка
διάδοχος	наследникот
διάδοχος	наследник
γιάννη	јанис
έντονη	интензивна
έντονη	интензивни
έντονη	интензивен
έντονη	интензивно
παλαιά	старо
παλαιά	стари
παλαιά	стар
παλαιά	стара
παίκτες	играчи
παίκτες	играчи
κύκλο	круг
κύκλο	циклус
αρνήθηκε	одбиен
αρνήθηκε	негираше
αρνήθηκε	одбиено
αρνήθηκε	одбиена
αρνήθηκε	одби
αρνήθηκε	одбиено
αρνήθηκε	одбил
αρνήθηκε	одбила
αρνήθηκε	одби
υλικά	материјална
υλικά	материјал
υλικά	материјали
γνώση	познавање
γνώση	знаењето
γνώση	познавања
γνώση	знаење
γνώση	знаења
βρήκε	нашол
βρήκε	пронајдени
βρήκε	најдено
βρήκε	пронајдено
βρήκε	пронајдена
βρήκε	најден
βασική	основно
βασική	основни
βασική	башиќ
βασική	основна
βασική	основен
βασική	основните
πρόσφατα	неодамна
πρόσφατα	неодамнешно
πρόσφατα	неодамнешни
πρόσφατα	скорешни
πρόσφατα	неодамнешна
πρόσφατα	неодамнешните
λογοτεχνία	литература
λογοτεχνία	книжевност
ρωσική	руска
ρωσική	руски
ρωσική	руско
χημεία	хемија
χημεία	хемијата
συμμαχία	сојуз
συμμαχία	алијанса
συμμαχία	алијансата
ιδέες	идеи
πίνακες	маси
πίνακες	масите
λογαριασμό	сметка
λογαριασμό	сметката
παραγωγός	продуцент
παραγωγός	производител
παραγωγός	производител
παραγωγός	произведувач
γενικές	општи
γενικές	општа
γενικές	општо
γενικές	генерал
ολλανδία	холандија
προφίλ	профил
προφίλ	профилот
προφίλ	профили
κλίμα	клима
σπίτια	домови
σπίτια	куќи
ικανότητα	вештини
ικανότητα	вештина
ικανότητα	капацитет
ικανότητα	способност
αποκτήσει	стекнат
αποκτήσει	стекнато
αποκτήσει	стекнати
αποκτήσει	стекнување
μνημεία	споменици
σπάνια	ретко
σπάνια	ретки
σπάνια	реткост
σπάνια	ретко
σπάνια	редок
σπάνια	ретка
διαγωνισμό	натпревар
μαθηματικά	математика
μαθηματικά	математиката
μαθηματικά	математика
μαθηματικά	математиката
γέφυρα	мост
προσοχή	внимание
είσοδο	влезот
είσοδο	влез
πυκνότητα	густина
πιθανότατα	веројатно
πιθανότατα	највероватно
πιθανότατα	најверојатно
υπουργοί	министри
υπουργοί	министрите
μαύρο	црн
μαύρο	црна
μαύρο	црно
μαύρο	црни
μαύρο	црнец
φύλλα	карти
φύλλα	картички
φύλλα	листови
φύλλα	лисјата
φύλλα	остава
φύλλα	лисја
φύλλα	постелнина
φύλλα	листови
φύλλα	чаршафи
κίνδυνο	ризик
κίνδυνο	ризикува
κίνδυνο	опасност
αλλιώς	инаку
αλλιώς	иначе
ζει	животи
ζει	живота
πραγματικά	стварно
πραγματικά	навистина
μικρότερη	помала
μικρότερη	помало
μικρότερη	помал
μικρότερη	помали
μικρότερη	покус
μικρότερη	пократок
μικρότερη	пократко
σφαίρα	сферата
σφαίρα	сфера
σφαίρα	куршум
βάθος	длабочина
βήμα	степ
βήμα	чекор
έλλειψη	дефицит
έλλειψη	недостиг
έλλειψη	немање
έλλειψη	недостаток
έλλειψη	недостатокот
έλλειψη	недостиг
έλλειψη	недостаток
εγκαταστάσεις	инсталации
εγκαταστάσεις	инсталации
εγκαταστάσεις	објекти
εγκαταστάσεις	капацитети
εγκαταστάσεις	установи
υψηλή	високиот
υψηλή	висок
υψηλή	висока
υψηλή	хај
υψηλή	високо
υψηλή	high
κοινότητες	заедници
βρέθηκαν	нашол
βρέθηκαν	пронајдени
βρέθηκαν	најдено
βρέθηκαν	пронајдено
βρέθηκαν	пронајдена
βρέθηκαν	најден
κατάλογο	именик
κατάλογο	папка
κατάλογο	каталог
κατάλογο	каталог
κυριαρχία	сувереност
κυριαρχία	суверенитет
κυριαρχία	доминација
κυριαρχία	доминација
βασικά	всушност
διαχειριστές	администратори
διαχειριστές	администратори
διαχειριστές	администраторите
διαχειριστές	раководители
διαχειριστές	менаџери
ευρώ	евра
ευρώ	еур
ευρώ	еврото
