メチル	মিথাইল
内面	অভ্যন্তর
内面	ইনার
内面	ভেতরের
内面	ভিতরের
アーベル	আবেল
孫娘	নাতনি
ブランク	ফাঁকা
エリトリア	ইরিত্রিয়া
エリトリア	ইরিত্রিয়ার
刺青	ট্যাটু
刺青	উল্কি
刺青	ট্যাটু
刺青	উল্কি
ポリシー	পলিসি
ポリシー	নীতিমালা
ポリシー	নীতি
ポリシー	নীতিমালা
ポリシー	নীতিগুলি
ポリシー	নীতি
重度	কঠোর
ベーカー	বেকার
ブレット	ব্রেট
ヴェルナー	ভের্নার
福建省	ফুজিয়ান
ニジェール	নাইজার
ウォーキング	হেটে
ウォーキング	হাঁটা
ウォーキング	হেঁটে
ウォーキング	হাটে
作り方	রেসিপি
レボリューション	বিপ্লব
節約	সঞ্চয়
乳房	স্তন
娼婦	বেশ্যা
クルアーン	কোরান
クルアーン	কুরআন
トレンド	ট্রেন্ড
トレンド	প্রবণতা
トレンド	ট্রেন্ড
トレンド	প্রবণতা
トレンド	চলতি
トレンド	প্রবণতা
ハイキング	হাইকিং
野心	উচ্চাভিলাষী
野心	উচ্চাকাঙ্ক্ষা
インスタント	তাত্ক্ষণিক
インスタント	ইনস্ট্যান্ট
インスタント	তাৎক্ষনিক
インスタント	তাৎক্ষণিক
チェンバレン	চেম্বারলেইন
伝染病	ইনফেকশন
伝染病	সংক্রমণ
人柄	ব্যক্তিত্ব
ソーダ	সোডা
四角	বর্গ
四角	বর্গক্ষেত্র
四角	চতুর্ভূজ
四角	বর্গাকার
ミニチュア	ক্ষুদ্রকায়
ミニチュア	ছোটখাটো
ミニチュア	ক্ষুদ্রাকৃতির
落札	বিক্রীত
悟り	আলোকিত
バーニー	বার্নি
バーニー	বার্নি
刀剣	তলোয়ার
フュージョン	ফিউশন
ウラル	উরাল
グロリア	গ্লোরিয়া
レイノルズ	রেনল্ডস
レックス	রেক্স
さようなら	বিদায়
過激派	চরমপন্থা
過激派	চরমপন্থীদের
過激派	চরমপন্থী
インコ	টিয়া
ミランダ	মিরান্ডা
ヘンリク	হেনরিক
ストリップ	স্ট্রিপ
カウンセリング	কাউন্সেলিং
偽名	ছদ্মনাম
シャトー	château
無実	নিষ্পাপ
無実	নিরীহ
無実	ইনোসেন্ট
無実	নির্দোষ
アンドレアス	আনড্রেয়াস
シェフィールド	শেফিল্ড
マルグリット	marguerite
ソケット	সকেট
ソケット	সকেট
シーサイド	সমুদ্রতীরবর্তী
ヴェローナ	ভেরোনা
トランジスタ	ট্রানজিস্টর
ジュディ	জুডি
プリンター	প্রিন্টার
アーマー	armor
アーマー	বর্ম
チャペル	চ্যাপেল
ヴィクター	ভিক্টর
アブー	আবু
過失	অবহেলা
ジェニー	জেনি
菌類	ছত্রাক
ハムレット	হ্যামলেট
球形	গোলক
攘夷	জোই
無色	বর্ণহীন
サミー	স্যামি
メイヤー	মেয়ার
メイヤー	এলাচি
海辺	সমুদ্রতীরবর্তী
ハンセン病	কুষ্ঠ
清国	qing
ハッシュ	হ্যাশ
配送	বিতরণ
配送	ডেলিভারি
配送	পাঠানো
配送	শিপিং
ジャネット	জ্যানেট
答弁	উত্তর
密輸	চোরাচালান
スロープ	ঢাল
本能	প্রবৃত্তি
ガザ	গাজা
用例	উদাহরণ
プレビュー	প্রাকদর্শন
ゼウス	জিউস
不規則	অনিয়মিত
コロンブス	কলম্বাস
ジンバブエ	জিম্বাবুয়ে
スパン	স্প্যান
ヘラクレス	হারকিউলিস
困惑	বিব্রত
光度	তীব্রতা
ビューティフル	সুন্দর
ビューティフル	সুন্দরী
ナオミ	নাওমি
タタール	tatars
ソリューション	সমাধান
ソリューション	সমাধান
ソリューション	দ্রবণ
同情	সমবেদনা
同情	সহানুভূতির
同情	সহানুভূতি
コーエン	কোহেন
挙動	আচরণ
挙動	আচরন
挙動	আচরণ
サムスン	স্যামসাং
サムスン	samsung
ルネッサンス	নবজাগরণ
足場	ভারা
谷間	ভ্যালি
グリフィス	গ্রিফিথ
ダリ	ডালি
伝言	বার্তা
ニーナ	নিনা
シンボルマーク	প্রতীকচিহ্ন
サーフィン	সার্ফ
サーフィン	সার্ফিং
アンドロイド	android
アンドロイド	এন্ড্রয়েড
憎悪	ঘৃণা
憎悪	বিদ্বেষী
憎悪	ঘৃনা
憎悪	অপছন্দ
憎悪	ঘৃণা
憎悪	hate
特派員	সংবাদদাতা
シャドー	ছায়া
リチャードソン	রিচার্ডসন
花崗岩	গ্রানাইট
花崗岩	ধোঁয়াটে
メソポタミア	মেসোপটেমিয়ার
サガ	সাগা
球面	গোলক
モリソン	মরিসন
まっすぐ	সরল
まっすぐ	সোজা
ホプキンス	হপকিন্স
えりか	এরিকা
手作り	হস্তনির্মিত
購読	সদস্যতা
購読	সদস্যতা
購読	সাবস্ক্রিপশন
購読	সদস্যতা
購読	সাবস্ক্রিপশন
アクシデント	দুর্ঘটনায়
アクシデント	accident
アクシデント	দূর্ঘটনা
アクシデント	দুর্ঘটনা
井手	ide
クルマ	গাড়ী
クルマ	গাড়ি
クルマ	গাড়ির
傾き	ঢাল
傾き	তির্যক
潰し	চটকে
宣誓	শপথ
エルヴィス	এলভিস
衣類	গার্মেন্টস
衣類	গার্মেন্টস
シリコン	সিলিকন
シリコン	দ্রবণ
証書	সার্টিফিকেট
お化け	ভূত
お化け	ভুত
恐ろしい	ভয়াবহ
恐ろしい	ভয়ঙ্কর
ご飯	চাল
ご飯	ধান
ご飯	রাইস
ご飯	ভাত
ご飯	ভাতের
ビーバー	beavers
行き先	গন্তব্য
行き先	গন্তব্যস্থল
狩人	শিকারি
狩人	হান্টার
狩人	শিকারী
フィーチャー	ফিচার
雲南省	ইউনান
グルコース	গ্লুকোজ
パラドックス	প্যারাডক্স
ヒョウ	চিতা
クレイジー	পাগলের
クレイジー	উন্মত্ত
クレイジー	পাগল
クレイジー	এলোমেলো
クレイジー	পাগলা
耐久性	স্থায়িত্ব
ニコン	নিকন
評定	মূল্যায়ন
士気	morale
スイート	স্যুট
スイート	স্যুইট
スイート	suites
二回	দুইবার
二回	দুবার
占星術	জ্যোতিষশাস্ত্র
占星術	জ্যোতিষ
ドルフィン	ডলফিন
シェイク	মাখিয়ে
シェイク	শেক
シェイク	কাত
マラウイ	মালাউই
ディレクトリ	ডিরেক্টরি
ディレクトリ	ডিরেক্টরী
障壁	বাধা
スムーズ	মসৃণ
スムーズ	মসৃন
無力	অসহায়
レヴィ	লেভি
アバター	অবতার
議事	এজেন্ডা
標語	নীতিবাক্য
ハロゲン	হ্যালোজেন
湖北省	হুবেই
酪農	দুগ্ধ
アニ	ani
漏洩	ছিদ্র
しっぽ	লেজ
しっぽ	লেজ
利子	সুদ
利子	আগ্রহ
ストーンズ	পাথর
ストーンズ	পাথরগুলো
チェイス	তাড়া
チェイス	চেজ
レザー	চামড়ার
レザー	লেদার
レザー	চামড়া
ツェッペリン	জেপলিন
ドーハ	দোহা
ウィリス	উইলিস
シンプソン	সিম্পসন
ネプチューン	নেপচুন
砂浜	বিচ
砂浜	বীচ
砂浜	সৈকত
ターミネーター	টার্মিনেটর
寛容	সহনশীলতা
寛容	সহনশীল
分隊	স্কোয়াড
デズモンド	ডেসমন্ড
オカルト	occult
ラサ	লাসা
ガウス	gaussian
ガウス	গাউস
石鹸	সাবান
独学	নিজে
独学	নিজেও
独学	নিজেই
ムガル	mogul
シーザー	সিজার
樹里	জুড়ী
ピーナッツ	চিনাবাদাম
ピーナッツ	চিনাবাদাম
ピーナッツ	পিনাট
トランク	ট্রাঙ্ক
ストール	স্থগিত
被覆	আবরণ
被覆	প্রচ্ছদ
被覆	কভার
プロバイダ	প্রদানকারীদের
プロバイダ	সরবরাহকারী
オートマチック	স্বয়ংক্রিয়
ピカソ	পিকাসো
メールアドレス	ইমেইল
メールアドレス	ইমেল
阪南	হান্নান
ドリフト	ড্রিফট
ドリフト	প্রবাহ
寒い	ঠান্ডা
寒い	ঠাণ্ডা
寒い	কোল্ড
侵食	ভাঙন
地誌	topography
ラッピング	মোড়ানো
ベタ	betta
クーラー	কুলার
フレッチャー	ফ্লেচার
資質	গুণাবলী
資質	গুণাবলীর
混沌	বিশৃঙ্খল
混沌	বিশৃঙ্খলা
混沌	বিশৃঙ্খলার
ボリシェヴィキ	বলশেভিক
柔らかい	কোমল
柔らかい	সফট
柔らかい	নরম
ソクラテス	সক্রেটিস
フィジー	ফিজি
係員	ভ্যালে
グラナダ	গ্রানাডা
景品	বিতরণ
ショートカット	শর্টকাট
ショートカット	শর্টকাট
グレアム	গ্রাহাম
ファウル	ফাউল
メッセンジャー	বার্তাবাহক
メッセンジャー	মেসেঞ্জার
メッセンジャー	রাসূল
メッセンジャー	ম্যাসেঞ্জার
メッセンジャー	messenger
メッセンジャー	রসূল
キーン	তীক্ষ্ণ
矢印	তীরচিহ্ন
矢印	তীরচিহ্ন
矢印	তীর
マーサ	মার্থা
ロリータ	ললিতা
ヒルトン	হিল্টন
金持ち	রিচ
金持ち	ধনী
金持ち	সমৃদ্ধ
記法	অঙ্কপাতন
ネイサン	নাথান
メンデルスゾーン	mendelssohn
石灰岩	চুনাপাথর
ダルムシュタット	ডার্মষ্টাট
ナイアガラ	নায়াগ্রা
ユートピア	ইউটোপিয়া
冥王星	প্লুটো
両足	পা
両足	ফুট
両足	পায়ের
賛美	প্রশংসা
生殖	প্রজনন
生殖	পুনরুৎপাদন
クラゲ	জেলিফিশ
アゲイン	আবার
アゲイン	পুনরায়
サボテン	ক্যাকটাস
横行	প্রসারণশীল
洗剤	ডিটারজেন্ট
精子	বীর
マリリン	মেরিলিন
ガルフ	উপসাগর
ガルフ	উপসাগরীয়
ノヴァ	নোভা
サイクロン	ঘূর্ণিঝড়
サイクロン	সাইক্লোন
グレース	গ্রেস
グレース	অনুগ্রহ
調味料	মশলা
解離	dissociation
プランナー	পরিকল্পক
チャーム	চার্ম
サリン	সারিন
アデレード	অ্যাডিলেড
アデレード	অ্যাডিলেইড
エヴァンス	ইভান্স
被曝	এক্সপোজার
ブレイン	ব্লেইন
ファクター	ফ্যাক্টর
ガールフレンド	প্রেমিকা
ガールフレンド	বান্ধবীকে
ガールフレンド	গার্লফ্রেন্ড
ガールフレンド	বান্ধবী
ネガティブ	নেগেটিভ
ネガティブ	নেতিবাচক
ネガティブ	ঋণাত্মক
着る	পরিধান
ピアース	পিয়ার্স
ピアース	pearce
裁縫	সেলাই
スプーン	চামচ
ハサン	hassan
ハサン	হাসান
ハサン	hasan
ハサン	হাসানের
ハサン	হাসান
トンガ	টোঙ্গা
暗示	প্রস্তাবনা
高分子	পলিমার
塗料	পেইন্ট
塗料	পেন্ট
塗料	পেইন্টস
トピック	বিষয়
トピック	প্রসঙ্গ
トピック	বিষয়াবলী
トピック	বিষয়
トピック	বিষয়গুলি
村民	গ্রামবাসীর
村民	গ্রামবাসীরা
村民	গ্রামবাসীদের
ワイヤレス	ওয়্যারলেস
ワイヤレス	বেতার
注記	টীকা
注記	নোট
ノートン	নর্টন
献身	উৎসর্গ
献身	ভক্তির
対数	লগারিদম
宝くじ	লটারি
無意識	অবচেতন
進捗	প্রগতি
進捗	অগ্রগতি
ウィザード	উইজার্ড
バッタ	ঘাসফড়িং
中性	নিরপেক্ষ
盗難	চুরি
盗難	চোর
ミリメートル	মিলিমিটার
カリブ	ক্যারিবীয়
カリブ	ক্যারিবিয়ান
デービス	ডেভিস
ピアス	পিয়ার্স
世宗	sejong
ニット	বোনা
ニット	বুনতে
ニット	বোনা
ネイチャー	নেচার
ネイチャー	প্রকৃতি
ネイチャー	প্রকৃতির
バビロニア	ব্যাবিলনীয়
エディタ	সম্পাদক
エディタ	এডিটর
コンペ	প্রতিযোগিতা
ネクタイ	টাই
幻覚	হ্যালুসিনেশন
慣性	জড়তা
アトランティス	আটলান্টিস
君主制	রাজতন্ত্র
便器	টয়লেট
便器	শৌচাগার
群衆	ভিড়
群衆	ভিড়
スウィート	মিষ্টি
スウィート	সুইট
スウィート	মধুর
スウィート	sweet
求人	নিয়োগ
求人	চাকরি
求人	চাকুরি
求人	বাহক
求人	পেশা
ローレン	লরেন
リーダーシップ	নেতৃত্ব
リーダーシップ	নেতৃত্বে
リーダーシップ	নেতৃত্বের
顔料	রঙ্গক
贅沢	বিলাসিতা
ミイラ	মমি
ミイラ	মমি
たぶん	হয়তোবা
たぶん	হয়ত
たぶん	হয়তো
たぶん	সম্ভবত
たぶん	সম্ভবতঃ
踊り子	নর্তকী
アレッサンドロ	আলেসান্দ্রো
トリニダード	ত্রিনিদাদ
ドナー	দাতা
共役	সংশ্লেষ
ぶどう	আঙ্গুর
ぶどう	আঙ্গুর
ぶどう	গুর
チェロキー	চেরোকি
アンドロメダ	অ্যানড্রোমিডা
実例	উদাহরণ
孔子	কনফুসিয়াস
ラング	lang
ラング	ল্যাং
衰弱	দূর্বলতা
衰弱	দুর্বলতা
シュルツ	schultz
アンモニア	অ্যামোনিয়া
やり直し	পুনরাবৃত্তি
オースチン	অস্টিন
ビジター	ভিজিটর
ビジター	দর্শকগণ
ビジター	দর্শকরা
リベリア	লাইবেরিয়া
靴下	সক
靴下	socks
靴下	মোজা
内臓	সাহস
ホルダー	ধারক
ホルダー	হোল্ডার
サイゴン	সাইগন
ヒーローズ	বীর
ジョイス	জয়েস
インペリアル	ইম্পিরিয়াল
スタミナ	মনোবল
ポリネシア	পলিনেশিয়া
ホンジュラス	হন্ডুরাস
悲惨	বিয়োগান্তক
パートナーシップ	অংশীদারিত্ব
パートナーシップ	অংশীদারিত্বের
パートナーシップ	পার্টনারশিপ
冷蔵庫	ফ্রিজ
トラス	ট্রাস
財宝	জমিয়ে
コットン	তুলো
コットン	কটন
コットン	তুলা
呼出	ডাক
プログラマー	প্রোগ্রামার
ナッツ	বাদাম
ナッツ	বাদাম
ヴァージニア	ভার্জিনিয়া
ブルック	ব্রুক
ゼリー	জেলি
ゼリー	জেলী
スタント	স্টান্ট
饅頭	মঞ্জু
ドラマチック	নাটকীয়
クロフォード	crawford
弾劾	অভিশংসন
スミ	সুমি
イチゴ	স্ট্রবেরি
イチゴ	স্ট্রবেরি
プロダクト	পণ্য
美味	সুস্বাদু
書き込む	লিখা
書き込む	লিখতে
書き込む	লেখা
書き込む	লিখুন
墓場	সমাধিস্থলে
お祭り	উৎসব
サンゴ	কোরাল
サンゴ	প্রবাল
サファイア	নীলকান্তমণি
良心	বিবেক
良心	বিবেকের
ラバ	খচ্চর
エキスパート	অভিজ্ঞ
エキスパート	এক্সপার্ট
エキスパート	বিশেষজ্ঞ
不運	দুর্ভাগ্য
スラブ	স্ল্যাব
キャッスル	দুর্গ
キャッスル	কেল্লা
そこそこ	মোটামুটিভাবে
六月	অবাঞ্ছিত
六月	জুন
議題	এজেন্ডা
ドラッグストア	ঔষধালয়
ウォード	ওয়ার্ডে
ウォード	ward
ウォード	ওয়ার্ড
ジュネーブ	জেনেভা
ジュネーブ	জেনিভা
錯体	জটিল
錯体	কমপ্লেক্স
長文	সুদীর্ঘ
親切	দয়ালু
親切	রকম
親切	উদারতা
親切	উদারতার
親切	দয়া
ヌイ	নুই
アルティメット	সর্বাধিক
ナイツ	রাত
アイリッシュ	আইরিশ
コミッション	কমিশনের
コミッション	কমিশন
激励	উৎসাহ
激励	অনুপ্রেরণা
オリヴィエ	অলিভিয়ার
執着	অন্ধকারাচ্ছন্ন
どうやら	দৃশ্যত
どうやら	আপাত
どうやら	আপাতত
どうやら	স্পষ্টত
国庫	কোষাগার
シュテファン	স্টিফান
シュテファン	স্টেফান
インナー	ইনার
インナー	ভেতরের
インナー	ভিতরের
彫像	মূর্তি
彫像	মূর্তিগুলো
彫像	মূর্তি
彫像	মুর্তি
レディング	রেডিং
ジェラール	জেরার
返信	উত্তর
返信	প্রত্যুত্তর
返信	জবাব
返信	প্রত্যুত্তর
焼く	বেক
焼く	বেকিং
消化器	হজম
消化器	ডাইজেস্ট
オデッサ	ওডেসা
子午線	মেরিডিয়ান
ボルボ	ভলভো
引き出す	সরে
四月	এপ্রিল
メアリ	মরিয়ম
メアリ	মেরি
雑草	গাঁজা
ボーダー	প্রান্তরেখা
ボーダー	সীমার
ボーダー	সীমানা
ユン	ইউন
ハバナ	হাভানা
水門	sluice
アナル	পায়ু
アーリントン	আর্লিংটন
ニューマン	নিউম্যান
典礼	liturgy
エジソン	এডিসন
ピッチャー	কলসী
ドミンゴ	ডোমিঙ্গো
ミキシング	মেশানো
チェチェン	চেচনিয়া
プロファイル	প্রোফাইল
プロファイル	বৃত্তান্ত
プロファイル	প্রোফাইল
マゼラン	ম্যাগেলান
後見人	অভিভাবক
後見人	গার্ডিয়ান
後見人	গার্ডিয়ান
フリオ	জুলিও
射精	বীর্যপাত
射精	বীর্যপাতের
点滅	ঝলকানি
点滅	পলক
ヴァル	ভ্যাল
司書	গ্রন্থাগারিক
整合性	শুদ্ধতা
整合性	অখণ্ডতা
整合性	বিশুদ্ধতা
皮質	cortex
砂利	নুড়ি
ジーンズ	জিন্স
ジーンズ	জিনস
ミット	মিট
シビック	নাগরিক
刃物	ব্লেড
ジョーイ	জোয়ি
積み重ね	স্তুপীকৃত
屈辱	অপমান
冗長	অনাবশ্যক
手首	কব্জির
ヨガ	যোগব্যায়াম
ヨガ	যোগ
マトリックス	ম্যাট্রিক্স
ジョーン	জোয়ান
甲殻	crustacea
旦那	স্বামীর
旦那	স্বামী
算術	পাটীগণিত
夕食	নৈশভোজ
夕食	ডিনার
夕食	নৈশভোজ
フリップ	ফ্লিপ
フリップ	উল্টানো
デレク	ডেরেক
疑似	ছদ্ম
憎しみ	ঘৃনা
憎しみ	অপছন্দ
憎しみ	ঘৃণা
憎しみ	hate
マッピング	ম্যাপিং
縄張り	টার্ফ
インディペンデント	ইন্ডিপেন্ডেন্ট
インディペンデント	স্বাধীন
モルドバ	মলদোভা
ヴュルツブルク	উর্জবার্গ
歪み	রেজোলিউশন
パイル	স্তূপ
公報	বুলেটিন
カレル	karel
カリン	কারিন
キャロライン	ক্যারোলিন
述語	অবচিত
ジェローム	জেরোম
南極大陸	অ্যান্টার্কটিকা
ビースト	জন্তু
ビースト	জানোয়ার
ビースト	পশু
セビージャ	সেভিলা
セビージャ	সেভিয়া
恥ずかしい	বিব্রত
恥ずかしい	বিব্রতকর
恥ずかしい	লজ্জিত
ビショップ	বিশপ
ビショップ	গজ
レア	রিয়া
レア	দুষ্প্রাপ্য
レア	দুর্লভ
レア	বিরল
パトリシア	প্যাট্রিসিয়া
ベーコン	বেকন
ボトム	নীচে
オーガスタ	অগাস্টা
ブータン	ভুটানের
ブータン	ভুটান
ブータン	ভূটান
クラシカル	ক্লাসিক্যাল
ウェバー	webber
オーム	ওম
髪の毛	হেয়ার
髪の毛	চুলের
髪の毛	চুল
髪の毛	কেশ
オイゲン	eugen
教会堂	চার্চ
教会堂	গির্জার
教会堂	গির্জা
教会堂	গীর্জা
線量	ডোজ
エンパイア	এম্পায়ার
エンパイア	সাম্রাজ্য
靭帯	লিগামেন্ট
ジェンダー	লিঙ্গ
ペニー	পেনি
新生児	নবজাত
新生児	নবজাতকের
プログレッシブ	প্রগতিশীল
プログレッシブ	ক্রমবর্ধমান
チラシ	ফ্লায়ার
結び目	নট
結び目	গিঁট
ヘイ	এই
ヘイ	হেই
ヘイ	আরে
ヘイ	হে
ユダ	জুডাস
カウボーイ	রাখাল
カウボーイ	কাউবয়
カウボーイ	কাউবয়
イタリアン	ইতালিয়ান
イタリアン	ইতালীয়
イタリアン	ইতালিয়
手がかり	সুত্র
斑点	চিহ্নিত
斑点	দাগ
領事館	কনস্যুলেট
洋服	জামাকাপড়
洋服	কাপড়
ツーリング	বেড়ানোর
パープル	রক্তবর্ণ
亜熱帯	subtropical
シルビア	সিলভিয়া
エレクトロニック	ইলেকট্রনিক
エレクトロニック	ইলেক্ট্রনিক
ギュンター	guenther
ビキニ	বিকিনি
ウルス	ulus
プログレス	প্রগতি
プログレス	অগ্রগতি
リチャーズ	রিচার্ডস
モンク	সন্ন্যাসী
モンク	ভিক্ষু
ハンサム	সুদর্শন
バイキング	ভাইকিং
ティモシー	টিমোথি
貯水池	জলাধার
ダンシング	নাচ
ダンシング	নেচে
キジ	মথুরা
ミケランジェロ	মাইকেলেঞ্জেলো
コメディー	কমেডি
自白	স্বীকারোক্তি
ときどき	মাঝে
ときどき	কখনো
エキスポ	এক্সপো
マネージャ	ব্যবস্থাপক
マネージャ	ম্যানেজার
マネージャ	পরিচালকদের
祈る	প্রার্থনা
ヒース	হিথ
バウンド	আবদ্ধ
ブラインド	অন্ধ
ザンビア	জাম্বিয়া
ザンビア	জাম্বিয়ার
ザンビア	জাম্বিয়ান
きのこ	মাশরুম
ピント	পিন্টো
腕時計	দেখবেন
腕時計	দেখুন
フィードバック	প্রতিক্রিয়া
フィードバック	মতামত
フィッシュ	মাছের
フィッシュ	মাছ
バンカー	বাঙ্কার
コーティング	প্রলেপ
タイタニック	টাইটানিক
ボニー	বনি
敬語	honorific
手袋	গ্লাভস
磨き	উজ্জ্বল
磨き	চকচক
磨き	জ্বলতে
磨き	জ্বলে
アクア	অ্যাকোয়া
フェノール	ফেনল
スピリッツ	স্পিরিট
ホタル	জোনাকী
絶えず	প্রতিনিয়ত
絶えず	ক্রমাগত
スカラー	scalar
ジュエリー	গয়না
ジュエリー	গহনা
ジュエリー	গয়না
ジュエリー	অলঙ্কার
エグゼクティブ	এক্সিকিউটিভ
エグゼクティブ	নির্বাহী
試薬	reagent
ビリヤード	billiard
ビリヤード	বিলিয়ার্ড
バルク	বাল্ক
バッキンガム	বাকিংহাম
パシャ	পাশা
カナディアン	কানাডিয়ান
十代	টিন
頭蓋骨	খুলি
マルコス	মার্কোস
バースデー	জন্মদিন
ダマスカス	দামেস্ক
非対称	asymmetric
イニシャル	প্রাথমিক
イニシャル	প্রারম্ভিক
ケージ	খাঁচায়
ケージ	খাঁচা
ケージ	কেজ
スクーター	স্কুটার
路地	গলিতে
ミセス	মিসেস
総和	summation
総和	যোগফল
総和	সাম
二月	ফেব্রুয়ারি
二月	ফেব্রুয়ারী
二月	ফ্রেব্রুয়ারি
平泳ぎ	ব্রেস্টস্ট্রোক
トッテナム	টটেনহ্যাম
あこがれ	আকাঙ্খা
あこがれ	আকাঙ্ক্ষা
エタノール	ইথানল
ソーシャル	সামাজিক
ソーシャル	সোশ্যাল
タジキスタン	তাজিকিস্তান
ゲイツ	দরজা
ゲイツ	গেটস
争点	ইস্যু
減衰	ক্ষয়
チャラ	চালা
誓約	অঙ্গীকার
音量	ভলিউম
音量	আওয়াজ
音量	আয়তন
トランジット	অতিক্রম
トランジット	ট্রানজিট
禁酒	নিষেধাজ্ঞার
バイナリ	বাইনারি
リフォーム	সংস্কার
リフォーム	সংস্কার
ダンプ	ডাম্প
ストライプ	ফিতে
ストライプ	বেত্রাঘাত
待ち伏せ	অ্যামবুশ
引き金	ট্রিগার
アブドゥル	আবদুল
アブドゥル	আব্দুল
モニタ	মনিটর
モニタ	মনিটর
ブレイド	ব্লেড
カフカ	কাফকা
ダイアン	ডায়ান
キル	হত্যা
キル	মেরে
ブレーク	ব্রেক
ブレーク	বিরত
ブレーク	ভেঙ্গে
ブレーク	বিরতি
マラリア	ম্যালেরিয়া
バニラ	ভ্যানিলা
リバティ	লিবার্টি
座る	বসতে
ライジング	উদয়
ライジング	রাইজিং
ライジング	ক্রমবর্ধমান
任用	সাক্ষাৎকার
昼食	লাঞ্চ
昼食	মধ্যাহ্ন
昼食	লাঞ্চের
ミュータント	মিউট্যান্ট
相手方	প্রতিপক্ষ
ビニール	প্লাস্টিক
シンク	সিংক
シンク	ভাবতে
シンク	মনে
シンク	ভাবুন
ディクソン	ডিক্সন
ディクソン	ডিকসন
プログラマ	প্রোগ্রামার
プログラマ	প্রোগ্রামার
歯学	dentistry
ローレル	লরেল
小麦粉	আটা
小麦粉	ময়দা
殺人犯	খুনি
殺人犯	খুনী
アトレチコ	অ্যাটলেটিকো
サンダーバード	থান্ডারবার্ড
小冊子	ইস্তেহার
乳児	নবজাতক
乳児	শিশু
受難	প্যাশন
受難	নেশা
受難	আবেগের
受難	আবেগ
ロイター	রয়টার্স
アフロ	আফ্রো
ローマン	রোমান
ヒラリー	হিলারী
ヒラリー	হিলারি
ヒラリー	হিলারী
ヒラリー	হিলারি
包み	পার্সেল
モンティ	মন্টি
キラ	কিরা
エレメント	এলিমেন্ট
エレメント	মৌল
エレメント	উপাদান
ポーカー	পোকার
ブレス	আর্শীবাদ
ブレス	আশীর্বাদ
ブレス	নিঃশ্বাস
ブレス	শ্বাস
ブレス	নিশ্বাস
ブレス	নিঃশ্বাসের
歳入	আয়
歳入	রাজস্ব
アルプ	আল্প
別居	বিচ্ছেদ
別居	পৃথকীকরণ
モグラ	মোল
無知	মূর্খ
無知	অজ্ঞ
無知	অজ্ঞতা
無知	অজ্ঞতার
ネガ	নেগেটিভ
ネガ	নেতিবাচক
ネガ	ঋণাত্মক
恩赦	অ্যামনেস্টি
恩赦	ক্ষমা
血清	সিরাম
入園	ভর্তি
入園	ভর্তির
ふけ	খুশকি
ナイトメア	দুঃস্বপ্ন
歯科医	ডেন্টিস্ট
アスレチックス	দৌড়বাজী
ハーディ	হার্ডি
頑固	একগুঁয়ে
可逆	reversible
ウェーブ	ঢেউ
ウェーブ	তরঙ্গ
低木	ঝোপ
低木	গুল্ম
毛髪	হেয়ার
毛髪	চুলের
毛髪	চুল
毛髪	কেশ
散々	চুষে
アヒル	হাঁস
おすすめ	প্রস্তাবিত
おすすめ	প্রস্তাবনাগুলি
おすすめ	সুপারিশ
おすすめ	প্রস্তাবনা
おすすめ	প্রস্তাবনাগুলি
おすすめ	প্রস্তাবসমূহ
おすすめ	সুপারিশকৃত
おすすめ	সুপারিশ
銃剣	বেয়নেট
セーフ	নিরাপদ
セーフ	সুরক্ষিত
イーゴリ	ইগোর
浮動	ভেসে
浮動	ফ্লোটিং
浮動	ভাসমান
あいまい	ফাজি
材木	কাঠের
滑空	গ্লাইডিং
キャシー	ক্যাথি
振幅	amplitude
グリニッジ	গ্রিনউইচ
サウサンプトン	সাউদাম্পটন
リバース	নবজন্ম
リバース	বিপরীত
生贄	বলিদান
生贄	কোরবানী
生贄	ত্যাগের
生贄	ত্যাগ
生贄	বলিদান
生贄	বিসর্জন
ジェミニ	মিথুন
パビリオン	প্যাভিলিয়ন
ジョブ	কর্মস্থল
ジョブ	চাকরি
ジョブ	কর্ম
ジョブ	চাকুরি
ジョブ	চাকরী
ジョブ	কাজ
ジョブ	চাকরি
ジョブ	চাকুরি
グルーヴ	খাঁজ
先例	নজির
アレキサンダー	আলেকজান্ডার
アレキサンダー	অ্যালেকজান্ডার
シルバ	সিলভা
バレット	ব্যারেট
奥行き	গভীরতা
ユトレヒト	utrecht
イースター	ইস্টার
エベレスト	এভারেস্ট
液化	তরলীকৃত
バックグラウンド	পটভূমি
エディター	সম্পাদক
ピクニック	পিকনিক
ピクニック	বনভোজন
におい	সুগন্ধ
におい	গন্ধ
スロットル	কাঁপুনি
ジグ	জিগ
フクロウ	পেঁচা
アドレナリン	অ্যাড্রেনালিন
ルイジ	luigi
ステュアート	স্টুয়ার্ট
拾遺	শুইয়ে
ピリオド	ব্যস
ピリオド	সময়কাল
皇太后	dowager
チュートリアル	টিউটোরিয়াল
チュートリアル	টিউটোরিয়াল
リモート	দূরবর্তী
ルキウス	লুসিয়াস
トリポリ	ত্রিপোলি
マッケンジー	ম্যাকেঞ্জি
ピール	খোসা
修飾	আইডেন্টিফায়ার
キャンバス	ক্যানভাস
キャンバス	চিত্রপট
琥珀	অ্যাম্বার
フレミング	ফ্লেমিং
スイカ	তরমুজ
装束	কস্টিউম
チャップマン	চ্যাপম্যান
ブーメラン	boomerang
敬虔	ধার্মিক
