فرعون	paraon
آشفته	nabalisa
آشفته	naiinis
آشفته	nalilito
واگنر	wagner
غرور	pride
غرور	ipinagmamalaki
غرور	pagmamalaki
غرور	vanity
سونامی	tsunami
مدیون	utang
لویس	luis
ساب	saab
ساب	sub
ساب	rap
ساندرلند	sunderland
چریکی	pakikidigmang
کوارتز	quartz
سولفید	sulfide
تلمود	talmud
کشتیرانی	pagdadala
کشتیرانی	pagpapadala
اسپین	spin
رومانیایی	romanian
آرایشی	makeup
آرایشی	pampaganda
گلف	golf
ارتدوکس	ortodoksong
آماندا	amanda
ول	val
ویلن	violin
صحابه	sahabah
کریکت	cricket
کریکت	kuliglig
مینو	minho
آغوش	yakap
آغوش	arms
آغوش	armas
آغوش	yakap
دوقطبی	bipolar
دوقطبی	dipole
انریکه	enrique
موصل	mosul
آشفتگی	nagkagulo
آشفتگی	kaguluhan
آشفتگی	pagkalito
توسکانی	toskano
توسکانی	tuscany
ریتمیک	maindayog
مهتاب	moonlight
زیباست	ganda
زیباست	maganda
خسارات	pagkalugi
دردسر	trouble
دردسر	suliranin
دردسر	problema
گچی	plaster
فلامستید	flamsteed
تکانه	momentum
دیل	dale
پروستات	prostate
داون	dawn
داون	liwayway
نزدیکان	relatives
نزدیکان	kamaganak
امداد	tulong
امداد	kaluwagan
امداد	relief
سواره	nakasakay
سیاستهای	patakaran
بزمجه	monitor
هیدروکسید	hydroxide
گرنت	grant
دیلی	dili
دیلی	daily
گردهمایی	reunion
بیگانگان	alien
دبیرخانه	secretariat
توصیفی	estadistikang
دوقلو	kambal
دوقلو	twin
دوقلو	kambal
چاقو	kutsilyo
استات	acetate
اورژانس	emerhensiyang
اورژانس	emerhensiya
اورژانس	emergency
کانت	kant
دانکن	duncan
فایرفاکس	firefox
لادن	laden
لادن	karga
تعمیرات	repair
تعمیرات	pagsasaayos
رقمی	digital
براق	glitter
براق	kumikinang
براق	makintab
براق	makintab
کاکایی	bako
بروکس	brooks
شورولت	chevrolet
آدینه	kongregasyon
آدینه	biyernes
رستگاری	kaligtasan
آلکس	alex
برمودا	bermuda
وایادولید	valladolid
دلیجان	coach
نپتون	neptuno
فمینیست	feminist
گمرک	kaugalian
گمرک	customs
معرف	kumakatawan
کلکته	kolkata
کلکته	calcutta
نهی	ipinagbabawal
نهی	ipinagbabawal
نهی	bawal
نهی	pinagbabawal
بریتانیکا	britannica
توپولوژی	topology
پرسید	itinanong
پرسید	nagtanong
پرسید	tinanong
گنجه	ganja
گنجه	closet
هک	hack
هک	hack
گوتینگن	göttingen
نیکولای	nikolay
نیکولای	nikolaj
گیج	gage
گیج	nalilito
ناتالی	natalie
ناتالی	nathalie
رویا	dream
رویا	pinapangarap
رویا	panaginip
رویا	pangarap
واکنشی	sasagot
واکنشی	tumutugon
واکنشی	reaksyon
واکنشی	reaction
میلتون	milton
کارآگاه	detective
کارآگاه	tiktik
مرجانی	sagay
مرجانی	coral
مرجانی	koral
افتتاحیه	pangunahin
افتتاحیه	inauguration
افتتاحیه	pagtatalaga
افتتاحیه	pagbubukas
افتتاحیه	binubuksan
افتتاحیه	opening
نیترات	nitrate
کالینز	collins
گابن	gabon
جدای	jedi
جیل	jill
ضمنی	ipinahihiwatig
مزه	lasa
مزه	natikman
مزه	lasa
سریا	soria
بلاک	harangin
بلاک	harang
بلاک	block
بیستمین	twentieth
اتیل	ethyl
مائو	mao
همسری	asawa
کراس	krus
کراس	cross
مقوله	kategorya
اسیران	naglaban
لیما	lima
فامیل	kapamilya
فامیل	pamilya
ستم	makatarungan
خوآن	juan
مرخصی	bakasyon
مرخصی	vacation
ماکسول	maxwell
برونئی	brunei
طارق	tariq
سرخرگ	arterya
آتاری	atari
فیلمساز	filmmaker
انطباق	pagkakataon
بازداشتگاه	brig
حوصله	kalooban
حوصله	mood
همون	parehong
همون	same
شار	shar
شار	flux
جوئل	joel
قبولی	acceptance
قبولی	pagtanggap
گهواره	duyan
پینگ	ping
بریتنی	brittany
توانا	powerful
توانا	makapangyarihang
توانا	makapangyarihan
آخرالزمان	doomsday
آخرالزمان	apocalypse
سپاسگزارم	nagpapasalamat
گواه	testigo
گواه	witness
باتلر	butler
معاش	kabuhayan
معاش	ikabubuhay
آوایی	ponetika
سوختن	sunugin
سوختن	paso
سوختن	nasusunog
معترض	kritiko
سامرست	somerset
نمایه	profile
نمایه	index
فنجان	tasa
فنجان	kopa
عالیه	pambihira
عالیه	galing
عالیه	sarap
عالیه	magaling
هابل	hubble
روکش	pads
روکش	kumot
ژولیوس	julius
تریاک	opyo
کاونتری	coventry
عایشه	aisha
استیت	state
استیت	estado
همسایگان	kapitbahay
برخورداری	kasiyahan
تامس	thomas
آندرس	andres
آندرس	andrés
آندرس	anders
بندیکت	benedict
بندیکت	benedicto
پیوستگی	tuloy
دکستر	dexter
استوانه	cylinder
سافت	malambot
آلبیون	albion
ولد	vlad
ولد	weld
مدلهای	models
مدلهای	modelo
فارو	faro
فارو	faroe
لوور	louvre
کیان	kian
مجرم	kriminal
مجرم	guilty
دربرگیرنده	kasama
دربرگیرنده	inclusive
مست	lasing
سکاها	eskito
درو	drew
فیسبوک	facebook
مشارکتی	tulungang
برادری	kapatiran
الا	ella
الا	ala
شرلی	shirley
فریزر	fraser
داگ	doug
قلیایی	alkalina
قلیایی	metals
تاک	tak
میهمان	bisita
میهمان	panauhin
میهمان	guest
میهمان	panauhin
روسو	rosso
روسو	russo
روسو	rousseau
بیسائو	bissau
مالکوم	malcolm
عدل	katarungan
عدل	hustisya
عدل	equity
والا	high
والا	mataas
والا	vala
والا	dakilang
ارجمند	honorable
مشعل	sulo
توسل	apila
توسل	umapela
توسل	apela
قفقازی	caucasian
آسایش	kaginhawahan
آسایش	kaginhawaan
رویای	dream
رویای	pinapangarap
رویای	panaginip
رویای	pangarap
مارین	marin
مارین	marine
سواران	riders
استرلینگ	sterling
استرلینگ	stirling
استقامت	pasyente
تشبیه	metapora
کاست	kasta
کاست	cassette
جکی	jackie
کتابها	libro
کتابها	aklat
دهانی	bibig
خاله	tiyahin
خاله	tita
خاله	tiya
نینا	nina
آذرخش	bolt
آذرخش	kidlat
آذرخش	lightning
تجسم	paggunita
تجسم	mailarawan
لوین	levin
کوارک	quark
تشکل	harang
تشکل	bloc
ترینیتی	trinity
ترینیتی	trinidad
فتنه	panunukso
فتنه	tukso
فو	phu
مدونا	madonna
وودی	woody
کثیف	marumi
سرآغاز	prologue
مسجدی	mosque
استانداردها	pamantayan
آفرین	bravo
متروپولیتن	metropolitan
سالوادور	salvador
شفیع	shafi
جدال	controversy
جدال	alitan
جدال	pagtutol
دکترین	doktrina
دکترین	doctrine
طبقاتی	klase
اشلی	ashley
کشمکش	nahihirapang
کشمکش	pakikibaka
کشمکش	struggle
کشمکش	pagsalungat
کشمکش	salungat
نورپردازی	lighting
نورپردازی	ilaw
واحدها	units
واحدها	yunit
تامپسون	thompson
مشتاق	sabik
مشتاق	masigasig
نیوتون	newton
یکپارچگی	integration
دیگ	pot
دیگ	palayok
دیگ	kaldero
نمکی	asin
جریانی	batis
جریانی	daloy
فوربز	forbes
درمانگاه	klinika
درمانگاه	clinic
قانونگذاری	distritong
قانونگذاری	legislation
کرالا	kerala
زیرزمین	underground
زیرزمین	saligan
زیرزمین	silong
زیرزمین	basement
نگهبانان	guwardiya
نگهبانان	keepers
عقرب	scorpio
عقرب	scorpion
رایس	palay
رایس	rice
رایس	kanin
رایس	bigas
رایس	reiss
ولگا	volga
دمکرات	demokratiko
آمارهای	istatistika
بیندازید	cast
تریسی	tracy
لمور	lemur
بون	bon
بون	boone
مجارستانی	hungarian
طاعون	salot
دعوا	aaway
دعوا	fighting
مرموز	mystical
جولیان	julian
متا	meta
اسپرینگز	springs
نوارهای	tapes
اکسپلورر	explorer
گرو	grove
لبنانی	lebanese
سرگردان	libot
سرگردان	gala
سرگردان	wander
الکترود	electrode
الکترود	electrodes
خیزش	warsaw
درین	drain
پذیرفتن	acceptance
پذیرفتن	pagtanggap
نشنال	national
نشنال	pambansa
نشنال	pambansang
نشنال	nasyonal
شیره	syrup
باتیستا	bautista
باتیستا	battista
باتیستا	batista
فدایی	compensation
فدایی	sweldo
اهریمن	dimonyo
اهریمن	demonyo
سیرک	circus
نشت	leak
نشت	makalabas
گریم	makeup
گریم	pampaganda
دیود	diode
بنک	pampang
بنک	bangko
بنک	bangko
ولید	walid
پنی	penny
اوبونتو	ubuntu
دوحه	doha
کازان	kazan
مادرزادی	sapul
شبی	gabi
خریدار	bibili
خریدار	bumibili
خریدار	pagsisisi
خریدار	mamimili
خریدار	bilhin
خریدار	pagbili
خریدار	bumili
خریدار	binibili
خریدار	binili
نیچه	nietzsche
فنول	phenol
برگی	dahon
نگارگری	binyagan
نگارگری	binyag
نگارگری	bautismo
ترمز	preno
ایستا	galaw
ایستا	static
پائول	paul
پائول	pablo
دالی	dali
دالی	dolly
تورینگن	thuringia
کلانتر	keiji
یهودا	judas
یهودا	hudas
یهودا	judah
ویتوریا	vittoria
پنگوئن	penguin
سیلیکون	silicone
سیلیکون	silicon
سریانی	syriac
ستوان	tenyente
لمباردی	lombardy
ادیسون	addison
ادیسون	edison
فرای	fry
فرای	frye
رودولف	rudolph
رودولف	rudolph
رودولف	rudolf
ایوب	trabaho
ایوب	job
گودال	butas
گودال	goodall
چله	midsummer
برنزی	bronze
وا	wah
خلاق	produktibo
خلاق	creative
خلاق	malikhain
مدلی	medley
آشپزخانه	kusina
آنتالیا	antalya
کارمن	carmen
سیرا	sierra
جیبوتی	djibouti
هوس	libog
هوس	kahalayan
هوس	pagnanais
هوس	desire
هوس	nais
دوما	dumas
دوما	duma
شکارچیان	hunters
فرمی	fermi
کلاهک	takip
کلاهک	cap
کلاهک	payload
سفینه	barko
سرکه	suka
جانز	johns
مهیا	naghanda
مهیا	handa
مهیا	inihanda
سکو	platform
سکو	plataporma
کود	fertilizer
کود	pataba
لوسیا	lucia
عروسکی	manika
عروسکی	manikang
عروسکی	doll
اولیویرا	oliveira
لاری	larry
پافشاری	pagtitiyaga
قطعیت	katiyakan
نهادی	institutional
سرطانی	kanser
پیل	peel
پیل	balat
گردشی	displacement
دیپلماسی	diplomasya
عواقب	kahihinatnan
تیروئید	thyroid
کاردیف	cardiff
ژوزه	jose
ژوزه	josé
آدلاید	adelaide
فروسرخ	infrared
هیمالیا	himalayas
هیمالیا	himalayan
سینگ	singh
بازاری	merkado
بازاری	palengke
بازاری	pamilihan
بازاری	market
دیون	dion
شعاعی	paikot
شعاعی	pabilog
نگهبانی	guard
نگهبانی	bantay
تشنج	seizures
تشنج	seizure
کوانتوم	kabuuan
چرم	leather
بیتلز	beatles
بیابد	nahahanap
بیابد	humanap
جیک	jake
مهد	duyan
ریچاردسون	richardson
سبد	basket
نورون	neuron
هیون	hyun
هیون	tuluyan
ساندویچ	sandwich
مرشد	mentor
طلسم	alindog
طلسم	charm
میگل	miguel
دانشگاههای	unibersidad
اسقفی	episcopal
عادلانه	patas
بازگشته	ibabalik
بازگشته	binalik
روشنفکری	intelektuwal
روشنفکری	intellectual
زکریا	zacarias
ارغوانی	purple
ارغوانی	ube
ارغوانی	lila
پارکینگ	parking
قنطورس	centauri
خلوت	pribado
خلوت	pribadong
خلوت	privacy
اپراتور	operator
صدفی	kabibe
اشتیاق	pananabik
اشتیاق	passion
اشتیاق	sigasig
زحل	saturn
تخلفات	kasalanan
تخلفات	pagkakasala
تخلفات	offense
سامورایی	samurai
تون	tone
تون	tono
تفاسیر	commentaries
آنهالت	anhalt
ایزابل	isabel
ایزابل	isabelle
رگ	reg
رگ	ugat
پرز	perez
ویلیس	willis
نوترون	moderator
نوترون	tagapamagitan
نوترون	neutron
پلکان	gat
پلکان	hagdan
نوآر	noir
لحظات	moments
لحظات	sandali
سوربن	sorbonne
خلأ	vacuum
سهمیه	quota
خیار	pipino
خیار	cucumber
امت	pamayanan
امت	komunidad
امت	ummah
لیزا	lisa
گوشتی	karne
گوشتی	laman
صابر	sable
صابر	saber
پاکستانی	pakistani
قضات	judges
کاشته	nagtanim
کاشته	nakatanim
قاشق	kutsara
باقیمانده	natira
جاویدان	immortal
دیکتاتور	diktador
چاره	solusyon
بخاری	pampainit
بخاری	heater
بخاری	bukhari
اریش	erich
اورانوس	urano
چن	chen
آمریکن	amerikano
طبی	cannabis
طبی	medikal
طبی	medical
دایناسورها	dinosaurs
بطلمیوس	ptolomeo
توازن	paridad
توازن	balanse
برادوی	broadway
ویس	vis
ویس	weiss
امیلیا	emilia
امیلیا	amelia
کارنگی	carnegie
کنیسه	sinagoga
کوردوبا	córdoba
کوردوبا	cordoba
تابوت	kabaong
ترانس	trans
آرتمیس	artemis
پک	peck
پک	pac
پک	pack
تفسیری	komentaryo
عذاب	doom
نقاب	mask
نقاب	maskara
رنگارنگ	makulay
رنگارنگ	makulay
ولورهمپتون	wolverhampton
اولیور	oliver
انتساب	magtalaga
انتساب	italaga
دومینیک	dominic
فردریش	friedrich
جانگ	jang
اوون	owen
پروتئینی	protina
چانگ	chang
چانگ	chung
سلتیک	keltiko
صهیونیسم	siyonismo
آلو	sirwelas
آلو	aloe
چیس	chase
پلیمر	polimero
خلاء	vacuum
پشتون	tribes
ثانوی	pangalawang
ادواردو	eduardo
مارتن	martin
مارتن	maarten
کباب	barbecue
کباب	kebab
مای	mai
مای	mae
آیزاک	isaac
تلف	basura
آلان	allan
آلان	alan
اکسل	axel
کجای	saan
کجای	asan
کینه	vengeance
کینه	malisya
زیرگونه	subspecies
نیمکره	hemispero
حکاکی	inukit
ساکورا	sakura
تولوز	toulouse
رقصنده	dancer
رقصنده	mananayaw
رقصنده	dancer
متعاقب	alinsunod
نش	nash
ماکسیمیلیان	maximiliano
اعترافات	confessions
سوزاندن	sunugin
سوزاندن	paso
سوزاندن	nasusunog
مارمولک	butiki
مارمولک	butiking
کنایه	panunuya
حمص	homs
کلم	cabbage
امگا	omega
پالرمو	palermo
زنانی	kababaihan
دونده	runner
ماکیان	cygnus
متغیرها	variable
متغیرها	variables
خار	dawag
غازی	ghazi
نبردناو	battleship
شارجه	sharjah
چینگ	ching
جرالد	gerald
بخشش	awa
بخشش	kapatawaran
کاربردها	aplikasyon
مبنا	base
اتین	étienne
ادو	ado
ادو	edo
ادو	edu
اتاقی	silid
اتاقی	kuwarto
اتاقی	kwarto
مرزها	borders
مرزها	frontiers
شبنم	dew
بوهم	bohemia
گذرنامه	pasaporte
گذرنامه	passport
مکعبی	kubiko
شهابی	bulalakaw
شهابی	meteor
موسیقیدان	musikero
هیوز	hughes
تخیل	imahinasyon
تقلیل	reduction
تقلیل	perwisyo
دومینیکا	ehipto
دومینیکا	dominica
چیا	chia
دویل	doyle
بردگی	slavery
هنریک	henrik
هنریک	henryk
خراج	tributes
اپوزیسیون	pagsalungat
لاستیک	goma
لاستیک	gulong
تشخیصی	diagnostic
دامپزشکی	veterinary
مینگ	ming
پتی	petty
پتی	patty
کرکس	buwitre
صیاد	predator
آلبر	albert
آصف	asif
دات	tuldok
دات	dot
گذشتن	pagpasa
گذشتن	passing
گذشتن	ipinapasa
مقصر	blame
مقصر	sisihin
مقصر	sinisisi
مقصر	salarin
گوته	goethe
ناخدا	captain
ناخدا	kapitan
ناخدا	kapitana
درخشندگی	ningning
درخشندگی	glitter
مخلوطی	halo
ساید	sid
متان	methane
گرانادا	grenada
گرانادا	indonesya
گرانادا	granada
استثنا	eksepsiyon
آمین	amen
اصطکاک	kiskisan
گامبیا	gambiya
هور	hur
سوماترا	sumatra
کوزه	jar
کوزه	jugs
فرابنفش	ultrabiyoleta
دوزخ	impiyerno
دوزخ	hell
دوزخ	inferno
دروغین	maling
دروغین	false
گالیله	galileo
الکسی	alexei
هاو	hao
هاو	howe
مارتینز	martinez
پروفایل	profile
تسریع	akselerasyon
شربت	katas
شربت	juice
شربت	syrup
الوار	troso
میوسن	mioseno
سیگما	sigma
برک	burke
آیچی	aichi
آبجو	serbesa
آبجو	beer
مات	mott
فراغت	leisure
شیردهی	pagpapasuso
کارآفرینی	pagnenegosyo
بطری	bote
کلئوپاترا	cleopatra
ذغال	uling
شاپرک	moth
اورتن	orton
مفعول	bagay
مفعول	object
مفعول	ibaba
مفعول	ilalim
کرمی	uod
کربوکسیلیک	carboxylic
اروین	erwin
اروین	irwin
ضربان	pulso
ضربان	tibok
آیینه	salamin
آیینه	gayahin
آیینه	mirror
کفر	pagtataksil
کفر	maiksing
مالکی	maliki
حلزون	kuhol
دانوب	danubio
فاسد	corrupt
فاسد	kurakot
فاسد	bulok
ابرها	ulap
نویسه	char
نویسه	character
نویسه	characters
چسب	adhesive
چسب	pandikit
سیلویا	silvia
سیلویا	sylvia
شناختن	makilala
شناختن	kilalanin
ژاندارمری	gendarmerie
اویلر	euler
سرسخت	pasaway
کلینیک	klinika
کلینیک	clinic
پیشگویی	hula
قولی	pangako
قولی	promise
مردانی	kalalakihan
سیکورسکی	sikorsky
آریل	ariel
لینچ	lynch
پیشنهادهای	mungkahi
پیشنهادهای	panukala
شیرهای	lions
ترامپ	trump
فارنهایت	fahrenheit
خردمند	talino
خردمند	matalino
اژه	aegean
