масла	oils
вечен	timeless
вечен	mải
зоран	zoran
пластмаса	nhựa
пластмаса	nhựa
пластмаса	plastic
влашки	vlach
квадратен	đc
квадратен	square
квадратен	vuông
дубровник	dubrovnik
чесън	tỏi
кълбо	orb
агрипина	agrippina
бок	pak
бок	boc
бок	bock
огнище	bùng
огнище	hearth
млечни	dairy
роботи	robot
роботи	robots
тълпа	mob
тълпа	mafia
санкции	phạt
кавалер	chevalier
кавалер	cavalier
отменена	hủy
отменена	hủy
авеню	avenue
устната	môi
устната	lip
чезаре	cesare
шега	joke
шега	đùa
шега	đểu
хемус	hemus
гладка	mịn
гладка	mượt
гладка	ẩm
риф	riff
риф	reef
натал	natal
произволно	cuốc
произволно	nét
селим	selim
мирна	myrna
алехандро	alejandro
бутон	button
бутон	nút
роси	rossi
натриев	natri
роберта	roberta
шмит	schmidt
шмит	schmitt
робъртсън	robertson
тих	silent
тих	thoả
даг	dag
джош	josh
алма	ver
алма	alma
емир	emir
хижата	chòi
хижата	cabin
близнаците	twins
мон	mont
мон	mon
гени	gien
гърло	họng
хоросан	vữa
сойър	sawyer
изпитание	ordeal
ваканция	holiday
ваканция	nghỉ
обединен	united
обединен	hoa
разкрита	uncovered
разкрита	revealed
разкрита	lộ
разкрита	lộ
младенович	mladenovic
кагю	kagyu
пивоварни	breweries
ейнджъл	angel
течен	liquid
течен	lỏng
хормони	hormone
хормони	hormon
хормони	hormone
хормони	hormon
хормони	hormones
трибунал	tribunal
антена	antenna
антена	anten
диоген	diogenes
кубински	cuba
зеле	bắp
зеле	kale
елвис	elvis
помни	nhớ
хендри	hendry
патрони	đạn
купе	coupe
цигански	gypsy
уолт	walt
квадратна	đc
квадратна	square
квадратна	vuông
прясно	tươi
сяра	sulfur
сяра	sulphur
миранда	miranda
либрето	libretto
оправи	fix
отхвърляне	huỷ
мама	mama
мама	mommy
мама	mẹ
мама	mẹ
мама	mom
оранжево	cam
следобед	chiều
хорн	horne
хорн	sừng
хорн	kèn
хорн	horn
вилем	willem
вячеслав	vyacheslav
шнайдер	schneider
постигнати	hoài
авария	nạn
оформянето	shaping
мерилин	marilyn
фиш	cá
суров	thô
суров	plump
суров	raw
суров	thô
сера	serra
сера	sera
ериксон	eriksson
ериксон	ericson
ериксон	ericsson
ериксон	erickson
леглото	võng
леглото	bed
леглото	giường
гребен	lược
гребен	comb
обида	xúc
принцът	hoàng
принцът	prince
любовник	lover
пускане	release
пускане	nhả
айнтрахт	eintracht
ерозия	erosion
центровете	centres
задно	rear
кийт	keith
отбелязване	tag
отбелязване	thẻ
отбелязване	mác
отбелязване	mark
биолози	biologists
камил	camille
камил	kamil
саба	saba
лаборатории	labs
лаборатории	laboratories
родриго	rodrigo
пат	pat
пат	vỗ
печ	pec
телефона	đt
пух	pooh
йовановски	jovanovski
контра	contra
тренировка	workout
тренировка	luyện
тренировка	training
джина	gina
медитация	thiền
аполония	apollonia
марти	marty
инсталации	cây
чашка	cup
чашка	cốc
чашка	tách
хелена	helena
първични	chính
коми	komi
странично	lateral
странично	sidebar
копер	koper
засегнат	troubled
декарт	descartes
готорп	gottorp
пратеници	messengers
уотърс	waters
ноу	nou
гинес	guinness
павле	pavle
мойсей	moses
владивосток	vladivostok
уредба	stereo
евънс	evans
избягване	tránh
избягване	tránh
избягване	avoidance
шофьор	xế
авелино	avellino
халки	nhẫn
повредени	hỏng
повредени	hỏng
гуру	guru
мотор	motor
котките	mèo
котките	cats
магистратура	msc
мишо	miso
вертикална	dọc
жанет	jeanette
жанет	janet
острието	blade
тина	tina
кап	cap
аркадий	arkady
нашият	plr
каньон	canyon
каньон	hẻm
коляното	gối
брукс	brooks
бензин	xăng
бензин	xăng
бензин	gas
бензин	xăng
мото	moto
фараона	pharaoh
пролива	vịnh
линц	linz
отхвърлени	rejects
класи	hạng
мъртва	chết
кредити	vay
химикали	bút
енрико	enrico
елинор	eleanor
венета	veneta
компенсация	bù
крайова	craiova
визуално	visual
тамил	tamil
илюстрира	illustrated
гарибалди	garibaldi
задни	rear
дикенс	dickens
космодрума	spaceport
гълъб	dove
гълъб	dua
гълъб	pigeon
гълъб	patagioenas
откуп	ransom
стълбове	đương
лесли	lesley
лесли	leslie
албанска	albania
занаят	craft
сантос	santos
потекло	lineage
ядки	nuts
ядки	bi
труман	truman
федералните	fbi
пророка	tri
маги	maggie
римини	rimini
кай	kai
риза	riza
риза	áo
витенберг	wittenberg
манхайм	mannheim
депо	depot
коул	cole
сметката	thẻ
сметката	tab
капка	giọt
капка	bỏ
капка	thả
стийл	thép
стийл	steele
смело	đậm
смело	bold
викингите	viking
викингите	vikings
изчисляване	tính
изчисляване	tính
митологични	mythological
хлавачкова	hlaváčková
плосък	phẳng
усилване	amplification
билбао	bilbao
домингес	dominguez
бъбреците	thận
бъбреците	cật
жаклин	jacqueline
щитове	shields
щитове	khiên
ацтеките	aztec
дейл	dale
спилбърг	spielberg
интерфейса	giao
кайзер	kaiser
кайзер	keyser
заразяване	infestation
кортес	cortez
празна	rỗng
празна	trống
празна	trống
празна	blank
белфаст	belfast
преследвани	hunted
обратен	ngược
обратен	gay
барок	baroque
автентичен	thực
автентичен	authentic
ваза	bình
ваза	vase
акира	akira
роувърс	rovers
обзор	roundup
джани	gianni
гилън	gillen
затопляне	ấm
нестабилност	volatility
сближаване	cohesion
монтерей	monterrey
монтерей	monterey
сладка	ngoan
сладка	cute
сладка	thương
сладка	sweet
сладка	ngọt
лукул	lucullus
бол	bóng
бол	banh
астероиди	asteroids
афро	afro
гогол	gogol
джудит	judit
джудит	judith
капак	lừa
поправки	tơi
поправки	kham
малага	malaga
восток	vostok
изтегли	download
неправилна	sai
отрицателна	âm
отрицателна	ám
орсини	orsini
разрушения	điêu
абел	abel
абел	able
драматична	kịch
сакраменто	sacramento
мелас	melas
плътна	thick
плътна	dầy
плътна	dày
филтър	lọc
волфсбург	wolfsburg
налична	rảnh
полярна	cực
джаза	jazz
шампионите	champions
андрес	andres
андрес	andrés
травми	tổn
ташкент	tashkent
фулъм	fulham
скрит	phone
скрит	ẩn
духовното	linh
напишете	viết
напишете	ghi
напишете	gõ
хеликоптери	helicopters
гоа	goa
прокул	proculus
комик	comic
комик	comedian
хулио	julio
мелинда	melinda
отмяна	thôi
отмяна	hủy
отмяна	hủy
генетично	di
браузър	duyệt
сенките	bóng
гордиан	gordianus
корекция	sửa
пиене	nhậu
пиене	uống
чудесата	miracles
чудесата	kì
