turbina	turbiin
maitinimas	toitlustus
matematiškai	matemaatiliselt
ketverto	quartet
lynch	lynch
nelygybė	ebavõrdsuse
nelygybė	ebavõrdsus
nelygybė	ebavõrdsus
nero	nero
semantika	semantika
lempa	pirn
lempa	lambi
lempa	lamp
lempa	latern
lempa	lampi
viskis	viski
viskis	viski
skauda	valus
skauda	valutab
astra	astra
pašalina	eemaldab
pilnametystės	täiskasvanueas
daugava	daugava
nariuotakojų	lülijalgsete
keane	keane
krešėjimo	hüübimise
katilai	katlad
goja	goya
trimitai	trompetid
kosmonautas	kosmonaut
kaa	kaa
varškė	kohupiim
mozaikos	mosaiik
išvalyti	puhastatud
andrej	andrej
sheryl	sheryl
pabrėžiant	rõhutades
mineralinis	mineraal
atyrau	atõrau
skrandis	mao
rezoliucijos	resolutsioonid
egzaminas	eksami
egzaminas	eksam
nuodėmes	patud
dviračio	jalgratas
šaukia	karjub
mindanao	mindanao
abatas	abt
katmandu	katmandu
velvet	velvet
kat	kati
kat	kat
vin	vin
morkų	porgand
morkų	punapea
morkų	porgandi
ketinimus	kavatsused
hewitt	hewitt
parašiutu	langevari
pianino	klaver
fasas	faso
pirkėjas	ostja
pirkėjas	ostja
derinimas	leppimise
derinimas	konfiguratsioon
derinimas	seadistus
derinimas	seadistamine
humbolto	humboldti
martenas	maarten
kosmologija	kosmoloogia
mylėti	armastav
kabina	kabiin
kabina	kabiin
kabina	takso
kabina	salongi
kabina	majake
kabina	kabiin
norwich	norwich
geresnė	parem
geresnė	paremad
geresnė	paremini
judaizmas	judaismi
elis	ellis
strauss	strauss
blade	blade
blade	tera
domina	huvilistel
domina	huvitatud
ginčytina	vaidlustatud
arturo	arturo
rostock	rostock
drobė	lõuend
blužnies	põrn
blužnies	põrna
lova	voodi
pitsburgo	pittsburghi
hardy	hardy
grodno	grodno
talentingas	andekas
jautrios	tundlik
jautrios	tundlikud
atskyrimo	segregatsiooni
atskyrimo	eraldamine
krokodilas	krokodill
kanalizacijos	kanalisatsioon
kanalizacijos	kanalisatsiooni
ieee	ieee
biurai	bürood
biurai	kontorid
mūza	muusa
dioniso	dionysos
flamenko	flamenco
čerkasų	tšerkassõ
viskuo	kõik
viskuo	kõike
kama	kama
įtaisytas	põimitud
auglys	kasvaja
daniela	daniela
blogiau	hullem
blogiau	halvem
berg	berg
zagrebas	zagreb
papuošalas	ehted
papuošalas	ehteid
kardiologijos	kardioloogia
lyra	lyra
kabinos	kabiin
baseinai	basseinid
procesija	rongkäik
būgno	trumm
būgno	trummi
atmesta	keelatud
sprogo	plahvatas
sprogo	plahvatanud
alla	alla
segmentai	segmentide
pramoga	meelelahutus
manipuliuoti	manipuleerida
avilių	taru
donata	donata
reims	reims
kasetės	kassette
agresija	agressiooni
carrera	carrera
cunamio	tsunami
wes	wes
įtakinga	mõjukas
nippon	nippon
kalabrijos	calabria
jarosław	jarosław
eli	ellie
ūdra	saarmas
eclipse	varjutus
lemiamas	otsustav
eugen	eugen
kobra	kobra
bella	bella
sato	sato
vagonai	vagunite
vagonai	vagunid
marksas	marx
laukinis	metslane
nesėkmė	ebaõnnestumine
nesėkmė	rike
nesėkmė	tõrge
nesėkmė	läbikukkumine
kingston	kingston
diaz	diaz
wesley	wesley
užblokuotas	blokeeritud
gala	gala
kalis	kaalium
kalis	kaaliumi
mirtina	surmav
mirtina	saatuslik
mirtina	surmav
mylios	miil
mylios	miili
palanki	soosib
džonatanas	jonathan
santrumpos	lühendid
ankaros	ankara
geria	joomine
geria	joob
geria	joogid
toto	toto
tibetiečiai	tiibetlased
fal	fal
metras	meetri
metras	meeter
saugus	võimla
saugus	jõusaal
inka	inkade
doro	vooruslik
parazitų	parasiit
dio	dio
dostojevskis	dostojevski
išsaugojimas	säilitamine
išsaugojimas	säilimine
willis	willis
medici	medici
malibu	malibu
christoph	christoph
montpellier	montpellier
himalajinis	himaalaja
geoffrey	geoffrey
soto	soto
bilietus	piletid
castillo	castillo
liam	liam
pont	pont
prizų	auhinnad
sloboda	sloboda
biochemija	biokeemia
dažyti	värvitud
sullivan	sullivan
pamiršti	unusta
klausas	claus
phantom	fantoom
sabbath	sabbath
aldo	aldo
antgalis	düüsi
kooperatyvas	ühistu
slėpti	peidetakse
slėpti	peitu
slėpti	peitmine
slėpti	peida
transliacijas	ringhäälingusaadete
motyvacija	motivatsioon
motyvacija	motivatsiooni
serge	serge
berta	berta
kedrų	cedar
garniai	haigrud
posėdžiai	koosolekud
posėdžiai	kohtumised
posėdžiai	istungid
posėdžiai	istungid
vergas	orja
vergas	ori
privalomi	kohustuslikud
privalomi	kohustuslik
mutacijų	mutatsioonid
umaras	umar
deimantai	teemandid
aliuminis	alumiiniumi
aliuminis	alumiinium
aliuminis	alumiiniumist
aliuminis	alumiinium
darbdavys	tööandjad
darbdavys	tööandja
testai	katsetused
testai	katsed
testai	testid
barbuda	barbuda
tektoninių	tektoonilised
blizgesys	läige
aviečių	vaarika
paskola	laenu
paskola	laen
paskola	laenud
demi	demi
aktyvina	aktiveerib
įnašas	panus
įnašas	sissemakse
drakula	dracula
bri	bree
džinas	džinn
ramón	ramón
lolita	lolita
hasanas	hassan
elias	elias
šalmą	kiiver
valo	valo
loginis	loogika
įžymybių	kuulsus
įžymybių	kuulsused
blogiausia	halvim
pelkę	soo
aptarnavimas	teenindus
trajektorijos	trajektoori
abs	abs
español	español
sulaužė	murdis
apklausa	küsitlus
nelaimė	katastroof
nelaimė	katastroofi
autobuso	buss
autobuso	bussi
autobuso	bussiga
haliucinacijos	hallutsinatsioonid
rūkymo	suitsetamine
grynasis	neto
grynasis	võrk
grynasis	net
gustaf	gustaf
neribotą	piiramatu
skalės	kaalud
pueblo	pueblo
apmokyti	õpetatud
apmokyti	koolitatud
apmokyti	treenitud
gerinimo	täiustamine
gerinimo	paranemine
gerinimo	parandamine
hanau	hanau
dialogai	dialoogide
dialogai	dialoogid
svyravimo	kõikumine
teodosijus	theodosius
cėsių	cēsis
caf	caf
greitesnis	kiirem
greitesnis	kiiremini
greitesnis	kiirem
greitesnis	kiiremini
meluoja	valetamine
drėgmė	niiskus
drėgmė	niiskus
sudėtingumas	raskusaste
sudėtingumas	raskused
sudėtingumas	keerukus
sudėtingumas	keerukust
sudėtingumas	keerukuse
svajonės	unistused
svajonės	unenäod
rupija	ruupia
išbandytas	testitud
išbandytas	katsetatud
konsultavimas	konsultatsioonid
konsultavimas	konsulteerimine
urbanizacija	linnastumine
grįžimas	tagasitulek
dokumentacija	dokumentatsioon
dokumentacija	dokumentatsiooni
dokumentacija	dokumendid
trauka	gravitatsioon
nomenklatūra	nomenklatuuri
nomenklatūra	nomenklatuur
shuttle	süstik
chara	chara
erasmus	erasmus
erasmus	erasmuse
marcos	marcos
lėktuve	lennuk
noel	noel
cern	cern
kodavimo	kodeerimise
žmogžudystė	mõrv
leopardus	leopardid
svyravimų	kõikumised
svyravimų	kontrasti
bam	bam
arkangelas	peaingel
psichinės	selgeltnägija
krevetės	krevetid
intervencija	sekkumine
intervencija	sekkumise
rumunai	rumeenlaste
šeštadieniais	laupäeviti
bombardavo	pommitasid
ignacas	ignaz
nagus	naelad
nagus	küüned
damos	daam
damos	neiu
damos	leedi
asbesto	asbesti
coventry	coventry
sandėlio	ladu
sandėlio	laohoone
diabetu	suhkurtõbi
diabetu	diabeet
nuostabus	võimas
nuostabus	vägev
nuostabus	äge
nuostabus	imeline
nuostabus	hämmastav
nuostabus	imeline
nuostabus	jumalik
subaru	subaru
shelley	shelley
vitaminai	vitamiinid
vitaminai	vitamiin
vitaminai	vitamiini
osbourne	osbourne
iliuzija	illusioon
barjerą	tõke
poilsis	puhkama
poilsis	puhka
poilsis	puhata
poilsis	leevendamine
midus	mõdu
cilindras	silindri
cilindras	ballooni
kabulo	kabuli
sąžinės	südametunnistus
vasco	vasco
įtikinamai	veenvalt
jackie	jackie
vagis	varas
krūtinkaulio	rinnak
abba	abba
nuoga	paljas
nuoga	paljalt
nuoga	alasti
manu	manu
chemie	chemie
sėklidės	munandid
pingvinai	pingviinid
sinatra	sinatra
suformuluoti	süstida
suformuluoti	süsti
įterpti	lisamine
origami	origami
sulfatas	sulfaat
dima	dim
dima	dima
hoffmann	hoffmann
fidi	chateau
apelsinų	orange
apelsinų	apelsin
apelsinų	oranž
revolveris	revolver
dvynys	kaksik
dvynys	twin
ambicijų	ambitsioonid
ambicijų	ambitsioon
mąstytojas	mõtleja
amžina	igavest
amžina	igavene
suvereniteto	suveräänsust
suvereniteto	suveräänsuse
gaila	kahju
gaila	kahju
gaila	vabandust
gaila	õnnetu
setas	seth
batus	saapad
suvirinimo	keevitamiseks
akordeonas	akordion
aromato	aroom
prieštaravimai	vastuväited
pilvą	kõht
pilvą	kõhu
tech	tech
teisėtumo	seaduslikkuse
pykčio	raev
diablo	diablo
paradas	paraadi
paradas	paraad
kopūstai	kapsas
kopūstai	kapsa
kopūstai	kapsad
kopūstai	kapsas
gizos	giza
porta	porta
gaidukas	ruff
crest	vapi
loa	loa
aliejai	õlid
mora	mora
xxiv	xxiv
ateistas	ateist
vėdinimo	ventilatsiooni
vėdinimo	ventilatsioon
paraguay	asunción
alvaras	alvar
algebra	algebra
kandži	kanji
dviratis	ratas
dviratis	jalgratas
dviratis	ratta
dviratis	jalgratas
alyva	õli
alyva	nafta
kaskada	cascade
klijai	liim
klijai	liimid
klijai	liimide
franšizės	frantsiisi
lauda	lauda
vieversys	lõoke
rodriguez	rodriguez
komplikacijos	tüsistused
radikalų	radikaalid
regata	regatt
bilietas	pilet
akcentas	aktsent
björk	björk
cosmos	kosmos
kiaušidės	munasarja
kiaušidės	munasarjade
hart	hart
gomes	gomes
hansa	hansa
chiesa	chiesa
baitų	bait
vilkikas	pukseerimiseks
vilkikas	traktor
maiden	neiu
sunkumai	väljakutsed
sunkumai	raskusaste
sunkumai	raskused
sunkumai	raskused
algos	palgad
florijonas	florian
išmokyti	õpeta
išmokyti	õpetada
roc	roc
rytais	hommikud
atspindžiai	peegeldused
gavėjas	saaja
gavėjas	saaja
gavėjas	vastuvõtja
gavėjas	saaja
frida	frida
narsą	vaprus
sekretoriai	sekretärid
blanc	blanc
kendo	kendo
biskajos	biskaia
hegemonija	hegemoonia
luís	luís
apribojimas	piirang
feraros	ferrara
sąjungininkas	liitlane
sąjungininkas	ally
sužadėtinė	kihlatu
išprovokavo	provotseeris
azul	azul
malo	malo
hagen	hagen
kvepalai	parfüüm
kvepalai	parfüümi
klijų	liim
klijų	liimide
quo	quo
stojimo	ühinemine
sankcijos	karistused
sankcijos	sanktsioonid
vladivostoko	vladivostoki
raštingumo	kirjaoskuse
tinklainės	võrkkesta
požemių	allmaailma
požemių	allilma
sodinti	istutamine
karlsruhe	karlsruhe
įkaitų	pantvang
įkaitų	pantvangi
įkaitų	pantvangis
brunėjus	brunei
reguliuojama	reguleeritavad
reguliuojama	reguleeritav
būdvardžių	omadussõnad
duisburg	duisburg
privalumų	hüvesid
bursa	bursa
karnavalas	karneval
kvepalų	lõhna
fierro	fierro
karina	karin
ūkininkus	langenud
atspindžio	peegeldus
karpiai	karpkala
ira	ira
lengvesnis	kergem
amplitudės	amplituud
robotai	robotid
ekstraktas	ekstrakti
ekstraktas	väljavõte
ekstraktas	ekstrakt
gaja	gaia
interaktyvus	interaktiivne
interaktyvus	interaktiivse
energingai	jõuliselt
energingai	jõuline
jautiena	loomaliha
jautiena	veiseliha
apsauginis	kaitsev
kupolu	kuppel
kupolu	kupli
sugalvotas	leiutatud
sugalvotas	leiutas
išvykimo	lahkumine
išvykimo	väljumine
mantra	mantra
birmos	birma
birmos	birma
kia	kia
vaccinium	vaccinium
pyragas	kooki
pyragas	kook
pyragas	tort
pyragas	pirukas
drenažo	äravoolu
vandalizmo	vandalism
įgimta	kaasasündinud
pagrobimas	inimrööv
pagrobimas	röövimine
rikis	ricky
rūpi	hoolib
panašumas	sarnasust
panašumas	sarnasus
cox	cox
chang	chang
moi	moi
driežas	sisalik
anarchija	anarhia
bėgikė	jooksja
maloniai	lahkelt
maloniai	lahkesti
thornton	thornton
pašaras	sööt
pašaras	sööta
pašaras	sööda
žirnių	herned
stiprinimas	tugevdamine
jakub	jakub
suorganizuoti	korralda
amazon	amazon
paaiškinimai	märkused
paaiškinimai	selgitused
concordia	concordia
zoo	loomaaed
izoliacijos	isolatsioon
izoliacijos	isolatsiooni
izoliacijos	eraldatus
izoliacijos	eraldamine
izoliacijos	isolatsioon
izoliacijos	isolatsiooni
verti	väärivad
hubert	hubert
saugojimas	hoidla
saugojimas	ladustamise
saugojimas	säilitamine
saugojimas	ladustamine
spin	spin
diagnozė	diagnoos
diagnozė	diagnoosi
dorota	dorota
fuji	fuji
vargo	viletsus
esteban	esteban
privatizacijos	erastamine
meldėsi	palvetanud
gerovė	heaolu
gerovė	jõukus
maltiečių	malta
tulūzos	toulouse
grietinėlės	koor
grietinėlės	kreem
grietinėlės	koort
angelica	angelica
blokadą	blokaad
dimorfizmas	sulestik
occidentalis	occidentalis
chorasano	khorāsāni
piemenys	lambakoerad
dervos	hash
dervos	vaigu
akureyri	akureyri
marškiniai	särk
marškiniai	särgi
marškiniai	särgid
mali	mali
nov	nov
kelionėms	reisimine
kelionėms	reisi
wilder	wilder
didiko	aadlik
sales	koridorid
vaiduoklis	vaim
vaiduoklis	vaimu
vaiduoklis	kummitus
vaiduoklis	tont
diagramos	joonis
diagramos	diagramm
diagramos	skeem
diagramos	graafikute
uri	uri
nuosėdos	sette
stabdymo	pidurdamine
kažkaip	kuidagi
magelanas	magellan
avivas	avivi
perono	põll
berkeley	berkeley
hofmanas	hoffman
saulėlydžio	videvik
našumas	tootlikkus
bai	bai
tiranos	tirana
klientui	kliendi
klientui	klient
suahilių	suahiili
įgijimas	omandamine
įgijimas	soetamine
harbour	sadam
harbour	harbour
dietos	dieet
dietos	toitumine
kadagių	kadaka
emo	emo
morton	morton
bretanės	brittany
tnt	tnt
dragan	dragan
nardymo	sukeldumine
amon	amon
vudu	voodoo
